ID;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;TotaalOverigeToevoegingen_3;TotaalFysiekeToevoeging_4;LateResponsNieuwbouw_5;Transformatie_6;LateResponsTransformatie_7;Woningsplitsing_8;Woningsamenvoeging_9;OverigDoorVerbouw_10;TotaalToevoegingDoorFunctiewijziging_11;VanLogiesfunctieNaarWoonfunctie_12;VanOverigeFunctieNaarWoonfunctie_13;TotaalAdministratieveToevoeging_14;Sloop_15;TotaalOverigeOnttrekkingen_16;TotaalFysiekeOnttrekking_17;LateResponsSloop_18;Woningsplitsing_19;Woningsamenvoeging_20;OverigDoorVerbouw_21;TotaalOnttrekkingDoorFunctiewijziging_22;VanWoonNaarLogiesfunctie_23;VanWoonfunctieNaarOverigeFunctie_24;TotaalAdministratieveOnttrekking_25;SaldoVoorraad_26;EindstandVoorraad_27;SaldoWoningsplitsing_28;SaldoWoningsamenvoeging_29;SaldoOverigDoorVerbouw_30
29;Drenthe (PV);2021;224555.0;1740.0;660.0;500.0;0.0;255.0;60.0;35.0;5.0;145.0;65.0;10.0;60.0;95.0;420.0;220.0;65.0;20.0;10.0;20.0;20.0;55.0;30.0;25.0;95.0;1765.0;226320.0;25.0;-15.0;125.0
30;Drenthe (PV);2022;226320.0;1460.0;860.0;445.0;5.0;225.0;10.0;40.0;5.0;160.0;330.0;0.0;330.0;80.0;345.0;385.0;120.0;30.0;15.0;10.0;70.0;185.0;180.0;5.0;80.0;1590.0;227905.0;25.0;-5.0;90.0
31;Drenthe (PV);2023;227905.0;1310.0;565.0;420.0;0.0;175.0;5.0;20.0;0.0;220.0;25.0;0.0;25.0;115.0;345.0;165.0;70.0;25.0;10.0;10.0;25.0;15.0;5.0;10.0;80.0;1360.0;229270.0;10.0;-10.0;195.0
32;Overijssel (PV);2020;510295.0;4045.0;1395.0;1225.0;0.0;635.0;15.0;165.0;10.0;400.0;75.0;10.0;65.0;95.0;360.0;380.0;245.0;75.0;55.0;40.0;75.0;40.0;15.0;25.0;95.0;4695.0;514995.0;110.0;-30.0;325.0
33;Overijssel (PV);2021;514995.0;3555.0;1095.0;895.0;5.0;475.0;20.0;130.0;15.0;255.0;65.0;0.0;60.0;135.0;650.0;435.0;250.0;55.0;45.0;45.0;115.0;35.0;0.0;35.0;145.0;3565.0;518560.0;85.0;-30.0;140.0
34;Overijssel (PV);2022;518560.0;3920.0;1510.0;1085.0;10.0;550.0;80.0;100.0;10.0;335.0;285.0;5.0;280.0;145.0;475.0;600.0;220.0;50.0;35.0;30.0;110.0;180.0;135.0;50.0;195.0;4360.0;522915.0;65.0;-20.0;225.0
35;Overijssel (PV);2023;522915.0;4465.0;1480.0;1175.0;0.0;545.0;5.0;115.0;15.0;490.0;70.0;10.0;55.0;240.0;1155.0;625.0;350.0;80.0;40.0;155.0;70.0;50.0;15.0;35.0;225.0;4170.0;527085.0;75.0;-140.0;420.0
36;Flevoland (PV);2020;172225.0;2595.0;170.0;150.0;0.0;105.0;0.0;20.0;0.0;20.0;5.0;0.0;5.0;15.0;35.0;300.0;130.0;120.0;5.0;0.0;5.0;10.0;5.0;5.0;160.0;2430.0;174660.0;15.0;0.0;15.0
37;Flevoland (PV);2021;174660.0;3000.0;455.0;205.0;0.0;75.0;5.0;40.0;0.0;85.0;10.0;0.0;5.0;240.0;50.0;65.0;30.0;5.0;15.0;5.0;5.0;15.0;0.0;10.0;25.0;3340.0;178000.0;25.0;-5.0;80.0
38;Flevoland (PV);2022;178000.0;2820.0;455.0;415.0;0.0;355.0;5.0;15.0;0.0;45.0;10.0;0.0;10.0;30.0;55.0;50.0;20.0;0.0;5.0;5.0;10.0;5.0;0.0;5.0;25.0;3165.0;181165.0;10.0;-5.0;35.0
39;Flevoland (PV);2023;181165.0;2985.0;420.0;335.0;0.0;245.0;0.0;10.0;35.0;40.0;75.0;65.0;10.0;10.0;25.0;120.0;105.0;5.0;5.0;70.0;25.0;5.0;0.0;5.0;15.0;3260.0;184425.0;5.0;-35.0;15.0
40;Gelderland (PV);2020;912370.0;9390.0;2705.0;1915.0;5.0;715.0;50.0;320.0;40.0;780.0;435.0;290.0;145.0;360.0;985.0;960.0;495.0;100.0;120.0;105.0;170.0;110.0;15.0;95.0;350.0;10150.0;922525.0;200.0;-65.0;610.0
41;Gelderland (PV);2021;922525.0;7380.0;4150.0;3260.0;5.0;1445.0;45.0;400.0;150.0;1210.0;610.0;325.0;280.0;280.0;940.0;995.0;605.0;85.0;150.0;230.0;140.0;140.0;20.0;120.0;250.0;9590.0;932115.0;250.0;-80.0;1070.0
42;Gelderland (PV);2022;932115.0;7815.0;2940.0;2110.0;15.0;1040.0;15.0;420.0;20.0;605.0;460.0;125.0;330.0;370.0;890.0;1125.0;590.0;65.0;155.0;90.0;280.0;145.0;45.0;100.0;390.0;8740.0;940860.0;265.0;-70.0;325.0
43;Gelderland (PV);2023;940860.0;9050.0;2680.0;2195.0;5.0;1155.0;25.0;325.0;25.0;660.0;210.0;75.0;130.0;275.0;1025.0;985.0;405.0;90.0;115.0;80.0;120.0;360.0;310.0;50.0;220.0;9725.0;950580.0;210.0;-55.0;540.0
44;Utrecht (PV);2020;585925.0;6345.0;2795.0;2670.0;35.0;1705.0;35.0;125.0;20.0;750.0;55.0;0.0;55.0;65.0;490.0;775.0;355.0;45.0;40.0;130.0;145.0;230.0;185.0;45.0;190.0;7875.0;593800.0;85.0;-110.0;605.0
45;Utrecht (PV);2021;593800.0;6280.0;2155.0;1905.0;0.0;1000.0;230.0;150.0;10.0;515.0;85.0;15.0;70.0;165.0;530.0;610.0;325.0;35.0;50.0;45.0;190.0;155.0;70.0;85.0;130.0;7295.0;601095.0;100.0;-35.0;325.0
46;Utrecht (PV);2022;601095.0;6755.0;1520.0;1245.0;5.0;590.0;10.0;175.0;15.0;450.0;95.0;0.0;95.0;175.0;505.0;670.0;395.0;15.0;60.0;55.0;270.0;45.0;10.0;30.0;230.0;7100.0;608195.0;115.0;-40.0;180.0
47;Utrecht (PV);2023;608195.0;5950.0;1465.0;1285.0;0.0;565.0;5.0;135.0;15.0;560.0;60.0;5.0;60.0;115.0;625.0;425.0;215.0;20.0;45.0;50.0;100.0;85.0;10.0;75.0;125.0;6365.0;614560.0;90.0;-35.0;460.0
48;Noord-Holland (PV);2020;1348750.0;10650.0;3310.0;2635.0;15.0;1035.0;55.0;620.0;70.0;840.0;245.0;35.0;210.0;425.0;1515.0;1395.0;840.0;85.0;240.0;195.0;325.0;225.0;35.0;190.0;330.0;11050.0;1359800.0;380.0;-125.0;515.0
49;Noord-Holland (PV);2021;1359800.0;14610.0;5810.0;4865.0;15.0;2000.0;30.0;1055.0;145.0;1620.0;415.0;125.0;290.0;530.0;1080.0;2190.0;1610.0;255.0;430.0;350.0;575.0;105.0;15.0;90.0;475.0;17150.0;1376950.0;625.0;-205.0;1045.0
50;Noord-Holland (PV);2022;1376950.0;14395.0;4535.0;3905.0;10.0;1605.0;70.0;790.0;95.0;1335.0;325.0;40.0;290.0;305.0;2325.0;1515.0;1025.0;65.0;320.0;275.0;365.0;120.0;15.0;105.0;370.0;15090.0;1392040.0;470.0;-180.0;970.0
51;Noord-Holland (PV);2023;1392040.0;11035.0;4565.0;4005.0;0.0;1960.0;35.0;665.0;150.0;1190.0;190.0;15.0;175.0;370.0;975.0;1630.0;1075.0;45.0;260.0;310.0;460.0;180.0;65.0;115.0;375.0;12995.0;1405035.0;405.0;-160.0;730.0
52;Zuid-Holland (PV);2020;1692890.0;15325.0;5935.0;4820.0;5.0;2775.0;80.0;685.0;105.0;1170.0;350.0;15.0;340.0;760.0;2375.0;2080.0;1175.0;165.0;270.0;310.0;430.0;170.0;25.0;145.0;735.0;16805.0;1709690.0;415.0;-205.0;740.0
53;Zuid-Holland (PV);2021;1709690.0;13560.0;4950.0;4065.0;5.0;2200.0;45.0;655.0;95.0;1065.0;370.0;15.0;350.0;515.0;2315.0;1795.0;1045.0;180.0;260.0;230.0;370.0;215.0;145.0;75.0;530.0;14405.0;1724095.0;395.0;-135.0;695.0
54;Zuid-Holland (PV);2022;1724095.0;14565.0;5445.0;4310.0;5.0;2080.0;95.0;650.0;95.0;1380.0;515.0;30.0;480.0;620.0;2825.0;2075.0;1435.0;105.0;245.0;340.0;750.0;125.0;30.0;95.0;510.0;15110.0;1739205.0;405.0;-245.0;630.0
55;Zuid-Holland (PV);2023;1739205.0;17315.0;3970.0;3350.0;5.0;1480.0;30.0;550.0;65.0;1215.0;255.0;30.0;225.0;365.0;1460.0;1335.0;765.0;125.0;210.0;195.0;240.0;120.0;15.0;110.0;450.0;18485.0;1757690.0;340.0;-130.0;975.0
56;Zeeland (PV);2020;187610.0;1540.0;625.0;390.0;0.0;180.0;5.0;40.0;40.0;120.0;40.0;5.0;30.0;200.0;730.0;490.0;195.0;75.0;15.0;80.0;30.0;140.0;115.0;25.0;155.0;950.0;188560.0;25.0;-40.0;90.0
57;Zeeland (PV);2021;188560.0;1280.0;430.0;305.0;0.0;135.0;5.0;30.0;0.0;140.0;55.0;5.0;50.0;65.0;420.0;455.0;75.0;25.0;10.0;10.0;30.0;310.0;200.0;110.0;70.0;835.0;189395.0;20.0;-10.0;110.0
58;Zeeland (PV);2022;189395.0;1590.0;595.0;390.0;0.0;145.0;0.0;45.0;5.0;195.0;90.0;20.0;70.0;115.0;425.0;580.0;85.0;30.0;10.0;15.0;30.0;415.0;390.0;25.0;80.0;1180.0;190575.0;35.0;-10.0;165.0
59;Zeeland (PV);2023;190575.0;1935.0;430.0;325.0;0.0;150.0;5.0;30.0;0.0;140.0;40.0;5.0;35.0;60.0;415.0;175.0;85.0;60.0;5.0;5.0;15.0;25.0;5.0;15.0;65.0;1780.0;192355.0;25.0;-5.0;125.0
60;Noord-Brabant (PV);2020;1140610.0;10560.0;3005.0;2235.0;5.0;1115.0;25.0;250.0;25.0;820.0;250.0;25.0;225.0;520.0;1445.0;1305.0;650.0;225.0;85.0;85.0;260.0;195.0;50.0;145.0;460.0;10815.0;1151425.0;165.0;-60.0;560.0
61;Noord-Brabant (PV);2021;1151425.0;11930.0;3255.0;2715.0;5.0;1205.0;60.0;480.0;50.0;925.0;205.0;10.0;195.0;335.0;1185.0;1010.0;560.0;80.0;160.0;130.0;190.0;110.0;35.0;75.0;340.0;12990.0;1164415.0;320.0;-80.0;735.0
62;Noord-Brabant (PV);2022;1164415.0;12360.0;3780.0;3135.0;10.0;1460.0;35.0;490.0;15.0;1125.0;320.0;10.0;305.0;330.0;1265.0;1015.0;590.0;135.0;170.0;115.0;170.0;155.0;35.0;125.0;270.0;13860.0;1178275.0;320.0;-100.0;955.0
63;Noord-Brabant (PV);2023;1178275.0;12095.0;2800.0;2200.0;0.0;1075.0;20.0;300.0;10.0;795.0;185.0;10.0;175.0;415.0;1365.0;965.0;510.0;95.0;110.0;45.0;260.0;95.0;15.0;80.0;360.0;12565.0;1190835.0;190.0;-35.0;535.0
64;Limburg (PV);2020;533230.0;2765.0;2080.0;1720.0;0.0;1055.0;15.0;145.0;15.0;490.0;70.0;5.0;65.0;290.0;715.0;745.0;385.0;65.0;45.0;45.0;230.0;60.0;10.0;45.0;300.0;3385.0;536615.0;100.0;-30.0;260.0
65;Limburg (PV);2021;536615.0;3555.0;2200.0;1825.0;0.0;765.0;35.0;140.0;35.0;850.0;75.0;5.0;70.0;305.0;1045.0;895.0;585.0;60.0;50.0;135.0;345.0;70.0;25.0;50.0;240.0;3820.0;540435.0;90.0;-100.0;505.0
66;Limburg (PV);2022;540435.0;3420.0;1835.0;1420.0;35.0;620.0;25.0;220.0;15.0;505.0;160.0;5.0;155.0;250.0;330.0;600.0;315.0;60.0;75.0;45.0;130.0;60.0;10.0;55.0;225.0;4325.0;544760.0;145.0;-30.0;375.0
67;Limburg (PV);2023;544760.0;3380.0;1825.0;1520.0;15.0;715.0;5.0;190.0;10.0;585.0;100.0;20.0;80.0;200.0;825.0;530.0;230.0;40.0;60.0;25.0;105.0;60.0;15.0;45.0;240.0;3855.0;548615.0;130.0;-15.0;480.0
68;Oost-Groningen (CR);2020;64430.0;210.0;105.0;75.0;0.0;30.0;0.0;5.0;0.0;30.0;10.0;0.0;5.0;20.0;125.0;140.0;115.0;70.0;0.0;5.0;40.0;5.0;0.0;0.0;20.0;50.0;64480.0;5.0;-5.0;-10.0
69;Oost-Groningen (CR);2021;64480.0;235.0;90.0;60.0;0.0;20.0;0.0;5.0;0.0;30.0;15.0;0.0;15.0;20.0;60.0;125.0;70.0;15.0;5.0;0.0;50.0;45.0;0.0;40.0;15.0;135.0;64615.0;0.0;0.0;-20.0
70;Oost-Groningen (CR);2022;64615.0;285.0;150.0;130.0;0.0;45.0;0.0;15.0;0.0;70.0;5.0;0.0;5.0;15.0;75.0;30.0;15.0;5.0;5.0;0.0;5.0;5.0;0.0;5.0;15.0;330.0;64945.0;10.0;0.0;65.0
71;Oost-Groningen (CR);2023;64945.0;325.0;125.0;110.0;0.0;50.0;0.0;10.0;0.0;50.0;5.0;0.0;5.0;10.0;50.0;35.0;15.0;5.0;5.0;0.0;10.0;5.0;0.0;5.0;15.0;365.0;65310.0;5.0;0.0;40.0
72;Delfzijl en omgeving (CR);2020;22950.0;320.0;50.0;35.0;0.0;5.0;0.0;5.0;0.0;20.0;5.0;0.0;5.0;10.0;215.0;25.0;10.0;5.0;5.0;0.0;0.0;5.0;0.0;5.0;10.0;130.0;23085.0;0.0;0.0;20.0
73;Delfzijl en omgeving (CR);2021;23085.0;425.0;25.0;20.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;350.0;10.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;95.0;23175.0;0.0;0.0;0.0
74;Delfzijl en omgeving (CR);2022;23175.0;745.0;55.0;25.0;0.0;10.0;0.0;5.0;0.0;15.0;5.0;0.0;5.0;20.0;350.0;35.0;10.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;410.0;23585.0;5.0;0.0;15.0
75;Delfzijl en omgeving (CR);2023;23585.0;425.0;70.0;30.0;0.0;10.0;0.0;5.0;0.0;10.0;5.0;0.0;5.0;40.0;400.0;65.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;60.0;30.0;23615.0;0.0;0.0;10.0
76;Overig Groningen (CR);2020;194665.0;2620.0;1030.0;915.0;0.0;305.0;75.0;305.0;5.0;230.0;50.0;0.0;50.0;65.0;370.0;500.0;235.0;65.0;100.0;10.0;60.0;210.0;185.0;25.0;50.0;2785.0;197450.0;205.0;-5.0;170.0
77;Overig Groningen (CR);2021;197450.0;1740.0;1365.0;1235.0;0.0;510.0;10.0;420.0;10.0;290.0;70.0;0.0;70.0;55.0;255.0;520.0;375.0;10.0;145.0;25.0;195.0;25.0;0.0;25.0;125.0;2325.0;199775.0;275.0;-15.0;95.0
78;Overig Groningen (CR);2022;199775.0;2175.0;1235.0;995.0;0.0;405.0;10.0;385.0;5.0;195.0;90.0;0.0;85.0;155.0;325.0;830.0;295.0;95.0;135.0;10.0;60.0;380.0;365.0;15.0;155.0;2255.0;202030.0;250.0;-5.0;135.0
79;Overig Groningen (CR);2023;202030.0;1530.0;1010.0;795.0;0.0;185.0;10.0;280.0;0.0;320.0;65.0;0.0;65.0;145.0;330.0;350.0;165.0;5.0;105.0;20.0;35.0;20.0;10.0;10.0;165.0;1855.0;203885.0;175.0;-20.0;285.0
80;Noord-Friesland (CR);2020;151790.0;990.0;490.0;375.0;0.0;180.0;10.0;35.0;5.0;145.0;60.0;5.0;55.0;60.0;360.0;155.0;90.0;20.0;10.0;10.0;50.0;15.0;5.0;10.0;50.0;965.0;152755.0;25.0;-5.0;95.0
81;Noord-Friesland (CR);2021;152755.0;1055.0;585.0;495.0;0.0;260.0;0.0;50.0;0.0;185.0;50.0;5.0;45.0;35.0;395.0;125.0;65.0;10.0;20.0;5.0;30.0;15.0;10.0;5.0;45.0;1120.0;153870.0;30.0;-5.0;155.0
82;Noord-Friesland (CR);2022;153870.0;1355.0;545.0;455.0;0.0;250.0;5.0;30.0;0.0;165.0;40.0;5.0;35.0;55.0;150.0;270.0;95.0;10.0;15.0;5.0;65.0;125.0;95.0;30.0;55.0;1480.0;155350.0;15.0;-5.0;100.0
83;Noord-Friesland (CR);2023;155350.0;1015.0;575.0;530.0;0.0;320.0;5.0;45.0;5.0;155.0;20.0;0.0;15.0;30.0;130.0;160.0;75.0;10.0;20.0;10.0;40.0;40.0;25.0;15.0;40.0;1305.0;156655.0;25.0;-5.0;115.0
84;Zuidwest-Friesland (CR);2020;65465.0;470.0;185.0;155.0;0.0;120.0;0.0;0.0;0.0;30.0;15.0;0.0;15.0;10.0;130.0;30.0;10.0;5.0;0.0;0.0;5.0;10.0;0.0;10.0;10.0;495.0;65960.0;0.0;0.0;25.0
85;Zuidwest-Friesland (CR);2021;65960.0;340.0;140.0;120.0;0.0;50.0;15.0;10.0;0.0;40.0;5.0;0.0;5.0;15.0;20.0;70.0;25.0;5.0;0.0;0.0;20.0;10.0;0.0;10.0;30.0;390.0;66350.0;10.0;0.0;20.0
86;Zuidwest-Friesland (CR);2022;66350.0;260.0;130.0;100.0;0.0;60.0;5.0;10.0;0.0;25.0;10.0;0.0;10.0;20.0;145.0;140.0;30.0;10.0;5.0;0.0;15.0;90.0;80.0;10.0;20.0;105.0;66460.0;5.0;0.0;10.0
87;Zuidwest-Friesland (CR);2023;66460.0;245.0;175.0;130.0;0.0;70.0;0.0;15.0;20.0;25.0;15.0;0.0;15.0;30.0;65.0;180.0;80.0;10.0;5.0;35.0;30.0;80.0;75.0;5.0;20.0;170.0;66630.0;10.0;-15.0;-5.0
88;Zuidoost-Friesland (CR);2020;85325.0;705.0;130.0;105.0;0.0;20.0;0.0;5.0;0.0;75.0;10.0;0.0;10.0;15.0;115.0;60.0;30.0;15.0;0.0;0.0;15.0;5.0;0.0;5.0;25.0;655.0;85980.0;5.0;0.0;60.0
89;Zuidoost-Friesland (CR);2021;85980.0;540.0;150.0;125.0;0.0;70.0;5.0;10.0;0.0;40.0;10.0;0.0;10.0;15.0;215.0;45.0;30.0;15.0;5.0;0.0;10.0;5.0;0.0;5.0;15.0;430.0;86410.0;5.0;0.0;30.0
90;Zuidoost-Friesland (CR);2022;86410.0;645.0;280.0;165.0;0.0;125.0;5.0;5.0;0.0;35.0;20.0;0.0;20.0;95.0;70.0;300.0;270.0;260.0;0.0;0.0;5.0;5.0;0.0;5.0;25.0;550.0;86960.0;5.0;0.0;30.0
91;Zuidoost-Friesland (CR);2023;86960.0;580.0;190.0;115.0;0.0;45.0;0.0;10.0;0.0;55.0;50.0;10.0;40.0;25.0;150.0;80.0;30.0;5.0;5.0;10.0;10.0;30.0;25.0;5.0;20.0;540.0;87500.0;5.0;-10.0;45.0
92;Noord-Drenthe (CR);2020;87030.0;595.0;200.0;140.0;0.0;100.0;0.0;15.0;0.0;25.0;20.0;0.0;20.0;40.0;160.0;55.0;25.0;5.0;5.0;5.0;10.0;10.0;5.0;5.0;20.0;580.0;87610.0;10.0;-5.0;15.0
93;Noord-Drenthe (CR);2021;87610.0;745.0;270.0;205.0;0.0;125.0;0.0;20.0;0.0;60.0;25.0;0.0;25.0;40.0;245.0;80.0;20.0;5.0;5.0;5.0;5.0;15.0;10.0;5.0;45.0;685.0;88295.0;15.0;-5.0;55.0
94;Noord-Drenthe (CR);2022;88295.0;405.0;525.0;260.0;0.0;130.0;5.0;15.0;5.0;105.0;240.0;0.0;240.0;25.0;220.0;235.0;30.0;5.0;5.0;5.0;10.0;180.0;180.0;0.0;30.0;475.0;88770.0;10.0;0.0;95.0
95;Noord-Drenthe (CR);2023;88770.0;560.0;250.0;190.0;0.0;130.0;0.0;10.0;0.0;50.0;15.0;0.0;15.0;45.0;110.0;70.0;40.0;10.0;5.0;5.0;20.0;5.0;5.0;0.0;30.0;630.0;89400.0;5.0;-5.0;30.0
96;Zuidoost-Drenthe (CR);2020;76235.0;310.0;335.0;180.0;30.0;60.0;5.0;5.0;0.0;80.0;110.0;5.0;105.0;45.0;95.0;455.0;110.0;50.0;0.0;55.0;5.0;255.0;250.0;5.0;90.0;95.0;76330.0;5.0;-55.0;75.0
97;Zuidoost-Drenthe (CR);2021;76330.0;600.0;225.0;180.0;0.0;60.0;60.0;5.0;0.0;55.0;10.0;0.0;10.0;35.0;135.0;50.0;15.0;10.0;0.0;5.0;0.0;5.0;0.0;5.0;30.0;635.0;76970.0;5.0;-5.0;55.0
98;Zuidoost-Drenthe (CR);2022;76970.0;615.0;225.0;95.0;5.0;40.0;0.0;10.0;0.0;40.0;80.0;0.0;80.0;50.0;70.0;80.0;30.0;20.0;0.0;0.0;5.0;5.0;0.0;5.0;50.0;690.0;77660.0;10.0;0.0;35.0
99;Zuidoost-Drenthe (CR);2023;77660.0;390.0;225.0;155.0;0.0;10.0;5.0;0.0;0.0;140.0;0.0;0.0;0.0;70.0;150.0;60.0;20.0;10.0;0.0;5.0;0.0;5.0;0.0;5.0;40.0;405.0;78065.0;0.0;-5.0;140.0
100;Zuidwest-Drenthe (CR);2020;59985.0;540.0;150.0;130.0;0.0;65.0;0.0;25.0;0.0;35.0;15.0;5.0;10.0;10.0;25.0;40.0;20.0;5.0;10.0;0.0;5.0;10.0;5.0;5.0;10.0;630.0;60615.0;15.0;0.0;30.0
