ID;Hoofdfuncties;Perioden;TotaalLopendeEnKapitaaluitgaven_1;TotaalLopendeEnKapitaalinkomsten_2;SaldoLopendeEnKapitaalrekening_3;UitgavenLopendeRekening_4;InkomstenLopendeRekening_5;SaldoLopendeRekening_6;UitgavenKapitaalrekening_7;InkomstenKapitaalrekening_8;SaldoKapitaalrekening_9
118;Functioneel niet toegerekend;1998;28562;82464;53903;28562;78732;50171;0;3732;3732
119;Functioneel niet toegerekend;1999;28633;89237;60604;28633;85551;56918;0;3685;3685
120;Functioneel niet toegerekend;2000;28708;95265;66557;28708;91288;62580;0;3977;3977
121;Functioneel niet toegerekend;2001;29348;103288;73940;29348;99412;70065;0;3876;3876
122;Functioneel niet toegerekend;2002;29285;106967;77681;29285;102683;73398;0;4284;4284
123;Functioneel niet toegerekend;2003;30983;105462;74479;30188;101441;71252;795;4021;3226
124;Functioneel niet toegerekend;2004;28469;108557;80087;27815;104468;76653;654;4089;3435
125;Functioneel niet toegerekend;2005;25872;114792;88921;25333;113083;87750;538;1709;1171
126;Overheidsschuld;1997;17;0;-17;17;0;-17;0;0;0
127;Overheidsschuld;1998;0;0;0;0;0;0;0;0;0
128;Overheidsschuld;1999;0;0;0;0;0;0;0;0;0
129;Overheidsschuld;2000;0;0;0;0;0;0;0;0;0
130;Overheidsschuld;2001;5;3;-2;5;3;-2;0;0;0
131;Overheidsschuld;2002;4;-2;-6;4;-2;-6;0;0;0
132;Overheidsschuld;2003;2;0;-2;2;0;-2;0;0;0
133;Overheidsschuld;2004;1;0;-1;1;0;-1;0;0;0
134;Overheidsschuld;2005;0;0;0;0;0;0;0;0;0
