ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
158;Hongarije;1994;;;;;;;;;;;2.7;0.1;-2.6;16.7;0.7;-16.0
159;Hongarije;1995;;;19.9;;;;;;;;11.2;0.1;-11.1;24.8;0.6;-24.2
160;Hongarije;1996;;;20.6;;;;;;;;7.2;;;28.9;0.6;-28.3
161;Hongarije;1997;;;21.1;;;;;;;;9.0;1.0;-8.0;38.6;1.4;-37.2
162;Hongarije;1998;;;22.4;;;;;0.08;0.0;0.08;7.0;0.6;-6.4;43.3;1.6;-41.6
163;Hongarije;1999;;;22.9;;;;;0.02;0.0;0.01;6.9;0.5;-6.3;48.2;1.9;-46.3
164;Hongarije;2000;;;23.4;;;;;0.06;0.0;0.06;6.0;1.3;-4.6;49.3;2.8;-46.5
165;Hongarije;2001;;;22.0;;;;;0.04;0.03;0.02;7.5;0.7;-6.8;51.9;2.9;-49.0
166;Hongarije;2002;;;22.7;;;;;0.02;0.0;0.02;4.5;0.4;-4.1;54.6;3.3;-51.3
167;Hongarije;2003;;;22.2;;;;;0.03;0.0;0.03;2.6;2.0;-0.6;57.9;4.2;-53.7
168;Hongarije;2004;;;22.7;;;;;0.12;0.0;0.12;4.4;1.1;-3.3;60.4;5.9;-54.5
169;Hongarije;2005;;;22.8;;;;;0.05;0.0;0.05;7.0;2.0;-5.0;55.4;7.1;-48.3
170;Hongarije;2006;;;21.3;;;;;0.04;0.01;0.04;6.2;3.4;-2.8;71.2;11.0;-60.3
171;Hongarije;2007;;;22.1;;;;;0.01;0.0;0.01;4.0;2.7;-1.3;70.1;12.7;-57.4
172;Hongarije;2008;;;22.6;;;;;0.03;0.0;0.03;4.1;1.4;-2.6;57.1;11.4;-45.7
173;Hongarije;2009;;;21.6;;;;;0.0;0.0;0.0;1.6;1.6;-0.1;78.3;15.2;-63.1
174;Hongarije;2010;;;19.2;;;;;0.03;0.01;0.02;1.8;1.0;-0.8;70.6;15.5;-55.1
175;Hongarije;2011;;;17.7;;;;;0.03;0.02;0.01;3.4;3.3;-0.1;60.5;17.0;-43.5
176;Ierland;1990;;;9.9;6.1;12.4;63.5;24.1;;;;1.3;0.8;-0.5;;;
177;Ierland;1991;;;8.5;6.6;25.9;49.4;24.7;;;;2.8;0.4;-2.4;;;
178;Ierland;1992;;;8.1;6.6;27.7;45.3;27.0;;;;2.7;0.4;-2.3;;;
179;Ierland;1993;;;7.4;6.9;23.3;50.0;26.7;;;;2.1;0.4;-1.7;;;
180;Ierland;1994;;;7.5;7.6;27.5;48.6;24.0;;;;1.5;0.8;-0.7;;;
181;Ierland;1995;;;8.2;10.4;43.4;38.8;17.9;0.04;0.0;0.03;2.1;1.2;-0.9;;;
182;Ierland;1996;;;8.8;11.4;43.7;37.4;18.9;0.06;0.01;0.06;3.5;1.0;-2.5;;;
183;Ierland;1997;;;9.4;9.6;42.8;38.9;18.2;0.05;0.0;0.05;3.3;1.2;-2.1;;;
184;Ierland;1998;;;10.4;11.0;48.9;35.8;15.3;0.05;0.03;0.02;10.0;4.4;-5.6;70.2;22.8;-47.4
185;Ierland;1999;;;10.6;10.1;49.6;30.4;20.0;0.09;0.05;0.04;18.7;6.3;-12.4;74.8;25.9;-48.9
186;Ierland;2000;;;9.9;10.1;49.3;31.3;19.4;0.21;0.11;0.1;26.4;4.7;-21.7;130.3;28.6;-101.7
187;Ierland;2001;;;9.1;9.9;46.5;26.4;27.1;0.11;0.03;0.08;9.1;3.8;-5.3;126.8;38.6;-88.2
188;Ierland;2002;;;8.7;8.2;46.4;25.6;28.0;0.08;0.02;0.06;23.7;8.9;-14.8;148.0;47.6;-100.3
189;Ierland;2003;;;8.9;7.9;45.1;24.3;30.5;0.06;0.02;0.03;14.3;3.5;-10.8;140.0;46.1;-94.0
190;Ierland;2004;;;9.7;7.9;49.3;19.1;31.6;0.04;0.02;0.02;;9.7;;111.1;57.1;-54.0
191;Ierland;2005;;;10.8;6.2;43.9;23.4;32.6;0.06;0.02;0.04;;7.0;;80.4;51.2;-29.2
192;Ierland;2006;;;10.7;6.8;37.5;30.8;31.7;0.05;0.02;0.04;;6.9;;70.0;54.0;-16.0
193;Ierland;2007;;;11.0;5.6;37.3;26.4;36.4;0.07;0.02;0.05;9.5;8.1;-1.4;78.4;57.7;-20.6
194;Ierland;2008;;;8.9;;;;;0.03;0.02;0.01;;7.2;;71.4;64.1;-7.3
195;Ierland;2009;;;7.2;;;;;0.03;0.02;0.01;11.5;11.9;0.4;110.9;129.7;18.8
