ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
43;Total male and female;Total;Total;Saba;2015;1811
44;Total male and female;Total;Total;Saba;2016;1947
45;Total male and female;Total;Total;Saba;2017;2010
46;Total male and female;Total;Total;Saba;2018;2155
47;Total male and female;Total;Total;Saba;2019;1915
48;Total male and female;Total;Total;Saba;2020;1933
49;Total male and female;Total;Total;Saba;2021;1918
50;Total male and female;Total;Total;Saba;2022;1911
51;Total male and female;Total;Total;Saba;2023;2035
52;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2011;4668
53;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2012;5248
54;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2013;5719
55;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2014;5959
56;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2015;5872
57;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2016;5506
58;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2017;4996
59;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2018;5322
60;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2019;5269
61;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2020;5683
62;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2021;5831
63;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2022;6220
64;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2023;7128
65;Total male and female;Total;Total non-Dutch nationality;Bonaire;2011;2704
66;Total male and female;Total;Total non-Dutch nationality;Bonaire;2012;3032
67;Total male and female;Total;Total non-Dutch nationality;Bonaire;2013;3371
68;Total male and female;Total;Total non-Dutch nationality;Bonaire;2014;3722
69;Total male and female;Total;Total non-Dutch nationality;Bonaire;2015;3845
70;Total male and female;Total;Total non-Dutch nationality;Bonaire;2016;4051
71;Total male and female;Total;Total non-Dutch nationality;Bonaire;2017;3441
72;Total male and female;Total;Total non-Dutch nationality;Bonaire;2018;3597
73;Total male and female;Total;Total non-Dutch nationality;Bonaire;2019;3909
74;Total male and female;Total;Total non-Dutch nationality;Bonaire;2020;4281
75;Total male and female;Total;Total non-Dutch nationality;Bonaire;2021;4484
76;Total male and female;Total;Total non-Dutch nationality;Bonaire;2022;4823
77;Total male and female;Total;Total non-Dutch nationality;Bonaire;2023;5553
78;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2011;1228
79;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2012;1319
80;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2013;1427
81;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2014;1468
82;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2015;1333
83;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2016;669
84;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2017;712
85;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2018;755
86;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2019;638
87;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2020;641
88;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2021;612
89;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2022;664
90;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2023;712
91;Total male and female;Total;Total non-Dutch nationality;Saba;2011;736
92;Total male and female;Total;Total non-Dutch nationality;Saba;2012;897
93;Total male and female;Total;Total non-Dutch nationality;Saba;2013;921
94;Total male and female;Total;Total non-Dutch nationality;Saba;2014;769
95;Total male and female;Total;Total non-Dutch nationality;Saba;2015;694
96;Total male and female;Total;Total non-Dutch nationality;Saba;2016;786
97;Total male and female;Total;Total non-Dutch nationality;Saba;2017;843
98;Total male and female;Total;Total non-Dutch nationality;Saba;2018;970
99;Total male and female;Total;Total non-Dutch nationality;Saba;2019;722
100;Total male and female;Total;Total non-Dutch nationality;Saba;2020;761
101;Total male and female;Total;Total non-Dutch nationality;Saba;2021;735
102;Total male and female;Total;Total non-Dutch nationality;Saba;2022;733
103;Total male and female;Total;Total non-Dutch nationality;Saba;2023;863
104;Total male and female;Total;Africa;Caribbean Netherlands;2011;55
105;Total male and female;Total;Africa;Caribbean Netherlands;2012;55
106;Total male and female;Total;Africa;Caribbean Netherlands;2013;65
107;Total male and female;Total;Africa;Caribbean Netherlands;2014;60
108;Total male and female;Total;Africa;Caribbean Netherlands;2015;57
109;Total male and female;Total;Africa;Caribbean Netherlands;2016;35
110;Total male and female;Total;Africa;Caribbean Netherlands;2017;27
111;Total male and female;Total;Africa;Caribbean Netherlands;2018;23
112;Total male and female;Total;Africa;Caribbean Netherlands;2019;22
113;Total male and female;Total;Africa;Caribbean Netherlands;2020;25
114;Total male and female;Total;Africa;Caribbean Netherlands;2021;31
115;Total male and female;Total;Africa;Caribbean Netherlands;2022;30
116;Total male and female;Total;Africa;Caribbean Netherlands;2023;39
117;Total male and female;Total;Africa;Bonaire;2011;28
118;Total male and female;Total;Africa;Bonaire;2012;27
119;Total male and female;Total;Africa;Bonaire;2013;31
120;Total male and female;Total;Africa;Bonaire;2014;32
121;Total male and female;Total;Africa;Bonaire;2015;30
122;Total male and female;Total;Africa;Bonaire;2016;28
123;Total male and female;Total;Africa;Bonaire;2017;20
124;Total male and female;Total;Africa;Bonaire;2018;12
125;Total male and female;Total;Africa;Bonaire;2019;17
126;Total male and female;Total;Africa;Bonaire;2020;17
127;Total male and female;Total;Africa;Bonaire;2021;20
128;Total male and female;Total;Africa;Bonaire;2022;19
129;Total male and female;Total;Africa;Bonaire;2023;18
130;Total male and female;Total;Africa;St. Eustatius;2011;22
131;Total male and female;Total;Africa;St. Eustatius;2012;21
132;Total male and female;Total;Africa;St. Eustatius;2013;21
133;Total male and female;Total;Africa;St. Eustatius;2014;21
134;Total male and female;Total;Africa;St. Eustatius;2015;19
135;Total male and female;Total;Africa;St. Eustatius;2016;0
136;Total male and female;Total;Africa;St. Eustatius;2017;0
137;Total male and female;Total;Africa;St. Eustatius;2018;0
138;Total male and female;Total;Africa;St. Eustatius;2019;0
139;Total male and female;Total;Africa;St. Eustatius;2020;0
140;Total male and female;Total;Africa;St. Eustatius;2021;3
141;Total male and female;Total;Africa;St. Eustatius;2022;2
142;Total male and female;Total;Africa;St. Eustatius;2023;4
143;Total male and female;Total;Africa;Saba;2011;5
144;Total male and female;Total;Africa;Saba;2012;7
145;Total male and female;Total;Africa;Saba;2013;13
146;Total male and female;Total;Africa;Saba;2014;7
147;Total male and female;Total;Africa;Saba;2015;8
148;Total male and female;Total;Africa;Saba;2016;7
149;Total male and female;Total;Africa;Saba;2017;7
150;Total male and female;Total;Africa;Saba;2018;11
151;Total male and female;Total;Africa;Saba;2019;5
152;Total male and female;Total;Africa;Saba;2020;8
153;Total male and female;Total;Africa;Saba;2021;8
154;Total male and female;Total;Africa;Saba;2022;9
155;Total male and female;Total;Africa;Saba;2023;17
156;Total male and female;Total;Asia;Caribbean Netherlands;2011;332
157;Total male and female;Total;Asia;Caribbean Netherlands;2012;363
158;Total male and female;Total;Asia;Caribbean Netherlands;2013;395
159;Total male and female;Total;Asia;Caribbean Netherlands;2014;425
160;Total male and female;Total;Asia;Caribbean Netherlands;2015;426
161;Total male and female;Total;Asia;Caribbean Netherlands;2016;447
162;Total male and female;Total;Asia;Caribbean Netherlands;2017;454
163;Total male and female;Total;Asia;Caribbean Netherlands;2018;495
164;Total male and female;Total;Asia;Caribbean Netherlands;2019;497
165;Total male and female;Total;Asia;Caribbean Netherlands;2020;514
166;Total male and female;Total;Asia;Caribbean Netherlands;2021;516
167;Total male and female;Total;Asia;Caribbean Netherlands;2022;548
168;Total male and female;Total;Asia;Caribbean Netherlands;2023;596
169;Total male and female;Total;Asia;Bonaire;2011;209
170;Total male and female;Total;Asia;Bonaire;2012;228
171;Total male and female;Total;Asia;Bonaire;2013;256
172;Total male and female;Total;Asia;Bonaire;2014;298
173;Total male and female;Total;Asia;Bonaire;2015;298
174;Total male and female;Total;Asia;Bonaire;2016;325
175;Total male and female;Total;Asia;Bonaire;2017;332
176;Total male and female;Total;Asia;Bonaire;2018;373
177;Total male and female;Total;Asia;Bonaire;2019;388
178;Total male and female;Total;Asia;Bonaire;2020;404
179;Total male and female;Total;Asia;Bonaire;2021;410
180;Total male and female;Total;Asia;Bonaire;2022;419
181;Total male and female;Total;Asia;Bonaire;2023;438
182;Total male and female;Total;Asia;St. Eustatius;2011;72
183;Total male and female;Total;Asia;St. Eustatius;2012;75
184;Total male and female;Total;Asia;St. Eustatius;2013;88
185;Total male and female;Total;Asia;St. Eustatius;2014;86
186;Total male and female;Total;Asia;St. Eustatius;2015;81
187;Total male and female;Total;Asia;St. Eustatius;2016;70
188;Total male and female;Total;Asia;St. Eustatius;2017;74
189;Total male and female;Total;Asia;St. Eustatius;2018;66
190;Total male and female;Total;Asia;St. Eustatius;2019;51
191;Total male and female;Total;Asia;St. Eustatius;2020;41
192;Total male and female;Total;Asia;St. Eustatius;2021;41
193;Total male and female;Total;Asia;St. Eustatius;2022;61
194;Total male and female;Total;Asia;St. Eustatius;2023;68
195;Total male and female;Total;Asia;Saba;2011;51
196;Total male and female;Total;Asia;Saba;2012;60
197;Total male and female;Total;Asia;Saba;2013;51
198;Total male and female;Total;Asia;Saba;2014;41
199;Total male and female;Total;Asia;Saba;2015;47
200;Total male and female;Total;Asia;Saba;2016;52
201;Total male and female;Total;Asia;Saba;2017;48
202;Total male and female;Total;Asia;Saba;2018;56
203;Total male and female;Total;Asia;Saba;2019;58
204;Total male and female;Total;Asia;Saba;2020;69
205;Total male and female;Total;Asia;Saba;2021;65
206;Total male and female;Total;Asia;Saba;2022;68
207;Total male and female;Total;Asia;Saba;2023;90
208;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2011;16715
209;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2012;17428
210;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2013;18000
211;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2014;18800
212;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2015;19182
213;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2016;19529
214;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2017;19905
215;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2018;20223
216;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2019;20357
217;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2020;20806
218;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2021;21499
219;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2022;22040
220;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2023;22855
221;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2011;13156
222;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2012;13727
223;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2013;14284
224;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2014;14983
225;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2015;15372
226;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2016;15691
227;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2017;16040
228;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2018;16275
229;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2019;16537
230;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2020;17002
231;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2021;17654
232;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2022;18138
233;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2023;18960
234;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2011;2459
235;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2012;2575
236;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2013;2589
237;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2014;2684
238;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2015;2633
239;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2016;2606
240;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2017;2626
241;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2018;2678
242;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2019;2564
243;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2020;2569
244;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2021;2607
245;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2022;2658
246;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2023;2662
247;Total male and female;Total;Europe (including Dutch nationals);Saba;2011;1100
248;Total male and female;Total;Europe (including Dutch nationals);Saba;2012;1126
249;Total male and female;Total;Europe (including Dutch nationals);Saba;2013;1127
250;Total male and female;Total;Europe (including Dutch nationals);Saba;2014;1133
251;Total male and female;Total;Europe (including Dutch nationals);Saba;2015;1177
252;Total male and female;Total;Europe (including Dutch nationals);Saba;2016;1232
253;Total male and female;Total;Europe (including Dutch nationals);Saba;2017;1239
254;Total male and female;Total;Europe (including Dutch nationals);Saba;2018;1270
255;Total male and female;Total;Europe (including Dutch nationals);Saba;2019;1256
256;Total male and female;Total;Europe (including Dutch nationals);Saba;2020;1235
257;Total male and female;Total;Europe (including Dutch nationals);Saba;2021;1238
258;Total male and female;Total;Europe (including Dutch nationals);Saba;2022;1244
259;Total male and female;Total;Europe (including Dutch nationals);Saba;2023;1233
260;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2011;296
261;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2012;372
262;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2013;423
263;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2014;480
264;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2015;461
265;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2016;487
266;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2017;462
267;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2018;493
268;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2019;469
269;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2020;502
270;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2021;525
271;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2022;534
272;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2023;565
273;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2011;181
274;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2012;218
275;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2013;247
276;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2014;292
277;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2015;312
278;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2016;334
279;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2017;302
280;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2018;323
281;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2019;342
282;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2020;368
283;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2021;393
284;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2022;388
285;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2023;423
286;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2011;76
287;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2012;102
288;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2013;119
289;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2014;132
290;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2015;89
291;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2016;82
292;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2017;88
293;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2018;85
294;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2019;64
295;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2020;71
296;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2021;77
297;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2022;80
298;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2023;81
299;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2011;39
300;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2012;52
301;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2013;57
302;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2014;56
303;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2015;60
304;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2016;71
305;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2017;72
306;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2018;85
307;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2019;63
308;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2020;63
309;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2021;55
310;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2022;66
311;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2023;61
312;Total male and female;Total;America;Caribbean Netherlands;2011;3975
313;Total male and female;Total;America;Caribbean Netherlands;2012;4447
314;Total male and female;Total;America;Caribbean Netherlands;2013;4825
315;Total male and female;Total;America;Caribbean Netherlands;2014;4982
316;Total male and female;Total;America;Caribbean Netherlands;2015;4917
317;Total male and female;Total;America;Caribbean Netherlands;2016;4532
318;Total male and female;Total;America;Caribbean Netherlands;2017;4047
319;Total male and female;Total;America;Caribbean Netherlands;2018;4300
320;Total male and female;Total;America;Caribbean Netherlands;2019;4269
321;Total male and female;Total;America;Caribbean Netherlands;2020;4632
322;Total male and female;Total;America;Caribbean Netherlands;2021;4742
323;Total male and female;Total;America;Caribbean Netherlands;2022;5090
324;Total male and female;Total;America;Caribbean Netherlands;2023;5912
325;Total male and female;Total;America;Bonaire;2011;2284
326;Total male and female;Total;America;Bonaire;2012;2556
327;Total male and female;Total;America;Bonaire;2013;2834
328;Total male and female;Total;America;Bonaire;2014;3097
329;Total male and female;Total;America;Bonaire;2015;3202
330;Total male and female;Total;America;Bonaire;2016;3361
331;Total male and female;Total;America;Bonaire;2017;2785
332;Total male and female;Total;America;Bonaire;2018;2883
333;Total male and female;Total;America;Bonaire;2019;3155
334;Total male and female;Total;America;Bonaire;2020;3483
335;Total male and female;Total;America;Bonaire;2021;3651
336;Total male and female;Total;America;Bonaire;2022;3991
337;Total male and female;Total;America;Bonaire;2023;4668
338;Total male and female;Total;America;St. Eustatius;2011;1052
339;Total male and female;Total;America;St. Eustatius;2012;1114
340;Total male and female;Total;America;St. Eustatius;2013;1192
341;Total male and female;Total;America;St. Eustatius;2014;1223
342;Total male and female;Total;America;St. Eustatius;2015;1138
343;Total male and female;Total;America;St. Eustatius;2016;516
344;Total male and female;Total;America;St. Eustatius;2017;549
345;Total male and female;Total;America;St. Eustatius;2018;603
346;Total male and female;Total;America;St. Eustatius;2019;521
347;Total male and female;Total;America;St. Eustatius;2020;529
348;Total male and female;Total;America;St. Eustatius;2021;491
349;Total male and female;Total;America;St. Eustatius;2022;520
350;Total male and female;Total;America;St. Eustatius;2023;558
351;Total male and female;Total;America;Saba;2011;639
352;Total male and female;Total;America;Saba;2012;777
353;Total male and female;Total;America;Saba;2013;799
354;Total male and female;Total;America;Saba;2014;662
355;Total male and female;Total;America;Saba;2015;577
356;Total male and female;Total;America;Saba;2016;655
357;Total male and female;Total;America;Saba;2017;713
358;Total male and female;Total;America;Saba;2018;814
359;Total male and female;Total;America;Saba;2019;593
360;Total male and female;Total;America;Saba;2020;620
361;Total male and female;Total;America;Saba;2021;600
362;Total male and female;Total;America;Saba;2022;579
363;Total male and female;Total;America;Saba;2023;686
364;Total male and female;Total;Oceania;Caribbean Netherlands;2011;7
365;Total male and female;Total;Oceania;Caribbean Netherlands;2012;8
366;Total male and female;Total;Oceania;Caribbean Netherlands;2013;8
367;Total male and female;Total;Oceania;Caribbean Netherlands;2014;10
368;Total male and female;Total;Oceania;Caribbean Netherlands;2015;8
369;Total male and female;Total;Oceania;Caribbean Netherlands;2016;4
370;Total male and female;Total;Oceania;Caribbean Netherlands;2017;3
371;Total male and female;Total;Oceania;Caribbean Netherlands;2018;7
372;Total male and female;Total;Oceania;Caribbean Netherlands;2019;6
373;Total male and female;Total;Oceania;Caribbean Netherlands;2020;9
374;Total male and female;Total;Oceania;Caribbean Netherlands;2021;12
375;Total male and female;Total;Oceania;Caribbean Netherlands;2022;7
376;Total male and female;Total;Oceania;Caribbean Netherlands;2023;6
377;Total male and female;Total;Oceania;Bonaire;2011;2
378;Total male and female;Total;Oceania;Bonaire;2012;3
379;Total male and female;Total;Oceania;Bonaire;2013;3
380;Total male and female;Total;Oceania;Bonaire;2014;3
381;Total male and female;Total;Oceania;Bonaire;2015;3
382;Total male and female;Total;Oceania;Bonaire;2016;3
383;Total male and female;Total;Oceania;Bonaire;2017;2
384;Total male and female;Total;Oceania;Bonaire;2018;6
385;Total male and female;Total;Oceania;Bonaire;2019;6
386;Total male and female;Total;Oceania;Bonaire;2020;9
387;Total male and female;Total;Oceania;Bonaire;2021;9
388;Total male and female;Total;Oceania;Bonaire;2022;4
389;Total male and female;Total;Oceania;Bonaire;2023;6
390;Total male and female;Total;Oceania;St. Eustatius;2011;4
391;Total male and female;Total;Oceania;St. Eustatius;2012;4
392;Total male and female;Total;Oceania;St. Eustatius;2013;4
393;Total male and female;Total;Oceania;St. Eustatius;2014;4
394;Total male and female;Total;Oceania;St. Eustatius;2015;4
395;Total male and female;Total;Oceania;St. Eustatius;2016;0
396;Total male and female;Total;Oceania;St. Eustatius;2017;0
397;Total male and female;Total;Oceania;St. Eustatius;2018;0
398;Total male and female;Total;Oceania;St. Eustatius;2019;0
399;Total male and female;Total;Oceania;St. Eustatius;2020;0
400;Total male and female;Total;Oceania;St. Eustatius;2021;0
401;Total male and female;Total;Oceania;St. Eustatius;2022;0
402;Total male and female;Total;Oceania;St. Eustatius;2023;0
403;Total male and female;Total;Oceania;Saba;2011;1
404;Total male and female;Total;Oceania;Saba;2012;1
405;Total male and female;Total;Oceania;Saba;2013;1
406;Total male and female;Total;Oceania;Saba;2014;3
407;Total male and female;Total;Oceania;Saba;2015;1
408;Total male and female;Total;Oceania;Saba;2016;1
409;Total male and female;Total;Oceania;Saba;2017;1
410;Total male and female;Total;Oceania;Saba;2018;1
411;Total male and female;Total;Oceania;Saba;2019;0
412;Total male and female;Total;Oceania;Saba;2020;0
413;Total male and female;Total;Oceania;Saba;2021;3
414;Total male and female;Total;Oceania;Saba;2022;3
415;Total male and female;Total;Oceania;Saba;2023;0
416;Total male and female;Total;North America;Caribbean Netherlands;2011;1241
417;Total male and female;Total;North America;Caribbean Netherlands;2012;1589
418;Total male and female;Total;North America;Caribbean Netherlands;2013;1757
419;Total male and female;Total;North America;Caribbean Netherlands;2014;1677
420;Total male and female;Total;North America;Caribbean Netherlands;2015;1527
421;Total male and female;Total;North America;Caribbean Netherlands;2016;1270
422;Total male and female;Total;North America;Caribbean Netherlands;2017;906
423;Total male and female;Total;North America;Caribbean Netherlands;2018;965
424;Total male and female;Total;North America;Caribbean Netherlands;2019;777
425;Total male and female;Total;North America;Caribbean Netherlands;2020;836
426;Total male and female;Total;North America;Caribbean Netherlands;2021;858
427;Total male and female;Total;North America;Caribbean Netherlands;2022;850
428;Total male and female;Total;North America;Caribbean Netherlands;2023;1036
429;Total male and female;Total;North America;Bonaire;2011;391
430;Total male and female;Total;North America;Bonaire;2012;568
431;Total male and female;Total;North America;Bonaire;2013;678
432;Total male and female;Total;North America;Bonaire;2014;777
433;Total male and female;Total;North America;Bonaire;2015;796
434;Total male and female;Total;North America;Bonaire;2016;804
435;Total male and female;Total;North America;Bonaire;2017;394
436;Total male and female;Total;North America;Bonaire;2018;358
437;Total male and female;Total;North America;Bonaire;2019;383
438;Total male and female;Total;North America;Bonaire;2020;440
439;Total male and female;Total;North America;Bonaire;2021;477
440;Total male and female;Total;North America;Bonaire;2022;513
441;Total male and female;Total;North America;Bonaire;2023;624
442;Total male and female;Total;North America;St. Eustatius;2011;427
443;Total male and female;Total;North America;St. Eustatius;2012;461
444;Total male and female;Total;North America;St. Eustatius;2013;510
445;Total male and female;Total;North America;St. Eustatius;2014;490
446;Total male and female;Total;North America;St. Eustatius;2015;416
447;Total male and female;Total;North America;St. Eustatius;2016;93
448;Total male and female;Total;North America;St. Eustatius;2017;94
449;Total male and female;Total;North America;St. Eustatius;2018;87
450;Total male and female;Total;North America;St. Eustatius;2019;65
451;Total male and female;Total;North America;St. Eustatius;2020;61
452;Total male and female;Total;North America;St. Eustatius;2021;65
453;Total male and female;Total;North America;St. Eustatius;2022;69
