ID;KenmerkenAreaal;Perioden;AppelsTotaal_1;Elstar_2;Jonagold_3;Jonagored_4;GoldenDelicious_5;SchoneVanBoskoop_6;Clubrassen_7;OverigeAppelrassen_8;PerenTotaal_9;HandperenTotaal_10;Conference_11;DoyenneDuComice_12;BeurreAlexandreLucas_13;OverigeHandperen_14;Stoofperen_15
19;Bomen: leeftijd 5 tot 10 jaar;2002;3140.0;820.0;960.0;330.0;230.0;340.0;;460.0;1280.0;1160.0;860.0;170.0;40.0;90.0;120.0
20;Bomen: leeftijd 5 tot 10 jaar;2007;4230.0;2190.0;540.0;380.0;200.0;150.0;370.0;400.0;1450.0;1410.0;1170.0;110.0;60.0;50.0;40.0
21;Bomen: leeftijd 5 tot 10 jaar;2012;2050.0;1000.0;350.0;170.0;90.0;120.0;120.0;200.0;1590.0;1580.0;1390.0;60.0;80.0;50.0;10.0
22;Bomen: leeftijd 5 tot 10 jaar;2017;1810.0;300.0;300.0;70.0;40.0;80.0;830.0;190.0;1730.0;1720.0;1390.0;60.0;160.0;110.0;10.0
23;Bomen: leeftijd 5 tot 10 jaar;2018;;;;;;;;;;;;;;;
24;Bomen: leeftijd 5 tot 10 jaar;2019;;;;;;;;;;;;;;;
25;Bomen: leeftijd 5 tot 10 jaar;2020;;;;;;;;;;;;;;;
26;Bomen: leeftijd 5 tot 10 jaar;2023;;;;;;;;;;;;;;;
27;Bomen: leeftijd 10 tot 15 jaar;1997;4060.0;1440.0;870.0;120.0;430.0;280.0;;920.0;750.0;660.0;450.0;140.0;;70.0;90.0
28;Bomen: leeftijd 10 tot 15 jaar;2002;3050.0;1120.0;650.0;280.0;240.0;220.0;;550.0;1000.0;890.0;610.0;170.0;50.0;70.0;100.0
29;Bomen: leeftijd 10 tot 15 jaar;2007;2180.0;740.0;530.0;290.0;210.0;240.0;;170.0;1220.0;1150.0;860.0;180.0;40.0;70.0;70.0
30;Bomen: leeftijd 10 tot 15 jaar;2012;3420.0;1910.0;540.0;200.0;210.0;160.0;;400.0;1460.0;1410.0;1170.0;110.0;70.0;50.0;50.0
31;Bomen: leeftijd 10 tot 15 jaar;2017;2050.0;990.0;350.0;170.0;90.0;110.0;100.0;240.0;1580.0;1570.0;1380.0;60.0;80.0;50.0;10.0
32;Bomen: leeftijd 10 tot 15 jaar;2018;;;;;;;;;;;;;;;
33;Bomen: leeftijd 10 tot 15 jaar;2019;;;;;;;;;;;;;;;
34;Bomen: leeftijd 10 tot 15 jaar;2020;;;;;;;;;;;;;;;
35;Bomen: leeftijd 10 tot 15 jaar;2023;2880.0;1280.0;410.0;110.0;60.0;140.0;280.0;600.0;3540.0;3490.0;2710.0;170.0;210.0;390.0;50.0
36;Bomen: leeftijd 15 tot 25 jaar;1997;700.0;90.0;150.0;0.0;130.0;150.0;;180.0;960.0;840.0;580.0;180.0;;90.0;120.0
37;Bomen: leeftijd 15 tot 25 jaar;2002;680.0;220.0;120.0;40.0;90.0;70.0;;130.0;1220.0;1100.0;740.0;250.0;20.0;100.0;120.0
38;Bomen: leeftijd 15 tot 25 jaar;2007;600.0;220.0;140.0;40.0;40.0;100.0;;60.0;1700.0;1610.0;1160.0;350.0;60.0;70.0;90.0
39;Bomen: leeftijd 15 tot 25 jaar;2012;490.0;50.0;160.0;20.0;40.0;80.0;;140.0;2260.0;2100.0;1350.0;500.0;110.0;140.0;160.0
40;Bomen: leeftijd 15 tot 25 jaar;2017;2140.0;1470.0;270.0;50.0;120.0;110.0;0.0;120.0;3050.0;2870.0;1990.0;480.0;220.0;180.0;180.0
41;Bomen: leeftijd 15 tot 25 jaar;2018;;;;;;;;;;;;;;;
42;Bomen: leeftijd 15 tot 25 jaar;2019;;;;;;;;;;;;;;;
43;Bomen: leeftijd 15 tot 25 jaar;2020;;;;;;;;;;;;;;;
44;Bomen: leeftijd 15 tot 25 jaar;2023;1070.0;490.0;140.0;50.0;30.0;60.0;130.0;170.0;3440.0;3370.0;2630.0;230.0;190.0;320.0;70.0
45;Bomen: leeftijd 25  jaar en ouder;1997;140.0;10.0;0.0;0.0;20.0;80.0;;40.0;1760.0;1650.0;770.0;560.0;;320.0;110.0
46;Bomen: leeftijd 25  jaar en ouder;2002;80.0;10.0;20.0;0.0;10.0;30.0;;20.0;1360.0;1270.0;660.0;420.0;30.0;170.0;80.0
47;Bomen: leeftijd 25  jaar en ouder;2007;50.0;30.0;0.0;0.0;0.0;10.0;;10.0;1350.0;1300.0;870.0;300.0;30.0;100.0;50.0
48;Bomen: leeftijd 25  jaar en ouder;2012;40.0;10.0;10.0;0.0;0.0;10.0;;10.0;1110.0;1080.0;750.0;210.0;30.0;100.0;30.0
49;Bomen: leeftijd 25  jaar en ouder;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1130.0;1090.0;900.0;90.0;20.0;80.0;40.0
50;Bomen: leeftijd 25  jaar en ouder;2018;;;;;;;;;;;;;;;
51;Bomen: leeftijd 25  jaar en ouder;2019;;;;;;;;;;;;;;;
52;Bomen: leeftijd 25  jaar en ouder;2020;;;;;;;;;;;;;;;
53;Bomen: leeftijd 25  jaar en ouder;2023;150.0;50.0;40.0;0.0;10.0;10.0;10.0;40.0;1910.0;1860.0;1360.0;200.0;110.0;180.0;50.0
54;Aantal bomen per ha: 0 tot 400 ;1997;80.0;10.0;0.0;;10.0;30.0;;30.0;70.0;50.0;20.0;10.0;;20.0;20.0
55;Aantal bomen per ha: 0 tot 400 ;2002;120.0;30.0;10.0;;10.0;20.0;;50.0;80.0;60.0;40.0;10.0;0.0;10.0;20.0
56;Aantal bomen per ha: 0 tot 400 ;2007;60.0;20.0;0.0;0.0;0.0;0.0;;40.0;70.0;60.0;50.0;10.0;0.0;10.0;10.0
57;Aantal bomen per ha: 0 tot 400 ;2012;40.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;80.0;70.0;70.0;0.0;0.0;0.0;10.0
58;Aantal bomen per ha: 0 tot 400 ;2017;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;80.0;70.0;70.0;0.0;0.0;0.0;10.0
59;Aantal bomen per ha: 0 tot 400 ;2018;;;;;;;;;;;;;;;
60;Aantal bomen per ha: 0 tot 400 ;2019;;;;;;;;;;;;;;;
61;Aantal bomen per ha: 0 tot 400 ;2020;;;;;;;;;;;;;;;
62;Aantal bomen per ha: 0 tot 400 ;2023;460.0;180.0;70.0;20.0;10.0;10.0;40.0;130.0;880.0;360.0;270.0;30.0;10.0;50.0;10.0
63;Aantal bomen per ha: 400 tot 800 ;1997;70.0;20.0;10.0;;0.0;20.0;;20.0;250.0;220.0;100.0;60.0;;60.0;40.0
64;Aantal bomen per ha: 400 tot 800 ;2002;20.0;10.0;0.0;;0.0;0.0;;10.0;140.0;130.0;60.0;40.0;0.0;20.0;20.0
65;Aantal bomen per ha: 400 tot 800 ;2007;70.0;20.0;10.0;10.0;0.0;20.0;;10.0;140.0;130.0;50.0;60.0;0.0;20.0;10.0
66;Aantal bomen per ha: 400 tot 800 ;2012;100.0;20.0;10.0;10.0;10.0;10.0;0.0;50.0;70.0;60.0;30.0;20.0;0.0;10.0;10.0
67;Aantal bomen per ha: 400 tot 800 ;2017;110.0;20.0;10.0;10.0;10.0;10.0;0.0;50.0;70.0;60.0;30.0;20.0;0.0;10.0;10.0
68;Aantal bomen per ha: 400 tot 800 ;2018;;;;;;;;;;;;;;;
69;Aantal bomen per ha: 400 tot 800 ;2019;;;;;;;;;;;;;;;
70;Aantal bomen per ha: 400 tot 800 ;2020;;;;;;;;;;;;;;;
71;Aantal bomen per ha: 400 tot 800 ;2023;320.0;160.0;50.0;10.0;10.0;10.0;10.0;60.0;390.0;230.0;190.0;20.0;0.0;20.0;0.0
72;Aantal bomen per ha: 800 tot 1600;1997;440.0;100.0;60.0;20.0;30.0;110.0;;120.0;2330.0;2120.0;1180.0;580.0;;350.0;210.0
73;Aantal bomen per ha: 800 tot 1600;2002;230.0;90.0;30.0;20.0;10.0;30.0;;50.0;1600.0;1440.0;820.0;410.0;50.0;170.0;150.0
74;Aantal bomen per ha: 800 tot 1600;2007;310.0;170.0;40.0;10.0;20.0;30.0;;40.0;1100.0;1060.0;750.0;200.0;50.0;60.0;40.0
75;Aantal bomen per ha: 800 tot 1600;2012;280.0;130.0;40.0;10.0;10.0;40.0;0.0;50.0;610.0;580.0;410.0;80.0;50.0;40.0;30.0
76;Aantal bomen per ha: 800 tot 1600;2017;210.0;90.0;30.0;10.0;10.0;30.0;0.0;40.0;670.0;640.0;470.0;80.0;60.0;30.0;30.0
77;Aantal bomen per ha: 800 tot 1600;2018;;;;;;;;;;;;;;;
78;Aantal bomen per ha: 800 tot 1600;2019;;;;;;;;;;;;;;;
79;Aantal bomen per ha: 800 tot 1600;2020;;;;;;;;;;;;;;;
80;Aantal bomen per ha: 800 tot 1600;2023;200.0;70.0;30.0;0.0;10.0;10.0;30.0;40.0;750.0;140.0;110.0;20.0;0.0;10.0;0.0
81;Aantal bomen per ha: 1600 tot 2400;1997;3480.0;1080.0;710.0;140.0;380.0;410.0;;760.0;2110.0;1930.0;1280.0;420.0;;220.0;180.0
82;Aantal bomen per ha: 1600 tot 2400;2002;1920.0;670.0;390.0;130.0;180.0;230.0;;320.0;2490.0;2270.0;1580.0;410.0;100.0;190.0;210.0
83;Aantal bomen per ha: 1600 tot 2400;2007;1570.0;620.0;350.0;110.0;110.0;170.0;30.0;180.0;2630.0;2540.0;1950.0;350.0;100.0;140.0;90.0
84;Aantal bomen per ha: 1600 tot 2400;2012;1540.0;450.0;320.0;70.0;100.0;140.0;140.0;320.0;3200.0;3110.0;2400.0;380.0;140.0;190.0;90.0
85;Aantal bomen per ha: 1600 tot 2400;2017;1150.0;400.0;220.0;30.0;60.0;110.0;130.0;200.0;3740.0;3630.0;2900.0;290.0;230.0;210.0;110.0
86;Aantal bomen per ha: 1600 tot 2400;2018;;;;;;;;;;;;;;;
87;Aantal bomen per ha: 1600 tot 2400;2019;;;;;;;;;;;;;;;
88;Aantal bomen per ha: 1600 tot 2400;2020;;;;;;;;;;;;;;;
89;Aantal bomen per ha: 1600 tot 2400;2023;530.0;230.0;70.0;30.0;20.0;40.0;30.0;110.0;2480.0;420.0;320.0;30.0;30.0;40.0;20.0
90;Aantal bomen per ha: 2400 tot 3200 ;1997;8170.0;2930.0;1890.0;640.0;640.0;510.0;;1560.0;1020.0;940.0;700.0;160.0;;90.0;80.0
91;Aantal bomen per ha: 2400 tot 3200 ;2002;6210.0;2500.0;1360.0;620.0;450.0;390.0;;890.0;1450.0;1400.0;1110.0;170.0;50.0;70.0;50.0
92;Aantal bomen per ha: 2400 tot 3200 ;2007;5290.0;2470.0;880.0;560.0;300.0;310.0;370.0;400.0;2790.0;2740.0;2230.0;320.0;100.0;100.0;50.0
93;Aantal bomen per ha: 2400 tot 3200 ;2012;4630.0;2140.0;870.0;290.0;210.0;230.0;550.0;350.0;3550.0;3500.0;2710.0;400.0;220.0;170.0;50.0
94;Aantal bomen per ha: 2400 tot 3200 ;2017;4380.0;2110.0;830.0;230.0;160.0;190.0;540.0;320.0;4560.0;4500.0;3370.0;350.0;440.0;340.0;60.0
95;Aantal bomen per ha: 2400 tot 3200 ;2018;;;;;;;;;;;;;;;
96;Aantal bomen per ha: 2400 tot 3200 ;2019;;;;;;;;;;;;;;;
97;Aantal bomen per ha: 2400 tot 3200 ;2020;;;;;;;;;;;;;;;
98;Aantal bomen per ha: 2400 tot 3200 ;2023;2600.0;1220.0;350.0;70.0;60.0;140.0;280.0;470.0;4180.0;2190.0;1710.0;140.0;110.0;230.0;60.0
99;Aantal bomen per ha: 3200 tot 4000 ;1997;2220.0;770.0;570.0;270.0;100.0;120.0;;390.0;150.0;140.0;100.0;30.0;;10.0;10.0
100;Aantal bomen per ha: 3200 tot 4000 ;2002;1980.0;830.0;480.0;230.0;90.0;100.0;;250.0;280.0;260.0;200.0;50.0;0.0;10.0;20.0
101;Aantal bomen per ha: 3200 tot 4000 ;2007;1660.0;760.0;200.0;170.0;80.0;60.0;290.0;100.0;290.0;250.0;200.0;30.0;10.0;10.0;40.0
102;Aantal bomen per ha: 3200 tot 4000 ;2012;1120.0;500.0;100.0;70.0;40.0;20.0;300.0;100.0;380.0;340.0;230.0;30.0;20.0;60.0;40.0
103;Aantal bomen per ha: 3200 tot 4000 ;2017;960.0;430.0;80.0;20.0;40.0;20.0;320.0;50.0;370.0;330.0;220.0;20.0;30.0;60.0;40.0
104;Aantal bomen per ha: 3200 tot 4000 ;2018;;;;;;;;;;;;;;;
105;Aantal bomen per ha: 3200 tot 4000 ;2019;;;;;;;;;;;;;;;
106;Aantal bomen per ha: 3200 tot 4000 ;2020;;;;;;;;;;;;;;;
107;Aantal bomen per ha: 3200 tot 4000 ;2023;1150.0;470.0;130.0;60.0;20.0;40.0;130.0;300.0;660.0;1050.0;830.0;40.0;40.0;140.0;30.0
108;Aantal bomen per ha: 4000 of meer;1997;700.0;220.0;190.0;90.0;30.0;70.0;;100.0;100.0;100.0;80.0;10.0;;0.0;10.0
109;Aantal bomen per ha: 4000 of meer;2002;720.0;270.0;190.0;70.0;30.0;40.0;;120.0;290.0;280.0;230.0;30.0;0.0;10.0;10.0
110;Aantal bomen per ha: 4000 of meer;2007;440.0;160.0;80.0;40.0;30.0;30.0;30.0;70.0;290.0;280.0;230.0;30.0;10.0;10.0;10.0
111;Aantal bomen per ha: 4000 of meer;2012;230.0;50.0;40.0;20.0;20.0;10.0;40.0;50.0;280.0;270.0;210.0;30.0;20.0;10.0;10.0
112;Aantal bomen per ha: 4000 of meer;2017;100.0;20.0;30.0;0.0;0.0;10.0;40.0;0.0;250.0;240.0;200.0;10.0;20.0;10.0;10.0
113;Aantal bomen per ha: 4000 of meer;2018;;;;;;;;;;;;;;;
114;Aantal bomen per ha: 4000 of meer;2019;;;;;;;;;;;;;;;
115;Aantal bomen per ha: 4000 of meer;2020;;;;;;;;;;;;;;;
116;Aantal bomen per ha: 4000 of meer;2023;240.0;70.0;20.0;10.0;0.0;10.0;40.0;90.0;610.0;190.0;140.0;10.0;10.0;30.0;0.0
