ID;EnergySourcesTechniques;Periods;GrossProductionWithNormalisation_1;GrossProductionOfElectricity_2;NetProductionOfElectricity_3;GrossProductionWithNormalisation_4;GrossProductionOfElectricity_5;NetProductionOfElectricity_6;InstallationsInstalledEndOfYear_7;ElectricalCapacityEndOfYear_8
30;Total renewable energy sources;2020;31924.0;32740.0;31792.0;26.41;27.14;27.12;;
31;Total renewable energy sources;2021;40706.0;40433.0;38888.0;33.25;33.03;32.91;;
32;Total renewable energy sources;2022;46512.0;48093.0;46510.0;39.65;41.0;41.16;;
33;Total renewable energy sources;2023;53671.0;56779.0;55322.0;46.4;49.09;49.45;;
34;Total renewable energy sources;2024;;61911.0;60796.0;;52.06;52.45;;
35;Hydropower;1990;85.0;85.0;85.0;0.1;0.1;0.11;5.0;37.0
36;Hydropower;1991;95.0;104.0;104.0;0.11;0.12;0.13;5.0;37.0
37;Hydropower;1992;103.0;120.0;120.0;0.12;0.14;0.14;5.0;37.0
38;Hydropower;1993;100.0;92.0;92.0;0.11;0.11;0.11;5.0;37.0
39;Hydropower;1994;100.0;100.0;100.0;0.11;0.11;0.11;5.0;37.0
40;Hydropower;1995;98.0;88.0;88.0;0.11;0.1;0.1;5.0;37.0
41;Hydropower;1996;96.0;80.0;80.0;0.1;0.08;0.09;5.0;37.0
42;Hydropower;1997;95.0;92.0;92.0;0.1;0.09;0.1;5.0;37.0
43;Hydropower;1998;97.0;112.0;112.0;0.09;0.11;0.11;5.0;37.0
44;Hydropower;1999;96.0;90.0;90.0;0.09;0.09;0.09;5.0;37.0
45;Hydropower;2000;100.0;142.0;142.0;0.09;0.13;0.14;6.0;37.0
46;Hydropower;2001;102.0;117.0;117.0;0.09;0.11;0.11;6.0;37.0
47;Hydropower;2002;103.0;110.0;110.0;0.09;0.1;0.1;6.0;37.0
48;Hydropower;2003;100.0;72.0;72.0;0.09;0.06;0.07;6.0;37.0
49;Hydropower;2004;100.0;95.0;95.0;0.09;0.08;0.08;6.0;37.0
50;Hydropower;2005;100.0;88.0;88.0;0.08;0.07;0.08;6.0;37.0
51;Hydropower;2006;100.0;106.0;106.0;0.08;0.09;0.09;6.0;37.0
52;Hydropower;2007;99.0;107.0;107.0;0.08;0.09;0.09;6.0;37.0
53;Hydropower;2008;100.0;102.0;102.0;0.08;0.08;0.09;6.0;37.0
54;Hydropower;2009;100.0;98.0;98.0;0.08;0.08;0.09;6.0;37.0
55;Hydropower;2010;101.0;105.0;105.0;0.08;0.09;0.09;7.0;37.0
56;Hydropower;2011;100.0;57.0;57.0;0.08;0.05;0.05;7.0;37.0
57;Hydropower;2012;100.0;104.0;104.0;0.08;0.09;0.09;7.0;37.0
58;Hydropower;2013;101.0;114.0;114.0;0.08;0.1;0.1;7.0;37.0
59;Hydropower;2014;102.0;112.0;112.0;0.09;0.09;0.1;7.0;37.0
60;Hydropower;2015;99.0;93.0;93.0;0.08;0.08;0.08;7.0;37.0
61;Hydropower;2016;98.0;100.0;100.0;0.08;0.08;0.09;7.0;37.0
62;Hydropower;2017;94.0;61.0;61.0;0.08;0.05;0.05;7.0;37.0
63;Hydropower;2018;94.0;72.0;72.0;0.08;0.06;0.06;7.0;37.0
64;Hydropower;2019;93.0;74.0;74.0;0.08;0.06;0.06;7.0;37.0
65;Hydropower;2020;90.0;46.0;46.0;0.07;0.04;0.04;7.0;37.0
66;Hydropower;2021;91.0;88.0;88.0;0.07;0.07;0.08;8.0;38.0
67;Hydropower;2022;87.0;50.0;50.0;0.07;0.04;0.04;8.0;38.0
68;Hydropower;2023;84.0;69.0;69.0;0.07;0.06;0.06;8.0;38.0
69;Hydropower;2024;;85.0;85.0;;0.07;0.07;;38.0
70;Wind energy, total;1990;56.0;56.0;56.0;0.07;0.07;0.07;323.0;50.0
71;Wind energy, total;1991;88.0;88.0;88.0;0.11;0.11;0.11;429.0;83.0
72;Wind energy, total;1992;137.0;147.0;147.0;0.16;0.17;0.18;497.0;101.0
73;Wind energy, total;1993;173.0;174.0;174.0;0.2;0.2;0.21;633.0;131.0
74;Wind energy, total;1994;221.0;238.0;238.0;0.24;0.26;0.27;724.0;152.0
75;Wind energy, total;1995;314.0;317.0;317.0;0.34;0.34;0.36;1008.0;250.0
76;Wind energy, total;1996;435.0;437.0;437.0;0.45;0.46;0.47;1115.0;296.0
77;Wind energy, total;1997;489.0;475.0;475.0;0.49;0.48;0.5;1148.0;324.0
78;Wind energy, total;1998;571.0;640.0;640.0;0.55;0.62;0.64;1193.0;363.0
79;Wind energy, total;1999;642.0;645.0;645.0;0.61;0.61;0.63;1253.0;410.0
80;Wind energy, total;2000;744.0;829.0;829.0;0.69;0.76;0.79;1291.0;447.0
81;Wind energy, total;2001;822.0;825.0;825.0;0.74;0.74;0.77;1342.0;485.0
82;Wind energy, total;2002;1020.0;947.0;947.0;0.91;0.84;0.87;1454.0;672.0
83;Wind energy, total;2003;1359.0;1320.0;1320.0;1.19;1.16;1.2;1598.0;905.0
84;Wind energy, total;2004;1763.0;1871.0;1871.0;1.5;1.59;1.65;1654.0;1075.0
85;Wind energy, total;2005;2034.0;2067.0;2067.0;1.72;1.75;1.81;1710.0;1224.0
86;Wind energy, total;2006;2540.0;2734.0;2734.0;2.11;2.27;2.35;1830.0;1561.0
87;Wind energy, total;2007;3166.0;3438.0;3438.0;2.58;2.8;2.9;1891.0;1749.0
88;Wind energy, total;2008;3925.0;4260.0;4260.0;3.18;3.45;3.58;2038.0;2149.0
89;Wind energy, total;2009;4481.0;4581.0;4581.0;3.78;3.86;4.02;1972.0;2222.0
90;Wind energy, total;2010;4503.0;3993.0;3993.0;3.69;3.27;3.39;1973.0;2237.0
91;Wind energy, total;2011;4725.0;5100.0;5100.0;3.84;4.14;4.29;1978.0;2316.0
92;Wind energy, total;2012;4939.0;4982.0;4982.0;4.1;4.14;4.28;1978.0;2433.0
93;Wind energy, total;2013;5368.0;5627.0;5627.0;4.47;4.69;4.86;2073.0;2713.0
94;Wind energy, total;2014;5810.0;5797.0;5797.0;4.92;4.91;5.11;2124.0;2865.0
95;Wind energy, total;2015;6917.0;7550.0;7550.0;5.81;6.34;6.61;2171.0;3391.0
96;Wind energy, total;2016;8364.0;8170.0;8170.0;6.97;6.8;7.05;2331.0;4257.0
97;Wind energy, total;2017;9642.0;10569.0;10569.0;7.98;8.75;9.04;2270.0;4202.0
98;Wind energy, total;2018;10030.0;10549.0;10548.0;8.22;8.64;8.89;2318.0;4393.0
99;Wind energy, total;2019;10774.0;11508.0;11508.0;8.82;9.42;9.69;2321.0;4484.0
100;Wind energy, total;2020;13949.0;15278.0;15278.0;11.54;12.66;13.03;2612.0;6648.0
101;Wind energy, total;2021;18998.0;18123.0;17679.0;15.52;14.8;14.96;2770.0;7646.0
102;Wind energy, total;2022;21404.0;21566.0;21071.0;18.25;18.38;18.64;2918.0;8700.0
103;Wind energy, total;2023;26854.0;29525.0;28926.0;23.22;25.52;25.86;3157.0;10734.0
104;Wind energy, total;2024;;33368.0;32700.0;;28.06;28.21;;11701.0
105;Onshore wind energy;1990;56.0;56.0;56.0;0.07;0.07;0.07;323.0;50.0
106;Onshore wind energy;1991;88.0;88.0;88.0;0.11;0.11;0.11;429.0;83.0
107;Onshore wind energy;1992;137.0;147.0;147.0;0.16;0.17;0.18;497.0;101.0
108;Onshore wind energy;1993;173.0;174.0;174.0;0.2;0.2;0.21;633.0;131.0
109;Onshore wind energy;1994;221.0;238.0;238.0;0.24;0.26;0.27;724.0;152.0
110;Onshore wind energy;1995;314.0;317.0;317.0;0.34;0.34;0.36;1008.0;250.0
111;Onshore wind energy;1996;435.0;437.0;437.0;0.45;0.46;0.47;1115.0;296.0
112;Onshore wind energy;1997;489.0;475.0;475.0;0.49;0.48;0.5;1148.0;324.0
113;Onshore wind energy;1998;571.0;640.0;640.0;0.55;0.62;0.64;1193.0;363.0
114;Onshore wind energy;1999;642.0;645.0;645.0;0.61;0.61;0.63;1253.0;410.0
115;Onshore wind energy;2000;744.0;829.0;829.0;0.69;0.76;0.79;1291.0;447.0
116;Onshore wind energy;2001;822.0;825.0;825.0;0.74;0.74;0.77;1342.0;485.0
117;Onshore wind energy;2002;1020.0;947.0;947.0;0.91;0.84;0.87;1454.0;672.0
118;Onshore wind energy;2003;1359.0;1320.0;1320.0;1.19;1.16;1.2;1598.0;905.0
119;Onshore wind energy;2004;1763.0;1871.0;1871.0;1.5;1.59;1.65;1654.0;1075.0
120;Onshore wind energy;2005;2034.0;2067.0;2067.0;1.72;1.75;1.81;1710.0;1224.0
121;Onshore wind energy;2006;2477.0;2666.0;2666.0;2.06;2.22;2.3;1794.0;1453.0
122;Onshore wind energy;2007;2862.0;3108.0;3108.0;2.33;2.53;2.62;1855.0;1641.0
123;Onshore wind energy;2008;3376.0;3664.0;3664.0;2.74;2.97;3.08;1942.0;1921.0
124;Onshore wind energy;2009;3762.0;3846.0;3846.0;3.17;3.24;3.37;1876.0;1994.0
125;Onshore wind energy;2010;3737.0;3315.0;3315.0;3.06;2.72;2.81;1877.0;2009.0
126;Onshore wind energy;2011;3982.0;4298.0;4298.0;3.24;3.49;3.62;1882.0;2088.0
127;Onshore wind energy;2012;4156.0;4193.0;4193.0;3.45;3.48;3.6;1882.0;2205.0
128;Onshore wind energy;2013;4632.0;4856.0;4856.0;3.86;4.05;4.19;1977.0;2485.0
129;Onshore wind energy;2014;5060.0;5049.0;5049.0;4.28;4.27;4.45;2028.0;2637.0
130;Onshore wind energy;2015;5882.0;6420.0;6420.0;4.94;5.39;5.62;2032.0;3034.0
131;Onshore wind energy;2016;6041.0;5901.0;5901.0;5.03;4.91;5.09;2042.0;3300.0
132;Onshore wind energy;2017;6267.0;6869.0;6869.0;5.19;5.69;5.87;1981.0;3245.0
133;Onshore wind energy;2018;6578.0;6918.0;6918.0;5.39;5.67;5.83;2029.0;3436.0
134;Onshore wind energy;2019;7429.0;7935.0;7935.0;6.08;6.49;6.68;2032.0;3527.0
135;Onshore wind energy;2020;8962.0;9794.0;9794.0;7.41;8.12;8.36;2150.0;4188.0
136;Onshore wind energy;2021;10454.0;10058.0;9813.0;8.54;8.22;8.3;2308.0;5186.0
137;Onshore wind energy;2022;12957.0;13440.0;13134.0;11.04;11.46;11.62;2446.0;6131.0
138;Onshore wind energy;2023;15767.0;17814.0;17453.0;13.63;15.4;15.6;2557.0;6757.0
139;Onshore wind energy;2024;;17880.0;17518.0;;15.03;15.11;;6953.0
140;Offshore wind energy;1990;;;;;;;;
141;Offshore wind energy;1991;;;;;;;;
142;Offshore wind energy;1992;;;;;;;;
143;Offshore wind energy;1993;;;;;;;;
144;Offshore wind energy;1994;;;;;;;;
145;Offshore wind energy;1995;;;;;;;;
146;Offshore wind energy;1996;;;;;;;;
147;Offshore wind energy;1997;;;;;;;;
148;Offshore wind energy;1998;;;;;;;;
149;Offshore wind energy;1999;;;;;;;;
150;Offshore wind energy;2000;;;;;;;;
151;Offshore wind energy;2001;;;;;;;;
152;Offshore wind energy;2002;;;;;;;;
153;Offshore wind energy;2003;;;;;;;;
154;Offshore wind energy;2004;;;;;;;;
155;Offshore wind energy;2005;;;;;;;;
156;Offshore wind energy;2006;63.0;68.0;68.0;0.05;0.06;0.06;36.0;108.0
157;Offshore wind energy;2007;303.0;330.0;330.0;0.25;0.27;0.28;36.0;108.0
158;Offshore wind energy;2008;549.0;596.0;596.0;0.44;0.48;0.5;96.0;228.0
159;Offshore wind energy;2009;719.0;735.0;735.0;0.61;0.62;0.64;96.0;228.0
160;Offshore wind energy;2010;765.0;679.0;679.0;0.63;0.56;0.58;96.0;228.0
161;Offshore wind energy;2011;743.0;802.0;802.0;0.6;0.65;0.67;96.0;228.0
162;Offshore wind energy;2012;782.0;789.0;789.0;0.65;0.66;0.68;96.0;228.0
163;Offshore wind energy;2013;736.0;771.0;771.0;0.61;0.64;0.67;96.0;228.0
164;Offshore wind energy;2014;750.0;748.0;748.0;0.63;0.63;0.66;96.0;228.0
165;Offshore wind energy;2015;1035.0;1130.0;1130.0;0.87;0.95;0.99;139.0;357.0
166;Offshore wind energy;2016;2323.0;2269.0;2269.0;1.93;1.89;1.96;289.0;957.0
167;Offshore wind energy;2017;3375.0;3700.0;3700.0;2.8;3.06;3.16;289.0;957.0
168;Offshore wind energy;2018;3452.0;3630.0;3630.0;2.83;2.97;3.06;289.0;957.0
169;Offshore wind energy;2019;3345.0;3573.0;3573.0;2.74;2.92;3.01;289.0;957.0
170;Offshore wind energy;2020;4987.0;5484.0;5484.0;4.13;4.55;4.68;462.0;2460.0
171;Offshore wind energy;2021;8544.0;8066.0;7865.0;6.98;6.59;6.66;462.0;2460.0
172;Offshore wind energy;2022;8447.0;8126.0;7936.0;7.2;6.93;7.02;472.0;2570.0
173;Offshore wind energy;2023;11087.0;11712.0;11473.0;9.59;10.12;10.26;600.0;3978.0
174;Offshore wind energy;2024;;15488.0;15182.0;;13.02;13.1;;4748.0
175;Solar photovoltaic;1990;0.0;0.0;0.0;0.0;0.0;0.0;;1.0
176;Solar photovoltaic;1991;1.0;1.0;1.0;0.0;0.0;0.0;;1.0
177;Solar photovoltaic;1992;1.0;1.0;1.0;0.0;0.0;0.0;;1.0
178;Solar photovoltaic;1993;1.0;1.0;1.0;0.0;0.0;0.0;;2.0
179;Solar photovoltaic;1994;1.0;1.0;1.0;0.0;0.0;0.0;;2.0
180;Solar photovoltaic;1995;2.0;2.0;2.0;0.0;0.0;0.0;;2.0
181;Solar photovoltaic;1996;2.0;2.0;2.0;0.0;0.0;0.0;;3.0
182;Solar photovoltaic;1997;3.0;3.0;3.0;0.0;0.0;0.0;;4.0
183;Solar photovoltaic;1998;4.0;4.0;4.0;0.0;0.0;0.0;;6.0
184;Solar photovoltaic;1999;5.0;5.0;5.0;0.01;0.01;0.01;;9.0
185;Solar photovoltaic;2000;8.0;8.0;8.0;0.01;0.01;0.01;;13.0
186;Solar photovoltaic;2001;12.0;12.0;12.0;0.01;0.01;0.01;;21.0
187;Solar photovoltaic;2002;16.0;16.0;16.0;0.01;0.01;0.02;;26.0
188;Solar photovoltaic;2003;25.0;25.0;25.0;0.02;0.02;0.02;;46.0
189;Solar photovoltaic;2004;34.0;34.0;34.0;0.03;0.03;0.03;;50.0
190;Solar photovoltaic;2005;35.0;35.0;35.0;0.03;0.03;0.03;;51.0
191;Solar photovoltaic;2006;37.0;37.0;37.0;0.03;0.03;0.03;;53.0
192;Solar photovoltaic;2007;38.0;38.0;38.0;0.03;0.03;0.03;;54.0
193;Solar photovoltaic;2008;40.0;40.0;40.0;0.03;0.03;0.03;;59.0
194;Solar photovoltaic;2009;45.0;45.0;45.0;0.04;0.04;0.04;;69.0
195;Solar photovoltaic;2010;56.0;56.0;56.0;0.05;0.05;0.05;;90.0
196;Solar photovoltaic;2011;104.0;104.0;104.0;0.08;0.08;0.09;;149.0
197;Solar photovoltaic;2012;191.0;191.0;191.0;0.16;0.16;0.16;;287.0
198;Solar photovoltaic;2013;410.0;410.0;410.0;0.34;0.34;0.35;;650.0
199;Solar photovoltaic;2014;725.0;725.0;725.0;0.61;0.61;0.64;;1007.0
200;Solar photovoltaic;2015;1109.0;1109.0;1109.0;0.93;0.93;0.97;;1526.0
201;Solar photovoltaic;2016;1602.0;1602.0;1602.0;1.33;1.33;1.38;;2135.0
202;Solar photovoltaic;2017;2208.0;2208.0;2208.0;1.83;1.83;1.89;;2911.0
203;Solar photovoltaic;2018;3709.0;3709.0;3709.0;3.04;3.04;3.13;;4608.0
204;Solar photovoltaic;2019;5399.0;5399.0;5399.0;4.42;4.42;4.55;;7226.0
205;Solar photovoltaic;2020;8765.0;8568.0;8568.0;7.25;7.1;7.31;;11108.0
206;Solar photovoltaic;2021;11304.0;11304.0;11304.0;9.23;9.23;9.57;1730285.0;14823.0
207;Solar photovoltaic;2022;16657.0;16657.0;16657.0;14.2;14.2;14.74;2298859.0;17356.0
208;Solar photovoltaic;2023;19578.0;19578.0;19578.0;16.93;16.93;17.5;2875487.0;21275.0
209;Solar photovoltaic;2024;;21645.0;21645.0;;18.2;18.67;;24359.0
210;Total biomass;1990;668.0;665.0;583.0;0.82;0.82;0.74;;
211;Total biomass;1991;747.0;742.0;658.0;0.9;0.89;0.81;;
212;Total biomass;1992;741.0;726.0;630.0;0.86;0.85;0.76;;
213;Total biomass;1993;854.0;839.0;690.0;0.98;0.96;0.82;;
214;Total biomass;1994;930.0;918.0;754.0;1.03;1.02;0.87;;
215;Total biomass;1995;1009.0;998.0;814.0;1.09;1.08;0.91;;
216;Total biomass;1996;1308.0;1297.0;1063.0;1.36;1.35;1.15;;
217;Total biomass;1997;1458.0;1446.0;1162.0;1.47;1.46;1.21;;
218;Total biomass;1998;1587.0;1572.0;1269.0;1.54;1.53;1.28;;
219;Total biomass;1999;1786.0;1768.0;1453.0;1.7;1.68;1.43;;
220;Total biomass;2000;2019.0;1999.0;1678.0;1.86;1.84;1.6;;
221;Total biomass;2001;2372.0;2355.0;2031.0;2.14;2.12;1.9;;
222;Total biomass;2002;2923.0;2908.0;2554.0;2.6;2.59;2.35;;
223;Total biomass;2003;2564.0;2552.0;2225.0;2.25;2.24;2.02;;
224;Total biomass;2004;3332.0;3315.0;2955.0;2.84;2.82;2.6;;
225;Total biomass;2005;5279.0;5262.0;4815.0;4.47;4.45;4.22;;
226;Total biomass;2006;5191.0;5173.0;4703.0;4.32;4.3;4.05;;
227;Total biomass;2007;4019.0;4001.0;3556.0;3.27;3.26;3.0;;
228;Total biomass;2008;5149.0;5132.0;4562.0;4.17;4.16;3.83;;
229;Total biomass;2009;6130.0;6111.0;5463.0;5.17;5.15;4.79;;
230;Total biomass;2010;7058.0;7043.0;6331.0;5.78;5.77;5.37;;
231;Total biomass;2011;7056.0;7059.0;6323.0;5.73;5.74;5.32;;
232;Total biomass;2012;7226.0;7204.0;6465.0;6.0;5.98;5.56;;
233;Total biomass;2013;6003.0;5954.0;5277.0;5.0;4.96;4.56;;
234;Total biomass;2014;5096.0;5013.0;4345.0;4.31;4.24;3.83;;
235;Total biomass;2015;5028.0;4934.0;4258.0;4.22;4.14;3.73;;
236;Total biomass;2016;5010.0;4905.0;4231.0;4.17;4.08;3.65;;
237;Total biomass;2017;4729.0;4599.0;3926.0;3.92;3.81;3.36;;
238;Total biomass;2018;4700.0;4561.0;3912.0;3.85;3.74;3.3;;
239;Total biomass;2019;6011.0;5814.0;5060.0;4.92;4.76;4.26;;
240;Total biomass;2020;9121.0;8848.0;7899.0;7.54;7.34;6.74;;
241;Total biomass;2021;10314.0;10918.0;9817.0;8.43;8.92;8.31;;
242;Total biomass;2022;8365.0;9820.0;8733.0;7.13;8.37;7.73;;
243;Total biomass;2023;7155.0;7607.0;6748.0;6.18;6.58;6.03;;
244;Total biomass;2024;;6813.0;6366.0;;5.73;5.49;;
245;"Municipal waste; renewable fraction";1990;539.0;539.0;462.0;0.67;0.67;0.59;;196.0
246;"Municipal waste; renewable fraction";1991;588.0;588.0;510.0;0.71;0.71;0.63;;197.0
247;"Municipal waste; renewable fraction";1992;567.0;567.0;476.0;0.66;0.66;0.57;;197.0
248;"Municipal waste; renewable fraction";1993;634.0;634.0;492.0;0.73;0.73;0.58;;277.0
249;"Municipal waste; renewable fraction";1994;661.0;661.0;506.0;0.73;0.73;0.58;;277.0
250;"Municipal waste; renewable fraction";1995;703.0;703.0;528.0;0.76;0.76;0.59;;277.0
251;"Municipal waste; renewable fraction";1996;953.0;953.0;731.0;0.99;0.99;0.79;;387.0
252;"Municipal waste; renewable fraction";1997;1108.0;1108.0;836.0;1.12;1.12;0.87;;394.0
253;"Municipal waste; renewable fraction";1998;1188.0;1188.0;898.0;1.15;1.15;0.9;;394.0
254;"Municipal waste; renewable fraction";1999;1261.0;1261.0;967.0;1.2;1.2;0.95;;394.0
255;"Municipal waste; renewable fraction";2000;1272.0;1272.0;987.0;1.17;1.17;0.94;11.0;394.0
256;"Municipal waste; renewable fraction";2001;1214.0;1214.0;945.0;1.09;1.09;0.88;11.0;394.0
257;"Municipal waste; renewable fraction";2002;1207.0;1207.0;933.0;1.07;1.07;0.86;11.0;394.0
258;"Municipal waste; renewable fraction";2003;1208.0;1208.0;946.0;1.06;1.06;0.86;11.0;400.0
259;"Municipal waste; renewable fraction";2004;1178.0;1178.0;915.0;1.0;1.0;0.81;11.0;400.0
260;"Municipal waste; renewable fraction";2005;1266.0;1266.0;984.0;1.07;1.07;0.86;11.0;429.0
261;"Municipal waste; renewable fraction";2006;1312.0;1312.0;1013.0;1.09;1.09;0.87;11.0;429.0
262;"Municipal waste; renewable fraction";2007;1395.0;1395.0;1095.0;1.14;1.14;0.92;11.0;506.0
263;"Municipal waste; renewable fraction";2008;1409.0;1409.0;1070.0;1.14;1.14;0.9;11.0;506.0
264;"Municipal waste; renewable fraction";2009;1572.0;1572.0;1207.0;1.33;1.33;1.06;11.0;546.0
265;"Municipal waste; renewable fraction";2010;1763.0;1763.0;1397.0;1.44;1.44;1.18;11.0;586.0
266;"Municipal waste; renewable fraction";2011;2034.0;2034.0;1634.0;1.65;1.65;1.38;12.0;649.0
267;"Municipal waste; renewable fraction";2012;2235.0;2235.0;1800.0;1.86;1.86;1.55;12.0;649.0
268;"Municipal waste; renewable fraction";2013;2076.0;2076.0;1667.0;1.73;1.73;1.44;12.0;649.0
269;"Municipal waste; renewable fraction";2014;1909.0;1909.0;1481.0;1.62;1.62;1.31;12.0;649.0
270;"Municipal waste; renewable fraction";2015;1997.0;1997.0;1550.0;1.68;1.68;1.36;12.0;649.0
271;"Municipal waste; renewable fraction";2016;2005.0;2005.0;1569.0;1.67;1.67;1.35;12.0;649.0
272;"Municipal waste; renewable fraction";2017;1904.0;1904.0;1478.0;1.58;1.58;1.26;12.0;649.0
273;"Municipal waste; renewable fraction";2018;2172.0;2172.0;1753.0;1.78;1.78;1.48;12.0;800.0
274;"Municipal waste; renewable fraction";2019;2082.0;2082.0;1651.0;1.7;1.7;1.39;;778.0
275;"Municipal waste; renewable fraction";2020;2193.0;2193.0;1780.0;1.81;1.82;1.52;;780.0
276;"Municipal waste; renewable fraction";2021;2208.0;2208.0;1779.0;1.8;1.8;1.5;;788.0
277;"Municipal waste; renewable fraction";2022;2225.0;2225.0;1753.0;1.9;1.9;1.55;;788.0
278;"Municipal waste; renewable fraction";2023;1982.0;1982.0;1581.0;1.71;1.71;1.41;;788.0
279;"Municipal waste; renewable fraction";2024;;1799.0;1745.0;;1.51;1.5;;
280;Co-firing of biomass in electr. plants;1990;;;;;;;;
281;Co-firing of biomass in electr. plants;1991;;;;;;;;
282;Co-firing of biomass in electr. plants;1992;;;;;;;;
283;Co-firing of biomass in electr. plants;1993;;;;;;;;
284;Co-firing of biomass in electr. plants;1994;;;;;;;;
285;Co-firing of biomass in electr. plants;1995;4.0;4.0;4.0;0.0;0.0;0.0;;
286;Co-firing of biomass in electr. plants;1996;42.0;42.0;40.0;0.04;0.04;0.04;;
287;Co-firing of biomass in electr. plants;1997;40.0;40.0;38.0;0.04;0.04;0.04;;
288;Co-firing of biomass in electr. plants;1998;101.0;101.0;96.0;0.1;0.1;0.1;;
289;Co-firing of biomass in electr. plants;1999;165.0;165.0;157.0;0.16;0.16;0.15;;
290;Co-firing of biomass in electr. plants;2000;208.0;208.0;198.0;0.19;0.19;0.19;;
291;Co-firing of biomass in electr. plants;2001;591.0;591.0;563.0;0.53;0.53;0.53;;
292;Co-firing of biomass in electr. plants;2002;1134.0;1134.0;1082.0;1.01;1.01;1.0;;
293;Co-firing of biomass in electr. plants;2003;795.0;795.0;757.0;0.7;0.7;0.69;;
294;Co-firing of biomass in electr. plants;2004;1609.0;1609.0;1539.0;1.37;1.37;1.36;;
295;Co-firing of biomass in electr. plants;2005;3449.0;3449.0;3310.0;2.92;2.92;2.9;;
296;Co-firing of biomass in electr. plants;2006;3244.0;3244.0;3103.0;2.7;2.7;2.67;;
297;Co-firing of biomass in electr. plants;2007;1816.0;1816.0;1711.0;1.48;1.48;1.44;;
298;Co-firing of biomass in electr. plants;2008;2248.0;2248.0;2116.0;1.82;1.82;1.78;;
299;Co-firing of biomass in electr. plants;2009;2615.0;2615.0;2472.0;2.21;2.21;2.17;;
300;Co-firing of biomass in electr. plants;2010;3237.0;3237.0;3043.0;2.65;2.65;2.58;;
301;Co-firing of biomass in electr. plants;2011;3182.0;3182.0;2979.0;2.59;2.59;2.51;;
302;Co-firing of biomass in electr. plants;2012;2953.0;2953.0;2802.0;2.45;2.45;2.41;;
303;Co-firing of biomass in electr. plants;2013;1814.0;1814.0;1699.0;1.51;1.51;1.47;;
304;Co-firing of biomass in electr. plants;2014;933.0;933.0;867.0;0.79;0.79;0.76;;
305;Co-firing of biomass in electr. plants;2015;514.0;514.0;485.0;0.43;0.43;0.43;;
306;Co-firing of biomass in electr. plants;2016;442.0;442.0;419.0;0.37;0.37;0.36;;
