ID;Opdrachtgever;Bouwfasen;Perioden;TotaleBouwkostenGebouwen_1;BouwkostenGebouwenNietNieuwbouw_2;BouwkostenGebouwenNieuwbouw_3;Wonen_4;ALandbouwBosbouwEnVisserij_5;BFNijverheidEnEnergie_6;GIHandelEnHoreca_7;HJVervoerInformatieEnCommunicatie_8;KNFinancieleEnZakelijkeDiensten_9;OOpenbaarBestuurEnOverheidsdiensten_10;POnderwijs_11;QGezondheidsEnWelzijnszorg_12;RUCultuurRecreatieOverigeDiensten_13
10;Totaal opdrachtgevers;Ontvangen orders;2015 september;988;231;757;509.0;35.0;20.0;52.0;27.0;24.0;0.0;13.0;68.0;10.0
11;Totaal opdrachtgevers;Ontvangen orders;2015 3e kwartaal;2881;746;2135;1311.0;108.0;64.0;106.0;99.0;228.0;2.0;59.0;122.0;37.0
12;Totaal opdrachtgevers;Ontvangen orders;2015 oktober;953;265;688;461.0;23.0;31.0;29.0;16.0;5.0;60.0;28.0;26.0;10.0
13;Totaal opdrachtgevers;Ontvangen orders;2015 november;868;211;657;404.0;17.0;31.0;66.0;34.0;7.0;0.0;40.0;35.0;22.0
14;Totaal opdrachtgevers;Ontvangen orders;2015 december;1054;284;769;500.0;24.0;26.0;84.0;23.0;29.0;1.0;34.0;27.0;22.0
15;Totaal opdrachtgevers;Ontvangen orders;2015 4e kwartaal;2874;760;2114;1365.0;64.0;88.0;179.0;73.0;41.0;61.0;102.0;88.0;53.0
16;Totaal opdrachtgevers;Ontvangen orders;2015;12877;2992;9885;6668.0;379.0;347.0;531.0;449.0;500.0;71.0;378.0;347.0;215.0
17;Totaal opdrachtgevers;Ontvangen orders;2016 januari;780;192;588;428.0;31.0;34.0;11.0;13.0;21.0;0.0;21.0;22.0;6.0
18;Totaal opdrachtgevers;Ontvangen orders;2016 februari;943;272;670;441.0;35.0;50.0;46.0;28.0;4.0;0.0;21.0;30.0;15.0
19;Totaal opdrachtgevers;Ontvangen orders;2016 maart;1082;273;809;528.0;44.0;24.0;77.0;58.0;19.0;0.0;27.0;18.0;14.0
20;Totaal opdrachtgevers;Ontvangen orders;2016 1e kwartaal;2805;737;2067;1397.0;110.0;108.0;134.0;99.0;44.0;0.0;69.0;69.0;36.0
21;Totaal opdrachtgevers;Ontvangen orders;2016 april;1165;304;861;492.0;48.0;39.0;47.0;22.0;67.0;3.0;18.0;119.0;6.0
22;Totaal opdrachtgevers;Ontvangen orders;2016 mei;1079;272;807;564.0;26.0;23.0;69.0;31.0;20.0;1.0;27.0;22.0;25.0
23;Totaal opdrachtgevers;Ontvangen orders;2016 juni;1207;324;882;602.0;39.0;51.0;68.0;53.0;8.0;0.0;7.0;27.0;25.0
24;Totaal opdrachtgevers;Ontvangen orders;2016 2e kwartaal;3451;901;2550;1658.0;113.0;114.0;184.0;105.0;94.0;5.0;53.0;168.0;56.0
25;Totaal opdrachtgevers;Ontvangen orders;2016 juli;1069;261;808;557.0;28.0;21.0;22.0;47.0;13.0;4.0;59.0;20.0;38.0
26;Totaal opdrachtgevers;Ontvangen orders;2016 augustus;1023;308;715;515.0;32.0;25.0;15.0;34.0;41.0;1.0;17.0;16.0;18.0
27;Totaal opdrachtgevers;Ontvangen orders;2016 september;1382;338;1044;704.0;23.0;71.0;25.0;135.0;10.0;2.0;10.0;20.0;44.0
28;Totaal opdrachtgevers;Ontvangen orders;2016 3e kwartaal;3475;907;2568;1776.0;84.0;117.0;63.0;215.0;64.0;7.0;85.0;56.0;100.0
29;Totaal opdrachtgevers;Ontvangen orders;2016 oktober;1121;198;923;698.0;23.0;29.0;22.0;23.0;46.0;28.0;2.0;30.0;22.0
30;Totaal opdrachtgevers;Ontvangen orders;2016 november;1256;267;989;645.0;40.0;93.0;84.0;57.0;31.0;0.0;6.0;27.0;6.0
31;Totaal opdrachtgevers;Ontvangen orders;2016 december;1367;329;1038;679.0;19.0;48.0;62.0;39.0;63.0;0.0;16.0;19.0;92.0
32;Totaal opdrachtgevers;Ontvangen orders;2016 4e kwartaal;3745;795;2950;2022.0;83.0;171.0;168.0;119.0;141.0;28.0;24.0;75.0;120.0
33;Totaal opdrachtgevers;Ontvangen orders;2016;13475;3340;10135;6854.0;390.0;509.0;549.0;537.0;343.0;40.0;231.0;369.0;313.0
34;Totaal opdrachtgevers;Ontvangen orders;2017 januari;1000;183;818;613.0;52.0;41.0;18.0;14.0;9.0;14.0;4.0;14.0;38.0
35;Totaal opdrachtgevers;Ontvangen orders;2017 februari;1368;300;1068;617.0;43.0;101.0;57.0;55.0;27.0;0.0;28.0;18.0;121.0
36;Totaal opdrachtgevers;Ontvangen orders;2017 maart;1560;319;1241;884.0;28.0;73.0;75.0;100.0;20.0;0.0;41.0;15.0;6.0
37;Totaal opdrachtgevers;Ontvangen orders;2017 1e kwartaal;3928;802;3127;2114.0;123.0;215.0;150.0;169.0;57.0;14.0;73.0;47.0;165.0
38;Totaal opdrachtgevers;Ontvangen orders;2017 april;1348;214;1134;881.0;29.0;69.0;45.0;15.0;29.0;0.0;26.0;14.0;25.0
39;Totaal opdrachtgevers;Ontvangen orders;2017 mei;1434;319;1115;691.0;25.0;83.0;57.0;37.0;10.0;3.0;120.0;30.0;61.0
40;Totaal opdrachtgevers;Ontvangen orders;2017 juni;1205;290;915;682.0;33.0;62.0;32.0;50.0;14.0;0.0;17.0;15.0;11.0
41;Totaal opdrachtgevers;Ontvangen orders;2017 2e kwartaal;3987;823;3164;2255.0;87.0;214.0;133.0;102.0;53.0;3.0;162.0;58.0;97.0
42;Totaal opdrachtgevers;Ontvangen orders;2017 juli;1826;388;1438;1038.0;37.0;69.0;151.0;53.0;19.0;0.0;29.0;25.0;17.0
43;Totaal opdrachtgevers;Ontvangen orders;2017 augustus;1162;238;924;739.0;26.0;33.0;25.0;13.0;50.0;1.0;4.0;16.0;16.0
44;Totaal opdrachtgevers;Ontvangen orders;2017 september;1438;267;1171;882.0;40.0;90.0;40.0;35.0;19.0;3.0;5.0;30.0;28.0
45;Totaal opdrachtgevers;Ontvangen orders;2017 3e kwartaal;4426;893;3533;2659.0;102.0;193.0;216.0;101.0;88.0;4.0;38.0;71.0;61.0
46;Totaal opdrachtgevers;Ontvangen orders;2017 oktober;1703;426;1277;917.0;;;;;;;;;
47;Totaal opdrachtgevers;Ontvangen orders;2017 november;1619;357;1262;802.0;;;;;;;;;
48;Totaal opdrachtgevers;Ontvangen orders;2017 december;1353;333;1020;727.0;;;;;;;;;
49;Totaal opdrachtgevers;Ontvangen orders;2017 4e kwartaal;4675;1115;3560;2446.0;;;;;;;;;
50;Totaal opdrachtgevers;Ontvangen orders;2017;17016;3633;13384;9473.0;;;;;;;;;
51;Totaal opdrachtgevers;Ontvangen orders;2018 januari;1160;267;893;642.0;;;;;;;;;
52;Totaal opdrachtgevers;Ontvangen orders;2018 februari;1459;283;1177;855.0;;;;;;;;;
53;Totaal opdrachtgevers;Ontvangen orders;2018 maart;1509;299;1210;890.0;;;;;;;;;
54;Totaal opdrachtgevers;Ontvangen orders;2018 1e kwartaal;4128;849;3279;2387.0;;;;;;;;;
55;Totaal opdrachtgevers;Ontvangen orders;2018 april;1483;325;1158;697.0;;;;;;;;;
56;Totaal opdrachtgevers;Ontvangen orders;2018 mei;1382;247;1135;695.0;;;;;;;;;
57;Totaal opdrachtgevers;Ontvangen orders;2018 juni;1589;337;1253;884.0;;;;;;;;;
58;Totaal opdrachtgevers;Ontvangen orders;2018 2e kwartaal;4454;908;3545;2276.0;;;;;;;;;
59;Totaal opdrachtgevers;Ontvangen orders;2018 juli;1723;355;1368;941.0;;;;;;;;;
60;Totaal opdrachtgevers;Ontvangen orders;2018 augustus;1416;274;1142;729.0;;;;;;;;;
61;Totaal opdrachtgevers;Ontvangen orders;2018 september;1540;305;1234;947.0;;;;;;;;;
62;Totaal opdrachtgevers;Ontvangen orders;2018 3e kwartaal;4678;933;3745;2617.0;;;;;;;;;
63;Totaal opdrachtgevers;Ontvangen orders;2018 oktober;2159;354;1805;1394.0;;;;;;;;;
64;Totaal opdrachtgevers;Ontvangen orders;2018 november;1448;275;1173;800.0;;;;;;;;;
65;Totaal opdrachtgevers;Ontvangen orders;2018 december;1432;302;1130;841.0;;;;;;;;;
66;Totaal opdrachtgevers;Ontvangen orders;2018 4e kwartaal;5039;932;4108;3035.0;;;;;;;;;
67;Totaal opdrachtgevers;Ontvangen orders;2018;18299;3622;14677;10316.0;;;;;;;;;
68;Totaal opdrachtgevers;Ontvangen orders;2019 januari;1238;330;907;603.0;;;;;;;;;
69;Totaal opdrachtgevers;Ontvangen orders;2019 februari;1278;287;990;618.0;;;;;;;;;
70;Totaal opdrachtgevers;Ontvangen orders;2019 maart;1420;305;1116;759.0;;;;;;;;;
71;Totaal opdrachtgevers;Ontvangen orders;2019 1e kwartaal;3936;922;3013;1980.0;;;;;;;;;
72;Totaal opdrachtgevers;Ontvangen orders;2019 april;1482;267;1216;790.0;;;;;;;;;
73;Totaal opdrachtgevers;Ontvangen orders;2019 mei;1218;313;904;594.0;;;;;;;;;
74;Totaal opdrachtgevers;Ontvangen orders;2019 juni;1290;251;1038;687.0;;;;;;;;;
75;Totaal opdrachtgevers;Ontvangen orders;2019 2e kwartaal;3989;831;3158;2071.0;;;;;;;;;
76;Totaal opdrachtgevers;Ontvangen orders;2019 juli;1885;518;1367;907.0;;;;;;;;;
77;Totaal opdrachtgevers;Ontvangen orders;2019 augustus;963;228;734;527.0;;;;;;;;;
78;Totaal opdrachtgevers;Ontvangen orders;2019 september;1286;249;1037;767.0;;;;;;;;;
79;Totaal opdrachtgevers;Ontvangen orders;2019 3e kwartaal;4133;994;3139;2201.0;;;;;;;;;
80;Totaal opdrachtgevers;Ontvangen orders;2019 oktober;1815;368;1446;1085.0;;;;;;;;;
81;Totaal opdrachtgevers;Ontvangen orders;2019 november;1690;344;1346;837.0;;;;;;;;;
82;Totaal opdrachtgevers;Ontvangen orders;2019 december;1740;443;1296;917.0;;;;;;;;;
83;Totaal opdrachtgevers;Ontvangen orders;2019 4e kwartaal;5244;1155;4089;2839.0;;;;;;;;;
84;Totaal opdrachtgevers;Ontvangen orders;2019;17303;3903;13399;9091.0;;;;;;;;;
85;Totaal opdrachtgevers;Ontvangen orders;2020 januari;1228;323;905;673.0;;;;;;;;;
86;Totaal opdrachtgevers;Ontvangen orders;2020 februari;1472;345;1127;783.0;;;;;;;;;
87;Totaal opdrachtgevers;Ontvangen orders;2020 maart;1652;422;1230;937.0;;;;;;;;;
88;Totaal opdrachtgevers;Ontvangen orders;2020 1e kwartaal;4352;1090;3262;2392.0;;;;;;;;;
89;Totaal opdrachtgevers;Ontvangen orders;2020 april;1777;381;1396;880.0;;;;;;;;;
90;Totaal opdrachtgevers;Ontvangen orders;2020 mei;1372;381;990;651.0;;;;;;;;;
91;Totaal opdrachtgevers;Ontvangen orders;2020 juni;1566;269;1297;890.0;;;;;;;;;
92;Totaal opdrachtgevers;Ontvangen orders;2020 2e kwartaal;4715;1032;3683;2422.0;;;;;;;;;
93;Totaal opdrachtgevers;Ontvangen orders;2020 juli;2048;360;1688;1105.0;;;;;;;;;
94;Totaal opdrachtgevers;Ontvangen orders;2020 augustus;1178;247;932;547.0;;;;;;;;;
95;Totaal opdrachtgevers;Ontvangen orders;2020 september;1728;325;1403;1047.0;;;;;;;;;
96;Totaal opdrachtgevers;Ontvangen orders;2020 3e kwartaal;4954;931;4023;2700.0;;;;;;;;;
97;Totaal opdrachtgevers;Ontvangen orders;2020 oktober;1959;404;1555;1220.0;;;;;;;;;
98;Totaal opdrachtgevers;Ontvangen orders;2020 november;1700;355;1345;864.0;;;;;;;;;
99;Totaal opdrachtgevers;Ontvangen orders;2020 december;1994;350;1644;1313.0;;;;;;;;;
100;Totaal opdrachtgevers;Ontvangen orders;2020 4e kwartaal;5652;1109;4543;3396.0;;;;;;;;;
101;Totaal opdrachtgevers;Ontvangen orders;2020;19674;4162;15512;10910.0;;;;;;;;;
102;Totaal opdrachtgevers;Ontvangen orders;2021 januari;1484;264;1219;807.0;;;;;;;;;
103;Totaal opdrachtgevers;Ontvangen orders;2021 februari;1714;332;1382;996.0;;;;;;;;;
104;Totaal opdrachtgevers;Ontvangen orders;2021 maart;2464;418;2046;1428.0;;;;;;;;;
105;Totaal opdrachtgevers;Ontvangen orders;2021 1e kwartaal;5662;1015;4647;3231.0;;;;;;;;;
106;Totaal opdrachtgevers;Ontvangen orders;2021 april;2023;325;1699;1303.0;;;;;;;;;
107;Totaal opdrachtgevers;Ontvangen orders;2021 mei;1763;385;1377;977.0;;;;;;;;;
108;Totaal opdrachtgevers;Ontvangen orders;2021 juni;1836;368;1468;1156.0;;;;;;;;;
109;Totaal opdrachtgevers;Ontvangen orders;2021 2e kwartaal;5622;1078;4544;3437.0;;;;;;;;;
110;Totaal opdrachtgevers;Ontvangen orders;2021 juli;2340;500;1840;1216.0;;;;;;;;;
111;Totaal opdrachtgevers;Ontvangen orders;2021 augustus;1284;246;1038;686.0;;;;;;;;;
112;Totaal opdrachtgevers;Ontvangen orders;2021 september;1862;520;1342;877.0;;;;;;;;;
113;Totaal opdrachtgevers;Ontvangen orders;2021 3e kwartaal;5485;1265;4220;2779.0;;;;;;;;;
114;Totaal opdrachtgevers;Ontvangen orders;2021 oktober;1879;352;1527;1139.0;;;;;;;;;
115;Totaal opdrachtgevers;Ontvangen orders;2021 november;1989;410;1579;1130.0;;;;;;;;;
116;Totaal opdrachtgevers;Ontvangen orders;2021 december;2006;459;1548;1150.0;;;;;;;;;
117;Totaal opdrachtgevers;Ontvangen orders;2021 4e kwartaal;5874;1220;4654;3418.0;;;;;;;;;
118;Totaal opdrachtgevers;Ontvangen orders;2021;22643;4578;18065;12865.0;;;;;;;;;
119;Totaal opdrachtgevers;Ontvangen orders;2022 januari;1523;282;1241;873.0;;;;;;;;;
120;Totaal opdrachtgevers;Ontvangen orders;2022 februari;1450;359;1091;753.0;;;;;;;;;
121;Totaal opdrachtgevers;Ontvangen orders;2022 maart;2322;514;1808;1316.0;;;;;;;;;
122;Totaal opdrachtgevers;Ontvangen orders;2022 1e kwartaal;5295;1155;4140;2941.0;;;;;;;;;
123;Totaal opdrachtgevers;Ontvangen orders;2022 april;1484;387;1098;827.0;;;;;;;;;
124;Totaal opdrachtgevers;Ontvangen orders;2022 mei;1894;455;1439;903.0;;;;;;;;;
125;Totaal opdrachtgevers;Ontvangen orders;2022 juni;2156;594;1562;1081.0;;;;;;;;;
126;Totaal opdrachtgevers;Ontvangen orders;2022 2e kwartaal;5534;1435;4099;2811.0;;;;;;;;;
127;Totaal opdrachtgevers;Ontvangen orders;2022 juli;2157;464;1693;1165.0;;;;;;;;;
128;Totaal opdrachtgevers;Ontvangen orders;2022 augustus;1380;341;1039;611.0;;;;;;;;;
129;Totaal opdrachtgevers;Ontvangen orders;2022 september;1858;431;1427;1100.0;;;;;;;;;
130;Totaal opdrachtgevers;Ontvangen orders;2022 3e kwartaal;5395;1236;4159;2876.0;;;;;;;;;
131;Totaal opdrachtgevers;Ontvangen orders;2022 oktober;2135;331;1803;1188.0;;;;;;;;;
132;Totaal opdrachtgevers;Ontvangen orders;2022 november;1808;361;1447;889.0;;;;;;;;;
133;Totaal opdrachtgevers;Ontvangen orders;2022 december;1583;296;1287;805.0;;;;;;;;;
134;Totaal opdrachtgevers;Ontvangen orders;2022 4e kwartaal;5526;988;4538;2882.0;;;;;;;;;
135;Totaal opdrachtgevers;Ontvangen orders;2022;21750;4815;16935;11511.0;;;;;;;;;
136;Totaal opdrachtgevers;Ontvangen orders;2023 januari;1586;299;1287;650.0;;;;;;;;;
137;Totaal opdrachtgevers;Ontvangen orders;2023 februari;1578;415;1163;717.0;;;;;;;;;
138;Totaal opdrachtgevers;Ontvangen orders;2023 maart;1772;408;1364;906.0;;;;;;;;;
139;Totaal opdrachtgevers;Ontvangen orders;2023 1e kwartaal;4936;1122;3814;2272.0;;;;;;;;;
140;Totaal opdrachtgevers;Ontvangen orders;2023 april;1873;359;1515;1028.0;;;;;;;;;
141;Totaal opdrachtgevers;Ontvangen orders;2023 mei;1494;352;1141;701.0;;;;;;;;;
142;Totaal opdrachtgevers;Ontvangen orders;2023 juni;1898;410;1489;1058.0;;;;;;;;;
143;Totaal opdrachtgevers;Ontvangen orders;2023 2e kwartaal;5265;1121;4145;2787.0;;;;;;;;;
144;Totaal opdrachtgevers;Ontvangen orders;2023 juli;1527;391;1136;788.0;;;;;;;;;
145;Totaal opdrachtgevers;Ontvangen orders;2023 augustus;1295;388;907;570.0;;;;;;;;;
146;Totaal opdrachtgevers;Ontvangen orders;2023 september;1395;288;1108;866.0;;;;;;;;;
147;Totaal opdrachtgevers;Ontvangen orders;2023 3e kwartaal;4218;1067;3151;2224.0;;;;;;;;;
148;Totaal opdrachtgevers;Ontvangen orders;2023 oktober;2048;414;1634;1110.0;;;;;;;;;
149;Totaal opdrachtgevers;Ontvangen orders;2023 november;1572;395;1177;857.0;;;;;;;;;
150;Totaal opdrachtgevers;Ontvangen orders;2023 december;1674;375;1299;657.0;;;;;;;;;
151;Totaal opdrachtgevers;Ontvangen orders;2023 4e kwartaal;5295;1184;4110;2624.0;;;;;;;;;
152;Totaal opdrachtgevers;Ontvangen orders;2023;19714;4494;15220;9907.0;;;;;;;;;
153;Totaal opdrachtgevers;Ontvangen orders;2024 januari;1209;316;894;570.0;;;;;;;;;
154;Totaal opdrachtgevers;Ontvangen orders;2024 februari;1909;408;1501;1122.0;;;;;;;;;
155;Totaal opdrachtgevers;Ontvangen orders;2024 maart;2351;508;1843;1372.0;;;;;;;;;
156;Totaal opdrachtgevers;Ontvangen orders;2024 1e kwartaal;5469;1231;4238;3064.0;;;;;;;;;
157;Totaal opdrachtgevers;Ontvangen orders;2024 april;2398;368;2030;1169.0;;;;;;;;;
158;Totaal opdrachtgevers;Ontvangen orders;2024 mei;2432;424;2009;1309.0;;;;;;;;;
159;Totaal opdrachtgevers;Ontvangen orders;2024 juni;1835;298;1536;1039.0;;;;;;;;;
160;Totaal opdrachtgevers;Ontvangen orders;2024 2e kwartaal;6665;1090;5574;3517.0;;;;;;;;;
161;Totaal opdrachtgevers;Ontvangen orders;2024 juli;2370;584;1786;1248.0;;;;;;;;;
162;Totaal opdrachtgevers;Ontvangen orders;2024 augustus;1003;234;769;441.0;;;;;;;;;
163;Totaal opdrachtgevers;Ontvangen orders;2024 september;1334;251;1083;678.0;;;;;;;;;
164;Totaal opdrachtgevers;Ontvangen orders;2024 3e kwartaal;4706;1068;3638;2367.0;;;;;;;;;
165;Totaal opdrachtgevers;Ontvangen orders;2024 oktober;2024;336;1688;1198.0;;;;;;;;;
166;Totaal opdrachtgevers;Ontvangen orders;2024 november;1722;344;1378;1145.0;;;;;;;;;
167;Totaal opdrachtgevers;Ontvangen orders;2024 december;2151;338;1813;1410.0;;;;;;;;;
168;Totaal opdrachtgevers;Ontvangen orders;2024 4e kwartaal;5897;1018;4879;3754.0;;;;;;;;;
169;Totaal opdrachtgevers;Ontvangen orders;2024;22738;4408;18329;12701.0;;;;;;;;;
170;Totaal opdrachtgevers;Ontvangen orders;2025 januari;1204;276;929;608.0;;;;;;;;;
171;Totaal opdrachtgevers;Begonnen bouwwerken;2015 januari;1083;283;800;565.0;47.0;42.0;46.0;14.0;18.0;1.0;22.0;36.0;8.0
172;Totaal opdrachtgevers;Begonnen bouwwerken;2015 februari;1070;316;755;448.0;32.0;15.0;37.0;17.0;151.0;3.0;14.0;15.0;24.0
173;Totaal opdrachtgevers;Begonnen bouwwerken;2015 maart;942;196;746;529.0;35.0;19.0;35.0;18.0;14.0;0.0;18.0;43.0;35.0
174;Totaal opdrachtgevers;Begonnen bouwwerken;2015 1e kwartaal;3095;794;2301;1542.0;114.0;75.0;119.0;49.0;183.0;4.0;54.0;95.0;67.0
175;Totaal opdrachtgevers;Begonnen bouwwerken;2015 april;1356;305;1052;804.0;33.0;28.0;60.0;45.0;18.0;0.0;35.0;4.0;26.0
176;Totaal opdrachtgevers;Begonnen bouwwerken;2015 mei;1563;301;1263;967.0;30.0;67.0;33.0;62.0;21.0;0.0;12.0;48.0;24.0
177;Totaal opdrachtgevers;Begonnen bouwwerken;2015 juni;1401;302;1098;752.0;35.0;24.0;40.0;22.0;106.0;6.0;65.0;32.0;17.0
178;Totaal opdrachtgevers;Begonnen bouwwerken;2015 2e kwartaal;4321;908;3413;2522.0;98.0;119.0;132.0;129.0;145.0;6.0;111.0;83.0;67.0
179;Totaal opdrachtgevers;Begonnen bouwwerken;2015 juli;995;233;762;404.0;26.0;37.0;44.0;122.0;29.0;1.0;59.0;24.0;17.0
180;Totaal opdrachtgevers;Begonnen bouwwerken;2015 augustus;995;259;736;558.0;44.0;21.0;36.0;8.0;41.0;0.0;8.0;7.0;13.0
181;Totaal opdrachtgevers;Begonnen bouwwerken;2015 september;905;216;689;409.0;45.0;28.0;22.0;54.0;39.0;2.0;40.0;24.0;28.0
182;Totaal opdrachtgevers;Begonnen bouwwerken;2015 3e kwartaal;2895;708;2187;1371.0;115.0;86.0;102.0;184.0;109.0;2.0;106.0;54.0;58.0
183;Totaal opdrachtgevers;Begonnen bouwwerken;2015 oktober;1040;253;787;432.0;35.0;15.0;35.0;18.0;167.0;1.0;30.0;38.0;16.0
184;Totaal opdrachtgevers;Begonnen bouwwerken;2015 november;890;192;697;497.0;34.0;22.0;51.0;26.0;24.0;1.0;16.0;15.0;11.0
185;Totaal opdrachtgevers;Begonnen bouwwerken;2015 december;856;267;589;394.0;25.0;29.0;29.0;17.0;4.0;0.0;13.0;68.0;10.0
186;Totaal opdrachtgevers;Begonnen bouwwerken;2015 4e kwartaal;2786;712;2074;1324.0;94.0;66.0;114.0;61.0;196.0;2.0;59.0;122.0;37.0
187;Totaal opdrachtgevers;Begonnen bouwwerken;2015;13097;3122;9975;6759.0;420.0;347.0;466.0;423.0;632.0;15.0;331.0;354.0;229.0
188;Totaal opdrachtgevers;Begonnen bouwwerken;2016 januari;988;266;722;441.0;21.0;30.0;67.0;33.0;7.0;60.0;28.0;26.0;10.0
189;Totaal opdrachtgevers;Begonnen bouwwerken;2016 februari;991;216;775;499.0;21.0;26.0;82.0;23.0;28.0;0.0;40.0;35.0;22.0
190;Totaal opdrachtgevers;Begonnen bouwwerken;2016 maart;832;255;577;383.0;30.0;34.0;13.0;14.0;21.0;1.0;34.0;27.0;22.0
191;Totaal opdrachtgevers;Begonnen bouwwerken;2016 1e kwartaal;2811;736;2075;1322.0;72.0;90.0;161.0;70.0;56.0;61.0;102.0;88.0;53.0
192;Totaal opdrachtgevers;Begonnen bouwwerken;2016 april;955;245;710;495.0;34.0;50.0;48.0;28.0;6.0;0.0;21.0;22.0;6.0
193;Totaal opdrachtgevers;Begonnen bouwwerken;2016 mei;1069;256;813;526.0;45.0;23.0;77.0;58.0;18.0;0.0;21.0;30.0;15.0
194;Totaal opdrachtgevers;Begonnen bouwwerken;2016 juni;1042;286;755;484.0;45.0;37.0;44.0;22.0;65.0;0.0;27.0;18.0;14.0
195;Totaal opdrachtgevers;Begonnen bouwwerken;2016 2e kwartaal;3066;788;2279;1506.0;123.0;110.0;169.0;107.0;89.0;0.0;69.0;69.0;36.0
196;Totaal opdrachtgevers;Begonnen bouwwerken;2016 juli;1193;265;928;607.0;30.0;24.0;69.0;29.0;22.0;3.0;18.0;119.0;6.0
197;Totaal opdrachtgevers;Begonnen bouwwerken;2016 augustus;1156;300;855;562.0;34.0;52.0;70.0;54.0;8.0;1.0;27.0;22.0;25.0
198;Totaal opdrachtgevers;Begonnen bouwwerken;2016 september;1131;364;766;568.0;30.0;22.0;23.0;47.0;15.0;0.0;7.0;27.0;25.0
199;Totaal opdrachtgevers;Begonnen bouwwerken;2016 3e kwartaal;3479;930;2549;1737.0;95.0;99.0;162.0;131.0;44.0;5.0;53.0;168.0;56.0
200;Totaal opdrachtgevers;Begonnen bouwwerken;2016 oktober;1052;278;774;506.0;33.0;26.0;15.0;33.0;41.0;4.0;59.0;20.0;38.0
201;Totaal opdrachtgevers;Begonnen bouwwerken;2016 november;1296;255;1041;728.0;24.0;70.0;24.0;134.0;8.0;1.0;17.0;16.0;18.0
202;Totaal opdrachtgevers;Begonnen bouwwerken;2016 december;1154;249;905;686.0;25.0;29.0;22.0;23.0;45.0;2.0;10.0;20.0;44.0
203;Totaal opdrachtgevers;Begonnen bouwwerken;2016 4e kwartaal;3502;782;2720;1920.0;82.0;124.0;60.0;191.0;94.0;7.0;85.0;56.0;100.0
204;Totaal opdrachtgevers;Begonnen bouwwerken;2016;12859;3236;9623;6485.0;372.0;423.0;553.0;499.0;284.0;72.0;309.0;381.0;246.0
205;Totaal opdrachtgevers;Begonnen bouwwerken;2017 januari;1352;325;1026;645.0;42.0;89.0;83.0;57.0;30.0;28.0;2.0;30.0;22.0
206;Totaal opdrachtgevers;Begonnen bouwwerken;2017 februari;1177;250;927;659.0;19.0;48.0;60.0;39.0;63.0;0.0;6.0;27.0;6.0
207;Totaal opdrachtgevers;Begonnen bouwwerken;2017 maart;1130;287;843;574.0;53.0;41.0;23.0;13.0;11.0;0.0;16.0;19.0;92.0
208;Totaal opdrachtgevers;Begonnen bouwwerken;2017 1e kwartaal;3659;863;2796;1878.0;114.0;179.0;165.0;109.0;105.0;28.0;24.0;75.0;120.0
209;Totaal opdrachtgevers;Begonnen bouwwerken;2017 april;1377;297;1080;729.0;41.0;100.0;58.0;54.0;28.0;14.0;4.0;14.0;38.0
210;Totaal opdrachtgevers;Begonnen bouwwerken;2017 mei;1751;249;1502;1050.0;27.0;70.0;71.0;97.0;20.0;0.0;28.0;18.0;121.0
