ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
52;A Agriculture, forestry and fishing;1977;747.0;562.0;185.0;13.0;9.8;7.9;5.9;58;95;105;104;1;67;56;12;;;;;;
53;A Agriculture, forestry and fishing;1978;808.0;619.0;189.0;13.8;10.6;8.5;6.5;58;95;107;105;2;69;57;12;;;;;;
54;A Agriculture, forestry and fishing;1979;844.0;646.0;198.0;14.4;11.0;9.0;6.9;59;94;106;105;2;69;56;13;;;;;;
55;A Agriculture, forestry and fishing;1980;883.0;673.0;210.0;15.1;11.5;9.6;7.3;59;92;106;105;1;70;55;14;;;;;;
56;A Agriculture, forestry and fishing;1981;949.0;714.0;235.0;16.4;12.4;9.9;7.5;58;96;104;103;1;69;54;15;;;;;;
57;A Agriculture, forestry and fishing;1982;990.0;748.0;242.0;17.1;12.9;10.5;7.9;58;95;104;102;1;69;54;15;;;;;;
58;A Agriculture, forestry and fishing;1983;1010.0;768.0;242.0;17.2;13.1;10.5;8.0;59;97;105;104;1;71;55;16;;;;;;
59;A Agriculture, forestry and fishing;1984;1022.0;785.0;237.0;17.1;13.1;10.5;8.1;60;97;105;104;1;72;54;18;;;;;;
60;A Agriculture, forestry and fishing;1985;1084.0;842.0;242.0;17.9;13.9;11.0;8.5;61;99;107;106;1;73;55;18;;;;;;
61;A Agriculture, forestry and fishing;1986;1133.0;888.0;245.0;18.4;14.4;11.4;8.9;62;100;108;106;1;75;56;19;;;;;;
62;A Agriculture, forestry and fishing;1987;1277.0;1039.0;238.0;20.4;16.6;12.8;10.4;63;100;109;108;1;76;57;19;;;;;;
63;A Agriculture, forestry and fishing;1988;1350.0;1095.0;255.0;20.6;16.7;12.6;10.2;65;107;115;113;2;81;61;20;;;;;;
64;A Agriculture, forestry and fishing;1989;1369.0;1115.0;254.0;20.4;16.6;12.3;10.0;67;111;118;116;2;84;64;20;;;;;;
65;A Agriculture, forestry and fishing;1990;1505.0;1317.0;188.0;21.5;18.8;13.0;11.3;70;116;124;121;2;87;64;23;;;;;;
66;A Agriculture, forestry and fishing;1991;1582.0;1388.0;194.0;22.1;19.4;13.5;11.8;72;117;126;123;3;91;67;24;;;;;;
67;A Agriculture, forestry and fishing;1992;1656.0;1439.0;217.0;22.2;19.3;13.7;11.9;75;121;129;127;2;95;70;25;;;;;;
68;A Agriculture, forestry and fishing;1993;1698.0;1474.0;224.0;22.5;19.5;13.4;11.7;75;126;131;129;2;102;71;32;;;;;;
69;A Agriculture, forestry and fishing;1994;1687.0;1464.0;223.0;23.3;20.2;13.8;11.9;72;123;127;125;2;101;68;33;;;;;;
70;A Agriculture, forestry and fishing;1995;1692.0;1466.0;226.0;23.4;20.3;13.9;12.1;72;121;125;124;1;103;72;31;;;;;;
71;A Agriculture, forestry and fishing;1996;1759.0;1523.0;236.0;24.4;21.1;14.5;12.5;72;122;126;125;1;105;73;32;;;;;;
72;A Agriculture, forestry and fishing;1997;1832.0;1584.0;248.0;24.8;21.4;14.8;12.8;74;124;128;127;1;109;74;35;;;;;;
73;A Agriculture, forestry and fishing;1998;1933.0;1570.0;363.0;25.4;20.7;15.2;12.3;76;128;132;131;1;111;73;38;;;;;;
74;A Agriculture, forestry and fishing;1999;2063.0;1663.0;400.0;26.0;21.0;15.6;12.6;79;132;137;136;1;118;76;42;;;;;;
75;A Agriculture, forestry and fishing;2000;2162.0;1728.0;434.0;27.1;21.7;16.2;13.0;80;133;138;137;1;117;76;40;;;;;;
76;A Agriculture, forestry and fishing;2001;2327.0;1850.0;477.0;28.7;22.8;16.8;13.4;81;138;143;142;2;123;80;43;48.0;40.0;8.0;75.0;40.0;35.0
77;A Agriculture, forestry and fishing;2002;2511.0;1969.0;542.0;30.8;24.1;18.0;14.1;82;139;144;143;1;123;81;42;49.0;42.0;8.0;73.0;39.0;34.0
78;A Agriculture, forestry and fishing;2003;2555.0;1958.0;597.0;32.4;24.9;18.9;14.5;79;135;139;138;1;118;78;40;49.0;41.0;8.0;69.0;37.0;33.0
79;A Agriculture, forestry and fishing;2004;2527.0;1935.0;592.0;32.8;25.2;19.1;14.7;77;132;136;134;1;118;78;40;48.0;41.0;7.0;71.0;38.0;33.0
80;A Agriculture, forestry and fishing;2005;2523.0;1935.0;588.0;32.9;25.2;19.1;14.7;77;132;136;134;2;115;76;39;48.0;41.0;7.0;67.0;35.0;32.0
81;A Agriculture, forestry and fishing;2006;2573.0;1987.0;586.0;33.3;25.7;19.4;15.0;77;133;137;135;2;115;76;39;49.0;42.0;7.0;66.0;35.0;31.0
82;A Agriculture, forestry and fishing;2007;2695.0;2087.0;608.0;34.4;26.6;20.0;15.5;78;135;139;137;2;116;78;39;51.0;42.0;8.0;66.0;35.0;31.0
83;A Agriculture, forestry and fishing;2008;2763.0;2138.0;625.0;36.0;27.9;20.8;16.1;77;133;136;134;2;112;75;37;50.0;42.0;8.0;62.0;33.0;29.0
84;A Agriculture, forestry and fishing;2009;2818.0;2153.0;665.0;36.9;28.2;21.0;16.0;76;134;137;135;2;110;73;37;48.0;40.0;8.0;61.0;32.0;29.0
85;A Agriculture, forestry and fishing;2010;2854.0;2177.0;677.0;38.2;29.1;21.7;16.6;75;131;135;132;3;108;72;36;50.0;42.0;8.0;57.0;30.0;28.0
86;A Agriculture, forestry and fishing;2011;2907.0;2221.0;686.0;39.0;29.8;22.2;17.0;74;131;134;131;3;107;72;36;50.0;42.0;8.0;57.0;30.0;27.0
87;A Agriculture, forestry and fishing;2012;2930.0;2206.0;724.0;40.1;30.2;22.8;17.2;73;128;132;129;3;105;70;35;49.0;41.0;8.0;56.0;29.0;27.0
88;01 Agriculture;1969;;;;;;;;62;114;124;122;2;71;63;8;;;;;;
89;01 Agriculture;1970;;;;;;;;59;107;117;115;2;68;60;8;;;;;;
90;01 Agriculture;1971;;;;;;;;56;99;109;107;2;65;57;8;;;;;;
91;01 Agriculture;1972;;;;;;;;55;96;107;105;2;64;56;8;;;;;;
92;01 Agriculture;1973;;;;;;;;56;96;106;104;2;64;55;9;;;;;;
93;01 Agriculture;1974;;;;;;;;55;91;102;100;2;64;54;10;;;;;;
94;01 Agriculture;1975;;;;;;;;54;87;98;97;1;63;53;10;;;;;;
95;01 Agriculture;1976;;;;;;;;54;87;99;97;2;63;52;11;;;;;;
96;01 Agriculture;1977;;;;;;;;54;88;98;97;1;63;52;12;;;;;;
97;01 Agriculture;1978;;;;;;;;55;88;99;98;1;65;53;12;;;;;;
98;01 Agriculture;1979;;;;;;;;55;88;99;98;1;65;53;12;;;;;;
99;01 Agriculture;1980;;;;;;;;55;86;99;98;1;66;52;14;;;;;;
100;01 Agriculture;1981;;;;;;;;54;89;97;96;1;65;51;14;;;;;;
101;01 Agriculture;1982;;;;;;;;54;88;97;96;1;65;51;15;;;;;;
102;01 Agriculture;1983;;;;;;;;55;90;98;97;1;67;51;16;;;;;;
103;01 Agriculture;1984;;;;;;;;56;91;98;97;1;68;50;18;;;;;;
104;01 Agriculture;1985;;;;;;;;57;92;100;99;1;69;51;18;;;;;;
105;01 Agriculture;1986;;;;;;;;58;93;101;99;1;70;52;18;;;;;;
106;01 Agriculture;1987;1121.0;892.0;229.0;19.0;15.1;12.0;9.6;59;93;102;101;1;72;53;19;;;;;;
107;01 Agriculture;1988;1200.0;954.0;246.0;19.3;15.4;11.9;9.5;62;101;108;107;1;77;57;20;;;;;;
108;01 Agriculture;1989;1230.0;986.0;244.0;19.3;15.4;11.7;9.4;64;105;111;109;2;80;61;19;;;;;;
109;01 Agriculture;1990;1361.0;1180.0;181.0;20.3;17.6;12.4;10.7;67;110;117;115;2;83;60;22;;;;;;
110;01 Agriculture;1991;1427.0;1241.0;186.0;20.9;18.2;12.9;11.2;68;111;119;116;2;87;63;23;;;;;;
111;01 Agriculture;1992;1523.0;1316.0;207.0;21.3;18.4;13.2;11.4;72;115;123;121;2;92;67;25;;;;;;
112;01 Agriculture;1993;1570.0;1359.0;211.0;21.6;18.7;13.0;11.3;73;121;125;123;2;99;68;31;;;;;;
113;01 Agriculture;1994;1562.0;1352.0;210.0;22.4;19.3;13.3;11.5;70;117;122;120;2;98;65;32;;;;;;
114;01 Agriculture;1995;1561.0;1352.0;209.0;22.5;19.5;13.5;11.7;69;116;120;119;1;100;69;31;;;;;;
115;01 Agriculture;1996;1636.0;1418.0;218.0;23.5;20.4;14.1;12.2;70;116;120;119;1;101;70;31;;;;;;
116;01 Agriculture;1997;1711.0;1479.0;232.0;23.9;20.7;14.4;12.5;71;119;123;122;1;106;71;35;;;;;;
117;01 Agriculture;1998;1810.0;1469.0;341.0;24.6;20.0;14.8;12.0;74;123;127;126;1;108;70;38;;;;;;
118;01 Agriculture;1999;1932.0;1555.0;377.0;25.2;20.3;15.2;12.2;77;127;132;131;1;114;73;41;;;;;;
119;01 Agriculture;2000;2036.0;1626.0;410.0;26.3;21.0;15.9;12.7;77;128;133;132;1;114;74;40;;;;;;
120;01 Agriculture;2001;2202.0;1749.0;453.0;28.1;22.3;16.5;13.1;78;134;138;137;1;120;78;42;46.0;38.0;8.0;74.0;39.0;35.0
121;01 Agriculture;2002;2390.0;1872.0;518.0;30.3;23.7;17.7;13.9;79;135;139;138;1;120;78;42;47.0;40.0;8.0;72.0;38.0;34.0
122;01 Agriculture;2003;2426.0;1858.0;568.0;31.8;24.4;18.6;14.2;76;131;135;133;1;115;76;40;47.0;40.0;7.0;68.0;36.0;32.0
123;01 Agriculture;2004;2406.0;1841.0;565.0;32.3;24.7;18.8;14.4;75;128;132;130;1;116;76;39;46.0;39.0;7.0;70.0;37.0;33.0
124;01 Agriculture;2005;2412.0;1848.0;564.0;32.4;24.8;18.8;14.4;75;128;132;130;2;112;74;38;47.0;39.0;7.0;66.0;34.0;31.0
125;01 Agriculture;2006;2466.0;1903.0;563.0;32.8;25.3;19.1;14.7;75;129;133;131;2;113;74;38;48.0;40.0;7.0;65.0;34.0;31.0
126;01 Agriculture;2007;2581.0;1997.0;584.0;33.8;26.2;19.7;15.2;76;131;135;133;2;114;75;38;49.0;41.0;8.0;65.0;34.0;30.0
127;01 Agriculture;2008;2655.0;2050.0;605.0;35.6;27.5;20.5;15.9;75;129;133;130;2;110;73;37;49.0;40.0;8.0;61.0;32.0;29.0
128;01 Agriculture;2009;2706.0;2063.0;643.0;36.5;27.8;20.7;15.8;74;131;133;131;2;107;71;36;47.0;39.0;8.0;60.0;32.0;28.0
129;01 Agriculture;2010;2737.0;2086.0;651.0;37.7;28.7;21.5;16.4;73;127;131;128;3;105;70;35;49.0;41.0;8.0;56.0;29.0;27.0
130;01 Agriculture;2011;2786.0;2127.0;659.0;38.5;29.4;21.9;16.7;72;127;130;127;3;105;69;35;49.0;40.0;8.0;56.0;29.0;27.0
131;01 Agriculture;2012;2809.0;2111.0;698.0;39.6;29.7;22.5;16.9;71;125;128;125;3;103;68;34;48.0;40.0;8.0;55.0;28.0;26.0
132;02 Forestry and logging;1969;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
133;02 Forestry and logging;1970;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
134;02 Forestry and logging;1971;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
135;02 Forestry and logging;1972;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
136;02 Forestry and logging;1973;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
137;02 Forestry and logging;1974;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
138;02 Forestry and logging;1975;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
139;02 Forestry and logging;1976;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
140;02 Forestry and logging;1977;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
141;02 Forestry and logging;1978;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
142;02 Forestry and logging;1979;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
143;02 Forestry and logging;1980;;;;;;;;1;1;2;2;0;1;1;0;;;;;;
144;02 Forestry and logging;1981;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
145;02 Forestry and logging;1982;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
146;02 Forestry and logging;1983;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
147;02 Forestry and logging;1984;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
148;02 Forestry and logging;1985;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
149;02 Forestry and logging;1986;;;;;;;;1;2;2;2;0;1;1;0;;;;;;
150;02 Forestry and logging;1987;36.0;36.0;0.0;;;;;1;2;2;2;0;1;1;0;;;;;;
151;02 Forestry and logging;1988;36.0;36.0;0.0;;;;;1;2;2;2;0;1;1;0;;;;;;
152;02 Forestry and logging;1989;32.0;31.0;1.0;;;;;1;2;2;2;0;1;1;0;;;;;;
153;02 Forestry and logging;1990;34.0;33.0;1.0;;;;;1;2;2;2;0;1;1;0;;;;;;
154;02 Forestry and logging;1991;35.0;34.0;1.0;;;;;1;2;2;2;0;1;1;0;;;;;;
155;02 Forestry and logging;1992;33.0;32.0;1.0;;;;;1;2;2;2;0;1;1;0;;;;;;
156;02 Forestry and logging;1993;39.0;34.0;5.0;;;;;1;2;2;2;0;1;1;0;;;;;;
157;02 Forestry and logging;1994;38.0;33.0;5.0;;;;;1;2;2;2;0;1;1;0;;;;;;
158;02 Forestry and logging;1995;38.0;31.0;7.0;;;;;1;2;2;2;0;1;1;0;;;;;;
159;02 Forestry and logging;1996;38.0;29.0;9.0;;;;;1;2;2;2;0;1;1;0;;;;;;
160;02 Forestry and logging;1997;38.0;31.0;7.0;;;;;1;2;2;2;0;1;1;0;;;;;;
161;02 Forestry and logging;1998;38.0;31.0;7.0;;;;;1;2;2;2;0;1;1;0;;;;;;
162;02 Forestry and logging;1999;41.0;34.0;7.0;;;;;1;2;2;2;0;1;1;0;;;;;;
163;02 Forestry and logging;2000;42.0;34.0;8.0;;;;;1;2;2;2;0;1;1;0;;;;;;
164;02 Forestry and logging;2001;47.0;38.0;9.0;37.4;30.2;22.4;18.1;1;2;2;2;0;2;1;0;1.0;1.0;0.0;1.0;0.0;0.0
165;02 Forestry and logging;2002;50.0;40.0;10.0;40.0;32.0;24.0;19.2;1;2;2;2;0;2;1;0;1.0;1.0;0.0;1.0;0.0;0.0
166;02 Forestry and logging;2003;53.0;40.0;13.0;42.4;32.0;25.7;19.4;1;2;2;2;0;2;1;0;1.0;1.0;0.0;1.0;0.0;0.0
167;02 Forestry and logging;2004;51.0;39.0;12.0;41.5;31.8;25.1;19.2;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
168;02 Forestry and logging;2005;48.0;37.0;11.0;43.9;33.9;26.6;20.6;1;2;2;2;0;1;1;0;1.0;1.0;0.0;0.0;0.0;0.0
169;02 Forestry and logging;2006;48.0;37.0;11.0;44.4;34.2;27.0;20.8;1;2;2;2;0;1;1;0;1.0;1.0;0.0;0.0;0.0;0.0
170;02 Forestry and logging;2007;50.0;39.0;11.0;45.1;34.8;27.4;21.2;1;2;2;2;0;1;1;0;1.0;1.0;0.0;0.0;0.0;0.0
171;02 Forestry and logging;2008;48.0;41.0;7.0;41.7;35.6;25.4;21.7;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
172;02 Forestry and logging;2009;53.0;44.0;9.0;45.5;37.8;27.7;23.0;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
173;02 Forestry and logging;2010;58.0;45.0;13.0;49.2;38.2;30.0;23.2;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
174;02 Forestry and logging;2011;58.0;45.0;13.0;48.3;37.6;29.9;23.2;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
175;02 Forestry and logging;2012;56.0;45.0;11.0;47.4;38.1;29.3;23.6;1;2;2;2;0;1;1;0;1.0;1.0;0.0;1.0;0.0;0.0
176;03 Fishing and aquaculture;1969;;;;;;;;3;7;7;7;0;4;3;0;;;;;;
177;03 Fishing and aquaculture;1970;;;;;;;;3;6;7;7;0;3;3;0;;;;;;
178;03 Fishing and aquaculture;1971;;;;;;;;3;6;6;6;0;3;3;0;;;;;;
179;03 Fishing and aquaculture;1972;;;;;;;;3;6;6;6;0;3;3;0;;;;;;
180;03 Fishing and aquaculture;1973;;;;;;;;3;5;6;6;0;3;3;0;;;;;;
181;03 Fishing and aquaculture;1974;;;;;;;;3;5;6;6;0;3;3;0;;;;;;
182;03 Fishing and aquaculture;1975;;;;;;;;3;5;6;5;0;3;3;0;;;;;;
183;03 Fishing and aquaculture;1976;;;;;;;;3;5;6;5;0;3;3;0;;;;;;
184;03 Fishing and aquaculture;1977;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
185;03 Fishing and aquaculture;1978;;;;;;;;3;5;6;5;0;3;3;0;;;;;;
186;03 Fishing and aquaculture;1979;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
187;03 Fishing and aquaculture;1980;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
188;03 Fishing and aquaculture;1981;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
189;03 Fishing and aquaculture;1982;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
190;03 Fishing and aquaculture;1983;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
191;03 Fishing and aquaculture;1984;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
192;03 Fishing and aquaculture;1985;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
193;03 Fishing and aquaculture;1986;;;;;;;;3;5;5;5;0;3;3;0;;;;;;
194;03 Fishing and aquaculture;1987;120.0;111.0;9.0;;;;;3;5;5;5;0;3;3;0;;;;;;
195;03 Fishing and aquaculture;1988;114.0;105.0;9.0;;;;;2;5;5;5;0;3;3;0;;;;;;
196;03 Fishing and aquaculture;1989;107.0;98.0;9.0;;;;;2;5;5;5;0;3;3;0;;;;;;
197;03 Fishing and aquaculture;1990;110.0;104.0;6.0;;;;;2;4;5;5;0;3;3;0;;;;;;
198;03 Fishing and aquaculture;1991;120.0;113.0;7.0;;;;;2;5;5;5;0;3;3;0;;;;;;
199;03 Fishing and aquaculture;1992;100.0;91.0;9.0;;;;;2;4;4;4;0;3;2;0;;;;;;
200;03 Fishing and aquaculture;1993;89.0;81.0;8.0;;;;;2;4;4;4;0;2;2;0;;;;;;
201;03 Fishing and aquaculture;1994;87.0;79.0;8.0;;;;;2;3;4;4;0;2;2;0;;;;;;
202;03 Fishing and aquaculture;1995;93.0;83.0;10.0;;;;;2;4;4;4;0;2;2;0;;;;;;
203;03 Fishing and aquaculture;1996;85.0;76.0;9.0;;;;;2;3;3;3;0;2;2;0;;;;;;
