ID;Sectoren;Jaren;Totaal_1;MetAutomatisering_2;MetExterneCommunicatie_3;MetInternet_4;MetAnderNet_5;AlsGebruikerVanNetwerk_6;AlsAanbiederOpNetwerk_7;ElektronischeEtalage_8;ElektronischBestellen_9;ElektronischBetalen_10;Klantondersteuning_11;OpvragenGratisInformatie_12;VerzendenOntvangenBerichten_13;FinancieleTransacties_14;WervenVanPersoneel_15;ContactMetOverheid_16;OpvragenBetaaldeInfo_17;BestellenGoederen_18;BetalingNaBestellen_19;Aantal_20;Telewerk_21;ITPersoneel_22;ArbeidsjVoorSoftwareOntwikkeling_23;ITVacatures_24;PCSTerminals_25;GekoppeldePCS_26;InternetPC_27;Totaal_28;Hardware_29;Software_30;Totaal_31;Hardware_32;Software_33;LoonkostenITPersoneel_34;InhuurITPersoneel_35;OverigeITKosten_36
12;20 tot 100 werknemers van totaal;1999;25086.0;22357.0;18766.0;16276.0;14239.0;18238.0;10146.0;8150.0;5244.0;2385.0;3452.0;14814.0;15885.0;13557.0;3671.0;4432.0;4177.0;5847.0;3133.0;1160567.0;10317.0;19686.0;7164.0;2471.0;468863.0;392900.0;178607.0;723.0;439.0;284.0;1877.0;415.0;272.0;715.0;314.0;161.0
13;20 tot 100 werknemers van totaal;2000;25086.0;22465.0;;;;;;;;;;;;;;;;;;;;22114.0;;;520845.0;436959.0;244412.0;;;;1926.0;;;;;
14;20 tot 100 werknemers van totaal;2001;25086.0;22483.0;20613.0;17497.0;14484.0;20192.0;15151.0;13354.0;8679.0;3898.0;5571.0;17376.0;18907.0;14526.0;5535.0;5880.0;5660.0;8802.0;4517.0;;;25456.0;;;559659.0;484660.0;308676.0;;;;2021.0;;;;;
15;100 en meer werknemers van totaal;1997;5522.0;5205.0;4311.0;3357.0;;3150.0;1739.0;1407.0;339.0;160.0;483.0;2857.0;2802.0;;;;980.0;;;2464322.0;;63718.0;23404.0;4647.0;1219722.0;972141.0;188170.0;2096.0;1522.0;574.0;8816.0;2459.0;1241.0;3091.0;1368.0;658.0
16;100 en meer werknemers van totaal;1998;5712.0;5301.0;4654.0;4045.0;;;;;;;;3743.0;3621.0;;;;1425.0;;;2560708.0;42389.0;79440.0;21289.0;9815.0;1321383.0;1183403.0;451481.0;2796.0;1593.0;1203.0;11319.0;2468.0;1481.0;3982.0;2278.0;1109.0
17;100 en meer werknemers van totaal;1999;5873.0;5456.0;5121.0;4831.0;4237.0;5044.0;3282.0;2868.0;1453.0;610.0;1028.0;4595.0;4684.0;3677.0;1795.0;1697.0;1189.0;2146.0;1052.0;2753798.0;46452.0;92690.0;18765.0;9873.0;1430714.0;1270297.0;495412.0;2878.0;1518.0;1360.0;12738.0;2310.0;1798.0;4530.0;2445.0;1654.0
18;100 en meer werknemers van totaal;2000;5873.0;5464.0;;;;;;;;;;;;;;;;;;;;96476.0;;;1548606.0;1383233.0;661050.0;;;;13346.0;;;;;
19;100 en meer werknemers van totaal;2001;5873.0;5464.0;5340.0;5010.0;4395.0;5321.0;4452.0;4200.0;2227.0;968.0;1748.0;5015.0;5193.0;4021.0;2756.0;2162.0;1548.0;3053.0;1580.0;;;99806.0;;;1629072.0;1471810.0;836547.0;;;;13784.0;;;;;
20;0, Landbouw, bosbouw en visserij;1997;3872.0;3175.0;2143.0;467.0;;416.0;154.0;118.0;37.0;21.0;7.0;359.0;324.0;;;;154.0;;;66333.0;;86.0;0.0;4.0;12398.0;6084.0;782.0;10.0;6.0;4.0;15.0;8.0;3.0;3.0;0.0;0.0
21;0, Landbouw, bosbouw en visserij;1998;3861.0;3219.0;2012.0;1046.0;;;;;;;;683.0;601.0;;;;389.0;;;67537.0;407.0;251.0;104.0;19.0;11794.0;7338.0;3770.0;18.0;13.0;5.0;30.0;10.0;5.0;10.0;3.0;2.0
22;0, Landbouw, bosbouw en visserij;1999;4471.0;3428.0;2099.0;1594.0;1757.0;1968.0;737.0;408.0;515.0;375.0;246.0;1355.0;1435.0;1741.0;140.0;206.0;301.0;529.0;321.0;74031.0;897.0;624.0;208.0;58.0;15153.0;9688.0;5256.0;25.0;15.0;10.0;47.0;13.0;11.0;16.0;5.0;1.0
23;0, Landbouw, bosbouw en visserij;2000;4471.0;3511.0;;;;;;;;;;;;;;;;;;;;687.0;;;16227.0;10576.0;7083.0;;;;44.0;;;;;
24;0, Landbouw, bosbouw en visserij;2001;4471.0;3570.0;2604.0;1834.0;1782.0;2371.0;1281.0;829.0;750.0;505.0;431.0;1794.0;2019.0;2076.0;302.0;476.0;498.0;883.0;499.0;;;765.0;;;16535.0;10807.0;7803.0;;;;57.0;;;;;
25;5 tot 20 werknemers van LBV;1997;3379.0;2728.0;1810.0;363.0;;313.0;122.0;104.0;36.0;18.0;0.0;277.0;227.0;;;;104.0;;;38370.0;;9.0;0.0;0.0;6381.0;1807.0;536.0;4.0;3.0;1.0;6.0;4.0;1.0;0.0;0.0;0.0
26;5 tot 20 werknemers van LBV;1998;3341.0;2733.0;1628.0;860.0;;;;;;;;536.0;456.0;;;;330.0;;;32577.0;267.0;36.0;5.0;0.0;6192.0;2758.0;1879.0;6.0;4.0;2.0;6.0;3.0;2.0;0.0;1.0;0.0
27;5 tot 20 werknemers van LBV;1999;3873.0;2866.0;1655.0;1259.0;1382.0;1532.0;579.0;306.0;455.0;332.0;182.0;1061.0;1125.0;1376.0;107.0;107.0;241.0;439.0;273.0;31730.0;610.0;128.0;9.0;17.0;6475.0;2336.0;1899.0;14.0;10.0;4.0;10.0;4.0;2.0;3.0;0.0;0.0
28;5 tot 20 werknemers van LBV;2000;3873.0;2941.0;;;;;;;;;;;;;;;;;;;;157.0;;;6986.0;2730.0;2645.0;;;;7.0;;;;;
29;5 tot 20 werknemers van LBV;2001;3873.0;2999.0;2095.0;1441.0;1398.0;1870.0;943.0;563.0;568.0;413.0;306.0;1398.0;1597.0;1672.0;198.0;332.0;364.0;696.0;364.0;;;158.0;;;6869.0;2553.0;2695.0;;;;7.0;;;;;
30;20 tot 100 werknemers van LBV;1997;457.0;419.0;309.0;85.0;;85.0;28.0;12.0;1.0;1.0;7.0;67.0;82.0;;;;40.0;;;17837.0;;51.0;0.0;1.0;3550.0;2540.0;146.0;4.0;2.0;2.0;5.0;3.0;1.0;1.0;0.0;0.0
31;20 tot 100 werknemers van LBV;1998;488.0;457.0;357.0;165.0;;;;;;;;133.0;125.0;;;;50.0;;;20764.0;85.0;43.0;13.0;0.0;3099.0;2282.0;924.0;4.0;3.0;1.0;6.0;3.0;1.0;1.0;0.0;0.0
32;20 tot 100 werknemers van LBV;1999;564.0;532.0;414.0;308.0;348.0;406.0;141.0;86.0;56.0;43.0;56.0;271.0;287.0;345.0;22.0;88.0;54.0;80.0;45.0;33851.0;130.0;174.0;31.0;0.0;5166.0;4151.0;810.0;6.0;4.0;2.0;12.0;4.0;3.0;4.0;1.0;0.0
33;20 tot 100 werknemers van LBV;2000;564.0;540.0;;;;;;;;;;;;;;;;;;;;161.0;;;5625.0;4538.0;1814.0;;;;11.0;;;;;
34;20 tot 100 werknemers van LBV;2001;564.0;540.0;480.0;363.0;356.0;472.0;311.0;242.0;169.0;90.0;115.0;366.0;395.0;384.0;85.0;128.0;125.0;165.0;127.0;;;188.0;;;5945.0;4856.0;2386.0;;;;11.0;;;;;
35;100 en meer werknemers van LBV;1997;36.0;29.0;24.0;18.0;;18.0;3.0;1.0;0.0;2.0;0.0;15.0;15.0;;;;10.0;;;10126.0;;26.0;0.0;3.0;2467.0;1737.0;100.0;2.0;1.0;1.0;4.0;1.0;0.0;1.0;0.0;0.0
36;100 en meer werknemers van LBV;1998;32.0;29.0;27.0;20.0;;;;;;;;15.0;20.0;;;;8.0;;;14197.0;55.0;172.0;86.0;19.0;2503.0;2299.0;967.0;9.0;7.0;2.0;18.0;5.0;2.0;8.0;2.0;1.0
37;100 en meer werknemers van LBV;1999;34.0;30.0;30.0;28.0;28.0;30.0;17.0;17.0;4.0;0.0;7.0;23.0;23.0;20.0;11.0;11.0;6.0;10.0;2.0;8450.0;157.0;322.0;168.0;41.0;3512.0;3200.0;2548.0;5.0;1.0;3.0;25.0;5.0;5.0;10.0;3.0;0.0
38;100 en meer werknemers van LBV;2000;34.0;30.0;;;;;;;;;;;;;;;;;;;;369.0;;;3616.0;3309.0;2623.0;;;;27.0;;;;;
39;100 en meer werknemers van LBV;2001;34.0;30.0;30.0;30.0;28.0;30.0;28.0;24.0;13.0;2.0;11.0;30.0;28.0;20.0;18.0;16.0;9.0;22.0;8.0;;;419.0;;;3721.0;3398.0;2722.0;;;;39.0;;;;;
40;10,11,14 Delfstoffenwinning;1997;116.0;102.0;69.0;33.0;;33.0;9.0;7.0;0.0;2.0;0.0;31.0;27.0;;;;10.0;;;6761.0;;188.0;65.0;9.0;5876.0;5052.0;342.0;13.0;10.0;3.0;40.0;10.0;12.0;12.0;3.0;4.0
41;10,11,14 Delfstoffenwinning;1998;117.0;91.0;74.0;40.0;;;;;;;;38.0;34.0;;;;11.0;;;5769.0;21.0;152.0;58.0;2000.0;5120.0;4385.0;1227.0;9.0;4.0;5.0;45.0;18.0;7.0;10.0;9.0;1.0
42;10,11,14 Delfstoffenwinning;1999;125.0;116.0;88.0;57.0;68.0;82.0;31.0;31.0;8.0;5.0;5.0;54.0;57.0;64.0;6.0;14.0;19.0;16.0;14.0;5784.0;55.0;158.0;67.0;4.0;5448.0;4753.0;1512.0;7.0;4.0;3.0;47.0;13.0;8.0;11.0;11.0;5.0
43;10,11,14 Delfstoffenwinning;2000;125.0;116.0;;;;;;;;;;;;;;;;;;;;164.0;;;5125.0;4655.0;3241.0;;;;49.0;;;;;
44;10,11,14 Delfstoffenwinning;2001;125.0;116.0;97.0;69.0;68.0;88.0;49.0;49.0;27.0;16.0;10.0;69.0;75.0;72.0;9.0;17.0;28.0;20.0;19.0;;;173.0;;;4959.0;4532.0;3624.0;;;;51.0;;;;;
45;5 tot 20 werknemers van delfstofwinning;1997;56.0;;;;;;;;;;;;;;;;;;;0.0;;;0.0;0.0;;0.0;0.0;;;;;;;;;
46;5 tot 20 werknemers van delfstofwinning;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;5 tot 20 werknemers van delfstofwinning;1999;63.0;63.0;41.0;19.0;28.0;35.0;3.0;3.0;3.0;3.0;3.0;16.0;16.0;28.0;0.0;6.0;6.0;3.0;3.0;820.0;6.0;24.0;8.0;0.0;294.0;159.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;5 tot 20 werknemers van delfstofwinning;2000;63.0;63.0;;;;;;;;;;;;;;;;;;;;24.0;;;316.0;174.0;89.0;;;;0.0;;;;;
49;5 tot 20 werknemers van delfstofwinning;2001;63.0;63.0;50.0;25.0;28.0;41.0;16.0;16.0;9.0;6.0;3.0;25.0;28.0;35.0;0.0;6.0;10.0;3.0;3.0;;;26.0;;;304.0;200.0;126.0;;;;0.0;;;;;
50;20 tot 100 werknemers van delfstofw.;1997;45.0;;;;;;;;;;;;;;;;;;;0.0;;;0.0;0.0;;0.0;0.0;;;;;;;;;
51;20 tot 100 werknemers van delfstofw.;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;20 tot 100 werknemers van delfstofw.;1999;46.0;41.0;35.0;26.0;32.0;35.0;16.0;16.0;5.0;2.0;2.0;26.0;29.0;28.0;0.0;7.0;10.0;7.0;5.0;1496.0;28.0;10.0;1.0;0.0;754.0;649.0;488.0;2.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0
53;20 tot 100 werknemers van delfstofw.;2000;46.0;41.0;;;;;;;;;;;;;;;;;;;;11.0;;;799.0;680.0;575.0;;;;4.0;;;;;
54;20 tot 100 werknemers van delfstofw.;2001;46.0;41.0;35.0;32.0;32.0;35.0;21.0;21.0;13.0;10.0;7.0;32.0;35.0;30.0;3.0;10.0;16.0;11.0;10.0;;;11.0;;;820.0;708.0;613.0;;;;4.0;;;;;
55;100 en meer werknemers van delfstofw.;1997;15.0;;;;;;;;;;;;;;;;;;;0.0;;;0.0;0.0;;0.0;0.0;;;;;;;;;
56;100 en meer werknemers van delfstofw.;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;100 en meer werknemers van delfstofw.;1999;16.0;12.0;12.0;12.0;8.0;12.0;12.0;12.0;0.0;0.0;0.0;12.0;12.0;8.0;6.0;2.0;3.0;6.0;6.0;3469.0;20.0;124.0;58.0;4.0;4400.0;3945.0;974.0;5.0;3.0;2.0;44.0;12.0;6.0;10.0;10.0;5.0
58;100 en meer werknemers van delfstofw.;2000;16.0;12.0;;;;;;;;;;;;;;;;;;;;129.0;;;4010.0;3800.0;2578.0;;;;44.0;;;;;
59;100 en meer werknemers van delfstofw.;2001;16.0;12.0;12.0;12.0;8.0;12.0;12.0;12.0;5.0;0.0;0.0;12.0;12.0;8.0;6.0;2.0;3.0;6.0;6.0;;;137.0;;;3835.0;3625.0;2885.0;;;;47.0;;;;;
60;15 t/m 37 Industrie totaal;1997;15544.0;12265.0;8607.0;4855.0;;4374.0;2289.0;1575.0;537.0;553.0;513.0;3784.0;3917.0;;;;1117.0;;;859502.0;;10847.0;2447.0;802.0;390704.0;301181.0;60646.0;484.0;326.0;157.0;1596.0;500.0;262.0;507.0;176.0;151.0
61;15 t/m 37 Industrie totaal;1998;15778.0;14376.0;10575.0;8282.0;;;;;;;;7521.0;6967.0;;;;2698.0;;;855829.0;11978.0;11070.0;3463.0;2599.0;37026.0;336619.0;118201.0;782.0;372.0;410.0;2150.0;476.0;378.0;549.0;548.0;200.0
62;15 t/m 37 Industrie totaal;1999;15893.0;13998.0;11701.0;9597.0;8512.0;11135.0;5893.0;4314.0;3312.0;1590.0;1939.0;8423.0;9022.0;8403.0;1183.0;1799.0;1893.0;2764.0;1727.0;827260.0;10418.0;12044.0;2887.0;960.0;400643.0;361344.0;126916.0;741.0;373.0;368.0;2304.0;400.0;399.0;580.0;666.0;259.0
63;15 t/m 37 Industrie totaal;2000;15893.0;14056.0;;;;;;;;;;;;;;;;;;;;12953.0;;;428050.0;383421.0;160129.0;;;;2462.0;;;;;
64;15 t/m 37 Industrie totaal;2001;15893.0;14056.0;12587.0;10697.0;8656.0;12310.0;9193.0;7784.0;5762.0;2567.0;3396.0;10379.0;11094.0;9306.0;2077.0;2568.0;2768.0;5051.0;2698.0;;;13724.0;;;442006.0;399436.0;196555.0;;;;2533.0;;;;;
65;5 tot 20 werknemers van industrie;1997;9463.0;6557.0;4326.0;2166.0;;1822.0;1136.0;704.0;244.0;401.0;201.0;1530.0;1595.0;;;;515.0;;;105334.0;;340.0;84.0;0.0;32197.0;18238.0;4775.0;47.0;29.0;18.0;53.0;25.0;14.0;11.0;3.0;1.0
66;5 tot 20 werknemers van industrie;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;5 tot 20 werknemers van industrie;1999;9543.0;7992.0;6159.0;4673.0;4343.0;5699.0;2546.0;1748.0;1695.0;807.0;853.0;3940.0;4143.0;4228.0;238.0;573.0;640.0;1217.0;873.0;120266.0;1339.0;1247.0;236.0;84.0;41749.0;32526.0;17091.0;58.0;36.0;22.0;77.0;24.0;19.0;24.0;7.0;4.0
68;5 tot 20 werknemers van industrie;2000;9543.0;8036.0;;;;;;;;;;;;;;;;;;;;1638.0;;;44955.0;34999.0;21038.0;;;;74.0;;;;;
69;5 tot 20 werknemers van industrie;2001;9543.0;8036.0;6783.0;5362.0;4416.0;6561.0;4458.0;3631.0;2997.0;1298.0;1478.0;5279.0;5544.0;4861.0;613.0;916.0;1085.0;2467.0;1353.0;;;1853.0;;;46719.0;37524.0;24403.0;;;;75.0;;;;;
70;20 tot 100 werknemers van industrie;1997;4699.0;4349.0;3122.0;1721.0;;1638.0;690.0;510.0;224.0;110.0;193.0;1397.0;1516.0;;;;304.0;;;196007.0;;1067.0;22.0;67.0;60640.0;42063.0;5111.0;78.0;53.0;25.0;124.0;61.0;20.0;33.0;9.0;4.0
71;20 tot 100 werknemers van industrie;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;20 tot 100 werknemers van industrie;1999;4961.0;4703.0;4268.0;3707.0;3053.0;4168.0;2381.0;1768.0;1161.0;607.0;810.0;3309.0;3666.0;3202.0;590.0;868.0;887.0;1032.0;607.0;231180.0;1323.0;1667.0;386.0;165.0;77769.0;69006.0;24459.0;132.0;76.0;56.0;215.0;54.0;44.0;49.0;46.0;22.0
73;20 tot 100 werknemers van industrie;2000;4961.0;4713.0;;;;;;;;;;;;;;;;;;;;1793.0;;;83722.0;72764.0;31950.0;;;;191.0;;;;;
74;20 tot 100 werknemers van industrie;2001;4961.0;4713.0;4510.0;4081.0;3103.0;4458.0;3554.0;3060.0;2059.0;994.0;1383.0;3861.0;4263.0;3411.0;918.0;1183.0;1254.0;1820.0;965.0;;;1917.0;;;87990.0;77239.0;40158.0;;;;192.0;;;;;
75;100 en meer werknemers van industrie;1997;1381.0;1359.0;1158.0;968.0;;915.0;463.0;361.0;69.0;43.0;119.0;856.0;806.0;;;;297.0;;;558160.0;;9439.0;2341.0;735.0;297866.0;240879.0;50760.0;360.0;244.0;116.0;1420.0;414.0;229.0;463.0;165.0;147.0
76;100 en meer werknemers van industrie;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;100 en meer werknemers van industrie;1999;1389.0;1303.0;1274.0;1217.0;1116.0;1268.0;966.0;798.0;456.0;176.0;276.0;1174.0;1213.0;972.0;355.0;358.0;366.0;515.0;248.0;475815.0;7756.0;9130.0;2265.0;710.0;281125.0;259813.0;85365.0;551.0;262.0;290.0;2012.0;322.0;336.0;508.0;613.0;233.0
78;100 en meer werknemers van industrie;2000;1389.0;1307.0;;;;;;;;;;;;;;;;;;;;9522.0;;;299372.0;275658.0;107141.0;;;;2197.0;;;;;
79;100 en meer werknemers van industrie;2001;1389.0;1307.0;1294.0;1254.0;1136.0;1292.0;1181.0;1092.0;707.0;274.0;535.0;1239.0;1287.0;1033.0;546.0;469.0;429.0;764.0;380.0;;;9954.0;;;307297.0;284672.0;131994.0;;;;2266.0;;;;;
80;15,16 Voedings- en genotmid.ind.;1997;2638.0;1888.0;1195.0;528.0;;522.0;116.0;102.0;47.0;36.0;39.0;505.0;438.0;;;;190.0;;;134805.0;;1240.0;309.0;52.0;41645.0;30318.0;2624.0;62.0;41.0;21.0;209.0;66.0;41.0;61.0;20.0;21.0
81;15,16 Voedings- en genotmid.ind.;1998;2599.0;2410.0;1477.0;1033.0;;;;;;;;989.0;679.0;;;;311.0;;;156746.0;2095.0;1406.0;547.0;87.0;42032.0;36391.0;12036.0;73.0;43.0;30.0;217.0;49.0;29.0;66.0;41.0;33.0
82;15,16 Voedings- en genotmid.ind.;1999;2563.0;2061.0;1625.0;1475.0;1055.0;1566.0;689.0;474.0;374.0;202.0;57.0;1117.0;1221.0;956.0;158.0;279.0;88.0;207.0;132.0;142668.0;3266.0;2092.0;478.0;127.0;56363.0;48447.0;11343.0;87.0;54.0;33.0;314.0;66.0;44.0;87.0;67.0;50.0
83;15,16 Voedings- en genotmid.ind.;2000;2563.0;2065.0;;;;;;;;;;;;;;;;;;;;2326.0;;;60286.0;51951.0;14724.0;;;;346.0;;;;;
84;15,16 Voedings- en genotmid.ind.;2001;2563.0;2065.0;1901.0;1545.0;1055.0;1842.0;1359.0;1182.0;815.0;281.0;154.0;1510.0;1667.0;1241.0;438.0;484.0;129.0;853.0;212.0;;;2424.0;;;62980.0;53508.0;20799.0;;;;355.0;;;;;
85;17,18,19 Textiel- en lederindustrie;1997;792.0;592.0;377.0;177.0;;177.0;132.0;82.0;33.0;5.0;36.0;167.0;138.0;;;;31.0;;;30341.0;;99.0;0.0;9.0;5708.0;3380.0;1058.0;6.0;4.0;2.0;15.0;5.0;3.0;4.0;1.0;1.0
86;17,18,19 Textiel- en lederindustrie;1998;795.0;675.0;532.0;386.0;;;;;;;;355.0;331.0;;;;112.0;;;27829.0;297.0;175.0;66.0;12.0;6825.0;6248.0;1927.0;13.0;7.0;6.0;25.0;6.0;6.0;6.0;6.0;2.0
87;17,18,19 Textiel- en lederindustrie;1999;785.0;691.0;493.0;427.0;375.0;446.0;139.0;117.0;85.0;39.0;56.0;356.0;371.0;390.0;7.0;87.0;79.0;94.0;58.0;23437.0;560.0;128.0;35.0;7.0;7006.0;5615.0;1661.0;14.0;6.0;8.0;26.0;6.0;5.0;6.0;7.0;2.0
88;17,18,19 Textiel- en lederindustrie;2000;785.0;691.0;;;;;;;;;;;;;;;;;;;;140.0;;;7297.0;5895.0;2431.0;;;;25.0;;;;;
89;17,18,19 Textiel- en lederindustrie;2001;785.0;691.0;518.0;491.0;377.0;513.0;437.0;377.0;201.0;119.0;192.0;484.0;501.0;416.0;18.0;102.0;142.0;198.0;122.0;;;151.0;;;7419.0;6199.0;3083.0;;;;24.0;;;;;
90;21 Papierindustrie;1997;301.0;273.0;225.0;156.0;;147.0;76.0;67.0;4.0;4.0;3.0;126.0;136.0;;;;20.0;;;22603.0;;198.0;22.0;13.0;7665.0;5129.0;354.0;12.0;7.0;5.0;31.0;10.0;10.0;8.0;2.0;1.0
91;21 Papierindustrie;1998;286.0;263.0;225.0;160.0;;;;;;;;146.0;146.0;;;;61.0;;;24686.0;121.0;281.0;129.0;14.0;9006.0;8397.0;1369.0;27.0;10.0;16.0;53.0;11.0;18.0;12.0;5.0;6.0
92;21 Papierindustrie;1999;277.0;253.0;227.0;196.0;210.0;227.0;116.0;77.0;94.0;34.0;35.0;172.0;192.0;199.0;8.0;35.0;65.0;74.0;40.0;24747.0;72.0;269.0;49.0;19.0;9284.0;8751.0;1657.0;20.0;9.0;10.0;47.0;7.0;9.0;14.0;11.0;7.0
93;21 Papierindustrie;2000;277.0;253.0;;;;;;;;;;;;;;;;;;;;279.0;;;9716.0;9023.0;2322.0;;;;47.0;;;;;
94;21 Papierindustrie;2001;277.0;253.0;242.0;210.0;213.0;242.0;202.0;162.0;155.0;64.0;78.0;205.0;231.0;206.0;31.0;49.0;82.0;129.0;58.0;;;290.0;;;10155.0;9571.0;3540.0;;;;47.0;;;;;
95;22 Uitgeverijen en drukkerijen;1997;2011.0;1838.0;1631.0;1246.0;;953.0;644.0;255.0;78.0;367.0;49.0;585.0;929.0;;;;275.0;;;85425.0;;1526.0;427.0;78.0;45306.0;34181.0;7563.0;65.0;58.0;7.0;197.0;59.0;24.0;63.0;17.0;34.0
96;22 Uitgeverijen en drukkerijen;1998;2043.0;1649.0;1434.0;1240.0;;;;;;;;1079.0;1038.0;;;;371.0;;;81267.0;1104.0;1694.0;346.0;94.0;44948.0;41759.0;21685.0;97.0;55.0;41.0;220.0;60.0;40.0;63.0;29.0;29.0
97;22 Uitgeverijen en drukkerijen;1999;2040.0;1697.0;1495.0;1323.0;1153.0;1397.0;996.0;577.0;790.0;405.0;233.0;1222.0;1250.0;1106.0;236.0;246.0;239.0;599.0;491.0;76854.0;2930.0;1608.0;295.0;220.0;51325.0;46889.0;25112.0;81.0;55.0;25.0;226.0;51.0;34.0;67.0;33.0;41.0
98;22 Uitgeverijen en drukkerijen;2000;2040.0;1703.0;;;;;;;;;;;;;;;;;;;;1708.0;;;55274.0;50730.0;31232.0;;;;264.0;;;;;
