ID;Bedrijfsgrootte;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
46;Alle bedrijfsgroottes;Zuid-Nederland (LD);2006;9226;9067;2094;2354;178.0;610.0;1567.0;545;1623;1236;515.0;25.0;49.0;648.0;398;818;170.0;86.0;562.0;9067;8627;441;159;76;83;1817;1782;582;299;101.0;131.0;159.0;128;592;694;328.0;26.0;34.0;443.0;232;120;32.0;35.0;81.0;1782;1648;418;396;305;181
47;Alle bedrijfsgroottes;Zuid-Nederland (LD);2007;9686;9513;2294;2502;154.0;454.0;1895.0;470;1666;1331;654.0;25.0;56.0;596.0;422;827;187.0;92.0;549.0;9513;9072;440;173;81;92;1820;1774;596;287;99.0;138.0;151.0;114;545;689;373.0;26.0;27.0;396.0;230;110;30.0;33.0;72.0;1774;1643;401;401;292;202
48;Alle bedrijfsgroottes;Zuid-Nederland (LD);2008;10061;9882;2321;2576;173.0;324.0;2078.0;439;1970;1373;648.0;32.0;46.0;647.0;412;791;159.0;106.0;526.0;9882;9534;348;179;91;88;1804;1759;558;283;85.0;122.0;167.0;107;557;659;367.0;37.0;27.0;367.0;196;112;29.0;31.0;76.0;1759;1660;323;357;273;168
49;Alle bedrijfsgroottes;Zuid-Nederland (LD);2009;10476;10292;2385;2597;264.0;432.0;1901.0;461;1927;1602;771.0;39.0;45.0;747.0;431;890;183.0;125.0;582.0;10292;9928;364;184;74;109;1771;1722;519;289;104.0;128.0;148.0;99;534;660;386.0;39.0;23.0;369.0;205;102;29.0;34.0;65.0;1722;1643;256;331;242;175
50;Alle bedrijfsgroottes;Groningen (PV);2000;257;255;144;19;;;;39;19;9;;;;;8;16;;;;255;252;3;2;1;0;93;91;37;13;;;;19;35;25;;;;;19;6;;;;91;88;14;12;10;3
51;Alle bedrijfsgroottes;Groningen (PV);2001;216;215;125;17;;;;17;23;10;;;;;8;15;;;;215;204;12;1;1;0;78;78;33;12;;;;12;33;25;;;;;15;6;;;;78;73;16;9;8;2
52;Alle bedrijfsgroottes;Groningen (PV);2002;192;191;111;17;;;;11;20;7;;;;;11;13;;;;191;178;12;1;0;1;69;68;30;10;;;;9;28;16;;;;;17;7;;;;68;62;15;9;6;4
53;Alle bedrijfsgroottes;Groningen (PV);2003;202;198;123;18;;;;10;22;11;;;;;12;3;;;;198;187;11;4;1;3;67;66;26;10;;;;5;28;19;;;;;17;3;;;;66;62;13;11;9;3
54;Alle bedrijfsgroottes;Groningen (PV);2004;190;188;106;17;;;;9;21;9;;;;;23;3;;;;188;184;4;2;1;1;67;67;20;9;;;;6;28;23;;;;;18;2;;;;67;63;16;11;10;3
55;Alle bedrijfsgroottes;Groningen (PV);2005;227;224;142;18;;;;4;25;11;;;;;20;3;;;;224;219;5;3;2;1;68;66;22;10;;;;4;26;23;;;;;19;2;;;;66;61;17;13;12;3
