ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
11;Households, total;Netherlands;2006;40533.0;263500.0;54902.0;24950.0;333985.0;333985.0;92386.0;18364.0;42701.0;133409.0;22079.0;246546.0;2490.0;16158.0;3371.0;1533.0;20486.0;20486.0;5676.0;1128.0;2620.0;8185.0;1357.0;15129.0;;;;;;;;;;;;
12;Households, total;Netherlands;2007;45989.0;276453.0;63047.0;31427.0;354062.0;354062.0;91991.0;19318.0;47855.0;138217.0;23100.0;256199.0;2815.0;16889.0;3856.0;1923.0;21637.0;21637.0;5630.0;1182.0;2926.0;8448.0;1414.0;15661.0;6223.0;37339.0;8526.0;4252.0;47835.0;47835.0;12447.0;2614.0;6469.0;18678.0;3126.0;34624.0
13;Households, total;Netherlands;2008;46890.0;289678.0;62361.0;33790.0;365139.0;365139.0;95913.0;19457.0;48912.0;149970.0;23197.0;258430.0;2844.0;17572.0;3783.0;2050.0;22150.0;22150.0;5818.0;1180.0;2967.0;9097.0;1407.0;15677.0;6236.0;38527.0;8294.0;4494.0;48563.0;48563.0;12756.0;2588.0;6505.0;19946.0;3085.0;34371.0
14;Households, total;Netherlands;2009;35286.0;293700.0;44452.0;19288.0;354149.0;354149.0;100770.0;26381.0;55436.0;139681.0;26381.0;255303.0;2129.0;17720.0;2682.0;1164.0;21367.0;21367.0;6080.0;1592.0;3345.0;8427.0;1592.0;15403.0;4646.0;38672.0;5853.0;2540.0;46631.0;46631.0;13269.0;3474.0;7299.0;18392.0;3474.0;33616.0
15;Households, total;Extra-regio;1995;0.0;316.0;35.0;0.0;351.0;351.0;0.0;0.0;39.0;151.0;0.0;161.0;;;;;;;;;;;;;;;;;;;;;;;;
16;Households, total;Extra-regio;1996;0.0;295.0;32.0;0.0;327.0;327.0;0.0;0.0;34.0;140.0;0.0;153.0;;;;;;;;;;;;;;;;;;;;;;;;
17;Households, total;Extra-regio;1997;0.0;300.0;32.0;0.0;333.0;333.0;0.0;0.0;34.0;143.0;0.0;155.0;;;;;;;;;;;;;;;;;;;;;;;;
18;Households, total;Extra-regio;1998;0.0;314.0;32.0;0.0;346.0;346.0;0.0;0.0;29.0;137.0;0.0;180.0;;;;;;;;;;;;;;;;;;;;;;;;
19;Households, total;Extra-regio;1999;0.0;318.0;38.0;0.0;356.0;356.0;0.0;0.0;32.0;144.0;0.0;181.0;;;;;;;;;;;;;;;;;;;;;;;;
20;Households, total;Extra-regio;2000;0.0;320.0;38.0;0.0;358.0;358.0;0.0;0.0;32.0;143.0;0.0;183.0;;;;;;;;;;;;;;;;;;;;;;;;
21;Households, total;Extra-regio;2001;0.0;337.0;38.0;0.0;374.0;374.0;0.0;0.0;33.0;143.0;0.0;199.0;;;;;;;;;;;;;;;;;;;;;;;;
22;Households, total;Extra-regio;2002;0.0;350.0;31.0;0.0;381.0;381.0;0.0;0.0;37.0;151.0;0.0;193.0;;;;;;;;;;;;;;;;;;;;;;;;
23;Households, total;Extra-regio;2003;0.0;314.0;26.0;0.0;340.0;340.0;0.0;0.0;31.0;139.0;0.0;171.0;;;;;;;;;;;;;;;;;;;;;;;;
24;Households, total;Extra-regio;2004;0.0;470.0;31.0;0.0;502.0;502.0;0.0;0.0;38.0;169.0;0.0;295.0;;;;;;;;;;;;;;;;;;;;;;;;
25;Households, total;Extra-regio;2005;0.0;499.0;36.0;0.0;534.0;534.0;0.0;0.0;45.0;184.0;0.0;305.0;;;;;;;;;;;;;;;;;;;;;;;;
26;Households, total;Extra-regio;2006;0.0;508.0;37.0;0.0;545.0;545.0;0.0;0.0;51.0;184.0;0.0;310.0;;;;;;;;;;;;;;;;;;;;;;;;
27;Households, total;Extra-regio;2007;0.0;507.0;36.0;0.0;543.0;543.0;0.0;0.0;48.0;183.0;0.0;312.0;;;;;;;;;;;;;;;;;;;;;;;;
28;Households, total;Extra-regio;2008;0.0;531.0;37.0;0.0;568.0;568.0;0.0;0.0;49.0;199.0;0.0;320.0;;;;;;;;;;;;;;;;;;;;;;;;
29;Households, total;Extra-regio;2009;0.0;531.0;37.0;0.0;568.0;568.0;0.0;0.0;49.0;199.0;0.0;320.0;;;;;;;;;;;;;;;;;;;;;;;;
30;Households, total;North-Netherlands;1995;3072.0;13772.0;3723.0;1201.0;19366.0;19366.0;6838.0;1088.0;2363.0;8018.0;1240.0;15672.0;1890.0;8476.0;2291.0;739.0;11918.0;11918.0;4208.0;670.0;1454.0;4934.0;763.0;9645.0;;;;;;;;;;;;
31;Households, total;North-Netherlands;1996;3038.0;14436.0;3876.0;1133.0;20216.0;20216.0;6917.0;1142.0;2365.0;8252.0;1347.0;16310.0;1863.0;8853.0;2377.0;695.0;12398.0;12398.0;4242.0;700.0;1451.0;5060.0;826.0;10002.0;;;;;;;;;;;;
32;Households, total;North-Netherlands;1997;3150.0;15190.0;4164.0;1262.0;21242.0;21242.0;6994.0;1241.0;2133.0;8694.0;1454.0;17197.0;1924.0;9277.0;2543.0;771.0;12973.0;12973.0;4272.0;758.0;1303.0;5310.0;888.0;10502.0;;;;;;;;;;;;
33;Households, total;North-Netherlands;1998;3513.0;16249.0;4416.0;1453.0;22725.0;22725.0;7050.0;1400.0;2194.0;9163.0;1588.0;18231.0;2136.0;9880.0;2685.0;883.0;13818.0;13818.0;4287.0;851.0;1334.0;5572.0;966.0;11086.0;;;;;;;;;;;;
34;Households, total;North-Netherlands;1999;3648.0;17317.0;4739.0;1649.0;24055.0;24055.0;7357.0;1531.0;1887.0;9925.0;1740.0;19391.0;2207.0;10479.0;2868.0;998.0;14555.0;14555.0;4452.0;926.0;1142.0;6005.0;1053.0;11733.0;;;;;;;;;;;;
35;Households, total;North-Netherlands;2000;3819.0;18571.0;5067.0;2018.0;25440.0;25440.0;7402.0;1639.0;2075.0;10408.0;1870.0;20128.0;2295.0;11159.0;3045.0;1213.0;15286.0;15286.0;4448.0;985.0;1247.0;6254.0;1124.0;12094.0;;;;;;;;;;;;
36;Households, total;North-Netherlands;2001;4155.0;19940.0;4617.0;2087.0;26625.0;26625.0;7979.0;1806.0;2529.0;10333.0;2047.0;21501.0;2475.0;11880.0;2751.0;1243.0;15862.0;15862.0;4754.0;1076.0;1507.0;6156.0;1219.0;12810.0;;;;;;;;;;;;
37;Households, total;North-Netherlands;2002;3624.0;21019.0;4681.0;1854.0;27470.0;27470.0;8233.0;1946.0;2902.0;10446.0;2299.0;22003.0;2145.0;12441.0;2771.0;1097.0;16260.0;16260.0;4873.0;1152.0;1718.0;6183.0;1361.0;13024.0;;;;;;;;;;;;
38;Households, total;North-Netherlands;2003;3685.0;21605.0;4357.0;1684.0;27962.0;27962.0;8689.0;2140.0;2798.0;11202.0;2474.0;22317.0;2172.0;12736.0;2568.0;993.0;16483.0;16483.0;5122.0;1261.0;1650.0;6603.0;1458.0;13155.0;;;;;;;;;;;;
39;Households, total;North-Netherlands;2004;3648.0;21804.0;4571.0;1687.0;28336.0;28336.0;9059.0;2065.0;2890.0;11615.0;2536.0;22418.0;2149.0;12848.0;2693.0;994.0;16697.0;16697.0;5338.0;1217.0;1703.0;6844.0;1495.0;13210.0;;;;;;;;;;;;
40;Households, total;North-Netherlands;2005;3706.0;21880.0;5375.0;1711.0;29251.0;29251.0;9160.0;2040.0;3020.0;11734.0;2543.0;23152.0;2185.0;12902.0;3170.0;1009.0;17249.0;17249.0;5401.0;1203.0;1781.0;6920.0;1500.0;13652.0;;;;;;;;;;;;
41;Households, total;North-Netherlands;2006;4067.0;22430.0;5824.0;2227.0;30093.0;30093.0;9934.0;1607.0;3071.0;12184.0;2217.0;24161.0;2397.0;13217.0;3432.0;1313.0;17733.0;17733.0;5854.0;947.0;1810.0;7180.0;1306.0;14237.0;;;;;;;;;;;;
42;Households, total;North-Netherlands;2007;4614.0;23477.0;5931.0;2822.0;31201.0;31201.0;9563.0;1635.0;3521.0;12327.0;2312.0;24238.0;2717.0;13823.0;3492.0;1661.0;18370.0;18370.0;5630.0;963.0;2073.0;7258.0;1361.0;14271.0;5959.0;30320.0;7660.0;3644.0;40295.0;40295.0;12350.0;2112.0;4547.0;15921.0;2986.0;31303.0
43;Households, total;North-Netherlands;2008;4921.0;24850.0;5846.0;3033.0;32584.0;32584.0;8755.0;1661.0;3731.0;13389.0;2369.0;23511.0;2880.0;14545.0;3422.0;1775.0;19072.0;19072.0;5124.0;972.0;2184.0;7836.0;1387.0;13761.0;6255.0;31588.0;7431.0;3855.0;41418.0;41418.0;11128.0;2111.0;4742.0;17018.0;3011.0;29886.0
44;Households, total;North-Netherlands;2009;3558.0;25223.0;4229.0;1714.0;31296.0;31296.0;9243.0;2693.0;4279.0;12512.0;2693.0;22888.0;2076.0;14716.0;2468.0;1000.0;18260.0;18260.0;5393.0;1571.0;2497.0;7300.0;1571.0;13354.0;4481.0;31768.0;5327.0;2158.0;39418.0;39418.0;11642.0;3392.0;5390.0;15759.0;3392.0;28828.0
45;Households, total;East-Netherlands;1995;5515.0;30478.0;7589.0;2488.0;41095.0;41095.0;12481.0;2021.0;5036.0;16829.0;2345.0;31387.0;1729.0;9553.0;2379.0;780.0;12881.0;12881.0;3912.0;634.0;1579.0;5275.0;735.0;9838.0;;;;;;;;;;;;
46;Households, total;East-Netherlands;1996;5589.0;31727.0;7801.0;2390.0;42728.0;42728.0;12894.0;2124.0;5040.0;17368.0;2549.0;32788.0;1739.0;9871.0;2427.0;744.0;13294.0;13294.0;4012.0;661.0;1568.0;5404.0;793.0;10201.0;;;;;;;;;;;;
47;Households, total;East-Netherlands;1997;6449.0;33552.0;8615.0;2767.0;45849.0;45849.0;13070.0;2337.0;4725.0;18430.0;2789.0;35312.0;1991.0;10358.0;2660.0;854.0;14154.0;14154.0;4035.0;721.0;1459.0;5690.0;861.0;10901.0;;;;;;;;;;;;
48;Households, total;East-Netherlands;1998;6362.0;36098.0;9153.0;3111.0;48502.0;48502.0;13177.0;2640.0;4904.0;19438.0;3018.0;36960.0;1947.0;11046.0;2801.0;952.0;14841.0;14841.0;4032.0;808.0;1500.0;5948.0;924.0;11310.0;;;;;;;;;;;;
49;Households, total;East-Netherlands;1999;6970.0;38656.0;9816.0;3650.0;51792.0;51792.0;13571.0;2880.0;4835.0;21017.0;3297.0;39093.0;2113.0;11718.0;2976.0;1107.0;15700.0;15700.0;4114.0;873.0;1466.0;6371.0;999.0;11851.0;;;;;;;;;;;;
50;Households, total;East-Netherlands;2000;7377.0;41471.0;10199.0;4414.0;54632.0;54632.0;14096.0;3095.0;5226.0;22092.0;3554.0;40950.0;2214.0;12447.0;3061.0;1325.0;16397.0;16397.0;4231.0;929.0;1569.0;6631.0;1067.0;12291.0;;;;;;;;;;;;
51;Households, total;East-Netherlands;2001;7612.0;44704.0;10408.0;4393.0;58330.0;58330.0;14988.0;3393.0;5942.0;21984.0;3893.0;44893.0;2260.0;13276.0;3091.0;1305.0;17323.0;17323.0;4451.0;1008.0;1765.0;6529.0;1156.0;13332.0;;;;;;;;;;;;
52;Households, total;East-Netherlands;2002;7091.0;47388.0;9794.0;4182.0;60091.0;60091.0;15641.0;3829.0;6823.0;22732.0;4433.0;45573.0;2086.0;13942.0;2882.0;1230.0;17680.0;17680.0;4602.0;1126.0;2007.0;6688.0;1304.0;13408.0;;;;;;;;;;;;
53;Households, total;East-Netherlands;2003;6702.0;49156.0;9581.0;3757.0;61682.0;61682.0;16389.0;4167.0;6695.0;24388.0;4765.0;46390.0;1958.0;14362.0;2799.0;1098.0;18022.0;18022.0;4789.0;1218.0;1956.0;7126.0;1392.0;13554.0;;;;;;;;;;;;
54;Households, total;East-Netherlands;2004;6689.0;50484.0;9732.0;3800.0;63104.0;63104.0;16841.0;4215.0;6214.0;25657.0;4967.0;47322.0;1948.0;14705.0;2835.0;1107.0;18382.0;18382.0;4906.0;1228.0;1810.0;7474.0;1447.0;13784.0;;;;;;;;;;;;
55;Households, total;East-Netherlands;2005;7172.0;50665.0;10966.0;3956.0;64847.0;64847.0;17405.0;4198.0;7060.0;25833.0;5041.0;48516.0;2080.0;14697.0;3181.0;1147.0;18811.0;18811.0;5049.0;1218.0;2048.0;7494.0;1462.0;14074.0;;;;;;;;;;;;
56;Households, total;East-Netherlands;2006;8195.0;52913.0;10449.0;5277.0;66280.0;66280.0;18403.0;3377.0;7591.0;26970.0;4346.0;49154.0;2373.0;15321.0;3025.0;1528.0;19192.0;19192.0;5329.0;978.0;2198.0;7809.0;1258.0;14232.0;;;;;;;;;;;;
57;Households, total;East-Netherlands;2007;9353.0;55578.0;12670.0;6599.0;71002.0;71002.0;18386.0;3533.0;8663.0;27942.0;4560.0;51756.0;2697.0;16026.0;3653.0;1903.0;20473.0;20473.0;5301.0;1019.0;2498.0;8057.0;1315.0;14923.0;6255.0;37171.0;8474.0;4414.0;47486.0;47486.0;12296.0;2363.0;5794.0;18688.0;3050.0;34614.0
58;Households, total;East-Netherlands;2008;9558.0;58124.0;12461.0;7056.0;73087.0;73087.0;19328.0;3648.0;8924.0;30224.0;4626.0;52288.0;2731.0;16607.0;3560.0;2016.0;20882.0;20882.0;5522.0;1042.0;2550.0;8636.0;1322.0;14940.0;6280.0;38193.0;8188.0;4636.0;48026.0;48026.0;12700.0;2397.0;5864.0;19861.0;3040.0;34359.0
59;Households, total;East-Netherlands;2009;7120.0;58702.0;8846.0;3993.0;70675.0;70675.0;20290.0;5299.0;10070.0;28091.0;5299.0;51474.0;2025.0;16692.0;2515.0;1135.0;20096.0;20096.0;5769.0;1507.0;2863.0;7987.0;1507.0;14636.0;4637.0;38232.0;5761.0;2601.0;46030.0;46030.0;13215.0;3451.0;6558.0;18295.0;3451.0;33524.0
60;Households, total;West-Netherlands;1995;11656.0;77598.0;20643.0;5857.0;104041.0;104041.0;30609.0;4920.0;14465.0;42372.0;5670.0;77062.0;1612.0;10735.0;2856.0;810.0;14393.0;14393.0;4234.0;681.0;2001.0;5862.0;784.0;10661.0;;;;;;;;;;;;
61;Households, total;West-Netherlands;1996;11931.0;80690.0;20666.0;5394.0;107893.0;107893.0;31435.0;5179.0;14575.0;43164.0;6145.0;80621.0;1645.0;11125.0;2849.0;744.0;14875.0;14875.0;4334.0;714.0;2010.0;5951.0;847.0;11115.0;;;;;;;;;;;;
62;Households, total;West-Netherlands;1997;13619.0;85261.0;21973.0;6202.0;114651.0;114651.0;31666.0;5642.0;13866.0;45612.0;6639.0;85842.0;1869.0;11703.0;3016.0;851.0;15737.0;15737.0;4347.0;774.0;1903.0;6261.0;911.0;11783.0;;;;;;;;;;;;
63;Households, total;West-Netherlands;1998;14647.0;91684.0;23527.0;6906.0;122952.0;122952.0;31991.0;6354.0;14346.0;48338.0;7216.0;91398.0;1999.0;12512.0;3211.0;943.0;16780.0;16780.0;4366.0;867.0;1958.0;6597.0;985.0;12473.0;;;;;;;;;;;;
64;Households, total;West-Netherlands;1999;15008.0;98155.0;24156.0;8066.0;129253.0;129253.0;33375.0;6904.0;16169.0;52027.0;7837.0;93498.0;2035.0;13312.0;3276.0;1094.0;17529.0;17529.0;4526.0;936.0;2193.0;7056.0;1063.0;12680.0;;;;;;;;;;;;
65;Households, total;West-Netherlands;2000;15731.0;105799.0;25419.0;9754.0;137195.0;137195.0;34524.0;7401.0;17203.0;54784.0;8435.0;98698.0;2120.0;14255.0;3425.0;1314.0;18485.0;18485.0;4652.0;997.0;2318.0;7381.0;1137.0;13298.0;;;;;;;;;;;;
66;Households, total;West-Netherlands;2001;16115.0;114033.0;27558.0;9600.0;148105.0;148105.0;36299.0;7731.0;17517.0;54770.0;9231.0;110616.0;2156.0;15257.0;3687.0;1284.0;19815.0;19815.0;4856.0;1034.0;2344.0;7328.0;1235.0;14800.0;;;;;;;;;;;;
67;Households, total;West-Netherlands;2002;16513.0;119607.0;27616.0;9581.0;154155.0;154155.0;38650.0;9306.0;19635.0;57329.0;10760.0;114388.0;2195.0;15901.0;3671.0;1274.0;20494.0;20494.0;5138.0;1237.0;2610.0;7621.0;1430.0;15207.0;;;;;;;;;;;;
68;Households, total;West-Netherlands;2003;15940.0;122848.0;24449.0;8544.0;154693.0;154693.0;39718.0;10020.0;19706.0;60649.0;11695.0;112382.0;2108.0;16245.0;3233.0;1130.0;20456.0;20456.0;5252.0;1325.0;2606.0;8020.0;1547.0;14861.0;;;;;;;;;;;;
69;Households, total;West-Netherlands;2004;16269.0;125193.0;24013.0;8749.0;156727.0;156727.0;41048.0;10030.0;19169.0;62765.0;12322.0;113549.0;2152.0;16562.0;3177.0;1157.0;20734.0;20734.0;5430.0;1327.0;2536.0;8303.0;1630.0;15022.0;;;;;;;;;;;;
70;Households, total;West-Netherlands;2005;16693.0;128081.0;25805.0;8980.0;161599.0;161599.0;41974.0;10030.0;22122.0;63449.0;12631.0;115400.0;2200.0;16877.0;3400.0;1183.0;21294.0;21294.0;5531.0;1322.0;2915.0;8361.0;1664.0;15206.0;;;;;;;;;;;;
71;Households, total;West-Netherlands;2006;19547.0;132981.0;26971.0;12020.0;167479.0;167479.0;43887.0;8260.0;23776.0;66015.0;10922.0;118913.0;2575.0;17516.0;3553.0;1583.0;22060.0;22060.0;5781.0;1088.0;3132.0;8695.0;1439.0;15663.0;;;;;;;;;;;;
72;Households, total;West-Netherlands;2007;22028.0;140312.0;31174.0;15232.0;178282.0;178282.0;45140.0;8966.0;26530.0;69024.0;11514.0;125321.0;2886.0;18381.0;4084.0;1995.0;23355.0;23355.0;5913.0;1175.0;3475.0;9042.0;1508.0;16417.0;6209.0;39547.0;8787.0;4293.0;50249.0;50249.0;12723.0;2527.0;7477.0;19454.0;3245.0;35322.0
73;Households, total;West-Netherlands;2008;22512.0;147300.0;30658.0;16429.0;184041.0;184041.0;49093.0;8804.0;26888.0;77069.0;11284.0;126696.0;2916.0;19082.0;3972.0;2128.0;23842.0;23842.0;6360.0;1140.0;3483.0;9984.0;1462.0;16413.0;6230.0;40764.0;8484.0;4547.0;50931.0;50931.0;13586.0;2436.0;7441.0;21328.0;3123.0;35062.0
74;Households, total;West-Netherlands;2009;16859.0;149847.0;22398.0;9407.0;179698.0;179698.0;51655.0;12836.0;30322.0;71958.0;12836.0;125972.0;2168.0;19268.0;2880.0;1210.0;23107.0;23107.0;6642.0;1651.0;3899.0;9253.0;1651.0;16198.0;4615.0;41017.0;6131.0;2575.0;49188.0;49188.0;14139.0;3514.0;8300.0;19697.0;3514.0;34482.0
75;Households, total;South-Netherlands;1995;5773.0;33683.0;8218.0;2716.0;44957.0;44957.0;13905.0;2198.0;5642.0;18661.0;2512.0;34245.0;1690.0;9863.0;2406.0;795.0;13164.0;13164.0;4072.0;644.0;1652.0;5464.0;736.0;10027.0;;;;;;;;;;;;
76;Households, total;South-Netherlands;1996;6771.0;34755.0;8476.0;2810.0;47192.0;47192.0;14224.0;2325.0;5587.0;19094.0;2766.0;36294.0;1973.0;10126.0;2469.0;819.0;13750.0;13750.0;4144.0;677.0;1628.0;5563.0;806.0;10574.0;;;;;;;;;;;;
77;Households, total;South-Netherlands;1997;7044.0;36968.0;9210.0;3048.0;50175.0;50175.0;14363.0;2543.0;5279.0;20366.0;3001.0;38435.0;2042.0;10719.0;2671.0;884.0;14549.0;14549.0;4165.0;737.0;1531.0;5905.0;870.0;11145.0;;;;;;;;;;;;
78;Households, total;South-Netherlands;1998;7026.0;39572.0;9612.0;3415.0;52795.0;52795.0;14397.0;2860.0;5387.0;21495.0;3245.0;39924.0;2026.0;11414.0;2772.0;985.0;15227.0;15227.0;4153.0;825.0;1554.0;6200.0;936.0;11515.0;;;;;;;;;;;;
79;Households, total;South-Netherlands;1999;6993.0;42767.0;10169.0;3866.0;56063.0;56063.0;14927.0;3119.0;5390.0;23155.0;3561.0;42004.0;2005.0;12264.0;2916.0;1109.0;16077.0;16077.0;4281.0;895.0;1546.0;6640.0;1021.0;12046.0;;;;;;;;;;;;
80;Households, total;South-Netherlands;2000;8468.0;45434.0;11216.0;4896.0;60221.0;60221.0;15636.0;3360.0;5891.0;24242.0;3845.0;45239.0;2414.0;12953.0;3198.0;1396.0;17169.0;17169.0;4458.0;958.0;1680.0;6911.0;1096.0;12898.0;;;;;;;;;;;;
81;Households, total;South-Netherlands;2001;8711.0;48230.0;10880.0;4738.0;63082.0;63082.0;16566.0;3979.0;6422.0;23836.0;4172.0;49198.0;2470.0;13678.0;3086.0;1344.0;17890.0;17890.0;4698.0;1128.0;1821.0;6760.0;1183.0;13952.0;;;;;;;;;;;;
82;Households, total;South-Netherlands;2002;7667.0;50136.0;10483.0;4454.0;63832.0;63832.0;17422.0;4420.0;7339.0;24233.0;4725.0;49378.0;2167.0;14169.0;2962.0;1259.0;18039.0;18039.0;4924.0;1249.0;2074.0;6848.0;1335.0;13954.0;;;;;;;;;;;;
83;Households, total;South-Netherlands;2003;7467.0;51152.0;9926.0;4002.0;64543.0;64543.0;18201.0;4845.0;7098.0;25774.0;5070.0;49647.0;2107.0;14432.0;2801.0;1129.0;18211.0;18211.0;5135.0;1367.0;2003.0;7272.0;1431.0;14008.0;;;;;;;;;;;;
84;Households, total;South-Netherlands;2004;7642.0;52067.0;10017.0;4012.0;65714.0;65714.0;18531.0;5419.0;6621.0;26737.0;5314.0;50992.0;2163.0;14737.0;2835.0;1136.0;18599.0;18599.0;5245.0;1534.0;1874.0;7567.0;1504.0;14433.0;;;;;;;;;;;;
85;Households, total;South-Netherlands;2005;7930.0;52306.0;10752.0;4113.0;66875.0;66875.0;18889.0;5370.0;7500.0;26817.0;5328.0;51489.0;2243.0;14793.0;3041.0;1163.0;18913.0;18913.0;5342.0;1519.0;2121.0;7584.0;1507.0;14562.0;;;;;;;;;;;;
86;Households, total;South-Netherlands;2006;8724.0;54668.0;11621.0;5426.0;69588.0;69588.0;20163.0;5120.0;8212.0;28055.0;4594.0;54009.0;2469.0;15471.0;3289.0;1535.0;19693.0;19693.0;5706.0;1449.0;2324.0;7940.0;1300.0;15284.0;;;;;;;;;;;;
87;Households, total;South-Netherlands;2007;9994.0;56579.0;13235.0;6774.0;73034.0;73034.0;18902.0;5184.0;9094.0;28741.0;4714.0;54572.0;2824.0;15988.0;3740.0;1914.0;20638.0;20638.0;5342.0;1465.0;2570.0;8122.0;1332.0;15421.0;6354.0;35972.0;8415.0;4307.0;46433.0;46433.0;12018.0;3296.0;5782.0;18273.0;2997.0;34695.0
