ID;Periods;IndexFiguresFinancialTurnover_1;IndexFiguresFinancialTurnover_2;TurnoverAfterAdjustment_3;TurnoverBeforeAdjustment_4;TurnoverDevelopments_5;CumulatedTurnoverDevelopment_6
37;2000 week 37 - 40;98.8;116.6;1709;1659.0;3.6;1.8
38;2000 week 41 - 44;100.4;118.5;1737;1686.0;5.5;2.1
39;2000 week 45 - 48;104.2;122.9;1802;1749.0;4.5;2.3
40;2000 week 49 - 52;111.9;132.0;1935;1879.0;9.3;2.9
41;2000 week 01 - 52 (average);100.0;118.0;1730;1679.0;2.9;2.9
42;2001 week 01 - 04;98.1;115.8;1697;1648.0;3.6;3.6
43;2001 week 05 - 08;102.7;121.2;1776;1725.0;7.5;5.5
44;2001 week 09 - 12;106.3;125.4;1838;1785.0;10.4;7.2
45;2001 week 13 - 16;107.6;127.0;1861;1807.0;4.8;6.5
46;2001 week 17 - 20;107.6;126.9;1860;1806.0;8.9;7.0
47;2001 week 21 - 24;109.7;129.4;1897;1842.0;7.0;7.0
48;2001 week 25 - 28;108.1;127.5;1870;1815.0;8.2;7.2
49;2001 week 29 - 32;104.2;122.9;1802;1749.0;9.5;7.5
50;2001 week 33 - 36;107.7;127.1;1863;1809.0;8.4;7.6
51;2001 week 37 - 40;106.6;125.8;1844;1791.0;7.9;7.6
52;2001 week 41 - 44;108.3;127.8;1874;1819.0;7.9;7.6
53;2001 week 45 - 48;110.5;130.4;1911;1856.0;6.1;7.5
54;2001 week 49 - 52;116.4;137.3;2013;1955.0;4.0;7.2
55;2001 week 01 - 52 (average);107.2;126.5;1854;1801.0;7.2;7.2
56;2002 week 01 - 04;106.7;125.9;1846;1792.0;8.8;8.8
57;2002 week 05 - 08;108.9;128.5;1884;1829.0;6.0;7.4
58;2002 week 09 - 12;111.5;131.6;1929;1873.0;4.9;6.5
59;2002 week 13 - 16;114.1;134.7;1974;1917.0;6.1;6.4
60;2002 week 17 - 20;115.7;136.5;2002;1943.0;7.6;6.7
61;2002 week 21 - 24;114.4;135.0;1979;1921.0;4.3;6.2
62;2002 week 25 - 28;114.1;134.6;1974;1916.0;5.6;6.1
63;2002 week 29 - 32;110.5;130.4;1911;1856.0;6.1;6.1
64;2002 week 33 - 36;113.7;134.2;1967;1909.0;5.6;6.1
65;2002 week 37 - 40;113.1;133.4;1956;1899.0;6.1;6.1
66;2002 week 41 - 44;112.8;133.1;1951;1894.0;4.1;5.9
67;2002 week 45 - 48;114.3;134.9;1978;1920.0;3.5;5.7
68;2002 week 49 - 52;119.0;140.5;2059;1999.0;2.3;5.4
69;2002 week 01 - 52 (average);113.0;133.3;1955;1898.0;5.4;5.4
70;2003 week 01 - 04;113.9;134.4;1970;1913.0;6.7;6.7
71;2003 week 05 - 08;112.6;132.9;1948;1891.0;3.4;5.0
72;2003 week 09 - 12;113.2;133.6;1958;1901.0;1.5;3.8
73;2003 week 13 - 16;121.1;142.9;2095;2034.0;6.1;4.4
74;2003 week 17 - 20;113.8;134.2;1968;1910.0;-1.7;3.1
75;2003 week 21 - 24;121.0;142.8;2093;2032.0;5.8;3.6
76;2003 week 25 - 28;117.0;138.0;2023;1964.0;2.5;3.4
77;2003 week 29 - 32;114.5;135.1;1980;1923.0;3.6;3.5
78;2003 week 33 - 36;116.5;137.5;2016;1957.0;2.5;3.4
79;2003 week 37 - 40;114.8;135.4;1985;1928.0;1.5;3.2
80;2003 week 41 - 44;115.5;136.3;1998;1940.0;2.4;3.1
81;2003 week 45 - 48;117.0;138.0;2023;1964.0;2.3;3.0
82;2003 week 49 - 52;118.1;139.4;2043;1983.0;-0.8;2.7
83;2003 week 01 - 52 (average);116.1;137.0;2008;1949.0;2.7;2.7
84;2004 week 01 - 04;115.7;136.6;2002;1944.0;1.6;1.6
85;2004 week 04 - 08;113.4;133.8;1961;1904.0;0.7;1.2
86;2004 week 09 - 12;115.1;135.8;1991;1933.0;1.7;1.3
87;2004 week 13 - 16;118.4;139.7;2048;1989.0;-2.2;0.4
88;2004 week 17 - 20;117.3;138.5;2030;1971.0;3.2;0.9
89;2004 week 21 - 24;119.9;141.5;2074;2014.0;-0.9;0.6
90;2004 week 25 - 28;118.7;140.1;2053;1993.0;1.5;0.7
91;2004 week 29 - 32;113.1;133.5;1956;1900.0;-1.2;0.5
92;2004 week 33 - 36;114.8;135.5;1986;1928.0;-1.5;0.3
93;2004 week 37 - 40;113.6;134.1;1966;1908.0;-1.0;0.2
94;2004 week 41 - 44;113.8;134.2;1968;1910.0;-1.5;0.0
95;2004 week 45 - 48;116.6;137.6;2017;1958.0;-0.3;0.0
96;2004 week 49 - 52;119.5;141.2;2067;2007.0;1.2;0.1
97;2004 week 49 - 53;147.3;173.9;2547;2473.0;24.7;1.9
98;2004 week 01-  52 (average);116.2;137.1;2009;1951.0;0.1;0.1
99;2004 week 01 - 53 (average);118.3;139.7;2046;1987.0;1.9;1.9
100;2005 week 01 - 04;112.4;;1944;1887.0;-2.9;-2.9
101;2005 week 05 - 08;112.9;;1953;1897.0;-0.4;-1.7
102;2005 week 09 - 12;120.9;;2091;2028.0;5.0;0.6
103;2005 week 13 - 16;110.7;;1915;1858.0;-6.5;-1.2
104;2005 week 17 - 20;117.8;;2038;;0.4;-0.9
105;2005 week 21 - 24;120.6;;2086;;0.6;-0.7
106;2005 week 25 - 28;118.3;;2047;;-0.3;-0.6
107;2005 week 29 - 32;111.2;;1923;;-1.7;-0.7
108;2005 week 33 - 36;114.9;;1988;;0.1;-0.6
109;2005 week 37 - 40;114.5;;1981;;0.8;-0.5
110;2005 week 41 - 44;116.0;;2007;;2.0;-0.3
111;2005 week 45 - 48;119.5;;2068;;2.5;0.0
112;2005 week 49 - 52 (1);123.1;;2129;;3.0;0.2
113;2005 week 49 - 52 (2);123.1;;2129;;-16.4;-1.6
114;2005 week 01 - 52 (average) (1);116.4;;2013;;0.2;0.2
115;2005 week 01 - 52 (average) (2);116.4;;2013;;-1.6;-1.6
116;2006 week 01 - 04;113.1;;1956;;0.6;0.6
117;2006 week 05 - 08;115.8;;2002;;2.5;1.6
118;2006 week 09 - 12;119.5;;2068;;-1.1;0.6
119;2006 week 13 - 16;120.7;;2088;;9.0;2.7
120;2006 week 17 - 20;123.8;;2141;;5.1;3.1
121;2006 week 21 - 24;126.0;;2180;;4.5;3.4
122;2006 week 25 - 28;125.1;;2164;;5.7;3.7
123;2006 week 29 - 32;119.2;;2063;;7.3;4.1
124;2006 week 33 - 36;120.2;;2080;;4.7;4.2
125;2006 week 37 - 40;121.5;;2102;;6.1;4.4
126;2006 week 41 - 44;121.5;;2101;;4.7;4.4
127;2006 week 45 - 48;122.8;;2125;;2.8;4.3
128;2006 week 49 - 52;129.0;;2231;;4.8;4.3
129;2006 week 01 - 52  (average);121.4;;2100;;4.3;4.3
130;2007 week 01 - 04;116.3;;2011;;2.8;2.8
131;2007 week 05 - 08;122.3;;2115;;5.6;4.2
132;2007 week 09 - 12;125.1;;2164;;4.7;4.4
133;2007 week 13 - 16;127.6;;2208;;5.8;4.7
134;2007 week 17 - 20;127.9;;2213;;3.4;4.5
135;2007 week 21 - 24;131.1;;2267;;4.0;4.4
136;2007 week 25 - 28;127.7;;2208;;2.1;4.0
137;2007 week 29 - 32;122.5;;2119;;2.7;3.9
138;2007 week 33 - 36;125.2;;2166;;4.1;3.9
139;2007 week 37 - 40;127.2;;2201;;4.7;4.0
140;2007 week 41 - 44;128.7;;2227;;6.0;4.2
141;2007 week 45 - 48;130.7;;2261;;6.4;4.4
142;2007 week 49 - 52;134.2;;2321;;4.0;4.3
143;2007 week 01 - 52  (average);126.6;;2191;;4.3;4.3
144;2008 week 01 - 04;128.6;;2224;;11.0;10.6
145;2008 week 05 - 08;131.4;;2274;;8.0;9.0
146;2008 week 09 - 12;140.6;;2432;;12.0;10.2
147;2008 week 13 - 16;132.2;;2287;;4.0;8.5
148;2008 week 17 - 20;138.0;;2388;;7.9;8.3
149;2008 week 21 - 24;141.8;;2453;;8.2;8.3
150;2008 week 25 - 28;138.5;;2396;;8.5;8.3
151;2008 week 29 - 32;131.0;;2267;;7.0;8.2
152;2008 week 33 - 36;134.6;;2329;;7.5;8.1
153;2008 week 37 - 40;136.0;;2352;;6.9;8.0
154;2008 week 41 - 44;136.0;;2353;;5.7;7.8
155;2008 week 45 - 48;138.5;;2397;;6.0;7.6
156;2008 week 49 - 52;138.3;;2393;;3.1;7.2
157;2008 week 01 - 52 (average);135.8;;2350;;7.2;7.2
