ID;Perioden;Indexcijfers_1;MutatiesTenOpzichteVan1JaarTerug_2;Indexcijfers_3;MutatiesTenOpzichteVan1JaarTerug_4
111;1999 april;107.0;0.9;121.0;0.9
112;1999 mei;107.0;0.9;121.0;0.9
113;1999 juni;108.0;1.7;122.0;1.7
114;1999 juli;108.0;2.4;123.0;2.4
115;1999 augustus;108.0;2.1;123.0;2.1
116;1999 september;108.0;2.2;123.0;2.2
117;1999 oktober;108.0;2.6;123.0;2.6
118;1999 november;109.0;3.3;124.0;3.3
119;1999 december;109.0;3.4;124.0;3.4
120;2000 januari;111.0;4.1;;
121;2000 februari;111.0;4.4;;
122;2000 maart;111.0;4.3;;
123;2000 april;111.0;4.5;;
124;2000 mei;112.0;4.7;;
125;2000 juni;111.0;3.3;;
126;2000 juli;112.0;3.4;;
127;2000 augustus;112.0;3.7;;
128;2000 september;113.0;3.9;;
129;2000 oktober;113.0;3.7;;
130;2000 november;112.0;2.8;;
131;2000 december;112.0;2.8;;
132;2001 januari;115.0;4.1;;
133;2001 februari;117.0;4.9;;
134;2001 maart;117.0;5.0;;
135;2001 april;118.0;6.4;;
136;2001 mei;119.0;6.7;;
137;2001 juni;120.0;7.8;;
138;2001 juli;121.0;7.6;;
139;2001 augustus;121.0;7.6;;
140;2001 september;121.0;7.2;;
141;2001 oktober;121.0;7.4;;
142;2001 november;121.0;7.3;;
143;2001 december;121.0;7.5;;
144;2002 januari;122.0;5.5;;
145;2002 februari;122.0;4.7;;
146;2002 maart;123.0;5.2;;
147;2002 april;123.0;3.5;;
148;2002 mei;124.0;4.1;;
149;2002 juni;124.0;3.7;;
150;2002 juli;126.0;4.0;;
151;2002 augustus;126.0;4.0;;
152;2002 september;126.0;4.2;;
153;2002 oktober;126.0;4.3;;
154;2002 november;126.0;4.4;;
155;2002 december;126.0;4.1;;
156;2003 januari;127.0;4.1;;
157;2003 februari;127.0;4.0;;
158;2003 maart;127.0;3.4;;
159;2003 april;127.0;3.7;;
160;2003 mei;128.0;2.8;;
161;2003 juni;127.0;2.2;;
162;2003 juli;127.0;1.3;;
163;2003 augustus;128.0;1.6;;
164;2003 september;128.0;1.5;;
165;2003 oktober;128.0;1.3;;
166;2003 november;128.0;2.0;;
167;2003 december;128.0;1.9;;
