ID;SoortKoopwoning;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;Aantal_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
117;Bestaande koopwoningen;2018 3e kwartaal;87.9;2.8;9.3;56921;7.5;-7.3;292146;16629
118;Bestaande koopwoningen;2018 4e kwartaal;89.2;1.5;9.1;56535;-0.7;-14.6;293210;16577
119;Bestaande koopwoningen;2018;86.6;9.2;9.2;218491;-9.7;-9.7;287267;62765
120;Bestaande koopwoningen;2019 1e kwartaal;90.7;1.7;8.2;47431;-16.1;-9.0;301279;14290
121;Bestaande koopwoningen;2019 2e kwartaal;91.8;1.2;7.4;52506;10.7;-0.8;302538;15885
122;Bestaande koopwoningen;2019 3e kwartaal;93.5;1.8;6.4;58935;12.2;3.5;313256;18462
123;Bestaande koopwoningen;2019 4e kwartaal;94.8;1.4;6.2;59723;1.3;5.6;312871;18686
124;Bestaande koopwoningen;2019;92.7;7.0;7.0;218595;0.0;0.0;307978;67322
125;Bestaande koopwoningen;2020 1e kwartaal;96.9;2.2;6.8;51579;-13.6;8.7;325834;16806
126;Bestaande koopwoningen;2020 2e kwartaal;98.9;2.1;7.7;54923;6.5;4.6;327867;18007
127;Bestaande koopwoningen;2020 3e kwartaal;101.1;2.3;8.2;62206;13.3;5.6;339559;21123
128;Bestaande koopwoningen;2020 4e kwartaal;103.1;1.9;8.8;66803;7.4;11.9;341892;22839
129;Bestaande koopwoningen;2020;100.0;7.9;7.9;235511;7.7;7.7;334488;78776
130;Bestaande koopwoningen;2021 1e kwartaal;106.8;3.6;10.2;66627;-0.3;29.2;379172;25263
131;Bestaande koopwoningen;2021 2e kwartaal;111.6;4.5;12.8;52787;-20.8;-3.9;365702;19304
132;Bestaande koopwoningen;2021 3e kwartaal;118.7;6.3;17.3;53875;2.1;-13.4;400935;21600
133;Bestaande koopwoningen;2021 4e kwartaal;123.2;3.8;19.5;52798;-2.0;-21.0;402726;21263
134;Bestaande koopwoningen;2021;115.1;15.1;15.1;226087;-4.0;-4.0;386714;87431
135;Bestaande koopwoningen;2022 1e kwartaal;128.2;4.1;20.1;43923;-16.8;-34.1;426787;18746
136;Bestaande koopwoningen;2022 2e kwartaal;131.8;2.8;18.1;47382;7.9;-10.2;429010;20327
137;Bestaande koopwoningen;2022 3e kwartaal;132.4;0.5;11.6;50453;6.5;-6.4;443042;22353
138;Bestaande koopwoningen;2022 4e kwartaal;129.0;-2.6;4.7;51345;1.8;-2.8;415546;21336
139;Bestaande koopwoningen;2022;130.4;13.3;13.3;193103;-14.6;-14.6;428591;82762
140;Bestaande koopwoningen;2023 1e kwartaal;126.8;-1.7;-1.1;40437;-21.2;-7.9;416786;16854
141;Bestaande koopwoningen;2023 2e kwartaal;124.7;-1.7;-5.4;44500;10.0;-6.1;406547;18091
142;Bestaande koopwoningen;2023 3e kwartaal;126.4;1.3;-4.5;46948;5.5;-6.9;417656;19608
143;Bestaande koopwoningen;2023 4e kwartaal;128.6;1.7;-0.3;50518;7.6;-1.6;422712;21355
144;Bestaande koopwoningen;2023;126.6;-2.9;-2.9;182403;-5.5;-5.5;416153;75908
145;Bestaande koopwoningen;2024 1e kwartaal;131.6;2.4;3.8;44441;-12.0;9.9;432061;19201
146;Bestaande koopwoningen;2024 2e kwartaal;135.4;2.9;8.6;47942;7.9;7.7;441018;21143
147;Bestaande koopwoningen;2024 3e kwartaal;140.4;3.7;11.1;54147;12.9;15.3;463375;25090
148;Bestaande koopwoningen;2024 4e kwartaal;143.3;2.1;11.5;59928;10.7;18.6;461797;27675
149;Bestaande koopwoningen;2024;137.7;8.7;8.7;206458;13.2;13.2;450985;93109
