ID;Periods;PriceIndexOfExistingOwnHomes_1;ChangesComparedToOnePeriodEarlier_2;ChangesComparedToOneYearEarlier_3;NumberOfSoldDwellings_4;ChangesComparedToOnePeriodEarlier_5;ChangesComparedToOneYearEarlier_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
145;2003 August;87.4;0.1;2.5;16045;-8.4;-6.4;204982;3289
146;2003 September;87.6;0.2;2.7;16810;4.8;7.5;205430;3453
147;2003 3rd quarter;87.4;0.9;2.8;50365;8.8;-4.2;205078;10329
148;2003 October;88.1;0.6;3.3;17357;3.3;7.1;208042;3611
149;2003 November;88.3;0.3;3.8;15168;-12.6;-4.1;205756;3121
150;2003 December;88.7;0.4;5.0;24651;62.5;15.6;211410;5211
151;2003 4th quarter;88.4;1.1;4.0;57176;13.5;7.2;208888;11943
152;2003;87.1;3.6;3.6;193406;-2.5;-2.5;204829;39615
153;2004 January;89.1;0.5;4.3;10329;-58.1;-12.7;204756;2115
154;2004 February;89.6;0.5;4.4;13298;28.7;-0.7;209830;2790
155;2004 March;89.4;-0.2;4.0;15624;17.5;8.8;210156;3283
156;2004 1st quarter;89.4;1.1;4.2;39251;-31.4;-0.8;208625;8189
157;2004 April;90.1;0.8;4.3;16496;5.6;8.8;212873;3512
158;2004 May;90.3;0.2;4.3;14507;-12.1;-13.0;212210;3079
159;2004 June;90.6;0.3;4.1;16943;16.8;17.3;211950;3591
160;2004 2nd quarter;90.3;1.1;4.2;47946;22.2;3.6;212346;10181
161;2004 July;91.3;0.9;4.6;18386;8.5;5.0;215940;3970
162;2004 August;91.8;0.5;5.1;16909;-8.0;5.4;217834;3683
163;2004 September;91.8;-0.1;4.8;15132;-10.5;-10.0;218350;3304
164;2004 3rd quarter;91.7;1.5;4.8;50427;5.2;0.1;217298;10958
165;2004 October;92.1;0.4;4.6;15450;2.1;-11.0;214677;3317
166;2004 November;91.9;-0.3;4.0;16519;6.9;8.9;211246;3490
167;2004 December;91.8;-0.1;3.5;22348;35.3;-9.3;210150;4696
168;2004 4th quarter;91.9;0.3;4.0;54317;7.7;-5.0;211771;11503
169;2004;90.8;4.3;4.3;191941;-0.8;-0.8;212723;40830
170;2005 January;92.3;0.6;3.5;11495;-48.6;11.3;214758;2469
171;2005 February;92.9;0.7;3.8;13964;21.5;5.0;214870;3000
172;2005 March;93.1;0.2;4.2;15751;12.8;0.8;217110;3420
173;2005 1st quarter;92.8;0.9;3.8;41210;-24.1;5.0;215695;8889
174;2005 April;93.5;0.4;3.8;16662;5.8;1.0;219695;3661
175;2005 May;94.2;0.7;4.3;16913;1.5;16.6;219176;3707
176;2005 June;94.1;-0.1;3.9;17017;0.6;0.4;221788;3774
177;2005 2nd quarter;93.9;1.2;4.0;50592;22.8;5.5;220225;11142
178;2005 July;94.8;0.7;3.7;18704;9.9;1.7;225528;4218
179;2005 August;95.2;0.5;3.7;18901;1.1;11.8;225914;4270
180;2005 September;95.2;0.0;3.8;18123;-4.1;19.8;229361;4157
181;2005 3rd quarter;95.1;1.2;3.7;55728;10.2;10.5;226905;12645
182;2005 October;95.5;0.3;3.7;17789;-1.8;15.1;225765;4016
183;2005 November;95.5;0.0;4.0;17268;-2.9;4.5;224855;3883
184;2005 December;95.8;0.3;4.4;24042;39.2;7.6;226399;5443
185;2005 4th quarter;95.6;0.6;4.0;59099;6.0;8.8;225757;13342
186;2005;94.4;3.9;3.9;206629;7.7;7.7;222706;46017
187;2006 January;96.5;0.7;4.6;13671;-43.1;18.9;228008;3117
188;2006 February;97.2;0.7;4.6;15698;14.8;12.4;229291;3599
189;2006 March;97.5;0.3;4.7;18150;15.6;15.2;231013;4193
190;2006 1st quarter;97.1;1.5;4.6;47519;-19.6;15.3;229580;10909
191;2006 April;97.9;0.4;4.7;16245;-10.5;-2.5;232932;3784
192;2006 May;98.2;0.3;4.2;18479;13.8;9.3;232135;4290
193;2006 June;98.6;0.4;4.8;18479;0.0;8.6;237713;4393
194;2006 2nd quarter;98.2;1.2;4.6;53203;12.0;5.2;234316;12466
195;2006 July;99.3;0.7;4.8;18819;1.8;0.6;240270;4522
196;2006 August;99.6;0.3;4.6;18059;-4.0;-4.5;241279;4357
197;2006 September;99.6;0.0;4.5;17004;-5.8;-6.2;241654;4109
198;2006 3rd quarter;99.5;1.3;4.6;53882;1.3;-3.3;241045;12988
199;2006 October;99.8;0.2;4.5;16981;-0.1;-4.5;239211;4062
200;2006 November;100.1;0.3;4.8;16578;-2.4;-4.0;235660;3907
201;2006 December;100.0;-0.1;4.3;21604;30.3;-10.1;237903;5140
202;2006 4th quarter;99.9;0.5;4.5;55163;2.4;-6.7;237631;13108
203;2006;98.7;4.6;4.6;209767;1.5;1.5;235843;49472
204;2007 January;100.8;0.8;4.4;13419;-37.9;-1.8;243160;3263
205;2007 February;100.9;0.1;3.8;14487;8.0;-7.7;240094;3478
206;2007 March;101.5;0.6;4.1;17349;19.8;-4.4;244056;4234
207;2007 1st quarter;101.0;1.1;4.1;45255;-18.0;-4.8;242522;10975
208;2007 April;101.8;0.3;4.0;15646;-9.8;-3.7;244148;3820
209;2007 May;102.3;0.5;4.2;17419;11.3;-5.7;246215;4289
210;2007 June;102.7;0.3;4.1;17358;-0.4;-6.1;247323;4293
211;2007 2nd quarter;102.3;1.2;4.1;50423;11.4;-5.2;245955;12402
212;2007 July;103.3;0.6;4.1;18221;5.0;-3.2;249941;4554
213;2007 August;104.3;0.9;4.7;19554;7.3;8.3;257921;5043
214;2007 September;103.9;-0.4;4.3;14386;-26.4;-15.4;252650;3635
215;2007 3rd quarter;103.8;1.5;4.4;52161;3.4;-3.2;253679;13232
216;2007 October;104.1;0.2;4.3;16833;17.0;-0.9;251238;4229
217;2007 November;104.5;0.4;4.4;18067;7.3;9.0;252031;4553
218;2007 December;104.0;-0.5;4.0;19662;8.8;-9.0;247650;4869
219;2007 4th quarter;104.2;0.3;4.2;54562;4.6;-1.1;250208;13652
220;2007;102.8;4.2;4.2;202401;-3.5;-3.5;248325;50261
221;2008 January;105.3;1.3;4.5;12192;-38.0;-9.1;252858;3083
222;2008 February;105.3;0.0;4.4;15081;23.7;4.1;256717;3872
223;2008 March;105.7;0.3;4.1;13698;-9.2;-21.0;250160;3427
224;2008 1st quarter;105.4;1.2;4.4;40971;-24.9;-9.5;253376;10381
225;2008 April;105.7;0.0;3.9;18474;34.9;18.1;255294;4716
226;2008 May;105.3;-0.4;2.9;13871;-24.9;-20.4;252098;3497
227;2008 June;105.6;0.3;2.8;15669;13.0;-9.7;252710;3960
228;2008 2nd quarter;105.5;0.1;3.2;48014;17.2;-4.8;253527;12173
229;2008 July;106.5;0.9;3.1;17597;12.3;-3.4;258178;4543
230;2008 August;107.0;0.5;2.6;15469;-12.1;-20.9;261948;4052
231;2008 September;106.6;-0.3;2.7;15374;-0.6;6.9;258314;3971
232;2008 3rd quarter;106.7;1.1;2.8;48440;0.9;-7.1;259425;12567
233;2008 October;106.4;-0.3;2.2;16568;7.8;-1.6;259137;4293
234;2008 November;105.6;-0.7;1.1;11619;-29.9;-35.7;245292;2850
235;2008 December;105.8;0.1;1.7;16780;44.4;-14.7;252145;4231
236;2008 4th quarter;105.9;-0.8;1.7;44967;-7.2;-17.6;252950;11374
237;2008;105.9;3.0;3.0;182392;-9.9;-9.9;254918;46495
238;2009 January;106.3;0.5;0.9;8700;-48.2;-28.6;255906;2226
239;2009 February;105.2;-1.0;-0.1;8906;2.4;-40.9;247830;2207
240;2009 March;104.1;-1.0;-1.5;9612;7.9;-29.8;240130;2308
241;2009 1st quarter;105.2;-0.7;-0.2;27218;-39.5;-33.6;247692;6742
242;2009 April;103.4;-0.7;-2.2;10073;4.8;-45.5;238277;2400
243;2009 May;102.6;-0.7;-2.5;10275;2.0;-25.9;236447;2429
244;2009 June;101.6;-1.1;-3.8;9921;-3.4;-36.7;231684;2299
245;2009 2nd quarter;102.5;-2.5;-2.9;30269;11.2;-37.0;235495;7128
246;2009 July;101.7;0.1;-4.5;13237;33.4;-24.8;235361;3115
247;2009 August;101.0;-0.6;-5.6;9572;-27.7;-38.1;231295;2214
248;2009 September;100.7;-0.3;-5.6;10425;8.9;-32.2;233504;2434
249;2009 3rd quarter;101.1;-1.4;-5.2;33234;9.8;-31.4;233608;7764
250;2009 October;100.8;0.1;-5.2;11385;9.2;-31.3;238827;2719
251;2009 November;100.3;-0.5;-5.0;9970;-12.4;-14.2;233663;2330
252;2009 December;99.8;-0.6;-5.7;15456;55.0;-7.9;239605;3703
253;2009 4th quarter;100.3;-0.8;-5.3;36811;10.8;-18.1;237755;8752
254;2009;102.3;-3.4;-3.4;127532;-30.1;-30.1;238259;30386
255;2010 January;100.0;0.2;-5.9;7708;-50.1;-11.4;240650;1855
256;2010 February;100.3;0.3;-4.7;8892;15.4;-0.2;233902;2080
257;2010 March;100.1;-0.2;-3.9;11145;25.3;15.9;236230;2633
258;2010 1st quarter;100.1;-0.2;-4.8;27745;-24.6;1.9;236712;6568
259;2010 April;100.8;0.7;-2.5;11069;-0.7;9.9;241859;2677
260;2010 May;100.1;-0.8;-2.5;9893;-10.6;-3.7;236799;2343
261;2010 June;99.9;-0.1;-1.6;10929;10.5;10.2;241017;2634
262;2010 2nd quarter;100.3;0.1;-2.2;31891;14.9;5.4;240001;7654
263;2010 July;100.5;0.6;-1.1;12240;12.0;-7.5;245245;3002
264;2010 August;100.6;0.1;-0.4;10411;-14.9;8.8;242259;2522
265;2010 September;99.9;-0.7;-0.8;9747;-6.4;-6.5;245706;2395
266;2010 3rd quarter;100.4;0.1;-0.8;32398;1.6;-2.5;244424;7919
267;2010 October;99.5;-0.4;-1.3;9950;2.1;-12.6;241580;2404
268;2010 November;99.2;-0.3;-1.1;10079;1.3;1.1;234732;2366
269;2010 December;98.9;-0.3;-0.9;14064;39.5;-9.0;234739;3301
270;2010 4th quarter;99.2;-1.1;-1.1;34093;5.2;-7.4;236733;8071
271;2010;100.0;-2.2;-2.2;126127;-1.1;-1.1;239530;30211
272;2011 January;98.8;-0.1;-1.2;8368;-40.5;8.6;240983;2017
273;2011 February;98.4;-0.4;-1.9;9558;14.2;7.5;234444;2241
274;2011 March;98.9;0.5;-1.3;10432;9.1;-6.4;244661;2552
275;2011 1st quarter;98.7;-0.5;-1.5;28358;-16.8;2.2;240132;6810
276;2011 April;98.4;-0.5;-2.4;10068;-3.5;-9.0;243245;2449
277;2011 May;98.3;-0.1;-1.8;9915;-1.5;0.2;240276;2382
278;2011 June;98.1;-0.2;-1.8;9549;-3.7;-12.6;241662;2308
279;2011 2nd quarter;98.3;-0.4;-2.0;29532;4.1;-7.4;241736;7139
280;2011 July;98.2;0.1;-2.3;10433;9.3;-14.8;248424;2592
281;2011 August;97.6;-0.6;-3.0;10009;-4.1;-3.9;241390;2416
282;2011 September;96.8;-0.8;-3.1;10327;3.2;6.0;246538;2546
283;2011 3rd quarter;97.5;-0.8;-2.8;30769;4.2;-5.0;245503;7554
284;2011 October;96.6;-0.2;-2.9;9453;-8.5;-5.0;237499;2245
285;2011 November;96.0;-0.7;-3.3;9494;0.4;-5.8;232640;2209
286;2011 December;94.9;-1.1;-4.1;13133;38.3;-6.6;230582;3028
287;2011 4th quarter;95.8;-1.7;-3.4;32080;4.3;-5.9;233229;7482
288;2011;97.6;-2.4;-2.4;120739;-4.3;-4.3;240059;28984
289;2012 January;95.2;0.3;-3.7;7082;-46.1;-15.4;241473;1710
290;2012 February;95.0;-0.2;-3.4;7805;10.2;-18.3;237464;1853
291;2012 March;93.7;-1.4;-5.3;9064;16.1;-13.1;230341;2088
292;2012 1st quarter;94.6;-1.3;-4.1;23951;-25.3;-15.5;235954;5651
293;2012 April;92.9;-0.8;-5.6;8236;-9.1;-18.2;231130;1904
294;2012 May;92.3;-0.6;-6.1;10182;23.6;2.7;228010;2322
295;2012 June;93.2;1.0;-5.0;16210;59.2;69.8;240443;3898
296;2012 2nd quarter;92.8;-1.9;-5.5;34628;44.6;17.3;234572;8123
297;2012 July;89.6;-3.9;-8.8;7451;-54.0;-28.6;216721;1615
298;2012 August;89.2;-0.4;-8.6;8384;12.5;-16.2;214075;1795
299;2012 September;88.7;-0.6;-8.4;7143;-14.8;-30.8;216849;1549
300;2012 3rd quarter;89.1;-3.9;-8.6;22978;-33.6;-25.3;215795;4959
301;2012 October;88.4;-0.3;-8.5;8507;19.1;-10.0;214546;1825
302;2012 November;88.9;0.6;-7.3;9833;15.6;3.6;220465;2168
303;2012 December;88.3;-0.7;-6.9;17364;76.6;32.2;221887;3853
304;2012 4th quarter;88.5;-0.7;-7.6;35704;55.4;11.3;219746;7846
305;2012;91.3;-6.5;-6.5;117261;-2.9;-2.9;226661;26578
306;2013 January;85.8;-2.9;-9.9;6260;-63.9;-11.6;206583;1293
307;2013 February;86.8;1.2;-8.6;7897;26.2;1.2;210384;1661
308;2013 March;86.9;0.2;-7.2;8933;13.1;-1.4;220430;1969
309;2013 1st quarter;86.5;-2.3;-8.6;23090;-35.3;-3.6;213240;4924
310;2013 April;85.7;-1.5;-7.8;6554;-26.6;-20.4;214969;1409
311;2013 May;84.5;-1.3;-8.4;8333;27.1;-18.2;211869;1766
312;2013 June;84.0;-0.6;-9.8;7224;-13.3;-55.4;206114;1489
313;2013 2nd quarter;84.7;-2.0;-8.7;22111;-4.2;-36.1;210908;4663
314;2013 July;85.0;1.2;-5.1;9659;33.7;29.6;213967;2067
315;2013 August;85.2;0.2;-4.5;9977;3.3;19.0;215092;2146
316;2013 September;85.0;-0.2;-4.1;9289;-6.9;30.0;215283;2000
317;2013 3rd quarter;85.1;0.4;-4.6;28925;30.8;25.9;214778;6212
318;2013 October;84.8;-0.2;-4.0;9929;6.9;16.7;213050;2115
319;2013 November;84.5;-0.4;-5.0;10576;6.5;7.6;212126;2243
320;2013 December;85.0;0.6;-3.8;15463;46.2;-10.9;215388;3331
321;2013 4th quarter;84.8;-0.4;-4.3;35968;24.3;0.7;213784;7689
322;2013;85.3;-6.6;-6.6;110094;-6.1;-6.1;213353;23489
323;2014 January;85.3;0.4;-0.5;8905;-42.4;42.3;219530;1955
324;2014 February;85.3;0.0;-1.7;10030;12.6;27.0;213822;2145
325;2014 March;85.1;-0.3;-2.1;10028;0.0;12.3;214147;2147
326;2014 1st quarter;85.2;0.6;-1.5;28963;-19.5;25.4;215689;6247
327;2014 April;85.7;0.8;0.1;10780;7.5;64.5;220136;2373
328;2014 May;85.7;-0.1;1.4;11966;11.0;43.6;219607;2628
329;2014 June;85.9;0.3;2.2;11328;-5.3;56.8;222301;2518
330;2014 2nd quarter;85.8;0.6;1.2;34074;17.6;54.1;220670;7519
331;2014 July;86.6;0.8;1.9;13883;22.6;43.7;226750;3148
332;2014 August;86.6;0.1;1.7;12328;-11.2;23.6;225149;2776
333;2014 September;86.5;-0.2;1.7;12949;5.0;39.4;223567;2895
334;2014 3rd quarter;86.6;0.9;1.8;39160;14.9;35.4;225194;8819
335;2014 October;86.7;0.3;2.2;14353;10.8;44.6;224795;3226
336;2014 November;86.5;-0.3;2.3;11696;-18.5;10.6;220204;2576
337;2014 December;86.7;0.2;2.0;25265;116.0;63.4;226646;5726
338;2014 4th quarter;86.6;0.1;2.2;51314;31.0;42.7;224660;11528
339;2014;86.1;0.9;0.9;153511;39.4;39.4;222218;34113
340;2015 January;87.1;0.5;2.1;9437;-62.6;6.0;222800;2103
341;2015 February;87.3;0.3;2.4;11697;23.9;16.6;216678;2534
342;2015 March;87.4;0.1;2.7;13393;14.5;33.6;225024;3014
343;2015 1st quarter;87.3;0.8;2.4;34527;-32.7;19.2;221589;7651
344;2015 April;87.7;0.3;2.3;12748;-4.8;18.3;224376;2860
345;2015 May;87.9;0.2;2.6;12827;0.6;7.2;228032;2925
346;2015 June;88.2;0.3;2.6;15147;18.1;33.7;229381;3474
347;2015 2nd quarter;87.9;0.8;2.5;40722;17.9;19.5;227389;9260
348;2015 July;88.9;0.9;2.7;18422;21.6;32.7;232562;4284
349;2015 August;88.8;-0.1;2.5;15863;-13.9;28.7;233485;3704
350;2015 September;89.5;0.8;3.5;16324;2.9;26.1;233956;3819
351;2015 3rd quarter;89.1;1.3;2.9;50609;24.3;29.2;233301;11807
352;2015 October;89.7;0.2;3.4;16324;0.0;13.7;237796;3882
353;2015 November;89.8;0.1;3.8;14545;-10.9;24.4;234610;3412
354;2015 December;89.5;-0.4;3.2;21566;48.3;-14.6;233242;5030
355;2015 4th quarter;89.7;0.6;3.5;52435;3.6;2.2;235039;12324
356;2015;88.5;2.8;2.8;178293;16.1;16.1;230194;41042
357;2016 January;90.6;1.3;4.1;11907;-44.8;26.2;238934;2845
358;2016 February;90.7;0.0;3.8;14866;24.9;27.1;234830;3491
359;2016 March;91.2;0.5;4.3;16124;8.5;20.4;235799;3802
360;2016 1st quarter;90.8;1.3;4.1;42897;-18.2;24.2;236333;10138
