ID;Sectoren;Perioden;EenmaligeEnStandaardGaranties_1;TotaalEenmaligeGaranties_2;NietFinancieleOverheidsondernemingen_3;FinancieleOverheidsondernemingen_4;ParticuliereFinancieleInstellingen_5;OverigeInstellingen_6;StandaardGaranties_7;KapitaalgoederenBuitenBalansPPS_8;NietRenderendeLeningen_9;EenmaligeEnStandaardGaranties_10;TotaalEenmaligeGaranties_11;NietFinancieleOverheidsondernemingen_12;FinancieleOverheidsondernemingen_13;ParticuliereFinancieleInstellingen_14;OverigeInstellingen_15;StandaardGaranties_16;KapitaalgoederenBuitenBalansPPS_17;NietRenderendeLeningen_18
33;Lokale overheid;2015;5803;5803;3322;0;0;2481;0;0;299;0.8;0.8;0.5;0.0;0.0;0.4;0;0;0.0
34;Lokale overheid;2016;5228;5228;3128;0;0;2100;0;0;298;0.7;0.7;0.4;0.0;0.0;0.3;0;0;0.0
35;Lokale overheid;2017;4364;4364;2557;0;0;1807;0;0;274;0.6;0.6;0.3;0.0;0.0;0.2;0;0;0.0
36;Lokale overheid;2018;4255;4255;2559;0;0;1696;0;0;255;0.5;0.5;0.3;0.0;0.0;0.2;0;0;0.0
37;Lokale overheid;2019;3943;3943;2431;0;0;1512;0;0;224;0.5;0.5;0.3;0.0;0.0;0.2;0;0;0.0
38;Lokale overheid;2020;3358;3358;2184;0;0;1174;0;0;348;0.4;0.4;0.3;0.0;0.0;0.1;0;0;0.0
39;Lokale overheid;2021;3394;3394;2328;0;0;1066;0;0;341;0.4;0.4;0.3;0.0;0.0;0.1;0;0;0.0
40;Lokale overheid;2022;3213;3213;2236;0;0;977;0;0;261;0.3;0.3;0.2;0.0;0.0;0.1;0;0;0.0
41;Lokale overheid;2023;3061;3061;2157;0;0;904;0;0;268;0.3;0.3;0.2;0.0;0.0;0.1;0;0;0.0
42;Socialezekerheidsfondsen;2010;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
43;Socialezekerheidsfondsen;2011;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
44;Socialezekerheidsfondsen;2012;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
45;Socialezekerheidsfondsen;2013;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
46;Socialezekerheidsfondsen;2014;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
47;Socialezekerheidsfondsen;2015;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
48;Socialezekerheidsfondsen;2016;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
49;Socialezekerheidsfondsen;2017;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
50;Socialezekerheidsfondsen;2018;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
51;Socialezekerheidsfondsen;2019;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
52;Socialezekerheidsfondsen;2020;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
53;Socialezekerheidsfondsen;2021;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
54;Socialezekerheidsfondsen;2022;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
55;Socialezekerheidsfondsen;2023;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
