ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouders_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
91;100;2040;190464;154064;26780;7593;2027;10624;8628;1711;285
92;100;2041;191387;154801;26915;7633;2038;10678;8672;1720;286
93;100;2042;192336;155569;27048;7669;2050;10729;8714;1728;287
94;100;2043;193280;156354;27165;7699;2062;10783;8757;1737;289
95;100;2044;194173;157134;27249;7720;2070;10827;8792;1745;290
96;100;2045;194977;157893;27281;7728;2075;10869;8825;1752;292
97;100;2046;195676;158624;27258;7720;2074;10906;8854;1759;293
98;100;2047;196298;159271;27240;7714;2073;10935;8876;1765;294
99;100;2048;196838;159826;27230;7710;2072;10960;8894;1771;295
100;100;2049;197296;160300;27220;7705;2071;10982;8910;1776;296
101;100;2050;197689;160700;27216;7702;2071;10995;8920;1779;296
102;101;2000;891925;371158;217709;222983;80075;65099;35120;21882;8097
103;101;2001;873411;361961;215660;218436;77354;64201;34586;21599;8016
104;101;2002;854132;352117;212204;214569;75242;63314;34046;21326;7942
105;101;2003;835383;343921;207295;210248;73919;62315;33473;21001;7841
106;101;2004;816254;337577;201000;205681;71996;61141;32833;20605;7703
107;101;2005;792989;332872;192883;197614;69620;59359;31942;19969;7448
108;101;2006;773512;331461;185116;189667;67268;57717;31163;19360;7194
109;101;2007;757686;330620;178672;183196;65198;56341;30518;18849;6974
110;101;2008;744096;329436;173455;178314;62891;55166;29969;18412;6785
111;101;2009;737177;329220;170347;175744;61866;54631;29723;18211;6697
112;101;2010;734531;330014;168740;174889;60888;54427;29649;18125;6653
113;101;2011;736318;331176;168704;175549;60889;54605;29771;18171;6663
114;101;2012;740851;333074;169811;176796;61170;54984;30015;18274;6695
115;101;2013;745829;335443;170684;178088;61614;55441;30294;18407;6740
116;101;2014;750162;337847;171487;178852;61976;55824;30545;18509;6770
117;101;2015;755385;340621;172437;179910;62417;56276;30835;18633;6808
118;101;2016;760671;344712;173147;180253;62559;56624;31098;18706;6820
119;101;2017;767419;349045;174294;181180;62900;57122;31442;18827;6853
120;101;2018;775862;352970;175754;183424;63714;57861;31886;19043;6932
121;101;2019;784369;356043;177366;186233;64727;58693;32361;19301;7031
122;101;2020;791555;358507;178722;188693;65633;59426;32787;19525;7114
123;101;2021;796022;359588;179483;190599;66352;59978;33105;19692;7181
124;101;2022;797878;359902;179650;191577;66749;60293;33305;19773;7215
125;101;2023;800542;360737;179909;192705;67191;60659;33535;19869;7255
126;101;2024;804737;362623;180423;193997;67694;61122;33828;19993;7301
127;101;2025;808434;364561;180838;194946;68089;61522;34087;20095;7340
128;101;2026;811222;367170;181139;194797;68116;61744;34279;20125;7340
129;101;2027;813847;369678;181569;194500;68100;61954;34465;20151;7338
130;101;2028;817178;371874;182299;194733;68272;62243;34682;20211;7350
131;101;2029;820198;373424;183070;195194;68510;62533;34879;20283;7371
132;101;2030;822241;374234;183653;195625;68729;62773;35038;20344;7391
133;101;2031;825016;374459;184333;196982;69242;63125;35227;20461;7437
134;101;2032;827406;374079;184760;198693;69874;63488;35403;20590;7495
135;101;2033;827720;372997;184575;199832;70316;63689;35484;20670;7535
136;101;2034;825232;371332;183655;199862;70383;63622;35434;20652;7536
137;101;2035;821731;369410;182455;199527;70339;63455;35327;20603;7525
138;101;2036;815920;367263;180740;198016;69901;63028;35099;20456;7473
139;101;2037;809842;365289;179005;196186;69362;62544;34843;20291;7410
140;101;2038;804061;363583;177413;194277;68788;62047;34582;20121;7344
141;101;2039;799101;362305;176056;192481;68259;61612;34360;19968;7284
142;101;2040;795119;361423;174998;190897;67801;61223;34165;19830;7228
143;101;2041;792238;360961;174264;189583;67430;60922;34016;19720;7186
144;101;2042;790494;360900;173852;188579;67163;60706;33916;19638;7152
145;101;2043;789874;361206;173746;187918;67004;60572;33859;19584;7129
146;101;2044;790249;361820;173916;187567;66946;60519;33842;19559;7118
147;101;2045;791547;362689;174336;187530;66992;60537;33860;19560;7117
148;101;2046;793590;363778;174941;187746;67125;60629;33916;19586;7127
149;101;2047;796142;365063;175615;188152;67312;60767;33991;19632;7144
150;101;2048;799062;366521;176303;188701;67537;60934;34076;19691;7167
151;101;2049;802183;368122;176940;189338;67783;61108;34161;19756;7191
152;101;2050;805382;369832;177523;189997;68030;61303;34251;19832;7220
153;102;2000;1002703;131077;167557;451451;252618;129884;56042;51373;22469
154;102;2001;1011417;131478;168895;457583;253461;131663;56845;52057;22761
155;102;2002;1016188;130231;170242;462880;252835;132954;57430;52557;22967
156;102;2003;1018925;128204;172163;468182;250376;134117;57978;52998;23141
157;102;2004;1021714;125372;175744;472936;247662;135093;58458;53357;23278
158;102;2005;1026575;122903;179896;479002;244774;136247;59014;53792;23441
159;102;2006;1029370;120265;183569;484080;241456;137034;59408;54081;23545
160;102;2007;1025532;117531;185129;485555;237317;137018;59433;54064;23521
161;102;2008;1017469;115413;184345;484580;233131;136431;59194;53835;23402
162;102;2009;1001553;112513;181263;480200;227577;134758;58485;53172;23101
163;102;2010;981451;109914;176622;473265;221650;132393;57465;52247;22681
164;102;2011;960461;109018;170839;465395;215209;129958;56443;51288;22227
165;102;2012;940198;109144;164332;457775;208947;127508;55449;50305;21754
166;102;2013;920611;109832;157678;450109;202992;124956;54418;49279;21259
167;102;2014;901226;111153;150362;442837;196874;122312;53341;48207;20764
168;102;2015;878071;112410;142224;433110;190327;118945;51881;46871;20193
169;102;2016;859320;113618;135349;425498;184855;116099;50621;45748;19730
170;102;2017;843781;113730;129853;419866;180332;113770;49576;44829;19365
171;102;2018;829890;113084;125485;415050;176271;111815;48686;44064;19065
172;102;2019;822424;112887;122402;413162;173973;110839;48255;43677;18907
173;102;2020;819545;113119;120354;413501;172571;110491;48117;43527;18847
174;102;2021;821241;113046;119536;416253;172406;110782;48280;43622;18880
175;102;2022;826064;112983;119790;420333;172958;111458;48618;43864;18976
176;102;2023;831209;113285;119811;424435;173678;112208;48990;44130;19088
177;102;2024;835650;113566;119815;427997;174272;112876;49315;44368;19193
178;102;2025;841113;114025;120066;431940;175082;113675;49697;44657;19321
179;102;2026;847212;115169;120180;435918;175945;114446;50037;44950;19459
180;102;2027;854552;116421;120584;440426;177121;115418;50462;45330;19626
181;102;2028;863088;117665;121211;445568;178644;116663;51022;45815;19826
182;102;2029;871508;118646;121973;450688;180201;117951;51611;46314;20026
183;102;2030;878713;119527;122629;455078;181479;119054;52120;46738;20196
184;102;2031;882862;120187;122794;457744;182137;119775;52454;47022;20299
185;102;2032;884440;120708;122578;458928;182226;120124;52618;47162;20344
186;102;2033;887117;121247;122715;460665;182490;120536;52819;47320;20397
187;102;2034;891772;121963;123340;463377;183092;121176;53137;47555;20484
188;102;2035;895879;122623;123914;465767;183575;121747;53418;47768;20561
189;102;2036;899477;123296;124471;467791;183919;122120;53589;47906;20625
190;102;2037;902647;123786;124958;469638;184265;122465;53730;48044;20691
191;102;2038;906148;124109;125505;471743;184791;122907;53911;48220;20776
192;102;2039;908955;124249;125908;473534;185264;123294;54071;48375;20848
193;102;2040;910524;124238;126086;474665;185535;123528;54166;48468;20894
194;102;2041;912534;124161;126360;476093;185920;123879;54332;48598;20949
195;102;2042;914029;124099;126554;477208;186168;124176;54492;48701;20983
196;102;2043;913451;123978;126426;477111;185936;124177;54534;48681;20962
197;102;2044;910209;123773;125887;475463;185086;123732;54365;48492;20875
198;102;2045;906017;123502;125239;473271;184005;123135;54130;48242;20763
199;102;2046;899738;123157;124269;469857;182455;122173;53716;47854;20603
200;102;2047;893334;122812;123312;466339;180871;121179;53279;47459;20441
201;102;2048;887390;122492;122457;463045;179396;120227;52851;47086;20290
202;102;2049;882388;122236;121771;460263;178118;119404;52475;46769;20160
203;102;2050;878476;122024;121281;458086;177085;118721;52155;46508;20058
204;103;2000;895439;342523;266718;215372;70826;112652;69792;33664;9196
205;103;2001;911068;347755;265819;221985;75509;114646;71190;34139;9317
206;103;2002;899288;331462;258902;228454;80470;114599;71003;34225;9371
207;103;2003;892440;315629;254198;236683;85930;115036;71158;34434;9444
208;103;2004;892288;302764;251315;246764;91445;116174;71797;34817;9560
209;103;2005;897966;290886;251155;259069;96856;117807;72774;35333;9700
210;103;2006;904945;279790;252033;271326;101796;119552;73855;35857;9840
211;103;2007;915359;269635;255128;284383;106213;121608;75127;36474;10007
212;103;2008;923508;257859;258632;297052;109965;123404;76228;37025;10151
213;103;2009;933172;247581;262754;309579;113258;125304;77411;37596;10297
214;103;2010;943372;238706;267176;321393;116097;127263;78628;38186;10449
215;103;2011;950082;229635;271055;331206;118186;128696;79592;38575;10529
216;103;2012;954396;221890;273859;339095;119552;129636;80291;38788;10557
217;103;2013;956820;214391;276096;345906;120427;130378;80890;38923;10565
218;103;2014;959099;207130;278541;352107;121321;130978;81391;39018;10569
219;103;2015;963301;199568;280765;360273;122695;131969;82046;39280;10643
220;103;2016;965497;191939;282854;367295;123409;132464;82445;39366;10653
221;103;2017;961456;183331;283016;371890;123219;132068;82349;39150;10569
222;103;2018;953449;174962;281914;374277;122296;130980;81870;38697;10413
223;103;2019;938070;165795;279510;372975;119790;128754;80744;37867;10143
224;103;2020;918797;157067;275992;368904;116834;125954;79235;36884;9835
225;103;2021;898686;151112;271604;362657;113313;122952;77591;35842;9519
226;103;2022;879292;147090;266326;355959;109917;120032;75933;34863;9236
227;103;2023;860485;144154;260322;349163;106846;117183;74230;33957;8996
228;103;2024;842028;142015;252916;342754;104343;114600;72577;33203;8820
229;103;2025;820195;138517;243580;335974;102124;111873;70727;32483;8663
230;103;2026;802580;134851;235481;331418;100830;109910;69287;32036;8587
231;103;2027;787951;131170;228962;327969;99850;108395;68169;31700;8526
232;103;2028;774861;127702;223650;324667;98842;107064;67242;31373;8449
233;103;2029;767784;125498;221042;323071;98173;106336;66758;31180;8398
234;103;2030;765069;124193;219839;323004;98033;106149;66613;31141;8395
235;103;2031;766587;123365;220387;324512;98323;106458;66778;31254;8426
236;103;2032;771059;122841;221885;327271;99062;107148;67162;31488;8498
237;103;2033;775911;122912;223305;329945;99749;107896;67601;31728;8567
238;103;2034;780106;123030;224415;332311;100350;108544;67994;31927;8623
239;103;2035;785215;123603;225555;334997;101060;109313;68459;32163;8691
240;103;2036;790936;124127;226304;338413;102092;110256;68985;32478;8793
241;103;2037;797761;124942;227684;342017;103118;111279;69593;32804;8882
242;103;2038;805587;126360;229993;345324;103910;112268;70247;33075;8946
243;103;2039;813257;127879;232612;348233;104533;113168;70883;33294;8991
244;103;2040;819789;129193;234907;350661;105028;113890;71402;33461;9027
245;103;2041;823453;130244;236490;351654;105065;114188;71672;33491;9025
246;103;2042;824664;130748;237250;351788;104878;114203;71750;33448;9005
247;103;2043;826935;131242;238266;352500;104927;114301;71862;33438;9001
248;103;2044;831068;131887;239633;354190;105358;114700;72110;33549;9041
249;103;2045;834739;132482;240734;355745;105778;115062;72321;33661;9080
250;103;2046;838013;132567;241288;357726;106432;115459;72502;33814;9143
251;103;2047;840887;132482;241800;359589;107016;115819;72677;33949;9193
252;103;2048;844077;132531;242739;361327;107480;116157;72868;34060;9229
253;103;2049;846614;132581;243760;362546;107727;116361;73005;34116;9240
254;103;2050;848014;132529;244657;363100;107728;116358;73030;34099;9229
255;104;2000;592534;499135;81578;10762;1059;37832;30530;6172;1130
256;104;2001;605217;514571;78947;10583;1116;38619;31208;6260;1151
257;104;2002;642670;545858;83293;12163;1356;41505;33487;6773;1245
258;104;2003;676051;574582;86573;13363;1533;43964;35452;7181;1331
259;104;2004;701257;596207;88948;14401;1701;45708;36878;7448;1382
260;104;2005;721666;613822;90583;15403;1858;47121;38060;7641;1420
261;104;2006;738901;627609;92460;16722;2110;48322;39077;7791;1454
262;104;2007;756314;641265;94479;18242;2328;49543;40132;7929;1482
263;104;2008;773421;652809;97750;20171;2691;50821;41217;8097;1507
264;104;2009;785133;658046;101520;22493;3074;51892;42112;8236;1544
265;104;2010;793916;659228;106114;25097;3477;52851;42922;8360;1569
266;104;2011;806566;663174;111674;27850;3868;54026;43928;8504;1594
267;104;2012;797436;644816;117414;30883;4323;54286;44068;8606;1612
268;104;2013;792404;629722;123899;33966;4817;54713;44358;8724;1631
269;104;2014;793051;620101;130692;37013;5245;55492;44963;8871;1658
270;104;2015;798553;614752;138269;39912;5620;56464;45735;9038;1691
271;104;2016;805063;611431;144998;42594;6040;57511;46567;9218;1726
272;104;2017;814661;610814;151789;45521;6537;58708;47544;9407;1757
273;104;2018;822354;608522;158365;48471;6996;59761;48401;9574;1786
274;104;2019;831360;606861;165073;51888;7538;60910;49326;9765;1819
275;104;2020;840782;605057;172197;55525;8003;62057;50271;9930;1856
276;104;2021;847072;601026;179166;58568;8312;62901;50983;10040;1878
277;104;2022;851155;596164;185667;60829;8495;63438;51468;10082;1888
278;104;2023;853583;590556;191903;62490;8634;63890;51893;10104;1893
279;104;2024;855815;584868;198209;63956;8782;64222;52216;10107;1899
280;104;2025;859916;580167;204913;65789;9047;64736;52673;10154;1909
281;104;2026;862085;576195;209912;66790;9188;64884;52831;10144;1909
282;104;2027;858667;570630;212054;66807;9176;64516;52573;10049;1894
283;104;2028;851672;564468;212033;66139;9032;63746;51993;9891;1862
284;104;2029;838026;556076;208953;64254;8743;62345;50898;9633;1814
285;104;2030;820980;545560;204688;62292;8440;60650;49557;9337;1756
286;104;2031;803182;535454;199375;60178;8175;58903;48164;9039;1700
287;104;2032;786030;525472;194097;58473;7988;57279;46859;8770;1650
288;104;2033;769287;514696;189491;57219;7881;55723;45593;8524;1606
289;104;2034;752932;502786;185724;56553;7869;54355;44465;8323;1567
290;104;2035;733654;487088;182512;56165;7889;52936;43277;8128;1531
291;104;2036;718189;472831;180972;56387;7999;51902;42397;8000;1505
292;104;2037;705292;460861;179853;56509;8069;51044;41666;7893;1485
293;104;2038;693674;450852;178516;56252;8054;50232;40984;7783;1465
294;104;2039;687336;445544;177732;56024;8036;49717;40559;7707;1451
295;104;2040;684857;442833;177795;56148;8081;49509;40385;7678;1446
296;104;2041;686115;442663;178715;56564;8173;49536;40406;7681;1449
297;104;2042;690019;443915;180463;57315;8326;49755;40580;7718;1457
298;104;2043;694301;445856;182090;57914;8441;50005;40784;7756;1465
299;104;2044;697992;447526;183543;58393;8530;50171;40919;7781;1471
300;104;2045;702526;449808;185167;58921;8630;50395;41102;7816;1477
301;104;2046;707680;451767;187352;59777;8784;50722;41359;7873;1490
302;104;2047;713825;454885;189534;60498;8908;51051;41623;7926;1502
303;104;2048;720814;459711;191282;60859;8962;51365;41882;7971;1512
304;104;2049;727625;464867;192711;61058;8989;51635;42110;8007;1518
305;104;2050;733440;469272;193917;61234;9017;51838;42279;8035;1524
306;105;2000;376186;367246;8940;0;0;20890;19801;916;173
307;105;2001;379195;370331;8864;0;0;20978;19885;918;175
308;105;2002;382534;373887;8647;0;0;21068;19996;898;174
309;105;2003;386490;378191;8299;0;0;21126;20077;875;174
310;105;2004;391609;383695;7914;0;0;21301;20261;865;175
311;105;2005;397914;390437;7477;0;0;21492;20462;850;180
312;105;2006;404343;397374;6969;0;0;21747;20727;838;182
313;105;2007;409313;403042;6271;0;0;21932;20929;818;185
314;105;2008;415999;410365;5634;0;0;22247;21252;806;189
315;105;2009;427600;422426;5174;0;0;22734;21731;810;193
316;105;2010;441245;436414;4831;0;0;23343;22326;818;199
317;105;2011;451552;447092;4460;0;0;23708;22686;817;205
318;105;2012;483002;478133;4869;0;0;25065;23958;888;219
319;105;2013;510565;505524;5041;0;0;26295;25115;942;238
320;105;2014;531186;526022;5164;0;0;27196;25959;988;249
321;105;2015;547540;542370;5170;0;0;27972;26690;1025;257
322;105;2016;561110;555844;5266;0;0;28711;27383;1063;265
323;105;2017;574141;568710;5431;0;0;29446;28064;1108;274
324;105;2018;587081;581274;5807;0;0;30217;28786;1155;276
325;105;2019;596115;589878;6237;0;0;30817;29349;1191;277
326;105;2020;603129;596321;6808;0;0;31388;29866;1241;281
327;105;2021;612532;605144;7388;0;0;32076;30493;1293;290
328;105;2022;608135;600016;8119;0;0;32308;30644;1371;293
329;105;2023;606715;597698;9017;0;0;32667;30913;1459;295
330;105;2024;609268;599382;9886;0;0;33228;31387;1542;299
331;105;2025;615260;604432;10828;0;0;33904;31967;1632;305
332;105;2026;621737;610072;11665;0;0;34658;32625;1721;312
333;105;2027;630581;617955;12626;0;0;35482;33354;1810;318
334;105;2028;638078;624559;13519;0;0;36222;34022;1877;323
335;105;2029;646493;632149;14344;0;0;37024;34757;1939;328
336;105;2030;655199;639997;15202;0;0;37815;35484;1999;332
337;105;2031;661273;645413;15860;0;0;38417;36052;2032;333
338;105;2032;665447;649079;16368;0;0;38786;36409;2046;331
339;105;2033;668331;651499;16832;0;0;39062;36677;2055;330
340;105;2034;671078;653638;17429;11;0;39196;36810;2058;328
341;105;2035;675736;657455;18255;26;0;39336;36930;2081;325
342;105;2036;678527;659643;18850;34;0;39306;36904;2083;319
343;105;2037;676858;657699;19117;42;0;39007;36634;2058;315
344;105;2038;672232;653078;19112;42;0;38511;36186;2018;307
345;105;2039;662047;643282;18720;45;0;37692;35448;1949;295
346;105;2040;649220;630886;18288;46;0;36697;34538;1878;281
347;105;2041;635625;617824;17749;52;0;35705;33627;1809;269
348;105;2042;622553;605142;17356;55;0;34730;32715;1756;259
349;105;2043;609786;592619;17108;59;0;33803;31835;1716;252
350;105;2044;597569;580467;17038;64;0;32936;30996;1692;248
351;105;2045;583471;566338;17066;67;0;31974;30055;1675;244
352;105;2046;572606;555237;17298;71;0;31205;29287;1676;242
353;105;2047;563544;545986;17485;73;0;30559;28644;1675;240
354;105;2048;555209;537637;17500;72;0;29991;28091;1663;237
355;105;2049;550718;533117;17528;73;0;29648;27759;1653;236
356;105;2050;549173;531427;17670;76;0;29476;27585;1655;236
357;106;2000;137618;137618;0;0;0;8931;8690;225;16
358;106;2001;140322;140322;0;0;0;8988;8744;228;16
359;106;2002;142695;142695;0;0;0;9043;8796;231;16
360;106;2003;144812;144812;0;0;0;9099;8847;236;16
361;106;2004;148365;148365;0;0;0;9171;8911;243;17
362;106;2005;151555;151555;0;0;0;9242;8976;249;17
363;106;2006;154909;154909;0;0;0;9286;9015;253;18
364;106;2007;157872;157872;0;0;0;9333;9056;259;18
365;106;2008;161168;161168;0;0;0;9386;9104;264;18
366;106;2009;163299;163299;0;0;0;9423;9138;267;18
367;106;2010;165970;165970;0;0;0;9472;9183;271;18
368;106;2011;168554;168554;0;0;0;9526;9233;275;18
369;106;2012;171520;171520;0;0;0;9541;9243;279;19
370;106;2013;174545;174545;0;0;0;9521;9219;282;20
371;106;2014;178495;178495;0;0;0;9510;9202;287;21
372;106;2015;182887;182887;0;0;0;9479;9166;292;21
373;106;2016;187575;187575;0;0;0;9421;9103;296;22
374;106;2017;191069;191069;0;0;0;9286;8963;301;22
375;106;2018;195639;195639;0;0;0;9168;8840;305;23
376;106;2019;202752;202752;0;0;0;9162;8826;312;24
377;106;2020;211032;211032;0;0;0;9208;8861;322;25
378;106;2021;216849;216849;0;0;0;9150;8793;332;25
379;106;2022;235855;235855;0;0;0;9698;9316;352;30
380;106;2023;251728;251728;0;0;0;10149;9737;379;33
381;106;2024;263058;263058;0;0;0;10478;10047;400;31
382;106;2025;271450;271450;0;0;0;10742;10290;421;31
383;106;2026;277973;277973;0;0;0;11011;10549;431;31
384;106;2027;283486;283486;0;0;0;11295;10828;436;31
385;106;2028;289220;289220;0;0;0;11658;11185;442;31
386;106;2029;293246;293246;0;0;0;12019;11535;453;31
387;106;2030;296612;296612;0;0;0;12411;11911;469;31
388;106;2031;300772;300772;0;0;0;12869;12352;483;34
389;106;2032;301335;301335;0;0;0;13214;12695;485;34
390;106;2033;303234;303234;0;0;0;13636;13114;488;34
391;106;2034;306661;306661;0;0;0;14117;13588;495;34
392;106;2035;311519;311519;0;0;0;14666;14126;505;35
393;106;2036;316262;316262;0;0;0;15199;14648;516;35
394;106;2037;322202;322202;0;0;0;15739;15180;525;34
395;106;2038;327643;327643;0;0;0;16239;15672;533;34
