ID;SamenstellingVanHetHuishouden;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;ParticuliereHuishoudens_1
66;Particulier huishouden;Totaal;Ongehuwd;2043;3683631
67;Particulier huishouden;Totaal;Ongehuwd;2044;3714864
68;Particulier huishouden;Totaal;Ongehuwd;2045;3746461
69;Particulier huishouden;Totaal;Ongehuwd;2046;3778407
70;Particulier huishouden;Totaal;Ongehuwd;2047;3810736
71;Particulier huishouden;Totaal;Ongehuwd;2048;3843390
72;Particulier huishouden;Totaal;Ongehuwd;2049;3876127
73;Particulier huishouden;Totaal;Ongehuwd;2050;3908756
74;Particulier huishouden;Totaal;Ongehuwd;2051;3941023
75;Particulier huishouden;Totaal;Ongehuwd;2052;3972755
76;Particulier huishouden;Totaal;Ongehuwd;2053;4003781
77;Particulier huishouden;Totaal;Ongehuwd;2054;4033861
78;Particulier huishouden;Totaal;Ongehuwd;2055;4062879
79;Particulier huishouden;Totaal;Ongehuwd;2056;4090703
80;Particulier huishouden;Totaal;Ongehuwd;2057;4117311
81;Particulier huishouden;Totaal;Ongehuwd;2058;4142595
82;Particulier huishouden;Totaal;Ongehuwd;2059;4166534
83;Particulier huishouden;Totaal;Ongehuwd;2060;4189135
84;Particulier huishouden;Totaal;Gehuwd;2019;3367101
85;Particulier huishouden;Totaal;Gehuwd;2020;3358435
86;Particulier huishouden;Totaal;Gehuwd;2021;3348798
87;Particulier huishouden;Totaal;Gehuwd;2022;3337991
88;Particulier huishouden;Totaal;Gehuwd;2023;3326996
89;Particulier huishouden;Totaal;Gehuwd;2024;3315690
90;Particulier huishouden;Totaal;Gehuwd;2025;3303900
91;Particulier huishouden;Totaal;Gehuwd;2026;3291733
92;Particulier huishouden;Totaal;Gehuwd;2027;3279095
93;Particulier huishouden;Totaal;Gehuwd;2028;3265901
94;Particulier huishouden;Totaal;Gehuwd;2029;3252166
95;Particulier huishouden;Totaal;Gehuwd;2030;3238001
96;Particulier huishouden;Totaal;Gehuwd;2031;3223420
97;Particulier huishouden;Totaal;Gehuwd;2032;3208375
98;Particulier huishouden;Totaal;Gehuwd;2033;3192865
99;Particulier huishouden;Totaal;Gehuwd;2034;3177039
100;Particulier huishouden;Totaal;Gehuwd;2035;3161034
101;Particulier huishouden;Totaal;Gehuwd;2036;3144765
102;Particulier huishouden;Totaal;Gehuwd;2037;3128338
103;Particulier huishouden;Totaal;Gehuwd;2038;3111840
104;Particulier huishouden;Totaal;Gehuwd;2039;3095302
105;Particulier huishouden;Totaal;Gehuwd;2040;3078881
106;Particulier huishouden;Totaal;Gehuwd;2041;3062645
107;Particulier huishouden;Totaal;Gehuwd;2042;3046628
108;Particulier huishouden;Totaal;Gehuwd;2043;3030930
109;Particulier huishouden;Totaal;Gehuwd;2044;3015574
110;Particulier huishouden;Totaal;Gehuwd;2045;3000684
111;Particulier huishouden;Totaal;Gehuwd;2046;2986284
112;Particulier huishouden;Totaal;Gehuwd;2047;2972474
113;Particulier huishouden;Totaal;Gehuwd;2048;2959270
114;Particulier huishouden;Totaal;Gehuwd;2049;2946793
115;Particulier huishouden;Totaal;Gehuwd;2050;2935040
116;Particulier huishouden;Totaal;Gehuwd;2051;2924214
117;Particulier huishouden;Totaal;Gehuwd;2052;2914313
118;Particulier huishouden;Totaal;Gehuwd;2053;2905440
119;Particulier huishouden;Totaal;Gehuwd;2054;2897630
120;Particulier huishouden;Totaal;Gehuwd;2055;2890991
121;Particulier huishouden;Totaal;Gehuwd;2056;2885506
122;Particulier huishouden;Totaal;Gehuwd;2057;2881235
123;Particulier huishouden;Totaal;Gehuwd;2058;2878150
124;Particulier huishouden;Totaal;Gehuwd;2059;2876279
125;Particulier huishouden;Totaal;Gehuwd;2060;2875563
126;Particulier huishouden;Totaal;Verweduwd;2019;745543
127;Particulier huishouden;Totaal;Verweduwd;2020;749651
128;Particulier huishouden;Totaal;Verweduwd;2021;753799
129;Particulier huishouden;Totaal;Verweduwd;2022;757841
130;Particulier huishouden;Totaal;Verweduwd;2023;761886
131;Particulier huishouden;Totaal;Verweduwd;2024;765872
132;Particulier huishouden;Totaal;Verweduwd;2025;769780
133;Particulier huishouden;Totaal;Verweduwd;2026;773581
134;Particulier huishouden;Totaal;Verweduwd;2027;777268
135;Particulier huishouden;Totaal;Verweduwd;2028;780740
136;Particulier huishouden;Totaal;Verweduwd;2029;783938
137;Particulier huishouden;Totaal;Verweduwd;2030;786824
138;Particulier huishouden;Totaal;Verweduwd;2031;789290
139;Particulier huishouden;Totaal;Verweduwd;2032;791248
140;Particulier huishouden;Totaal;Verweduwd;2033;792568
141;Particulier huishouden;Totaal;Verweduwd;2034;793229
142;Particulier huishouden;Totaal;Verweduwd;2035;793099
143;Particulier huishouden;Totaal;Verweduwd;2036;792156
144;Particulier huishouden;Totaal;Verweduwd;2037;790309
145;Particulier huishouden;Totaal;Verweduwd;2038;787630
146;Particulier huishouden;Totaal;Verweduwd;2039;784096
147;Particulier huishouden;Totaal;Verweduwd;2040;779803
148;Particulier huishouden;Totaal;Verweduwd;2041;774840
149;Particulier huishouden;Totaal;Verweduwd;2042;769248
150;Particulier huishouden;Totaal;Verweduwd;2043;763103
151;Particulier huishouden;Totaal;Verweduwd;2044;756587
152;Particulier huishouden;Totaal;Verweduwd;2045;749654
153;Particulier huishouden;Totaal;Verweduwd;2046;742350
154;Particulier huishouden;Totaal;Verweduwd;2047;734825
155;Particulier huishouden;Totaal;Verweduwd;2048;727062
156;Particulier huishouden;Totaal;Verweduwd;2049;719022
157;Particulier huishouden;Totaal;Verweduwd;2050;710632
158;Particulier huishouden;Totaal;Verweduwd;2051;701850
159;Particulier huishouden;Totaal;Verweduwd;2052;692628
160;Particulier huishouden;Totaal;Verweduwd;2053;682990
161;Particulier huishouden;Totaal;Verweduwd;2054;672932
162;Particulier huishouden;Totaal;Verweduwd;2055;662476
163;Particulier huishouden;Totaal;Verweduwd;2056;651654
164;Particulier huishouden;Totaal;Verweduwd;2057;640531
165;Particulier huishouden;Totaal;Verweduwd;2058;629148
166;Particulier huishouden;Totaal;Verweduwd;2059;617635
167;Particulier huishouden;Totaal;Verweduwd;2060;606038
168;Particulier huishouden;Totaal;Gescheiden;2019;1113067
169;Particulier huishouden;Totaal;Gescheiden;2020;1128705
170;Particulier huishouden;Totaal;Gescheiden;2021;1142650
171;Particulier huishouden;Totaal;Gescheiden;2022;1155141
172;Particulier huishouden;Totaal;Gescheiden;2023;1166589
173;Particulier huishouden;Totaal;Gescheiden;2024;1177097
174;Particulier huishouden;Totaal;Gescheiden;2025;1186703
175;Particulier huishouden;Totaal;Gescheiden;2026;1195523
176;Particulier huishouden;Totaal;Gescheiden;2027;1203627
177;Particulier huishouden;Totaal;Gescheiden;2028;1211027
178;Particulier huishouden;Totaal;Gescheiden;2029;1217837
179;Particulier huishouden;Totaal;Gescheiden;2030;1223923
180;Particulier huishouden;Totaal;Gescheiden;2031;1229242
181;Particulier huishouden;Totaal;Gescheiden;2032;1233899
182;Particulier huishouden;Totaal;Gescheiden;2033;1237828
183;Particulier huishouden;Totaal;Gescheiden;2034;1241153
184;Particulier huishouden;Totaal;Gescheiden;2035;1243853
185;Particulier huishouden;Totaal;Gescheiden;2036;1245993
186;Particulier huishouden;Totaal;Gescheiden;2037;1247521
187;Particulier huishouden;Totaal;Gescheiden;2038;1248493
188;Particulier huishouden;Totaal;Gescheiden;2039;1248933
189;Particulier huishouden;Totaal;Gescheiden;2040;1248832
190;Particulier huishouden;Totaal;Gescheiden;2041;1248156
191;Particulier huishouden;Totaal;Gescheiden;2042;1246949
192;Particulier huishouden;Totaal;Gescheiden;2043;1245258
193;Particulier huishouden;Totaal;Gescheiden;2044;1243093
194;Particulier huishouden;Totaal;Gescheiden;2045;1240484
195;Particulier huishouden;Totaal;Gescheiden;2046;1237459
196;Particulier huishouden;Totaal;Gescheiden;2047;1234024
197;Particulier huishouden;Totaal;Gescheiden;2048;1230207
198;Particulier huishouden;Totaal;Gescheiden;2049;1226063
199;Particulier huishouden;Totaal;Gescheiden;2050;1221594
200;Particulier huishouden;Totaal;Gescheiden;2051;1216854
201;Particulier huishouden;Totaal;Gescheiden;2052;1211872
202;Particulier huishouden;Totaal;Gescheiden;2053;1206778
203;Particulier huishouden;Totaal;Gescheiden;2054;1201583
204;Particulier huishouden;Totaal;Gescheiden;2055;1196407
205;Particulier huishouden;Totaal;Gescheiden;2056;1191311
206;Particulier huishouden;Totaal;Gescheiden;2057;1186364
207;Particulier huishouden;Totaal;Gescheiden;2058;1181639
208;Particulier huishouden;Totaal;Gescheiden;2059;1177218
209;Particulier huishouden;Totaal;Gescheiden;2060;1173179
210;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2019;399
211;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2020;378
212;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2021;366
213;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2022;356
214;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2023;351
215;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2024;354
216;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2025;350
217;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2026;349
218;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2027;340
219;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2028;336
220;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2029;330
221;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2030;334
222;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2031;327
223;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2032;329
224;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2033;324
225;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2034;324
226;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2035;328
227;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2036;333
228;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2037;338
229;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2038;343
230;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2039;347
231;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2040;352
232;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2041;356
233;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2042;360
234;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2043;362
235;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2044;364
236;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2045;364
237;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2046;364
238;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2047;366
239;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2048;364
240;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2049;364
241;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2050;364
242;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2051;362
243;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2052;361
244;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2053;359
245;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2054;357
246;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2055;355
247;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2056;353
248;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2057;353
249;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2058;351
250;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2059;349
251;Particulier huishouden;15 jaar;Totaal burgerlijke staat;2060;348
252;Particulier huishouden;15 jaar;Ongehuwd;2019;399
253;Particulier huishouden;15 jaar;Ongehuwd;2020;378
254;Particulier huishouden;15 jaar;Ongehuwd;2021;366
255;Particulier huishouden;15 jaar;Ongehuwd;2022;356
256;Particulier huishouden;15 jaar;Ongehuwd;2023;351
257;Particulier huishouden;15 jaar;Ongehuwd;2024;354
258;Particulier huishouden;15 jaar;Ongehuwd;2025;350
259;Particulier huishouden;15 jaar;Ongehuwd;2026;349
260;Particulier huishouden;15 jaar;Ongehuwd;2027;340
261;Particulier huishouden;15 jaar;Ongehuwd;2028;336
262;Particulier huishouden;15 jaar;Ongehuwd;2029;330
263;Particulier huishouden;15 jaar;Ongehuwd;2030;334
264;Particulier huishouden;15 jaar;Ongehuwd;2031;327
265;Particulier huishouden;15 jaar;Ongehuwd;2032;329
266;Particulier huishouden;15 jaar;Ongehuwd;2033;324
267;Particulier huishouden;15 jaar;Ongehuwd;2034;324
268;Particulier huishouden;15 jaar;Ongehuwd;2035;328
269;Particulier huishouden;15 jaar;Ongehuwd;2036;333
270;Particulier huishouden;15 jaar;Ongehuwd;2037;338
271;Particulier huishouden;15 jaar;Ongehuwd;2038;343
272;Particulier huishouden;15 jaar;Ongehuwd;2039;347
273;Particulier huishouden;15 jaar;Ongehuwd;2040;352
274;Particulier huishouden;15 jaar;Ongehuwd;2041;356
275;Particulier huishouden;15 jaar;Ongehuwd;2042;360
276;Particulier huishouden;15 jaar;Ongehuwd;2043;362
277;Particulier huishouden;15 jaar;Ongehuwd;2044;364
278;Particulier huishouden;15 jaar;Ongehuwd;2045;364
279;Particulier huishouden;15 jaar;Ongehuwd;2046;364
280;Particulier huishouden;15 jaar;Ongehuwd;2047;366
281;Particulier huishouden;15 jaar;Ongehuwd;2048;364
282;Particulier huishouden;15 jaar;Ongehuwd;2049;364
283;Particulier huishouden;15 jaar;Ongehuwd;2050;364
284;Particulier huishouden;15 jaar;Ongehuwd;2051;362
285;Particulier huishouden;15 jaar;Ongehuwd;2052;361
286;Particulier huishouden;15 jaar;Ongehuwd;2053;359
287;Particulier huishouden;15 jaar;Ongehuwd;2054;357
288;Particulier huishouden;15 jaar;Ongehuwd;2055;355
289;Particulier huishouden;15 jaar;Ongehuwd;2056;353
290;Particulier huishouden;15 jaar;Ongehuwd;2057;353
291;Particulier huishouden;15 jaar;Ongehuwd;2058;351
292;Particulier huishouden;15 jaar;Ongehuwd;2059;349
293;Particulier huishouden;15 jaar;Ongehuwd;2060;348
294;Particulier huishouden;15 jaar;Gehuwd;2019;0
295;Particulier huishouden;15 jaar;Gehuwd;2020;0
296;Particulier huishouden;15 jaar;Gehuwd;2021;0
297;Particulier huishouden;15 jaar;Gehuwd;2022;0
298;Particulier huishouden;15 jaar;Gehuwd;2023;0
299;Particulier huishouden;15 jaar;Gehuwd;2024;0
300;Particulier huishouden;15 jaar;Gehuwd;2025;0
301;Particulier huishouden;15 jaar;Gehuwd;2026;0
302;Particulier huishouden;15 jaar;Gehuwd;2027;0
303;Particulier huishouden;15 jaar;Gehuwd;2028;0
304;Particulier huishouden;15 jaar;Gehuwd;2029;0
305;Particulier huishouden;15 jaar;Gehuwd;2030;0
306;Particulier huishouden;15 jaar;Gehuwd;2031;0
307;Particulier huishouden;15 jaar;Gehuwd;2032;0
308;Particulier huishouden;15 jaar;Gehuwd;2033;0
309;Particulier huishouden;15 jaar;Gehuwd;2034;0
310;Particulier huishouden;15 jaar;Gehuwd;2035;0
311;Particulier huishouden;15 jaar;Gehuwd;2036;0
312;Particulier huishouden;15 jaar;Gehuwd;2037;0
313;Particulier huishouden;15 jaar;Gehuwd;2038;0
314;Particulier huishouden;15 jaar;Gehuwd;2039;0
315;Particulier huishouden;15 jaar;Gehuwd;2040;0
316;Particulier huishouden;15 jaar;Gehuwd;2041;0
317;Particulier huishouden;15 jaar;Gehuwd;2042;0
318;Particulier huishouden;15 jaar;Gehuwd;2043;0
319;Particulier huishouden;15 jaar;Gehuwd;2044;0
320;Particulier huishouden;15 jaar;Gehuwd;2045;0
321;Particulier huishouden;15 jaar;Gehuwd;2046;0
322;Particulier huishouden;15 jaar;Gehuwd;2047;0
323;Particulier huishouden;15 jaar;Gehuwd;2048;0
324;Particulier huishouden;15 jaar;Gehuwd;2049;0
325;Particulier huishouden;15 jaar;Gehuwd;2050;0
326;Particulier huishouden;15 jaar;Gehuwd;2051;0
327;Particulier huishouden;15 jaar;Gehuwd;2052;0
328;Particulier huishouden;15 jaar;Gehuwd;2053;0
329;Particulier huishouden;15 jaar;Gehuwd;2054;0
330;Particulier huishouden;15 jaar;Gehuwd;2055;0
331;Particulier huishouden;15 jaar;Gehuwd;2056;0
332;Particulier huishouden;15 jaar;Gehuwd;2057;0
333;Particulier huishouden;15 jaar;Gehuwd;2058;0
334;Particulier huishouden;15 jaar;Gehuwd;2059;0
335;Particulier huishouden;15 jaar;Gehuwd;2060;0
336;Particulier huishouden;15 jaar;Verweduwd;2019;0
337;Particulier huishouden;15 jaar;Verweduwd;2020;0
338;Particulier huishouden;15 jaar;Verweduwd;2021;0
339;Particulier huishouden;15 jaar;Verweduwd;2022;0
340;Particulier huishouden;15 jaar;Verweduwd;2023;0
341;Particulier huishouden;15 jaar;Verweduwd;2024;0
342;Particulier huishouden;15 jaar;Verweduwd;2025;0
343;Particulier huishouden;15 jaar;Verweduwd;2026;0
344;Particulier huishouden;15 jaar;Verweduwd;2027;0
345;Particulier huishouden;15 jaar;Verweduwd;2028;0
346;Particulier huishouden;15 jaar;Verweduwd;2029;0
347;Particulier huishouden;15 jaar;Verweduwd;2030;0
348;Particulier huishouden;15 jaar;Verweduwd;2031;0
349;Particulier huishouden;15 jaar;Verweduwd;2032;0
350;Particulier huishouden;15 jaar;Verweduwd;2033;0
351;Particulier huishouden;15 jaar;Verweduwd;2034;0
352;Particulier huishouden;15 jaar;Verweduwd;2035;0
353;Particulier huishouden;15 jaar;Verweduwd;2036;0
354;Particulier huishouden;15 jaar;Verweduwd;2037;0
355;Particulier huishouden;15 jaar;Verweduwd;2038;0
356;Particulier huishouden;15 jaar;Verweduwd;2039;0
357;Particulier huishouden;15 jaar;Verweduwd;2040;0
358;Particulier huishouden;15 jaar;Verweduwd;2041;0
359;Particulier huishouden;15 jaar;Verweduwd;2042;0
360;Particulier huishouden;15 jaar;Verweduwd;2043;0
361;Particulier huishouden;15 jaar;Verweduwd;2044;0
362;Particulier huishouden;15 jaar;Verweduwd;2045;0
363;Particulier huishouden;15 jaar;Verweduwd;2046;0
364;Particulier huishouden;15 jaar;Verweduwd;2047;0
365;Particulier huishouden;15 jaar;Verweduwd;2048;0
366;Particulier huishouden;15 jaar;Verweduwd;2049;0
367;Particulier huishouden;15 jaar;Verweduwd;2050;0
368;Particulier huishouden;15 jaar;Verweduwd;2051;0
369;Particulier huishouden;15 jaar;Verweduwd;2052;0
370;Particulier huishouden;15 jaar;Verweduwd;2053;0
371;Particulier huishouden;15 jaar;Verweduwd;2054;0
372;Particulier huishouden;15 jaar;Verweduwd;2055;0
373;Particulier huishouden;15 jaar;Verweduwd;2056;0
374;Particulier huishouden;15 jaar;Verweduwd;2057;0
375;Particulier huishouden;15 jaar;Verweduwd;2058;0
376;Particulier huishouden;15 jaar;Verweduwd;2059;0
377;Particulier huishouden;15 jaar;Verweduwd;2060;0
378;Particulier huishouden;15 jaar;Gescheiden;2019;0
379;Particulier huishouden;15 jaar;Gescheiden;2020;0
380;Particulier huishouden;15 jaar;Gescheiden;2021;0
381;Particulier huishouden;15 jaar;Gescheiden;2022;0
382;Particulier huishouden;15 jaar;Gescheiden;2023;0
383;Particulier huishouden;15 jaar;Gescheiden;2024;0
384;Particulier huishouden;15 jaar;Gescheiden;2025;0
385;Particulier huishouden;15 jaar;Gescheiden;2026;0
386;Particulier huishouden;15 jaar;Gescheiden;2027;0
387;Particulier huishouden;15 jaar;Gescheiden;2028;0
388;Particulier huishouden;15 jaar;Gescheiden;2029;0
389;Particulier huishouden;15 jaar;Gescheiden;2030;0
390;Particulier huishouden;15 jaar;Gescheiden;2031;0
391;Particulier huishouden;15 jaar;Gescheiden;2032;0
392;Particulier huishouden;15 jaar;Gescheiden;2033;0
393;Particulier huishouden;15 jaar;Gescheiden;2034;0
394;Particulier huishouden;15 jaar;Gescheiden;2035;0
395;Particulier huishouden;15 jaar;Gescheiden;2036;0
396;Particulier huishouden;15 jaar;Gescheiden;2037;0
397;Particulier huishouden;15 jaar;Gescheiden;2038;0
398;Particulier huishouden;15 jaar;Gescheiden;2039;0
399;Particulier huishouden;15 jaar;Gescheiden;2040;0
400;Particulier huishouden;15 jaar;Gescheiden;2041;0
401;Particulier huishouden;15 jaar;Gescheiden;2042;0
402;Particulier huishouden;15 jaar;Gescheiden;2043;0
403;Particulier huishouden;15 jaar;Gescheiden;2044;0
404;Particulier huishouden;15 jaar;Gescheiden;2045;0
405;Particulier huishouden;15 jaar;Gescheiden;2046;0
406;Particulier huishouden;15 jaar;Gescheiden;2047;0
407;Particulier huishouden;15 jaar;Gescheiden;2048;0
408;Particulier huishouden;15 jaar;Gescheiden;2049;0
409;Particulier huishouden;15 jaar;Gescheiden;2050;0
410;Particulier huishouden;15 jaar;Gescheiden;2051;0
411;Particulier huishouden;15 jaar;Gescheiden;2052;0
412;Particulier huishouden;15 jaar;Gescheiden;2053;0
413;Particulier huishouden;15 jaar;Gescheiden;2054;0
414;Particulier huishouden;15 jaar;Gescheiden;2055;0
415;Particulier huishouden;15 jaar;Gescheiden;2056;0
416;Particulier huishouden;15 jaar;Gescheiden;2057;0
417;Particulier huishouden;15 jaar;Gescheiden;2058;0
418;Particulier huishouden;15 jaar;Gescheiden;2059;0
419;Particulier huishouden;15 jaar;Gescheiden;2060;0
420;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2019;2015
421;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2020;1940
422;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2021;1854
423;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2022;1792
424;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2023;1754
425;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2024;1733
426;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2025;1746
427;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2026;1737
428;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2027;1732
429;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2028;1698
430;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2029;1678
431;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2030;1648
432;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2031;1671
433;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2032;1641
434;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2033;1653
435;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2034;1633
436;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2035;1633
437;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2036;1649
438;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2037;1667
439;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2038;1692
440;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2039;1712
441;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2040;1735
442;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2041;1754
443;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2042;1771
444;Particulier huishouden;16 jaar;Totaal burgerlijke staat;2043;1785
