ID;ParticipatieEnVertrouwen;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
779;5678;Herkomst: autochtoon;2012;17.0;83.0;17.0;83.0
780;5678;Herkomst: westerse allochtoon;2003;17.0;83.0;17.0;83.0
781;5678;Herkomst: westerse allochtoon;2004;14.0;86.0;16.0;84.0
782;5678;Herkomst: westerse allochtoon;2005;16.0;84.0;16.0;84.0
783;5678;Herkomst: westerse allochtoon;2006;14.0;86.0;18.0;82.0
784;5678;Herkomst: westerse allochtoon;2007;17.0;83.0;17.0;83.0
785;5678;Herkomst: westerse allochtoon;2008;15.0;85.0;15.0;85.0
786;5678;Herkomst: westerse allochtoon;2009;12.0;88.0;17.0;83.0
787;5678;Herkomst: westerse allochtoon;2010 oude methode;15.0;85.0;19.0;81.0
788;5678;Herkomst: westerse allochtoon;2010 nieuwe methode;19.0;81.0;19.0;81.0
789;5678;Herkomst: westerse allochtoon;2012;19.0;81.0;20.0;80.0
790;5678;Herkomst: niet-westerse allochtoon;2003;27.0;73.0;26.0;74.0
791;5678;Herkomst: niet-westerse allochtoon;2004;29.0;71.0;27.0;73.0
792;5678;Herkomst: niet-westerse allochtoon;2005;24.0;76.0;22.0;78.0
793;5678;Herkomst: niet-westerse allochtoon;2006;24.0;76.0;30.0;70.0
794;5678;Herkomst: niet-westerse allochtoon;2007;24.0;76.0;19.0;81.0
795;5678;Herkomst: niet-westerse allochtoon;2008;29.0;71.0;23.0;77.0
796;5678;Herkomst: niet-westerse allochtoon;2009;22.0;78.0;24.0;76.0
797;5678;Herkomst: niet-westerse allochtoon;2010 oude methode;23.0;77.0;23.0;77.0
798;5678;Herkomst: niet-westerse allochtoon;2010 nieuwe methode;29.0;71.0;21.0;79.0
799;5678;Herkomst: niet-westerse allochtoon;2012;;;;
800;234;Totaal persoonskenmerken;2003;;;;
801;234;Totaal persoonskenmerken;2004;;;;
802;234;Totaal persoonskenmerken;2005;;;;
803;234;Totaal persoonskenmerken;2006;;;;
804;234;Totaal persoonskenmerken;2007;;;;
805;234;Totaal persoonskenmerken;2008;;;;
806;234;Totaal persoonskenmerken;2009;12.0;88.0;13.0;87.0
807;234;Totaal persoonskenmerken;2010 oude methode;14.0;86.0;14.0;86.0
