ID;Taxpayers;Periods;TotalEnvironmentalTaxesAndFees_1;TotalEnvironmentalTaxRevenues_2;TotalEnvironmentalTaxesOnProducts_3;WasteTax_4;FuelTax_5;TaxOnElectricityAndGasUse_6;TapWaterAndGroundwaterTaxes_7;TaxOnPackaging_8;FlightTax_9;TotalMobilityTax_10;ExciseDuties_11;TaxOnPassengerCarsAndMotorcycles_12;MotorVehicleTax_13;ManureSurplusTax_14;TotalEnvironmentalFeesRevenues_15;WasteCollectionFee_16;NoiseTaxCivilAviation_17;FeesOnGroundwaterAndRefuseDumps_18;SewerageCharges_19;FeesOnWaterPollution_20
25;Total taxpayers;2012;23189.0;18579.0;4353.0;-16.0;1.0;3951.0;133.0;284.0;;14223.0;7585.0;1500.0;5138.0;3.0;4610.0;1953.0;46.0;14.0;1419.0;1178.0
26;A-U All economic activities;1987;1982.0;1507.0;0.0;;0.0;;;;;1507.0;664.0;508.0;335.0;0.0;475.0;205.0;5.0;4.0;53.0;208.0
27;A-U All economic activities;1988;2013.0;1601.0;72.0;;72.0;;;;;1518.0;670.0;487.0;361.0;11.0;412.0;115.0;10.0;4.0;57.0;226.0
28;A-U All economic activities;1989;2152.0;1714.0;145.0;;145.0;;;;;1552.0;643.0;528.0;381.0;17.0;438.0;122.0;7.0;3.0;64.0;242.0
29;A-U All economic activities;1990;2597.0;2131.0;243.0;;243.0;;;;;1871.0;842.0;579.0;450.0;17.0;466.0;137.0;11.0;3.0;74.0;241.0
30;A-U All economic activities;1991;2850.0;2334.0;359.0;;359.0;;;;;1958.0;897.0;607.0;454.0;17.0;516.0;163.0;9.0;3.0;86.0;255.0
31;A-U All economic activities;1992;3454.0;2879.0;565.0;;565.0;;;;;2297.0;1018.0;725.0;554.0;17.0;575.0;178.0;9.0;5.0;96.0;287.0
32;A-U All economic activities;1993;3907.0;3227.0;576.0;;576.0;;;;;2632.0;1361.0;701.0;570.0;19.0;680.0;262.0;5.0;5.0;108.0;300.0
33;A-U All economic activities;1994;4052.0;3397.0;516.0;;516.0;;;;;2863.0;1470.0;801.0;592.0;18.0;655.0;207.0;13.0;5.0;120.0;310.0
34;A-U All economic activities;1995;4461.0;3757.0;693.0;108.0;535.0;;50.0;;;3047.0;1520.0;965.0;562.0;17.0;704.0;214.0;24.0;6.0;146.0;314.0
35;A-U All economic activities;1996;4927.0;4275.0;1000.0;90.0;581.0;279.0;50.0;;;3265.0;1550.0;1058.0;657.0;10.0;652.0;224.0;9.0;6.0;95.0;318.0
36;A-U All economic activities;1997;5216.0;4595.0;1218.0;79.0;560.0;529.0;50.0;;;3361.0;1637.0;1188.0;536.0;16.0;621.0;157.0;6.0;9.0;104.0;345.0
37;A-U All economic activities;1998;5604.0;4978.0;1238.0;79.0;570.0;536.0;53.0;;;3727.0;1764.0;1385.0;578.0;13.0;626.0;179.0;6.0;9.0;113.0;319.0
38;A-U All economic activities;1999;6317.0;5598.0;1607.0;98.0;536.0;917.0;56.0;;;3976.0;1722.0;1628.0;626.0;15.0;719.0;245.0;7.0;24.0;119.0;324.0
39;A-U All economic activities;2000;6665.0;5854.0;1571.0;217.0;520.0;745.0;89.0;;;4265.0;1922.0;1690.0;653.0;18.0;811.0;278.0;36.0;34.0;130.0;333.0
40;A-U All economic activities;2001;6623.0;5772.0;1461.0;188.0;510.0;673.0;90.0;;;4300.0;1804.0;1847.0;649.0;11.0;851.0;289.0;43.0;40.0;140.0;339.0
41;A-U All economic activities;2002;6470.0;5589.0;1273.0;179.0;424.0;572.0;98.0;;;4308.0;2043.0;1612.0;653.0;8.0;881.0;278.0;38.0;59.0;149.0;357.0
42;A-U All economic activities;2003;6563.0;5693.0;1177.0;119.0;436.0;508.0;114.0;;;4514.0;2127.0;1705.0;682.0;2.0;870.0;275.0;37.0;33.0;161.0;364.0
43;A-U All economic activities;2004;6823.0;5932.0;1034.0;86.0;52.0;781.0;115.0;;;4902.0;2294.0;1871.0;737.0;-4.0;891.0;303.0;33.0;34.0;153.0;368.0
44;A-U All economic activities;2005;7625.0;6700.0;1671.0;123.0;6.0;1430.0;112.0;;;5028.0;2260.0;1981.0;787.0;1.0;925.0;321.0;48.0;36.0;155.0;365.0
45;A-U All economic activities;2006;8512.0;7519.0;2012.0;178.0;6.0;1716.0;112.0;;;5505.0;2481.0;2195.0;829.0;2.0;993.0;325.0;54.0;35.0;198.0;381.0
46;A-U All economic activities;2007;8560.0;7550.0;1666.0;167.0;1.0;1377.0;121.0;;;5888.0;2607.0;2390.0;891.0;-4.0;1010.0;340.0;55.0;35.0;211.0;369.0
47;A-U All economic activities;2008;9271.0;8277.0;2388.0;110.0;14.0;1947.0;116.0;161.0;40.0;5887.0;2827.0;2101.0;959.0;2.0;994.0;345.0;56.0;20.0;209.0;364.0
48;A-U All economic activities;2009;8625.0;7679.0;2408.0;46.0;0.0;1938.0;116.0;275.0;33.0;5269.0;2899.0;1336.0;1034.0;2.0;946.0;349.0;49.0;17.0;222.0;309.0
49;A-U All economic activities;2010;8804.0;7868.0;2315.0;40.0;1.0;1846.0;129.0;299.0;;5551.0;3162.0;1258.0;1131.0;2.0;936.0;354.0;42.0;15.0;206.0;319.0
50;A-U All economic activities;2011;8860.0;7911.0;2273.0;17.0;1.0;1844.0;123.0;288.0;;5636.0;3269.0;1264.0;1103.0;2.0;949.0;354.0;35.0;15.0;220.0;325.0
51;A-U All economic activities;2012;8405.0;7344.0;1969.0;-16.0;1.0;1647.0;53.0;284.0;;5372.0;3275.0;1000.0;1097.0;3.0;1061.0;408.0;46.0;14.0;266.0;327.0
52;A Agriculture, forestry and fishing;1987;36.0;27.0;0.0;;0.0;;;;;27.0;20.0;2.0;5.0;0.0;9.0;1.0;;3.0;2.0;3.0
53;A Agriculture, forestry and fishing;1988;45.0;36.0;0.0;;0.0;;;;;25.0;18.0;2.0;5.0;11.0;9.0;1.0;;3.0;2.0;3.0
54;A Agriculture, forestry and fishing;1989;52.0;44.0;0.0;;0.0;;;;;27.0;20.0;2.0;5.0;17.0;8.0;1.0;;2.0;2.0;3.0
55;A Agriculture, forestry and fishing;1990;62.0;54.0;0.0;;0.0;;;;;37.0;29.0;3.0;5.0;17.0;9.0;1.0;;2.0;4.0;2.0
56;A Agriculture, forestry and fishing;1991;64.0;52.0;0.0;;0.0;;;;;35.0;26.0;3.0;6.0;17.0;12.0;1.0;;2.0;4.0;6.0
57;A Agriculture, forestry and fishing;1992;75.0;59.0;1.0;;1.0;;;;;40.0;31.0;3.0;6.0;17.0;16.0;1.0;;4.0;4.0;8.0
58;A Agriculture, forestry and fishing;1993;90.0;72.0;1.0;;1.0;;;;;52.0;42.0;3.0;7.0;19.0;17.0;1.0;;4.0;5.0;8.0
59;A Agriculture, forestry and fishing;1994;88.0;72.0;0.0;;0.0;;;;;54.0;44.0;3.0;7.0;18.0;15.0;1.0;;4.0;5.0;6.0
60;A Agriculture, forestry and fishing;1995;105.0;86.0;14.0;3.0;1.0;;10.0;;;55.0;43.0;4.0;8.0;17.0;18.0;2.0;;5.0;7.0;5.0
61;A Agriculture, forestry and fishing;1996;152.0;132.0;70.0;4.0;1.0;55.0;9.0;;;53.0;39.0;5.0;9.0;10.0;19.0;6.0;;5.0;4.0;5.0
62;A Agriculture, forestry and fishing;1997;210.0;192.0;124.0;3.0;2.0;109.0;10.0;;;52.0;40.0;5.0;7.0;16.0;17.0;4.0;;6.0;4.0;4.0
63;A Agriculture, forestry and fishing;1998;216.0;198.0;123.0;2.0;2.0;110.0;9.0;;;61.0;49.0;6.0;6.0;13.0;18.0;4.0;;6.0;5.0;4.0
64;A Agriculture, forestry and fishing;1999;278.0;253.0;189.0;4.0;1.0;173.0;11.0;;;49.0;37.0;7.0;5.0;15.0;25.0;6.0;;10.0;5.0;5.0
65;A Agriculture, forestry and fishing;2000;252.0;222.0;154.0;10.0;1.0;127.0;16.0;;;50.0;38.0;7.0;5.0;18.0;29.0;6.0;;14.0;5.0;5.0
66;A Agriculture, forestry and fishing;2001;235.0;199.0;135.0;9.0;0.0;111.0;15.0;;;53.0;39.0;8.0;6.0;11.0;36.0;6.0;;13.0;7.0;10.0
67;A Agriculture, forestry and fishing;2002;230.0;186.0;123.0;8.0;1.0;97.0;17.0;;;55.0;43.0;6.0;6.0;8.0;44.0;6.0;;19.0;7.0;12.0
68;A Agriculture, forestry and fishing;2003;224.0;180.0;110.0;4.0;1.0;86.0;19.0;;;68.0;56.0;6.0;6.0;2.0;44.0;6.0;;19.0;7.0;12.0
69;A Agriculture, forestry and fishing;2004;240.0;192.0;145.0;3.0;0.0;123.0;19.0;;;51.0;38.0;7.0;6.0;-4.0;48.0;6.0;;24.0;7.0;11.0
70;A Agriculture, forestry and fishing;2005;341.0;295.0;245.0;5.0;0.0;222.0;18.0;;;49.0;36.0;7.0;6.0;1.0;46.0;7.0;;20.0;7.0;12.0
71;A Agriculture, forestry and fishing;2006;377.0;329.0;273.0;6.0;0.0;250.0;17.0;;;54.0;40.0;8.0;6.0;2.0;48.0;7.0;;20.0;9.0;12.0
72;A Agriculture, forestry and fishing;2007;347.0;297.0;243.0;5.0;0.0;218.0;20.0;;;58.0;43.0;9.0;6.0;-4.0;50.0;7.0;;22.0;9.0;12.0
73;A Agriculture, forestry and fishing;2008;422.0;384.0;323.0;3.0;0.0;299.0;17.0;3.0;1.0;59.0;45.0;8.0;6.0;2.0;38.0;7.0;;10.0;9.0;12.0
74;A Agriculture, forestry and fishing;2009;422.0;388.0;324.0;2.0;0.0;301.0;17.0;3.0;1.0;62.0;51.0;5.0;6.0;2.0;34.0;7.0;;9.0;8.0;10.0
75;A Agriculture, forestry and fishing;2010;415.0;382.0;277.0;1.0;0.0;256.0;19.0;1.0;;103.0;92.0;5.0;6.0;2.0;33.0;7.0;;9.0;7.0;10.0
76;A Agriculture, forestry and fishing;2011;397.0;364.0;280.0;1.0;0.0;260.0;18.0;1.0;;82.0;71.0;5.0;6.0;2.0;34.0;7.0;;9.0;7.0;10.0
77;A Agriculture, forestry and fishing;2012;344.0;309.0;227.0;-1.0;0.0;218.0;9.0;1.0;;79.0;69.0;4.0;6.0;3.0;35.0;7.0;;8.0;9.0;10.0
78;B-E Industry (no construction), energy;1987;449.0;197.0;0.0;;0.0;;;;;197.0;129.0;16.0;52.0;;252.0;108.0;;0.0;5.0;139.0
79;B-E Industry (no construction), energy;1988;470.0;262.0;63.0;;63.0;;;;;199.0;132.0;15.0;52.0;0.0;208.0;56.0;;0.0;5.0;147.0
80;B-E Industry (no construction), energy;1989;541.0;325.0;126.0;;126.0;;;;;199.0;117.0;17.0;65.0;;217.0;58.0;;0.0;6.0;153.0
81;B-E Industry (no construction), energy;1990;669.0;448.0;215.0;;215.0;;;;;233.0;143.0;18.0;72.0;;220.0;71.0;;0.0;7.0;142.0
82;B-E Industry (no construction), energy;1991;810.0;571.0;321.0;;321.0;;;;;250.0;159.0;19.0;72.0;;238.0;84.0;;0.0;8.0;146.0
83;B-E Industry (no construction), energy;1992;1027.0;773.0;493.0;;493.0;;;;;281.0;175.0;23.0;83.0;;254.0;88.0;;0.0;10.0;156.0
84;B-E Industry (no construction), energy;1993;1150.0;849.0;507.0;;507.0;;;;;342.0;230.0;22.0;90.0;;301.0;131.0;;0.0;11.0;159.0
85;B-E Industry (no construction), energy;1994;1099.0;821.0;454.0;;454.0;;;;;367.0;253.0;25.0;89.0;;278.0;107.0;;0.0;13.0;158.0
86;B-E Industry (no construction), energy;1995;1151.0;888.0;525.0;36.0;466.0;;23.0;;;363.0;264.0;30.0;69.0;;263.0;99.0;;0.0;14.0;150.0
87;B-E Industry (no construction), energy;1996;1259.0;1001.0;632.0;24.0;503.0;82.0;22.0;;;369.0;269.0;33.0;67.0;;258.0;100.0;;0.0;15.0;143.0
88;B-E Industry (no construction), energy;1997;1229.0;1006.0;690.0;24.0;492.0;153.0;21.0;;;315.0;240.0;37.0;38.0;;223.0;64.0;;1.0;13.0;145.0
89;B-E Industry (no construction), energy;1998;1277.0;1051.0;697.0;24.0;499.0;151.0;22.0;;;355.0;266.0;44.0;45.0;;225.0;79.0;;1.0;13.0;132.0
90;B-E Industry (no construction), energy;1999;1431.0;1153.0;795.0;30.0;462.0;281.0;22.0;;;357.0;261.0;51.0;45.0;;278.0;109.0;;9.0;14.0;146.0
91;B-E Industry (no construction), energy;2000;1505.0;1213.0;798.0;75.0;445.0;244.0;34.0;;;415.0;317.0;53.0;45.0;;292.0;116.0;;13.0;14.0;149.0
92;B-E Industry (no construction), energy;2001;1393.0;1092.0;746.0;62.0;432.0;217.0;35.0;;;346.0;251.0;58.0;37.0;;301.0;114.0;;19.0;21.0;147.0
93;B-E Industry (no construction), energy;2002;1377.0;1041.0;605.0;57.0;338.0;171.0;39.0;;;436.0;346.0;48.0;42.0;;336.0;102.0;;28.0;38.0;168.0
94;B-E Industry (no construction), energy;2003;1418.0;1098.0;589.0;38.0;348.0;157.0;46.0;;;509.0;412.0;50.0;47.0;;320.0;104.0;;4.0;55.0;157.0
95;B-E Industry (no construction), energy;2004;1295.0;962.0;381.0;25.0;52.0;258.0;46.0;;;581.0;473.0;55.0;53.0;;333.0;113.0;;1.0;59.0;160.0
96;B-E Industry (no construction), energy;2005;1392.0;1068.0;567.0;39.0;6.0;475.0;47.0;;;501.0;387.0;59.0;55.0;;324.0;116.0;;7.0;58.0;143.0
97;B-E Industry (no construction), energy;2006;1648.0;1303.0;692.0;55.0;6.0;585.0;46.0;;;611.0;488.0;65.0;58.0;;345.0;116.0;;4.0;78.0;147.0
98;B-E Industry (no construction), energy;2007;1528.0;1186.0;503.0;49.0;1.0;407.0;46.0;;;683.0;545.0;71.0;67.0;;342.0;121.0;;2.0;89.0;130.0
99;B-E Industry (no construction), energy;2008;1901.0;1561.0;797.0;33.0;14.0;562.0;45.0;141.0;2.0;764.0;635.0;62.0;67.0;;340.0;122.0;;2.0;88.0;128.0
100;B-E Industry (no construction), energy;2009;1947.0;1619.0;834.0;12.0;0.0;535.0;44.0;242.0;1.0;785.0;663.0;40.0;82.0;;328.0;123.0;;0.0;93.0;112.0
101;B-E Industry (no construction), energy;2010;2193.0;1870.0;855.0;12.0;1.0;528.0;49.0;265.0;;1015.0;886.0;37.0;92.0;;323.0;124.0;;0.0;84.0;115.0
102;B-E Industry (no construction), energy;2011;2352.0;2018.0;893.0;6.0;1.0;582.0;49.0;255.0;;1124.0;992.0;37.0;95.0;;334.0;129.0;;0.0;90.0;116.0
103;B-E Industry (no construction), energy;2012;2298.0;1932.0;804.0;-5.0;1.0;534.0;22.0;252.0;;1129.0;1002.0;30.0;97.0;;366.0;144.0;;0.0;108.0;113.0
104;B Mining and quarrying;1987;11.0;7.0;0.0;;0.0;;;;;7.0;5.0;0.0;2.0;;4.0;2.0;;0.0;0.0;2.0
105;B Mining and quarrying;1988;14.0;11.0;3.0;;3.0;;;;;8.0;6.0;0.0;2.0;;3.0;1.0;;0.0;0.0;2.0
106;B Mining and quarrying;1989;16.0;12.0;6.0;;6.0;;;;;6.0;4.0;0.0;2.0;;4.0;1.0;;0.0;0.0;3.0
107;B Mining and quarrying;1990;22.0;19.0;10.0;;10.0;;;;;9.0;7.0;0.0;2.0;;2.0;0.0;;0.0;0.0;2.0
108;B Mining and quarrying;1991;32.0;28.0;20.0;;20.0;;;;;8.0;6.0;0.0;2.0;;3.0;1.0;;0.0;0.0;2.0
109;B Mining and quarrying;1992;42.0;39.0;27.0;;27.0;;;;;12.0;8.0;0.0;4.0;;3.0;1.0;;0.0;0.0;2.0
110;B Mining and quarrying;1993;58.0;54.0;37.0;;37.0;;;;;17.0;12.0;0.0;5.0;;4.0;2.0;;0.0;0.0;2.0
111;B Mining and quarrying;1994;57.0;53.0;34.0;;34.0;;;;;19.0;14.0;0.0;5.0;;4.0;2.0;;0.0;0.0;2.0
112;B Mining and quarrying;1995;54.0;50.0;33.0;0.0;33.0;;0.0;;;17.0;14.0;0.0;3.0;;3.0;2.0;;0.0;0.0;1.0
113;B Mining and quarrying;1996;64.0;61.0;44.0;0.0;41.0;2.0;1.0;;;17.0;15.0;0.0;2.0;;3.0;2.0;;0.0;0.0;1.0
114;B Mining and quarrying;1997;59.0;56.0;49.0;0.0;43.0;6.0;0.0;;;8.0;7.0;1.0;0.0;;2.0;1.0;;0.0;0.0;1.0
115;B Mining and quarrying;1998;70.0;68.0;59.0;0.0;53.0;6.0;0.0;;;9.0;8.0;1.0;0.0;;2.0;1.0;;0.0;0.0;1.0
116;B Mining and quarrying;1999;71.0;69.0;61.0;0.0;49.0;11.0;0.0;;;9.0;8.0;1.0;0.0;;2.0;1.0;;0.0;0.0;1.0
117;B Mining and quarrying;2000;64.0;61.0;55.0;0.0;46.0;9.0;0.0;;;7.0;6.0;1.0;0.0;;3.0;2.0;;0.0;0.0;1.0
118;B Mining and quarrying;2001;66.0;63.0;56.0;1.0;48.0;6.0;1.0;;;8.0;7.0;1.0;0.0;;3.0;2.0;;0.0;0.0;1.0
119;B Mining and quarrying;2002;60.0;56.0;47.0;1.0;41.0;5.0;0.0;;;9.0;9.0;0.0;0.0;;4.0;2.0;;0.0;0.0;2.0
120;B Mining and quarrying;2003;61.0;58.0;46.0;0.0;41.0;5.0;0.0;;;12.0;11.0;1.0;0.0;;3.0;1.0;;0.0;0.0;2.0
121;B Mining and quarrying;2004;29.0;26.0;13.0;0.0;6.0;7.0;0.0;;;13.0;11.0;1.0;1.0;;3.0;1.0;;0.0;0.0;2.0
122;B Mining and quarrying;2005;28.0;24.0;11.0;0.0;0.0;11.0;0.0;;;13.0;11.0;1.0;1.0;;4.0;1.0;;0.0;0.0;3.0
123;B Mining and quarrying;2006;34.0;30.0;17.0;1.0;0.0;15.0;1.0;;;13.0;11.0;1.0;1.0;;4.0;1.0;;0.0;0.0;3.0
124;B Mining and quarrying;2007;26.0;21.0;9.0;1.0;0.0;8.0;0.0;;;12.0;10.0;1.0;1.0;;5.0;1.0;;0.0;2.0;2.0
125;B Mining and quarrying;2008;29.0;24.0;11.0;0.0;0.0;10.0;1.0;0.0;0.0;13.0;11.0;1.0;1.0;;5.0;1.0;;0.0;2.0;2.0
126;B Mining and quarrying;2009;23.0;20.0;10.0;0.0;0.0;9.0;1.0;0.0;0.0;10.0;10.0;0.0;0.0;;3.0;1.0;;0.0;1.0;1.0
127;B Mining and quarrying;2010;22.0;19.0;8.0;0.0;0.0;7.0;1.0;0.0;;11.0;11.0;0.0;0.0;;3.0;1.0;;0.0;1.0;1.0
128;B Mining and quarrying;2011;23.0;18.0;7.0;0.0;0.0;6.0;1.0;0.0;;11.0;11.0;0.0;0.0;;5.0;3.0;;0.0;1.0;1.0
129;B Mining and quarrying;2012;24.0;17.0;7.0;0.0;0.0;7.0;0.0;0.0;;10.0;10.0;0.0;0.0;;6.0;4.0;;0.0;1.0;1.0
130;C Manufacturing;1987;363.0;165.0;0.0;;0.0;;;;;165.0;109.0;14.0;42.0;;198.0;97.0;;0.0;5.0;96.0
131;C Manufacturing;1988;337.0;186.0;18.0;;18.0;;;;;168.0;112.0;14.0;42.0;;151.0;47.0;;0.0;5.0;99.0
132;C Manufacturing;1989;358.0;200.0;35.0;;35.0;;;;;165.0;101.0;15.0;49.0;;158.0;53.0;;0.0;6.0;99.0
133;C Manufacturing;1990;412.0;244.0;59.0;;59.0;;;;;184.0;118.0;16.0;50.0;;168.0;61.0;;0.0;7.0;100.0
134;C Manufacturing;1991;465.0;282.0;85.0;;85.0;;;;;197.0;130.0;17.0;50.0;;183.0;73.0;;0.0;8.0;102.0
135;C Manufacturing;1992;544.0;352.0;132.0;;132.0;;;;;220.0;142.0;20.0;58.0;;192.0;78.0;;0.0;9.0;105.0
136;C Manufacturing;1993;631.0;394.0;131.0;;131.0;;;;;263.0;181.0;20.0;62.0;;238.0;119.0;;0.0;11.0;108.0
137;C Manufacturing;1994;610.0;394.0;110.0;;110.0;;;;;283.0;198.0;22.0;63.0;;216.0;95.0;;0.0;12.0;109.0
138;C Manufacturing;1995;621.0;417.0;135.0;13.0;110.0;;12.0;;;282.0;206.0;27.0;49.0;;204.0;88.0;;0.0;12.0;104.0
139;C Manufacturing;1996;692.0;492.0;206.0;7.0;114.0;74.0;11.0;;;286.0;208.0;30.0;48.0;;200.0;84.0;;0.0;14.0;102.0
140;C Manufacturing;1997;685.0;515.0;278.0;8.0;123.0;136.0;11.0;;;237.0;179.0;33.0;25.0;;170.0;53.0;;1.0;12.0;104.0
141;C Manufacturing;1998;718.0;540.0;275.0;7.0;122.0;135.0;12.0;;;265.0;199.0;39.0;27.0;;178.0;68.0;;1.0;12.0;97.0
142;C Manufacturing;1999;877.0;651.0;382.0;10.0;113.0;248.0;11.0;;;270.0;195.0;46.0;29.0;;226.0;96.0;;9.0;13.0;107.0
143;C Manufacturing;2000;949.0;710.0;374.0;24.0;114.0;217.0;19.0;;;335.0;258.0;47.0;30.0;;239.0;103.0;;13.0;13.0;110.0
144;C Manufacturing;2001;823.0;585.0;325.0;17.0;108.0;184.0;16.0;;;260.0;186.0;52.0;22.0;;238.0;100.0;;18.0;20.0;100.0
145;C Manufacturing;2002;867.0;603.0;261.0;13.0;83.0;143.0;22.0;;;342.0;275.0;41.0;26.0;;264.0;88.0;;27.0;35.0;114.0
146;C Manufacturing;2003;894.0;648.0;242.0;9.0;84.0;123.0;26.0;;;406.0;332.0;44.0;30.0;;246.0;91.0;;3.0;52.0;100.0
147;C Manufacturing;2004;973.0;719.0;248.0;4.0;11.0;207.0;26.0;;;471.0;388.0;48.0;35.0;;254.0;99.0;;0.0;56.0;99.0
148;C Manufacturing;2005;1083.0;839.0;449.0;9.0;3.0;409.0;28.0;;;390.0;303.0;51.0;36.0;;244.0;101.0;;6.0;55.0;82.0
149;C Manufacturing;2006;1301.0;1037.0;544.0;11.0;2.0;505.0;26.0;;;493.0;400.0;56.0;37.0;;264.0;101.0;;3.0;74.0;86.0
150;C Manufacturing;2007;1198.0;938.0;376.0;8.0;0.0;343.0;25.0;;;562.0;457.0;61.0;44.0;;260.0;105.0;;1.0;83.0;71.0
151;C Manufacturing;2008;1556.0;1296.0;657.0;6.0;6.0;477.0;25.0;141.0;2.0;639.0;540.0;54.0;45.0;;260.0;106.0;;1.0;82.0;71.0
152;C Manufacturing;2009;1631.0;1372.0;714.0;2.0;0.0;445.0;24.0;242.0;1.0;658.0;565.0;34.0;59.0;;259.0;107.0;;0.0;86.0;66.0
