ID;AirportsCaribbeanNetherlands;Periods;AircraftMovements_1;TotalPassengerTransport_2;PassengerArrivals_3;PassengerDepartures_4
51;Total Caribbean Netherlands;2015 January;1870;36180;19000;17180
52;Total Caribbean Netherlands;2015 February;1640;32980;16940;16040
53;Total Caribbean Netherlands;2015 March;1740;36320;17950;18370
54;Total Caribbean Netherlands;2015 1st quarter;5250;105480;53890;51600
55;Total Caribbean Netherlands;2015 April;1810;35770;17790;17990
56;Total Caribbean Netherlands;2015 May;1740;35290;17180;18110
57;Total Caribbean Netherlands;2015 June;1650;29820;15060;14750
58;Total Caribbean Netherlands;2015 2nd quarter;5200;100880;50030;50850
59;Total Caribbean Netherlands;2015 July;1730;36410;18120;18300
60;Total Caribbean Netherlands;2015 August;1660;33700;16780;16910
61;Total Caribbean Netherlands;2015 September;1580;30650;16040;14620
62;Total Caribbean Netherlands;2015 3rd quarter;4970;100760;50930;49830
63;Total Caribbean Netherlands;2015 October;1760;36020;18260;17760
64;Total Caribbean Netherlands;2015 November;1740;34170;17540;16630
65;Total Caribbean Netherlands;2015 December;1870;36180;17720;18460
66;Total Caribbean Netherlands;2015 4th quarter;5370;106370;53530;52850
67;Total Caribbean Netherlands;2015;20780;413490;208370;205120
68;Total Caribbean Netherlands;2016 January;1750;36540;18980;17560
69;Total Caribbean Netherlands;2016 February;1590;33490;16710;16780
70;Total Caribbean Netherlands;2016 March;1730;37220;18030;19190
71;Total Caribbean Netherlands;2016 1st quarter;5070;107260;53730;53530
72;Total Caribbean Netherlands;2016 April;1650;35200;18230;16970
73;Total Caribbean Netherlands;2016 May;1660;33220;16020;17200
74;Total Caribbean Netherlands;2016 June;1600;31070;15600;15470
75;Total Caribbean Netherlands;2016 2nd quarter;4910;99490;49840;49650
76;Total Caribbean Netherlands;2016 July;1730;38600;19180;19410
77;Total Caribbean Netherlands;2016 August;1760;36200;17720;18480
78;Total Caribbean Netherlands;2016 September;1560;28210;14100;14110
79;Total Caribbean Netherlands;2016 3rd quarter;5050;103000;51000;52000
80;Total Caribbean Netherlands;2016 October;1630;35290;17780;17500
81;Total Caribbean Netherlands;2016 November;1580;33470;16820;16660
82;Total Caribbean Netherlands;2016 December;1740;35290;17440;17850
83;Total Caribbean Netherlands;2016 4th quarter;4950;104050;52040;52010
84;Total Caribbean Netherlands;2016;19970;413800;206610;207190
85;Total Caribbean Netherlands;2017 January;1720;35980;18680;17300
86;Total Caribbean Netherlands;2017 February;1640;32760;16140;16620
87;Total Caribbean Netherlands;2017 March;1770;35160;17390;17770
88;Total Caribbean Netherlands;2017 1st quarter;5140;103900;52200;51690
89;Total Caribbean Netherlands;2017 April;1920;34610;17310;17300
90;Total Caribbean Netherlands;2017 May;1680;31060;15080;15980
91;Total Caribbean Netherlands;2017 June;1590;28920;14130;14800
92;Total Caribbean Netherlands;2017 2nd quarter;5190;94590;46520;48080
93;Total Caribbean Netherlands;2017 July;1690;35220;17680;17540
94;Total Caribbean Netherlands;2017 August;1750;30720;15280;15440
95;Total Caribbean Netherlands;2017 September;1600;23450;12190;11260
96;Total Caribbean Netherlands;2017 3rd quarter;5040;89380;45150;44230
97;Total Caribbean Netherlands;2017 October;1890;29340;15090;14240
98;Total Caribbean Netherlands;2017 November;1760;32600;16420;16170
99;Total Caribbean Netherlands;2017 December;1970;37700;18670;19030
100;Total Caribbean Netherlands;2017 4th quarter;5610;99630;50180;49450
101;Total Caribbean Netherlands;2017;20970;387500;194050;193450
102;Total Caribbean Netherlands;2018 January;1950;36550;19540;17010
103;Total Caribbean Netherlands;2018 February;1700;34150;17060;17090
104;Total Caribbean Netherlands;2018 March;2050;39090;19070;20010
105;Total Caribbean Netherlands;2018 1st quarter;5700;109790;55680;54110
106;Total Caribbean Netherlands;2018 April;1940;37400;19410;17990
107;Total Caribbean Netherlands;2018 May;1920;36380;17120;19260
108;Total Caribbean Netherlands;2018 June;1810;34570;17060;17510
109;Total Caribbean Netherlands;2018 2nd quarter;5660;108350;53600;54760
110;Total Caribbean Netherlands;2018 July;2070;38000;18910;19090
111;Total Caribbean Netherlands;2018 August;1950;36260;18000;18260
112;Total Caribbean Netherlands;2018 September;1680;28570;14440;14130
113;Total Caribbean Netherlands;2018 3rd quarter;5710;102820;51350;51480
114;Total Caribbean Netherlands;2018 October;1940;34240;17350;16890
115;Total Caribbean Netherlands;2018 November;1950;34460;17510;16950
116;Total Caribbean Netherlands;2018 December;2100;40130;20110;20020
117;Total Caribbean Netherlands;2018 4th quarter;6000;108830;54970;53860
118;Total Caribbean Netherlands;2018;23070;429780;215590;214200
119;Total Caribbean Netherlands;2019 January;2220;40240;20980;19260
120;Total Caribbean Netherlands;2019 February;1870;37130;18450;18680
121;Total Caribbean Netherlands;2019 March;2070;43350;21540;21820
122;Total Caribbean Netherlands;2019 1st quarter;6170;120720;60960;59750
123;Total Caribbean Netherlands;2019 April;1960;38670;19560;19110
124;Total Caribbean Netherlands;2019 May;2080;37600;17830;19770
125;Total Caribbean Netherlands;2019 June;1920;36440;18490;17950
126;Total Caribbean Netherlands;2019 2nd quarter;5960;112710;55880;56830
127;Total Caribbean Netherlands;2019 July;2250;39100;19190;19900
128;Total Caribbean Netherlands;2019 August;2230;38180;18930;19250
129;Total Caribbean Netherlands;2019 September;2090;30510;15430;15080
130;Total Caribbean Netherlands;2019 3rd quarter;6570;107790;53550;54240
131;Total Caribbean Netherlands;2019 October;2310;35960;18290;17670
132;Total Caribbean Netherlands;2019 November;2300;38660;19560;19100
133;Total Caribbean Netherlands;2019 December;2290;41420;19700;21720
134;Total Caribbean Netherlands;2019 4th quarter;6900;116030;57560;58480
135;Total Caribbean Netherlands;2019;25600;457250;227950;229300
136;Total Caribbean Netherlands;2020 January;2200;41260;21460;19800
137;Total Caribbean Netherlands;2020 February;2050;42480;21140;21330
138;Total Caribbean Netherlands;2020 March;1360;25400;10450;14960
139;Total Caribbean Netherlands;2020 1st quarter;5620;109150;53050;56090
140;Total Caribbean Netherlands;2020 April;240;330;150;190
141;Total Caribbean Netherlands;2020 May;300;640;330;310
142;Total Caribbean Netherlands;2020 June;680;3950;1950;2000
143;Total Caribbean Netherlands;2020 2nd quarter;1220;4930;2420;2500
144;Total Caribbean Netherlands;2020 July;1380;14840;7910;6930
145;Total Caribbean Netherlands;2020 August;1330;16330;8150;8190
146;Total Caribbean Netherlands;2020 September;660;7580;3660;3920
147;Total Caribbean Netherlands;2020 3rd quarter;3370;38750;19720;19030
148;Total Caribbean Netherlands;2020 October;620;4710;2370;2340
149;Total Caribbean Netherlands;2020 November;750;9320;5190;4140
150;Total Caribbean Netherlands;2020 December;1020;15830;8340;7490
151;Total Caribbean Netherlands;2020 4th quarter;2380;29870;15900;13970
152;Total Caribbean Netherlands;2020;12590;182690;91100;91590
153;Total Caribbean Netherlands;2021 January;1000;11630;5360;6270
154;Total Caribbean Netherlands;2021 February;1040;11680;6010;5670
155;Total Caribbean Netherlands;2021 March;1040;10200;4620;5590
156;Total Caribbean Netherlands;2021 1st quarter;3080;33520;15980;17530
157;Total Caribbean Netherlands;2021 April;990;8980;4870;4110
158;Total Caribbean Netherlands;2021 May;1230;14890;7250;7640
159;Total Caribbean Netherlands;2021 June;1530;23740;12330;11420
160;Total Caribbean Netherlands;2021 2nd quarter;3750;47610;24440;23170
161;Total Caribbean Netherlands;2021 July;1930;36630;18630;18000
162;Total Caribbean Netherlands;2021 August;1770;35650;17210;18450
163;Total Caribbean Netherlands;2021 September;1530;26590;13570;13030
164;Total Caribbean Netherlands;2021 3rd quarter;5220;98870;49400;49470
165;Total Caribbean Netherlands;2021 October;1670;35390;18210;17180
166;Total Caribbean Netherlands;2021 November;1800;35260;17670;17590
167;Total Caribbean Netherlands;2021 December;1890;39730;19630;20100
168;Total Caribbean Netherlands;2021 4th quarter;5370;110380;55510;54870
169;Total Caribbean Netherlands;2021;17420;290380;145340;145040
170;Total Caribbean Netherlands;2022 January;1510;34380;17090;17290
171;Total Caribbean Netherlands;2022 February;1410;33300;16710;16580
172;Total Caribbean Netherlands;2022 March;1690;41760;20700;21060
173;Total Caribbean Netherlands;2022 1st quarter;4610;109430;54500;54930
174;Total Caribbean Netherlands;2022 April;1620;42610;21280;21320
175;Total Caribbean Netherlands;2022 May;1700;39810;18590;21220
176;Total Caribbean Netherlands;2022 June;1700;36770;17750;19010
177;Total Caribbean Netherlands;2022 2nd quarter;5020;119180;57620;61560
178;Total Caribbean Netherlands;2022 July;1730;45030;22230;22810
179;Total Caribbean Netherlands;2022 August;1660;40170;19460;20710
180;Total Caribbean Netherlands;2022 September;1600;34310;17100;17210
181;Total Caribbean Netherlands;2022 3rd quarter;4990;119510;58780;60730
182;Total Caribbean Netherlands;2022 October;1710;41170;20700;20470
183;Total Caribbean Netherlands;2022 November;1670;41330;20810;20510
184;Total Caribbean Netherlands;2022 December;1830;45030;22500;22530
185;Total Caribbean Netherlands;2022 4th quarter;5210;127530;64020;63510
186;Total Caribbean Netherlands;2022;19830;475650;234920;240730
187;Total Caribbean Netherlands;2023 January;1910;46870;23500;23370
188;Total Caribbean Netherlands;2023 February;1810;43990;21780;22220
189;Total Caribbean Netherlands;2023 March;2010;46190;22050;24140
190;Total Caribbean Netherlands;2023 1st quarter;5730;137050;67320;69730
191;Total Caribbean Netherlands;2023 April;1990;43620;22020;21600
192;Total Caribbean Netherlands;2023 May;1980;41160;18810;22350
193;Total Caribbean Netherlands;2023 June;1810;36870;17830;19040
194;Total Caribbean Netherlands;2023 2nd quarter;5780;121640;58660;62980
195;Total Caribbean Netherlands;2023 July;2060;44040;21650;22390
196;Total Caribbean Netherlands;2023 August;1920;39070;19510;19560
197;Total Caribbean Netherlands;2023 September;1770;35920;18100;17820
198;Total Caribbean Netherlands;2023 3rd quarter;5740;119030;59260;59770
199;Total Caribbean Netherlands;2023 October;1880;39420;19660;19760
200;Total Caribbean Netherlands;2023 November;1900;40340;20480;19860
201;Total Caribbean Netherlands;2023 December;1850;46490;22390;24100
202;Total Caribbean Netherlands;2023 4th quarter;5630;126250;62530;63720
203;Total Caribbean Netherlands;2023;22880;503970;247780;256200
204;Total Caribbean Netherlands;2024 January;1830;47620;24840;22780
205;Total Caribbean Netherlands;2024 February;1870;48440;23330;25110
206;Total Caribbean Netherlands;2024 March;1850;49270;24400;24870
207;Total Caribbean Netherlands;2024 1st quarter;5560;145340;72570;72770
208;Total Caribbean Netherlands;2024 April;1940;45600;23230;22370
209;Total Caribbean Netherlands;2025 May;1810;43310;19690;23630
210;Total Caribbean Netherlands;2024 June;1750;38730;18970;19750
211;Total Caribbean Netherlands;2024 2nd quarter;5490;127650;61900;65750
212;Total Caribbean Netherlands;2024 July;1900;43480;21400;22080
213;Total Caribbean Netherlands;2024 August;1900;43090;21960;21130
214;Total Caribbean Netherlands;2024 September;1690;34050;17970;16080
215;Total Caribbean Netherlands;2024 3rd quarter;5490;120620;61330;59290
216;Total Caribbean Netherlands;2024 October;2010;42150;21280;20870
217;Total Caribbean Netherlands;2024 November;1980;45890;23580;22310
218;Total Caribbean Netherlands;2024 December;1970;50760;25880;24880
219;Total Caribbean Netherlands;2024 4th quarter;5950;138810;70740;68060
220;Total Caribbean Netherlands;2024;22490;532410;266530;265870
221;Flamingo Airport (Bonaire);2012 January;1340;27310;14070;13240
222;Flamingo Airport (Bonaire);2012 February;1250;23830;12090;11740
223;Flamingo Airport (Bonaire);2012 March;1460;28160;13630;14530
224;Flamingo Airport (Bonaire);2012 1st quarter;4040;79310;39790;39510
225;Flamingo Airport (Bonaire);2012 April;1450;28200;14470;13720
226;Flamingo Airport (Bonaire);2012 May;1450;26130;12370;13760
227;Flamingo Airport (Bonaire);2012 June;1370;25880;12810;13070
228;Flamingo Airport (Bonaire);2012 2nd quarter;4270;80200;39650;40550
229;Flamingo Airport (Bonaire);2012 July;1510;32720;16510;16210
230;Flamingo Airport (Bonaire);2012 August;1590;30760;15430;15330
231;Flamingo Airport (Bonaire);2012 September;1320;22600;11490;11110
232;Flamingo Airport (Bonaire);2012 3rd quarter;4420;86070;43430;42640
233;Flamingo Airport (Bonaire);2012 October;1420;28010;14740;13270
234;Flamingo Airport (Bonaire);2012 November;1330;26660;13660;13000
235;Flamingo Airport (Bonaire);2012 December;1260;28610;14190;14420
236;Flamingo Airport (Bonaire);2012 4th quarter;4010;83280;42590;40690
237;Flamingo Airport (Bonaire);2012;16740;328860;165470;163400
238;Flamingo Airport (Bonaire);2013 January;1230;26860;13870;12980
239;Flamingo Airport (Bonaire);2013 February;1250;26720;13660;13060
240;Flamingo Airport (Bonaire);2013 March;1390;31300;15320;15970
241;Flamingo Airport (Bonaire);2013 1st quarter;3860;84870;42860;42020
242;Flamingo Airport (Bonaire);2013 April;1310;27820;15010;12810
243;Flamingo Airport (Bonaire);2013 May;1320;28060;12970;15090
244;Flamingo Airport (Bonaire);2013 June;1250;27880;13910;13970
245;Flamingo Airport (Bonaire);2013 2nd quarter;3880;83760;41890;41870
246;Flamingo Airport (Bonaire);2013 July;1320;31600;15910;15690
247;Flamingo Airport (Bonaire);2013 August;1190;29590;14310;15280
248;Flamingo Airport (Bonaire);2013 September;1030;22490;11610;10880
249;Flamingo Airport (Bonaire);2013 3rd quarter;3540;83680;41830;41850
250;Flamingo Airport (Bonaire);2013 October;1100;26270;13470;12800
251;Flamingo Airport (Bonaire);2013 November;1060;25800;12890;12910
252;Flamingo Airport (Bonaire);2013 December;1070;28440;14420;14020
253;Flamingo Airport (Bonaire);2013 4th quarter;3230;80510;40790;39720
254;Flamingo Airport (Bonaire);2013;14510;332820;167360;165460
255;Flamingo Airport (Bonaire);2014 January;1080;28710;14940;13780
256;Flamingo Airport (Bonaire);2014 February;890;26710;12930;13780
257;Flamingo Airport (Bonaire);2014 March;930;30210;14850;15360
258;Flamingo Airport (Bonaire);2014 1st quarter;2900;85630;42710;42910
259;Flamingo Airport (Bonaire);2014 April;860;26560;13430;13130
260;Flamingo Airport (Bonaire);2014 May;860;27840;13620;14220
261;Flamingo Airport (Bonaire);2014 June;790;23550;11530;12020
262;Flamingo Airport (Bonaire);2014 2nd quarter;2510;77950;38580;39370
263;Flamingo Airport (Bonaire);2014 July;880;28190;14260;13940
264;Flamingo Airport (Bonaire);2014 August;920;28570;14220;14350
265;Flamingo Airport (Bonaire);2014 September;870;22590;11480;11120
266;Flamingo Airport (Bonaire);2014 3rd quarter;2670;79360;39950;39400
267;Flamingo Airport (Bonaire);2014 October;1010;27230;13470;13760
268;Flamingo Airport (Bonaire);2014 November;990;25860;12860;13000
269;Flamingo Airport (Bonaire);2014 December;1180;29790;15210;14580
270;Flamingo Airport (Bonaire);2014 4th quarter;3190;82880;41540;41340
271;Flamingo Airport (Bonaire);2014;11260;325810;162790;163030
272;Flamingo Airport (Bonaire);2015 January;1040;29680;15460;14220
273;Flamingo Airport (Bonaire);2015 February;960;27310;14150;13160
274;Flamingo Airport (Bonaire);2015 March;990;29810;14680;15130
275;Flamingo Airport (Bonaire);2015 1st quarter;3000;86790;44290;42510
276;Flamingo Airport (Bonaire);2015 April;1020;29500;14930;14570
277;Flamingo Airport (Bonaire);2015 May;1010;29130;13950;15190
278;Flamingo Airport (Bonaire);2015 June;980;24020;12200;11820
279;Flamingo Airport (Bonaire);2015 2nd quarter;3010;82650;41070;41580
280;Flamingo Airport (Bonaire);2015 July;1070;30280;15010;15270
281;Flamingo Airport (Bonaire);2015 August;1020;28090;14170;13910
282;Flamingo Airport (Bonaire);2015 September;1060;25940;13700;12240
283;Flamingo Airport (Bonaire);2015 3rd quarter;3150;84300;42880;41420
284;Flamingo Airport (Bonaire);2015 October;1050;30460;15510;14950
285;Flamingo Airport (Bonaire);2015 November;1040;28520;14690;13820
286;Flamingo Airport (Bonaire);2015 December;1090;29850;14870;14980
287;Flamingo Airport (Bonaire);2015 4th quarter;3190;88830;45080;43750
288;Flamingo Airport (Bonaire);2015;12340;342570;173310;169260
289;Flamingo Airport (Bonaire);2016 January;1020;30460;15660;14800
290;Flamingo Airport (Bonaire);2016 February;920;27740;13830;13910
291;Flamingo Airport (Bonaire);2016 March;1000;31240;15130;16100
292;Flamingo Airport (Bonaire);2016 1st quarter;2940;89440;44630;44810
293;Flamingo Airport (Bonaire);2016 April;920;28910;15350;13570
294;Flamingo Airport (Bonaire);2016 May;940;27890;13290;14610
295;Flamingo Airport (Bonaire);2016 June;910;25600;12860;12740
296;Flamingo Airport (Bonaire);2016 2nd quarter;2770;82410;41500;40910
297;Flamingo Airport (Bonaire);2016 July;970;31910;15950;15970
298;Flamingo Airport (Bonaire);2016 August;960;29340;14400;14940
299;Flamingo Airport (Bonaire);2016 September;820;23360;11720;11650
300;Flamingo Airport (Bonaire);2016 3rd quarter;2750;84610;42060;42550
301;Flamingo Airport (Bonaire);2016 October;900;29340;14800;14540
302;Flamingo Airport (Bonaire);2016 November;860;27220;13670;13550
303;Flamingo Airport (Bonaire);2016 December;920;28430;14300;14130
304;Flamingo Airport (Bonaire);2016 4th quarter;2680;84990;42770;42220
305;Flamingo Airport (Bonaire);2016;11140;341440;170960;170490
306;Flamingo Airport (Bonaire);2017 January;960;29830;15470;14370
307;Flamingo Airport (Bonaire);2017 February;930;27160;13360;13790
308;Flamingo Airport (Bonaire);2017 March;1030;28520;14090;14430
309;Flamingo Airport (Bonaire);2017 1st quarter;2930;85510;42920;42590
310;Flamingo Airport (Bonaire);2017 April;1070;28240;14370;13870
311;Flamingo Airport (Bonaire);2017 May;990;25330;12080;13260
312;Flamingo Airport (Bonaire);2017 June;910;22980;11180;11800
313;Flamingo Airport (Bonaire);2017 2nd quarter;2980;76550;37620;38930
314;Flamingo Airport (Bonaire);2017 July;990;28570;14300;14270
315;Flamingo Airport (Bonaire);2017 August;1030;24290;12320;11970
316;Flamingo Airport (Bonaire);2017 September;1110;21840;11240;10600
317;Flamingo Airport (Bonaire);2017 3rd quarter;3140;74700;37860;36840
318;Flamingo Airport (Bonaire);2017 October;1080;26600;13690;12910
319;Flamingo Airport (Bonaire);2017 November;980;27780;13950;13830
320;Flamingo Airport (Bonaire);2017 December;1090;31970;16040;15930
321;Flamingo Airport (Bonaire);2017 4th quarter;3160;86350;43680;42670
322;Flamingo Airport (Bonaire);2017;12200;323110;162080;161030
323;Flamingo Airport (Bonaire);2018 January;1120;30990;16460;14530
324;Flamingo Airport (Bonaire);2018 February;970;28930;14470;14460
325;Flamingo Airport (Bonaire);2018 March;1130;32950;15980;16970
326;Flamingo Airport (Bonaire);2018 1st quarter;3220;92860;46910;45950
327;Flamingo Airport (Bonaire);2018 April;1080;30900;16330;14570
328;Flamingo Airport (Bonaire);2018 May;1130;30170;13910;16260
329;Flamingo Airport (Bonaire);2018 June;1010;28220;13920;14300
330;Flamingo Airport (Bonaire);2018 2nd quarter;3220;89290;44160;45130
331;Flamingo Airport (Bonaire);2018 July;1150;31240;15580;15660
332;Flamingo Airport (Bonaire);2018 August;1070;29700;14880;14830
333;Flamingo Airport (Bonaire);2018 September;1120;25170;12670;12500
334;Flamingo Airport (Bonaire);2018 3rd quarter;3350;86110;43130;42980
335;Flamingo Airport (Bonaire);2018 October;1190;28970;14720;14250
336;Flamingo Airport (Bonaire);2018 November;1130;28380;14480;13900
337;Flamingo Airport (Bonaire);2018 December;1240;33740;17180;16570
338;Flamingo Airport (Bonaire);2018 4th quarter;3560;91080;46370;44710
339;Flamingo Airport (Bonaire);2018;13350;359350;180570;178780
340;Flamingo Airport (Bonaire);2019 January;1350;34120;17680;16430
341;Flamingo Airport (Bonaire);2019 February;1140;31580;15700;15880
342;Flamingo Airport (Bonaire);2019 March;1260;37130;18400;18730
343;Flamingo Airport (Bonaire);2019 1st quarter;3750;102830;51790;51050
344;Flamingo Airport (Bonaire);2019 April;1150;32570;16690;15880
345;Flamingo Airport (Bonaire);2019 May;1240;31320;14690;16630
346;Flamingo Airport (Bonaire);2019 June;1160;30540;15500;15040
347;Flamingo Airport (Bonaire);2019 2nd quarter;3550;94420;46880;47540
348;Flamingo Airport (Bonaire);2019 July;1310;32390;15910;16480
349;Flamingo Airport (Bonaire);2019 August;1390;31680;15840;15840
350;Flamingo Airport (Bonaire);2019 September;1330;25510;12850;12660
351;Flamingo Airport (Bonaire);2019 3rd quarter;4030;89580;44600;44980
352;Flamingo Airport (Bonaire);2019 October;1410;30140;15430;14710
353;Flamingo Airport (Bonaire);2019 November;1480;32290;16360;15930
354;Flamingo Airport (Bonaire);2019 December;1460;35190;16900;18290
355;Flamingo Airport (Bonaire);2019 4th quarter;4350;97620;48690;48930
356;Flamingo Airport (Bonaire);2019;15680;384450;191960;192490
357;Flamingo Airport (Bonaire);2020 January;1390;35050;18120;16930
358;Flamingo Airport (Bonaire);2020 February;1310;36490;18240;18250
359;Flamingo Airport (Bonaire);2020 March;810;21920;8800;13110
360;Flamingo Airport (Bonaire);2020 1st quarter;3510;93460;45160;48300
361;Flamingo Airport (Bonaire);2020 April;120;200;100;100
362;Flamingo Airport (Bonaire);2020 May;140;440;260;180
363;Flamingo Airport (Bonaire);2020 June;430;3500;1700;1800
364;Flamingo Airport (Bonaire);2020 2nd quarter;690;4140;2060;2090
365;Flamingo Airport (Bonaire);2020 July;930;13590;7300;6300
366;Flamingo Airport (Bonaire);2020 August;990;15430;7700;7730
367;Flamingo Airport (Bonaire);2020 September;370;6910;3300;3600
368;Flamingo Airport (Bonaire);2020 3rd quarter;2290;35920;18300;17630
369;Flamingo Airport (Bonaire);2020 October;320;4170;2090;2080
370;Flamingo Airport (Bonaire);2020 November;400;8400;4700;3700
371;Flamingo Airport (Bonaire);2020 December;550;14370;7630;6740
372;Flamingo Airport (Bonaire);2020 4th quarter;1270;26940;14420;12520
373;Flamingo Airport (Bonaire);2020;7760;160460;79930;80530
374;Flamingo Airport (Bonaire);2021 January;570;10240;4550;5690
375;Flamingo Airport (Bonaire);2021 February;550;10360;5340;5020
376;Flamingo Airport (Bonaire);2021 March;560;8850;3920;4930
377;Flamingo Airport (Bonaire);2021 1st quarter;1680;29440;13800;15640
378;Flamingo Airport (Bonaire);2021 April;460;7070;3980;3090
379;Flamingo Airport (Bonaire);2021 May;600;12450;6040;6410
380;Flamingo Airport (Bonaire);2021 June;850;20950;10910;10040
381;Flamingo Airport (Bonaire);2021 2nd quarter;1900;40470;20920;19540
382;Flamingo Airport (Bonaire);2021 July;1170;33000;16850;16150
383;Flamingo Airport (Bonaire);2021 August;1120;32430;15610;16810
384;Flamingo Airport (Bonaire);2021 September;940;24520;12540;11980
385;Flamingo Airport (Bonaire);2021 3rd quarter;3230;89950;45000;44950
386;Flamingo Airport (Bonaire);2021 October;1050;32600;16770;15830
387;Flamingo Airport (Bonaire);2021 November;1020;31640;15900;15750
388;Flamingo Airport (Bonaire);2021 December;1120;35790;17800;17980
389;Flamingo Airport (Bonaire);2021 4th quarter;3180;100030;50470;49560
390;Flamingo Airport (Bonaire);2021;10000;259880;130200;129680
391;Flamingo Airport (Bonaire);2022 January;840;31890;15720;16170
392;Flamingo Airport (Bonaire);2022 February;780;30780;15450;15330
393;Flamingo Airport (Bonaire);2022 March;960;38290;19000;19290
394;Flamingo Airport (Bonaire);2022 1st quarter;2580;100970;50180;50790
395;Flamingo Airport (Bonaire);2022 April;920;39180;19660;19520
396;Flamingo Airport (Bonaire);2022 May;940;36340;16900;19430
397;Flamingo Airport (Bonaire);2022 June;900;32830;15860;16970
398;Flamingo Airport (Bonaire);2022 2nd quarter;2760;108350;52430;55930
399;Flamingo Airport (Bonaire);2022 July;1010;40920;20230;20700
400;Flamingo Airport (Bonaire);2022 August;910;35800;17300;18510
401;Flamingo Airport (Bonaire);2022 September;930;30970;15460;15510
402;Flamingo Airport (Bonaire);2022 3rd quarter;2840;107700;52990;54710
403;Flamingo Airport (Bonaire);2022 October;960;37090;18660;18430
404;Flamingo Airport (Bonaire);2022 November;920;36780;18500;18290
405;Flamingo Airport (Bonaire);2022 December;1130;40770;20490;20280
406;Flamingo Airport (Bonaire);2022 4th quarter;3010;114640;57640;57000
407;Flamingo Airport (Bonaire);2022;11200;431650;213230;218420
408;Flamingo Airport (Bonaire);2023 January;1160;42480;21210;21260
409;Flamingo Airport (Bonaire);2023 February;1090;39620;19610;20010
410;Flamingo Airport (Bonaire);2023 March;1220;41470;19710;21750
