ID;Perioden;Totaal_1;Nieuwbouw_2;NietNieuwbouw_3;Totaal_4;Nieuwbouw_5;NietNieuwbouw_6;Totaal_7;Nieuwbouw_8;NietNieuwbouw_9;Totaal_10;Nieuwbouw_11;NietNieuwbouw_12;Totaal_13;Nieuwbouw_14;NietNieuwbouw_15;Totaal_16;Nieuwbouw_17;NietNieuwbouw_18
31;2013 2e kwartaal;62.8;59.3;76.3;56.2;50.8;98.9;68.6;68.7;68.4;-24.5;-22.0;-31.0;-31.0;-30.7;-32.4;-18.9;-13.3;-30.3
32;2013 3e kwartaal;88.7;87.7;92.5;79.1;76.7;97.5;97.1;99.7;90.8;31.9;41.5;5.4;49.5;47.4;63.2;21.6;36.9;-7.1
33;2013 4e kwartaal;70.1;66.2;85.4;71.4;68.9;90.8;69.0;63.2;83.5;8.3;4.4;22.3;37.5;51.5;-11.1;-9.2;-23.8;43.0
34;2013;70.5;66.6;85.7;65.1;62.0;88.9;75.3;71.6;84.6;-6.5;-6.7;-6.0;-3.5;-1.5;-13.1;-8.6;-11.0;-3.0
35;2014 1e kwartaal;90.0;85.1;108.8;92.7;89.4;117.8;87.6;80.4;105.7;48.9;60.0;22.8;72.6;72.8;71.4;31.9;46.8;10.5
36;2014 2e kwartaal;79.4;71.2;111.5;78.9;72.0;133.2;79.8;70.3;103.8;26.4;19.9;46.1;40.4;41.8;34.7;16.3;2.2;51.9
37;2014 3e kwartaal;75.0;72.6;84.5;93.2;89.7;120.4;59.0;54.0;71.8;-15.4;-17.2;-8.7;17.9;16.9;23.5;-39.2;-45.9;-20.9
38;2014 4e kwartaal;85.7;77.8;116.4;101.2;94.9;150.1;71.9;59.0;104.5;22.1;17.4;36.3;41.7;37.7;65.3;4.2;-6.7;25.1
39;2014;82.5;76.7;105.3;91.5;86.5;130.4;74.6;65.9;96.5;17.0;15.1;22.8;40.5;39.4;46.5;-0.9;-8.0;14.0
40;2015 1e kwartaal;93.0;83.1;131.1;110.8;105.6;151.2;77.6;59.2;124.0;3.4;-2.3;20.4;19.6;18.1;28.4;-11.4;-26.4;17.3
41;2015 2e kwartaal;98.1;101.6;93.0;116.6;111.8;158.0;82.7;90.4;71.5;23.6;42.8;-16.6;47.7;55.4;18.7;3.6;28.6;-31.1
42;2015 3e kwartaal;82.6;77.6;101.6;92.2;84.1;154.2;73.6;70.0;83.2;10.0;6.8;20.3;-1.0;-6.2;28.1;24.8;29.7;15.9
43;2015 4e kwartaal;99.5;90.8;133.4;127.6;117.2;207.0;74.8;62.4;105.6;16.1;16.7;14.6;26.0;23.4;38.0;4.0;5.8;1.0
44;2015;93.3;88.3;114.8;111.8;104.7;167.6;77.2;70.5;96.1;13.1;15.1;9.0;22.2;21.0;28.6;3.5;7.0;-0.4
45;2016 1e kwartaal;94.7;92.0;105.4;130.7;123.9;183.6;63.6;58.1;77.6;1.9;10.7;-19.6;18.0;17.3;21.4;-18.0;-1.9;-37.4
46;2016 2e kwartaal;113.9;113.8;121.6;149.7;137.6;244.8;83.9;87.6;81.2;16.1;12.0;30.8;28.4;23.1;55.0;1.6;-3.1;13.6
47;2016 3e kwartaal;103.3;101.3;111.7;140.9;131.3;214.9;70.7;68.6;76.3;25.1;30.6;9.9;52.8;56.1;39.3;-4.0;-1.9;-8.3
