ID;RegioS;Perioden;RijksmonumentenTotaal_1;OpenbareGebouwen_2;Verdedigingswerken_3;KerkelijkeGebouwen_4;ObjectInDelenVanKerkelijkeGebouwen_5;GebouwenWoonhuizen_6;DelenVanGebouwenWoonhuizen_7;LiefdadigeInstellingen_8;AgrarischeGebouwen_9;Molens_10;WegEnWaterwerken_11;HorecaInstellingen_12;Kastelen_13;LosseObjectenNietEerderGenoemd_14
67;Alblasserdam;2014;20;0;0;2;0;10;0;0;4;3;1;0;0;0
68;Alblasserdam;2015;20;0;0;2;0;10;0;0;4;3;1;0;0;0
69;Albrandswaard;2013;27;2;0;3;0;4;0;0;14;0;0;0;1;3
70;Albrandswaard;2014;27;2;0;3;0;4;0;0;14;0;0;0;1;3
71;Albrandswaard;2015;27;2;0;3;0;4;0;0;14;0;0;0;1;3
72;Alkmaar;2013;578;19;3;32;1;430;0;16;15;30;4;0;0;28
73;Alkmaar;2014;578;19;3;32;1;430;0;16;15;30;4;0;0;28
74;Alkmaar;2015;577;19;3;32;1;429;0;16;15;30;4;0;0;28
75;Almelo;2013;76;5;1;5;0;34;0;0;8;1;1;0;4;17
76;Almelo;2014;76;5;1;5;0;34;0;0;8;1;1;0;4;17
77;Almelo;2015;77;5;1;5;0;35;0;0;8;1;1;0;4;17
78;Almere;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Almere;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Almere;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;Alphen aan den Rijn;2013;167;4;0;16;2;51;0;2;55;18;5;0;2;12
82;Alphen aan den Rijn;2014;167;4;0;16;2;51;0;2;55;18;5;0;2;12
83;Alphen aan den Rijn;2015;167;4;0;16;2;51;0;2;55;18;5;0;2;12
84;Alphen-Chaam;2013;61;2;0;6;0;15;0;0;23;0;0;0;3;12
85;Alphen-Chaam;2014;61;2;0;6;0;15;0;0;23;0;0;0;3;12
86;Alphen-Chaam;2015;61;2;0;6;0;15;0;0;23;0;0;0;3;12
87;Ameland;2013;113;0;0;8;1;92;0;0;8;1;1;1;0;1
88;Ameland;2014;112;0;0;8;1;91;0;0;8;1;1;1;0;1
89;Ameland;2015;112;0;0;8;1;91;0;0;8;1;1;1;0;1
90;Amersfoort;2013;457;13;32;29;1;331;0;16;5;1;3;0;2;24
91;Amersfoort;2014;457;13;32;29;1;331;0;16;5;1;3;0;2;24
92;Amersfoort;2015;457;13;32;29;1;331;0;16;5;1;3;0;2;24
93;Amstelveen;2013;71;0;0;5;0;39;0;0;5;1;1;2;2;16
94;Amstelveen;2014;72;0;0;6;0;39;0;0;5;1;1;2;2;16
95;Amstelveen;2015;72;0;0;6;0;39;0;0;5;1;1;2;2;16
96;Amsterdam;2013;7504;135;8;87;1;6716;54;47;17;8;44;20;3;364
97;Amsterdam;2014;7502;135;8;87;1;6665;54;48;17;8;44;20;3;412
98;Amsterdam;2015;7499;136;8;87;1;6639;54;49;17;8;44;21;3;432
99;Apeldoorn;2013;172;15;2;16;2;86;1;1;9;5;3;0;5;27
100;Apeldoorn;2014;173;16;2;16;2;86;1;1;9;5;3;0;5;27
101;Apeldoorn;2015;173;16;2;16;2;86;1;1;9;5;3;0;5;27
102;Appingedam;2013;75;6;1;8;0;43;0;1;4;5;2;0;1;4
103;Appingedam;2014;76;6;1;9;0;43;0;1;4;5;2;0;1;4
104;Appingedam;2015;76;6;1;9;0;43;0;1;4;5;2;0;1;4
105;Arnhem;2013;545;103;92;14;0;257;1;3;5;2;11;3;6;48
106;Arnhem;2014;545;103;92;14;0;257;1;3;5;2;11;3;6;48
107;Arnhem;2015;555;108;92;15;0;260;1;3;5;2;11;3;6;49
108;Assen;2013;135;15;1;9;0;86;0;0;7;1;0;0;2;14
109;Assen;2014;135;16;1;8;0;86;0;0;7;1;0;0;2;14
110;Assen;2015;135;16;1;8;0;86;0;0;7;1;0;0;2;14
111;Asten;2013;22;2;0;3;1;12;0;0;0;1;0;0;1;2
112;Asten;2014;20;2;0;3;1;10;0;0;0;1;0;0;1;2
113;Asten;2015;20;2;0;3;1;10;0;0;0;1;0;0;1;2
114;Baarle-Nassau;2013;15;0;0;0;0;11;0;0;3;0;0;0;0;1
115;Baarle-Nassau;2014;15;0;0;0;0;11;0;0;3;0;0;0;0;1
116;Baarle-Nassau;2015;15;0;0;0;0;11;0;0;3;0;0;0;0;1
117;Baarn;2013;149;2;0;3;0;73;0;0;7;0;4;2;6;52
118;Baarn;2014;149;2;0;3;0;73;0;0;7;0;4;2;6;52
119;Baarn;2015;149;2;0;3;0;73;0;0;7;0;4;2;6;52
120;Barendrecht;2013;19;0;0;1;0;4;0;0;13;1;0;0;0;0
121;Barendrecht;2014;19;0;0;1;0;4;0;0;13;1;0;0;0;0
122;Barendrecht;2015;19;0;0;1;0;4;0;0;13;1;0;0;0;0
123;Barneveld;2013;32;0;0;5;0;12;0;0;6;3;0;0;2;4
124;Barneveld;2014;32;0;0;5;0;12;0;0;6;3;0;0;2;4
125;Barneveld;2015;32;0;0;5;0;12;0;0;6;3;0;0;2;4
126;Bedum;2013;70;3;0;12;0;32;0;0;6;4;6;1;0;6
127;Bedum;2014;70;3;0;12;0;32;0;0;6;4;6;1;0;6
128;Bedum;2015;70;3;0;12;0;32;0;0;6;4;6;1;0;6
129;Beek (L.);2013;54;1;0;8;0;5;0;0;23;2;1;0;1;13
130;Beek (L.);2014;54;1;0;8;0;5;0;0;23;2;1;0;1;13
131;Beek (L.);2015;54;1;0;8;0;5;0;0;23;2;1;0;1;13
132;Beemster;2013;89;2;0;6;0;30;0;0;35;1;3;2;0;10
133;Beemster;2014;89;2;0;6;0;30;0;0;35;1;3;2;0;10
134;Beemster;2015;89;2;0;6;0;30;0;0;35;1;3;2;0;10
135;Beesel;2013;20;0;1;3;0;2;0;0;7;2;0;0;2;3
136;Beesel;2014;20;0;1;3;0;2;0;0;7;2;0;0;2;3
137;Beesel;2015;20;0;1;3;0;2;0;0;7;2;0;0;2;3
138;Bellingwedde;2013;79;3;5;5;0;22;0;0;32;5;2;0;1;4
139;Bellingwedde;2014;79;3;5;5;0;22;0;0;32;5;2;0;1;4
140;Bellingwedde;2015;79;3;5;5;0;22;0;0;32;5;2;0;1;4
141;Bergeijk;2013;35;4;0;14;0;7;0;0;5;3;0;1;0;1
142;Bergeijk;2014;35;4;0;14;0;7;0;0;5;3;0;1;0;1
143;Bergeijk;2015;35;4;0;14;0;7;0;0;5;3;0;1;0;1
144;Bergen (L.);2013;27;0;0;8;1;4;0;0;2;1;0;0;2;9
145;Bergen (L.);2014;26;0;0;8;1;4;0;0;2;1;0;0;2;8
146;Bergen (L.);2015;26;0;0;8;1;4;0;0;2;1;0;0;2;8
147;Bergen (NH.);2013;134;14;0;12;0;60;0;0;17;8;2;2;2;17
148;Bergen (NH.);2014;134;14;0;12;0;60;0;0;17;8;2;2;2;17
149;Bergen (NH.);2015;134;14;0;12;0;60;0;0;17;8;2;2;2;17
150;Bergen op Zoom;2013;328;13;9;13;0;257;0;3;10;3;1;4;1;14
151;Bergen op Zoom;2014;328;13;7;13;0;257;0;3;10;3;1;4;1;16
152;Bergen op Zoom;2015;328;13;7;13;0;257;0;3;10;3;1;4;1;16
153;Berkelland;2013;119;1;1;16;0;20;0;1;59;7;4;1;1;8
154;Berkelland;2014;119;1;1;16;0;20;0;1;59;7;4;1;1;8
155;Berkelland;2015;119;1;1;16;0;20;0;1;59;7;4;1;1;8
156;Bernheze;2013;64;3;0;10;1;7;0;0;10;3;0;0;3;27
157;Bernheze;2014;64;3;0;10;1;7;0;0;10;3;0;0;3;27
158;Bernheze;2015;64;3;0;10;1;7;0;0;10;3;0;0;3;27
159;Best;2013;24;0;0;4;0;10;0;0;9;1;0;0;0;0
160;Best;2014;24;0;0;4;0;10;0;0;9;1;0;0;0;0
161;Best;2015;24;0;0;4;0;10;0;0;9;1;0;0;0;0
162;Beuningen;2013;56;0;0;8;0;14;0;0;21;2;0;0;3;8
163;Beuningen;2014;56;0;0;8;0;14;0;0;21;2;0;0;3;8
164;Beuningen;2015;56;0;0;8;0;14;0;0;21;2;0;0;3;8
165;Beverwijk;2013;41;2;2;7;1;14;0;0;0;0;0;0;4;11
166;Beverwijk;2014;41;2;2;7;1;14;0;0;0;0;0;0;4;11
167;Beverwijk;2015;41;2;2;7;1;14;0;0;0;0;0;0;4;11
168;het Bildt;2013;52;1;0;5;0;22;0;0;21;2;0;0;0;1
169;het Bildt;2014;51;1;0;5;0;21;0;0;21;2;0;0;0;1
170;het Bildt;2015;51;1;0;5;0;21;0;0;21;2;0;0;0;1
171;De Bilt;2013;158;20;10;5;0;44;0;0;13;2;11;0;12;41
172;De Bilt;2014;158;20;10;5;0;44;0;0;13;2;11;0;12;41
173;De Bilt;2015;158;20;10;5;0;44;0;0;13;2;11;0;12;41
174;Binnenmaas;2013;71;2;0;8;0;15;0;0;26;8;0;0;1;11
175;Binnenmaas;2014;71;2;0;8;0;15;0;0;26;8;0;0;1;11
176;Binnenmaas;2015;70;2;0;8;0;15;0;0;25;8;0;0;1;11
177;Bladel;2013;24;0;0;7;1;7;0;0;8;1;0;0;0;0
178;Bladel;2014;24;0;0;7;1;7;0;0;8;1;0;0;0;0
179;Bladel;2015;24;0;0;7;1;7;0;0;8;1;0;0;0;0
180;Blaricum;2013;68;1;0;2;0;21;2;0;41;0;0;0;0;1
181;Blaricum;2014;68;1;0;2;0;21;2;0;41;0;0;0;0;1
182;Blaricum;2015;68;1;0;2;0;21;2;0;41;0;0;0;0;1
183;Bloemendaal;2013;272;4;0;8;0;139;0;1;16;0;14;4;12;74
184;Bloemendaal;2014;272;4;0;8;0;139;0;1;16;0;14;4;12;74
185;Bloemendaal;2015;273;4;0;8;0;139;0;1;16;0;14;4;12;75
186;Bodegraven-Reeuwijk;2013;53;1;1;6;0;9;0;0;30;3;0;0;1;2
187;Bodegraven-Reeuwijk;2014;53;1;1;6;0;9;0;0;30;3;0;0;1;2
188;Bodegraven-Reeuwijk;2015;53;1;1;6;0;9;0;0;30;3;0;0;1;2
189;Boekel;2013;13;1;0;4;0;1;0;1;5;1;0;0;0;0
190;Boekel;2014;13;1;0;4;0;1;0;1;5;1;0;0;0;0
191;Boekel;2015;13;0;0;4;0;2;0;1;5;1;0;0;0;0
192;Ten Boer;2013;33;1;0;7;1;9;0;0;7;6;2;0;0;0
193;Ten Boer;2014;33;1;0;7;1;9;0;0;7;6;2;0;0;0
194;Ten Boer;2015;33;1;0;7;1;9;0;0;7;6;2;0;0;0
195;Borger-Odoorn;2013;26;0;0;5;0;6;0;1;13;0;0;0;0;1
196;Borger-Odoorn;2014;26;0;0;5;0;6;0;1;13;0;0;0;0;1
197;Borger-Odoorn;2015;26;0;0;5;0;6;0;1;13;0;0;0;0;1
198;Borne;2013;38;4;0;6;0;14;0;0;13;0;0;0;0;1
199;Borne;2014;38;4;0;6;0;14;0;0;13;0;0;0;0;1
200;Borne;2015;38;4;0;6;0;14;0;0;13;0;0;0;0;1
201;Borsele;2013;167;0;1;22;0;40;0;0;51;7;2;0;5;39
202;Borsele;2014;167;0;1;22;0;40;0;0;51;7;2;0;5;39
203;Borsele;2015;167;0;1;22;0;40;0;0;51;7;2;0;5;39
204;Boxmeer;2013;109;1;4;23;1;24;0;0;11;3;1;2;1;38
205;Boxmeer;2014;109;1;4;23;1;24;0;0;11;3;1;2;1;38
206;Boxmeer;2015;109;1;4;23;1;24;0;0;11;3;1;2;1;38
207;Boxtel;2013;78;0;0;8;0;23;0;1;32;0;0;2;2;10
208;Boxtel;2014;78;0;0;8;0;23;0;1;32;0;0;2;2;10
209;Boxtel;2015;78;0;0;8;0;23;0;1;32;0;0;2;2;10
210;Breda;2013;546;18;4;39;1;337;3;4;82;3;1;1;13;40
211;Breda;2014;546;18;4;39;1;337;3;4;82;3;1;1;13;40
212;Breda;2015;546;18;4;39;1;337;3;4;82;3;1;1;13;40
213;Brielle;2013;371;10;5;9;0;332;0;3;6;0;1;0;0;5
214;Brielle;2014;371;10;5;9;0;332;0;3;6;0;1;0;0;5
215;Brielle;2015;372;10;6;9;0;332;0;3;6;0;1;0;0;5
216;Bronckhorst;2013;351;0;0;16;1;73;0;0;113;10;0;3;18;117
217;Bronckhorst;2014;351;0;0;16;1;73;0;0;113;10;0;3;18;117
218;Bronckhorst;2015;351;0;0;16;1;73;0;0;113;10;0;3;18;117
219;Brummen;2013;110;0;0;4;0;23;0;0;13;1;1;0;16;52
220;Brummen;2014;110;0;0;4;0;23;0;0;13;1;1;0;16;52
221;Brummen;2015;109;0;0;4;0;23;0;0;13;1;0;0;16;52
222;Brunssum;2013;30;3;0;3;1;15;0;0;5;0;0;0;1;2
223;Brunssum;2014;30;3;0;3;1;15;0;0;5;0;0;0;1;2
224;Brunssum;2015;30;3;0;4;0;15;0;0;5;0;0;0;1;2
225;Bunnik;2013;126;1;60;4;0;8;0;0;25;1;1;0;5;21
226;Bunnik;2014;126;1;60;4;0;8;0;0;25;1;1;0;5;21
227;Bunnik;2015;127;1;61;4;0;8;0;0;25;1;1;0;5;21
228;Bunschoten;2013;12;0;0;2;0;6;0;0;2;0;1;0;0;1
229;Bunschoten;2014;12;0;0;2;0;6;0;0;2;0;1;0;0;1
230;Bunschoten;2015;12;0;0;2;0;6;0;0;2;0;1;0;0;1
231;Buren;2013;271;1;8;27;0;113;1;1;95;8;1;0;6;10
232;Buren;2014;271;1;8;27;0;113;1;1;95;8;1;0;6;10
233;Buren;2015;270;1;8;27;0;113;1;1;94;8;1;0;6;10
234;Bussum;2013;58;3;7;4;0;26;0;0;0;0;0;1;0;17
235;Bussum;2014;57;3;6;4;0;26;0;0;0;0;0;1;0;17
236;Bussum;2015;57;3;6;4;0;26;0;0;0;0;0;1;0;17
237;Capelle aan den IJssel;2013;17;1;0;2;0;5;0;1;8;0;0;0;0;0
238;Capelle aan den IJssel;2014;17;1;0;2;0;5;0;1;8;0;0;0;0;0
239;Capelle aan den IJssel;2015;17;1;0;2;0;5;0;1;8;0;0;0;0;0
240;Castricum;2013;48;6;0;6;0;29;0;0;2;1;0;0;0;4
241;Castricum;2014;48;6;0;6;0;29;0;0;2;1;0;0;0;4
242;Castricum;2015;48;6;0;6;0;29;0;0;2;1;0;0;0;4
243;Coevorden;2013;150;21;2;14;1;21;0;2;78;8;0;0;3;0
244;Coevorden;2014;150;21;2;14;1;21;0;2;78;8;0;0;3;0
245;Coevorden;2015;150;21;2;14;1;21;0;2;78;8;0;0;3;0
246;Cranendonck;2013;37;3;0;5;1;12;0;0;4;3;0;1;0;8
247;Cranendonck;2014;37;3;0;5;1;12;0;0;4;3;0;1;0;8
248;Cranendonck;2015;37;3;0;5;1;12;0;0;4;3;0;1;0;8
249;Cromstrijen;2013;13;1;0;2;0;2;0;0;6;1;0;0;0;1
250;Cromstrijen;2014;13;1;0;2;0;2;0;0;6;1;0;0;0;1
251;Cromstrijen;2015;13;1;0;2;0;2;0;0;6;1;0;0;0;1
252;Cuijk;2013;55;3;2;22;0;14;0;0;6;4;0;0;1;3
253;Cuijk;2014;55;3;2;22;0;14;0;0;6;4;0;0;1;3
254;Cuijk;2015;55;3;2;22;0;14;0;0;6;4;0;0;1;3
255;Culemborg;2013;108;3;13;7;0;66;0;1;3;2;2;0;2;9
256;Culemborg;2014;131;4;34;8;0;66;0;1;3;2;2;0;2;9
257;Culemborg;2015;141;6;42;8;0;66;0;1;3;2;2;0;2;9
258;Dalfsen;2013;121;1;0;3;0;26;0;0;35;3;0;0;9;44
259;Dalfsen;2014;121;1;0;3;0;26;0;0;35;3;0;0;9;44
260;Dalfsen;2015;121;1;0;3;0;26;0;0;35;3;0;0;9;44
261;Dantumadiel;2013;34;1;1;8;1;7;0;0;10;4;0;1;0;1
262;Dantumadiel;2014;34;1;1;8;1;7;0;0;10;4;0;1;0;1
263;Dantumadiel;2015;34;1;1;8;1;7;0;0;10;4;0;1;0;1
264;Delft;2013;695;29;5;18;0;565;0;6;14;1;42;0;0;15
265;Delft;2014;696;29;5;18;0;566;0;6;14;1;42;0;0;15
266;Delft;2015;696;30;5;18;0;566;0;6;14;1;42;0;0;14
267;Delfzijl;2013;111;4;1;17;1;28;0;0;18;3;5;1;1;32
268;Delfzijl;2014;111;4;1;17;1;28;0;0;18;3;5;1;1;32
269;Delfzijl;2015;111;4;1;17;1;28;0;0;18;3;5;1;1;32
270;Deurne;2013;57;3;7;9;0;13;0;0;12;5;0;1;3;4
271;Deurne;2014;57;3;7;9;0;13;0;0;12;5;0;1;3;4
272;Deurne;2015;57;3;7;9;0;13;0;0;12;5;0;1;3;4
273;Deventer;2013;585;13;18;24;3;481;3;2;12;3;2;1;6;17
274;Deventer;2014;584;13;18;24;3;480;3;2;12;3;2;1;6;17
275;Deventer;2015;584;13;19;24;3;480;3;2;12;3;1;1;6;17
276;Diemen;2013;17;0;0;3;0;5;0;0;2;2;1;0;0;4
277;Diemen;2014;17;0;0;3;0;5;0;0;2;2;1;0;0;4
278;Diemen;2015;17;0;0;3;0;5;0;0;2;2;1;0;0;4
279;Dinkelland;2013;128;4;1;10;0;25;1;0;40;4;4;2;4;33
280;Dinkelland;2014;128;4;1;10;0;25;1;0;40;4;4;2;4;33
281;Dinkelland;2015;128;4;1;10;0;25;1;0;40;4;4;2;4;33
282;Doesburg;2013;158;3;4;4;0;135;0;2;3;0;0;3;0;4
283;Doesburg;2014;158;3;4;4;0;135;0;2;3;0;0;3;0;4
284;Doesburg;2015;158;3;4;4;0;135;0;2;3;0;0;3;0;4
285;Doetinchem;2013;35;3;0;6;2;8;0;0;4;4;0;0;2;6
286;Doetinchem;2014;35;3;0;6;2;8;0;0;4;4;0;0;2;6
287;Doetinchem;2015;35;3;0;6;2;8;0;0;4;4;0;0;2;6
288;Dongen;2013;68;2;0;9;0;32;0;0;20;2;0;0;0;3
289;Dongen;2014;68;2;0;9;0;32;0;0;20;2;0;0;0;3
290;Dongen;2015;68;2;0;9;0;32;0;0;20;2;0;0;0;3
291;Dongeradeel;2013;247;2;19;34;1;135;9;2;19;10;9;1;0;6
292;Dongeradeel;2014;244;2;16;34;1;135;9;2;19;10;9;1;0;6
293;Dongeradeel;2015;244;2;16;34;1;135;9;2;19;10;9;1;0;6
294;Dordrecht;2013;882;13;2;19;0;772;6;3;3;1;14;2;6;41
295;Dordrecht;2014;882;13;2;19;0;772;6;3;3;1;14;2;6;41
296;Dordrecht;2015;882;13;2;19;0;772;6;3;3;1;14;2;6;41
297;Drechterland;2013;62;2;0;13;0;14;0;0;26;3;2;1;0;1
298;Drechterland;2014;62;2;0;13;0;14;0;0;26;3;2;1;0;1
299;Drechterland;2015;62;2;0;13;0;14;0;0;26;3;2;1;0;1
300;Drimmelen;2013;58;3;4;9;0;30;0;0;7;3;1;0;0;1
301;Drimmelen;2014;58;3;4;9;0;30;0;0;7;3;1;0;0;1
302;Drimmelen;2015;58;3;5;9;0;30;0;0;7;3;0;0;0;1
303;Dronten;2013;1;0;0;0;0;0;0;0;0;0;1;0;0;0
304;Dronten;2014;1;0;0;0;0;0;0;0;0;0;1;0;0;0
305;Dronten;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0
306;Druten;2013;46;1;0;11;1;11;0;0;20;1;0;0;1;0
307;Druten;2014;46;1;0;11;1;11;0;0;20;1;0;0;1;0
308;Druten;2015;46;1;0;11;1;11;0;0;20;1;0;0;1;0
309;Duiven;2013;12;0;0;3;0;1;0;0;4;1;0;0;3;0
310;Duiven;2014;12;0;0;3;0;1;0;0;4;1;0;0;3;0
311;Duiven;2015;12;0;0;3;0;1;0;0;4;1;0;0;3;0
312;Echt-Susteren;2013;57;5;0;14;0;15;0;0;5;1;0;0;3;14
313;Echt-Susteren;2014;57;5;0;14;0;15;0;0;5;1;0;0;3;14
314;Echt-Susteren;2015;57;5;0;14;0;15;0;0;5;1;0;0;3;14
315;Edam-Volendam;2013;178;2;1;6;1;148;0;2;4;1;10;0;0;3
316;Edam-Volendam;2014;178;2;1;6;1;148;0;2;4;1;10;0;0;3
317;Edam-Volendam;2015;178;2;1;6;1;148;0;2;4;1;10;0;0;3
318;Ede;2013;197;53;15;5;0;53;0;0;28;5;1;0;6;31
319;Ede;2014;198;53;16;5;0;53;0;0;28;5;1;0;6;31
320;Ede;2015;198;53;16;5;0;53;0;0;28;5;1;0;6;31
321;Eemnes;2013;43;0;0;5;0;8;0;0;28;0;2;0;0;0
322;Eemnes;2014;43;0;0;5;0;8;0;0;28;0;2;0;0;0
323;Eemnes;2015;43;0;0;5;0;8;0;0;28;0;2;0;0;0
324;Eemsmond;2013;174;4;0;18;0;68;0;2;31;5;17;1;4;24
325;Eemsmond;2014;173;4;0;18;0;67;0;2;31;5;17;1;4;24
326;Eemsmond;2015;173;4;0;18;0;67;0;2;31;5;17;1;4;24
327;Eersel;2013;40;0;0;13;0;13;0;0;11;1;0;0;0;2
328;Eersel;2014;40;0;0;13;0;13;0;0;11;1;0;0;0;2
329;Eersel;2015;40;0;0;13;0;13;0;0;11;1;0;0;0;2
330;Eijsden-Margraten;2013;391;4;0;30;2;94;1;0;188;6;0;1;7;58
331;Eijsden-Margraten;2014;391;4;0;30;2;94;1;0;188;6;0;1;7;58
332;Eijsden-Margraten;2015;391;4;0;30;2;94;1;0;188;6;0;1;7;58
333;Eindhoven;2013;151;15;0;23;0;87;0;0;6;3;3;0;1;13
