ID;Bedrijfsafvalstoffen;NuttigeToepassingEnEindverwerking;BedrijfstakkenBranchesSBI2008;Perioden;Bedrijfsafval_1
35;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2007;217.0
36;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2008;336.0
37;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2009;218.0
38;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2010;244.0
39;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2011;200.0
40;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2012;213.0
41;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2013;209.0
42;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2014;209.0
43;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2015;183.0
44;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2016;97.0
45;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2017;90.0
46;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2018;107.0
47;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2019;97.0
48;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2020;112.0
49;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2021;100.0
50;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;1994;19245.0
51;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;1996;18761.0
52;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;1998;19183.0
53;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2000;19040.0
54;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2001;18074.0
55;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2002;17595.0
56;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2003;16971.0
57;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2004;16372.0
58;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2005;16150.0
59;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2006;15981.0
60;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2007;16315.0
61;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2008;16072.0
62;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2009;14339.0
63;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2010;14400.0
64;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2011;14630.0
65;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2012;14357.0
66;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2013;14053.0
67;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2014;13811.0
68;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2015;13858.0
69;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2016;14125.0
70;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2017;14654.0
71;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2018;14270.0
72;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2019;13716.0
73;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2020;13361.0
74;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;C Industrie;2021;13611.0
75;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;1994;10263.0
76;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;1996;9847.0
77;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;1998;9871.0
78;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2000;10278.0
79;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2001;10132.0
80;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2002;9705.0
81;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2003;9125.0
82;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2004;8438.0
83;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2005;8070.0
84;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2006;8076.0
85;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2007;8204.0
86;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2008;8144.0
87;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2009;8156.0
88;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2010;8216.0
89;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2011;8129.0
90;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2012;8242.0
91;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2013;8395.0
92;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2014;8207.0
93;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2015;8276.0
94;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2016;8478.0
95;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2017;8728.0
96;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2018;8762.0
97;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2019;8352.0
98;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2020;8277.0
99;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10-12 Voedings-, genotmiddelenindustrie;2021;8329.0
100;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;1994;9556.0
101;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;1996;9055.0
102;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;1998;9135.0
103;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2000;9477.0
104;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2001;9358.0
105;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2002;8926.0
106;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2003;8355.0
107;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2004;7686.0
108;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2005;7309.0
109;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2006;7299.0
110;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2007;7422.0
111;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2008;7297.0
112;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2009;7360.0
113;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2010;7380.0
114;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2011;7379.0
115;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2012;7564.0
116;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2013;7681.0
117;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2014;7544.0
118;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2015;7620.0
119;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2016;7799.0
120;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2017;8040.0
121;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2018;8067.0
122;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2019;7668.0
123;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2020;7632.0
124;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;10 Voedingsmiddelenindustrie;2021;7684.0
125;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;1994;675.0
126;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;1996;763.0
127;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;1998;715.0
128;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2000;778.0
129;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2001;750.0
130;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2002;757.0
131;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2003;749.0
132;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2004;729.0
133;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2005;736.0
134;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2006;755.0
135;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2007;761.0
136;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2008;825.0
137;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2009;774.0
138;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2010;820.0
139;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2011;734.0
140;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2012;663.0
141;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2013;699.0
142;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2014;651.0
143;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2015;650.0
144;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2016;674.0
145;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2017;684.0
146;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2018;692.0
147;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2019;681.0
148;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2020;643.0
149;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;11 Drankenindustrie;2021;643.0
150;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;1994;32.0
151;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;1996;28.0
152;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;1998;21.0
153;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2000;23.0
154;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2001;24.0
155;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2002;22.0
156;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2003;21.0
157;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2004;24.0
158;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2005;24.0
159;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2006;22.0
160;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2007;21.0
161;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2008;21.0
162;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2009;21.0
163;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2010;16.0
164;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2011;16.0
165;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2012;15.0
166;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2013;15.0
167;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2014;13.0
168;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2015;5.0
169;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2016;4.0
170;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2017;4.0
171;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2018;3.0
172;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2019;3.0
173;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2020;3.0
174;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;12 Tabaksindustrie;2021;3.0
175;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;1994;72.0
176;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;1996;67.0
177;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;1998;86.0
178;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2000;73.0
179;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2001;68.0
180;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2002;100.0
181;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2003;92.0
182;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2004;71.0
183;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2005;77.0
184;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2006;81.0
185;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2007;82.0
186;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2008;89.0
187;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2009;78.0
188;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2010;82.0
189;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2011;78.0
190;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2012;101.0
191;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2013;101.0
192;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2014;39.0
193;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2015;39.0
194;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2016;47.0
195;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2017;49.0
196;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2018;53.0
197;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2019;52.0
198;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2020;63.0
199;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;13-15 Textiel-, kleding-, lederindustrie;2021;59.0
200;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;1994;1036.0
201;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;1996;1061.0
202;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;1998;1117.0
203;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2000;1435.0
204;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2001;1270.0
205;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2002;1262.0
206;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2003;1197.0
207;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2004;1080.0
208;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2005;1125.0
209;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2006;1145.0
210;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2007;1136.0
211;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2008;1191.0
212;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2009;995.0
213;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2010;963.0
214;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2011;1032.0
215;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2012;914.0
216;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2013;846.0
217;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2014;818.0
218;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2015;834.0
219;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2016;705.0
220;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2017;750.0
221;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2018;665.0
222;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2019;688.0
223;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2020;629.0
224;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16+23 Hout- en bouwmaterialenindustrie;2021;640.0
225;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;1994;399.0
226;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;1996;296.0
227;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;1998;350.0
228;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2000;377.0
229;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2001;347.0
230;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2002;310.0
231;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2003;303.0
232;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2004;236.0
233;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2005;247.0
234;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2006;260.0
235;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2007;264.0
236;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2008;249.0
237;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2009;215.0
238;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2010;241.0
239;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2011;250.0
240;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2012;175.0
241;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2013;163.0
242;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2014;176.0
243;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2015;189.0
244;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2016;144.0
245;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2017;155.0
246;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2018;133.0
247;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2019;149.0
248;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2020;144.0
249;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;16 Houtindustrie;2021;148.0
250;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;1994;1034.0
251;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;1996;1012.0
252;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;1998;1143.0
253;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;2000;1256.0
254;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;2001;1208.0
255;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;2002;1206.0
256;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;17-18 Papier- en grafische industrie;2003;1230.0
