ID;Perioden;Ziektewet_1;Arbeidsongeschiktheid_2;WW_3;WWV_4;AOW_5;Anw_6;Gerechtigden_7;Telkinderen_8;AlgemeneBijstandsuitkeringen_9;IOAWUitkeringen_10;IOAZUitkeringen_11;BBZUitkeringen_12;BKRWIKWWIKUitkeringen_13;Arbeidsongeschiktheid_14;Werkloosheid_15;AOW_16;AKW_17;Ziektekostenverzekering_18;AlgemeneBijstandswetExclRWW_19;RechtstreekseBetalingen_20;Pensioenverzekeringen_21;OverigeSocialeVoorzieningen_22
26;1954;67.0;108.0;37.0;;360.0;;805.0;1939.0;;;;;0.1;134.0;53.0;119.0;157.0;163.0;102.0;107.0;205.0;56.0
27;1955;74.0;111.0;32.0;;369.0;;825.0;1982.0;;;;;0.1;150.0;56.0;126.0;168.0;196.0;111.0;119.0;233.0;79.0
28;1956;80.0;113.0;27.0;;369.0;;838.0;2010.0;;;;;0.2;188.0;45.0;133.0;176.0;211.0;120.0;132.0;249.0;99.0
29;1957;92.0;115.0;21.0;;739.0;;862.0;2058.0;;;;;0.2;227.0;33.0;378.0;196.0;239.0;123.0;141.0;285.0;98.0
30;1958;88.0;120.0;51.0;;765.0;;875.0;2076.0;;;;;0.2;233.0;83.0;411.0;218.0;265.0;133.0;145.0;324.0;122.0
31;1959;96.0;125.0;35.0;;788.0;106.0;899.0;2120.0;;;;;0.2;253.0;67.0;455.0;226.0;286.0;132.0;152.0;324.0;116.0
32;1960;101.0;133.0;22.0;;814.0;113.0;928.0;2178.0;;;;;0.2;286.0;47.0;585.0;259.0;315.0;133.0;162.0;337.0;125.0
33;1961;102.0;139.0;16.0;;830.0;112.0;964.0;2262.0;;;;;0.2;307.0;35.0;624.0;275.0;345.0;150.0;168.0;394.0;126.0
34;1962;112.0;145.0;19.0;;850.0;127.0;1002.0;2330.0;;;;;0.2;344.0;63.0;738.0;290.0;389.0;175.0;169.0;401.0;126.0
35;1963;119.0;153.0;28.0;;873.0;131.0;1333.0;3184.0;;;;;0.2;493.0;140.0;882.0;434.0;444.0;201.0;187.0;455.0;127.0
36;1964;123.0;170.0;18.0;;901.0;134.0;1410.0;3383.0;;;;;0.3;603.0;78.0;1063.0;545.0;543.0;188.0;230.0;565.0;179.0
37;1965;133.0;194.0;22.0;4.0;926.0;137.0;1442.0;3460.0;87.0;;;;0.4;723.0;96.0;1502.0;609.0;625.0;187.0;263.0;593.0;196.0
38;1966;139.0;224.0;28.0;7.0;952.0;142.0;1486.0;3605.0;100.0;;;;0.5;843.0;147.0;1701.0;713.0;756.0;261.0;285.0;688.0;214.0
39;1967;148.0;236.0;50.0;18.0;979.0;144.0;1508.0;3635.0;115.0;;;;0.5;777.0;235.0;1880.0;792.0;910.0;331.0;311.0;776.0;237.0
40;1968;180.0;252.0;44.0;27.0;1006.0;147.0;1537.0;3683.0;142.0;;;;0.7;1318.0;252.0;2024.0;847.0;1313.0;189.0;353.0;870.0;307.0
41;1969;202.0;278.0;34.0;20.0;1035.0;151.0;1585.0;3782.0;164.0;;;;0.6;1468.0;250.0;2380.0;940.0;1604.0;236.0;461.0;990.0;479.0
42;1970;223.0;295.0;25.0;20.0;1061.0;152.0;1614.0;3827.0;170.0;;;;0.8;1703.0;295.0;2709.0;1039.0;1930.0;332.0;538.0;1112.0;545.0
43;1971;223.0;312.0;32.0;20.0;1088.0;156.0;1650.0;3901.0;178.0;;;;0.9;2035.0;335.0;3202.0;1186.0;2456.0;423.0;651.0;1312.0;675.0
44;1972;232.0;332.0;55.0;34.0;1116.0;160.0;1685.0;3967.0;189.0;;;;1.0;2473.0;576.0;3628.0;1325.0;3041.0;512.0;773.0;1515.0;848.0
45;1973;244.0;353.0;45.0;42.0;1141.0;164.0;1701.0;3999.0;193.0;;;;1.1;2980.0;640.0;4305.0;1453.0;3551.0;817.0;890.0;1772.0;861.0
46;1974;261.0;374.0;56.0;46.0;1171.0;162.0;1743.0;4077.0;214.0;;;;1.2;3711.0;895.0;5079.0;1631.0;4229.0;1070.0;1027.0;2090.0;692.0
47;1975;267.0;406.0;73.0;70.0;1197.0;164.0;1753.0;4110.0;256.0;;;;1.6;4505.0;1469.0;5967.0;1799.0;5113.0;1440.0;1242.0;2481.0;1566.0
48;1976;273.0;527.0;60.0;86.0;1221.0;167.0;1770.0;4153.0;229.0;;;;1.9;5397.0;1808.0;6947.0;1961.0;5805.0;1590.0;1451.0;2839.0;1746.0
49;1977;277.0;580.0;53.0;85.0;1252.0;168.0;1766.0;4126.0;221.0;;;;2.1;6488.0;1778.0;7719.0;2065.0;6514.0;1615.0;2020.0;3150.0;1891.0
50;1978;289.0;625.0;47.0;83.0;1280.0;169.0;1763.0;4074.0;198.0;;;;2.4;7627.0;1901.0;8545.0;2315.0;7208.0;1672.0;2140.0;3408.0;1532.0
51;1979;293.0;660.0;48.0;80.0;1309.0;169.0;1751.0;3959.0;202.0;;;;2.6;8350.0;2458.0;9150.0;2509.0;7862.0;1851.0;2388.0;3709.0;2086.0
52;1980;293.0;661.0;69.0;87.0;1333.0;171.0;2078.0;4486.0;230.0;;;;3.0;9138.0;2462.0;9937.0;3161.0;8704.0;2052.0;2147.0;3971.0;2240.0
53;1981;276.0;689.0;124.0;139.0;1356.0;171.0;2189.0;4627.0;265.0;;;;3.2;9444.0;3830.0;10439.0;3179.0;9427.0;2350.0;2122.0;4302.0;2470.0
54;1982;261.0;711.0;145.0;219.0;1376.0;173.0;2185.0;4694.0;340.0;;;;3.3;9913.0;5592.0;11115.0;3299.0;10255.0;2588.0;2118.0;4896.0;2774.0
55;1983;248.0;730.0;146.0;245.0;1393.0;175.0;2184.0;4706.0;472.0;;;;3.4;10230.0;6876.0;11314.0;3343.0;10443.0;2705.0;2078.0;5296.0;2955.0
56;1984;250.0;751.0;125.0;213.0;1410.0;175.0;2178.0;4696.0;550.0;;;;;10641.0;6908.0;11420.0;3372.0;10476.0;2572.0;2092.0;5668.0;2714.0
57;1985;245.0;767.0;108.0;174.0;1862.0;177.0;2166.0;4660.0;583.0;;;;;10519.0;6496.0;11949.0;3393.0;11183.0;1684.0;3156.0;6052.0;3426.0
58;1986;263.0;783.0;94.0;148.0;1898.0;176.0;2113.0;4429.0;575.0;;;;;10842.0;6220.0;12406.0;3211.0;11317.0;1644.0;3297.0;6740.0;3242.0
59;1987;277.0;793.0;170.0;62.0;1934.0;171.0;1932.0;3643.0;568.0;15.0;0.0;;;11011.0;5873.0;12644.0;2508.0;11831.0;1710.0;3431.0;7327.0;3546.0
60;1988;288.0;814.0;210.0;15.0;1976.0;169.0;1895.0;3575.0;578.0;17.0;1.0;;;11169.0;5493.0;13048.0;2595.0;12098.0;1750.0;3575.0;7727.0;3909.0
61;1989;318.0;845.0;211.0;;2011.0;188.0;1857.0;3515.0;562.0;18.0;2.0;;;11739.0;5119.0;13577.0;2675.0;13116.0;1740.0;3863.0;8155.0;3495.0
62;1990;348.0;879.0;205.0;;2040.0;193.0;1810.0;3442.0;522.0;18.0;3.0;;;12973.0;5062.0;13352.0;2763.0;14025.0;1831.0;4198.0;8708.0;3578.0
63;1991;348.0;904.0;207.0;;2069.0;195.0;1800.0;3430.0;501.0;17.0;3.0;;;13464.0;5309.0;13955.0;2872.0;15403.0;1958.0;4273.0;9295.0;3750.0
64;1992;341.0;913.0;249.0;;2097.0;195.0;1806.0;3444.0;492.0;17.0;3.0;;;13805.0;5696.0;14538.0;3057.0;17227.0;2039.0;4486.0;10108.0;3792.0
65;1993;345.0;921.0;332.0;;2127.0;195.0;1805.0;3446.0;497.0;19.0;4.0;;;14035.0;2963.0;14912.0;3091.0;18258.0;1813.0;4619.0;10814.0;
66;1994;215.0;894.0;410.0;;2152.0;196.0;1811.0;3464.0;505.0;20.0;4.0;;;11837.0;3669.0;14769.0;3187.0;18899.0;1757.0;5304.0;11461.0;
67;1995;220.0;860.0;395.0;;2186.0;196.0;1813.0;3468.0;502.0;19.0;4.0;;;11364.0;3716.0;15180.0;2955.0;19495.0;1661.0;5402.0;11301.0;
68;1996;135.0;855.0;376.0;;2216.0;193.0;1807.0;3433.0;495.0;19.0;;;;9893.0;3641.0;15853.0;2898.0;19229.0;;5358.0;12453.0;
69;1997;97.0;865.0;335.0;;2248.0;187.0;1809.0;3419.0;451.0;19.0;;;;9142.0;3204.0;16609.0;2834.0;23127.0;;5502.0;14779.0;
70;1998;104.0;907.0;287.0;;2276.0;180.0;1811.0;3397.0;412.0;19.9;4.0;;;10389.0;2789.0;17578.0;2870.0;;;;15604.0;
71;1999;108.0;926.0;223.0;;2305.0;174.0;1825.0;3406.0;381.0;21.4;3.8;;3.6;11119.0;2274.0;18399.0;2828.0;;;;;
72;2000;106.0;957.0;189.0;;2334.0;168.0;1842.0;3424.0;354.0;19.1;3.5;;4.3;11604.0;1954.0;19098.0;2971.0;;;;;
73;2001;106.0;981.0;166.0;;2366.0;163.0;1865.0;3452.0;342.0;18.9;3.2;;4.2;12140.0;1913.0;20284.0;3043.0;;;;;
74;2002;79.0;993.0;204.0;;2402.0;158.0;1890.0;3480.0;341.0;18.4;2.8;;4.2;12281.0;2277.0;21376.0;3136.0;;;;;
75;2003;66.0;982.0;287.0;;2446.0;151.0;1911.0;3506.0;359.0;16.2;2.5;;3.2;12295.0;3244.0;22427.0;3217.0;;;;;
76;2004;64.0;961.0;323.0;;2499.0;145.0;1920.0;3511.0;363.0;13.6;2.3;;3.1;12299.0;4010.0;22890.0;3225.0;;;;;
77;2005;77.0;899.0;305.0;;2554.0;138.0;1923.0;3506.0;355.0;11.0;2.1;;3.0;11923.0;4076.0;23369.0;3192.0;;;;;
78;2006;91.0;863.0;249.0;;2605.0;131.0;1927.0;3503.0;329.0;6.6;1.8;;2.4;11686.0;3564.0;24169.0;3263.0;;;;;
79;2007;88.0;847.0;192.0;;2664.0;123.0;1928.0;3492.0;305.0;5.6;1.7;2.5;2.3;11831.0;2863.0;25199.0;3349.0;;;;;
80;2008;82.0;838.0;171.0;;2735.0;115.0;1930.0;3485.0;292.0;6.3;1.5;2.8;2.3;12091.0;2428.0;26447.0;3390.0;;;;;
81;2009;88.0;834.0;270.0;;2813.0;106.0;1933.0;3481.0;317.0;8.2;1.4;3.4;2.6;12438.0;3541.0;27580.0;3401.0;;;;;
82;2010;98.0;832.0;264.0;;2881.0;98.0;1932.0;3472.0;345.0;9.6;1.4;3.7;3.1;12779.0;4408.0;28618.0;3371.0;;;;;
83;2011;100.0;825.0;270.0;;3017.0;87.0;1934.0;3468.0;359.0;9.8;1.4;3.6;3.3;12820.0;4282.0;29995.0;3346.0;;;;;
84;2012;100.0;817.0;340.0;;3136.0;75.0;1928.0;3440.0;370.0;11.4;1.4;4.0;;12348.0;4952.0;31415.0;3236.0;;;;;
85;2013;96.0;818.0;438.0;;3223.0;55.0;1919.0;3415.0;399.0;14.1;1.6;4.3;;12361.0;6290.0;32719.0;3229.0;;;;;
86;2014;92.0;820.0;441.0;;3304.0;42.0;1915.0;3401.0;418.0;17.2;1.7;4.1;;12437.0;6853.0;34119.0;3202.0;;;;;
87;2015;88.0;807.0;446.0;;3371.0;36.0;1907.0;3400.0;428.0;20.5;1.7;4.0;;12638.0;6442.0;35792.0;3207.0;;;;;
88;2016;91.0;807.0;412.0;;3398.0;34.0;1901.0;3379.0;442.0;23.3;1.8;3.8;;12894.0;5619.0;36837.0;3288.0;;;;;
89;2017;90.0;807.0;330.0;;3422.0;31.0;1894.0;3362.0;434.0;23.8;1.8;3.8;;13333.0;5108.0;37398.0;3304.0;;;;;
90;2018;95.0;812.0;263.0;;3445.0;29.0;1898.0;3367.0;414.0;22.8;1.8;3.4;;13691.0;4336.0;38052.0;3346.0;;;;;
91;2019;98.0;818.0;223.0;;3452.0;28.0;1883.0;3337.0;401.0;21.7;1.8;3.1;;14274.0;3810.0;39418.0;3627.0;;;;;
92;2020;107.0;816.0;286.0;;3515.0;26.0;1880.0;3334.0;415.0;20.0;1.7;2.2;;14873.0;4121.0;41150.0;3626.0;;;;;
93;2021;107.0;818.0;192.0;;3578.0;23.0;1871.0;3320.0;399.0;16.9;1.5;17.0;;15252.0;3779.0;42841.0;3649.0;;;;;
94;2022;102.0;828.0;149.0;;3588.0;23.0;1870.0;3319.0;388.0;14.6;1.5;2.2;;16121.0;2705.0;43986.0;3900.0;;;;;
95;2023;100.0;841.0;161.0;;3598.0;22.0;1873.0;3325.0;392.0;12.6;1.5;1.9;;18419.0;2896.0;47727.0;4327.0;;;;;
