ID;Vegetables;Periodes;GrossYield_1;CroppingArea_2
89;Vegetables open field;2006;2364.9;78886
90;Vegetables open field;2007;2611.0;81701
91;Vegetables open field;2008;2717.2;81985
92;Vegetables open field;2009;2737.3;78807
93;Vegetables open field;2010;2657.4;78576
94;Vegetables open field;2011;2919.6;80259
95;Vegetables open field;2012;2799.7;76189
96;Vegetables open field;2013;2742.4;77607
97;Vegetables open field;2014;2856.4;76300
98;Vegetables open field;2015;3008.3;79668
99;Vegetables open field;2016;2947.1;80778
100;Vegetables open field;2017;3447.8;86591
101;Vegetables open field;2018;2721.8;86329
102;Vegetables open field;2019;3351.5;90394
103;Vegetables open field;2020;3276.8;89392
104;Vegetables open field;2021;3599.2;96790
105;Vegetables open field;2022;2953.8;85877
106;Vegetables open field;2023;3140.0;87802
107;Vegetables open field;2024;3395.6;94141
108;Strawberries (total);1998;35.9;1527
109;Strawberries (total);1999;34.8;1455
110;Strawberries (total);2000;34.3;1384
111;Strawberries (total);2001;34.0;1368
112;Strawberries (total);2002;35.2;1389
113;Strawberries (total);2003;35.9;1450
114;Strawberries (total);2004;36.5;1560
115;Strawberries (total);2005;39.0;1600
116;Strawberries (total);2006;39.2;1702
117;Strawberries (total);2007;43.0;1701
118;Strawberries (total);2008;42.2;1619
119;Strawberries (total);2009;43.0;1635
120;Strawberries (total);2010;42.7;1632
121;Strawberries (total);2011;47.0;1652
122;Strawberries (total);2012;49.7;1802
123;Strawberries (total);2013;51.0;1765
124;Strawberries (total);2014;57.7;1792
125;Strawberries (total);2015;57.7;1768
126;Strawberries (total);2016;61.2;1724
127;Strawberries (total);2017;66.1;1692
128;Strawberries (total);2018;64.8;1620
129;Strawberries (total);2019;75.6;1638
130;Strawberries (total);2020;77.6;1525
131;Strawberries (total);2021;85.8;1541
132;Strawberries (total);2022;87.1;1441
133;Strawberries (total);2023;79.1;1420
134;Strawberries (total);2024;86.4;1427
135;Strawberries, production;1998;21.7;1357
136;Strawberries, production;1999;20.6;1285
137;Strawberries, production;2000;19.3;1204
138;Strawberries, production;2001;19.0;1188
139;Strawberries, production;2002;19.2;1200
140;Strawberries, production;2003;19.4;1250
141;Strawberries, production;2004;21.0;1350
142;Strawberries, production;2005;22.0;1375
143;Strawberries, production;2006;19.7;1457
144;Strawberries, production;2007;22.0;1436
145;Strawberries, production;2008;21.0;1350
146;Strawberries, production;2009;22.5;1360
147;Strawberries, production;2010;21.3;1347
148;Strawberries, production;2011;23.0;1342
149;Strawberries, production;2012;25.3;1487
150;Strawberries, production;2013;24.0;1424
151;Strawberries, production;2014;28.8;1442
152;Strawberries, production;2015;29.1;1411
153;Strawberries, production;2016;28.7;1364
154;Strawberries, production;2017;24.6;1296
155;Strawberries, production;2018;24.2;1234
156;Strawberries, production;2019;23.7;1149
157;Strawberries, production;2020;20.7;1021
158;Strawberries, production;2021;19.9;968
159;Strawberries, production;2022;19.9;874
160;Strawberries, production;2023;19.4;849
161;Strawberries, production;2024;20.4;825
162;Leafy and stalked vegetables (total);1998;327.5;16324
163;Leafy and stalked vegetables (total);1999;378.0;17787
164;Leafy and stalked vegetables (total);2000;349.0;16326
165;Leafy and stalked vegetables (total);2001;327.0;15220
166;Leafy and stalked vegetables (total);2002;329.5;15144
167;Leafy and stalked vegetables (total);2003;329.5;14905
168;Leafy and stalked vegetables (total);2004;328.0;14044
169;Leafy and stalked vegetables (total);2005;317.5;14082
170;Leafy and stalked vegetables (total);2006;317.0;14882
171;Leafy and stalked vegetables (total);2007;363.0;15215
172;Leafy and stalked vegetables (total);2008;334.0;14857
173;Leafy and stalked vegetables (total);2009;318.9;14417
174;Leafy and stalked vegetables (total);2010;313.3;14534
175;Leafy and stalked vegetables (total);2011;304.6;14750
176;Leafy and stalked vegetables (total);2012;308.0;14726
177;Leafy and stalked vegetables (total);2013;324.3;15314
178;Leafy and stalked vegetables (total);2014;324.2;14166
179;Leafy and stalked vegetables (total);2015;348.5;15048
180;Leafy and stalked vegetables (total);2016;336.8;14825
181;Leafy and stalked vegetables (total);2017;369.6;16458
182;Leafy and stalked vegetables (total);2018;345.6;15777
183;Leafy and stalked vegetables (total);2019;356.3;15880
184;Leafy and stalked vegetables (total);2020;355.2;15737
185;Leafy and stalked vegetables (total);2021;388.8;16423
186;Leafy and stalked vegetables (total);2022;336.8;15046
187;Leafy and stalked vegetables (total);2023;349.0;13616
188;Leafy and stalked vegetables (total);2024;364.7;14589
189;Belgian endive;1998;60.0;4086
190;Belgian endive;1999;75.0;4988
191;Belgian endive;2000;70.0;4251
192;Belgian endive;2001;63.0;3678
193;Belgian endive;2002;70.0;3718
194;Belgian endive;2003;64.0;3423
195;Belgian endive;2004;59.0;2937
196;Belgian endive;2005;67.0;3349
197;Belgian endive;2006;56.0;3592
198;Belgian endive;2007;68.0;3478
199;Belgian endive;2008;60.0;3162
200;Belgian endive;2009;55.5;3012
201;Belgian endive;2010;53.0;3016
202;Belgian endive;2011;50.0;3272
203;Belgian endive;2012;52.0;3357
204;Belgian endive;2013;57.0;3345
205;Belgian endive;2014;50.5;2963
206;Belgian endive;2015;51.7;2952
207;Belgian endive;2016;49.1;2892
208;Belgian endive;2017;54.8;3222
209;Belgian endive;2018;52.7;3102
210;Belgian endive;2019;52.6;3095
211;Belgian endive;2020;53.3;3136
212;Belgian endive;2021;58.9;3466
213;Belgian endive;2022;50.3;2958
214;Belgian endive;2023;40.0;2353
215;Belgian endive;2024;48.9;2875
216;Lettuce, leafy and other kinds;1998;31.0;1117
217;Lettuce, leafy and other kinds;1999;28.0;1050
218;Lettuce, leafy and other kinds;2000;22.0;1013
219;Lettuce, leafy and other kinds;2001;20.0;850
220;Lettuce, leafy and other kinds;2002;18.0;750
221;Lettuce, leafy and other kinds;2003;18.0;750
222;Lettuce, leafy and other kinds;2004;17.5;750
223;Lettuce, leafy and other kinds;2005;15.0;650
224;Lettuce, leafy and other kinds;2006;13.5;625
225;Lettuce, leafy and other kinds;2007;14.0;600
226;Lettuce, leafy and other kinds;2008;14.5;750
227;Lettuce, leafy and other kinds;2009;14.0;775
228;Lettuce, leafy and other kinds;2010;14.3;800
229;Lettuce, leafy and other kinds;2011;17.2;885
230;Lettuce, leafy and other kinds;2012;17.5;875
231;Lettuce, leafy and other kinds;2013;23.7;1303
232;Lettuce, leafy and other kinds;2014;28.3;1164
233;Lettuce, leafy and other kinds;2015;29.2;1097
234;Lettuce, leafy and other kinds;2016;26.2;1066
235;Lettuce, leafy and other kinds;2017;23.7;1073
236;Lettuce, leafy and other kinds;2018;21.9;928
237;Lettuce, leafy and other kinds;2019;15.6;758
238;Lettuce, leafy and other kinds;2020;14.7;678
239;Lettuce, leafy and other kinds;2021;18.5;721
240;Lettuce, leafy and other kinds;2022;14.9;616
241;Lettuce, leafy and other kinds;2023;16.9;603
242;Lettuce, leafy and other kinds;2024;22.2;674
243;Lettuce, iceberg;1998;55.0;1833
244;Lettuce, iceberg;1999;55.0;2000
245;Lettuce, iceberg;2000;50.0;2000
246;Lettuce, iceberg;2001;45.0;1800
247;Lettuce, iceberg;2002;48.0;1800
248;Lettuce, iceberg;2003;50.0;2000
249;Lettuce, iceberg;2004;55.0;2000
250;Lettuce, iceberg;2005;59.0;1950
251;Lettuce, iceberg;2006;58.0;2075
252;Lettuce, iceberg;2007;72.0;2400
253;Lettuce, iceberg;2008;76.0;2800
254;Lettuce, iceberg;2009;72.0;2700
255;Lettuce, iceberg;2010;69.0;2600
256;Lettuce, iceberg;2011;69.0;2500
257;Lettuce, iceberg;2012;75.0;2600
258;Lettuce, iceberg;2013;56.1;1967
259;Lettuce, iceberg;2014;76.1;2154
260;Lettuce, iceberg;2015;90.3;2383
261;Lettuce, iceberg;2016;88.6;2408
262;Lettuce, iceberg;2017;83.6;2378
263;Lettuce, iceberg;2018;84.8;2420
264;Lettuce, iceberg;2019;86.0;2480
265;Lettuce, iceberg;2020;89.7;2514
266;Lettuce, iceberg;2021;90.6;2331
267;Lettuce, iceberg;2022;88.4;2533
268;Lettuce, iceberg;2023;90.4;2261
269;Lettuce, iceberg;2024;92.9;2332
270;Leeks;1998;75.0;3679
271;Leeks;1999;117.0;4018
272;Leeks;2000;95.0;3410
273;Leeks;2001;100.0;3129
274;Leeks;2002;95.0;3300
275;Leeks;2003;104.0;3250
276;Leeks;2004;104.0;3050
277;Leeks;2005;82.0;2725
278;Leeks;2006;102.0;3100
279;Leeks;2007;114.0;3250
280;Leeks;2008;95.0;3150
281;Leeks;2009;96.0;3000
282;Leeks;2010;100.0;2950
283;Leeks;2011;90.0;2850
284;Leeks;2012;93.0;2700
285;Leeks;2013;110.0;2895
286;Leeks;2014;90.8;2389
287;Leeks;2015;86.3;2397
288;Leeks;2016;82.2;2328
289;Leeks;2017;104.3;2729
290;Leeks;2018;82.2;2372
291;Leeks;2019;92.4;2542
292;Leeks;2020;89.8;2534
293;Leeks;2021;105.0;2838
294;Leeks;2022;95.1;2635
295;Leeks;2023;126.2;2790
296;Leeks;2024;128.5;3176
297;Asparagus (total);1998;17.0;2345
298;Asparagus (total);1999;13.5;2260
299;Asparagus (total);2000;14.5;2125
300;Asparagus (total);2001;12.0;2158
301;Asparagus (total);2002;13.5;2214
302;Asparagus (total);2003;15.0;2141
303;Asparagus (total);2004;15.0;2100
304;Asparagus (total);2005;15.0;2060
305;Asparagus (total);2006;14.0;2088
306;Asparagus (total);2007;15.0;2065
307;Asparagus (total);2008;14.0;2071
308;Asparagus (total);2009;14.5;2138
309;Asparagus (total);2010;14.3;2253
310;Asparagus (total);2011;17.0;2415
311;Asparagus (total);2012;15.7;2494
312;Asparagus (total);2013;15.7;2591
313;Asparagus (total);2014;15.9;2642
314;Asparagus (total);2015;17.1;2944
315;Asparagus (total);2016;18.6;2994
316;Asparagus (total);2017;20.8;3322
317;Asparagus (total);2018;19.0;3104
318;Asparagus (total);2019;18.1;2946
319;Asparagus (total);2020;17.9;2899
320;Asparagus (total);2021;17.5;2858
321;Asparagus (total);2022;15.5;2613
322;Asparagus (total);2023;14.5;2379
323;Asparagus (total);2024;13.3;2190
324;Tuberous and root vegetables (total);1998;1004.0;30207
325;Tuberous and root vegetables (total);1999;1469.0;32659
326;Tuberous and root vegetables (total);2000;1453.0;31319
327;Tuberous and root vegetables (total);2001;1374.0;31056
328;Tuberous and root vegetables (total);2002;1473.0;32156
329;Tuberous and root vegetables (total);2003;1474.0;34813
330;Tuberous and root vegetables (total);2004;1908.0;37690
331;Tuberous and root vegetables (total);2005;1689.0;33009
332;Tuberous and root vegetables (total);2006;1599.0;36347
333;Tuberous and root vegetables (total);2007;1756.0;37877
334;Tuberous and root vegetables (total);2008;1866.0;37585
335;Tuberous and root vegetables (total);2009;1959.0;38120
336;Tuberous and root vegetables (total);2010;1908.0;40266
337;Tuberous and root vegetables (total);2011;2173.4;42008
338;Tuberous and root vegetables (total);2012;2080.1;39593
339;Tuberous and root vegetables (total);2013;2004.1;41103
340;Tuberous and root vegetables (total);2014;2086.5;41827
341;Tuberous and root vegetables (total);2015;2213.2;43684
342;Tuberous and root vegetables (total);2016;2198.9;44910
343;Tuberous and root vegetables (total);2017;2587.8;47350
344;Tuberous and root vegetables (total);2018;1963.4;47292
345;Tuberous and root vegetables (total);2019;2524.9;49970
346;Tuberous and root vegetables (total);2020;2448.0;49082
347;Tuberous and root vegetables (total);2021;2727.7;52755
348;Tuberous and root vegetables (total);2022;2139.6;44777
349;Tuberous and root vegetables (total);2023;2271.1;46010
350;Tuberous and root vegetables (total);2024;2496.6;50870
351;Onions (total);1998;613.0;18349
352;Onions (total);1999;860.0;19682
353;Onions (total);2000;929.0;19979
354;Onions (total);2001;864.0;20465
355;Onions (total);2002;918.0;21101
356;Onions (total);2003;909.0;23243
357;Onions (total);2004;1301.0;26212
358;Onions (total);2005;1082.0;22520
359;Onions (total);2006;942.0;24634
360;Onions (total);2007;1085.0;26178
361;Onions (total);2008;1236.0;26141
362;Onions (total);2009;1269.0;26026
363;Onions (total);2010;1302.0;28866
364;Onions (total);2011;1540.9;29842
365;Onions (total);2012;1410.0;27235
366;Onions (total);2013;1309.7;28616
367;Onions (total);2014;1379.0;30199
368;Onions (total);2015;1504.1;32157
369;Onions (total);2016;1449.4;32723
370;Onions (total);2017;1779.6;34356
371;Onions (total);2018;1264.8;34509
372;Onions (total);2019;1737.6;36512
373;Onions (total);2020;1701.3;35945
374;Onions (total);2021;1916.4;39507
375;Onions (total);2022;1496.3;33486
376;Onions (total);2023;1605.3;34955
377;Onions (total);2024;1803.3;38712
378;Radishes;1998;45.0;159
379;Radishes;1999;39.0;159
380;Radishes;2000;35.0;165
381;Radishes;2001;35.0;155
382;Radishes;2002;32.0;140
383;Radishes;2003;30.0;139
384;Radishes;2004;28.0;130
385;Radishes;2005;28.0;125
386;Radishes;2006;26.0;120
387;Radishes;2007;25.0;115
388;Radishes;2008;24.0;109
389;Radishes;2009;23.0;106
390;Radishes;2010;23.0;106
391;Radishes;2011;23.5;105
392;Radishes;2012;23.0;100
393;Radishes;2013;24.0;105
394;Radishes;2014;25.5;105
395;Radishes;2015;24.0;100
396;Radishes;2016;24.0;100
397;Radishes;2017;23.0;95
398;Radishes;2018;24.0;100
399;Radishes;2019;24.0;100
400;Radishes;2020;25.0;105
401;Radishes;2021;25.0;106
402;Radishes;2022;25.0;105
403;Radishes;2023;23.5;100
404;Radishes;2024;21.9;97
405;Bunched and washed carrots;1998;104.0;3572
406;Bunched and washed carrots;1999;151.0;3672
407;Bunched and washed carrots;2000;132.0;3433
408;Bunched and washed carrots;2001;118.0;3060
409;Bunched and washed carrots;2002;135.0;3300
410;Bunched and washed carrots;2003;127.0;3300
411;Bunched and washed carrots;2004;129.0;3150
412;Bunched and washed carrots;2005;137.0;2980
413;Bunched and washed carrots;2006;137.0;3100
414;Bunched and washed carrots;2007;144.0;3125
415;Bunched and washed carrots;2008;146.0;3200
416;Bunched and washed carrots;2009;140.0;3250
417;Bunched and washed carrots;2010;119.0;2950
418;Bunched and washed carrots;2011;125.0;3200
419;Bunched and washed carrots;2012;120.8;3150
420;Bunched and washed carrots;2013;125.1;3100
421;Bunched and washed carrots;2014;141.7;2590
422;Bunched and washed carrots;2015;148.4;2666
423;Bunched and washed carrots;2016;150.5;2817
424;Bunched and washed carrots;2017;167.1;2885
425;Bunched and washed carrots;2018;153.9;3008
426;Bunched and washed carrots;2019;169.0;3147
427;Bunched and washed carrots;2020;160.7;3047
428;Bunched and washed carrots;2021;157.9;3128
429;Bunched and washed carrots;2022;139.4;2566
430;Bunched and washed carrots;2023;163.4;2746
431;Bunched and washed carrots;2024;159.5;3101
432;Cabbages (total);1998;334.5;11732
433;Cabbages (total);1999;353.5;12644
434;Cabbages (total);2000;326.5;12227
435;Cabbages (total);2001;298.5;11639
436;Cabbages (total);2002;308.0;11563
437;Cabbages (total);2003;334.5;11778
438;Cabbages (total);2004;337.5;11237
439;Cabbages (total);2005;324.0;10737
440;Cabbages (total);2006;321.5;11499
441;Cabbages (total);2007;351.0;11794
442;Cabbages (total);2008;373.5;12057
443;Cabbages (total);2009;340.5;11807
444;Cabbages (total);2010;335.4;11662
445;Cabbages (total);2011;339.2;11629
446;Cabbages (total);2012;314.4;11076
447;Cabbages (total);2013;315.5;10657
448;Cabbages (total);2014;332.4;10102
449;Cabbages (total);2015;335.2;10298
450;Cabbages (total);2016;307.8;10224
451;Cabbages (total);2017;342.1;11090
452;Cabbages (total);2018;278.7;10804
453;Cabbages (total);2019;310.1;10710
454;Cabbages (total);2020;315.3;11102
455;Cabbages (total);2021;305.6;11704
456;Cabbages (total);2022;314.1;11426
457;Cabbages (total);2023;333.6;10595
458;Cabbages (total);2024;357.3;11767
459;White cabbage;1998;130.0;1730
460;White cabbage;1999;130.0;1730
461;White cabbage;2000;120.0;1731
462;White cabbage;2001;114.0;1565
463;White cabbage;2002;124.0;1700
464;White cabbage;2003;129.0;1714
465;White cabbage;2004;128.0;1625
466;White cabbage;2005;128.0;1505
467;White cabbage;2006;132.0;1667
468;White cabbage;2007;137.0;1650
469;White cabbage;2008;144.0;1734
470;White cabbage;2009;133.0;1661
471;White cabbage;2010;132.0;1607
472;White cabbage;2011;137.0;1692
473;White cabbage;2012;130.9;1636
474;White cabbage;2013;140.5;1681
475;White cabbage;2014;144.8;1664
476;White cabbage;2015;142.3;1636
477;White cabbage;2016;129.2;1638
478;White cabbage;2017;137.6;1678
479;White cabbage;2018;98.0;1487
480;White cabbage;2019;114.5;1471
481;White cabbage;2020;116.6;1509
482;White cabbage;2021;96.5;1389
483;White cabbage;2022;105.7;1427
484;White cabbage;2023;125.0;1377
485;White cabbage;2024;124.7;1585
486;Red cabbage;1998;40.0;825
487;Red cabbage;1999;35.0;720
488;Red cabbage;2000;35.0;682
489;Red cabbage;2001;30.0;606
490;Red cabbage;2002;35.0;629
491;Red cabbage;2003;35.0;662
492;Red cabbage;2004;40.0;700
493;Red cabbage;2005;40.0;608
494;Red cabbage;2006;39.0;667
495;Red cabbage;2007;41.0;674
496;Red cabbage;2008;43.0;668
497;Red cabbage;2009;39.5;636
498;Red cabbage;2010;39.9;644
499;Red cabbage;2011;41.2;643
500;Red cabbage;2012;35.1;566
501;Red cabbage;2013;36.8;569
502;Red cabbage;2014;39.2;560
503;Red cabbage;2015;35.8;512
504;Red cabbage;2016;36.0;575
505;Red cabbage;2017;49.7;674
506;Red cabbage;2018;27.2;501
507;Red cabbage;2019;40.4;599
508;Red cabbage;2020;40.5;623
509;Red cabbage;2021;40.5;636
510;Red cabbage;2022;35.9;579
511;Red cabbage;2023;41.2;555
512;Red cabbage;2024;35.9;557
513;Chinese cabbage;1998;5.5;195
514;Chinese cabbage;1999;8.0;280
515;Chinese cabbage;2000;8.0;287
516;Chinese cabbage;2001;9.0;252
517;Chinese cabbage;2002;9.0;252
518;Chinese cabbage;2003;9.0;250
519;Chinese cabbage;2004;10.5;280
520;Chinese cabbage;2005;10.5;280
521;Chinese cabbage;2006;10.5;315
522;Chinese cabbage;2007;10.0;330
523;Chinese cabbage;2008;10.5;330
524;Chinese cabbage;2009;10.0;330
525;Chinese cabbage;2010;10.9;350
526;Chinese cabbage;2011;10.9;350
527;Chinese cabbage;2012;10.5;350
528;Chinese cabbage;2013;11.0;384
529;Chinese cabbage;2014;12.7;410
530;Chinese cabbage;2015;9.9;290
531;Chinese cabbage;2016;10.1;290
532;Chinese cabbage;2017;6.4;206
533;Chinese cabbage;2018;10.5;308
534;Chinese cabbage;2019;9.1;302
535;Chinese cabbage;2020;8.8;295
536;Chinese cabbage;2021;6.9;254
537;Chinese cabbage;2022;9.3;270
538;Chinese cabbage;2023;12.0;308
539;Chinese cabbage;2024;13.2;332
540;Kale;1998;7.0;449
541;Kale;1999;13.0;699
542;Kale;2000;15.0;788
543;Kale;2001;11.0;750
544;Kale;2002;9.0;750
545;Kale;2003;13.5;750
546;Kale;2004;14.0;725
547;Kale;2005;14.0;725
548;Kale;2006;11.0;700
549;Kale;2007;13.0;700
550;Kale;2008;13.0;700
551;Kale;2009;13.5;700
552;Kale;2010;13.0;700
553;Kale;2011;13.5;700
554;Kale;2012;13.0;700
555;Kale;2013;7.7;418
556;Kale;2014;5.6;329
557;Kale;2015;6.3;358
558;Kale;2016;6.8;361
559;Kale;2017;6.7;361
560;Kale;2018;7.2;360
561;Kale;2019;7.0;340
562;Kale;2020;7.1;366
563;Kale;2021;7.3;392
564;Kale;2022;7.1;359
565;Kale;2023;6.0;282
566;Kale;2024;10.9;446
567;Legumes (vegetables) (total);1998;106.1;12987
568;Legumes (vegetables) (total);1999;103.1;13146
569;Legumes (vegetables) (total);2000;93.0;11725
570;Legumes (vegetables) (total);2001;95.4;11809
571;Legumes (vegetables) (total);2002;108.0;13395
572;Legumes (vegetables) (total);2003;109.0;13751
573;Legumes (vegetables) (total);2004;113.5;13283
574;Legumes (vegetables) (total);2005;108.5;13035
575;Legumes (vegetables) (total);2006;108.0;13849
576;Legumes (vegetables) (total);2007;112.0;14303
577;Legumes (vegetables) (total);2008;111.5;14970
578;Legumes (vegetables) (total);2009;85.5;12010
579;Legumes (vegetables) (total);2010;70.9;9784
580;Legumes (vegetables) (total);2011;66.0;9353
581;Legumes (vegetables) (total);2012;56.1;8126
582;Legumes (vegetables) (total);2013;48.5;7733
583;Legumes (vegetables) (total);2014;56.5;7281
584;Legumes (vegetables) (total);2015;54.8;7146
585;Legumes (vegetables) (total);2016;52.1;6922
586;Legumes (vegetables) (total);2017;63.5;6737
587;Legumes (vegetables) (total);2018;60.4;7038
588;Legumes (vegetables) (total);2019;79.2;8402
589;Legumes (vegetables) (total);2020;73.1;7631
590;Legumes (vegetables) (total);2021;93.4;9726
591;Legumes (vegetables) (total);2022;85.8;8557
592;Legumes (vegetables) (total);2023;110.0;11932
593;Legumes (vegetables) (total);2024;92.8;10731
594;Broad beans;1998;6.1;935
595;Broad beans;1999;5.1;846
596;Broad beans;2000;4.0;694
597;Broad beans;2001;5.4;792
598;Broad beans;2002;6.0;900
599;Broad beans;2003;6.0;900
600;Broad beans;2004;5.5;850
601;Broad beans;2005;4.0;618
602;Broad beans;2006;4.0;650
603;Broad beans;2007;4.0;585
604;Broad beans;2008;7.5;1085
605;Broad beans;2009;6.0;890
606;Broad beans;2010;3.0;485
607;Broad beans;2011;3.5;585
608;Broad beans;2012;3.5;585
609;Broad beans;2013;3.3;585
610;Broad beans;2014;3.5;585
611;Broad beans;2015;3.5;585
612;Broad beans;2016;3.5;545
613;Broad beans;2017;3.2;404
614;Broad beans;2018;3.8;498
615;Broad beans;2019;5.1;616
616;Broad beans;2020;3.3;410
617;Broad beans;2021;5.0;620
618;Broad beans;2022;3.1;379
619;Broad beans;2023;2.6;380
620;Broad beans;2024;2.3;353
621;French beans;1998;69.0;6880
622;French beans;1999;62.0;6215
623;French beans;2000;52.0;5164
624;French beans;2001;55.0;5483
625;French beans;2002;62.0;6217
626;French beans;2003;65.0;6818
627;French beans;2004;73.0;7297
628;French beans;2005;70.5;7056
629;French beans;2006;70.0;7441
630;French beans;2007;70.0;7326
631;French beans;2008;64.0;7000
632;French beans;2009;49.0;5598
633;French beans;2010;47.0;5276
634;French beans;2011;42.0;4660
635;French beans;2012;36.0;4085
636;French beans;2013;27.6;3247
637;French beans;2014;34.3;2963
638;French beans;2015;33.6;3020
639;French beans;2016;33.0;3052
640;French beans;2017;39.2;3291
641;French beans;2018;37.6;3451
642;French beans;2019;48.8;3973
643;French beans;2020;48.2;3925
644;French beans;2021;59.8;4586
645;French beans;2022;52.3;3962
646;French beans;2023;70.2;5333
647;French beans;2024;62.4;5116
648;Fruiting vegetables (total);1998;1253.0;3135
649;Fruiting vegetables (total);1999;1315.5;3243
650;Fruiting vegetables (total);2000;1259.0;3177
651;Fruiting vegetables (total);2001;1312.0;3299
652;Fruiting vegetables (total);2002;1342.0;3344
653;Fruiting vegetables (total);2003;1391.0;3349
654;Fruiting vegetables (total);2004;1460.5;3429
655;Fruiting vegetables (total);2005;1498.0;3562
656;Fruiting vegetables (total);2006;1489.5;3583
657;Fruiting vegetables (total);2007;1490.0;3640
658;Fruiting vegetables (total);2008;1549.5;3799
659;Fruiting vegetables (total);2009;1669.5;3927
660;Fruiting vegetables (total);2010;1679.0;4111
661;Fruiting vegetables (total);2011;1684.0;4081
662;Fruiting vegetables (total);2012;1624.0;3991
663;Fruiting vegetables (total);2013;1644.0;3999
664;Fruiting vegetables (total);2014;1748.5;3972
665;Fruiting vegetables (total);2015;1726.4;3992
666;Fruiting vegetables (total);2016;1711.0;4085
667;Fruiting vegetables (total);2017;1759.2;4166
668;Fruiting vegetables (total);2018;1749.8;4240
669;Fruiting vegetables (total);2019;1813.7;4416
670;Fruiting vegetables (total);2020;1851.2;4535
671;Fruiting vegetables (total);2021;1840.1;4666
672;Fruiting vegetables (total);2022;1686.0;4648
673;Fruiting vegetables (total);2023;1646.0;4460
674;Fruiting vegetables (total);2024;1727.4;4477
675;Courgettes;1998;11.0;150
676;Courgettes;1999;12.5;150
677;Courgettes;2000;11.0;150
678;Courgettes;2001;11.0;150
679;Courgettes;2002;11.0;150
680;Courgettes;2003;12.0;155
