ID;UitkomstenOnderzoek;RegioS;Perioden;AfgerondeDienstenOnderzoek_1;AfgerondeDienstenOnderzoekRelatief_2
100;Totaal afgeronde onderzoeken;Fryslân (PV);2e halfjaar 2020;350.0;54.0
101;Totaal afgeronde onderzoeken;Fryslân (PV);2020;740.0;114.0
102;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2021;325.0;50.0
103;Totaal afgeronde onderzoeken;Fryslân (PV);2e halfjaar 2021;280.0;43.0
104;Totaal afgeronde onderzoeken;Fryslân (PV);2021;610.0;94.0
105;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2022;320.0;49.0
106;Totaal afgeronde onderzoeken;Fryslân (PV);2e halfjaar 2022;310.0;48.0
107;Totaal afgeronde onderzoeken;Fryslân (PV);2022;630.0;96.0
108;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2023;295.0;45.0
109;Totaal afgeronde onderzoeken;Fryslân (PV);2e halfjaar 2023;295.0;45.0
110;Totaal afgeronde onderzoeken;Fryslân (PV);2023;590.0;89.0
111;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2024;285.0;43.0
112;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2019;145.0;29.0
113;Totaal afgeronde onderzoeken;Drenthe (PV);2e halfjaar 2019;120.0;24.0
114;Totaal afgeronde onderzoeken;Drenthe (PV);2019;270.0;55.0
115;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2020;105.0;21.0
116;Totaal afgeronde onderzoeken;Drenthe (PV);2e halfjaar 2020;130.0;26.0
117;Totaal afgeronde onderzoeken;Drenthe (PV);2020;235.0;48.0
118;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2021;105.0;21.0
119;Totaal afgeronde onderzoeken;Drenthe (PV);2e halfjaar 2021;80.0;16.0
120;Totaal afgeronde onderzoeken;Drenthe (PV);2021;185.0;37.0
121;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2022;65.0;13.0
122;Totaal afgeronde onderzoeken;Drenthe (PV);2e halfjaar 2022;55.0;11.0
123;Totaal afgeronde onderzoeken;Drenthe (PV);2022;120.0;24.0
124;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2023;75.0;15.0
125;Totaal afgeronde onderzoeken;Drenthe (PV);2e halfjaar 2023;65.0;13.0
126;Totaal afgeronde onderzoeken;Drenthe (PV);2023;140.0;28.0
127;Totaal afgeronde onderzoeken;Drenthe (PV);1e halfjaar 2024;50.0;10.0
128;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2019;115.0;10.0
129;Totaal afgeronde onderzoeken;Overijssel (PV);2e halfjaar 2019;160.0;14.0
130;Totaal afgeronde onderzoeken;Overijssel (PV);2019;270.0;23.0
131;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2020;130.0;11.0
132;Totaal afgeronde onderzoeken;Overijssel (PV);2e halfjaar 2020;105.0;9.0
133;Totaal afgeronde onderzoeken;Overijssel (PV);2020;235.0;20.0
134;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2021;105.0;9.0
135;Totaal afgeronde onderzoeken;Overijssel (PV);2e halfjaar 2021;125.0;11.0
136;Totaal afgeronde onderzoeken;Overijssel (PV);2021;230.0;20.0
137;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2022;110.0;9.0
138;Totaal afgeronde onderzoeken;Overijssel (PV);2e halfjaar 2022;125.0;11.0
139;Totaal afgeronde onderzoeken;Overijssel (PV);2022;235.0;20.0
140;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2023;140.0;12.0
141;Totaal afgeronde onderzoeken;Overijssel (PV);2e halfjaar 2023;170.0;14.0
142;Totaal afgeronde onderzoeken;Overijssel (PV);2023;310.0;26.0
143;Totaal afgeronde onderzoeken;Overijssel (PV);1e halfjaar 2024;205.0;17.0
144;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2019;35.0;8.0
145;Totaal afgeronde onderzoeken;Flevoland (PV);2e halfjaar 2019;40.0;10.0
146;Totaal afgeronde onderzoeken;Flevoland (PV);2019;75.0;18.0
147;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2020;70.0;17.0
148;Totaal afgeronde onderzoeken;Flevoland (PV);2e halfjaar 2020;110.0;26.0
149;Totaal afgeronde onderzoeken;Flevoland (PV);2020;185.0;44.0
150;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2021;260.0;61.0
151;Totaal afgeronde onderzoeken;Flevoland (PV);2e halfjaar 2021;295.0;69.0
152;Totaal afgeronde onderzoeken;Flevoland (PV);2021;555.0;130.0
153;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2022;290.0;67.0
154;Totaal afgeronde onderzoeken;Flevoland (PV);2e halfjaar 2022;235.0;55.0
155;Totaal afgeronde onderzoeken;Flevoland (PV);2022;525.0;121.0
156;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2023;285.0;64.0
157;Totaal afgeronde onderzoeken;Flevoland (PV);2e halfjaar 2023;370.0;83.0
158;Totaal afgeronde onderzoeken;Flevoland (PV);2023;650.0;146.0
159;Totaal afgeronde onderzoeken;Flevoland (PV);1e halfjaar 2024;310.0;69.0
160;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2019;525.0;25.0
161;Totaal afgeronde onderzoeken;Gelderland (PV);2e halfjaar 2019;350.0;17.0
162;Totaal afgeronde onderzoeken;Gelderland (PV);2019;870.0;42.0
163;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2020;290.0;14.0
164;Totaal afgeronde onderzoeken;Gelderland (PV);2e halfjaar 2020;300.0;14.0
165;Totaal afgeronde onderzoeken;Gelderland (PV);2020;590.0;28.0
166;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2021;355.0;17.0
167;Totaal afgeronde onderzoeken;Gelderland (PV);2e halfjaar 2021;330.0;16.0
168;Totaal afgeronde onderzoeken;Gelderland (PV);2021;685.0;33.0
169;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2022;310.0;15.0
170;Totaal afgeronde onderzoeken;Gelderland (PV);2e halfjaar 2022;315.0;15.0
171;Totaal afgeronde onderzoeken;Gelderland (PV);2022;625.0;30.0
172;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2023;305.0;14.0
173;Totaal afgeronde onderzoeken;Gelderland (PV);2e halfjaar 2023;285.0;13.0
174;Totaal afgeronde onderzoeken;Gelderland (PV);2023;590.0;28.0
175;Totaal afgeronde onderzoeken;Gelderland (PV);1e halfjaar 2024;315.0;15.0
176;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2019;85.0;6.0
177;Totaal afgeronde onderzoeken;Utrecht (PV);2e halfjaar 2019;195.0;15.0
178;Totaal afgeronde onderzoeken;Utrecht (PV);2019;280.0;21.0
179;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2020;225.0;17.0
180;Totaal afgeronde onderzoeken;Utrecht (PV);2e halfjaar 2020;165.0;12.0
181;Totaal afgeronde onderzoeken;Utrecht (PV);2020;400.0;30.0
182;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2021;160.0;12.0
183;Totaal afgeronde onderzoeken;Utrecht (PV);2e halfjaar 2021;160.0;12.0
184;Totaal afgeronde onderzoeken;Utrecht (PV);2021;320.0;24.0
185;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2022;135.0;10.0
186;Totaal afgeronde onderzoeken;Utrecht (PV);2e halfjaar 2022;105.0;8.0
187;Totaal afgeronde onderzoeken;Utrecht (PV);2022;245.0;18.0
188;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2023;170.0;12.0
189;Totaal afgeronde onderzoeken;Utrecht (PV);2e halfjaar 2023;125.0;9.0
190;Totaal afgeronde onderzoeken;Utrecht (PV);2023;295.0;21.0
191;Totaal afgeronde onderzoeken;Utrecht (PV);1e halfjaar 2024;140.0;10.0
192;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2019;430.0;15.0
193;Totaal afgeronde onderzoeken;Noord-Holland (PV);2e halfjaar 2019;445.0;16.0
194;Totaal afgeronde onderzoeken;Noord-Holland (PV);2019;875.0;31.0
195;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2020;550.0;19.0
196;Totaal afgeronde onderzoeken;Noord-Holland (PV);2e halfjaar 2020;550.0;19.0
197;Totaal afgeronde onderzoeken;Noord-Holland (PV);2020;1105.0;38.0
198;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2021;650.0;23.0
199;Totaal afgeronde onderzoeken;Noord-Holland (PV);2e halfjaar 2021;535.0;19.0
200;Totaal afgeronde onderzoeken;Noord-Holland (PV);2021;1190.0;41.0
201;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2022;675.0;23.0
202;Totaal afgeronde onderzoeken;Noord-Holland (PV);2e halfjaar 2022;635.0;22.0
203;Totaal afgeronde onderzoeken;Noord-Holland (PV);2022;1310.0;45.0
204;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2023;725.0;24.0
205;Totaal afgeronde onderzoeken;Noord-Holland (PV);2e halfjaar 2023;700.0;24.0
206;Totaal afgeronde onderzoeken;Noord-Holland (PV);2023;1425.0;48.0
207;Totaal afgeronde onderzoeken;Noord-Holland (PV);1e halfjaar 2024;695.0;23.0
208;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2019;405.0;11.0
209;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2e halfjaar 2019;795.0;22.0
210;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2019;1200.0;33.0
211;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2020;810.0;22.0
212;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2e halfjaar 2020;1085.0;29.0
213;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2020;1900.0;51.0
214;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2021;1000.0;27.0
215;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2e halfjaar 2021;975.0;26.0
216;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2021;1975.0;53.0
217;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2022;990.0;26.0
218;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2e halfjaar 2022;985.0;26.0
219;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2022;1970.0;53.0
220;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2023;960.0;25.0
221;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2e halfjaar 2023;875.0;23.0
222;Totaal afgeronde onderzoeken;Zuid-Holland (PV);2023;1840.0;48.0
223;Totaal afgeronde onderzoeken;Zuid-Holland (PV);1e halfjaar 2024;980.0;26.0
224;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2019;75.0;20.0
225;Totaal afgeronde onderzoeken;Zeeland (PV);2e halfjaar 2019;55.0;14.0
226;Totaal afgeronde onderzoeken;Zeeland (PV);2019;130.0;34.0
227;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2020;95.0;25.0
228;Totaal afgeronde onderzoeken;Zeeland (PV);2e halfjaar 2020;95.0;25.0
229;Totaal afgeronde onderzoeken;Zeeland (PV);2020;195.0;51.0
230;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2021;95.0;25.0
231;Totaal afgeronde onderzoeken;Zeeland (PV);2e halfjaar 2021;95.0;25.0
232;Totaal afgeronde onderzoeken;Zeeland (PV);2021;190.0;49.0
233;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2022;70.0;18.0
234;Totaal afgeronde onderzoeken;Zeeland (PV);2e halfjaar 2022;115.0;29.0
235;Totaal afgeronde onderzoeken;Zeeland (PV);2022;185.0;48.0
236;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2023;90.0;23.0
237;Totaal afgeronde onderzoeken;Zeeland (PV);2e halfjaar 2023;75.0;19.0
238;Totaal afgeronde onderzoeken;Zeeland (PV);2023;165.0;42.0
239;Totaal afgeronde onderzoeken;Zeeland (PV);1e halfjaar 2024;85.0;22.0
240;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2019;395.0;16.0
241;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2e halfjaar 2019;465.0;18.0
242;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2019;865.0;34.0
243;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2020;405.0;16.0
244;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2e halfjaar 2020;410.0;16.0
245;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2020;815.0;32.0
246;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2021;485.0;19.0
247;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2e halfjaar 2021;450.0;17.0
248;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2021;935.0;36.0
249;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2022;480.0;19.0
250;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2e halfjaar 2022;515.0;20.0
251;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2022;1000.0;38.0
252;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2023;470.0;18.0
253;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2e halfjaar 2023;425.0;16.0
254;Totaal afgeronde onderzoeken;Noord-Brabant (PV);2023;895.0;34.0
255;Totaal afgeronde onderzoeken;Noord-Brabant (PV);1e halfjaar 2024;480.0;18.0
256;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2019;130.0;12.0
257;Totaal afgeronde onderzoeken;Limburg (PV);2e halfjaar 2019;200.0;18.0
258;Totaal afgeronde onderzoeken;Limburg (PV);2019;330.0;30.0
259;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2020;310.0;28.0
260;Totaal afgeronde onderzoeken;Limburg (PV);2e halfjaar 2020;235.0;21.0
261;Totaal afgeronde onderzoeken;Limburg (PV);2020;545.0;49.0
262;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2021;205.0;18.0
263;Totaal afgeronde onderzoeken;Limburg (PV);2e halfjaar 2021;210.0;19.0
264;Totaal afgeronde onderzoeken;Limburg (PV);2021;415.0;37.0
265;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2022;175.0;16.0
266;Totaal afgeronde onderzoeken;Limburg (PV);2e halfjaar 2022;215.0;19.0
267;Totaal afgeronde onderzoeken;Limburg (PV);2022;390.0;35.0
268;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2023;185.0;16.0
269;Totaal afgeronde onderzoeken;Limburg (PV);2e halfjaar 2023;190.0;17.0
270;Totaal afgeronde onderzoeken;Limburg (PV);2023;375.0;33.0
271;Totaal afgeronde onderzoeken;Limburg (PV);1e halfjaar 2024;200.0;18.0
272;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2019;85.0;8.0
273;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2e halfjaar 2019;125.0;12.0
274;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2019;210.0;20.0
275;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2020;130.0;12.0
276;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2e halfjaar 2020;115.0;11.0
277;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2020;245.0;23.0
278;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2021;140.0;13.0
279;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2e halfjaar 2021;125.0;12.0
280;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2021;265.0;25.0
281;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2022;125.0;11.0
282;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2e halfjaar 2022;115.0;11.0
283;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2022;240.0;22.0
284;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2023;145.0;13.0
285;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2e halfjaar 2023;70.0;6.0
286;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);2023;210.0;19.0
287;Totaal afgeronde onderzoeken;Amsterdam-Amstelland (VT);1e halfjaar 2024;90.0;8.0
288;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2019;155.0;25.0
289;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2e halfjaar 2019;195.0;32.0
290;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2019;345.0;56.0
291;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2020;115.0;19.0
292;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2e halfjaar 2020;130.0;21.0
293;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2020;245.0;40.0
294;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2021;175.0;28.0
295;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2e halfjaar 2021;135.0;22.0
296;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2021;310.0;50.0
297;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2022;150.0;24.0
298;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2e halfjaar 2022;165.0;27.0
299;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2022;315.0;51.0
300;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2023;;
301;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2e halfjaar 2023;;
302;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);2023;;
303;Totaal afgeronde onderzoeken;Brabant Noordoost (VT);1e halfjaar 2024;;
304;Totaal afgeronde onderzoeken;Drenthe (VT);1e halfjaar 2019;145.0;29.0
305;Totaal afgeronde onderzoeken;Drenthe (VT);2e halfjaar 2019;120.0;24.0
306;Totaal afgeronde onderzoeken;Drenthe (VT);2019;270.0;55.0
307;Totaal afgeronde onderzoeken;Drenthe (VT);1e halfjaar 2020;105.0;21.0
308;Totaal afgeronde onderzoeken;Drenthe (VT);2e halfjaar 2020;130.0;26.0
