ID;Perioden;TotaalVervoerdGewicht_1;LandbouwproductenLevendeDieren_2;AndereVoedingsproducten_3;VasteBrandstoffen_4;AardolieEnAardolieproducten_5;ErtsenEnMetaalresiduen_6;MetalenHalffabrikaten_7;RuweMineralenBouwmaterialen_8;Meststoffen_9;ChemischeProducten_10;OverigeGoederenEnFabrikaten_11;TotaalNederland_12;NoordNederland_13;OostNederland_14;ZuidNederland_15;TotaalWestNederland_16;TotaalRijnmond_17;WORotterdam_18;TotaalNoordzeekanaalgebied_19;WOAmsterdam_20;OverigeWestNederland_21;TotaalNederland_22;NoordNederland_23;OostNederland_24;ZuidNederland_25;TotaalWestNederland_26;TotaalRijnmond_27;WORotterdam_28;TotaalNoordzeekanaalgebied_29;WOAmsterdam_30;OverigeWestNederland_31
30;1997 november;8019;93;594;409;1348;22;56;4731;83;347;336;8019;337;1134;1637;4911;2661;2414;1217;699;1033;8019;516;1357;1475;4671;1539;1290;684;467;2448
31;1997 december;6953;63;773;512;1362;18;60;3479;97;260;329;6953;265;842;1185;4660;2594;2390;1231;719;835;6953;377;1245;1360;3971;1433;1271;618;406;1920
32;1997 4e kwartaal;24395;261;2000;1570;4263;50;171;13840;282;874;1085;24395;1040;3236;4811;15307;8398;7545;3916;2277;2993;24395;1501;4142;4799;13954;4783;4101;2027;1393;7143
33;1997;95589;1258;7539;4847;16300;592;694;54840;1430;3641;4449;95589;4739;10071;20575;60205;30802;27499;16010;9646;13393;95589;6370;14348;18731;56140;19729;16977;8265;5842;28146
34;1998 januari;7260;139;957;389;1100;71;65;3828;145;249;317;7260;284;1056;1311;4610;2407;2138;1300;691;903;7260;344;1474;1493;3948;1454;1265;603;387;1892
35;1998 februari;7306;106;881;426;1161;70;66;3848;125;266;356;7306;256;1030;1359;4661;2222;1948;1394;827;1045;7306;357;1486;1285;4178;1315;1145;726;462;2138
36;1998 maart;8489;99;978;418;1146;67;55;4865;177;264;421;8489;361;1222;1619;5287;2250;1963;1743;1156;1294;8489;558;1533;1731;4668;1473;1263;708;447;2488
37;1998 1e kwartaal;23055;344;2816;1233;3407;208;186;12541;447;779;1094;23055;901;3308;4289;14558;6879;6049;4437;2674;3242;23055;1259;4493;4509;12794;4242;3673;2037;1296;6518
38;1998 april;8391;112;855;452;1182;59;71;4752;157;291;462;8391;412;1089;1542;5347;2356;2093;1705;1040;1286;8391;539;1494;1579;4778;1497;1305;849;530;2432
39;1998 mei;8899;93;1022;458;1319;79;70;4907;207;256;489;8899;470;1043;1585;5802;2487;2221;1936;1102;1379;8899;717;1399;1726;5057;1609;1368;880;574;2568
40;1998 juni;9708;95;774;466;1299;75;65;5921;184;313;516;9708;636;1209;1885;5978;2875;2581;1723;897;1379;9708;871;1465;1850;5521;1713;1474;1016;590;2793
41;1998 2e kwartaal;26998;300;2651;1376;3800;213;206;15580;548;860;1467;26998;1518;3341;5012;17127;7718;6895;5364;3039;4044;26998;2127;4358;5155;15356;4819;4147;2745;1694;7793
42;1998 juli;8368;51;1003;564;1021;56;76;4570;241;275;511;8368;460;842;1650;5415;2406;2109;1736;1066;1273;8368;680;1419;1750;4519;1286;1078;876;650;2356
43;1998 augustus;6294;128;949;409;1008;23;45;2737;178;278;538;6294;381;659;910;4345;1973;1854;1275;812;1097;6294;561;1068;1169;3496;975;852;714;500;1807
44;1998 september;9307;138;1125;437;1000;16;61;5588;188;280;474;9307;431;1127;1867;5881;2438;2146;1927;1187;1516;9307;682;1528;1868;5230;1382;1158;872;634;2976
45;1998 3e kwartaal;23969;317;3077;1410;3029;95;182;12895;607;833;1523;23969;1272;2628;4427;15641;6817;6109;4938;3065;3886;23969;1923;4015;4787;13245;3643;3088;2462;1784;7139
46;1998 oktober;9696;168;1125;640;1150;33;112;5392;236;310;530;9696;477;949;2007;6263;2740;2450;2042;1252;1480;9696;682;1690;1993;5331;1549;1366;1088;808;2694
47;1998 november;7783;77;806;264;1019;16;16;4845;37;292;412;7783;350;591;1679;5163;2335;2086;1563;839;1265;7783;516;1243;1268;4756;1462;1313;891;508;2403
48;1998 december;6224;66;923;28;1169;4;7;3284;16;280;447;6224;294;497;1203;4231;1829;1640;1360;785;1042;6224;414;936;910;3964;1074;945;888;548;2001
49;1998 4e kwartaal;23703;311;2854;932;3338;53;135;13521;289;882;1389;23703;1121;2037;4889;15657;6904;6176;4965;2876;3787;23703;1612;3869;4171;14051;4085;3624;2867;1864;7098
50;1998;97724;1272;11399;4951;13573;568;709;54537;1891;3352;5474;97724;4811;11317;18616;62980;28318;25229;19703;11652;14959;97724;6921;16733;18622;55447;16789;14532;10110;6638;28548
51;1999 januari;6920;109;692;205;943;109;40;3885;97;312;527;6920;341;581;1576;4423;1899;1639;1334;699;1190;6920;469;1124;1220;4107;1154;1001;788;614;2165
52;1999 februari;6936;76;600;357;924;52;33;3895;111;307;582;6936;393;559;1577;4407;1876;1608;1221;692;1310;6936;433;893;1469;4141;1093;948;827;667;2221
53;1999 maart;8920;97;712;348;1061;91;61;5325;188;319;718;8920;643;749;2185;5342;2233;1946;1515;935;1594;8920;631;1336;1669;5285;1398;1143;1145;994;2742
54;1999 1e kwartaal;22776;282;2004;910;2928;252;134;13105;396;938;1827;22776;1377;1889;5338;14172;6008;5193;4070;2326;4094;22776;1533;3353;4358;13533;3645;3092;2760;2275;7128
55;1999 april;8315;108;715;300;1065;121;48;4838;148;315;656;8315;580;854;2046;4835;2103;1806;1417;891;1315;8315;789;1370;1618;4537;1223;989;886;739;2429
56;1999 mei;8072;111;665;272;1083;100;47;4628;174;269;723;8072;494;745;1966;4867;2120;1821;1516;953;1231;8072;823;1297;1529;4422;1192;927;856;703;2374
57;1999 juni;10007;103;659;418;1249;107;42;6207;198;278;748;10007;569;896;2503;6039;2358;2010;1767;1172;1915;10007;940;1618;1714;5735;1535;1237;1316;1191;2883
58;1999 2e kwartaal;26394;322;2039;990;3397;328;137;15673;520;862;2127;26394;1643;2495;6515;15741;6581;5637;4700;3016;4461;26394;2552;4285;4861;14694;3950;3153;3058;2633;7686
59;1999 juli;7638;142;598;291;1115;104;53;4164;163;265;743;7638;495;606;1858;4678;2097;1845;1288;838;1293;7638;815;1245;1452;4125;1126;942;923;802;2077
60;1999 augustus;6622;114;586;364;1038;102;51;3268;131;273;696;6622;312;537;1403;4370;1826;1609;1200;824;1344;6622;513;1005;1335;3770;908;779;1082;982;1779
61;1999 september;9354;272;637;450;1047;76;48;5709;182;252;683;9354;493;878;2520;5464;2192;1839;1555;984;1717;9354;741;1496;2013;5104;1204;990;1251;1090;2648
62;1999 3e kwartaal;23614;528;1821;1105;3200;282;152;13141;476;790;2122;23614;1300;2021;5781;14512;6115;5293;4043;2646;4354;23614;2069;3746;4800;12999;3238;2711;3256;2874;6504
63;1999 oktober;9190;478;694;382;1078;59;48;5401;135;269;645;9190;494;790;2379;5527;2257;1842;1522;1071;1748;9190;740;1431;1910;5110;1205;1008;1124;989;2781
64;1999 november;9413;521;870;283;1029;120;47;5403;152;312;677;9413;537;765;2514;5597;2429;1990;1575;1044;1593;9413;723;1356;1760;5573;1253;1058;1232;1037;3088
65;1999 december;7675;428;829;312;1073;76;47;3845;117;308;639;7675;491;518;1864;4803;2185;1866;1398;938;1220;7675;609;1111;1506;4450;1171;1001;959;802;2320
66;1999 4e kwartaal;26278;1427;2393;977;3180;255;142;14649;404;889;1961;26278;1522;2073;6757;15927;6871;5698;4495;3053;4561;26278;2072;3898;5176;15133;3629;3067;3315;2828;8189
67;1999;99062;2559;8256;3979;12704;1118;564;56569;1798;3479;8036;99062;5842;8479;24390;60352;25574;21819;17309;11040;17470;99062;8226;15282;19196;56358;14462;12024;12390;10609;29506
68;2000 januari;7328;206;889;160;1054;104;43;3857;131;311;572;7328;330;521;1562;4915;2366;2121;1613;1096;936;7328;490;1110;1435;4294;1589;1421;734;595;1971
69;2000 februari;8249;119;743;173;1026;149;52;4953;135;329;570;8249;464;701;2186;4898;2612;2334;1373;828;913;8249;513;1240;1489;5009;1718;1436;766;614;2524
70;2000 maart;9009;134;771;175;1109;110;43;5358;172;382;754;9009;522;742;2248;5496;2612;2221;1672;948;1212;9009;594;1355;1613;5447;1877;1537;859;711;2711
71;2000 1e kwartaal;24586;459;2403;508;3189;363;138;14168;438;1022;1896;24586;1316;1964;5996;15309;7590;6676;4658;2872;3061;24586;1597;3705;4537;14750;5184;4394;2359;1920;7206
72;2000 april;8088;111;628;92;1096;62;47;4878;189;346;639;8088;554;709;1997;4829;2283;2006;1364;793;1182;8088;633;1316;1434;4704;1648;1329;762;589;2294
73;2000 mei;10068;122;684;119;1451;102;43;6293;183;342;729;10068;701;924;2474;5968;2929;2578;1668;1001;1370;10068;769;1672;1644;5982;1893;1595;979;768;3110
74;2000 juni;8880;125;645;166;1242;136;50;5322;129;385;681;8880;584;848;2178;5270;2659;2388;1438;932;1173;8880;575;1494;1574;5237;1719;1486;765;644;2754
75;2000 2e kwartaal;27036;358;1957;377;3789;300;140;16493;501;1073;2049;27036;1839;2481;6649;16067;7871;6972;4470;2726;3725;27036;1977;4482;4652;15923;5260;4410;2506;2001;8158
76;2000 juli;7067;128;560;173;891;121;31;3771;147;373;873;7067;521;577;1511;4459;2244;2107;1386;964;829;7067;551;1439;1137;3941;1414;1297;632;543;1895
77;2000 augustus;7362;147;593;253;935;141;41;3762;226;340;924;7362;419;591;1796;4556;2393;2167;1255;911;908;7362;492;1350;1437;4082;1664;1498;630;543;1788
78;2000 september;9471;213;580;270;945;191;52;5759;221;328;911;9471;653;821;2448;5549;2514;2256;1649;1020;1386;9471;611;1665;1770;5425;1726;1512;713;614;2986
79;2000 3e kwartaal;23900;488;1733;696;2771;453;124;13292;594;1041;2708;23900;1593;1989;5755;14564;7151;6530;4290;2895;3123;23900;1654;4454;4344;13448;4804;4307;1975;1700;6669
80;2000 oktober;9908;493;751;135;949;193;41;6097;145;340;766;9908;618;939;2685;5666;2869;2618;1518;1031;1279;9908;620;1555;1800;5934;1857;1639;844;700;3232
81;2000 november;9468;511;778;172;892;125;51;5667;136;353;783;9468;648;838;2332;5650;2756;2533;1534;939;1359;9468;573;1462;1659;5774;1679;1404;801;672;3294
82;2000 december;7130;260;653;246;778;84;28;3889;96;299;797;7130;500;673;1563;4393;1982;1818;1476;865;935;7130;425;1112;1211;4382;1352;1192;627;530;2403
83;2000 4e kwartaal;26506;1264;2182;553;2619;402;120;15653;377;992;2346;26506;1766;2450;6580;15709;7607;6969;4528;2835;3573;26506;1618;4129;4670;16090;4888;4235;2272;1902;8929
84;2000;102029;2568;8276;2133;12369;1518;522;59606;1909;4128;9000;102029;6514;8884;24981;61649;30219;27147;17947;11328;13483;102029;6847;16769;18202;60210;20136;17347;9112;7524;30962
85;2001 januari;7723;146;747;183;1532;57;46;3659;97;663;593;7723;440;509;1136;5638;3095;2858;1513;905;1030;7723;482;1255;1187;4800;1599;1431;983;757;2218
86;2001 februari;7985;148;654;157;1351;66;51;4401;101;467;591;7985;441;733;1474;5337;2722;2488;1608;891;1007;7985;497;1335;1343;4810;1445;1307;1065;833;2300
87;2001 maart;9594;168;737;283;1585;68;58;5424;115;530;626;9594;541;1005;1788;6260;3208;2929;1749;1022;1303;9594;582;1583;1610;5819;1780;1565;1442;1210;2596
88;2001 1e kwartaal;25302;462;2138;623;4468;191;155;13484;313;1660;1810;25302;1422;2247;4398;17235;9025;8275;4870;2818;3340;25302;1561;4173;4140;15429;4824;4303;3490;2800;7114
89;2001 april;9095;156;717;220;1509;60;59;5169;108;480;617;9095;602;846;1902;5746;2931;2666;1583;898;1232;9095;619;1628;1537;5311;1561;1374;1356;1127;2394
90;2001 mei;10429;160;733;203;1643;96;64;6260;113;497;659;10429;565;994;2302;6568;3182;2901;1813;986;1573;10429;727;1886;1722;6093;1653;1397;1521;1271;2919
91;2001 juni;10110;167;665;217;1545;122;52;6077;118;458;690;10110;496;1179;2242;6192;3036;2820;1693;913;1463;10110;707;1979;1781;5643;1632;1386;1489;1287;2522
92;2001 2e kwartaal;29634;483;2115;640;4697;278;175;17506;339;1435;1966;29634;1663;3019;6446;18506;9149;8387;5089;2797;4268;29634;2053;5493;5040;17047;4846;4157;4366;3685;7835
93;2001 juli;8178;129;684;238;1516;102;83;4116;171;470;669;8178;401;694;1603;5479;2783;2489;1498;904;1198;8178;626;1404;1535;4611;1637;1447;1037;840;1938
94;2001 augustus;7840;134;635;160;1576;95;55;3827;118;481;759;7840;472;683;1545;5139;2676;2419;1302;769;1161;7840;554;1504;1455;4327;1538;1396;1046;882;1743
95;2001 september;10039;150;625;113;1700;187;61;5884;143;439;737;10039;483;905;2223;6429;3597;3128;1613;865;1218;10039;653;2153;1663;5571;1935;1699;1124;947;2512
96;2001 3e kwartaal;26057;413;1944;511;4792;384;199;13827;432;1390;2165;26057;1356;2282;5371;17047;9056;8036;4413;2538;3577;26057;1833;5061;4653;14509;5110;4542;3207;2669;6193
97;2001 oktober;10723;487;827;189;1639;143;67;6136;163;435;638;10723;568;879;2631;6645;3366;2781;1785;983;1495;10723;634;2103;1820;6167;2008;1818;1302;1100;2858
98;2001 november;9886;470;734;218;1525;140;48;5503;101;485;662;9886;485;794;2461;6147;3289;2952;1514;861;1343;9886;546;1904;1652;5784;1903;1694;1251;1038;2630
99;2001 december;7311;264;758;182;1375;97;55;3421;74;451;633;7311;404;559;1518;4830;2560;2434;1149;704;1121;7311;412;1347;1224;4328;1571;1459;1111;946;1646
100;2001 4e kwartaal;27920;1221;2319;589;4539;380;170;15060;338;1371;1933;27920;1457;2232;6610;17622;9215;8167;4448;2548;3959;27920;1592;5354;4696;16279;5482;4971;3664;3084;7134
101;2001;108914;2579;8517;2363;18494;1234;698;59875;1422;5857;7875;108914;5899;9779;22824;70411;36445;32864;18820;10700;15146;108914;7038;20083;18527;63265;20262;17973;14727;12239;28276
102;2002 januari;7831;154;803;180;1478;68;77;3795;77;485;714;7831;386;461;1554;5430;2861;2663;1472;789;1097;7831;436;1498;1333;4563;1768;1674;1023;754;1772
103;2002 februari;7628;140;670;134;1393;102;60;4007;76;395;650;7628;394;542;1426;5266;2772;2555;1468;716;1026;7628;408;1445;1243;4533;1761;1594;924;709;1848
104;2002 maart;8621;131;686;189;1536;152;63;4622;127;414;702;8621;424;590;1910;5697;2825;2591;1609;876;1262;8621;528;1554;1609;4929;1745;1534;1098;867;2087
105;2002 1e kwartaal;24080;425;2159;503;4407;322;200;12424;280;1294;2066;24080;1204;1593;4890;16393;8458;7809;4549;2381;3385;24080;1372;4497;4185;14025;5274;4802;3045;2330;5707
106;2002 april;9309;174;752;177;1580;131;58;5077;133;541;686;9309;699;665;2072;5873;2615;2246;1872;1158;1386;9309;767;1621;1592;5329;1615;1316;1335;1007;2380
107;2002 mei;9911;131;771;146;1380;138;47;5952;159;500;688;9911;719;855;2261;6076;2700;2309;1871;1127;1505;9911;717;1906;1587;5701;1537;1247;1256;927;2909
108;2002 juni;9227;139;674;155;1314;91;87;5435;118;511;703;9227;636;808;2215;5568;2500;2212;1821;1152;1246;9227;713;1812;1537;5164;1411;1184;1129;905;2625
109;2002 2e kwartaal;28447;444;2197;478;4274;360;192;16464;410;1552;2077;28447;2054;2328;6548;17517;7815;6767;5564;3437;4137;28447;2197;5339;4716;16194;4563;3747;3720;2839;7914
110;2002 juli;7770;163;676;230;1301;115;87;3830;170;416;783;7770;351;504;1939;4976;2223;1930;1495;932;1258;7770;478;1382;1608;4302;1331;1205;1042;809;1930
111;2002 augustus;7894;163;778;183;1326;193;80;3882;171;426;692;7894;537;505;1861;4991;2010;1863;1757;993;1224;7894;723;1400;1543;4228;1230;1107;1171;947;1827
112;2002 september;8064;289;626;130;1324;123;95;4263;86;372;756;8064;489;486;2196;4894;1914;1702;1575;856;1404;8064;677;1395;1488;4505;1354;1227;995;775;2156
113;2002 3e kwartaal;23728;615;2080;543;3951;431;262;11975;427;1214;2231;23728;1377;1495;5996;14861;6147;5495;4827;2781;3886;23728;1878;4177;4639;13035;3915;3539;3208;2531;5913
114;2002 oktober;10172;529;830;220;1409;201;84;5466;163;470;800;10172;658;579;2867;6068;2362;2075;2125;1196;1581;10172;788;1648;1920;5816;1629;1425;1194;898;2994
115;2002 november;8374;520;734;220;1263;164;92;4043;161;352;826;8374;520;387;2201;5267;2143;1992;1952;1032;1172;8374;638;1091;1516;5130;1309;1179;1108;815;2713
116;2002 december;6966;199;660;211;1802;65;47;2503;111;503;865;6966;418;334;1145;5068;2459;2285;1612;988;997;6966;481;918;1074;4493;1482;1363;1070;814;1941
117;2002 4e kwartaal;25512;1248;2224;651;4474;430;223;12012;435;1325;2491;25512;1596;1300;6213;16403;6964;6352;5689;3216;3750;25512;1907;3657;4510;15439;4420;3967;3372;2527;7648
118;2002;101769;2733;8661;2173;17106;1543;877;52876;1551;5385;8865;101769;6231;6717;23648;65173;29384;26424;20630;11816;15159;101769;7354;17670;18051;58694;18171;16053;13343;10225;27180
