ID;CPI;Periods;IndexFiguresTo1DecimalPlace_1;IndexFiguresIntegers_2;WeightingCoefficients_3
57;0      Total expenditure;2000 June;111.2;;100000
58;0      Total expenditure;2000 July;111.3;;100000
59;0      Total expenditure;2000 August;111.6;;100000
60;0      Total expenditure;2000 September;112.6;;100000
61;0      Total expenditure;2000 October;112.9;;100000
62;0      Total expenditure;2000 November;112.9;;100000
63;0      Total expenditure;2000 December;112.4;;100000
64;0      Total expenditure;2000;111.4;;100000
65;0      Total expenditure;2001 January;113.7;;100000
66;0      Total expenditure;2001 February;114.5;;100000
67;0      Total expenditure;2001 March;115.7;;100000
68;0      Total expenditure;2001 April;116.4;;100000
69;0      Total expenditure;2001 May;116.7;;100000
70;0      Total expenditure;2001 June;116.2;;100000
71;0      Total expenditure;2001 July;116.4;;100000
72;0      Total expenditure;2001 August;116.8;;100000
73;0      Total expenditure;2001 September;117.9;;100000
74;0      Total expenditure;2001 October;117.8;;100000
75;0      Total expenditure;2001 November;117.6;;100000
76;0      Total expenditure;2001 December;117.4;;100000
77;0      Total expenditure;2001;116.4;;100000
78;0      Total expenditure;2002 January;118.3;;100000
79;0      Total expenditure;2002 February;118.8;;100000
80;0      Total expenditure;2002 March;119.9;;100000
81;0      Total expenditure;2002 April;120.6;;100000
82;0      Total expenditure;2002 May;120.6;;100000
83;0      Total expenditure;2002 June;120.2;;100000
84;0      Total expenditure;2002 July;120.4;;100000
85;0      Total expenditure;2002 August;120.6;;100000
86;0      Total expenditure;2002 September;121.8;;100000
87;0      Total expenditure;2002 October;121.6;;100000
88;0      Total expenditure;2002 November;121.2;;100000
89;0      Total expenditure;2002 December;121.0;;100000
90;0      Total expenditure;2002;120.4;;100000
91;01    Food and non-alcoholic beverages;1996 January;100.0;;13726
92;01    Food and non-alcoholic beverages;1996 February;100.3;;13726
93;01    Food and non-alcoholic beverages;1996 March;102.1;;13726
94;01    Food and non-alcoholic beverages;1996 April;102.0;;13726
95;01    Food and non-alcoholic beverages;1996 May;100.5;;13726
96;01    Food and non-alcoholic beverages;1996 June;99.8;;13726
97;01    Food and non-alcoholic beverages;1996 July;99.7;;13726
98;01    Food and non-alcoholic beverages;1996 August;98.1;;13726
99;01    Food and non-alcoholic beverages;1996 September;98.5;;13726
100;01    Food and non-alcoholic beverages;1996 October;98.9;;13726
101;01    Food and non-alcoholic beverages;1996 November;98.9;;13726
102;01    Food and non-alcoholic beverages;1996 December;99.7;;13726
103;01    Food and non-alcoholic beverages;1996;99.9;;13726
104;01    Food and non-alcoholic beverages;1997 January;102.0;;13726
105;01    Food and non-alcoholic beverages;1997 February;101.0;;13726
106;01    Food and non-alcoholic beverages;1997 March;100.3;;13726
107;01    Food and non-alcoholic beverages;1997 April;100.4;;13726
108;01    Food and non-alcoholic beverages;1997 May;101.6;;13726
109;01    Food and non-alcoholic beverages;1997 June;101.5;;13726
110;01    Food and non-alcoholic beverages;1997 July;101.5;;13726
111;01    Food and non-alcoholic beverages;1997 August;101.3;;13726
112;01    Food and non-alcoholic beverages;1997 September;101.6;;13726
113;01    Food and non-alcoholic beverages;1997 October;101.7;;13726
114;01    Food and non-alcoholic beverages;1997 November;102.8;;13726
115;01    Food and non-alcoholic beverages;1997 December;102.3;;13726
116;01    Food and non-alcoholic beverages;1997;101.5;;13726
117;01    Food and non-alcoholic beverages;1998 January;102.8;;13726
118;01    Food and non-alcoholic beverages;1998 February;102.9;;13726
119;01    Food and non-alcoholic beverages;1998 March;103.6;;13726
120;01    Food and non-alcoholic beverages;1998 April;104.2;;13726
121;01    Food and non-alcoholic beverages;1998 May;104.3;;13726
122;01    Food and non-alcoholic beverages;1998 June;103.7;;13726
123;01    Food and non-alcoholic beverages;1998 July;104.1;;13726
124;01    Food and non-alcoholic beverages;1998 August;103.3;;13726
125;01    Food and non-alcoholic beverages;1998 September;103.5;;13726
126;01    Food and non-alcoholic beverages;1998 October;103.4;;13726
127;01    Food and non-alcoholic beverages;1998 November;104.2;;13726
128;01    Food and non-alcoholic beverages;1998 December;105.0;;13726
129;01    Food and non-alcoholic beverages;1998;103.7;;13726
130;01    Food and non-alcoholic beverages;1999 January;105.6;;13726
131;01    Food and non-alcoholic beverages;1999 February;105.9;;13726
132;01    Food and non-alcoholic beverages;1999 March;106.5;;13726
133;01    Food and non-alcoholic beverages;1999 April;106.0;;13726
134;01    Food and non-alcoholic beverages;1999 May;106.0;;13726
135;01    Food and non-alcoholic beverages;1999 June;105.2;;13726
136;01    Food and non-alcoholic beverages;1999 July;103.9;;13726
137;01    Food and non-alcoholic beverages;1999 August;104.1;;13726
138;01    Food and non-alcoholic beverages;1999 September;104.0;;13726
139;01    Food and non-alcoholic beverages;1999 October;104.0;;13726
140;01    Food and non-alcoholic beverages;1999 November;104.6;;13726
141;01    Food and non-alcoholic beverages;1999 December;104.7;;13726
142;01    Food and non-alcoholic beverages;1999;105.0;;13726
143;01    Food and non-alcoholic beverages;2000 January;105.1;;13726
144;01    Food and non-alcoholic beverages;2000 February;104.3;;13726
145;01    Food and non-alcoholic beverages;2000 March;104.8;;13726
146;01    Food and non-alcoholic beverages;2000 April;105.4;;13726
147;01    Food and non-alcoholic beverages;2000 May;105.9;;13726
148;01    Food and non-alcoholic beverages;2000 June;105.8;;13726
149;01    Food and non-alcoholic beverages;2000 July;105.5;;13726
150;01    Food and non-alcoholic beverages;2000 August;106.0;;13726
151;01    Food and non-alcoholic beverages;2000 September;106.0;;13726
152;01    Food and non-alcoholic beverages;2000 October;106.8;;13726
153;01    Food and non-alcoholic beverages;2000 November;107.5;;13726
154;01    Food and non-alcoholic beverages;2000 December;107.8;;13726
155;01    Food and non-alcoholic beverages;2000;105.9;;13726
156;01    Food and non-alcoholic beverages;2001 January;109.1;;13726
157;01    Food and non-alcoholic beverages;2001 February;109.7;;13726
158;01    Food and non-alcoholic beverages;2001 March;111.9;;13726
159;01    Food and non-alcoholic beverages;2001 April;113.8;;13726
160;01    Food and non-alcoholic beverages;2001 May;114.7;;13726
161;01    Food and non-alcoholic beverages;2001 June;114.1;;13726
162;01    Food and non-alcoholic beverages;2001 July;113.9;;13726
163;01    Food and non-alcoholic beverages;2001 August;113.9;;13726
164;01    Food and non-alcoholic beverages;2001 September;114.7;;13726
165;01    Food and non-alcoholic beverages;2001 October;115.0;;13726
166;01    Food and non-alcoholic beverages;2001 November;114.3;;13726
167;01    Food and non-alcoholic beverages;2001 December;114.9;;13726
168;01    Food and non-alcoholic beverages;2001;113.3;;13726
169;01    Food and non-alcoholic beverages;2002 January;117.6;;13726
170;01    Food and non-alcoholic beverages;2002 February;117.6;;13726
171;01    Food and non-alcoholic beverages;2002 March;118.0;;13726
172;01    Food and non-alcoholic beverages;2002 April;117.8;;13726
173;01    Food and non-alcoholic beverages;2002 May;118.0;;13726
174;01    Food and non-alcoholic beverages;2002 June;117.1;;13726
175;01    Food and non-alcoholic beverages;2002 July;117.5;;13726
176;01    Food and non-alcoholic beverages;2002 August;116.7;;13726
177;01    Food and non-alcoholic beverages;2002 September;118.2;;13726
178;01    Food and non-alcoholic beverages;2002 October;116.5;;13726
179;01    Food and non-alcoholic beverages;2002 November;115.6;;13726
180;01    Food and non-alcoholic beverages;2002 December;116.4;;13726
181;01    Food and non-alcoholic beverages;2002;117.3;;13726
182;011    Food;1996 January;100.4;;12414
183;011    Food;1996 February;100.8;;12414
184;011    Food;1996 March;102.8;;12414
185;011    Food;1996 April;102.6;;12414
186;011    Food;1996 May;101.0;;12414
187;011    Food;1996 June;100.2;;12414
188;011    Food;1996 July;100.1;;12414
189;011    Food;1996 August;98.3;;12414
190;011    Food;1996 September;98.7;;12414
191;011    Food;1996 October;99.2;;12414
192;011    Food;1996 November;99.2;;12414
193;011    Food;1996 December;100.2;;12414
194;011    Food;1996;100.3;;12414
195;011    Food;1997 January;102.8;;12414
196;011    Food;1997 February;101.4;;12414
197;011    Food;1997 March;100.7;;12414
198;011    Food;1997 April;100.5;;12414
199;011    Food;1997 May;101.6;;12414
200;011    Food;1997 June;101.2;;12414
201;011    Food;1997 July;101.2;;12414
202;011    Food;1997 August;101.0;;12414
203;011    Food;1997 September;101.3;;12414
204;011    Food;1997 October;101.4;;12414
205;011    Food;1997 November;102.5;;12414
206;011    Food;1997 December;102.0;;12414
207;011    Food;1997;101.5;;12414
208;011    Food;1998 January;102.5;;12414
209;011    Food;1998 February;102.6;;12414
210;011    Food;1998 March;103.4;;12414
211;011    Food;1998 April;104.1;;12414
212;011    Food;1998 May;104.3;;12414
213;011    Food;1998 June;103.6;;12414
214;011    Food;1998 July;104.1;;12414
215;011    Food;1998 August;103.2;;12414
216;011    Food;1998 September;103.7;;12414
217;011    Food;1998 October;103.6;;12414
218;011    Food;1998 November;104.6;;12414
219;011    Food;1998 December;105.5;;12414
220;011    Food;1998;103.8;;12414
221;011    Food;1999 January;106.1;;12414
222;011    Food;1999 February;106.4;;12414
223;011    Food;1999 March;107.0;;12414
224;011    Food;1999 April;106.4;;12414
225;011    Food;1999 May;106.6;;12414
226;011    Food;1999 June;105.7;;12414
227;011    Food;1999 July;104.3;;12414
228;011    Food;1999 August;104.5;;12414
229;011    Food;1999 September;104.4;;12414
230;011    Food;1999 October;104.3;;12414
231;011    Food;1999 November;105.0;;12414
232;011    Food;1999 December;105.0;;12414
233;011    Food;1999;105.5;;12414
234;011    Food;2000 January;105.3;;12414
235;011    Food;2000 February;104.7;;12414
236;011    Food;2000 March;105.2;;12414
237;011    Food;2000 April;105.8;;12414
238;011    Food;2000 May;106.3;;12414
239;011    Food;2000 June;106.2;;12414
240;011    Food;2000 July;105.9;;12414
241;011    Food;2000 August;106.4;;12414
242;011    Food;2000 September;106.4;;12414
243;011    Food;2000 October;107.1;;12414
244;011    Food;2000 November;107.9;;12414
245;011    Food;2000 December;108.2;;12414
246;011    Food;2000;106.3;;12414
247;011    Food;2001 January;109.6;;12414
248;011    Food;2001 February;110.3;;12414
249;011    Food;2001 March;112.8;;12414
250;011    Food;2001 April;114.9;;12414
251;011    Food;2001 May;115.9;;12414
252;011    Food;2001 June;115.2;;12414
253;011    Food;2001 July;114.9;;12414
254;011    Food;2001 August;114.9;;12414
255;011    Food;2001 September;115.7;;12414
256;011    Food;2001 October;116.1;;12414
257;011    Food;2001 November;115.3;;12414
258;011    Food;2001 December;116.0;;12414
259;011    Food;2001;114.3;;12414
260;011    Food;2002 January;119.0;;12414
261;011    Food;2002 February;118.9;;12414
262;011    Food;2002 March;119.4;;12414
263;011    Food;2002 April;119.4;;12414
264;011    Food;2002 May;119.6;;12414
265;011    Food;2002 June;118.5;;12414
266;011    Food;2002 July;118.8;;12414
267;011    Food;2002 August;118.0;;12414
268;011    Food;2002 September;119.5;;12414
269;011    Food;2002 October;117.9;;12414
270;011    Food;2002 November;116.9;;12414
271;011    Food;2002 December;117.7;;12414
272;011    Food;2002;118.6;;12414
273;0111   Bread and cereals;1996 January;100.4;;2324
274;0111   Bread and cereals;1996 February;100.5;;2324
275;0111   Bread and cereals;1996 March;100.6;;2324
276;0111   Bread and cereals;1996 April;100.9;;2324
277;0111   Bread and cereals;1996 May;100.8;;2324
278;0111   Bread and cereals;1996 June;100.8;;2324
279;0111   Bread and cereals;1996 July;100.6;;2324
280;0111   Bread and cereals;1996 August;100.6;;2324
281;0111   Bread and cereals;1996 September;100.8;;2324
282;0111   Bread and cereals;1996 October;101.0;;2324
283;0111   Bread and cereals;1996 November;100.9;;2324
284;0111   Bread and cereals;1996 December;101.1;;2324
285;0111   Bread and cereals;1996;100.7;;2324
286;0111   Bread and cereals;1997 January;101.0;;2324
287;0111   Bread and cereals;1997 February;100.9;;2324
288;0111   Bread and cereals;1997 March;100.9;;2324
289;0111   Bread and cereals;1997 April;100.6;;2324
290;0111   Bread and cereals;1997 May;101.1;;2324
291;0111   Bread and cereals;1997 June;101.0;;2324
292;0111   Bread and cereals;1997 July;101.5;;2324
293;0111   Bread and cereals;1997 August;101.2;;2324
294;0111   Bread and cereals;1997 September;101.5;;2324
295;0111   Bread and cereals;1997 October;101.6;;2324
296;0111   Bread and cereals;1997 November;101.5;;2324
297;0111   Bread and cereals;1997 December;102.0;;2324
298;0111   Bread and cereals;1997;101.2;;2324
299;0111   Bread and cereals;1998 January;101.6;;2324
300;0111   Bread and cereals;1998 February;101.6;;2324
301;0111   Bread and cereals;1998 March;101.9;;2324
302;0111   Bread and cereals;1998 April;102.1;;2324
303;0111   Bread and cereals;1998 May;102.3;;2324
304;0111   Bread and cereals;1998 June;102.4;;2324
305;0111   Bread and cereals;1998 July;102.2;;2324
306;0111   Bread and cereals;1998 August;102.4;;2324
307;0111   Bread and cereals;1998 September;102.3;;2324
308;0111   Bread and cereals;1998 October;102.5;;2324
309;0111   Bread and cereals;1998 November;103.1;;2324
310;0111   Bread and cereals;1998 December;103.0;;2324
311;0111   Bread and cereals;1998;102.3;;2324
312;0111   Bread and cereals;1999 January;103.0;;2324
313;0111   Bread and cereals;1999 February;103.5;;2324
314;0111   Bread and cereals;1999 March;103.6;;2324
315;0111   Bread and cereals;1999 April;103.7;;2324
316;0111   Bread and cereals;1999 May;103.7;;2324
317;0111   Bread and cereals;1999 June;104.0;;2324
318;0111   Bread and cereals;1999 July;104.3;;2324
319;0111   Bread and cereals;1999 August;104.4;;2324
320;0111   Bread and cereals;1999 September;104.4;;2324
321;0111   Bread and cereals;1999 October;104.4;;2324
322;0111   Bread and cereals;1999 November;104.6;;2324
323;0111   Bread and cereals;1999 December;104.5;;2324
324;0111   Bread and cereals;1999;104.0;;2324
325;0111   Bread and cereals;2000 January;104.6;;2324
326;0111   Bread and cereals;2000 February;104.7;;2324
327;0111   Bread and cereals;2000 March;105.2;;2324
328;0111   Bread and cereals;2000 April;104.6;;2324
329;0111   Bread and cereals;2000 May;104.9;;2324
330;0111   Bread and cereals;2000 June;105.0;;2324
331;0111   Bread and cereals;2000 July;105.0;;2324
332;0111   Bread and cereals;2000 August;105.3;;2324
333;0111   Bread and cereals;2000 September;106.1;;2324
334;0111   Bread and cereals;2000 October;106.8;;2324
335;0111   Bread and cereals;2000 November;107.2;;2324
336;0111   Bread and cereals;2000 December;107.2;;2324
337;0111   Bread and cereals;2000;105.5;;2324
338;0111   Bread and cereals;2001 January;108.2;;2324
339;0111   Bread and cereals;2001 February;108.6;;2324
340;0111   Bread and cereals;2001 March;109.1;;2324
341;0111   Bread and cereals;2001 April;109.6;;2324
342;0111   Bread and cereals;2001 May;109.9;;2324
343;0111   Bread and cereals;2001 June;109.7;;2324
344;0111   Bread and cereals;2001 July;110.3;;2324
345;0111   Bread and cereals;2001 August;110.6;;2324
346;0111   Bread and cereals;2001 September;110.8;;2324
347;0111   Bread and cereals;2001 October;110.9;;2324
348;0111   Bread and cereals;2001 November;110.7;;2324
349;0111   Bread and cereals;2001 December;111.3;;2324
350;0111   Bread and cereals;2001;110.0;;2324
351;0111   Bread and cereals;2002 January;111.9;;2324
352;0111   Bread and cereals;2002 February;112.0;;2324
353;0111   Bread and cereals;2002 March;112.2;;2324
354;0111   Bread and cereals;2002 April;113.1;;2324
355;0111   Bread and cereals;2002 May;113.6;;2324
356;0111   Bread and cereals;2002 June;113.7;;2324
357;0111   Bread and cereals;2002 July;113.9;;2324
358;0111   Bread and cereals;2002 August;114.3;;2324
359;0111   Bread and cereals;2002 September;114.2;;2324
360;0111   Bread and cereals;2002 October;114.1;;2324
361;0111   Bread and cereals;2002 November;114.2;;2324
362;0111   Bread and cereals;2002 December;114.2;;2324
363;0111   Bread and cereals;2002;113.5;;2324
364;01111  Rice;1996 January;;100.0;56
365;01111  Rice;1996 February;;100.0;56
366;01111  Rice;1996 March;;100.0;56
367;01111  Rice;1996 April;;100.0;56
368;01111  Rice;1996 May;;100.0;56
369;01111  Rice;1996 June;;99.0;56
370;01111  Rice;1996 July;;99.0;56
371;01111  Rice;1996 August;;100.0;56
372;01111  Rice;1996 September;;100.0;56
373;01111  Rice;1996 October;;99.0;56
374;01111  Rice;1996 November;;99.0;56
375;01111  Rice;1996 December;;99.0;56
376;01111  Rice;1996;;100.0;56
377;01111  Rice;1997 January;;99.0;56
378;01111  Rice;1997 February;;97.0;56
379;01111  Rice;1997 March;;96.0;56
380;01111  Rice;1997 April;;97.0;56
381;01111  Rice;1997 May;;98.0;56
382;01111  Rice;1997 June;;98.0;56
383;01111  Rice;1997 July;;98.0;56
384;01111  Rice;1997 August;;98.0;56
385;01111  Rice;1997 September;;98.0;56
386;01111  Rice;1997 October;;98.0;56
387;01111  Rice;1997 November;;98.0;56
388;01111  Rice;1997 December;;99.0;56
389;01111  Rice;1997;;98.0;56
390;01111  Rice;1998 January;;99.0;56
391;01111  Rice;1998 February;;99.0;56
392;01111  Rice;1998 March;;99.0;56
393;01111  Rice;1998 April;;99.0;56
394;01111  Rice;1998 May;;99.0;56
395;01111  Rice;1998 June;;98.0;56
396;01111  Rice;1998 July;;98.0;56
397;01111  Rice;1998 August;;97.0;56
398;01111  Rice;1998 September;;97.0;56
399;01111  Rice;1998 October;;98.0;56
400;01111  Rice;1998 November;;98.0;56
401;01111  Rice;1998 December;;98.0;56
402;01111  Rice;1998;;98.0;56
403;01111  Rice;1999 January;;98.0;56
404;01111  Rice;1999 February;;98.0;56
405;01111  Rice;1999 March;;97.0;56
406;01111  Rice;1999 April;;98.0;56
407;01111  Rice;1999 May;;97.0;56
408;01111  Rice;1999 June;;97.0;56
409;01111  Rice;1999 July;;97.0;56
410;01111  Rice;1999 August;;97.0;56
411;01111  Rice;1999 September;;97.0;56
412;01111  Rice;1999 October;;97.0;56
413;01111  Rice;1999 November;;99.0;56
414;01111  Rice;1999 December;;99.0;56
415;01111  Rice;1999;;98.0;56
416;01111  Rice;2000 January;;100.0;56
417;01111  Rice;2000 February;;101.0;56
418;01111  Rice;2000 March;;101.0;56
419;01111  Rice;2000 April;;101.0;56
420;01111  Rice;2000 May;;102.0;56
421;01111  Rice;2000 June;;101.0;56
422;01111  Rice;2000 July;;101.0;56
423;01111  Rice;2000 August;;101.0;56
424;01111  Rice;2000 September;;102.0;56
425;01111  Rice;2000 October;;103.0;56
426;01111  Rice;2000 November;;104.0;56
427;01111  Rice;2000 December;;103.0;56
428;01111  Rice;2000;;102.0;56
429;01111  Rice;2001 January;;104.0;56
430;01111  Rice;2001 February;;103.0;56
431;01111  Rice;2001 March;;104.0;56
432;01111  Rice;2001 April;;104.0;56
433;01111  Rice;2001 May;;104.0;56
434;01111  Rice;2001 June;;104.0;56
435;01111  Rice;2001 July;;103.0;56
436;01111  Rice;2001 August;;104.0;56
437;01111  Rice;2001 September;;104.0;56
438;01111  Rice;2001 October;;105.0;56
439;01111  Rice;2001 November;;103.0;56
440;01111  Rice;2001 December;;103.0;56
441;01111  Rice;2001;;104.0;56
442;01111  Rice;2002 January;;105.0;56
443;01111  Rice;2002 February;;105.0;56
444;01111  Rice;2002 March;;104.0;56
445;01111  Rice;2002 April;;103.0;56
446;01111  Rice;2002 May;;102.0;56
447;01111  Rice;2002 June;;106.0;56
448;01111  Rice;2002 July;;106.0;56
449;01111  Rice;2002 August;;107.0;56
450;01111  Rice;2002 September;;106.0;56
451;01111  Rice;2002 October;;108.0;56
452;01111  Rice;2002 November;;109.0;56
453;01111  Rice;2002 December;;110.0;56
454;01111  Rice;2002;;106.0;56
455;01112  Wheat flour;1996 January;;101.0;31
456;01112  Wheat flour;1996 February;;101.0;31
457;01112  Wheat flour;1996 March;;101.0;31
458;01112  Wheat flour;1996 April;;100.0;31
459;01112  Wheat flour;1996 May;;100.0;31
460;01112  Wheat flour;1996 June;;100.0;31
461;01112  Wheat flour;1996 July;;100.0;31
462;01112  Wheat flour;1996 August;;99.0;31
463;01112  Wheat flour;1996 September;;98.0;31
464;01112  Wheat flour;1996 October;;98.0;31
465;01112  Wheat flour;1996 November;;98.0;31
466;01112  Wheat flour;1996 December;;97.0;31
467;01112  Wheat flour;1996;;99.0;31
468;01112  Wheat flour;1997 January;;97.0;31
469;01112  Wheat flour;1997 February;;96.0;31
470;01112  Wheat flour;1997 March;;97.0;31
471;01112  Wheat flour;1997 April;;98.0;31
472;01112  Wheat flour;1997 May;;98.0;31
473;01112  Wheat flour;1997 June;;98.0;31
474;01112  Wheat flour;1997 July;;99.0;31
475;01112  Wheat flour;1997 August;;99.0;31
476;01112  Wheat flour;1997 September;;100.0;31
477;01112  Wheat flour;1997 October;;100.0;31
478;01112  Wheat flour;1997 November;;100.0;31
479;01112  Wheat flour;1997 December;;99.0;31
480;01112  Wheat flour;1997;;98.0;31
481;01112  Wheat flour;1998 January;;100.0;31
482;01112  Wheat flour;1998 February;;99.0;31
483;01112  Wheat flour;1998 March;;100.0;31
484;01112  Wheat flour;1998 April;;101.0;31
485;01112  Wheat flour;1998 May;;101.0;31
486;01112  Wheat flour;1998 June;;101.0;31
487;01112  Wheat flour;1998 July;;101.0;31
488;01112  Wheat flour;1998 August;;100.0;31
489;01112  Wheat flour;1998 September;;100.0;31
490;01112  Wheat flour;1998 October;;101.0;31
491;01112  Wheat flour;1998 November;;102.0;31
492;01112  Wheat flour;1998 December;;102.0;31
493;01112  Wheat flour;1998;;101.0;31
494;01112  Wheat flour;1999 January;;101.0;31
495;01112  Wheat flour;1999 February;;101.0;31
496;01112  Wheat flour;1999 March;;102.0;31
497;01112  Wheat flour;1999 April;;101.0;31
498;01112  Wheat flour;1999 May;;102.0;31
499;01112  Wheat flour;1999 June;;101.0;31
500;01112  Wheat flour;1999 July;;101.0;31
501;01112  Wheat flour;1999 August;;102.0;31
502;01112  Wheat flour;1999 September;;103.0;31
503;01112  Wheat flour;1999 October;;103.0;31
504;01112  Wheat flour;1999 November;;104.0;31
505;01112  Wheat flour;1999 December;;103.0;31
506;01112  Wheat flour;1999;;102.0;31
507;01112  Wheat flour;2000 January;;103.0;31
508;01112  Wheat flour;2000 February;;103.0;31
509;01112  Wheat flour;2000 March;;98.0;31
510;01112  Wheat flour;2000 April;;98.0;31
511;01112  Wheat flour;2000 May;;99.0;31
512;01112  Wheat flour;2000 June;;99.0;31
513;01112  Wheat flour;2000 July;;99.0;31
514;01112  Wheat flour;2000 August;;99.0;31
515;01112  Wheat flour;2000 September;;99.0;31
516;01112  Wheat flour;2000 October;;99.0;31
517;01112  Wheat flour;2000 November;;100.0;31
518;01112  Wheat flour;2000 December;;99.0;31
519;01112  Wheat flour;2000;;99.0;31
520;01112  Wheat flour;2001 January;;99.0;31
521;01112  Wheat flour;2001 February;;99.0;31
522;01112  Wheat flour;2001 March;;100.0;31
523;01112  Wheat flour;2001 April;;100.0;31
524;01112  Wheat flour;2001 May;;100.0;31
525;01112  Wheat flour;2001 June;;101.0;31
526;01112  Wheat flour;2001 July;;100.0;31
527;01112  Wheat flour;2001 August;;101.0;31
528;01112  Wheat flour;2001 September;;102.0;31
529;01112  Wheat flour;2001 October;;102.0;31
530;01112  Wheat flour;2001 November;;103.0;31
531;01112  Wheat flour;2001 December;;102.0;31
532;01112  Wheat flour;2001;;101.0;31
533;01112  Wheat flour;2002 January;;102.0;31
534;01112  Wheat flour;2002 February;;102.0;31
535;01112  Wheat flour;2002 March;;102.0;31
536;01112  Wheat flour;2002 April;;106.0;31
537;01112  Wheat flour;2002 May;;106.0;31
538;01112  Wheat flour;2002 June;;107.0;31
539;01112  Wheat flour;2002 July;;105.0;31
540;01112  Wheat flour;2002 August;;104.0;31
541;01112  Wheat flour;2002 September;;107.0;31
542;01112  Wheat flour;2002 October;;106.0;31
543;01112  Wheat flour;2002 November;;106.0;31
544;01112  Wheat flour;2002 December;;106.0;31
545;01112  Wheat flour;2002;;105.0;31
546;01113  Bread and rusks;1996 January;;101.0;1080
547;01113  Bread and rusks;1996 February;;101.0;1080
548;01113  Bread and rusks;1996 March;;101.0;1080
549;01113  Bread and rusks;1996 April;;102.0;1080
550;01113  Bread and rusks;1996 May;;101.0;1080
551;01113  Bread and rusks;1996 June;;102.0;1080
552;01113  Bread and rusks;1996 July;;101.0;1080
553;01113  Bread and rusks;1996 August;;101.0;1080
554;01113  Bread and rusks;1996 September;;101.0;1080
555;01113  Bread and rusks;1996 October;;102.0;1080
556;01113  Bread and rusks;1996 November;;101.0;1080
557;01113  Bread and rusks;1996 December;;102.0;1080
558;01113  Bread and rusks;1996;;101.0;1080
559;01113  Bread and rusks;1997 January;;101.0;1080
560;01113  Bread and rusks;1997 February;;101.0;1080
561;01113  Bread and rusks;1997 March;;101.0;1080
562;01113  Bread and rusks;1997 April;;101.0;1080
563;01113  Bread and rusks;1997 May;;102.0;1080
564;01113  Bread and rusks;1997 June;;101.0;1080
565;01113  Bread and rusks;1997 July;;101.0;1080
566;01113  Bread and rusks;1997 August;;101.0;1080
567;01113  Bread and rusks;1997 September;;101.0;1080
568;01113  Bread and rusks;1997 October;;101.0;1080
569;01113  Bread and rusks;1997 November;;102.0;1080
570;01113  Bread and rusks;1997 December;;102.0;1080
571;01113  Bread and rusks;1997;;101.0;1080
