ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
28;Drenthe (PV);Totaal particulier huishouden;195.8;29.0
29;Drenthe (PV);Eenpersoonshuishouden;53.8;17.3
30;Drenthe (PV);Meerpers. huishouden met minderj. kind.;56.4;34.5
31;Drenthe (PV);Meerpers. huishouden z. minderj. kind.;85.7;32.9
32;Overijssel (PV);Totaal particulier huishouden;431.5;29.5
33;Overijssel (PV);Eenpersoonshuishouden;124.0;17.4
34;Overijssel (PV);Meerpers. huishouden met minderj. kind.;129.8;35.3
35;Overijssel (PV);Meerpers. huishouden z. minderj. kind.;177.7;33.8
36;Flevoland (PV);Totaal particulier huishouden;135.1;30.8
37;Flevoland (PV);Eenpersoonshuishouden;35.2;17.9
38;Flevoland (PV);Meerpers. huishouden met minderj. kind.;50.5;35.4
39;Flevoland (PV);Meerpers. huishouden z. minderj. kind.;49.3;35.3
40;Gelderland (PV);Totaal particulier huishouden;776.5;30.8
41;Gelderland (PV);Eenpersoonshuishouden;227.3;17.9
42;Gelderland (PV);Meerpers. huishouden met minderj. kind.;229.0;36.9
43;Gelderland (PV);Meerpers. huishouden z. minderj. kind.;320.1;35.5
44;Utrecht (PV);Totaal particulier huishouden;473.0;32.8
45;Utrecht (PV);Eenpersoonshuishouden;160.2;19.7
46;Utrecht (PV);Meerpers. huishouden met minderj. kind.;135.3;40.2
47;Utrecht (PV);Meerpers. huishouden z. minderj. kind.;177.6;38.9
48;Noord-Holland (PV);Totaal particulier huishouden;1142.7;30.4
49;Noord-Holland (PV);Eenpersoonshuishouden;445.4;19.2
50;Noord-Holland (PV);Meerpers. huishouden met minderj. kind.;295.1;37.6
51;Noord-Holland (PV);Meerpers. huishouden z. minderj. kind.;402.2;37.6
52;Zuid-Holland (PV);Totaal particulier huishouden;1463.0;30.4
53;Zuid-Holland (PV);Eenpersoonshuishouden;517.6;18.7
54;Zuid-Holland (PV);Meerpers. huishouden met minderj. kind.;404.1;36.9
55;Zuid-Holland (PV);Meerpers. huishouden z. minderj. kind.;541.3;36.7
56;Zeeland (PV);Totaal particulier huishouden;158.0;29.5
57;Zeeland (PV);Eenpersoonshuishouden;48.1;17.6
58;Zeeland (PV);Meerpers. huishouden met minderj. kind.;42.9;36.0
59;Zeeland (PV);Meerpers. huishouden z. minderj. kind.;67.0;34.0
60;Noord-Brabant (PV);Totaal particulier huishouden;965.1;31.1
61;Noord-Brabant (PV);Eenpersoonshuishouden;272.1;18.2
62;Noord-Brabant (PV);Meerpers. huishouden met minderj. kind.;279.6;36.7
63;Noord-Brabant (PV);Meerpers. huishouden z. minderj. kind.;413.4;35.8
64;Limburg (PV);Totaal particulier huishouden;474.2;29.4
65;Limburg (PV);Eenpersoonshuishouden;139.5;17.3
66;Limburg (PV);Meerpers. huishouden met minderj. kind.;129.3;35.3
67;Limburg (PV);Meerpers. huishouden z. minderj. kind.;205.4;33.9
68;Oost-Groningen (CR);Totaal particulier huishouden;65.5;26.4
69;Oost-Groningen (CR);Eenpersoonshuishouden;18.9;15.7
70;Oost-Groningen (CR);Meerpers. huishouden met minderj. kind.;17.5;32.1
71;Oost-Groningen (CR);Meerpers. huishouden z. minderj. kind.;29.2;29.8
72;Delfzijl en omgeving (CR);Totaal particulier huishouden;22.2;27.2
73;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.7;16.8
74;Delfzijl en omgeving (CR);Meerpers. huishouden met minderj. kind.;6.0;32.2
75;Delfzijl en omgeving (CR);Meerpers. huishouden z. minderj. kind.;9.6;31.4
76;Overig Groningen (CR);Totaal particulier huishouden;153.5;27.2
77;Overig Groningen (CR);Eenpersoonshuishouden;59.1;17.4
78;Overig Groningen (CR);Meerpers. huishouden met minderj. kind.;37.4;34.3
79;Overig Groningen (CR);Meerpers. huishouden z. minderj. kind.;56.9;32.7
80;Noord-Friesland (CR);Totaal particulier huishouden;135.4;27.5
81;Noord-Friesland (CR);Eenpersoonshuishouden;43.4;16.8
82;Noord-Friesland (CR);Meerpers. huishouden met minderj. kind.;37.5;33.5
83;Noord-Friesland (CR);Meerpers. huishouden z. minderj. kind.;54.5;32.0
84;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.0;27.9
85;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.8;16.8
86;Zuidwest-Friesland (CR);Meerpers. huishouden met minderj. kind.;12.3;33.7
87;Zuidwest-Friesland (CR);Meerpers. huishouden z. minderj. kind.;17.8;32.0
88;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.2;28.2
89;Zuidoost-Friesland (CR);Eenpersoonshuishouden;24.6;16.8
90;Zuidoost-Friesland (CR);Meerpers. huishouden met minderj. kind.;23.6;33.9
91;Zuidoost-Friesland (CR);Meerpers. huishouden z. minderj. kind.;36.0;32.3
92;Noord-Drenthe (CR);Totaal particulier huishouden;74.9;30.1
93;Noord-Drenthe (CR);Eenpersoonshuishouden;21.2;17.8
94;Noord-Drenthe (CR);Meerpers. huishouden met minderj. kind.;21.5;36.0
95;Noord-Drenthe (CR);Meerpers. huishouden z. minderj. kind.;32.2;34.2
96;Zuidoost-Drenthe (CR);Totaal particulier huishouden;69.7;27.8
97;Zuidoost-Drenthe (CR);Eenpersoonshuishouden;18.4;16.4
98;Zuidoost-Drenthe (CR);Meerpers. huishouden met minderj. kind.;20.1;32.7
99;Zuidoost-Drenthe (CR);Meerpers. huishouden z. minderj. kind.;31.2;31.3
100;Zuidwest-Drenthe (CR);Totaal particulier huishouden;51.2;29.3
101;Zuidwest-Drenthe (CR);Eenpersoonshuishouden;14.2;17.5
102;Zuidwest-Drenthe (CR);Meerpers. huishouden met minderj. kind.;14.7;34.8
103;Zuidwest-Drenthe (CR);Meerpers. huishouden z. minderj. kind.;22.3;33.1
104;Noord-Overijssel (CR);Totaal particulier huishouden;132.0;29.8
105;Noord-Overijssel (CR);Eenpersoonshuishouden;37.9;17.4
106;Noord-Overijssel (CR);Meerpers. huishouden met minderj. kind.;40.9;35.7
107;Noord-Overijssel (CR);Meerpers. huishouden z. minderj. kind.;53.2;34.1
108;Zuidwest-Overijssel (CR);Totaal particulier huishouden;58.9;29.2
109;Zuidwest-Overijssel (CR);Eenpersoonshuishouden;17.8;17.4
110;Zuidwest-Overijssel (CR);Meerpers. huishouden met minderj. kind.;17.3;34.8
111;Zuidwest-Overijssel (CR);Meerpers. huishouden z. minderj. kind.;23.8;34.0
112;Twente (CR);Totaal particulier huishouden;240.6;29.4
113;Twente (CR);Eenpersoonshuishouden;68.4;17.4
114;Twente (CR);Meerpers. huishouden met minderj. kind.;71.5;35.1
115;Twente (CR);Meerpers. huishouden z. minderj. kind.;100.7;33.6
116;Veluwe (CR);Totaal particulier huishouden;244.0;31.9
117;Veluwe (CR);Eenpersoonshuishouden;68.0;18.3
118;Veluwe (CR);Meerpers. huishouden met minderj. kind.;75.2;37.9
119;Veluwe (CR);Meerpers. huishouden z. minderj. kind.;100.7;36.5
120;Achterhoek (CR);Totaal particulier huishouden;151.8;30.3
121;Achterhoek (CR);Eenpersoonshuishouden;39.9;17.4
122;Achterhoek (CR);Meerpers. huishouden met minderj. kind.;44.6;36.0
123;Achterhoek (CR);Meerpers. huishouden z. minderj. kind.;67.4;34.2
124;Arnhem/Nijmegen (CR);Totaal particulier huishouden;293.9;29.5
125;Arnhem/Nijmegen (CR);Eenpersoonshuishouden;98.6;17.9
126;Arnhem/Nijmegen (CR);Meerpers. huishouden met minderj. kind.;80.0;35.9
127;Arnhem/Nijmegen (CR);Meerpers. huishouden z. minderj. kind.;115.3;35.0
128;Zuidwest-Gelderland (CR);Totaal particulier huishouden;86.8;32.8
129;Zuidwest-Gelderland (CR);Eenpersoonshuishouden;20.8;17.7
130;Zuidwest-Gelderland (CR);Meerpers. huishouden met minderj. kind.;29.2;38.4
131;Zuidwest-Gelderland (CR);Meerpers. huishouden z. minderj. kind.;36.8;36.8
132;Utrecht (CR);Totaal particulier huishouden;473.0;32.8
133;Utrecht (CR);Eenpersoonshuishouden;160.2;19.7
134;Utrecht (CR);Meerpers. huishouden met minderj. kind.;135.3;40.2
135;Utrecht (CR);Meerpers. huishouden z. minderj. kind.;177.6;38.9
136;Kop van Noord-Holland (CR);Totaal particulier huishouden;146.2;30.5
137;Kop van Noord-Holland (CR);Eenpersoonshuishouden;41.6;17.5
138;Kop van Noord-Holland (CR);Meerpers. huishouden met minderj. kind.;43.9;36.4
139;Kop van Noord-Holland (CR);Meerpers. huishouden z. minderj. kind.;60.7;35.2
140;Alkmaar en omgeving (CR);Totaal particulier huishouden;92.8;31.3
141;Alkmaar en omgeving (CR);Eenpersoonshuishouden;29.3;18.7
142;Alkmaar en omgeving (CR);Meerpers. huishouden met minderj. kind.;26.4;37.2
143;Alkmaar en omgeving (CR);Meerpers. huishouden z. minderj. kind.;37.1;37.1
144;IJmond (CR);Totaal particulier huishouden;78.2;31.9
145;IJmond (CR);Eenpersoonshuishouden;24.1;19.4
146;IJmond (CR);Meerpers. huishouden met minderj. kind.;22.6;38.1
147;IJmond (CR);Meerpers. huishouden z. minderj. kind.;31.5;37.2
148;Agglomeratie Haarlem (CR);Totaal particulier huishouden;97.8;32.1
149;Agglomeratie Haarlem (CR);Eenpersoonshuishouden;39.2;19.8
150;Agglomeratie Haarlem (CR);Meerpers. huishouden met minderj. kind.;23.2;41.9
151;Agglomeratie Haarlem (CR);Meerpers. huishouden z. minderj. kind.;35.4;39.2
152;Zaanstreek (CR);Totaal particulier huishouden;65.6;30.5
153;Zaanstreek (CR);Eenpersoonshuishouden;20.4;18.2
154;Zaanstreek (CR);Meerpers. huishouden met minderj. kind.;18.8;36.4
155;Zaanstreek (CR);Meerpers. huishouden z. minderj. kind.;26.4;35.8
156;Groot-Amsterdam (CR);Totaal particulier huishouden;556.8;29.0
157;Groot-Amsterdam (CR);Eenpersoonshuishouden;253.4;19.3
158;Groot-Amsterdam (CR);Meerpers. huishouden met minderj. kind.;133.1;36.2
159;Groot-Amsterdam (CR);Meerpers. huishouden z. minderj. kind.;170.3;37.8
160;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;105.2;34.4
161;Het Gooi en Vechtstreek (CR);Eenpersoonshuishouden;37.4;20.6
162;Het Gooi en Vechtstreek (CR);Meerpers. huishouden met minderj. kind.;27.1;44.1
163;Het Gooi en Vechtstreek (CR);Meerpers. huishouden z. minderj. kind.;40.6;40.7
164;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;157.0;33.0
165;Agglomeratie Leiden en Bollenstreek (CR);Eenpersoonshuishouden;52.6;19.7
166;Agglomeratie Leiden en Bollenstreek (CR);Meerpers. huishouden met minderj. kind.;44.9;40.9
167;Agglomeratie Leiden en Bollenstreek (CR);Meerpers. huishouden z. minderj. kind.;59.6;38.7
168;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;343.4;30.0
169;Agglomeratie 's-Gravenhage (CR);Eenpersoonshuishouden;142.5;19.9
170;Agglomeratie 's-Gravenhage (CR);Meerpers. huishouden met minderj. kind.;86.8;36.5
171;Agglomeratie 's-Gravenhage (CR);Meerpers. huishouden z. minderj. kind.;114.1;37.9
172;Delft en Westland (CR);Totaal particulier huishouden;84.6;31.6
173;Delft en Westland (CR);Eenpersoonshuishouden;28.0;18.7
174;Delft en Westland (CR);Meerpers. huishouden met minderj. kind.;23.8;38.9
175;Delft en Westland (CR);Meerpers. huishouden z. minderj. kind.;32.8;37.3
176;Oost-Zuid-Holland (CR);Totaal particulier huishouden;126.0;33.5
177;Oost-Zuid-Holland (CR);Eenpersoonshuishouden;34.2;18.7
178;Oost-Zuid-Holland (CR);Meerpers. huishouden met minderj. kind.;39.6;39.8
179;Oost-Zuid-Holland (CR);Meerpers. huishouden z. minderj. kind.;52.2;38.4
180;Groot-Rijnmond (CR);Totaal particulier huishouden;591.5;29.0
181;Groot-Rijnmond (CR);Eenpersoonshuishouden;213.3;17.9
182;Groot-Rijnmond (CR);Meerpers. huishouden met minderj. kind.;160.5;35.0
183;Groot-Rijnmond (CR);Meerpers. huishouden z. minderj. kind.;217.7;35.4
184;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;160.5;30.9
185;Zuidoost-Zuid-Holland (CR);Eenpersoonshuishouden;47.0;17.8
186;Zuidoost-Zuid-Holland (CR);Meerpers. huishouden met minderj. kind.;48.5;37.2
187;Zuidoost-Zuid-Holland (CR);Meerpers. huishouden z. minderj. kind.;64.9;35.7
188;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;46.3;29.7
189;Zeeuwsch-Vlaanderen (CR);Eenpersoonshuishouden;13.8;17.6
190;Zeeuwsch-Vlaanderen (CR);Meerpers. huishouden met minderj. kind.;12.0;37.0
191;Zeeuwsch-Vlaanderen (CR);Meerpers. huishouden z. minderj. kind.;20.4;33.6
192;Overig Zeeland (CR);Totaal particulier huishouden;111.7;29.5
193;Overig Zeeland (CR);Eenpersoonshuishouden;34.3;17.6
194;Overig Zeeland (CR);Meerpers. huishouden met minderj. kind.;30.9;35.5
195;Overig Zeeland (CR);Meerpers. huishouden z. minderj. kind.;46.6;34.2
196;West-Noord-Brabant (CR);Totaal particulier huishouden;247.2;30.8
197;West-Noord-Brabant (CR);Eenpersoonshuishouden;69.7;18.1
198;West-Noord-Brabant (CR);Meerpers. huishouden met minderj. kind.;70.0;36.8
199;West-Noord-Brabant (CR);Meerpers. huishouden z. minderj. kind.;107.5;35.1
200;Midden-Noord-Brabant (CR);Totaal particulier huishouden;178.1;30.8
201;Midden-Noord-Brabant (CR);Eenpersoonshuishouden;50.5;17.9
202;Midden-Noord-Brabant (CR);Meerpers. huishouden met minderj. kind.;51.8;36.4
203;Midden-Noord-Brabant (CR);Meerpers. huishouden z. minderj. kind.;75.8;35.6
204;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;244.8;31.9
205;Noordoost-Noord-Brabant (CR);Eenpersoonshuishouden;65.3;18.3
206;Noordoost-Noord-Brabant (CR);Meerpers. huishouden met minderj. kind.;74.8;37.1
207;Noordoost-Noord-Brabant (CR);Meerpers. huishouden z. minderj. kind.;104.6;36.6
208;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;295.0;30.9
209;Zuidoost-Noord-Brabant (CR);Eenpersoonshuishouden;86.5;18.4
210;Zuidoost-Noord-Brabant (CR);Meerpers. huishouden met minderj. kind.;83.0;36.5
211;Zuidoost-Noord-Brabant (CR);Meerpers. huishouden z. minderj. kind.;125.5;35.7
212;Noord-Limburg (CR);Totaal particulier huishouden;109.8;30.5
213;Noord-Limburg (CR);Eenpersoonshuishouden;28.9;17.4
214;Noord-Limburg (CR);Meerpers. huishouden met minderj. kind.;32.9;35.2
215;Noord-Limburg (CR);Meerpers. huishouden z. minderj. kind.;48.0;35.1
216;Midden-Limburg (CR);Totaal particulier huishouden;94.7;30.5
217;Midden-Limburg (CR);Eenpersoonshuishouden;25.1;17.4
218;Midden-Limburg (CR);Meerpers. huishouden met minderj. kind.;27.1;36.2
219;Midden-Limburg (CR);Meerpers. huishouden z. minderj. kind.;42.5;34.7
220;Zuid-Limburg (CR);Totaal particulier huishouden;269.7;28.6
221;Zuid-Limburg (CR);Eenpersoonshuishouden;85.5;17.3
222;Zuid-Limburg (CR);Meerpers. huishouden met minderj. kind.;69.3;35.0
223;Zuid-Limburg (CR);Meerpers. huishouden z. minderj. kind.;114.9;33.1
224;Flevoland (CR);Totaal particulier huishouden;135.1;30.8
225;Flevoland (CR);Eenpersoonshuishouden;35.2;17.9
226;Flevoland (CR);Meerpers. huishouden met minderj. kind.;50.5;35.4
227;Flevoland (CR);Meerpers. huishouden z. minderj. kind.;49.3;35.3
228;Groningen (GA);Totaal particulier huishouden;86.6;26.1
229;Groningen (GA);Eenpersoonshuishouden;41.2;17.8
230;Groningen (GA);Meerpers. huishouden met minderj. kind.;17.0;33.9
231;Groningen (GA);Meerpers. huishouden z. minderj. kind.;28.4;33.4
232;Leeuwarden (GA);Totaal particulier huishouden;40.7;25.5
233;Leeuwarden (GA);Eenpersoonshuishouden;17.6;16.9
234;Leeuwarden (GA);Meerpers. huishouden met minderj. kind.;9.1;32.2
235;Leeuwarden (GA);Meerpers. huishouden z. minderj. kind.;14.1;31.8
236;Zwolle (GA);Totaal particulier huishouden;46.9;29.1
237;Zwolle (GA);Eenpersoonshuishouden;17.0;18.0
238;Zwolle (GA);Meerpers. huishouden met minderj. kind.;12.6;36.3
239;Zwolle (GA);Meerpers. huishouden z. minderj. kind.;17.3;34.8
240;Enschede (GA);Totaal particulier huishouden;63.2;26.2
241;Enschede (GA);Eenpersoonshuishouden;22.7;16.7
242;Enschede (GA);Meerpers. huishouden met minderj. kind.;16.5;32.2
243;Enschede (GA);Meerpers. huishouden z. minderj. kind.;24.0;31.0
244;Apeldoorn (GA);Totaal particulier huishouden;64.6;30.7
245;Apeldoorn (GA);Eenpersoonshuishouden;20.5;18.5
246;Apeldoorn (GA);Meerpers. huishouden met minderj. kind.;17.8;36.9
247;Apeldoorn (GA);Meerpers. huishouden z. minderj. kind.;26.3;36.0
248;Arnhem (GA);Totaal particulier huishouden;65.0;26.8
249;Arnhem (GA);Eenpersoonshuishouden;27.3;17.4
250;Arnhem (GA);Meerpers. huishouden met minderj. kind.;15.1;33.0
251;Arnhem (GA);Meerpers. huishouden z. minderj. kind.;22.5;34.0
252;Nijmegen (GA);Totaal particulier huishouden;69.1;26.8
253;Nijmegen (GA);Eenpersoonshuishouden;30.7;17.4
254;Nijmegen (GA);Meerpers. huishouden met minderj. kind.;15.6;34.5
255;Nijmegen (GA);Meerpers. huishouden z. minderj. kind.;22.9;34.1
256;Amersfoort (GA);Totaal particulier huishouden;66.2;32.7
257;Amersfoort (GA);Eenpersoonshuishouden;21.8;19.8
258;Amersfoort (GA);Meerpers. huishouden met minderj. kind.;20.2;39.6
259;Amersfoort (GA);Meerpers. huishouden z. minderj. kind.;24.3;38.6
260;Utrecht (GA);Totaal particulier huishouden;173.2;30.3
261;Utrecht (GA);Eenpersoonshuishouden;70.7;19.3
262;Utrecht (GA);Meerpers. huishouden met minderj. kind.;42.9;38.1
263;Utrecht (GA);Meerpers. huishouden z. minderj. kind.;59.6;37.6
264;Amsterdam (GA);Totaal particulier huishouden;490.8;27.9
265;Amsterdam (GA);Eenpersoonshuishouden;237.5;19.3
266;Amsterdam (GA);Meerpers. huishouden met minderj. kind.;110.6;34.7
267;Amsterdam (GA);Meerpers. huishouden z. minderj. kind.;142.7;36.8
268;Haarlem (GA);Totaal particulier huishouden;85.6;31.9
269;Haarlem (GA);Eenpersoonshuishouden;34.8;19.6
270;Haarlem (GA);Meerpers. huishouden met minderj. kind.;20.3;42.0
271;Haarlem (GA);Meerpers. huishouden z. minderj. kind.;30.5;39.0
272;Leiden (GA);Totaal particulier huishouden;104.5;32.3
273;Leiden (GA);Eenpersoonshuishouden;38.0;19.7
274;Leiden (GA);Meerpers. huishouden met minderj. kind.;28.7;40.7
275;Leiden (GA);Meerpers. huishouden z. minderj. kind.;37.9;38.7
276;'s-Gravenhage (GA);Totaal particulier huishouden;290.8;29.3
277;'s-Gravenhage (GA);Eenpersoonshuishouden;128.0;19.8
278;'s-Gravenhage (GA);Meerpers. huishouden met minderj. kind.;69.2;35.8
279;'s-Gravenhage (GA);Meerpers. huishouden z. minderj. kind.;93.6;37.4
280;Rotterdam (GA);Totaal particulier huishouden;453.1;27.5
281;Rotterdam (GA);Eenpersoonshuishouden;179.8;17.7
282;Rotterdam (GA);Meerpers. huishouden met minderj. kind.;117.0;33.3
283;Rotterdam (GA);Meerpers. huishouden z. minderj. kind.;156.3;34.5
284;Dordrecht (GA);Totaal particulier huishouden;102.4;30.2
285;Dordrecht (GA);Eenpersoonshuishouden;32.1;17.8
286;Dordrecht (GA);Meerpers. huishouden met minderj. kind.;29.6;36.2
287;Dordrecht (GA);Meerpers. huishouden z. minderj. kind.;40.7;35.5
288;Breda (GA);Totaal particulier huishouden;70.5;30.1
289;Breda (GA);Eenpersoonshuishouden;24.8;18.7
290;Breda (GA);Meerpers. huishouden met minderj. kind.;18.0;37.4
291;Breda (GA);Meerpers. huishouden z. minderj. kind.;27.7;35.7
292;Tilburg (GA);Totaal particulier huishouden;91.0;29.0
293;Tilburg (GA);Eenpersoonshuishouden;30.4;17.7
294;Tilburg (GA);Meerpers. huishouden met minderj. kind.;24.4;34.9
295;Tilburg (GA);Meerpers. huishouden z. minderj. kind.;36.1;34.5
296;'s-Hertogenbosch (GA);Totaal particulier huishouden;67.1;31.0
297;'s-Hertogenbosch (GA);Eenpersoonshuishouden;23.1;19.0
298;'s-Hertogenbosch (GA);Meerpers. huishouden met minderj. kind.;18.1;37.4
299;'s-Hertogenbosch (GA);Meerpers. huishouden z. minderj. kind.;25.8;37.3
300;Eindhoven (GA);Totaal particulier huishouden;134.4;29.5
301;Eindhoven (GA);Eenpersoonshuishouden;48.1;18.6
302;Eindhoven (GA);Meerpers. huishouden met minderj. kind.;33.1;35.9
303;Eindhoven (GA);Meerpers. huishouden z. minderj. kind.;53.2;35.4
304;Geleen/Sittard (GA);Totaal particulier huishouden;60.1;29.5
305;Geleen/Sittard (GA);Eenpersoonshuishouden;17.6;17.4
306;Geleen/Sittard (GA);Meerpers. huishouden met minderj. kind.;16.2;35.6
307;Geleen/Sittard (GA);Meerpers. huishouden z. minderj. kind.;26.3;33.8
308;Heerlen (GA);Totaal particulier huishouden;96.0;26.7
309;Heerlen (GA);Eenpersoonshuishouden;32.9;16.8
310;Heerlen (GA);Meerpers. huishouden met minderj. kind.;23.5;32.7
311;Heerlen (GA);Meerpers. huishouden z. minderj. kind.;39.5;31.3
312;Maastricht (GA);Totaal particulier huishouden;52.4;27.4
313;Maastricht (GA);Eenpersoonshuishouden;20.1;17.6
314;Maastricht (GA);Meerpers. huishouden met minderj. kind.;12.0;34.3
315;Maastricht (GA);Meerpers. huishouden z. minderj. kind.;20.3;33.0
316;Groningen (SG);Totaal particulier huishouden;142.9;28.0
317;Groningen (SG);Eenpersoonshuishouden;55.3;17.8
318;Groningen (SG);Meerpers. huishouden met minderj. kind.;34.5;35.4
319;Groningen (SG);Meerpers. huishouden z. minderj. kind.;53.1;33.8
320;Leeuwarden (SG);Totaal particulier huishouden;67.0;27.2
321;Leeuwarden (SG);Eenpersoonshuishouden;24.0;17.0
322;Leeuwarden (SG);Meerpers. huishouden met minderj. kind.;17.2;33.5
323;Leeuwarden (SG);Meerpers. huishouden z. minderj. kind.;25.8;32.4
324;Zwolle (SG);Totaal particulier huishouden;67.9;30.2
325;Zwolle (SG);Eenpersoonshuishouden;21.8;18.0
326;Zwolle (SG);Meerpers. huishouden met minderj. kind.;19.3;36.9
327;Zwolle (SG);Meerpers. huishouden z. minderj. kind.;26.9;35.1
328;Enschede (SG);Totaal particulier huishouden;126.8;27.9
329;Enschede (SG);Eenpersoonshuishouden;41.4;17.1
330;Enschede (SG);Meerpers. huishouden met minderj. kind.;34.8;34.1
331;Enschede (SG);Meerpers. huishouden z. minderj. kind.;50.7;32.6
332;Apeldoorn (SG);Totaal particulier huishouden;86.2;31.0
333;Apeldoorn (SG);Eenpersoonshuishouden;25.7;18.3
334;Apeldoorn (SG);Meerpers. huishouden met minderj. kind.;24.2;37.0
335;Apeldoorn (SG);Meerpers. huishouden z. minderj. kind.;36.3;36.0
336;Arnhem (SG);Totaal particulier huishouden;147.6;29.6
337;Arnhem (SG);Eenpersoonshuishouden;49.3;18.1
338;Arnhem (SG);Meerpers. huishouden met minderj. kind.;39.9;35.8
339;Arnhem (SG);Meerpers. huishouden z. minderj. kind.;58.4;35.1
340;Nijmegen (SG);Totaal particulier huishouden;114.4;29.1
341;Nijmegen (SG);Eenpersoonshuishouden;41.5;17.6
342;Nijmegen (SG);Meerpers. huishouden met minderj. kind.;30.3;36.3
343;Nijmegen (SG);Meerpers. huishouden z. minderj. kind.;42.7;35.2
344;Amersfoort (SG);Totaal particulier huishouden;105.8;33.1
345;Amersfoort (SG);Eenpersoonshuishouden;32.5;19.5
346;Amersfoort (SG);Meerpers. huishouden met minderj. kind.;32.8;39.7
347;Amersfoort (SG);Meerpers. huishouden z. minderj. kind.;40.6;38.6
348;Utrecht (SG);Totaal particulier huishouden;237.7;31.6
349;Utrecht (SG);Eenpersoonshuishouden;92.1;19.6
350;Utrecht (SG);Meerpers. huishouden met minderj. kind.;61.5;39.8
351;Utrecht (SG);Meerpers. huishouden z. minderj. kind.;84.1;38.6
352;Amsterdam (SG);Totaal particulier huishouden;655.9;29.1
353;Amsterdam (SG);Eenpersoonshuishouden;282.6;19.2
354;Amsterdam (SG);Meerpers. huishouden met minderj. kind.;168.2;35.9
355;Amsterdam (SG);Meerpers. huishouden z. minderj. kind.;205.1;37.3
356;Haarlem (SG);Totaal particulier huishouden;176.0;32.0
357;Haarlem (SG);Eenpersoonshuishouden;63.3;19.6
358;Haarlem (SG);Meerpers. huishouden met minderj. kind.;45.7;40.0
359;Haarlem (SG);Meerpers. huishouden z. minderj. kind.;67.0;38.2
360;Leiden (SG);Totaal particulier huishouden;134.3;32.9
361;Leiden (SG);Eenpersoonshuishouden;46.2;19.8
362;Leiden (SG);Meerpers. huishouden met minderj. kind.;38.1;41.0
363;Leiden (SG);Meerpers. huishouden z. minderj. kind.;50.0;38.9
364;'s-Gravenhage (SG);Totaal particulier huishouden;394.7;30.0
365;'s-Gravenhage (SG);Eenpersoonshuishouden;162.4;19.7
366;'s-Gravenhage (SG);Meerpers. huishouden met minderj. kind.;99.7;36.6
367;'s-Gravenhage (SG);Meerpers. huishouden z. minderj. kind.;132.7;37.6
