ID;BedrijfstakkenBranchesSBI2008;Perioden;NajaarsenqueteJaarT1_1;VoorjaarsenqueteJaarT_2;NajaarsenqueteJaarT_3;NajaarsenqueteJaarT1_4;NajaarsenqueteJaarT_5;NajaarsenqueteJaarT1_6;NajaarsenqueteJaarT_7;NajaarsenqueteJaarT1_8;NajaarsenqueteJaarT_9;NajaarsenqueteJaarT1_10;NajaarsenqueteJaarT_11
15;10-12 Voedings-, genotmiddelenindustrie;2013;24.0;21.0;21.0;32.0;32.0;39.0;33.0;20.0;22.0;9.0;12.0
16;10-12 Voedings-, genotmiddelenindustrie;2014;8.0;8.0;-15.0;29.0;35.0;37.0;34.0;23.0;20.0;11.0;11.0
17;10-12 Voedings-, genotmiddelenindustrie;2015;13.0;8.0;4.0;34.0;39.0;34.0;32.0;19.0;19.0;12.0;10.0
18;10-12 Voedings-, genotmiddelenindustrie;2016;3.0;2.0;13.0;38.0;38.0;32.0;34.0;20.0;18.0;11.0;10.0
19;10-12 Voedings-, genotmiddelenindustrie;2017;-3.0;1.0;7.0;34.0;42.0;35.0;34.0;20.0;15.0;11.0;9.0
20;10-12 Voedings-, genotmiddelenindustrie;2018;8.0;12.0;36.0;37.0;30.0;36.0;39.0;18.0;19.0;9.0;12.0
21;10-12 Voedings-, genotmiddelenindustrie;2019;5.0;6.0;-10.0;32.0;37.0;34.0;29.0;21.0;22.0;13.0;12.0
22;10-12 Voedings-, genotmiddelenindustrie;2020;17.0;-3.0;-1.0;33.0;32.0;38.0;37.0;19.0;18.0;11.0;13.0
23;10-12 Voedings-, genotmiddelenindustrie;2021;-2.0;13.0;;36.0;;31.0;;20.0;;13.0;
24;10 Voedingsmiddelenindustrie;2010;;;-23.0;;37.0;;36.0;;20.0;;8.0
25;10 Voedingsmiddelenindustrie;2011;15.0;8.0;17.0;32.0;35.0;44.0;36.0;17.0;19.0;8.0;10.0
26;10 Voedingsmiddelenindustrie;2012;14.0;25.0;20.0;36.0;33.0;34.0;33.0;20.0;22.0;10.0;11.0
27;10 Voedingsmiddelenindustrie;2013;22.0;18.0;15.0;31.0;32.0;38.0;35.0;22.0;23.0;9.0;10.0
28;10 Voedingsmiddelenindustrie;2014;12.0;10.0;-14.0;27.0;36.0;39.0;34.0;24.0;20.0;10.0;11.0
29;10 Voedingsmiddelenindustrie;2015;11.0;8.0;1.0;35.0;39.0;33.0;34.0;20.0;18.0;12.0;9.0
30;10 Voedingsmiddelenindustrie;2016;2.0;2.0;9.0;37.0;35.0;33.0;36.0;20.0;19.0;10.0;10.0
31;10 Voedingsmiddelenindustrie;2017;-1.0;2.0;9.0;33.0;42.0;36.0;33.0;21.0;16.0;10.0;9.0
32;10 Voedingsmiddelenindustrie;2018;5.0;10.0;28.0;36.0;31.0;36.0;39.0;19.0;19.0;9.0;11.0
33;10 Voedingsmiddelenindustrie;2019;10.0;6.0;-15.0;33.0;37.0;33.0;29.0;21.0;23.0;13.0;11.0
34;10 Voedingsmiddelenindustrie;2020;17.0;2.0;4.0;32.0;31.0;37.0;38.0;20.0;18.0;11.0;13.0
35;10 Voedingsmiddelenindustrie;2021;-4.0;16.0;;35.0;;32.0;;20.0;;13.0;
36;11 Drankenindustrie;2010;;;-41.0;;43.0;;31.0;;6.0;;20.0
37;11 Drankenindustrie;2011;19.0;9.0;-15.0;38.0;49.0;41.0;32.0;6.0;6.0;15.0;13.0
38;11 Drankenindustrie;2012;25.0;30.0;45.0;48.0;52.0;28.0;34.0;10.0;5.0;14.0;10.0
39;11 Drankenindustrie;2013;29.0;41.0;76.0;44.0;37.0;45.0;27.0;3.0;16.0;7.0;20.0
40;11 Drankenindustrie;2014;-5.0;-1.0;-15.0;41.0;36.0;23.0;42.0;17.0;11.0;18.0;12.0
41;11 Drankenindustrie;2015;26.0;4.0;41.0;30.0;43.0;46.0;26.0;14.0;17.0;10.0;14.0
42;11 Drankenindustrie;2016;6.0;-7.0;19.0;43.0;52.0;28.0;28.0;14.0;9.0;16.0;11.0
43;11 Drankenindustrie;2017;-8.0;-8.0;12.0;44.0;41.0;31.0;39.0;11.0;7.0;15.0;13.0
44;11 Drankenindustrie;2018;24.0;32.0;;44.0;18.0;34.0;64.0;10.0;11.0;12.0;7.0
45;11 Drankenindustrie;2019;;5.0;23.0;22.0;42.0;49.0;33.0;12.0;15.0;17.0;10.0
46;11 Drankenindustrie;2020;21.0;-22.0;;34.0;;42.0;;16.0;;9.0;
47;11 Drankenindustrie;2021;;;;;;;;;;;
48;12 Tabaksindustrie;2010;;;9.0;;38.0;;27.0;;8.0;;27.0
49;12 Tabaksindustrie;2011;-3.0;2.0;-7.0;34.0;14.0;37.0;49.0;7.0;18.0;23.0;18.0
50;12 Tabaksindustrie;2012;-24.0;-19.0;-14.0;19.0;33.0;37.0;30.0;25.0;16.0;19.0;21.0
51;12 Tabaksindustrie;2013;48.0;50.0;63.0;21.0;25.0;35.0;17.0;23.0;22.0;20.0;36.0
52;12 Tabaksindustrie;2014;-33.0;-8.0;-25.0;29.0;17.0;17.0;19.0;19.0;48.0;34.0;16.0
53;12 Tabaksindustrie;2015;3.0;-3.0;-18.0;21.0;31.0;16.0;8.0;29.0;51.0;34.0;10.0
54;12 Tabaksindustrie;2016;1.0;114.0;287.0;31.0;57.0;5.0;6.0;37.0;22.0;27.0;14.0
55;12 Tabaksindustrie;2017;-23.0;-33.0;-54.0;50.0;23.0;6.0;21.0;23.0;38.0;21.0;18.0
56;12 Tabaksindustrie;2018;64.0;34.0;;16.0;25.0;16.0;5.0;51.0;19.0;17.0;51.0
57;12 Tabaksindustrie;2019;;19.0;9.0;16.0;7.0;6.0;1.0;26.0;12.0;52.0;80.0
58;12 Tabaksindustrie;2020;-17.0;-81.0;;39.0;;2.0;;18.0;;41.0;
59;12 Tabaksindustrie;2021;;;;;;;;;;;
60;13-15 Textiel-, kleding-, lederindustrie;2010;;;-15.0;;34.0;;38.0;;22.0;;6.0
61;13-15 Textiel-, kleding-, lederindustrie;2011;-19.0;3.0;16.0;34.0;35.0;32.0;42.0;28.0;14.0;7.0;9.0
62;13-15 Textiel-, kleding-, lederindustrie;2012;-10.0;-11.0;21.0;40.0;29.0;34.0;42.0;13.0;15.0;12.0;14.0
63;13-15 Textiel-, kleding-, lederindustrie;2013;-29.0;8.0;39.0;45.0;26.0;28.0;51.0;23.0;15.0;4.0;8.0
64;13-15 Textiel-, kleding-, lederindustrie;2014;-1.0;-8.0;16.0;35.0;42.0;35.0;17.0;16.0;28.0;14.0;13.0
65;13-15 Textiel-, kleding-, lederindustrie;2015;-8.0;-19.0;-20.0;37.0;25.0;14.0;35.0;33.0;31.0;15.0;9.0
66;13-15 Textiel-, kleding-, lederindustrie;2016;10.0;-26.0;-6.0;29.0;39.0;44.0;27.0;19.0;25.0;8.0;9.0
67;13-15 Textiel-, kleding-, lederindustrie;2017;29.0;44.0;55.0;33.0;24.0;39.0;41.0;21.0;23.0;7.0;12.0
68;13-15 Textiel-, kleding-, lederindustrie;2018;18.0;33.0;63.0;30.0;39.0;41.0;25.0;18.0;26.0;11.0;10.0
69;13-15 Textiel-, kleding-, lederindustrie;2019;12.0;5.0;4.0;41.0;35.0;36.0;37.0;17.0;16.0;6.0;11.0
70;13-15 Textiel-, kleding-, lederindustrie;2020;-10.0;-19.0;-23.0;42.0;32.0;23.0;37.0;21.0;17.0;14.0;14.0
71;13-15 Textiel-, kleding-, lederindustrie;2021;12.0;24.0;;36.0;;26.0;;23.0;;15.0;
72;13 Textielindustrie;2010;;;6.0;;29.0;;43.0;;21.0;;7.0
73;13 Textielindustrie;2011;-20.0;10.0;34.0;31.0;31.0;35.0;45.0;27.0;14.0;7.0;9.0
74;13 Textielindustrie;2012;-10.0;-16.0;7.0;38.0;27.0;37.0;49.0;13.0;17.0;13.0;8.0
75;13 Textielindustrie;2013;-24.0;7.0;-15.0;46.0;31.0;27.0;37.0;22.0;19.0;5.0;14.0
76;13 Textielindustrie;2014;42.0;-6.0;2.0;32.0;43.0;34.0;15.0;16.0;28.0;18.0;14.0
77;13 Textielindustrie;2015;-7.0;-20.0;-21.0;36.0;24.0;10.0;34.0;34.0;33.0;20.0;8.0
78;13 Textielindustrie;2016;10.0;-31.0;-4.0;26.0;31.0;49.0;31.0;17.0;28.0;8.0;10.0
79;13 Textielindustrie;2017;42.0;69.0;58.0;26.0;25.0;44.0;44.0;22.0;22.0;7.0;9.0
80;13 Textielindustrie;2018;23.0;28.0;51.0;27.0;38.0;45.0;27.0;17.0;26.0;11.0;9.0
81;13 Textielindustrie;2019;36.0;17.0;;40.0;;40.0;;14.0;;6.0;
82;13 Textielindustrie;2020;;-23.0;-25.0;;30.0;;42.0;;12.0;;16.0
83;13 Textielindustrie;2021;6.0;9.0;;39.0;;17.0;;24.0;;19.0;
84;14 Kledingindustrie;2010;;;-23.0;;62.0;;17.0;;20.0;;1.0
85;14 Kledingindustrie;2011;-23.0;-52.0;-86.0;35.0;32.0;22.0;11.0;41.0;14.0;2.0;42.0
86;14 Kledingindustrie;2012;2.0;-59.0;;53.0;32.0;25.0;6.0;18.0;1.0;4.0;61.0
87;14 Kledingindustrie;2013;;-8.0;;23.0;17.0;39.0;75.0;36.0;9.0;3.0;0.0
88;14 Kledingindustrie;2014;;21.0;;65.0;38.0;18.0;16.0;17.0;39.0;0.0;8.0
89;14 Kledingindustrie;2015;;-58.0;-47.0;71.0;25.0;8.0;65.0;17.0;9.0;4.0;0.0
90;14 Kledingindustrie;2016;35.0;;0.0;35.0;46.0;47.0;14.0;17.0;30.0;0.0;9.0
91;14 Kledingindustrie;2017;-11.0;;;43.0;29.0;12.0;17.0;32.0;49.0;13.0;5.0
92;14 Kledingindustrie;2018;;-50.0;;36.0;31.0;30.0;8.0;23.0;57.0;11.0;4.0
93;14 Kledingindustrie;2019;;-33.0;;26.0;;14.0;;52.0;;8.0;
94;14 Kledingindustrie;2020;;-39.0;;;;;;;;;
95;14 Kledingindustrie;2021;;;;;;;;;;;
96;15 Leer- en schoenenindustrie;2010;;;-68.0;;51.0;;12.0;;34.0;;3.0
97;15 Leer- en schoenenindustrie;2011;-10.0;-41.0;-39.0;51.0;71.0;17.0;9.0;22.0;11.0;10.0;9.0
98;15 Leer- en schoenenindustrie;2012;-7.0;70.0;;65.0;49.0;10.0;33.0;22.0;15.0;3.0;3.0
99;15 Leer- en schoenenindustrie;2013;;16.0;;38.0;21.0;26.0;67.0;33.0;10.0;3.0;2.0
100;15 Leer- en schoenenindustrie;2014;;-28.0;;42.0;33.0;37.0;34.0;18.0;26.0;2.0;7.0
101;15 Leer- en schoenenindustrie;2015;;20.0;-10.0;31.0;30.0;32.0;36.0;34.0;19.0;3.0;15.0
102;15 Leer- en schoenenindustrie;2016;8.0;;-13.0;39.0;61.0;26.0;17.0;24.0;15.0;10.0;8.0
103;15 Leer- en schoenenindustrie;2017;1.0;;;58.0;23.0;22.0;34.0;18.0;19.0;2.0;24.0
104;15 Leer- en schoenenindustrie;2018;;212.0;;39.0;44.0;28.0;22.0;21.0;22.0;12.0;12.0
105;15 Leer- en schoenenindustrie;2019;;-26.0;-30.0;54.0;46.0;18.0;26.0;23.0;22.0;5.0;5.0
106;15 Leer- en schoenenindustrie;2020;9.0;18.0;;47.0;;18.0;;27.0;;8.0;
107;15 Leer- en schoenenindustrie;2021;;;;;;;;;;;
108;16+23 Hout- en bouwmaterialenindustrie;2010;;;-29.0;;50.0;;27.0;;18.0;;5.0
109;16+23 Hout- en bouwmaterialenindustrie;2011;10.0;-7.0;-11.0;61.0;53.0;13.0;26.0;21.0;14.0;5.0;6.0
110;16+23 Hout- en bouwmaterialenindustrie;2012;-7.0;11.0;-16.0;56.0;53.0;19.0;28.0;20.0;12.0;5.0;6.0
111;16+23 Hout- en bouwmaterialenindustrie;2013;-9.0;5.0;9.0;54.0;51.0;25.0;20.0;12.0;20.0;8.0;9.0
112;16+23 Hout- en bouwmaterialenindustrie;2014;5.0;-7.0;-12.0;44.0;54.0;30.0;22.0;19.0;17.0;8.0;6.0
113;16+23 Hout- en bouwmaterialenindustrie;2015;14.0;-10.0;3.0;52.0;53.0;13.0;24.0;27.0;18.0;8.0;5.0
114;16+23 Hout- en bouwmaterialenindustrie;2016;4.0;-7.0;3.0;57.0;44.0;22.0;27.0;14.0;20.0;7.0;8.0
115;16+23 Hout- en bouwmaterialenindustrie;2017;22.0;24.0;38.0;52.0;52.0;18.0;26.0;23.0;15.0;8.0;7.0
116;16+23 Hout- en bouwmaterialenindustrie;2018;12.0;-14.0;-6.0;40.0;56.0;34.0;23.0;17.0;13.0;9.0;8.0
117;16+23 Hout- en bouwmaterialenindustrie;2019;71.0;36.0;29.0;40.0;46.0;39.0;30.0;11.0;15.0;10.0;8.0
118;16+23 Hout- en bouwmaterialenindustrie;2020;-5.0;-6.0;-12.0;50.0;53.0;29.0;23.0;13.0;17.0;8.0;7.0
119;16+23 Hout- en bouwmaterialenindustrie;2021;3.0;-5.0;;49.0;;27.0;;17.0;;7.0;
120;16-18 Hout-, papier-, grafische industr.;2010;;;-37.0;;32.0;;36.0;;22.0;;10.0
121;16-18 Hout-, papier-, grafische industr.;2011;26.0;-7.0;;30.0;;30.0;;31.0;;9.0;
122;16-18 Hout-, papier-, grafische industr.;2012;;;;;;;;;;;
123;16-18 Hout-, papier-, grafische industr.;2013;;;;;;;;;;;
124;16-18 Hout-, papier-, grafische industr.;2014;;;;;;;;;;;
125;16-18 Hout-, papier-, grafische industr.;2015;;;;;;;;;;;
126;16-18 Hout-, papier-, grafische industr.;2016;;;;;;;;;;;
127;16-18 Hout-, papier-, grafische industr.;2017;;;;;;;;;;;
128;16-18 Hout-, papier-, grafische industr.;2018;;;;;;;;;;;
129;16-18 Hout-, papier-, grafische industr.;2019;;;;;;;;;;;
130;16-18 Hout-, papier-, grafische industr.;2020;;;;;;;;;;;
131;16-18 Hout-, papier-, grafische industr.;2021;;;;;;;;;;;
132;16 Houtindustrie;2010;;;-47.0;;27.0;;44.0;;27.0;;2.0
133;16 Houtindustrie;2011;-2.0;-50.0;-36.0;36.0;46.0;24.0;33.0;39.0;17.0;1.0;4.0
134;16 Houtindustrie;2012;-22.0;22.0;-10.0;44.0;50.0;23.0;37.0;31.0;10.0;2.0;2.0
135;16 Houtindustrie;2013;-5.0;-20.0;3.0;54.0;31.0;30.0;29.0;11.0;32.0;5.0;7.0
136;16 Houtindustrie;2014;-21.0;-23.0;-26.0;46.0;41.0;26.0;25.0;23.0;27.0;5.0;8.0
137;16 Houtindustrie;2015;89.0;-30.0;34.0;38.0;43.0;23.0;41.0;35.0;12.0;5.0;4.0
138;16 Houtindustrie;2016;25.0;-9.0;32.0;52.0;24.0;26.0;42.0;18.0;24.0;4.0;10.0
139;16 Houtindustrie;2017;-16.0;-28.0;33.0;32.0;44.0;19.0;36.0;39.0;15.0;10.0;5.0
140;16 Houtindustrie;2018;29.0;-25.0;-23.0;22.0;40.0;53.0;36.0;15.0;15.0;10.0;9.0
141;16 Houtindustrie;2019;34.0;20.0;1.0;25.0;37.0;42.0;43.0;15.0;10.0;18.0;10.0
142;16 Houtindustrie;2020;-27.0;-29.0;-21.0;28.0;35.0;45.0;38.0;17.0;21.0;10.0;6.0
143;16 Houtindustrie;2021;5.0;24.0;;32.0;;39.0;;21.0;;7.0;
144;17-18 Papier- en grafische industrie;2010;;;-34.0;;33.0;;34.0;;21.0;;12.0
145;17-18 Papier- en grafische industrie;2011;31.0;2.0;7.0;30.0;33.0;31.0;41.0;30.0;21.0;9.0;5.0
146;17-18 Papier- en grafische industrie;2012;5.0;-8.0;-1.0;42.0;43.0;31.0;29.0;22.0;23.0;5.0;4.0
147;17-18 Papier- en grafische industrie;2013;8.0;14.0;22.0;44.0;40.0;32.0;31.0;20.0;24.0;4.0;6.0
148;17-18 Papier- en grafische industrie;2014;9.0;-15.0;3.0;41.0;43.0;33.0;30.0;20.0;21.0;5.0;6.0
149;17-18 Papier- en grafische industrie;2015;24.0;31.0;36.0;41.0;39.0;32.0;40.0;21.0;17.0;6.0;4.0
150;17-18 Papier- en grafische industrie;2016;32.0;69.0;73.0;33.0;30.0;49.0;49.0;14.0;16.0;4.0;4.0
151;17-18 Papier- en grafische industrie;2017;-29.0;-23.0;-26.0;43.0;37.0;29.0;33.0;22.0;22.0;5.0;8.0
152;17-18 Papier- en grafische industrie;2018;-11.0;-8.0;-12.0;43.0;42.0;27.0;37.0;24.0;15.0;6.0;6.0
153;17-18 Papier- en grafische industrie;2019;-11.0;3.0;37.0;42.0;44.0;33.0;36.0;16.0;14.0;9.0;6.0
154;17-18 Papier- en grafische industrie;2020;12.0;-14.0;-14.0;42.0;42.0;35.0;38.0;15.0;13.0;8.0;7.0
155;17-18 Papier- en grafische industrie;2021;8.0;31.0;;44.0;;29.0;;15.0;;12.0;
156;17 Papierindustrie;2010;;;-23.0;;31.0;;28.0;;22.0;;19.0
157;17 Papierindustrie;2011;62.0;33.0;20.0;28.0;34.0;24.0;40.0;35.0;20.0;13.0;6.0
158;17 Papierindustrie;2012;4.0;1.0;7.0;40.0;42.0;33.0;26.0;23.0;26.0;5.0;6.0
159;17 Papierindustrie;2013;2.0;9.0;8.0;42.0;42.0;29.0;24.0;23.0;26.0;5.0;7.0
160;17 Papierindustrie;2014;-10.0;-15.0;-1.0;48.0;44.0;18.0;23.0;26.0;24.0;9.0;9.0
161;17 Papierindustrie;2015;48.0;68.0;38.0;36.0;44.0;32.0;34.0;22.0;17.0;9.0;4.0
162;17 Papierindustrie;2016;58.0;97.0;85.0;28.0;28.0;55.0;50.0;13.0;17.0;4.0;5.0
163;17 Papierindustrie;2017;-29.0;-28.0;-36.0;47.0;34.0;26.0;35.0;20.0;22.0;6.0;9.0
164;17 Papierindustrie;2018;-10.0;-11.0;-14.0;44.0;41.0;26.0;38.0;23.0;15.0;7.0;6.0
165;17 Papierindustrie;2019;-4.0;8.0;49.0;42.0;47.0;34.0;32.0;15.0;14.0;9.0;7.0
166;17 Papierindustrie;2020;11.0;-15.0;-10.0;46.0;42.0;32.0;39.0;14.0;12.0;8.0;7.0
167;17 Papierindustrie;2021;12.0;38.0;;43.0;;30.0;;14.0;;13.0;
168;18 Grafische industrie;2010;;;-44.0;;35.0;;41.0;;21.0;;3.0
169;18 Grafische industrie;2011;-4.0;-31.0;-7.0;33.0;33.0;45.0;42.0;20.0;22.0;2.0;3.0
170;18 Grafische industrie;2012;7.0;-18.0;-14.0;45.0;44.0;30.0;35.0;21.0;19.0;4.0;2.0
171;18 Grafische industrie;2013;20.0;24.0;59.0;46.0;36.0;35.0;41.0;16.0;19.0;3.0;3.0
172;18 Grafische industrie;2014;42.0;-16.0;7.0;34.0;42.0;50.0;41.0;14.0;15.0;1.0;2.0
173;18 Grafische industrie;2015;-7.0;-20.0;34.0;50.0;26.0;30.0;55.0;18.0;15.0;1.0;4.0
174;18 Grafische industrie;2016;-10.0;6.0;46.0;44.0;36.0;33.0;47.0;17.0;14.0;6.0;3.0
175;18 Grafische industrie;2017;-26.0;-8.0;17.0;33.0;45.0;37.0;27.0;27.0;22.0;3.0;6.0
176;18 Grafische industrie;2018;-13.0;3.0;-7.0;38.0;40.0;30.0;35.0;28.0;16.0;4.0;9.0
177;18 Grafische industrie;2019;-37.0;-10.0;9.0;43.0;35.0;29.0;50.0;20.0;12.0;8.0;3.0
178;18 Grafische industrie;2020;13.0;-11.0;-30.0;31.0;39.0;45.0;33.0;18.0;18.0;6.0;10.0
179;18 Grafische industrie;2021;-13.0;17.0;;51.0;;25.0;;20.0;;4.0;
180;19-22 Raffinaderijen en chemie;2010;;;-6.0;;39.0;;28.0;;10.0;;23.0
181;19-22 Raffinaderijen en chemie;2011;38.0;51.0;40.0;46.0;38.0;31.0;38.0;13.0;11.0;10.0;13.0
182;19-22 Raffinaderijen en chemie;2012;17.0;10.0;4.0;47.0;35.0;29.0;35.0;12.0;16.0;12.0;14.0
183;19-22 Raffinaderijen en chemie;2013;-10.0;1.0;-19.0;39.0;38.0;27.0;22.0;18.0;17.0;16.0;23.0
184;19-22 Raffinaderijen en chemie;2014;1.0;12.0;9.0;47.0;44.0;25.0;28.0;17.0;17.0;12.0;11.0
185;19-22 Raffinaderijen en chemie;2015;23.0;17.0;14.0;50.0;36.0;28.0;33.0;15.0;13.0;7.0;18.0
186;19-22 Raffinaderijen en chemie;2016;-3.0;-7.0;-13.0;39.0;49.0;30.0;25.0;16.0;12.0;15.0;14.0
187;19-22 Raffinaderijen en chemie;2017;40.0;49.0;40.0;45.0;38.0;28.0;36.0;15.0;10.0;12.0;16.0
188;19-22 Raffinaderijen en chemie;2018;39.0;59.0;83.0;28.0;33.0;54.0;47.0;9.0;11.0;9.0;9.0
189;19-22 Raffinaderijen en chemie;2019;-24.0;4.0;-3.0;44.0;36.0;26.0;45.0;17.0;10.0;13.0;10.0
190;19-22 Raffinaderijen en chemie;2020;-11.0;-13.0;-3.0;51.0;38.0;16.0;27.0;12.0;19.0;20.0;16.0
191;19-22 Raffinaderijen en chemie;2021;-11.0;-2.0;;43.0;;26.0;;12.0;;19.0;
192;19 Aardolie-industrie;2010;;;44.0;;55.0;;16.0;;2.0;;27.0
193;19 Aardolie-industrie;2011;16.0;21.0;-52.0;66.0;43.0;27.0;15.0;4.0;16.0;4.0;26.0
194;19 Aardolie-industrie;2012;248.0;17.0;-25.0;80.0;53.0;6.0;17.0;7.0;6.0;7.0;24.0
195;19 Aardolie-industrie;2013;-3.0;9.0;-58.0;62.0;50.0;5.0;8.0;12.0;11.0;22.0;31.0
196;19 Aardolie-industrie;2014;39.0;13.0;32.0;74.0;50.0;3.0;25.0;10.0;10.0;13.0;15.0
197;19 Aardolie-industrie;2015;-22.0;-35.0;-34.0;67.0;36.0;23.0;15.0;1.0;8.0;9.0;41.0
198;19 Aardolie-industrie;2016;1.0;;14.0;41.0;37.0;23.0;29.0;5.0;13.0;31.0;21.0
199;19 Aardolie-industrie;2017;-14.0;52.0;;34.0;33.0;20.0;33.0;13.0;10.0;33.0;24.0
200;19 Aardolie-industrie;2018;;;;10.0;16.0;78.0;67.0;4.0;10.0;8.0;7.0
201;19 Aardolie-industrie;2019;-76.0;;0.0;39.0;20.0;21.0;69.0;22.0;6.0;18.0;5.0
202;19 Aardolie-industrie;2020;-45.0;-58.0;-39.0;56.0;51.0;13.0;12.0;19.0;16.0;12.0;22.0
203;19 Aardolie-industrie;2021;-59.0;;;46.0;;17.0;;11.0;;26.0;
204;20 Chemische industrie;2010;;;-20.0;;32.0;;27.0;;13.0;;27.0
205;20 Chemische industrie;2011;70.0;73.0;89.0;39.0;37.0;33.0;41.0;15.0;9.0;12.0;13.0
206;20 Chemische industrie;2012;-11.0;11.0;16.0;36.0;32.0;37.0;38.0;11.0;18.0;16.0;13.0
207;20 Chemische industrie;2013;-22.0;-16.0;-15.0;39.0;37.0;24.0;19.0;20.0;17.0;17.0;26.0
208;20 Chemische industrie;2014;-14.0;8.0;4.0;47.0;46.0;20.0;24.0;19.0;20.0;14.0;10.0
209;20 Chemische industrie;2015;52.0;56.0;48.0;50.0;40.0;26.0;35.0;17.0;13.0;7.0;12.0
210;20 Chemische industrie;2016;-16.0;-10.0;-25.0;47.0;60.0;23.0;16.0;16.0;9.0;14.0;15.0
211;20 Chemische industrie;2017;65.0;51.0;;50.0;42.0;24.0;33.0;15.0;9.0;11.0;16.0
212;20 Chemische industrie;2018;;10.0;17.0;49.0;49.0;27.0;28.0;11.0;11.0;13.0;12.0
213;20 Chemische industrie;2019;10.0;1.0;-7.0;52.0;46.0;18.0;30.0;16.0;11.0;14.0;13.0
214;20 Chemische industrie;2020;6.0;-2.0;9.0;54.0;40.0;9.0;21.0;10.0;23.0;27.0;17.0
215;20 Chemische industrie;2021;1.0;8.0;;47.0;;20.0;;12.0;;22.0;
216;21 Farmaceutische industrie;2010;;;-24.0;;46.0;;27.0;;12.0;;15.0
217;21 Farmaceutische industrie;2011;8.0;2.0;14.0;42.0;36.0;32.0;37.0;17.0;21.0;9.0;6.0
218;21 Farmaceutische industrie;2012;9.0;43.0;48.0;26.0;25.0;45.0;51.0;19.0;10.0;10.0;13.0
219;21 Farmaceutische industrie;2013;59.0;172.0;97.0;14.0;39.0;59.0;34.0;13.0;16.0;13.0;12.0
220;21 Farmaceutische industrie;2014;51.0;65.0;5.0;22.0;23.0;66.0;51.0;6.0;21.0;6.0;5.0
221;21 Farmaceutische industrie;2015;0.0;2.0;1.0;32.0;18.0;38.0;54.0;26.0;18.0;4.0;10.0
222;21 Farmaceutische industrie;2016;26.0;;21.0;18.0;32.0;50.0;48.0;25.0;18.0;7.0;2.0
223;21 Farmaceutische industrie;2017;10.0;65.0;61.0;33.0;33.0;49.0;44.0;15.0;16.0;2.0;7.0
224;21 Farmaceutische industrie;2018;46.0;;116.0;36.0;27.0;54.0;55.0;7.0;11.0;3.0;7.0
225;21 Farmaceutische industrie;2019;-11.0;;-14.0;30.0;34.0;48.0;45.0;11.0;10.0;11.0;10.0
226;21 Farmaceutische industrie;2020;-32.0;14.0;16.0;46.0;24.0;28.0;60.0;14.0;12.0;12.0;5.0
227;21 Farmaceutische industrie;2021;6.0;;;40.0;;42.0;;11.0;;7.0;
228;22-23 Kunststof- en bouwmateriaalindustr;2010;;;-6.0;;37.0;;44.0;;15.0;;5.0
229;22-23 Kunststof- en bouwmateriaalindustr;2011;-8.0;32.0;;50.0;;23.0;;22.0;;5.0;
230;22-23 Kunststof- en bouwmateriaalindustr;2012;;;;;;;;;;;
231;22-23 Kunststof- en bouwmateriaalindustr;2013;;;;;;;;;;;
232;22-23 Kunststof- en bouwmateriaalindustr;2014;;;;;;;;;;;
