ID;LeeftijdMoeder;Perioden;TotaalLevendgeborenen_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKinderen_5;TotaalUitGehuwdeMoeders_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKinderen_10;TotaalUitNietGehuwdeMoeders_11;k_1eKind_12;k_2eKind_13;k_3eKind_14;k_4eOfVolgendeKinderen_15;TotaalDoodgeborenen24_16;k_1eKind_17;k_2eKind_18;k_3eKind_19;k_4eOfVolgendeKinderen_20
78;15;1963;130;130;0;0;0;27;27;0;0;0;103;103;0;0;0;;;;;
79;15;1964;154;154;0;0;0;32;32;0;0;0;122;122;0;0;0;;;;;
80;15;1965;121;121;0;0;0;32;32;0;0;0;89;89;0;0;0;;;;;
81;15;1966;147;146;1;0;0;29;28;1;0;0;118;118;0;0;0;;;;;
82;15;1967;174;173;1;0;0;53;52;1;0;0;121;121;0;0;0;;;;;
83;15;1968;171;170;1;0;0;48;47;1;0;0;123;123;0;0;0;;;;;
84;15;1969;210;208;2;0;0;52;50;2;0;0;158;158;0;0;0;;;;;
85;15;1970;196;196;0;0;0;63;63;0;0;0;133;133;0;0;0;;;;;
86;15;1971;191;183;8;0;0;70;63;7;0;0;121;120;1;0;0;;;;;
87;15;1972;200;199;1;0;0;71;70;1;0;0;129;129;0;0;0;;;;;
88;15;1973;147;144;3;0;0;52;49;3;0;0;95;95;0;0;0;;;;;
89;15;1974;153;146;7;0;0;49;44;5;0;0;104;102;2;0;0;;;;;
90;15;1975;132;131;1;0;0;33;32;1;0;0;99;99;0;0;0;;;;;
91;15;1976;113;113;0;0;0;22;22;0;0;0;91;91;0;0;0;;;;;
92;15;1977;105;105;0;0;0;16;16;0;0;0;89;89;0;0;0;;;;;
93;15;1978;112;112;0;0;0;16;16;0;0;0;96;96;0;0;0;;;;;
94;15;1979;101;100;1;0;0;13;13;0;0;0;88;87;1;0;0;;;;;
95;15;1980;106;106;0;0;0;23;23;0;0;0;83;83;0;0;0;;;;;
96;15;1981;87;87;0;0;0;15;15;0;0;0;72;72;0;0;0;;;;;
97;15;1982;106;106;0;0;0;9;9;0;0;0;97;97;0;0;0;;;;;
98;15;1983;87;87;0;0;0;15;15;0;0;0;72;72;0;0;0;;;;;
99;15;1984;78;77;1;0;0;13;12;1;0;0;65;65;0;0;0;;;;;
100;15;1985;82;81;1;0;0;18;17;1;0;0;64;64;0;0;0;;;;;
101;15;1986;98;98;0;0;0;28;28;0;0;0;70;70;0;0;0;;;;;
102;15;1987;80;79;1;0;0;14;13;1;0;0;66;66;0;0;0;;;;;
103;15;1988;78;77;1;0;0;14;14;0;0;0;64;63;1;0;0;;;;;
104;15;1989;76;75;1;0;0;18;18;0;0;0;58;57;1;0;0;;;;;
105;15;1990;75;75;0;0;0;15;15;0;0;0;60;60;0;0;0;;;;;
106;15;1991;90;86;3;0;1;13;13;0;0;0;77;73;3;0;1;;;;;
107;15;1992;79;77;2;0;0;11;11;0;0;0;68;66;2;0;0;;;;;
108;15;1993;81;81;0;0;0;7;7;0;0;0;74;74;0;0;0;;;;;
109;15;1994;65;62;3;0;0;5;5;0;0;0;60;57;3;0;0;;;;;
110;15;1995;64;63;1;0;0;3;3;0;0;0;61;60;1;0;0;0.0;0.0;0.0;0.0;0.0
111;15;1996;57;57;0;0;0;1;1;0;0;0;56;56;0;0;0;0.0;0.0;0.0;0.0;0.0
112;15;1997;73;71;2;0;0;3;3;0;0;0;70;68;2;0;0;0.0;0.0;0.0;0.0;0.0
113;15;1998;74;73;1;0;0;1;1;0;0;0;73;72;1;0;0;3.0;3.0;0.0;0.0;0.0
114;15;1999;73;73;0;0;0;0;0;0;0;0;73;73;0;0;0;0.0;0.0;0.0;0.0;0.0
115;15;2000;94;92;2;0;0;0;0;0;0;0;94;92;2;0;0;1.0;1.0;0.0;0.0;0.0
116;15;2001;103;102;1;0;0;0;0;0;0;0;103;102;1;0;0;3.0;3.0;0.0;0.0;0.0
117;15;2002;100;98;2;0;0;1;1;0;0;0;99;97;2;0;0;2.0;2.0;0.0;0.0;0.0
118;15;2003;105;93;4;2;6;16;6;2;2;6;89;87;2;0;0;1.0;0.0;1.0;0.0;0.0
119;15;2004;70;69;1;0;0;0;0;0;0;0;70;69;1;0;0;0.0;0.0;0.0;0.0;0.0
120;15;2005;70;69;1;0;0;1;1;0;0;0;69;68;1;0;0;0.0;0.0;0.0;0.0;0.0
121;15;2006;56;56;0;0;0;0;0;0;0;0;56;56;0;0;0;0.0;0.0;0.0;0.0;0.0
122;15;2007;63;62;1;0;0;0;0;0;0;0;63;62;1;0;0;2.0;1.0;1.0;0.0;0.0
123;15;2008;62;62;0;0;0;0;0;0;0;0;62;62;0;0;0;1.0;0.0;1.0;0.0;0.0
124;15;2009;71;71;0;0;0;0;0;0;0;0;71;71;0;0;0;1.0;1.0;0.0;0.0;0.0
125;15;2010;47;46;1;0;0;1;1;0;0;0;46;45;1;0;0;0.0;0.0;0.0;0.0;0.0
126;15;2011;56;56;0;0;0;0;0;0;0;0;56;56;0;0;0;0.0;0.0;0.0;0.0;0.0
127;15;2012;60;60;0;0;0;1;1;0;0;0;59;59;0;0;0;1.0;1.0;0.0;0.0;0.0
128;15;2013;49;48;1;0;0;0;0;0;0;0;49;48;1;0;0;1.0;1.0;0.0;0.0;0.0
129;15;2014;47;47;0;0;0;0;0;0;0;0;47;47;0;0;0;0.0;0.0;0.0;0.0;0.0
130;16;1950;174;169;5;0;0;111;107;4;0;0;63;62;1;0;0;;;;;
131;16;1951;163;160;3;0;0;94;91;3;0;0;69;69;0;0;0;;;;;
132;16;1952;180;178;2;0;0;117;115;2;0;0;63;63;0;0;0;;;;;
133;16;1953;184;182;2;0;0;112;110;2;0;0;72;72;0;0;0;;;;;
134;16;1954;177;177;0;0;0;114;114;0;0;0;63;63;0;0;0;;;;;
135;16;1955;212;209;3;0;0;134;132;2;0;0;78;77;1;0;0;;;;;
136;16;1956;230;223;7;0;0;146;139;7;0;0;84;84;0;0;0;;;;;
137;16;1957;258;253;4;0;1;157;153;4;0;0;101;100;0;0;1;;;;;
138;16;1958;310;303;7;0;0;211;204;7;0;0;99;99;0;0;0;;;;;
139;16;1959;338;329;9;0;0;212;207;5;0;0;126;122;4;0;0;;;;;
140;16;1960;357;350;7;0;0;242;236;6;0;0;115;114;1;0;0;;;;;
141;16;1961;444;436;8;0;0;294;287;7;0;0;150;149;1;0;0;;;;;
142;16;1962;481;471;10;0;0;333;323;10;0;0;148;148;0;0;0;;;;;
143;16;1963;579;566;13;0;0;387;376;11;0;0;192;190;2;0;0;;;;;
144;16;1964;597;585;12;0;0;405;394;11;0;0;192;191;1;0;0;;;;;
145;16;1965;535;525;10;0;0;359;350;9;0;0;176;175;1;0;0;;;;;
146;16;1966;559;549;10;0;0;363;354;9;0;0;196;195;1;0;0;;;;;
147;16;1967;561;551;10;0;0;383;374;9;0;0;178;177;1;0;0;;;;;
148;16;1968;628;617;11;0;0;411;401;10;0;0;217;216;1;0;0;;;;;
149;16;1969;740;722;18;0;0;495;482;13;0;0;245;240;5;0;0;;;;;
150;16;1970;691;682;8;1;0;462;454;7;1;0;229;228;1;0;0;;;;;
151;16;1971;746;727;18;1;0;509;493;15;1;0;237;234;3;0;0;;;;;
152;16;1972;714;698;15;1;0;499;485;13;1;0;215;213;2;0;0;;;;;
153;16;1973;580;564;16;0;0;404;389;15;0;0;176;175;1;0;0;;;;;
154;16;1974;527;523;3;1;0;354;351;2;1;0;173;172;1;0;0;;;;;
155;16;1975;426;421;5;0;0;267;262;5;0;0;159;159;0;0;0;;;;;
156;16;1976;377;364;13;0;0;228;218;10;0;0;149;146;3;0;0;;;;;
157;16;1977;326;321;5;0;0;203;199;4;0;0;123;122;1;0;0;;;;;
158;16;1978;343;342;1;0;0;186;186;0;0;0;157;156;1;0;0;;;;;
159;16;1979;325;319;5;1;0;182;179;3;0;0;143;140;2;1;0;;;;;
160;16;1980;302;298;4;0;0;171;170;1;0;0;131;128;3;0;0;;;;;
161;16;1981;319;317;2;0;0;178;177;1;0;0;141;140;1;0;0;;;;;
162;16;1982;301;298;3;0;0;141;138;3;0;0;160;160;0;0;0;;;;;
163;16;1983;225;219;5;1;0;104;104;0;0;0;121;115;5;1;0;;;;;
164;16;1984;205;199;6;0;0;88;87;1;0;0;117;112;5;0;0;;;;;
165;16;1985;246;239;6;1;0;117;115;1;1;0;129;124;5;0;0;;;;;
166;16;1986;304;298;6;0;0;155;154;1;0;0;149;144;5;0;0;;;;;
167;16;1987;266;259;7;0;0;145;141;4;0;0;121;118;3;0;0;;;;;
168;16;1988;259;253;6;0;0;133;130;3;0;0;126;123;3;0;0;;;;;
169;16;1989;260;253;6;1;0;137;137;0;0;0;123;116;6;1;0;;;;;
170;16;1990;239;233;5;1;0;128;126;1;1;0;111;107;4;0;0;;;;;
171;16;1991;222;218;4;0;0;120;120;0;0;0;102;98;4;0;0;;;;;
172;16;1992;206;199;6;1;0;101;99;2;0;0;105;100;4;1;0;;;;;
173;16;1993;187;182;5;0;0;90;88;2;0;0;97;94;3;0;0;;;;;
174;16;1994;192;188;4;0;0;67;65;2;0;0;125;123;2;0;0;;;;;
175;16;1995;134;128;6;0;0;31;29;2;0;0;103;99;4;0;0;0.0;0.0;0.0;0.0;0.0
176;16;1996;149;146;3;0;0;27;27;0;0;0;122;119;3;0;0;2.0;2.0;0.0;0.0;0.0
177;16;1997;154;149;5;0;0;27;26;1;0;0;127;123;4;0;0;0.0;0.0;0.0;0.0;0.0
178;16;1998;188;184;4;0;0;23;23;0;0;0;165;161;4;0;0;1.0;1.0;0.0;0.0;0.0
179;16;1999;207;204;3;0;0;10;10;0;0;0;197;194;3;0;0;1.0;1.0;0.0;0.0;0.0
180;16;2000;230;222;7;0;1;14;13;1;0;0;216;209;6;0;1;3.0;3.0;0.0;0.0;0.0
181;16;2001;268;260;7;1;0;22;22;0;0;0;246;238;7;1;0;4.0;3.0;1.0;0.0;0.0
182;16;2002;235;227;6;2;0;14;14;0;0;0;221;213;6;2;0;2.0;2.0;0.0;0.0;0.0
183;16;2003;212;210;2;0;0;13;12;1;0;0;199;198;1;0;0;1.0;0.0;1.0;0.0;0.0
184;16;2004;176;171;4;1;0;8;8;0;0;0;168;163;4;1;0;0.0;0.0;0.0;0.0;0.0
185;16;2005;156;154;2;0;0;5;5;0;0;0;151;149;2;0;0;1.0;0.0;1.0;0.0;0.0
186;16;2006;161;158;3;0;0;5;5;0;0;0;156;153;3;0;0;3.0;3.0;0.0;0.0;0.0
187;16;2007;151;148;3;0;0;12;12;0;0;0;139;136;3;0;0;0.0;0.0;0.0;0.0;0.0
188;16;2008;131;130;1;0;0;6;6;0;0;0;125;124;1;0;0;1.0;0.0;1.0;0.0;0.0
189;16;2009;123;122;1;0;0;11;11;0;0;0;112;111;1;0;0;0.0;0.0;0.0;0.0;0.0
190;16;2010;128;126;2;0;0;6;6;0;0;0;122;120;2;0;0;1.0;1.0;0.0;0.0;0.0
191;16;2011;115;114;1;0;0;3;3;0;0;0;112;111;1;0;0;0.0;0.0;0.0;0.0;0.0
192;16;2012;110;108;2;0;0;4;4;0;0;0;106;104;2;0;0;0.0;0.0;0.0;0.0;0.0
193;16;2013;108;106;2;0;0;7;7;0;0;0;101;99;2;0;0;0.0;0.0;0.0;0.0;0.0
194;16;2014;88;88;0;0;0;5;5;0;0;0;83;83;0;0;0;1.0;1.0;0.0;0.0;0.0
195;17;1950;635;611;23;1;0;479;458;20;1;0;156;153;3;0;0;;;;;
196;17;1951;636;607;28;1;0;508;480;27;1;0;128;127;1;0;0;;;;;
197;17;1952;640;619;21;0;0;494;477;17;0;0;146;142;4;0;0;;;;;
198;17;1953;644;621;23;0;0;516;494;22;0;0;128;127;1;0;0;;;;;
199;17;1954;660;621;39;0;0;547;509;38;0;0;113;112;1;0;0;;;;;
200;17;1955;702;668;33;1;0;564;534;29;1;0;138;134;4;0;0;;;;;
201;17;1956;758;725;33;0;0;631;600;31;0;0;127;125;2;0;0;;;;;
202;17;1957;811;762;47;2;0;654;610;42;2;0;157;152;5;0;0;;;;;
203;17;1958;867;814;51;2;0;712;663;47;2;0;155;151;4;0;0;;;;;
204;17;1959;1046;990;56;0;0;837;786;51;0;0;209;204;5;0;0;;;;;
205;17;1960;1099;1030;68;1;0;887;823;63;1;0;212;207;5;0;0;;;;;
206;17;1961;1277;1193;82;2;0;1053;974;77;2;0;224;219;5;0;0;;;;;
207;17;1962;1347;1272;75;0;0;1106;1038;68;0;0;241;234;7;0;0;;;;;
208;17;1963;1531;1432;98;1;0;1274;1180;93;1;0;257;252;5;0;0;;;;;
209;17;1964;1926;1807;116;3;0;1551;1437;111;3;0;375;370;5;0;0;;;;;
210;17;1965;1785;1682;101;2;0;1455;1357;96;2;0;330;325;5;0;0;;;;;
211;17;1966;1768;1665;102;1;0;1465;1368;96;1;0;303;297;6;0;0;;;;;
212;17;1967;1663;1573;88;2;0;1381;1297;82;2;0;282;276;6;0;0;;;;;
213;17;1968;1765;1673;91;1;0;1441;1354;86;1;0;324;319;5;0;0;;;;;
214;17;1969;1911;1809;100;1;1;1558;1464;93;0;1;353;345;7;1;0;;;;;
215;17;1970;1967;1875;87;5;0;1562;1474;83;5;0;405;401;4;0;0;;;;;
216;17;1971;1974;1888;80;3;3;1635;1554;75;3;3;339;334;5;0;0;;;;;
217;17;1972;1808;1722;84;1;1;1498;1421;75;1;1;310;301;9;0;0;;;;;
218;17;1973;1556;1473;81;2;0;1299;1227;70;2;0;257;246;11;0;0;;;;;
219;17;1974;1291;1225;63;3;0;1035;977;55;3;0;256;248;8;0;0;;;;;
220;17;1975;1077;1025;48;4;0;849;799;46;4;0;228;226;2;0;0;;;;;
221;17;1976;931;882;46;3;0;694;654;40;0;0;237;228;6;3;0;;;;;
222;17;1977;950;910;40;0;0;674;639;35;0;0;276;271;5;0;0;;;;;
223;17;1978;857;822;34;1;0;614;583;31;0;0;243;239;3;1;0;;;;;
224;17;1979;804;765;37;2;0;552;520;32;0;0;252;245;5;2;0;;;;;
225;17;1980;866;818;47;1;0;590;549;40;1;0;276;269;7;0;0;;;;;
226;17;1981;877;831;46;0;0;583;545;38;0;0;294;286;8;0;0;;;;;
227;17;1982;730;684;46;0;0;467;427;40;0;0;263;257;6;0;0;;;;;
228;17;1983;633;604;29;0;0;357;340;17;0;0;276;264;12;0;0;;;;;
229;17;1984;662;618;43;1;0;378;346;32;0;0;284;272;11;1;0;;;;;
230;17;1985;574;539;34;1;0;329;310;18;1;0;245;229;16;0;0;;;;;
231;17;1986;589;558;29;2;0;322;303;19;0;0;267;255;10;2;0;;;;;
232;17;1987;625;583;41;1;0;361;332;29;0;0;264;251;12;1;0;;;;;
233;17;1988;654;615;38;1;0;377;351;26;0;0;277;264;12;1;0;;;;;
234;17;1989;654;617;36;0;1;401;377;24;0;0;253;240;12;0;1;;;;;
235;17;1990;669;632;36;1;0;388;359;28;1;0;281;273;8;0;0;;;;;
236;17;1991;596;561;33;2;0;343;322;20;1;0;253;239;13;1;0;;;;;
237;17;1992;515;491;23;1;0;292;277;15;0;0;223;214;8;1;0;;;;;
238;17;1993;422;402;19;1;0;249;234;15;0;0;173;168;4;1;0;;;;;
239;17;1994;454;432;21;1;0;222;211;11;0;0;232;221;10;1;0;;;;;
240;17;1995;387;358;27;2;0;148;135;13;0;0;239;223;14;2;0;5.0;5.0;0.0;0.0;0.0
241;17;1996;338;321;17;0;0;81;74;7;0;0;257;247;10;0;0;4.0;4.0;0.0;0.0;0.0
242;17;1997;368;351;16;1;0;77;73;4;0;0;291;278;12;1;0;4.0;4.0;0.0;0.0;0.0
243;17;1998;368;347;19;2;0;69;66;3;0;0;299;281;16;2;0;5.0;5.0;0.0;0.0;0.0
244;17;1999;421;400;20;1;0;51;50;1;0;0;370;350;19;1;0;3.0;3.0;0.0;0.0;0.0
245;17;2000;482;462;20;0;0;54;52;2;0;0;428;410;18;0;0;6.0;6.0;0.0;0.0;0.0
246;17;2001;564;532;32;0;0;60;56;4;0;0;504;476;28;0;0;2.0;2.0;0.0;0.0;0.0
247;17;2002;501;478;23;0;0;34;33;1;0;0;467;445;22;0;0;3.0;2.0;1.0;0.0;0.0
248;17;2003;468;450;18;0;0;47;41;6;0;0;421;409;12;0;0;4.0;1.0;3.0;0.0;0.0
249;17;2004;421;399;21;1;0;39;38;1;0;0;382;361;20;1;0;2.0;2.0;0.0;0.0;0.0
250;17;2005;387;369;18;0;0;38;36;2;0;0;349;333;16;0;0;2.0;2.0;0.0;0.0;0.0
251;17;2006;351;331;20;0;0;41;39;2;0;0;310;292;18;0;0;4.0;4.0;0.0;0.0;0.0
252;17;2007;370;357;12;1;0;30;30;0;0;0;340;327;12;1;0;3.0;3.0;0.0;0.0;0.0
