ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;MediaOmzetTotaal_28;Pers_29;RtvZendtijd_30;Buitenreclame_31;Bioscoopreclame_32;OverigeMedia_33;OverigeReclamedienstenTotaal_34;CreatiefWerk_35;Reproduktiematerialen_36;Drukwerk_37;Verspreiden_38;Fees_39;PromotieActiviteiten_40;VerzorgenVanShowroomsEnStands_41;OverigeDienstverlening_42;TotaalVerleendeDiensten_43;TotaalHandel_44;OntvangstenVoorUitleenEnSubsidie_45;TotaalPersoneelskosten_46;BrutoLonenEnSalarissen_47;SocialeLasten_48;Pensioenpremies_49;KostenUitzendkrachten_50;KostenIngeleendPersoneel_51;OverigePersoneelskosten_52;TotaalOverigeBedrijfslasten_53;TotaalHuisvestingskosten_54;BetaaldeHurenPachtenEDVanLeasing_55;OnroerendeZaakbelastingMilieuheffing_56;Energiekosten_57;ReparatieEnOnderhoudskosten_58;Verzekeringen_59;OverigeHuisvestingskosten_60;TotaalInventarisEnMachinekosten_61;BetaaldeHurenEnKostenVanOperLease_62;Onderhoudskosten_63;OverigeInventarisEnMachinekosten_64;TotaalAutokosten_65;BetaaldeHurenEnKostenVanOperLease_66;Brandstof_67;OverigeAutokosten_68;TotaalVerkoopkosten_69;ReclameEnAdvertentiekosten_70;ReisVerblijfsEnRepresentatiekosten_71;OverigeVerkoopkosten_72;TotaalAndereKosten_73;AccountantsEnAdviesdiensten_74;KantoorbenodigdhDrukwerkVakliteratuur_75;OverigeVerzekeringen_76;OverigeKostprijsverhogendeBelastingen_77;Communicatiekosten_78;Beheerskosten_79;OverigeAutomatiseringskosten_80;NogNietEerderGenoemdeBedrijfskosten_81;TotaalAantalWerkzamePersonen_82;WerknemersOpDeLoonlijst_83;WerknemersNietOpLoonlijst_84;OverigPersoneel_85;AantalVte_86;TotaalInvesteringen_87;TotaalMaterieleVasteActiva_88;Bedrijfsruimten_89;Vervoermiddelen_90;Computers_91;OverigeMachinesApparatenED_92;OverigeMaterieleVasteActiva_93;TotaalImmaterieleVasteActiva_94
10;250 000 tot 2 000 000 euro;1998;20.9;1413;1404;1403;1;9;1275;59.8;21.5;4.2;14.5;185;42;9;28;24;82;137;-14;123;45.7;8.8;8.7;4.5;;;1404;26.4;21.5;3.0;0.9;0.5;0.4;73.6;20.3;3.7;15.2;4.8;1.1;4.4;8.3;15.7;99.9;0.1;0.5;275;77.3;8.8;3.5;1.4;3.5;6.0;185;42;;;;;;;9;;;;28;;;;24;;;;82;;;;;;;;;151;89.6;9.1;1.3;104;64;96.1;31.3;19.8;19.8;14.6;10.5;3.9
11;250 000 tot 2 000 000 euro;1999;21.2;1419;1408;1379;1;11;1286;58.9;22.6;4.0;14.5;187;45;8;29;26;79;132;-9;123;46.2;8.7;8.6;4.6;;;1408;28.3;21.3;2.1;2.4;1.1;1.5;69.6;21.7;3.2;12.6;4.1;1.5;3.3;8.4;14.8;97.9;0.1;0.6;291;75.9;8.8;2.9;1.2;6.1;5.6;187;45;;;;;;;8;;;;29;;;;26;;;;79;;;;;;;;;138;84.1;9.7;6.1;98;65;95.5;11.3;22.1;22.9;21.2;18.0;4.5
12;2 000 000 tot 5 000 000 euro;1996;1.8;531;530;530;0;1;494;67.0;19.0;2.2;11.8;58;12;3;7;8;28;37;-5;32;37.5;4.7;5.9;3.9;;;530;37.3;31.4;3.6;1.6;0.0;0.7;62.7;15.6;5.3;15.7;2.4;2.4;3.4;6.3;11.6;100.0;0.0;0.4;94;78.9;5.2;3.1;1.9;4.5;6.8;58;12;41.9;0.9;7.0;9.9;1.6;7.8;3;9.4;27.5;23.5;7;41.7;15.8;21.9;8;24.8;39.9;14.1;28;10.3;6.4;1.8;0.1;8.8;37.4;2.5;6.5;38;96.6;1.6;1.7;28;21;56.5;10.9;6.0;24.0;6.7;8.8;43.5
13;2 000 000 tot 5 000 000 euro;1997;1.7;537;534;533;1;3;507;64.7;20.2;2.2;12.9;65;11;3;10;8;34;30;-4;26;38.6;4.6;4.9;2.1;;;534;28.4;23.1;3.2;1.2;0.0;0.9;71.4;16.6;2.7;17.9;2.3;4.8;3.9;7.9;15.4;99.8;0.2;1.0;103;79.6;5.7;2.6;1.8;4.9;6.4;65;11;67.2;1.5;11.3;8.0;1.3;10.7;3;21.2;45.2;33.6;10;53.8;19.6;26.6;8;35.8;47.0;17.2;34;8.8;9.0;2.0;0.0;10.4;60.9;2.9;6.0;40;96.6;1.8;1.6;31;11;98.8;5.5;11.8;27.3;29.2;25.0;1.2
14;2 000 000 tot 5 000 000 euro;1998;1.7;500;498;495;3;2;469;59.3;23.5;3.0;14.2;67;14;2;8;10;33;31;-2;29;44.2;5.2;5.8;3.4;;;498;35.6;30.0;3.5;1.1;0.2;0.7;63.9;21.1;2.4;10.5;0.9;1.6;9.7;8.1;9.6;99.4;0.6;0.9;110;76.4;8.6;2.7;1.8;5.2;6.3;67;14;;;;;;;2;;;;8;;;;10;;;;33;;;;;;;;;38;96.8;1.8;1.4;32;17;97.4;28.0;13.3;24.4;15.5;16.2;2.6
15;2 000 000 tot 5 000 000 euro;1999;2.2;670;669;665;0;1;623;62.5;21.8;3.0;12.6;79;18;6;9;12;34;47;-7;40;41.7;6.5;5.9;3.8;;;669;40.9;32.8;3.0;1.7;1.1;2.4;58.5;22.7;1.9;11.4;0.6;1.8;9.1;4.1;6.8;99.4;0.1;0.5;136;73.0;9.0;3.9;1.3;3.3;10.1;79;18;;;;;;;6;;;;9;;;;12;;;;34;;;;;;;;;43;95.6;0.7;3.8;35;26;88.8;18.3;12.1;21.1;14.0;23.2;11.2
16;5 000 000 euro en meer;1996;1.0;2706;2698;2698;0;8;2447;80.1;11.4;1.4;7.1;174;32;8;23;45;67;259;-3;256;27.3;9.6;9.5;1.2;;;2698;69.7;26.6;37.3;4.2;0.3;1.4;30.3;7.4;1.8;5.5;3.1;3.9;1.2;2.9;4.7;100.0;0.0;0.2;279;78.0;5.2;3.8;4.3;2.8;6.0;174;32;70.3;1.2;10.3;6.8;0.9;10.5;8;38.8;43.3;17.9;23;68.3;15.7;16.0;45;31.0;27.2;41.8;67;18.8;12.7;2.6;0.3;13.5;32.5;4.8;14.9;75;96.8;0.3;2.9;63;33;88.7;11.5;7.9;30.2;12.8;26.3;11.3
17;5 000 000 euro en meer;1997;1.0;2858;2851;2851;0;7;2607;81.2;11.3;1.2;6.4;166;33;7;23;41;61;251;-5;246;25.8;8.7;8.6;0.8;;;2851;71.1;28.3;36.8;4.4;0.3;1.2;28.9;6.6;2.0;4.6;3.0;3.7;1.3;3.5;4.0;100.0;0.0;0.1;294;78.7;5.4;3.4;4.4;2.2;6.1;166;33;68.4;1.1;10.5;7.6;1.1;11.4;7;34.5;47.1;18.4;23;68.0;15.8;16.1;41;29.6;28.6;41.8;61;15.7;12.6;2.8;0.0;14.6;31.4;5.3;17.5;82;96.0;0.3;3.6;69;22;91.0;12.0;9.3;28.2;12.3;29.3;9.0
18;5 000 000 euro en meer;1998;1.1;3270;3263;3263;0;7;2960;80.5;11.4;1.2;6.9;204;36;8;27;56;77;310;-3;307;27.0;9.5;9.4;1.7;;;3263;68.1;27.5;35.4;3.7;0.2;1.3;31.9;7.6;2.1;5.4;3.5;3.5;1.7;3.8;4.3;100.0;0.0;0.2;337;74.5;8.0;3.7;4.3;2.6;7.2;204;36;;;;;;;8;;;;27;;;;56;;;;77;;;;;;;;;99;96.6;0.1;3.3;78;55;67.5;9.3;6.3;16.3;9.2;26.4;32.5
19;5 000 000 euro en meer;1999;1.3;3435;3428;3414;11;7;3095;79.8;11.9;1.4;6.9;212;41;9;29;50;83;340;2;342;27.9;9.9;10.0;1.9;;;3428;64.8;23.7;35.1;3.3;0.9;1.8;34.8;8.8;1.7;6.1;3.8;3.1;1.6;4.2;5.4;99.6;0.3;0.4;368;74.8;8.2;3.5;4.8;2.4;6.8;212;41;;;;;;;9;;;;29;;;;50;;;;83;;;;;;;;;106;96.2;0.1;3.7;81;65;90.8;14.8;5.8;19.7;6.2;44.4;9.2
