ID;InstitutioneleBeleggers;LanglopendeBeleggingen;Perioden;StandBeginKwartaal_1;Aankopen_2;Verkopen_3;Herwaarderingen_4;OverigeMutaties_5;StandEindKwartaal_6
33;Totaal institutionele beleggers;Obligaties;2002, 2e kwartaal;232469.4;78488.0;82405.4;-1992.7;7354.9;233914.2
34;Totaal institutionele beleggers;Obligaties;2002, 3e kwartaal;233914.2;66014.7;63940.6;8561.7;587.8;245137.8
35;Totaal institutionele beleggers;Obligaties;2002, 4e kwartaal;245137.8;130782.7;126178.0;80.6;-2035.3;247787.8
36;Totaal institutionele beleggers;Obligaties;2003, 1e kwartaal;247787.8;96547.8;85388.9;1190.7;872.8;261010.2
37;Totaal institutionele beleggers;Obligaties;2003, 2e kwartaal;261010.2;95486.2;97500.5;2698.1;1037.6;262731.6
38;Totaal institutionele beleggers;Obligaties;2003, 3e kwartaal;262731.6;95349.2;89378.4;-1816.5;-124.6;266761.3
39;Totaal institutionele beleggers;Obligaties;2003, 4e kwartaal;266761.3;80773.7;76036.7;-1397.0;-309.8;269791.5
40;Totaal institutionele beleggers;Obligaties;2004, 1e kwartaal;269791.5;97106.3;84826.3;7284.9;1700.1;291056.5
41;Totaal institutionele beleggers;Obligaties;2004, 2e kwartaal;291056.5;82997.4;78311.4;-4323.7;1841.3;293260.1
42;Totaal institutionele beleggers;Obligaties;2004, 3e kwartaal;293260.1;87074.1;79009.3;4615.3;926.2;306866.4
43;Totaal institutionele beleggers;Obligaties;2004, 4e kwartaal;306866.4;102068.4;89699.1;2276.3;-1963.4;319548.6
44;Totaal institutionele beleggers;Obligaties;2005, 1e kwartaal;319548.6;114589.7;101248.4;2863.3;116.0;335869.2
45;Totaal institutionele beleggers;Obligaties;2005, 2e kwartaal;335869.2;112917.4;105545.6;14699.1;1124.9;359065.0
46;Totaal institutionele beleggers;Obligaties;2005, 3e kwartaal;359065.0;120999.9;113322.1;-831.1;-782.5;365129.2
47;Totaal institutionele beleggers;Obligaties;2005, 4e kwartaal;365129.2;118675.7;106228.9;-687.0;-3728.3;373160.7
48;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2002, 1e kwartaal;74153.1;7083.6;5615.3;1014.9;0.0;76636.3
49;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2002, 2e kwartaal;76636.3;9217.5;6972.4;-8582.6;-113.1;70185.7
50;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2002, 3e kwartaal;70185.7;7095.4;4385.0;-7649.3;514.8;65761.6
51;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2002, 4e kwartaal;65761.6;11769.8;9204.7;33.4;4974.1;73334.2
52;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2003, 1e kwartaal;73334.2;7524.7;4007.5;-3241.1;1476.4;75086.7
53;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2003, 2e kwartaal;75086.7;7757.8;3037.7;4187.5;215.1;84209.4
54;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2003, 3e kwartaal;84209.4;7444.4;5001.4;731.0;-677.7;86705.7
55;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2003, 4e kwartaal;86705.7;11070.1;8890.9;3571.9;-282.9;92173.9
56;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2004, 1e kwartaal;92173.9;9425.1;6294.5;4019.8;145.4;99469.7
57;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2004, 2e kwartaal;99469.7;8804.9;7676.6;-170.4;247.5;100675.1
58;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2004, 3e kwartaal;100675.1;9335.3;6470.0;32.1;-225.9;103346.6
59;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2004, 4e kwartaal;103346.6;6435.0;7669.3;2198.5;-522.0;103788.8
60;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2005, 1e kwartaal;103788.8;10999.5;8975.6;3581.4;-1910.9;107483.2
61;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2005, 2e kwartaal;107483.2;6567.8;5660.5;4893.3;-615.1;112668.7
62;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2005, 3e kwartaal;112668.7;9445.7;9005.9;3762.1;-1795.0;115075.6
63;Totaal institutionele beleggers;Aand. en deeln., beleggingsinstellingen;2005, 4e kwartaal;115075.6;9741.3;7234.1;4300.3;105.4;121988.5
64;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2002, 1e kwartaal;221969.0;35829.7;27611.2;2331.3;0.0;232518.8
65;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2002, 2e kwartaal;232518.8;32619.2;27462.4;-37082.6;-5263.0;195330.0
66;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2002, 3e kwartaal;195330.0;27120.6;22866.4;-32561.0;-3277.4;163745.8
67;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2002, 4e kwartaal;163745.8;29422.7;31395.4;4969.5;4110.2;170852.8
68;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2003, 1e kwartaal;170852.8;26891.3;23050.5;-15965.4;-3944.5;154783.7
69;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2003, 2e kwartaal;154783.7;27703.2;25117.8;18104.8;-586.2;174887.7
70;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2003, 3e kwartaal;174887.7;24647.7;22904.0;5615.5;737.3;182984.2
71;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2003, 4e kwartaal;182984.2;23893.3;21323.6;11052.2;-2054.4;194551.7
72;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2004, 1e kwartaal;194551.7;37441.7;35495.0;10612.3;-510.1;206600.6
73;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2004, 2e kwartaal;206600.6;30446.9;30762.1;-298.8;6892.9;212879.5
74;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2004, 3e kwartaal;212879.5;32100.9;32709.1;-3309.0;-4523.9;204438.4
75;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2004, 4e kwartaal;204438.4;39374.8;35942.6;6758.6;536.4;215165.6
76;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2005, 1e kwartaal;215165.6;40461.1;40053.7;6958.3;1408.2;223939.5
77;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2005, 2e kwartaal;223939.5;33541.8;32752.1;17330.6;58.3;242118.1
78;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2005, 3e kwartaal;242118.1;46721.7;43588.8;17267.9;-864.2;261654.7
79;Totaal institutionele beleggers;Aand. en deeln., overig beursgenoteerd;2005, 4e kwartaal;261654.7;26803.4;37431.6;13239.8;-550.5;263715.8
80;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2002, 1e kwartaal;25352.1;1923.7;1835.8;1968.4;0.0;27408.4
81;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2002, 2e kwartaal;27408.4;1323.7;1182.9;-4207.4;3067.7;26409.5
82;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2002, 3e kwartaal;26409.5;2834.7;1970.2;-2749.7;-40.7;24483.6
83;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2002, 4e kwartaal;24483.6;1228.7;2753.2;169.6;-3488.9;19639.8
84;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2003, 1e kwartaal;19639.8;4279.5;4125.9;-970.7;952.2;19774.9
85;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2003, 2e kwartaal;19774.9;4162.5;4020.0;1285.8;-600.4;20602.8
86;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2003, 3e kwartaal;20602.8;4528.1;4243.8;1374.0;-783.9;21477.2
87;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2003, 4e kwartaal;21477.2;7477.2;5744.7;1086.2;205.2;24501.1
88;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2004, 1e kwartaal;24501.1;1114.1;759.1;1063.8;1230.8;27150.7
89;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2004, 2e kwartaal;27150.7;4178.1;3197.6;-278.8;-1187.1;26665.3
90;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2004, 3e kwartaal;26665.3;1157.3;998.5;123.1;172.6;27119.8
91;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2004, 4e kwartaal;27119.8;2098.8;1853.5;360.9;736.5;28462.5
92;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2005, 1e kwartaal;28462.5;5419.1;4275.7;1231.5;2528.4;33365.8
93;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2005, 2e kwartaal;33365.8;2570.0;3484.9;1600.0;102.6;34153.5
94;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2005, 3e kwartaal;34153.5;2357.2;4555.0;2464.7;2608.5;37028.9
95;Totaal institutionele beleggers;Aand. en deeln., overig niet-beursgenot.;2005, 4e kwartaal;37028.9;4946.3;3976.8;2953.7;-368.6;40583.5
96;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2002, 1e kwartaal;47381.3;4934.6;1600.7;-95.0;0.0;50620.2
97;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2002, 2e kwartaal;50620.2;3850.1;1857.2;60.9;115.3;52789.3
98;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2002, 3e kwartaal;52789.3;3604.8;2578.2;409.5;600.4;54825.8
99;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2002, 4e kwartaal;54825.8;3732.0;5316.0;453.5;1130.3;54825.6
100;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2003, 1e kwartaal;54825.6;2652.7;5214.8;944.8;-1010.9;52197.4
101;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2003, 2e kwartaal;52197.4;5114.5;3700.1;574.3;-77.7;54108.4
102;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2003, 3e kwartaal;54108.4;3530.6;1930.1;-690.9;-1336.4;53681.6
103;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2003, 4e kwartaal;53681.6;3663.9;12455.3;-355.2;-677.6;43857.4
104;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2004, 1e kwartaal;43857.4;1280.9;1122.5;161.6;217.1;44394.5
105;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2004, 2e kwartaal;44394.5;1256.6;2548.9;-181.5;0.6;42921.3
106;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2004, 3e kwartaal;42921.3;1328.8;1277.9;131.4;-57.7;43045.9
107;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2004, 4e kwartaal;43045.9;1124.2;5847.9;111.4;37.0;38470.6
108;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2005, 1e kwartaal;38470.6;1147.0;1242.7;-244.5;55.6;38186.0
109;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2005, 2e kwartaal;38186.0;1240.1;4558.6;102.0;-178.6;34790.9
110;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2005, 3e kwartaal;34790.9;1818.0;1406.9;-52.4;5.0;35154.6
111;Totaal institutionele beleggers;Langlopend krediet, woninghypotheken;2005, 4e kwartaal;35154.6;2402.4;3129.5;103.4;42.8;34573.7
112;Totaal institutionele beleggers;Langlopend krediet, overige;2002, 1e kwartaal;71584.4;3199.0;4960.5;-165.6;0.0;69657.3
113;Totaal institutionele beleggers;Langlopend krediet, overige;2002, 2e kwartaal;69657.3;1393.1;4716.4;239.7;-1443.4;65130.3
114;Totaal institutionele beleggers;Langlopend krediet, overige;2002, 3e kwartaal;65130.3;1928.2;4853.2;-219.0;-104.9;61881.4
115;Totaal institutionele beleggers;Langlopend krediet, overige;2002, 4e kwartaal;61881.4;4961.3;7964.3;184.5;129.9;59192.8
116;Totaal institutionele beleggers;Langlopend krediet, overige;2003, 1e kwartaal;59192.8;3682.8;7910.1;-1174.6;839.3;54630.2
117;Totaal institutionele beleggers;Langlopend krediet, overige;2003, 2e kwartaal;54630.2;2520.1;4579.8;-204.6;184.0;52549.9
118;Totaal institutionele beleggers;Langlopend krediet, overige;2003, 3e kwartaal;52549.9;1641.0;3332.7;-545.2;847.3;51160.3
119;Totaal institutionele beleggers;Langlopend krediet, overige;2003, 4e kwartaal;51160.3;6000.9;9745.3;170.9;-70.8;47516.0
120;Totaal institutionele beleggers;Langlopend krediet, overige;2004, 1e kwartaal;47516.0;1930.4;4220.3;265.7;-4278.6;41213.2
121;Totaal institutionele beleggers;Langlopend krediet, overige;2004, 2e kwartaal;41213.2;3875.0;4811.3;-471.9;96.1;39901.1
122;Totaal institutionele beleggers;Langlopend krediet, overige;2004, 3e kwartaal;39901.1;1853.8;3041.4;214.8;318.8;39247.1
123;Totaal institutionele beleggers;Langlopend krediet, overige;2004, 4e kwartaal;39247.1;1220.6;4055.0;171.3;1.7;36585.7
124;Totaal institutionele beleggers;Langlopend krediet, overige;2005, 1e kwartaal;36585.7;2460.1;3033.5;281.3;-1036.9;35256.7
125;Totaal institutionele beleggers;Langlopend krediet, overige;2005, 2e kwartaal;35256.7;710.6;1704.5;495.0;-93.0;34664.8
126;Totaal institutionele beleggers;Langlopend krediet, overige;2005, 3e kwartaal;34664.8;960.7;1364.8;-127.6;134.6;34267.7
127;Totaal institutionele beleggers;Langlopend krediet, overige;2005, 4e kwartaal;34267.7;1767.0;1512.2;-19.3;139.3;34642.5
128;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2002, 1e kwartaal;6651.2;63.4;82.6;51.3;0.0;6683.3
129;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2002, 2e kwartaal;6683.3;94.6;347.8;32.7;10.0;6472.8
130;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2002, 3e kwartaal;6472.8;32.5;110.7;96.3;-1.2;6489.7
131;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2002, 4e kwartaal;6489.7;228.3;300.2;82.7;2.6;6503.1
132;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2003, 1e kwartaal;6503.1;50.3;795.6;-24.8;-174.3;5558.7
133;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2003, 2e kwartaal;5558.7;151.5;134.6;182.6;-43.9;5714.3
134;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2003, 3e kwartaal;5714.3;82.4;83.0;-19.1;-3.5;5691.1
135;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2003, 4e kwartaal;5691.1;144.4;344.5;123.7;-34.7;5580.0
136;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2004, 1e kwartaal;5580.0;23.6;31.1;8.1;-331.0;5249.6
137;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2004, 2e kwartaal;5249.6;48.3;126.8;19.3;-1.9;5188.5
138;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2004, 3e kwartaal;5188.5;89.6;189.1;-67.2;-1.7;5020.1
139;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2004, 4e kwartaal;5020.1;134.5;169.0;5.4;1.5;4992.5
140;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2005, 1e kwartaal;4992.5;119.2;99.7;55.2;-1200.8;3866.4
141;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2005, 2e kwartaal;3866.4;133.1;139.4;1.7;-24.1;3837.7
142;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2005, 3e kwartaal;3837.7;50.1;176.4;34.0;-1.6;3743.8
143;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, woningen;2005, 4e kwartaal;3743.8;197.4;187.7;122.5;-0.3;3875.7
144;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2002, 1e kwartaal;5882.2;63.2;26.9;165.0;0.0;6083.5
145;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2002, 2e kwartaal;6083.5;209.7;203.5;158.1;0.1;6247.9
146;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2002, 3e kwartaal;6247.9;43.8;36.4;96.0;-2.2;6349.1
147;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2002, 4e kwartaal;6349.1;100.0;217.3;1.5;2.4;6235.7
148;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2003, 1e kwartaal;6235.7;66.9;496.1;102.4;-127.0;5781.9
149;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2003, 2e kwartaal;5781.9;44.7;511.1;-70.9;0.4;5245.0
150;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2003, 3e kwartaal;5245.0;167.2;151.0;-12.8;400.3;5648.7
151;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2003, 4e kwartaal;5648.7;585.3;957.0;231.6;376.5;5885.1
152;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2004, 1e kwartaal;5885.1;40.2;114.8;-5.5;50.1;5855.1
153;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2004, 2e kwartaal;5855.1;194.6;237.4;0.5;-203.3;5609.5
154;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2004, 3e kwartaal;5609.5;98.7;92.1;92.3;-2.1;5706.3
155;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2004, 4e kwartaal;5706.3;136.9;89.5;-16.9;1.0;5737.8
156;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2005, 1e kwartaal;5737.8;122.3;44.6;81.1;-783.7;5112.9
157;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2005, 2e kwartaal;5112.9;159.6;67.5;-22.1;-24.2;5158.7
158;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2005, 3e kwartaal;5158.7;91.7;51.1;82.1;0.2;5281.6
159;Verzekeringsmaatschappijen;Onr.goed.niet in eigen gebruik, overige;2005, 4e kwartaal;5281.6;104.9;96.2;12.8;0.1;5303.2
160;Verzekeringsmaatschappijen;Obligaties;2002, 1e kwartaal;73073.2;19877.7;18720.2;-804.9;0.0;73425.8
161;Verzekeringsmaatschappijen;Obligaties;2002, 2e kwartaal;73425.8;27695.2;32246.8;-1578.3;2.4;67298.3
162;Verzekeringsmaatschappijen;Obligaties;2002, 3e kwartaal;67298.3;19190.2;18505.1;1817.7;-22.9;69778.2
163;Verzekeringsmaatschappijen;Obligaties;2002, 4e kwartaal;69778.2;23771.2;23851.4;899.5;102.0;70699.5
164;Verzekeringsmaatschappijen;Obligaties;2003, 1e kwartaal;70699.5;26690.8;17044.4;726.6;741.3;81813.8
165;Verzekeringsmaatschappijen;Obligaties;2003, 2e kwartaal;81813.8;28231.5;30723.0;712.4;-162.6;79872.1
166;Verzekeringsmaatschappijen;Obligaties;2003, 3e kwartaal;79872.1;21555.6;17953.9;639.0;-196.6;83916.2
167;Verzekeringsmaatschappijen;Obligaties;2003, 4e kwartaal;83916.2;24861.3;22764.1;1837.0;-133.7;87716.7
168;Verzekeringsmaatschappijen;Obligaties;2004, 1e kwartaal;87716.7;26915.8;21667.3;2260.0;1590.7;96815.9
169;Verzekeringsmaatschappijen;Obligaties;2004, 2e kwartaal;96815.9;20340.1;17204.5;-1342.0;41.2;98650.7
170;Verzekeringsmaatschappijen;Obligaties;2004, 3e kwartaal;98650.7;21719.4;16810.5;1270.2;-48.6;104781.2
171;Verzekeringsmaatschappijen;Obligaties;2004, 4e kwartaal;104781.2;27329.4;19764.3;1773.6;-24.8;114095.1
172;Verzekeringsmaatschappijen;Obligaties;2005, 1e kwartaal;114095.1;24265.7;20009.0;273.7;132.3;118757.8
173;Verzekeringsmaatschappijen;Obligaties;2005, 2e kwartaal;118757.8;24109.0;19754.5;4138.7;-701.5;126549.5
174;Verzekeringsmaatschappijen;Obligaties;2005, 3e kwartaal;126549.5;20609.4;18119.1;-123.8;39.4;128955.4
175;Verzekeringsmaatschappijen;Obligaties;2005, 4e kwartaal;128955.4;17038.2;16963.5;-1485.8;1.4;127545.7
176;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2002, 1e kwartaal;46196.8;1426.5;1600.2;848.7;0.0;46871.8
177;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2002, 2e kwartaal;46871.8;2668.5;912.1;-4672.1;4.8;43960.9
178;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2002, 3e kwartaal;43960.9;4916.7;2443.4;-3610.4;400.9;43224.7
179;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2002, 4e kwartaal;43224.7;5958.9;3732.0;-376.2;3395.6;48471.0
180;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2003, 1e kwartaal;48471.0;4415.4;1821.2;-1697.9;1028.0;50395.3
181;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2003, 2e kwartaal;50395.3;3370.7;2051.2;2162.6;62.6;53940.0
182;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2003, 3e kwartaal;53940.0;3198.7;1716.5;-499.4;-603.4;54319.4
183;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2003, 4e kwartaal;54319.4;5505.9;4640.6;2083.4;-503.6;56764.5
184;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2004, 1e kwartaal;56764.5;5307.6;2595.4;2099.9;-425.0;61151.6
185;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2004, 2e kwartaal;61151.6;4963.1;4361.9;-204.0;4.7;61553.5
186;Verzekeringsmaatschappijen;Aand. en deeln., beleggingsinstellingen;2004, 3e kwartaal;61553.5;4388.3;3202.6;44.9;-6.3;62777.8
