ID;Periode;BasisIndexcijfers193839100_1;ReeksInclusiefBTW_2;ReeksExclusiefBTW_3;ReeksInclusiefBTW_4;ReeksExclusiefBTW_5;ReeksInclusiefBTW_6;ReeksExclusiefBTW_7
109;1988 4e kwartaal;;109.0;107.0;;;;
110;1988;3010.0;108.0;106.0;;;;
111;1989 1e kwartaal;;108.0;108.0;;;;
112;1989 2e kwartaal;;111.0;110.0;;;;
113;1989 3e kwartaal;;110.0;110.0;;;;
114;1989 4e kwartaal;;111.0;110.0;;;;
115;1989;3070.0;110.0;109.0;;;;
116;1990 1e kwartaal;;111.0;110.0;99.0;98.0;;
117;1990 2e kwartaal;;112.0;111.0;100.0;99.0;;
118;1990 3e kwartaal;;113.0;113.0;100.0;101.0;;
119;1990 4e kwartaal;;114.0;114.0;101.0;102.0;;
120;1990;3140.0;113.0;112.0;100.0;100.0;;
121;1991 1e kwartaal;;115.0;114.0;102.0;102.0;;
122;1991 2e kwartaal;;115.0;115.0;102.0;103.0;;
123;1991 3e kwartaal;;115.0;114.0;102.0;102.0;;
124;1991 4e kwartaal;;116.0;116.0;103.0;104.0;;
125;1991;3220.0;115.0;115.0;102.0;103.0;;
126;1992 1e kwartaal;;119.0;119.0;106.0;106.0;;
127;1992 2e kwartaal;;120.0;120.0;107.0;107.0;;
128;1992 3e kwartaal;;120.0;120.0;107.0;107.0;;
129;1992 4e kwartaal;;123.0;123.0;109.0;110.0;;
130;1992;3370.0;121.0;121.0;107.0;107.0;;
131;1993 1e kwartaal;;124.0;124.0;110.0;111.0;;
132;1993 2e kwartaal;;124.0;124.0;110.0;111.0;;
133;1993 3e kwartaal;;125.0;125.0;111.0;112.0;;
134;1993 4e kwartaal;;125.0;125.0;111.0;112.0;;
135;1993;3470.0;125.0;125.0;111.0;112.0;;
136;1994 1e kwartaal;;126.0;127.0;112.0;113.0;;
137;1994 2e kwartaal;;127.0;128.0;113.0;114.0;;
138;1994 3e kwartaal;;127.0;128.0;113.0;114.0;;
139;1994 4e kwartaal;;129.0;130.0;115.0;116.0;;
140;1994;3560.0;127.0;128.0;113.0;114.0;;
141;1995 1e kwartaal;;132.0;132.0;117.0;118.0;;
142;1995 2e kwartaal;;132.0;132.0;117.0;118.0;;
143;1995 3e kwartaal;;133.0;133.0;118.0;119.0;;
144;1995 4e kwartaal;;133.0;133.0;118.0;119.0;;
145;1995;3690.0;133.0;133.0;118.0;119.0;100.0;100.0
146;1996 1e kwartaal;;138.0;138.0;122.0;123.0;104.0;104.0
147;1996 2e kwartaal;;136.0;136.0;121.0;122.0;103.0;103.0
148;1996 3e kwartaal;;136.0;136.0;121.0;122.0;103.0;103.0
149;1996 4e kwartaal;;138.0;138.0;122.0;123.0;104.0;104.0
150;1996;3830.0;137.0;137.0;122.0;123.0;104.0;104.0
151;1997 1e kwartaal;;139.0;139.0;123.0;124.0;105.0;105.0
152;1997 2e kwartaal;;139.0;139.0;123.0;124.0;105.0;105.0
153;1997 3e kwartaal;;140.0;140.0;125.0;126.0;106.0;106.0
154;1997 4e kwartaal;;143.0;143.0;127.0;128.0;108.0;108.0
155;1997;3920.0;140.0;140.0;125.0;126.0;106.0;106.0
156;1998 1e kwartaal;;143.0;143.0;127.0;128.0;108.0;108.0
157;1998 2e kwartaal;;144.0;144.0;128.0;129.0;109.0;109.0
158;1998 3e kwartaal;;144.0;144.0;128.0;129.0;109.0;109.0
159;1998 4e kwartaal;;144.0;144.0;128.0;129.0;109.0;109.0
160;1998;4010.0;144.0;144.0;128.0;129.0;109.0;109.0
161;1999 1e kwartaal;;148.0;148.0;132.0;133.0;112.0;112.0
162;1999 2e kwartaal;;148.0;148.0;132.0;133.0;112.0;112.0
163;1999 3e kwartaal;;148.0;148.0;132.0;133.0;112.0;112.0
164;1999 4e kwartaal;;148.0;148.0;132.0;133.0;112.0;112.0
165;1999;4130.0;148.0;148.0;132.0;133.0;112.0;112.0
