ID;Perioden;Volumemutaties_1;VolumeIndexcijfers_2
94;2000 augustus;12.2;70.3
95;2000 september;-1.5;118.1
96;2000 3e kwartaal;0.5;87.4
97;2000 oktober;2.4;118.4
98;2000 november;0.5;123.0
99;2000 december;-1.8;75.9
100;2000 4e kwartaal;0.6;105.8
101;2000;3.5;100.0
102;2001 januari;4.3;93.6
103;2001 februari;-2.4;105.3
104;2001 maart;0.8;106.3
105;2001 1e kwartaal;0.7;101.7
106;2001 april;-1.2;87.1
107;2001 mei;-1.8;116.9
108;2001 juni;3.8;114.6
109;2001 2e kwartaal;0.3;106.2
110;2001 juli;7.2;79.1
111;2001 augustus;6.6;74.9
112;2001 september;0.5;118.7
113;2001 3e kwartaal;4.0;90.9
114;2001 oktober;4.9;124.2
115;2001 november;2.6;126.2
116;2001 december;0.3;76.1
117;2001 4e kwartaal;2.9;108.8
118;2001;1.9;101.9
119;2002 januari;2.7;96.1
120;2002 februari;-1.4;103.8
121;2002 maart;-0.5;105.8
122;2002 1e kwartaal;0.2;101.9
123;2002 april;2.0;88.8
124;2002 mei;-5.9;110.0
125;2002 juni;-3.7;110.3
126;2002 2e kwartaal;-3.0;103.0
127;2002 juli;-2.6;77.0
128;2002 augustus;-3.5;72.3
129;2002 september;0.1;118.8
130;2002 3e kwartaal;-1.7;89.4
131;2002 oktober;-6.0;116.7
132;2002 november;-7.3;116.9
133;2002 december;-13.7;65.7
134;2002 4e kwartaal;-8.3;99.8
135;2002;-3.3;98.5
136;2003 januari;-8.3;88.1
137;2003 februari;-7.5;96.0
138;2003 maart;-5.9;99.5
139;2003 1e kwartaal;-7.2;94.5
140;2003 april;-3.6;85.6
141;2003 mei;-2.0;107.8
142;2003 juni;-4.8;105.1
143;2003 2e kwartaal;-3.4;99.5
144;2003 juli;-6.7;71.9
145;2003 augustus;-7.4;66.9
146;2003 september;-4.5;113.4
147;2003 3e kwartaal;-5.9;84.0
148;2003 oktober;-6.8;108.8
149;2003 november;-8.3;107.3
150;2003 december;2.5;67.4
151;2003 4e kwartaal;-5.3;94.5
152;2003;-5.5;93.1
153;2004 januari;-0.6;87.6
154;2004 februari;-1.2;94.9
155;2004 maart;-0.7;98.8
156;2004 1e kwartaal;-0.8;93.8
157;2004 april;-3.6;82.6
158;2004 mei;-11.1;95.8
159;2004 juni;1.2;106.4
160;2004 2e kwartaal;-4.6;94.9
161;2004 juli;7.3;77.1
162;2004 augustus;-21.4;52.6
163;2004 september;-3.7;109.1
164;2004 3e kwartaal;-5.3;79.6
165;2004 oktober;-5.1;103.3
166;2004 november;4.4;112.0
167;2004 december;-0.1;67.3
168;2004 4e kwartaal;-0.3;94.2
169;2004;-2.7;90.6
170;2005 januari;-4.6;83.6
171;2005 februari;0.2;95.1
172;2005 maart;-3.3;95.6
173;2005 1e kwartaal;-2.5;91.4
174;2005 april;8.9;89.9
175;2005 mei;9.2;104.6
176;2005 juni;6.0;112.7
177;2005 2e kwartaal;7.9;102.4
178;2005 juli;-0.9;76.4
179;2005 augustus;12.3;59.0
180;2005 september;5.2;114.8
181;2005 3e kwartaal;4.8;83.4
182;2005 oktober;1.9;105.2
183;2005 november;3.0;115.3
184;2005 december;2.6;69.1
185;2005 4e kwartaal;2.5;96.5
186;2005;3.1;93.4
187;2006 januari;0.9;84.3
188;2006 februari;2.8;97.7
189;2006 maart;7.4;102.6
190;2006 1e kwartaal;3.8;94.9
191;2006 april;-7.0;83.6
192;2006 mei;8.4;113.4
193;2006 juni;-3.0;109.3
194;2006 2e kwartaal;-0.3;102.1
195;2006 juli;0.4;76.8
196;2006 augustus;6.0;62.6
197;2006 september;3.8;119.2
198;2006 3e kwartaal;3.3;86.2
199;2006 oktober;3.9;109.3
200;2006 november;3.4;119.3
201;2006 december;1.4;70.0
202;2006 4e kwartaal;3.1;99.5
203;2006;2.4;95.7
204;2007 januari;9.3;92.2
205;2007 februari;8.9;106.5
206;2007 maart;6.9;109.7
207;2007 1e kwartaal;8.3;102.8
208;2007 april;9.4;91.5
209;2007 mei;3.4;117.3
210;2007 juni;8.6;118.7
211;2007 2e kwartaal;6.9;109.1
212;2007 juli;5.8;81.2
213;2007 augustus;11.3;69.6
214;2007 september;-0.1;119.1
215;2007 3e kwartaal;4.4;90.0
216;2007 oktober;7.3;117.2
217;2007 november;3.1;122.9
218;2007 december;-3.3;67.7
219;2007 4e kwartaal;3.1;102.6
220;2007;5.7;101.1
221;2008 januari;11.8;103.1
222;2008 februari;12.5;119.7
223;2008 maart;-3.2;106.1
224;2008 1e kwartaal;6.7;109.6
225;2008 april;16.2;106.3
226;2008 mei;2.6;120.4
227;2008 juni;3.7;123.1
228;2008 2e kwartaal;6.8;116.6
229;2008 juli;0.5;81.6
230;2008 augustus;4.3;72.6
231;2008 september;8.5;129.2
232;2008 3e kwartaal;5.0;94.5
233;2008 oktober;4.9;123.0
234;2008 november;-5.6;116.1
235;2008 december;3.4;70.0
236;2008 4e kwartaal;0.4;103.0
237;2008;4.8;105.9
238;2009 januari;0.4;103.5
239;2009 februari;-1.8;117.5
240;2009 maart;7.9;114.5
241;2009 1e kwartaal;2.0;111.8
242;2009 april;-3.8;102.2
243;2009 mei;-3.0;116.7
244;2009 juni;-6.2;115.4
245;2009 2e kwartaal;-4.4;111.4
246;2009 juli;9.2;89.1
247;2009 augustus;-18.6;59.1
248;2009 september;-7.2;119.9
249;2009 3e kwartaal;-5.4;89.4
250;2009 oktober;-9.5;111.4
251;2009 november;-7.7;107.1
252;2009 december;-13.0;60.9
253;2009 4e kwartaal;-9.6;93.1
254;2009;-4.2;101.4
255;2010 januari;-16.6;86.3
256;2010 februari;-21.1;92.7
257;2010 maart;-12.3;100.4
258;2010 1e kwartaal;-16.7;93.2
259;2010 april;-10.4;91.5
260;2010 mei;-12.9;101.7
261;2010 juni;-6.4;108.0
262;2010 2e kwartaal;-9.9;100.4
263;2010 juli;-8.3;81.7
264;2010 augustus;-5.5;55.9
265;2010 september;-9.6;108.3
266;2010 3e kwartaal;-8.3;81.9
267;2010 oktober;-8.8;101.6
268;2010 november;-1.9;105.1
269;2010 december;-8.1;56.0
270;2010 4e kwartaal;-6.0;87.6
271;2010;-10.5;90.8
272;2011 januari;10.6;95.5
273;2011 februari;15.8;107.4
