ID;RegioS;Perioden;AfgslotenHypotheken_1;HypothekenTotaalBedrag_2;HypothekenGemiddeldBedrag_3;AfgeslotenPartWoningHypotheken_4;PartWoningHypothekenTotaalBedrag_5;PartWoningHypothekenGemiddeldBedrag_6;AfgeslotenHypothekenAndereObjecten_7;AndereObjectenHypothekenTotaalBedrag_8;AndereObjectHypothekenGemiddBedrag_9
507;Bellingwedde;2001;358.0;37.7;105.0;330.0;33.5;102.0;28.0;4.2;151.0
508;Bellingwedde;2002;370.0;44.5;120.0;343.0;36.2;106.0;27.0;8.3;309.0
509;Bellingwedde;2003;;;;349.0;47.9;137.0;;;
510;Bemmel;1999;1077.0;155.1;144.0;853.0;98.6;116.0;224.0;56.4;252.0
511;Bemmel;2000;911.0;145.7;160.0;787.0;107.2;136.0;124.0;38.5;310.0
512;Bemmel;2001;1574.0;291.5;185.0;1391.0;214.2;154.0;183.0;77.3;422.0
513;Bemmel;2002;1732.0;307.0;177.0;1619.0;268.5;166.0;113.0;38.5;341.0
514;Bemmel;2003;;;;;;;;;
515;Bennebroek;1999;249.0;43.6;175.0;239.0;40.3;168.0;10.0;3.3;334.0
516;Bennebroek;2000;179.0;35.9;200.0;174.0;33.6;193.0;5.0;2.3;458.0
517;Bennebroek;2001;168.0;31.9;190.0;163.0;31.2;191.0;5.0;0.7;139.0
518;Bennebroek;2002;150.0;32.4;216.0;142.0;29.8;210.0;8.0;2.7;332.0
519;Bennebroek;2003;;;;154.0;36.0;234.0;;;
520;Bergambacht;1999;380.0;63.0;166.0;340.0;43.6;128.0;40.0;19.4;484.0
521;Bergambacht;2000;293.0;50.8;174.0;261.0;35.8;137.0;32.0;15.1;471.0
522;Bergambacht;2001;255.0;53.6;210.0;210.0;35.3;168.0;45.0;18.2;405.0
523;Bergambacht;2002;259.0;55.0;212.0;225.0;42.2;187.0;34.0;12.8;377.0
524;Bergambacht;2003;;;;243.0;50.9;209.0;;;
525;Bergeijk;1999;879.0;143.2;163.0;752.0;98.2;131.0;127.0;45.0;355.0
526;Bergeijk;2000;608.0;101.8;167.0;503.0;68.7;137.0;105.0;33.1;315.0
527;Bergeijk;2001;517.0;154.7;299.0;448.0;79.0;176.0;69.0;75.8;1098.0
528;Bergeijk;2002;581.0;128.4;221.0;520.0;96.8;186.0;61.0;31.5;517.0
529;Bergeijk;2003;;;;479.0;94.8;198.0;;;
530;Bergen (L.);1999;559.0;68.0;122.0;512.0;54.9;107.0;47.0;13.1;278.0
531;Bergen (L.);2000;431.0;66.1;153.0;380.0;51.1;135.0;51.0;15.0;293.0
532;Bergen (L.);2001;387.0;74.5;192.0;342.0;45.2;132.0;45.0;29.3;651.0
533;Bergen (L.);2002;382.0;64.0;167.0;332.0;46.6;140.0;50.0;17.4;348.0
534;Bergen (L.);2003;;;;442.0;76.6;173.0;;;
535;Bergen (NH.);1999;735.0;135.1;184.0;710.0;127.2;179.0;25.0;7.9;317.0
536;Bergen (NH.);2000;723.0;167.6;232.0;684.0;148.8;217.0;39.0;18.8;483.0
537;Bergen (NH.);2001;1019.0;226.1;222.0;944.0;189.3;201.0;75.0;36.8;490.0
538;Bergen (NH.);2002;1029.0;247.4;240.0;954.0;216.9;227.0;75.0;30.5;406.0
539;Bergen (NH.);2003;;;;1078.0;261.2;242.0;;;
540;Bergen Op Zoom;1999;2907.0;390.2;134.0;2755.0;293.3;106.0;152.0;96.9;638.0
541;Bergen Op Zoom;2000;2279.0;298.6;131.0;2167.0;250.9;116.0;112.0;47.7;426.0
542;Bergen Op Zoom;2001;2130.0;345.0;162.0;2001.0;259.5;130.0;129.0;85.5;663.0
543;Bergen Op Zoom;2002;2199.0;362.0;165.0;2074.0;299.5;144.0;125.0;62.5;500.0
544;Bergen Op Zoom;2003;;;;2283.0;365.1;160.0;;;
545;Bergh;1999;849.0;104.2;123.0;801.0;86.4;108.0;48.0;17.8;370.0
546;Bergh;2000;651.0;109.0;168.0;617.0;70.0;113.0;34.0;39.0;1148.0
547;Bergh;2001;560.0;86.7;155.0;506.0;65.6;130.0;54.0;21.1;391.0
548;Bergh;2002;550.0;89.9;164.0;496.0;69.9;141.0;54.0;20.0;371.0
549;Bergh;2003;;;;576.0;97.2;169.0;;;
550;Bergschenhoek;1999;585.0;125.6;215.0;547.0;91.8;168.0;38.0;33.8;889.0
551;Bergschenhoek;2000;943.0;230.0;244.0;807.0;160.7;199.0;136.0;69.3;509.0
552;Bergschenhoek;2001;651.0;160.4;246.0;603.0;132.0;219.0;48.0;28.5;593.0
553;Bergschenhoek;2002;618.0;155.9;252.0;593.0;135.2;228.0;25.0;20.7;827.0
554;Bergschenhoek;2003;;;;558.0;121.3;217.0;;;
555;Berkel en Rodenrijs;1999;600.0;114.9;192.0;558.0;80.2;144.0;42.0;34.8;828.0
556;Berkel en Rodenrijs;2000;494.0;96.7;196.0;470.0;69.9;149.0;24.0;26.9;1119.0
557;Berkel en Rodenrijs;2001;463.0;98.8;213.0;422.0;68.8;163.0;41.0;30.1;733.0
558;Berkel en Rodenrijs;2002;555.0;165.3;298.0;517.0;97.0;188.0;38.0;68.2;1796.0
559;Berkel en Rodenrijs;2003;;;;684.0;141.3;207.0;;;
560;Bernheze;1999;1107.0;151.1;136.0;968.0;109.9;114.0;139.0;41.2;297.0
561;Bernheze;2000;718.0;117.5;164.0;604.0;80.6;134.0;114.0;36.9;324.0
562;Bernheze;2001;721.0;135.7;188.0;603.0;95.9;159.0;118.0;39.8;337.0
563;Bernheze;2002;749.0;157.5;210.0;645.0;110.2;171.0;104.0;47.3;455.0
564;Bernheze;2003;;;;774.0;143.4;185.0;;;
565;Bernisse;1999;590.0;68.4;116.0;568.0;60.8;107.0;22.0;7.5;342.0
566;Bernisse;2000;455.0;59.9;132.0;429.0;52.3;122.0;26.0;7.7;295.0
567;Bernisse;2001;410.0;64.9;158.0;387.0;55.8;144.0;23.0;9.1;395.0
568;Bernisse;2002;436.0;87.2;200.0;405.0;61.9;153.0;31.0;25.3;817.0
569;Bernisse;2003;;;;450.0;72.9;162.0;;;
570;Best;1999;1690.0;243.4;144.0;1447.0;164.7;114.0;243.0;78.7;324.0
571;Best;2000;1291.0;234.0;181.0;1035.0;140.3;136.0;256.0;93.7;366.0
572;Best;2001;1220.0;251.9;206.0;1015.0;168.6;166.0;205.0;83.2;406.0
573;Best;2002;1140.0;230.3;202.0;989.0;163.4;165.0;151.0;66.9;443.0
574;Best;2003;;;;1112.0;205.1;184.0;;;
575;Beuningen;1999;1313.0;162.3;124.0;1246.0;137.1;110.0;67.0;25.3;377.0
576;Beuningen;2000;869.0;136.1;157.0;819.0;104.8;128.0;50.0;31.2;625.0
577;Beuningen;2001;860.0;162.6;189.0;812.0;108.3;133.0;48.0;54.3;1131.0
578;Beuningen;2002;893.0;155.3;174.0;851.0;128.3;151.0;42.0;27.0;644.0
579;Beuningen;2003;;;;901.0;146.3;162.0;;;
580;Beverwijk;1999;1418.0;184.9;130.0;1340.0;133.8;100.0;78.0;51.1;655.0
581;Beverwijk;2000;1134.0;205.1;181.0;1051.0;128.0;122.0;83.0;77.1;929.0
582;Beverwijk;2001;1468.0;315.3;215.0;1369.0;223.1;163.0;99.0;92.2;931.0
583;Beverwijk;2002;1341.0;242.8;181.0;1269.0;196.7;155.0;72.0;46.1;640.0
584;Beverwijk;2003;;;;1240.0;195.0;157.0;;;
585;het Bildt;1999;557.0;50.7;91.0;518.0;38.2;74.0;39.0;12.5;321.0
586;het Bildt;2000;424.0;48.1;113.0;368.0;31.8;86.0;56.0;16.2;290.0
587;het Bildt;2001;444.0;52.7;119.0;394.0;37.0;94.0;50.0;15.7;314.0
588;het Bildt;2002;389.0;54.4;140.0;360.0;39.9;111.0;29.0;14.5;502.0
589;het Bildt;2003;;;;335.0;41.3;123.0;;;
590;De Bilt;1999;1308.0;244.7;187.0;1282.0;222.9;174.0;26.0;21.8;839.0
591;De Bilt;2000;1049.0;242.4;231.0;1009.0;209.7;208.0;40.0;32.7;817.0
592;De Bilt;2001;1230.0;304.0;247.0;1180.0;271.5;230.0;50.0;32.5;650.0
593;De Bilt;2002;1169.0;338.6;290.0;1115.0;276.2;248.0;54.0;62.4;1156.0
594;De Bilt;2003;;;;1276.0;335.0;263.0;;;
