ID;Geslacht;Leeftijdsklassen;Perioden;TotaleInstroom_1;WWInstroomMetHerkomstBedrijfsleven_2;WWInstroomMetOverigeHerkomst_3;TotaleUitstroom_4;WWUitstroomMetRedenWerkhervatting_5;WWUitstroomMetOverigeRedenen_6
47;Mannen en vrouwen;15 tot 65 jaar;2001 september;15410;13200;2220;19170;10590;8580
48;Mannen en vrouwen;15 tot 65 jaar;2001 oktober;17520;15020;2500;19100;10230;8870
49;Mannen en vrouwen;15 tot 65 jaar;2001 november;23730;20780;2950;21190;10470;10730
50;Mannen en vrouwen;15 tot 65 jaar;2001 december;15480;13820;1650;16620;6800;9820
51;Mannen en vrouwen;15 tot 65 jaar;2001 jaarcijfer;220870;191350;29520;246980;131180;115810
52;Mannen en vrouwen;15 tot 65 jaar;2002 januari;30650;27620;3020;21260;9970;11290
53;Mannen en vrouwen;15 tot 65 jaar;2002 februari;23030;20650;2380;20170;11120;9050
54;Mannen en vrouwen;15 tot 65 jaar;2002 maart;23580;20970;2610;25420;15290;10140
55;Mannen en vrouwen;15 tot 65 jaar;2002 april;23330;20830;2500;25660;16130;9540
56;Mannen en vrouwen;15 tot 65 jaar;2002 mei;25530;22560;2960;26300;15220;11080
57;Mannen en vrouwen;15 tot 65 jaar;2002 juni;22670;20120;2550;22120;12390;9730
58;Mannen en vrouwen;15 tot 65 jaar;2002 juli;20490;18070;2410;20760;10500;10260
59;Mannen en vrouwen;15 tot 65 jaar;2002 augustus;23930;21280;2650;21930;11040;10900
60;Mannen en vrouwen;15 tot 65 jaar;2002 september;23390;20950;2450;22680;13230;9450
61;Mannen en vrouwen;15 tot 65 jaar;2002 oktober;28390;25210;3180;26220;14570;11650
62;Mannen en vrouwen;15 tot 65 jaar;2002 november;28900;25780;3110;20040;10500;9540
63;Mannen en vrouwen;15 tot 65 jaar;2002 december;23420;21010;2410;17910;9040;8870
64;Mannen en vrouwen;15 tot 65 jaar;2002 jaarcijfer;297280;265060;32230;270470;148990;121490
65;Mannen en vrouwen;15 tot 65 jaar;2003 januari;39620;35410;4210;23290;11730;11570
66;Mannen en vrouwen;15 tot 65 jaar;2003 februari;34250;30580;3670;24320;13850;10470
67;Mannen en vrouwen;15 tot 65 jaar;2003 maart;31800;28220;3580;27890;17130;10760
68;Mannen en vrouwen;15 tot 65 jaar;2003 april;30400;26740;3670;27760;17110;10650
69;Mannen en vrouwen;15 tot 65 jaar;2003 mei;33960;30090;3870;32120;18460;13670
70;Mannen en vrouwen;15 tot 65 jaar;2003 juni;27640;24420;3230;24250;13130;11120
71;Mannen en vrouwen;15 tot 65 jaar;2003 juli;34810;30460;4350;28810;14530;14280
72;Mannen en vrouwen;15 tot 65 jaar;2003 augustus;25580;22680;2900;21400;11420;9980
73;Mannen en vrouwen;15 tot 65 jaar;2003 september;30090;26900;3180;27390;15900;11480
74;Mannen en vrouwen;15 tot 65 jaar;2003 oktober;36120;32300;3830;31230;17640;13590
75;Mannen en vrouwen;15 tot 65 jaar;2003 november;32340;28120;4220;24600;13120;11480
76;Mannen en vrouwen;15 tot 65 jaar;2003 december;29950;25650;4300;22450;11430;11020
77;Mannen en vrouwen;15 tot 65 jaar;2003 jaarcijfer;386560;341560;45000;315510;175440;140070
78;Mannen en vrouwen;15 tot 65 jaar;2004 januari;38220;33840;4380;26220;13670;12550
79;Mannen en vrouwen;15 tot 65 jaar;2004 februari;35830;31750;4080;29140;16410;12730
80;Mannen en vrouwen;15 tot 65 jaar;2004 maart;33820;29490;4340;32360;19210;13140
81;Mannen en vrouwen;15 tot 65 jaar;2004 april;35800;31620;4170;37090;23020;14070
82;Mannen en vrouwen;15 tot 65 jaar;2004 mei;25220;21830;3390;28550;16970;11570
83;Mannen en vrouwen;15 tot 65 jaar;2004 juni;28130;24210;3920;26470;15050;11430
84;Mannen en vrouwen;15 tot 65 jaar;2004 juli;32330;28020;4310;37110;18250;18860
85;Mannen en vrouwen;15 tot 65 jaar;2004 augustus;23910;20730;3180;26760;13170;13590
86;Mannen en vrouwen;15 tot 65 jaar;2004 september;27970;24200;3770;30910;16920;13990
87;Mannen en vrouwen;15 tot 65 jaar;2004 oktober;35560;31120;4440;37960;20880;17080
88;Mannen en vrouwen;15 tot 65 jaar;2004 november;32200;28240;3960;29400;15540;13860
89;Mannen en vrouwen;15 tot 65 jaar;2004 december;36740;32270;4470;29190;14540;14650
90;Mannen en vrouwen;15 tot 65 jaar;2004 jaarcijfer;385720;337320;48400;371140;203630;167510
91;Mannen en vrouwen;15 tot 65 jaar;2005 januari;38460;34540;3910;27370;13840;13530
92;Mannen en vrouwen;15 tot 65 jaar;2005 februari;37690;33830;3860;31750;17170;14580
93;Mannen en vrouwen;15 tot 65 jaar;2005 maart;36500;32480;4030;38420;21080;17340
94;Mannen en vrouwen;15 tot 65 jaar;2005 april;32890;29000;3900;38400;22940;15470
95;Mannen en vrouwen;15 tot 65 jaar;2005 mei;24950;21640;3310;36690;18770;17920
96;Mannen en vrouwen;15 tot 65 jaar;2005 juni;32030;27700;4330;35890;19730;16150
97;Mannen en vrouwen;15 tot 65 jaar;2005 juli;23750;20790;2960;29860;15480;14380
98;Mannen en vrouwen;15 tot 65 jaar;2005 augustus;23790;20940;2850;26340;13370;12970
99;Mannen en vrouwen;15 tot 65 jaar;2005 september;31960;28390;3560;37410;21520;15890
100;Mannen en vrouwen;15 tot 65 jaar;2005 oktober;25960;22810;3150;31840;18120;13720
101;Mannen en vrouwen;15 tot 65 jaar;2005 november;26990;23690;3300;28520;15420;13100
102;Mannen en vrouwen;15 tot 65 jaar;2005 december;29590;26360;3230;28340;14470;13870
103;Mannen en vrouwen;15 tot 65 jaar;2005 jaarcijfer;364560;322170;42390;390820;211910;178920
104;Mannen en vrouwen;15 tot 65 jaar;2006 januari;28420;25610;2820;30150;15100;15050
105;Mannen en vrouwen;15 tot 65 jaar;2006 februari;32470;29060;3420;30080;16960;13120
106;Mannen en vrouwen;15 tot 65 jaar;2006 maart;34170;29810;4360;37760;21080;16680
107;Mannen en vrouwen;15 tot 65 jaar;2006 april;23610;20230;3370;33960;20900;13050
108;Mannen en vrouwen;15 tot 65 jaar;2006 mei;23450;20270;3180;32230;18830;13400
109;Mannen en vrouwen;15 tot 65 jaar;2006 juni;24410;20990;3420;32960;17390;15580
110;Mannen en vrouwen;15 tot 65 jaar;2006 juli;19530;16900;2630;27190;13280;13910
111;Mannen en vrouwen;15 tot 65 jaar;2006 augustus;23990;20920;3070;29660;15200;14460
112;Mannen en vrouwen;15 tot 65 jaar;2006 september;21480;18770;2720;29120;17060;12060
113;Mannen en vrouwen;15 tot 65 jaar;2006 oktober;22500;19550;2950;28890;16410;12480
114;Mannen en vrouwen;15 tot 65 jaar;2006 november;26860;23090;3770;30760;16320;14440
115;Mannen en vrouwen;15 tot 65 jaar;2006 december;19920;17290;2630;21690;10860;10830
116;Mannen en vrouwen;15 tot 65 jaar;2006 jaarcijfer;300810;262480;38330;364440;199380;165070
117;Mannen en vrouwen;15 tot 65 jaar;2007 januari;26920;23770;3150;25280;12140;13140
118;Mannen en vrouwen;15 tot 65 jaar;2007 februari;25160;21760;3400;28520;15150;13370
119;Mannen en vrouwen;15 tot 65 jaar;2007 maart;26790;22940;3850;36650;19440;17210
120;Mannen en vrouwen;15 tot 65 jaar;2007 april;18410;15840;2570;29930;16540;13390
121;Mannen en vrouwen;15 tot 65 jaar;2007 mei;19730;16890;2840;28940;15050;13890
122;Mannen en vrouwen;15 tot 65 jaar;2007 juni;16880;14360;2520;22760;11650;11110
123;Mannen en vrouwen;15 tot 65 jaar;2007 juli;17630;15230;2400;21470;10820;10650
124;Mannen en vrouwen;15 tot 65 jaar;2007 augustus;20620;18160;2470;24010;12470;11550
125;Mannen en vrouwen;15 tot 65 jaar;2007 september;17810;15470;2340;24610;14130;10480
126;Mannen en vrouwen;15 tot 65 jaar;2007 oktober;20170;17530;2630;23780;12720;11070
127;Mannen en vrouwen;15 tot 65 jaar;2007 november;25180;22280;2900;26560;13190;13370
128;Mannen en vrouwen;15 tot 65 jaar;2007 december;18220;16410;1820;18610;8430;10180
129;Mannen en vrouwen;15 tot 65 jaar;2007 jaarcijfer;253520;220630;32890;311100;161720;149380
130;Mannen en vrouwen;15 tot 65 jaar;2008 januari;29620;26860;2760;25870;12600;13270
131;Mannen en vrouwen;15 tot 65 jaar;2008 februari;19650;17330;2320;23780;12870;10910
132;Mannen en vrouwen;15 tot 65 jaar;2008 maart;17340;15370;1970;23650;12890;10760
133;Mannen en vrouwen;15 tot 65 jaar;2008 april;19160;17010;2150;25350;13850;11490
134;Mannen en vrouwen;15 tot 65 jaar;2008 mei;17830;15630;2210;23390;12050;11340
135;Mannen en vrouwen;15 tot 65 jaar;2008 juni;16040;13990;2050;19940;10610;9340
136;Mannen en vrouwen;15 tot 65 jaar;2008 juli;19900;17750;2160;22190;10240;11950
137;Mannen en vrouwen;15 tot 65 jaar;2008 augustus;16930;15320;1610;18500;9870;8630
138;Mannen en vrouwen;15 tot 65 jaar;2008 september;17310;15350;1960;21480;12260;9220
139;Mannen en vrouwen;15 tot 65 jaar;2008 oktober;22990;20470;2520;23280;12320;10960
140;Mannen en vrouwen;15 tot 65 jaar;2008 november;21070;19040;2030;18240;9370;8880
141;Mannen en vrouwen;15 tot 65 jaar;2008 december;24250;22160;2090;17110;7620;9490
142;Mannen en vrouwen;15 tot 65 jaar;2008 jaarcijfer;242080;216290;25800;262780;136530;126240
143;Mannen en vrouwen;15 tot 65 jaar;2009 januari;33990;31510;2480;22100;10400;11700
144;Mannen en vrouwen;15 tot 65 jaar;2009 februari;30960;28510;2450;22710;11030;11680
145;Mannen en vrouwen;15 tot 65 jaar;2009 maart;31720;29400;2320;24900;11690;13200
146;Mannen en vrouwen;15 tot 65 jaar;2009 april;37360;34730;2630;30090;14390;15700
147;Mannen en vrouwen;15 tot 65 jaar;2009 mei;30010;28190;1820;24380;11560;12810
148;Mannen en vrouwen;15 tot 65 jaar;2009 juni;34650;32800;1850;25160;12270;12880
149;Mannen en vrouwen;15 tot 65 jaar;2009 juli;39570;37380;2190;30050;12940;17110
150;Mannen en vrouwen;15 tot 65 jaar;2009 augustus;32910;31270;1650;25570;11980;13600
151;Mannen en vrouwen;15 tot 65 jaar;2009 september;35720;33760;1960;31160;16350;14810
152;Mannen en vrouwen;15 tot 65 jaar;2009 oktober;43000;40300;2700;34260;18400;15860
153;Mannen en vrouwen;15 tot 65 jaar;2009 november;36720;34530;2190;28510;13840;14670
154;Mannen en vrouwen;15 tot 65 jaar;2009 december;41020;38690;2330;29730;12130;17600
155;Mannen en vrouwen;15 tot 65 jaar;2009 jaarcijfer;427610;401060;26550;328610;156980;171630
156;Mannen en vrouwen;15 tot 65 jaar;2010 januari;47210;44770;2440;33850;15590;18260
157;Mannen en vrouwen;15 tot 65 jaar;2010 februari;38670;36300;2370;32300;15890;16400
158;Mannen en vrouwen;15 tot 65 jaar;2010 maart;41090;37600;3490;48920;26480;22450
159;Mannen en vrouwen;15 tot 65 jaar;2010 april;30120;27350;2770;37200;20280;16920
160;Mannen en vrouwen;15 tot 65 jaar;2010 mei;24570;22450;2120;31620;15500;16120
161;Mannen en vrouwen;15 tot 65 jaar;2010 juni;33700;30490;3210;39980;20540;19440
162;Mannen en vrouwen;15 tot 65 jaar;2010 juli;28770;26230;2550;29660;13770;15890
163;Mannen en vrouwen;15 tot 65 jaar;2010 augustus;30660;28190;2470;30430;15760;14670
164;Mannen en vrouwen;15 tot 65 jaar;2010 september;35690;32370;3320;42230;23960;18270
165;Mannen en vrouwen;15 tot 65 jaar;2010 oktober;30420;27630;2790;34180;18130;16050
166;Mannen en vrouwen;15 tot 65 jaar;2010 november;31720;28960;2760;28790;15230;13570
167;Mannen en vrouwen;15 tot 65 jaar;2010 december;41980;38610;3370;31620;13630;17990
168;Mannen en vrouwen;15 tot 65 jaar;2010 jaarcijfer;414600;380940;33660;420770;214750;206020
169;Mannen en vrouwen;15 tot 65 jaar;2011 januari;47430;43900;3540;34940;18900;16040
170;Mannen en vrouwen;15 tot 65 jaar;2011 februari;32700;29580;3120;35110;18560;16560
171;Mannen en vrouwen;15 tot 65 jaar;2011 maart;37740;34300;3440;45680;25410;20260
172;Mannen en vrouwen;15 tot 65 jaar;2011 april;28990;26330;2670;36480;20060;16420
173;Mannen en vrouwen;15 tot 65 jaar;2011 mei;28390;25740;2650;33270;18020;15240
174;Mannen en vrouwen;15 tot 65 jaar;2011 juni;30700;27910;2790;33510;16620;16890
175;Mannen en vrouwen;15 tot 65 jaar;2011 juli;30640;29120;1520;28500;13050;15450
176;Mannen en vrouwen;15 tot 65 jaar;2011 augustus;32210;30740;1460;29790;15910;13890
177;Mannen en vrouwen;15 tot 65 jaar;2011 september;36220;33940;2280;40310;22830;17480
178;Mannen en vrouwen;15 tot 65 jaar;2011 oktober;31910;30130;1780;30590;15770;14820
179;Mannen en vrouwen;15 tot 65 jaar;2011 november;34090;32330;1750;28810;14010;14800
180;Mannen en vrouwen;15 tot 65 jaar;2011 december;42970;40960;2010;30910;12980;17930
181;Mannen en vrouwen;15 tot 65 jaar;2011 jaarcijfer;413990;384970;29010;407900;212120;195770
182;Mannen en vrouwen;15 tot 65 jaar;2012 januari;55540;53880;1670;33850;17290;16570
183;Mannen en vrouwen;15 tot 65 jaar;2012 februari;40010;38260;1750;32720;15400;17330
184;Mannen en vrouwen;15 tot 65 jaar;2012 maart;44680;42540;2150;47990;26060;21930
185;Mannen en vrouwen;15 tot 65 jaar;2012 april;35350;33650;1700;38810;20510;18300
186;Mannen en vrouwen;15 tot 65 jaar;2012 mei;36830;35030;1810;38060;18710;19360
187;Mannen en vrouwen;15 tot 65 jaar;2012 juni;32300;30640;1660;32590;16050;16540
188;Mannen en vrouwen;15 tot 65 jaar;2012 juli;37900;36170;1720;30500;13280;17220
189;Mannen en vrouwen;15 tot 65 jaar;2012 augustus;45740;43800;1940;39710;20400;19300
190;Mannen en vrouwen;15 tot 65 jaar;2012 september;36760;35030;1730;36430;19470;16970
191;Mannen en vrouwen;15 tot 65 jaar;2012 oktober;39840;37950;1890;34340;16880;17460
192;Mannen en vrouwen;15 tot 65 jaar;2012 november;51200;49020;2180;38730;17940;20790
193;Mannen en vrouwen;15 tot 65 jaar;2012 december;46300;44620;1680;28450;10580;17880
194;Mannen en vrouwen;15 tot 65 jaar;2012 jaarcijfer;502460;480590;21870;432190;212570;219620
195;Mannen en vrouwen;15 tot 65 jaar;2013 januari   ;73720;71660;2060;44630;21040;23580
196;Mannen en vrouwen;15 tot 65 jaar;2013 februari  ;46730;44800;1930;39320;18460;20860
197;Mannen en vrouwen;15 tot 65 jaar;2013 maart     ;47870;45890;1980;44860;22170;22690
198;Mannen en vrouwen;15 tot 65 jaar;2013 april;45390;43580;1810;45570;23210;22360
199;Mannen en vrouwen;15 tot 65 jaar;2013 mei;44370;42540;1830;46120;22550;23560
200;Mannen en vrouwen;15 tot 65 jaar;2013 juni;43050;41370;1680;39260;18410;20850
201;Mannen en vrouwen;15 tot 65 jaar;2013 juli;49770;47900;1870;36750;15270;21480
202;Mannen en vrouwen;15 tot 65 jaar;2013 augustus;54270;52000;2270;49520;25180;24340
203;Mannen en vrouwen;15 tot 65 jaar;2013 september;44870;43030;1850;43830;22770;21050
204;Mannen en vrouwen;15 tot 65 jaar;2013 oktober;58150;55690;2470;50320;24300;26030
205;Mannen en vrouwen;15 tot 65 jaar;2013 november;51170;49310;1870;40310;18450;21860
206;Mannen en vrouwen;15 tot 65 jaar;2013 december;53870;51980;1890;35200;12990;22210
207;Mannen en vrouwen;15 tot 65 jaar;2013 jaarcijfer;613230;589730;23490;515680;244800;270880
208;Mannen en vrouwen;15 tot 65 jaar;2014 januari;78700;76440;2260;55940;26920;29030
209;Mannen en vrouwen;15 tot 65 jaar;2014 februari;48080;45860;2220;48500;22120;26380
210;Mannen en vrouwen;15 tot 65 jaar;2014 maart;46860;44600;2260;53100;26040;27070
211;Mannen en vrouwen;15 tot 65 jaar;2014 april;42220;40260;1960;52750;26940;25810
212;Mannen en vrouwen;15 tot 65 jaar;2014 mei;49280;46660;2620;57030;28530;28500
213;Mannen en vrouwen;15 tot 65 jaar;2014 juni;39260;37280;1970;44220;20900;23320
214;Mannen en vrouwen;15 tot 65 jaar;2014 juli;57450;54810;2630;51070;22230;28840
215;Mannen en vrouwen;15 tot 65 jaar;2014 augustus;42140;40040;2100;48700;25870;22820
216;Mannen en vrouwen;15 tot 65 jaar;2014 september;40920;38790;2130;51430;27980;23450
217;Mannen en vrouwen;15 tot 65 jaar;2014 oktober;55240;52360;2880;55700;27260;28440
218;Mannen en vrouwen;15 tot 65 jaar;2014 november;49500;47160;2330;43710;20510;23210
219;Mannen en vrouwen;15 tot 65 jaar;2014 december;55540;53380;2170;39920;15800;24120
220;Mannen en vrouwen;15 tot 65 jaar;2014 jaarcijfer;605170;577640;27520;602070;291080;310980
221;Mannen en vrouwen;15 tot 65 jaar;2015 januari;75250;72820;2430;58470;29230;29240
222;Mannen en vrouwen;15 tot 65 jaar;2015 februari;46570;44420;2150;49050;23630;25420
223;Mannen en vrouwen;15 tot 65 jaar;2015 maart;44380;42260;2120;56370;28480;27890
224;Mannen en vrouwen;15 tot 65 jaar;2015 april;47330;45000;2340;63620;32840;30790
225;Mannen en vrouwen;15 tot 65 jaar;2015 mei;35360;33620;1740;45880;22060;23830
226;Mannen en vrouwen;15 tot 65 jaar;2015 juni;40530;38490;2040;46690;22690;24000
227;Mannen en vrouwen;15 tot 65 jaar;2015 juli;60600;58240;2360;50440;21590;28850
228;Mannen en vrouwen;15 tot 65 jaar;2015 augustus;40320;38480;1840;41090;18010;23080
229;Mannen en vrouwen;15 tot 65 jaar;2015 september;37970;36070;1900;41070;17080;24000
230;Mannen en vrouwen;15 tot 65 jaar;2015 oktober;49790;47310;2480;45290;17660;27630
231;Mannen en vrouwen;15 tot 65 jaar;2015 november;43630;41660;1980;37200;14120;23080
232;Mannen en vrouwen;15 tot 65 jaar;2015 december;62020;59780;2240;43540;13720;29820
233;Mannen en vrouwen;15 tot 65 jaar;2015 jaarcijfer;583740;558140;25610;578700;261100;317600
234;Mannen en vrouwen;15 tot 25 jaar;1998 januari;9590;8900;690;6420;4180;2240
235;Mannen en vrouwen;15 tot 25 jaar;1998 februari;8300;8090;210;7050;5270;1770
236;Mannen en vrouwen;15 tot 25 jaar;1998 maart;5580;5440;140;7630;5630;2000
237;Mannen en vrouwen;15 tot 25 jaar;1998 april;5450;5250;200;9200;6520;2680
238;Mannen en vrouwen;15 tot 25 jaar;1998 mei;3950;3760;190;6270;4030;2240
239;Mannen en vrouwen;15 tot 25 jaar;1998 juni;3750;3580;170;5340;3150;2190
240;Mannen en vrouwen;15 tot 25 jaar;1998 juli;4320;4130;190;5150;2870;2280
241;Mannen en vrouwen;15 tot 25 jaar;1998 augustus;3940;3820;130;4420;2860;1560
242;Mannen en vrouwen;15 tot 25 jaar;1998 september;4510;4350;160;5110;3570;1540
243;Mannen en vrouwen;15 tot 25 jaar;1998 oktober;4970;4780;190;5390;3530;1860
244;Mannen en vrouwen;15 tot 25 jaar;1998 november;5780;5640;150;4390;2690;1700
245;Mannen en vrouwen;15 tot 25 jaar;1998 december;6040;5890;160;3920;2190;1720
246;Mannen en vrouwen;15 tot 25 jaar;1998 jaarcijfer;66180;63610;2570;70280;46510;23770
247;Mannen en vrouwen;15 tot 25 jaar;1999 januari;6050;5890;160;4920;3050;1870
248;Mannen en vrouwen;15 tot 25 jaar;1999 februari;4970;4820;140;5080;3570;1520
249;Mannen en vrouwen;15 tot 25 jaar;1999 maart;5500;5290;220;7090;5050;2040
250;Mannen en vrouwen;15 tot 25 jaar;1999 april;3270;3120;140;4920;3440;1480
251;Mannen en vrouwen;15 tot 25 jaar;1999 mei;2400;2300;110;3920;2330;1590
252;Mannen en vrouwen;15 tot 25 jaar;1999 juni;2710;2570;140;3810;2290;1520
253;Mannen en vrouwen;15 tot 25 jaar;1999 juli;2560;2450;110;2830;1560;1280
254;Mannen en vrouwen;15 tot 25 jaar;1999 augustus;2300;2200;90;2470;1440;1040
255;Mannen en vrouwen;15 tot 25 jaar;1999 september;3340;3190;150;3860;2510;1360
256;Mannen en vrouwen;15 tot 25 jaar;1999 oktober;2650;2550;100;3140;1910;1220
257;Mannen en vrouwen;15 tot 25 jaar;1999 november;3030;2910;120;2700;1580;1120
258;Mannen en vrouwen;15 tot 25 jaar;1999 december;3190;3080;110;2550;1460;1090
259;Mannen en vrouwen;15 tot 25 jaar;1999 jaarcijfer;41970;40370;1600;47310;30190;17120
260;Mannen en vrouwen;15 tot 25 jaar;2000 januari;4350;4190;150;2630;1660;970
261;Mannen en vrouwen;15 tot 25 jaar;2000 februari;3700;3470;230;3570;2410;1160
262;Mannen en vrouwen;15 tot 25 jaar;2000 maart;3490;3300;190;4250;3040;1210
263;Mannen en vrouwen;15 tot 25 jaar;2000 april;2190;2060;130;3510;2250;1260
264;Mannen en vrouwen;15 tot 25 jaar;2000 mei;2010;1900;110;2910;1690;1220
265;Mannen en vrouwen;15 tot 25 jaar;2000 juni;1990;1840;140;2790;1510;1290
266;Mannen en vrouwen;15 tot 25 jaar;2000 juli;1930;1810;120;2150;1080;1070
267;Mannen en vrouwen;15 tot 25 jaar;2000 augustus;2280;2170;110;2090;1200;890
268;Mannen en vrouwen;15 tot 25 jaar;2000 september;2010;1890;110;2350;1480;860
269;Mannen en vrouwen;15 tot 25 jaar;2000 oktober;2210;2050;160;2330;1350;980
270;Mannen en vrouwen;15 tot 25 jaar;2000 november;2870;2710;160;2370;1450;920
271;Mannen en vrouwen;15 tot 25 jaar;2000 december;2070;2000;80;1760;1020;750
272;Mannen en vrouwen;15 tot 25 jaar;2000 jaarcijfer;31090;29400;1690;32700;20140;12570
273;Mannen en vrouwen;15 tot 25 jaar;2001 januari;2810;2710;100;1810;1110;700
274;Mannen en vrouwen;15 tot 25 jaar;2001 februari;2680;2580;110;2340;1600;740
275;Mannen en vrouwen;15 tot 25 jaar;2001 maart;3210;3040;170;3540;2390;1150
276;Mannen en vrouwen;15 tot 25 jaar;2001 april;2270;2150;120;2760;1790;970
277;Mannen en vrouwen;15 tot 25 jaar;2001 mei;2150;2040;120;2530;1560;980
278;Mannen en vrouwen;15 tot 25 jaar;2001 juni;1710;1610;100;2040;1130;910
279;Mannen en vrouwen;15 tot 25 jaar;2001 juli;1700;1590;110;2050;1030;1020
280;Mannen en vrouwen;15 tot 25 jaar;2001 augustus;1940;1820;120;1790;1000;790
281;Mannen en vrouwen;15 tot 25 jaar;2001 september;1990;1880;110;2000;1240;760
282;Mannen en vrouwen;15 tot 25 jaar;2001 oktober;2280;2160;110;1950;1170;780
283;Mannen en vrouwen;15 tot 25 jaar;2001 november;3000;2850;150;2300;1370;930
284;Mannen en vrouwen;15 tot 25 jaar;2001 december;2170;2060;110;1650;900;750
