ID;Perioden;Algemeen_1;Consumentengoederenindustrie_2;Kapitaalgoederenindustrie_3;Basisgoederenindustrie_4;BouwnijverheidEnInstallatie_5;TransportOpslagEnCommunicatie_6;NietFinancieleDienstverlening_7;Handel_8;BankenFinancieleDienstverlening_9;Verzekeraars_10;MIT_11;MITS_12;HerbeleggingsindexNietAEXFondsen_13;Algemeen_14;AandelenfondsenTotaal_15;BeleggingenInNederland_16;BeleggingenInEuropa_17;BeleggingenInHetVerreOosten_18;BeleggingenWereldwijd_19;BeleggingenInNoordAmerika_20;TotaalObligatiefondsen_21;DividendObligatiefondsen_22;FictiefRendementObligatiefondsen_23;Geldmarktfondsen_24;GemengdeFondsen_25;VastgoedfondsenAlgemeen_26;TotaalDirecteVastgoedBelegging_27;DirecteVastgoedbeleggingInNederland_28;DirecteVastgoedbeleggingWereldwijd_29;VastgoedfondsenIndirecteBelegging_30;Algemeen_31;TotaalStaatsobligaties_32;VasteLooptijd_33;k_0Tot3Jaar_34;k_3Tot5Jaar_35;k_5Tot8Jaar_36;MeerDan8Jaar_37;GewoneObligaties_38;KapitaalObligaties_39
10;2001 februari;-8.2;27.6;-28.7;32.5;34.5;-68.3;-39.7;32.6;18.6;28.8;-57.3;-62.3;-27.2;-11.9;-19.8;-7.8;-17.1;-28.1;-22.3;-9.8;9.4;10.4;9.9;5.5;2.5;27.5;26.8;12.2;33.3;29.8;7.8;7.86;7.88;4.94;6.96;9.11;11.94;7.96;8.92
11;2001 maart;-13.6;16.0;-28.5;9.2;31.1;-69.4;-34.9;21.5;-3.9;9.2;-57.3;-59.9;-27.1;-17.9;-27.4;-13.5;-24.1;-32.9;-30.3;-21.9;8.3;9.0;8.1;5.7;-2.7;21.7;21.8;2.9;31.0;18.9;7.1;7.01;7.0;5.15;6.74;8.16;9.05;7.56;8.43
12;2001 april;-8.1;16.5;-30.3;9.3;55.9;-61.4;-27.8;20.7;7.4;16.5;-52.3;-53.8;-22.4;-14.4;-22.3;-7.3;-19.5;-29.1;-25.3;-19.0;5.8;7.9;3.2;5.9;-1.6;18.0;18.5;4.6;24.9;12.3;6.4;6.23;6.22;4.98;6.16;7.22;7.42;7.17;7.86
13;2001 mei;-7.2;16.4;-29.3;26.4;52.4;-59.4;-20.5;9.5;-0.1;5.9;-49.4;-46.4;-13.5;-8.2;-14.4;-7.5;-14.8;-16.5;-16.0;-8.3;7.9;8.8;7.3;6.1;0.6;19.0;18.4;11.5;21.1;20.8;6.2;5.68;5.69;5.63;6.46;6.69;4.59;7.5;8.34
14;2001 juni;-11.6;21.5;-35.3;17.3;51.8;-68.1;-27.7;6.1;-7.1;3.6;-56.1;-54.3;-21.2;-11.5;-18.9;-12.7;-19.3;-23.0;-20.1;-9.2;8.8;9.1;9.0;6.2;-1.5;11.8;10.9;1.4;14.5;16.0;6.5;6.0;5.99;5.61;6.62;7.09;5.38;7.93;8.91
15;2001 juli;-14.9;16.5;-34.4;7.7;45.9;-68.3;-34.3;0.1;-17.0;-4.9;-56.5;-59.9;-27.0;-15.8;-24.1;-15.8;-25.1;-26.7;-25.8;-14.5;7.6;8.8;6.6;6.1;-4.6;4.1;3.3;0.2;4.3;8.2;7.5;7.05;7.05;6.02;7.69;8.52;7.0;8.63;9.64
16;2001 augustus;-21.9;8.8;-45.2;3.6;33.9;-70.2;-39.9;-8.5;-21.8;-11.1;-62.5;-67.0;-33.2;-25.3;-35.7;-22.3;-32.8;-34.5;-39.3;-30.5;5.6;6.7;4.0;4.1;-8.9;3.6;3.4;-0.3;4.5;2.9;8.3;7.9;7.91;6.31;8.68;9.86;8.2;9.66;10.92
17;2001 september;-30.0;-7.0;-56.6;-3.9;20.0;-68.6;-43.5;-16.2;-27.2;-23.2;-68.2;-71.9;-39.9;-29.8;-41.2;-31.2;-38.5;-38.5;-44.0;-35.0;4.8;5.4;4.0;3.9;-13.0;3.0;4.1;1.2;5.0;-5.6;8.0;7.89;7.9;6.53;8.82;9.67;7.9;9.64;10.4
18;2001 oktober;-30.7;-12.7;-44.5;-9.5;18.7;-63.7;-43.7;-17.7;-33.3;-32.4;-60.5;-66.6;-38.6;-26.2;-37.1;-31.3;-35.3;-33.7;-39.1;-31.9;5.9;7.5;3.6;4.2;-10.4;3.0;4.0;4.1;3.9;-5.2;9.7;9.66;9.65;6.85;9.84;11.61;12.26;10.93;11.91
19;2001 november;-23.7;-16.8;-19.6;-1.4;20.0;-49.0;-30.1;-14.4;-19.4;-29.5;-38.1;-47.9;-27.8;-17.8;-25.8;-25.5;-25.2;-23.8;-26.8;-19.1;4.9;6.3;2.7;4.0;-7.2;4.5;5.2;2.8;5.8;-1.5;8.2;7.78;7.77;6.2;8.06;8.87;9.09;9.48;10.09
20;2001 december;-19.2;-11.5;-14.8;-4.9;19.0;-38.4;-31.3;-8.3;-19.5;-27.6;-31.9;-46.4;-23.5;-14.2;-20.8;-21.5;-22.7;-15.3;-21.4;-11.2;4.6;5.5;3.3;4.0;-5.6;10.4;11.6;6.4;13.1;1.1;6.0;5.31;5.3;5.42;5.8;5.45;4.88;7.4;7.71
21;2002 januari;-20.8;-3.1;-23.6;2.6;19.7;-51.1;-32.4;-14.0;-22.2;-27.3;-42.4;-52.2;-27.5;-16.7;-23.8;-22.0;-24.5;-16.3;-25.3;-13.8;2.9;3.6;2.1;3.8;-6.8;7.3;8.1;2.8;9.5;2.4;5.5;5.15;5.18;4.91;5.14;5.05;5.74;6.16;6.53
22;2002 februari;-16.4;-0.5;-12.0;3.4;29.0;-43.6;-25.4;-23.5;-11.1;-26.2;-32.7;-43.4;-22.5;-11.8;-17.2;-18.9;-18.7;-11.9;-17.5;-6.0;2.5;2.9;1.8;3.6;-4.6;8.3;9.2;4.0;10.4;2.4;5.3;4.82;4.83;4.89;5.2;4.82;4.56;5.98;6.6
23;2002 maart;-4.7;1.8;11.1;17.3;32.5;-30.2;-14.5;-13.4;10.0;-14.4;-11.9;-26.3;-11.7;-5.0;-7.1;-7.8;-9.1;-1.3;-7.3;0.8;1.1;1.7;0.1;3.5;-1.4;15.9;16.8;10.7;18.4;8.5;3.7;3.18;3.17;4.08;3.45;2.66;2.2;4.46;4.72
24;2002 april;-13.1;5.4;-0.7;11.0;20.9;-43.3;-19.2;-16.6;1.2;-23.6;-23.2;-36.4;-10.6;-12.2;-17.6;-15.1;-18.1;-1.1;-19.6;-12.5;2.5;2.4;2.8;3.6;-5.3;16.1;16.9;9.3;18.8;9.8;5.5;5.05;5.05;4.87;5.31;5.12;5.2;5.78;6.69
25;2002 mei;-16.3;-1.6;-4.7;2.8;11.7;-42.2;-24.1;-30.4;-5.1;-23.0;-24.7;-44.7;-18.9;-16.8;-23.5;-19.1;-22.8;-9.2;-26.0;-20.3;0.8;1.6;-0.1;3.4;-7.7;16.4;17.9;8.2;20.4;5.3;5.6;5.36;5.33;4.43;5.06;5.42;6.75;5.98;6.88
26;2002 juni;-18.8;-10.0;-16.2;-3.4;11.4;-26.1;-26.4;-36.5;-13.6;-31.4;-25.6;-47.4;-17.2;-20.9;-29.3;-23.6;-26.5;-14.9;-32.7;-29.1;-0.6;0.6;-1.9;3.3;-10.9;9.6;11.1;5.7;12.3;-1.0;6.2;6.06;6.07;4.66;5.66;6.22;8.28;6.18;7.08
27;2002 juli;-31.7;-15.9;-30.9;-12.6;-2.2;-23.0;-34.0;-44.6;-24.6;-44.4;-32.5;-49.5;-23.2;-22.4;-32.2;-32.4;-30.5;-11.4;-34.6;-32.9;0.0;0.6;-0.8;3.2;-12.4;9.7;11.3;7.8;11.9;-1.7;6.1;6.0;6.02;4.82;6.06;6.46;7.17;6.15;6.33
28;2002 augustus;-27.2;-12.4;-33.7;-11.4;-10.6;3.6;-28.1;-41.1;-13.9;-41.4;-26.1;-45.9;-23.6;-17.0;-25.9;-28.2;-26.8;-7.4;-26.9;-22.6;1.5;1.7;1.2;3.2;-9.2;10.6;12.4;11.1;12.3;-1.4;6.4;6.38;6.37;4.76;6.08;6.77;8.7;6.14;6.58
29;2002 september;-31.7;-7.3;-32.8;-11.9;-19.4;3.1;-28.8;-52.8;-34.3;-54.0;-22.7;-47.6;-25.2;-16.5;-27.7;-32.3;-28.2;-2.8;-29.0;-24.9;3.1;3.9;2.1;3.2;-7.1;10.4;11.7;13.3;10.6;1.5;7.7;7.48;7.48;4.75;6.77;8.57;11.47;6.84;7.89
30;2002 oktober;-23.5;2.6;-29.9;-18.5;-17.5;1.2;-23.2;-52.2;-8.2;-38.0;-19.6;-42.2;-23.4;-16.2;-25.0;-25.5;-25.4;-7.8;-26.6;-21.7;-0.6;0.4;-2.0;2.9;-8.6;17.8;20.4;15.8;20.9;1.7;5.2;4.77;4.78;4.27;5.24;5.28;4.97;4.92;4.81
31;2002 november;-23.3;-10.7;-28.4;-22.5;-21.8;-0.7;-24.5;-52.4;-1.2;-35.3;-21.9;-41.2;-22.3;-16.8;-26.1;-23.8;-25.4;-11.9;-28.2;-26.7;1.3;1.8;0.6;3.1;-8.6;19.9;23.1;17.6;23.3;0.7;6.0;5.84;5.85;4.54;6.18;6.92;6.9;5.78;6.28
32;2002 december;-32.8;-13.9;-48.9;-25.5;-22.8;-13.3;-33.7;-57.8;-10.6;-46.4;-39.6;-50.8;-27.9;-22.5;-35.1;-33.3;-33.3;-22.4;-37.3;-35.8;2.9;3.4;2.1;3.1;-11.2;13.3;16.0;10.1;16.3;-3.3;8.7;8.81;8.81;5.23;8.77;11.18;12.65;7.84;9.66
33;2003 januari;-37.7;-23.0;-51.3;-36.9;-34.4;-10.5;-40.7;-56.5;-25.2;-49.6;-39.2;-54.3;-32.4;-24.3;-38.4;-39.1;-38.0;-28.1;-40.0;-38.4;3.5;4.2;2.1;3.1;-12.7;8.7;11.7;6.7;11.8;-8.6;9.3;9.35;9.32;5.59;9.63;12.14;12.91;9.08;10.54
34;2003 februari;-42.6;-27.4;-52.6;-47.7;-45.8;-12.2;-47.1;-77.8;-24.5;-53.3;-40.1;-57.0;-37.3;-24.7;-39.2;-43.7;-40.2;-30.2;-39.8;-38.2;4.0;5.0;2.3;3.3;-13.8;5.7;8.3;3.7;8.3;-10.3;10.0;10.26;10.24;5.87;10.42;13.5;14.76;9.67;10.92
35;2003 maart;-48.5;-25.1;-61.4;-52.3;-39.5;-15.8;-50.1;-81.4;-36.4;-64.5;-49.8;-64.2;-39.8;-27.0;-42.3;-48.4;-43.8;-37.3;-42.2;-39.2;4.7;5.4;3.4;3.2;-14.8;1.0;3.9;-0.4;3.7;-15.3;10.6;10.99;11.0;6.15;11.1;14.47;16.09;10.03;11.74
36;2003 april;-40.4;-27.4;-52.7;-43.7;-38.1;-7.6;-39.6;-75.4;-28.4;-49.6;-39.4;-47.7;-32.4;-20.4;-33.6;-40.3;-33.5;-36.6;-33.1;-30.1;4.9;5.7;3.4;2.9;-10.3;4.3;8.0;3.4;7.8;-15.6;9.8;9.93;9.94;5.63;10.0;13.08;14.37;9.4;11.18
37;2003 mei;-37.8;-30.8;-48.7;-42.0;-32.9;1.5;-36.5;-62.9;-16.8;-50.1;-33.9;-31.9;-24.4;-17.8;-30.9;-37.7;-29.3;-35.1;-30.6;-29.0;6.9;7.6;5.2;2.7;-8.5;4.5;8.2;7.5;6.9;-14.6;11.8;12.11;12.13;6.31;11.6;15.7;18.37;11.17;13.9
38;2003 juni;-29.5;-28.5;-39.4;-34.7;-27.9;5.2;-25.2;-55.4;-4.9;-40.1;-22.5;-15.0;-14.3;-8.8;-18.7;-28.2;-18.4;-21.7;-17.4;-15.1;7.9;8.5;6.6;2.4;-1.5;11.9;15.1;13.9;14.2;-6.3;10.5;10.39;10.37;5.85;10.22;13.52;14.89;10.32;12.54
39;2003 juli;-11.1;-15.4;-16.3;-17.5;-13.4;15.0;-6.0;-45.9;21.1;-12.4;-3.1;21.0;1.7;-1.6;-7.1;-11.2;-7.0;-11.9;-6.5;-4.3;6.7;7.4;5.4;2.1;2.0;13.6;16.0;9.0;16.5;-0.1;8.3;7.94;7.93;4.89;7.84;10.1;11.24;8.46;10.72
40;2003 augustus;-7.4;-13.2;16.0;-10.9;-2.7;9.5;-3.5;-37.7;0.5;-14.7;18.9;58.0;16.4;1.0;-1.8;-6.9;-0.2;1.8;-1.8;-3.2;5.2;5.9;4.0;1.7;2.6;14.2;15.5;8.1;16.5;5.2;6.7;6.38;6.39;4.19;6.29;7.89;8.76;6.94;9.0
41;2003 september;6.6;-11.5;41.2;-6.1;11.6;22.3;1.7;-17.5;46.8;14.8;39.3;87.4;36.8;6.2;7.6;8.5;11.6;7.9;6.4;1.2;4.5;5.5;2.4;2.0;5.4;21.4;23.3;10.2;26.0;9.6;6.4;6.05;6.03;4.19;6.13;7.19;8.01;6.51;9.15
42;2003 oktober;-0.1;-16.9;34.2;-1.4;16.3;18.4;-0.2;-25.7;25.2;-1.4;30.1;87.1;41.0;4.4;4.1;2.4;9.9;15.4;2.2;-2.5;4.9;5.6;3.4;1.3;4.7;13.2;13.2;5.7;14.4;12.3;5.8;5.28;5.29;3.57;4.88;6.15;7.64;5.94;8.85
43;2003 november;-4.3;-7.8;14.6;-1.4;22.8;9.2;-1.5;-33.5;10.0;-9.7;14.3;62.2;39.0;0.5;-1.7;-2.1;4.5;5.1;-3.9;-5.8;3.4;4.0;2.0;1.0;2.4;12.5;12.5;10.4;12.8;11.4;5.0;4.46;4.46;3.33;4.36;5.13;5.85;5.2;7.61
44;2003 december;-1.2;-6.4;13.2;2.5;29.9;6.7;-3.1;-33.2;11.3;-6.4;11.0;61.7;40.3;1.1;-1.0;-0.4;6.2;7.0;-3.6;-6.2;3.8;4.9;1.6;1.6;3.4;13.8;13.5;10.3;14.0;14.5;6.0;5.64;5.63;3.91;5.46;6.68;7.71;6.11;8.9
