ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
10;50 000 tot 100 000 euro;1998;34.0;243;240;240;0;3;189;42.4;9.8;8.2;39.6;75;43;4;2;7;18;54;-3;51;66.7;20.3;20.9;4.7;240;0.1;99.9;75.5;8.0;42.6;1.8;3.3;7.0;12.9;14.2;0.4;0.0;0.5;9.2;0.1;0.3;19;85.2;11.5;0.5;0.0;0.5;2.7;75;43;;;;;;;4;;;;2;;;;7;;;;18;;;;;;;;;84;47.8;52.2;0.0;53;11;97.2;43.2;4.2;0.0;27.9;21.9;2.8
11;50 000 tot 100 000 euro;1999;34.1;237;234;233;0;3;190;41.9;11.5;8.9;37.8;72;38;4;2;8;19;47;-6;41;65.9;17.3;17.5;14.9;234;0.2;99.8;72.0;7.9;40.9;1.0;3.5;6.9;11.8;17.0;0.4;0.1;0.5;9.4;0.3;0.4;22;82.2;12.4;0.3;2.8;0.1;2.5;72;38;;;;;;;4;;;;2;;;;8;;;;19;;;;;;;;;90;49.4;48.3;2.3;51;35;86.9;35.6;3.6;0.5;36.0;11.3;13.1
12;100 000 tot 250 000 euro;1996;39.2;643;631;629;2;12;525;41.2;19.1;7.4;32.3;170;84;12;7;22;45;118;-12;106;65.8;16.2;16.5;4.2;631;0.3;99.7;70.0;7.4;37.9;2.2;4.3;6.3;11.9;22.3;0.5;0.1;0.8;5.8;0.3;0.5;100;83.5;9.6;1.3;2.3;0.1;3.7;170;84;53.5;4.2;21.1;9.4;3.8;7.9;12;12.4;50.8;36.8;7;39.9;25.3;34.7;22;38.0;12.8;49.2;45;27.8;9.9;9.4;0.3;6.4;8.4;0.4;37.4;255;74.4;22.5;3.1;117;27;93.1;20.3;8.5;1.4;38.4;24.5;6.9
13;100 000 tot 250 000 euro;1997;46.4;717;708;704;4;9;575;41.5;18.3;7.9;32.3;186;93;13;7;26;47;143;-15;128;66.3;17.7;17.8;3.3;708;0.6;99.4;70.3;8.6;37.7;2.0;4.6;5.8;11.5;21.6;0.5;0.1;0.8;5.8;0.4;2.0;105;83.1;10.4;1.0;4.0;0.2;3.3;186;93;57.6;3.4;21.3;7.9;3.0;6.8;13;17.1;45.0;37.9;7;40.9;24.0;35.1;26;41.3;13.3;45.4;47;35.4;9.4;11.2;0.3;6.1;6.1;0.6;30.9;249;72.0;24.5;3.4;127;24;86.1;13.6;21.3;0.4;32.2;18.5;13.9
14;100 000 tot 250 000 euro;1998;42.4;689;680;679;2;9;548;42.2;15.8;8.4;33.6;184;88;13;5;25;52;141;-16;125;66.0;18.1;18.2;7.2;680;0.2;99.8;70.5;9.0;38.3;1.2;4.2;6.1;11.7;20.2;0.4;0.0;0.7;7.4;0.5;1.3;87;83.2;11.8;1.1;1.8;0.1;3.3;184;88;;;;;;;13;;;;5;;;;25;;;;52;;;;;;;;;208;69.2;29.1;1.7;113;49;93.0;22.4;8.1;1.0;27.5;34.0;7.0
15;100 000 tot 250 000 euro;1999;45.8;737;726;725;1;11;598;40.5;17.2;9.0;33.2;199;100;14;6;26;52;139;-14;125;66.6;16.8;16.9;11.8;726;0.2;99.8;72.5;8.9;39.7;1.7;4.2;5.7;12.3;17.7;0.3;0.1;0.6;7.8;0.8;1.1;103;79.8;12.6;1.4;2.9;1.2;3.3;199;100;;;;;;;14;;;;6;;;;26;;;;52;;;;;;;;;246;71.3;25.5;3.2;117;87;92.6;34.2;6.1;0.3;35.8;16.0;7.4
16;250 000 euro en meer;1996;21.4;980;970;966;4;10;857;36.5;29.3;7.3;26.9;230;99;23;8;38;62;123;-8;115;67.8;11.2;11.7;5.3;970;0.4;99.6;63.3;7.3;29.9;1.7;5.0;7.4;12.0;27.6;0.6;0.3;0.9;6.8;0.1;1.1;251;83.4;9.3;1.6;2.1;0.5;4.3;230;99;50.1;3.7;23.1;9.0;3.1;11.0;23;22.2;48.6;29.2;8;28.0;25.1;45.5;38;39.0;10.9;50.1;62;27.6;8.0;9.8;0.2;6.7;19.7;0.4;27.6;372;91.1;7.0;1.9;160;52;73.2;25.9;9.4;0.8;18.8;18.3;26.8
17;250 000 euro en meer;1997;20.9;1077;1066;1061;5;11;939;34.8;29.6;7.9;27.8;261;113;25;9;41;73;138;-15;123;69.4;11.3;11.4;3.5;1066;0.5;99.5;63.7;7.9;30.3;1.3;4.7;6.7;12.8;26.7;0.5;0.6;0.7;7.1;0.2;1.1;277;82.9;9.0;1.7;2.5;1.2;3.8;261;113;52.3;3.5;22.1;9.2;3.8;9.2;25;14.6;46.9;38.5;9;46.4;20.2;33.4;41;36.6;10.5;52.9;73;29.3;7.4;8.7;0.8;6.2;20.3;0.9;26.4;377;90.7;7.1;2.2;161;38;88.2;16.4;16.6;1.8;28.7;24.7;11.8
18;250 000 euro en meer;1998;24.1;1228;1215;1211;3;13;1057;34.4;29.2;8.8;27.6;292;133;26;8;46;79;171;-18;153;70.0;12.2;12.4;3.9;1215;0.3;99.7;63.9;7.9;31.1;1.0;4.8;6.8;12.4;26.2;0.7;1.4;0.8;6.3;0.3;1.4;309;81.1;12.4;1.6;2.1;0.4;3.7;292;133;;;;;;;26;;;;8;;;;46;;;;79;;;;;;;;;410;90.4;7.7;1.9;187;48;97.1;14.8;8.8;1.0;38.9;33.5;2.9
19;250 000 euro en meer;1999;25.2;1327;1313;1312;0;14;1134;33.6;29.1;8.8;28.5;323;145;25;7;55;90;193;-9;184;71.0;13.1;13.9;12.4;1313;0.0;100.0;66.5;8.6;32.3;0.9;4.6;7.1;13.0;24.2;0.3;1.2;1.2;6.3;0.1;0.9;330;80.1;13.3;1.5;1.7;0.6;3.7;323;145;;;;;;;25;;;;7;;;;55;;;;90;;;;;;;;;455;91.1;7.0;1.9;176;165;92.4;62.9;5.9;0.6;13.0;10.0;7.6
