ID;TypeKapitaalgoed;BedrijfstakkenSBI2008EnSectoren;Perioden;KapitaalgoederenvoorraadEindbalans_1;VolumeIndexcijfers2010100_2;KapitaalgoederenvoorraadBeginbalans_3;Herwaardering_4;InvestInVasteActivaProdEnInvoer_5;Afschrijvingen_6;HandelEnOverigeMutaties_7;StatistischVerschil_8;KapitaalgoederenvoorraadEindbalans_9
54;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2005;213535.0;98.9;211781.0;3171.0;15537.0;15842.0;-9.0;-1103.0;213535.0
55;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2006;218536.0;99.0;213535.0;4797.0;17112.0;16220.0;-12.0;-675.0;218536.0
56;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2007;224205.0;99.4;218536.0;4883.0;18056.0;16676.0;-10.0;-584.0;224205.0
57;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2008;232297.0;100.0;224205.0;6758.0;19679.0;17287.0;-10.0;-1048.0;232297.0
58;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2009;236825.0;99.8;232297.0;4810.0;18696.0;17704.0;-5.0;-1270.0;236825.0
59;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2010;240896.0;100.0;236825.0;3675.0;18387.0;17973.0;-18.0;0.0;240896.0
60;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2011;247763.0;101.9;240896.0;2352.0;22780.0;18241.0;-25.0;0.0;247763.0
61;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2012;255199.0;103.6;247763.0;3204.0;22868.0;18625.0;-11.0;0.0;255199.0
62;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2013;259557.0;104.5;255199.0;2048.0;22373.0;18800.0;-1262.0;0.0;259557.0
63;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2014;266252.0;106.7;259557.0;1211.0;24728.0;19204.0;-40.0;0.0;266252.0
64;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2015;273099.0;109.0;266252.0;1022.0;25583.0;19739.0;-34.0;15.0;273099.0
65;Totaal kapitaalgoederen;B-E Nijverheid (geen bouw) en energie;2016;280579.0;111.5;273099.0;1379.0;26389.0;20305.0;-8.0;25.0;280579.0
66;Totaal kapitaalgoederen;B Delfstoffenwinning;1995;18122.0;84.4;17353.0;434.0;1295.0;854.0;0.0;-105.0;18122.0
67;Totaal kapitaalgoederen;B Delfstoffenwinning;1996;18719.0;85.2;18122.0;387.0;1330.0;888.0;0.0;-232.0;18719.0
68;Totaal kapitaalgoederen;B Delfstoffenwinning;1997;20250.0;90.6;18719.0;432.0;1910.0;947.0;0.0;135.0;20250.0
69;Totaal kapitaalgoederen;B Delfstoffenwinning;1998;21245.0;93.0;20250.0;450.0;1730.0;1006.0;0.0;-178.0;21245.0
70;Totaal kapitaalgoederen;B Delfstoffenwinning;1999;21858.0;93.1;21245.0;534.0;1414.0;1056.0;0.0;-279.0;21858.0
71;Totaal kapitaalgoederen;B Delfstoffenwinning;2000;22584.0;92.0;21858.0;804.0;1368.0;1112.0;0.0;-334.0;22584.0
72;Totaal kapitaalgoederen;B Delfstoffenwinning;2001;24006.0;91.2;22584.0;1140.0;1729.0;1184.0;0.0;-263.0;24006.0
73;Totaal kapitaalgoederen;B Delfstoffenwinning;2002;25278.0;92.3;24006.0;971.0;1874.0;1254.0;0.0;-319.0;25278.0
74;Totaal kapitaalgoederen;B Delfstoffenwinning;2003;26316.0;93.7;25278.0;637.0;1916.0;1306.0;0.0;-209.0;26316.0
75;Totaal kapitaalgoederen;B Delfstoffenwinning;2004;26405.0;93.1;26316.0;261.0;1552.0;1335.0;0.0;-389.0;26405.0
76;Totaal kapitaalgoederen;B Delfstoffenwinning;2005;26785.0;93.1;26405.0;395.0;1857.0;1358.0;0.0;-514.0;26785.0
77;Totaal kapitaalgoederen;B Delfstoffenwinning;2006;28240.0;94.9;26785.0;907.0;2179.0;1421.0;0.0;-211.0;28240.0
78;Totaal kapitaalgoederen;B Delfstoffenwinning;2007;29046.0;95.2;28240.0;726.0;1847.0;1479.0;0.0;-288.0;29046.0
79;Totaal kapitaalgoederen;B Delfstoffenwinning;2008;30707.0;96.7;29046.0;1169.0;2522.0;1554.0;0.0;-476.0;30707.0
80;Totaal kapitaalgoederen;B Delfstoffenwinning;2009;31768.0;97.8;30707.0;700.0;2366.0;1607.0;0.0;-398.0;31768.0
81;Totaal kapitaalgoederen;B Delfstoffenwinning;2010;32652.0;100.0;31768.0;175.0;2347.0;1638.0;0.0;0.0;32652.0
82;Totaal kapitaalgoederen;B Delfstoffenwinning;2011;35338.0;106.5;32652.0;515.0;3880.0;1709.0;0.0;0.0;35338.0
83;Totaal kapitaalgoederen;B Delfstoffenwinning;2012;37606.0;111.5;35338.0;608.0;3462.0;1802.0;0.0;0.0;37606.0
84;Totaal kapitaalgoederen;B Delfstoffenwinning;2013;39549.0;115.4;37606.0;588.0;3246.0;1891.0;0.0;0.0;39549.0
85;Totaal kapitaalgoederen;B Delfstoffenwinning;2014;41707.0;120.5;39549.0;414.0;3729.0;1985.0;0.0;0.0;41707.0
86;Totaal kapitaalgoederen;B Delfstoffenwinning;2015;43114.0;124.6;41707.0;-13.0;3482.0;2062.0;0.0;0.0;43114.0
87;Totaal kapitaalgoederen;B Delfstoffenwinning;2016;44721.0;128.5;43114.0;237.0;3503.0;2156.0;0.0;23.0;44721.0
88;Totaal kapitaalgoederen;C Industrie;1995;111359.0;111.0;109163.0;964.0;9651.0;8820.0;104.0;297.0;111359.0
89;Totaal kapitaalgoederen;C Industrie;1996;113012.0;110.0;111359.0;620.0;10055.0;8960.0;-32.0;-31.0;113012.0
90;Totaal kapitaalgoederen;C Industrie;1997;116171.0;111.2;113012.0;663.0;10494.0;9127.0;-8.0;1137.0;116171.0
91;Totaal kapitaalgoederen;C Industrie;1998;119308.0;111.8;116171.0;846.0;11350.0;9402.0;-5.0;348.0;119308.0
92;Totaal kapitaalgoederen;C Industrie;1999;122491.0;111.6;119308.0;1142.0;11682.0;9718.0;-4.0;80.0;122491.0
93;Totaal kapitaalgoederen;C Industrie;2000;127500.0;111.1;122491.0;3311.0;11860.0;10221.0;-4.0;64.0;127500.0
94;Totaal kapitaalgoederen;C Industrie;2001;131409.0;102.2;127500.0;3077.0;11586.0;10707.0;-5.0;-43.0;131409.0
95;Totaal kapitaalgoederen;C Industrie;2002;135595.0;102.5;131409.0;3873.0;11387.0;11139.0;-6.0;71.0;135595.0
96;Totaal kapitaalgoederen;C Industrie;2003;136410.0;102.3;135595.0;1053.0;10959.0;11286.0;-4.0;93.0;136410.0
97;Totaal kapitaalgoederen;C Industrie;2004;137307.0;101.6;136410.0;1773.0;10509.0;11421.0;-4.0;41.0;137307.0
98;Totaal kapitaalgoederen;C Industrie;2005;138787.0;101.2;137307.0;2126.0;10884.0;11586.0;-8.0;64.0;138787.0
99;Totaal kapitaalgoederen;C Industrie;2006;141402.0;101.1;138787.0;2753.0;11620.0;11843.0;-11.0;95.0;141402.0
100;Totaal kapitaalgoederen;C Industrie;2007;144795.0;101.5;141402.0;2806.0;12553.0;12153.0;-10.0;197.0;144795.0
101;Totaal kapitaalgoederen;C Industrie;2008;149567.0;102.0;144795.0;4057.0;13076.0;12573.0;-10.0;222.0;149567.0
102;Totaal kapitaalgoederen;C Industrie;2009;152087.0;101.4;149567.0;3393.0;11902.0;12866.0;-14.0;105.0;152087.0
103;Totaal kapitaalgoederen;C Industrie;2010;152604.0;100.0;152087.0;2628.0;10879.0;12972.0;-17.0;0.0;152604.0
104;Totaal kapitaalgoederen;C Industrie;2011;152784.0;99.5;152604.0;946.0;12241.0;12985.0;-22.0;0.0;152784.0
105;Totaal kapitaalgoederen;C Industrie;2012;154141.0;99.3;152784.0;1675.0;12780.0;13087.0;-11.0;0.0;154141.0
106;Totaal kapitaalgoederen;C Industrie;2013;153308.0;98.2;154141.0;834.0;12617.0;13022.0;-1262.0;0.0;153308.0
107;Totaal kapitaalgoederen;C Industrie;2014;153957.0;98.3;153308.0;517.0;13355.0;13183.0;-40.0;0.0;153957.0
108;Totaal kapitaalgoederen;C Industrie;2015;156769.0;99.2;153957.0;1369.0;14961.0;13498.0;-34.0;15.0;156769.0
109;Totaal kapitaalgoederen;C Industrie;2016;159235.0;100.2;156769.0;892.0;15374.0;13736.0;-8.0;-56.0;159235.0
110;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;1995;18098.0;110.5;17866.0;131.0;1384.0;1311.0;0.0;29.0;18098.0
111;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;1996;18398.0;109.7;18098.0;59.0;1571.0;1331.0;0.0;1.0;18398.0
112;Totaal kapitaalgoederen;10-12 Voedings-, genotmiddelenindustrie;1997;18805.0;110.2;18398.0;87.0;1686.0;1361.0;0.0;-5.0;18805.0
