ID;Geslacht;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Regiokenmerken;Perioden;TotaalDeelnemers_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
71;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2007/'08;120556.0;4905.0;30328.0;32208.0;51410.0;1705.0;;;;
72;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2008/'09;121952.0;4905.0;30953.0;33541.0;51096.0;1457.0;;;;
73;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2009/'10;123650.0;5586.0;30510.0;34506.0;51998.0;1050.0;;;;
74;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2010/'11;126235.0;5738.0;31098.0;35366.0;53237.0;796.0;;;;
75;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2011/'12;124513.0;5682.0;29285.0;35371.0;53725.0;450.0;;;;
76;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2012/'13;122522.0;5265.0;27957.0;34903.0;54222.0;175.0;;;;
77;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2013/'14;119706.0;4493.0;26059.0;33258.0;55820.0;76.0;;;;
78;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2014/'15;116024.0;3053.0;23215.0;32058.0;57677.0;21.0;;;;
79;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2015/'16;114910.0;2800.0;21198.0;31734.0;59164.0;14.0;;;;
80;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Oost-Nederland (LD);2016/'17;117909.0;2822.0;20207.0;32056.0;62794.0;30.0;;;;
