ID;Deelgebieden;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
96;4211a Wegen met open verharding;2023 januari;133.6;10.6
97;4211a Wegen met open verharding;2023 april;135.5;8.6
98;4211a Wegen met open verharding;2023 juli;137.1;7.5
99;4211a Wegen met open verharding;2023 oktober;138.6;6.9
100;4211a Wegen met open verharding;2024 januari;140.7;5.3
101;4211a Wegen met open verharding;2024 april;141.1;4.1
102;4211a Wegen met open verharding;2024 juli;143.5;4.6
103;4211a Wegen met open verharding;2024 oktober;143.4;3.5
104;4211b Wegen met gesloten verharding;2012 januari;132.6;
105;4211b Wegen met gesloten verharding;2012 april;140.0;
106;4211b Wegen met gesloten verharding;2012 juli;133.7;
107;4211b Wegen met gesloten verharding;2012 oktober;138.2;
108;4211b Wegen met gesloten verharding;2013 januari;133.3;0.5
109;4211b Wegen met gesloten verharding;2013 april;132.9;-5.0
110;4211b Wegen met gesloten verharding;2013 juli;130.1;-2.7
111;4211b Wegen met gesloten verharding;2013 oktober;133.8;-3.1
112;4211b Wegen met gesloten verharding;2014 januari;130.7;-2.0
113;4211b Wegen met gesloten verharding;2014 april;127.8;-3.9
114;4211b Wegen met gesloten verharding;2014 juli;127.7;-1.8
115;4211b Wegen met gesloten verharding;2014 oktober;126.4;-5.5
116;4211b Wegen met gesloten verharding;2015 januari;100.8;-22.9
117;4211b Wegen met gesloten verharding;2015 april;103.7;-18.8
118;4211b Wegen met gesloten verharding;2015 juli;106.4;-16.7
119;4211b Wegen met gesloten verharding;2015 oktober;93.1;-26.3
120;4211b Wegen met gesloten verharding;2016 januari;84.0;-16.7
121;4211b Wegen met gesloten verharding;2016 april;85.2;-17.8
122;4211b Wegen met gesloten verharding;2016 juli;95.4;-10.4
123;4211b Wegen met gesloten verharding;2016 oktober;98.3;5.5
124;4211b Wegen met gesloten verharding;2017 januari;108.2;28.8
125;4211b Wegen met gesloten verharding;2017 april;107.0;25.5
126;4211b Wegen met gesloten verharding;2017 juli;104.2;9.2
127;4211b Wegen met gesloten verharding;2017 oktober;106.9;8.8
128;4211b Wegen met gesloten verharding;2018 januari;114.4;5.7
129;4211b Wegen met gesloten verharding;2018 april;112.2;4.9
130;4211b Wegen met gesloten verharding;2018 juli;128.5;23.4
131;4211b Wegen met gesloten verharding;2018 oktober;133.7;25.0
132;4211b Wegen met gesloten verharding;2019 januari;124.6;9.0
133;4211b Wegen met gesloten verharding;2019 april;129.8;15.7
134;4211b Wegen met gesloten verharding;2019 juli;132.6;3.2
135;4211b Wegen met gesloten verharding;2019 oktober;128.3;-4.0
136;4211b Wegen met gesloten verharding;2020 januari;124.9;0.2
137;4211b Wegen met gesloten verharding;2020 april;113.3;-12.8
138;4211b Wegen met gesloten verharding;2020 juli;120.1;-9.4
139;4211b Wegen met gesloten verharding;2020 oktober;117.8;-8.2
140;4211b Wegen met gesloten verharding;2021 januari;118.2;-5.3
141;4211b Wegen met gesloten verharding;2021 april;128.6;13.5
142;4211b Wegen met gesloten verharding;2021 juli;132.5;10.3
143;4211b Wegen met gesloten verharding;2021 oktober;137.3;16.6
144;4211b Wegen met gesloten verharding;2022 januari;140.8;19.1
145;4211b Wegen met gesloten verharding;2022 april;180.8;40.6
146;4211b Wegen met gesloten verharding;2022 juli;177.8;34.2
147;4211b Wegen met gesloten verharding;2022 oktober;161.2;17.4
148;4211b Wegen met gesloten verharding;2023 januari;155.6;10.5
149;4211b Wegen met gesloten verharding;2023 april;154.5;-14.5
150;4211b Wegen met gesloten verharding;2023 juli;160.4;-9.8
151;4211b Wegen met gesloten verharding;2023 oktober;177.3;10.0
152;4211b Wegen met gesloten verharding;2024 januari;163.7;5.2
153;4211b Wegen met gesloten verharding;2024 april;166.1;7.5
154;4211b Wegen met gesloten verharding;2024 juli;170.2;6.1
155;4211b Wegen met gesloten verharding;2024 oktober;162.4;-8.4
156;4212 Boven- en ondergrondse spoorwege.;2012 januari;99.3;
157;4212 Boven- en ondergrondse spoorwege.;2012 april;99.8;
158;4212 Boven- en ondergrondse spoorwege.;2012 juli;99.8;
159;4212 Boven- en ondergrondse spoorwege.;2012 oktober;99.9;
160;4212 Boven- en ondergrondse spoorwege.;2013 januari;99.4;0.1
161;4212 Boven- en ondergrondse spoorwege.;2013 april;98.9;-0.9
162;4212 Boven- en ondergrondse spoorwege.;2013 juli;97.6;-2.2
163;4212 Boven- en ondergrondse spoorwege.;2013 oktober;97.5;-2.5
164;4212 Boven- en ondergrondse spoorwege.;2014 januari;98.0;-1.4
165;4212 Boven- en ondergrondse spoorwege.;2014 april;97.7;-1.2
166;4212 Boven- en ondergrondse spoorwege.;2014 juli;98.5;0.9
167;4212 Boven- en ondergrondse spoorwege.;2014 oktober;99.2;1.8
168;4212 Boven- en ondergrondse spoorwege.;2015 januari;99.6;1.6
169;4212 Boven- en ondergrondse spoorwege.;2015 april;100.6;3.0
170;4212 Boven- en ondergrondse spoorwege.;2015 juli;100.2;1.8
171;4212 Boven- en ondergrondse spoorwege.;2015 oktober;99.7;0.4
172;4212 Boven- en ondergrondse spoorwege.;2016 januari;99.4;-0.2
173;4212 Boven- en ondergrondse spoorwege.;2016 april;99.5;-1.1
174;4212 Boven- en ondergrondse spoorwege.;2016 juli;101.4;1.1
175;4212 Boven- en ondergrondse spoorwege.;2016 oktober;101.3;1.7
176;4212 Boven- en ondergrondse spoorwege.;2017 januari;103.8;4.4
177;4212 Boven- en ondergrondse spoorwege.;2017 april;104.9;5.4
178;4212 Boven- en ondergrondse spoorwege.;2017 juli;103.7;2.3
179;4212 Boven- en ondergrondse spoorwege.;2017 oktober;104.8;3.4
180;4212 Boven- en ondergrondse spoorwege.;2018 januari;105.8;1.9
181;4212 Boven- en ondergrondse spoorwege.;2018 april;105.8;0.8
182;4212 Boven- en ondergrondse spoorwege.;2018 juli;107.2;3.3
183;4212 Boven- en ondergrondse spoorwege.;2018 oktober;107.5;2.6
184;4212 Boven- en ondergrondse spoorwege.;2019 januari;107.7;1.9
185;4212 Boven- en ondergrondse spoorwege.;2019 april;108.5;2.6
186;4212 Boven- en ondergrondse spoorwege.;2019 juli;109.0;1.6
187;4212 Boven- en ondergrondse spoorwege.;2019 oktober;109.3;1.6
188;4212 Boven- en ondergrondse spoorwege.;2020 januari;110.1;2.2
189;4212 Boven- en ondergrondse spoorwege.;2020 april;109.5;0.9
190;4212 Boven- en ondergrondse spoorwege.;2020 juli;110.2;1.1
191;4212 Boven- en ondergrondse spoorwege.;2020 oktober;110.3;1.0
192;4212 Boven- en ondergrondse spoorwege.;2021 januari;112.8;2.4
193;4212 Boven- en ondergrondse spoorwege.;2021 april;115.6;5.6
194;4212 Boven- en ondergrondse spoorwege.;2021 juli;120.2;9.1
195;4212 Boven- en ondergrondse spoorwege.;2021 oktober;123.1;11.6
196;4212 Boven- en ondergrondse spoorwege.;2022 januari;126.5;12.2
197;4212 Boven- en ondergrondse spoorwege.;2022 april;133.5;15.5
198;4212 Boven- en ondergrondse spoorwege.;2022 juli;134.5;12.0
199;4212 Boven- en ondergrondse spoorwege.;2022 oktober;134.4;9.2
200;4212 Boven- en ondergrondse spoorwege.;2023 januari;134.7;6.4
201;4212 Boven- en ondergrondse spoorwege.;2023 april;135.2;1.3
202;4212 Boven- en ondergrondse spoorwege.;2023 juli;133.4;-0.8
203;4212 Boven- en ondergrondse spoorwege.;2023 oktober;133.2;-0.9
204;4212 Boven- en ondergrondse spoorwege.;2024 januari;134.3;-0.3
205;4212 Boven- en ondergrondse spoorwege.;2024 april;135.4;0.1
206;4212 Boven- en ondergrondse spoorwege.;2024 juli;138.0;3.5
207;4212 Boven- en ondergrondse spoorwege.;2024 oktober;136.3;2.3
208;"4212a Spoorwegen; Aanleg";2012 januari;98.9;
209;"4212a Spoorwegen; Aanleg";2012 april;99.4;
210;"4212a Spoorwegen; Aanleg";2012 juli;99.8;
211;"4212a Spoorwegen; Aanleg";2012 oktober;99.9;
212;"4212a Spoorwegen; Aanleg";2013 januari;99.8;0.8
213;"4212a Spoorwegen; Aanleg";2013 april;99.3;-0.1
214;"4212a Spoorwegen; Aanleg";2013 juli;98.4;-1.4
215;"4212a Spoorwegen; Aanleg";2013 oktober;98.5;-1.4
216;"4212a Spoorwegen; Aanleg";2014 januari;99.1;-0.7
217;"4212a Spoorwegen; Aanleg";2014 april;98.7;-0.6
218;"4212a Spoorwegen; Aanleg";2014 juli;99.0;0.6
219;"4212a Spoorwegen; Aanleg";2014 oktober;99.6;1.1
220;"4212a Spoorwegen; Aanleg";2015 januari;99.6;0.5
221;"4212a Spoorwegen; Aanleg";2015 april;100.3;1.6
222;"4212a Spoorwegen; Aanleg";2015 juli;100.3;1.3
223;"4212a Spoorwegen; Aanleg";2015 oktober;99.9;0.3
224;"4212a Spoorwegen; Aanleg";2016 januari;99.7;0.1
225;"4212a Spoorwegen; Aanleg";2016 april;99.8;-0.5
226;"4212a Spoorwegen; Aanleg";2016 juli;101.0;0.7
227;"4212a Spoorwegen; Aanleg";2016 oktober;101.1;1.2
228;"4212a Spoorwegen; Aanleg";2017 januari;102.9;3.2
229;"4212a Spoorwegen; Aanleg";2017 april;103.9;4.2
230;"4212a Spoorwegen; Aanleg";2017 juli;103.2;2.2
231;"4212a Spoorwegen; Aanleg";2017 oktober;104.3;3.2
232;"4212a Spoorwegen; Aanleg";2018 januari;105.4;2.5
233;"4212a Spoorwegen; Aanleg";2018 april;105.7;1.7
234;"4212a Spoorwegen; Aanleg";2018 juli;107.0;3.6
235;"4212a Spoorwegen; Aanleg";2018 oktober;107.4;3.0
236;"4212a Spoorwegen; Aanleg";2019 januari;108.0;2.4
237;"4212a Spoorwegen; Aanleg";2019 april;108.8;2.9
238;"4212a Spoorwegen; Aanleg";2019 juli;109.2;2.1
239;"4212a Spoorwegen; Aanleg";2019 oktober;109.4;1.9
240;"4212a Spoorwegen; Aanleg";2020 januari;110.4;2.3
241;"4212a Spoorwegen; Aanleg";2020 april;110.0;1.1
242;"4212a Spoorwegen; Aanleg";2020 juli;110.6;1.3
243;"4212a Spoorwegen; Aanleg";2020 oktober;110.8;1.3
244;"4212a Spoorwegen; Aanleg";2021 januari;113.5;2.8
245;"4212a Spoorwegen; Aanleg";2021 april;115.6;5.1
246;"4212a Spoorwegen; Aanleg";2021 juli;119.9;8.4
247;"4212a Spoorwegen; Aanleg";2021 oktober;121.9;10.0
248;"4212a Spoorwegen; Aanleg";2022 januari;125.5;10.6
249;"4212a Spoorwegen; Aanleg";2022 april;132.6;14.7
250;"4212a Spoorwegen; Aanleg";2022 juli;133.3;11.2
251;"4212a Spoorwegen; Aanleg";2022 oktober;132.7;8.9
252;"4212a Spoorwegen; Aanleg";2023 januari;133.3;6.1
253;"4212a Spoorwegen; Aanleg";2023 april;134.4;1.3
254;"4212a Spoorwegen; Aanleg";2023 juli;133.6;0.3
255;"4212a Spoorwegen; Aanleg";2023 oktober;133.5;0.6
256;"4212a Spoorwegen; Aanleg";2024 januari;135.5;1.7
257;"4212a Spoorwegen; Aanleg";2024 april;136.2;1.4
258;"4212a Spoorwegen; Aanleg";2024 juli;138.3;3.5
259;"4212a Spoorwegen; Aanleg";2024 oktober;137.6;3.0
260;4212b Spoorwegen Exploitatie/onderhoud;2012 januari;98.7;
261;4212b Spoorwegen Exploitatie/onderhoud;2012 april;99.1;
262;4212b Spoorwegen Exploitatie/onderhoud;2012 juli;99.2;
263;4212b Spoorwegen Exploitatie/onderhoud;2012 oktober;99.7;
264;4212b Spoorwegen Exploitatie/onderhoud;2013 januari;99.8;1.1
265;4212b Spoorwegen Exploitatie/onderhoud;2013 april;99.5;0.4
266;4212b Spoorwegen Exploitatie/onderhoud;2013 juli;98.8;-0.4
267;4212b Spoorwegen Exploitatie/onderhoud;2013 oktober;99.0;-0.7
268;4212b Spoorwegen Exploitatie/onderhoud;2014 januari;99.5;-0.3
269;4212b Spoorwegen Exploitatie/onderhoud;2014 april;99.0;-0.5
270;4212b Spoorwegen Exploitatie/onderhoud;2014 juli;99.1;0.3
271;4212b Spoorwegen Exploitatie/onderhoud;2014 oktober;100.0;1.0
272;4212b Spoorwegen Exploitatie/onderhoud;2015 januari;99.8;0.3
273;4212b Spoorwegen Exploitatie/onderhoud;2015 april;100.3;1.3
274;4212b Spoorwegen Exploitatie/onderhoud;2015 juli;100.2;1.0
275;4212b Spoorwegen Exploitatie/onderhoud;2015 oktober;100.0;0.0
276;4212b Spoorwegen Exploitatie/onderhoud;2016 januari;99.8;0.0
277;4212b Spoorwegen Exploitatie/onderhoud;2016 april;99.8;-0.5
278;4212b Spoorwegen Exploitatie/onderhoud;2016 juli;100.9;0.7
279;4212b Spoorwegen Exploitatie/onderhoud;2016 oktober;101.1;1.2
280;4212b Spoorwegen Exploitatie/onderhoud;2017 januari;102.8;2.9
281;4212b Spoorwegen Exploitatie/onderhoud;2017 april;102.9;3.1
282;4212b Spoorwegen Exploitatie/onderhoud;2017 juli;102.6;1.7
283;4212b Spoorwegen Exploitatie/onderhoud;2017 oktober;103.5;2.3
284;4212b Spoorwegen Exploitatie/onderhoud;2018 januari;104.6;1.8
285;4212b Spoorwegen Exploitatie/onderhoud;2018 april;104.7;1.8
286;4212b Spoorwegen Exploitatie/onderhoud;2018 juli;106.1;3.4
287;4212b Spoorwegen Exploitatie/onderhoud;2018 oktober;106.7;3.2
288;4212b Spoorwegen Exploitatie/onderhoud;2019 januari;108.2;3.4
289;4212b Spoorwegen Exploitatie/onderhoud;2019 april;108.1;3.2
290;4212b Spoorwegen Exploitatie/onderhoud;2019 juli;108.4;2.2
291;4212b Spoorwegen Exploitatie/onderhoud;2019 oktober;109.0;2.1
292;4212b Spoorwegen Exploitatie/onderhoud;2020 januari;110.0;1.7
293;4212b Spoorwegen Exploitatie/onderhoud;2020 april;109.0;0.9
294;4212b Spoorwegen Exploitatie/onderhoud;2020 juli;110.2;1.6
295;4212b Spoorwegen Exploitatie/onderhoud;2020 oktober;111.0;1.9
296;4212b Spoorwegen Exploitatie/onderhoud;2021 januari;113.4;3.1
297;4212b Spoorwegen Exploitatie/onderhoud;2021 april;114.8;5.2
298;4212b Spoorwegen Exploitatie/onderhoud;2021 juli;118.6;7.6
299;4212b Spoorwegen Exploitatie/onderhoud;2021 oktober;123.3;11.1
300;4212b Spoorwegen Exploitatie/onderhoud;2022 januari;131.0;15.5
301;4212b Spoorwegen Exploitatie/onderhoud;2022 april;134.8;17.4
302;4212b Spoorwegen Exploitatie/onderhoud;2022 juli;138.8;17.1
303;4212b Spoorwegen Exploitatie/onderhoud;2022 oktober;139.3;13.0
304;4212b Spoorwegen Exploitatie/onderhoud;2023 januari;142.3;8.6
305;4212b Spoorwegen Exploitatie/onderhoud;2023 april;136.1;1.0
306;4212b Spoorwegen Exploitatie/onderhoud;2023 juli;133.6;-3.8
307;4212b Spoorwegen Exploitatie/onderhoud;2023 oktober;134.7;-3.3
308;4212b Spoorwegen Exploitatie/onderhoud;2024 januari;133.9;-6.0
309;4212b Spoorwegen Exploitatie/onderhoud;2024 april;132.0;-3.0
310;4212b Spoorwegen Exploitatie/onderhoud;2024 juli;134.4;0.6
311;4212b Spoorwegen Exploitatie/onderhoud;2024 oktober;135.9;0.9
312;"4213 Bruggen en tunnels; bouw van bru.";2012 januari;100.2;
313;"4213 Bruggen en tunnels; bouw van bru.";2012 april;100.6;
314;"4213 Bruggen en tunnels; bouw van bru.";2012 juli;100.6;
315;"4213 Bruggen en tunnels; bouw van bru.";2012 oktober;100.9;
316;"4213 Bruggen en tunnels; bouw van bru.";2013 januari;100.8;0.5
317;"4213 Bruggen en tunnels; bouw van bru.";2013 april;100.3;-0.3
318;"4213 Bruggen en tunnels; bouw van bru.";2013 juli;99.5;-1.1
319;"4213 Bruggen en tunnels; bouw van bru.";2013 oktober;99.9;-1.0
320;"4213 Bruggen en tunnels; bouw van bru.";2014 januari;100.7;-0.1
321;"4213 Bruggen en tunnels; bouw van bru.";2014 april;100.1;-0.2
322;"4213 Bruggen en tunnels; bouw van bru.";2014 juli;100.0;0.6
323;"4213 Bruggen en tunnels; bouw van bru.";2014 oktober;100.5;0.6
324;"4213 Bruggen en tunnels; bouw van bru.";2015 januari;99.9;-0.7
325;"4213 Bruggen en tunnels; bouw van bru.";2015 april;100.3;0.2
326;"4213 Bruggen en tunnels; bouw van bru.";2015 juli;100.5;0.4
327;"4213 Bruggen en tunnels; bouw van bru.";2015 oktober;99.7;-0.8
328;"4213 Bruggen en tunnels; bouw van bru.";2016 januari;99.1;-0.8
329;"4213 Bruggen en tunnels; bouw van bru.";2016 april;99.6;-0.7
330;"4213 Bruggen en tunnels; bouw van bru.";2016 juli;101.1;0.7
331;"4213 Bruggen en tunnels; bouw van bru.";2016 oktober;100.9;1.2
332;"4213 Bruggen en tunnels; bouw van bru.";2017 januari;102.4;3.3
333;"4213 Bruggen en tunnels; bouw van bru.";2017 april;103.5;4.0
334;"4213 Bruggen en tunnels; bouw van bru.";2017 juli;103.2;2.1
335;"4213 Bruggen en tunnels; bouw van bru.";2017 oktober;105.0;4.0
336;"4213 Bruggen en tunnels; bouw van bru.";2018 januari;106.0;3.5
337;"4213 Bruggen en tunnels; bouw van bru.";2018 april;106.3;2.7
338;"4213 Bruggen en tunnels; bouw van bru.";2018 juli;107.3;4.0
339;"4213 Bruggen en tunnels; bouw van bru.";2018 oktober;108.1;3.0
340;"4213 Bruggen en tunnels; bouw van bru.";2019 januari;108.6;2.5
341;"4213 Bruggen en tunnels; bouw van bru.";2019 april;108.7;2.3
342;"4213 Bruggen en tunnels; bouw van bru.";2019 juli;109.4;2.0
343;"4213 Bruggen en tunnels; bouw van bru.";2019 oktober;108.9;0.7
344;"4213 Bruggen en tunnels; bouw van bru.";2020 januari;110.4;1.6
345;"4213 Bruggen en tunnels; bouw van bru.";2020 april;109.8;1.0
346;"4213 Bruggen en tunnels; bouw van bru.";2020 juli;110.5;1.0
347;"4213 Bruggen en tunnels; bouw van bru.";2020 oktober;110.7;1.7
348;"4213 Bruggen en tunnels; bouw van bru.";2021 januari;114.7;3.9
349;"4213 Bruggen en tunnels; bouw van bru.";2021 april;116.2;5.9
350;"4213 Bruggen en tunnels; bouw van bru.";2021 juli;122.0;10.4
351;"4213 Bruggen en tunnels; bouw van bru.";2021 oktober;123.6;11.7
352;"4213 Bruggen en tunnels; bouw van bru.";2022 januari;127.5;11.2
353;"4213 Bruggen en tunnels; bouw van bru.";2022 april;138.8;19.5
354;"4213 Bruggen en tunnels; bouw van bru.";2022 juli;137.6;12.8
355;"4213 Bruggen en tunnels; bouw van bru.";2022 oktober;136.5;10.4
356;"4213 Bruggen en tunnels; bouw van bru.";2023 januari;136.2;6.8
357;"4213 Bruggen en tunnels; bouw van bru.";2023 april;136.5;-1.6
358;"4213 Bruggen en tunnels; bouw van bru.";2023 juli;134.9;-2.0
359;"4213 Bruggen en tunnels; bouw van bru.";2023 oktober;134.3;-1.6
360;"4213 Bruggen en tunnels; bouw van bru.";2024 januari;136.0;-0.1
361;"4213 Bruggen en tunnels; bouw van bru.";2024 april;136.0;-0.4
362;"4213 Bruggen en tunnels; bouw van bru.";2024 juli;138.7;2.8
363;"4213 Bruggen en tunnels; bouw van bru.";2024 oktober;137.7;2.6
364;4221 Civieltechnische werken en bouw.;2012 januari;95.4;
365;4221 Civieltechnische werken en bouw.;2012 april;96.1;
366;4221 Civieltechnische werken en bouw.;2012 juli;96.3;
367;4221 Civieltechnische werken en bouw.;2012 oktober;96.8;
368;4221 Civieltechnische werken en bouw.;2013 januari;96.6;1.3
369;4221 Civieltechnische werken en bouw.;2013 april;96.9;0.9
370;4221 Civieltechnische werken en bouw.;2013 juli;97.1;0.9
371;4221 Civieltechnische werken en bouw.;2013 oktober;97.1;0.2
372;4221 Civieltechnische werken en bouw.;2014 januari;97.7;1.1
373;4221 Civieltechnische werken en bouw.;2014 april;97.7;0.8
374;4221 Civieltechnische werken en bouw.;2014 juli;98.4;1.3
375;4221 Civieltechnische werken en bouw.;2014 oktober;101.3;4.3
376;4221 Civieltechnische werken en bouw.;2015 januari;100.3;2.7
377;4221 Civieltechnische werken en bouw.;2015 april;98.9;1.2
378;4221 Civieltechnische werken en bouw.;2015 juli;100.2;1.9
379;4221 Civieltechnische werken en bouw.;2015 oktober;100.0;-1.2
380;4221 Civieltechnische werken en bouw.;2016 januari;99.3;-1.0
381;4221 Civieltechnische werken en bouw.;2016 april;100.5;1.7
382;4221 Civieltechnische werken en bouw.;2016 juli;101.0;0.7
383;4221 Civieltechnische werken en bouw.;2016 oktober;101.6;1.6
384;4221 Civieltechnische werken en bouw.;2017 januari;103.5;4.2
385;4221 Civieltechnische werken en bouw.;2017 april;103.1;2.6
386;4221 Civieltechnische werken en bouw.;2017 juli;105.0;4.0
387;4221 Civieltechnische werken en bouw.;2017 oktober;104.5;2.8
388;4221 Civieltechnische werken en bouw.;2018 januari;107.2;3.7
389;4221 Civieltechnische werken en bouw.;2018 april;108.3;5.0
390;4221 Civieltechnische werken en bouw.;2018 juli;108.3;3.1
391;4221 Civieltechnische werken en bouw.;2018 oktober;110.0;5.3
392;4221 Civieltechnische werken en bouw.;2019 januari;110.4;2.9
393;4221 Civieltechnische werken en bouw.;2019 april;112.2;3.6
394;4221 Civieltechnische werken en bouw.;2019 juli;112.1;3.5
395;4221 Civieltechnische werken en bouw.;2019 oktober;112.5;2.2
396;4221 Civieltechnische werken en bouw.;2020 januari;116.3;5.4
397;4221 Civieltechnische werken en bouw.;2020 april;116.5;3.9
