ID;Perioden;Totaal_1;Totaal_2;Aanplantingen_3;Dieren_4;Totaal_5;Totaal_6;MachinesEnWerktuigen_7;Vervoermiddelen_8;Totaal_9;Bedrijfsgebouwen_10;AndereWerkenMUVGrondverbetering_11;Totaal_12;ImmaterieleActivaBVComputerSof_13;BelangrijkeGrondverbetering_14;KostenInVerbandMetDeEigendomsove_15;VerbruikVanVasteActiva_16;NettoInvesteringenInVasteActiva_17;VeranderingenInVoorraden_18;Kapitaaloverdrachten_19;Totaal_20;Totaal_21;Aanplantingen_22;Dieren_23;Totaal_24;Totaal_25;MachinesEnWerktuigen_26;Vervoermiddelen_27;Totaal_28;Bedrijfsgebouwen_29;AndereWerkenMUVGrondverbetering_30;Totaal_31;ImmaterieleActivaBVComputerSof_32;BelangrijkeGrondverbetering_33;KostenInVerbandMetDeEigendomsove_34;VerbruikVanVasteActiva_35;NettoInvesteringenInVasteActiva_36;VeranderingenInVoorraden_37;Kapitaaloverdrachten_38;Totaal_39;Totaal_40;Aanplantingen_41;Dieren_42;Totaal_43;Totaal_44;MachinesEnWerktuigen_45;Vervoermiddelen_46;Totaal_47;Bedrijfsgebouwen_48;AndereWerkenMUVGrondverbetering_49;Totaal_50;ImmaterieleActivaBVComputerSof_51;BelangrijkeGrondverbetering_52;KostenInVerbandMetDeEigendomsove_53;VerbruikVanVasteActiva_54;NettoInvesteringenInVasteActiva_55;VeranderingenInVoorraden_56;Kapitaaloverdrachten_57;Totaal_58;Totaal_59;Aanplantingen_60;Dieren_61;Totaal_62;Totaal_63;MachinesEnWerktuigen_64;Vervoermiddelen_65;Totaal_66;Bedrijfsgebouwen_67;AndereWerkenMUVGrondverbetering_68;Totaal_69;ImmaterieleActivaBVComputerSof_70;BelangrijkeGrondverbetering_71;KostenInVerbandMetDeEigendomsove_72;VerbruikVanVasteActiva_73;NettoInvesteringenInVasteActiva_74;VeranderingenInVoorraden_75;Kapitaaloverdrachten_76
10;2005;3070;229;82;147;2840;1012;950;62;1552;1552;;277;178;13;85;2685;385;6;0;3703;221;87;138;3474;1312;1255;66;1852;1852;;271;199;13;70;3116;548;;;2.7;-13.8;-1.6;-19.0;4.3;-4.9;-6.0;14.4;8.9;8.9;;18.7;41.9;-7.0;-9.1;-0.2;;;;82.9;103.6;94.6;106.7;81.8;77.1;75.7;94.4;83.8;83.8;;102.1;89.5;100.5;121.8;86.2;;;
11;2006;3203;202;81;121;3001;1198;1143;54;1553;1553;;250;167;22;62;2739;465;-4;0;3770;188;84;108;3583;1527;1483;59;1799;1799;;240;182;22;49;3107;637;;;1.8;-15.2;-3.2;-21.9;3.2;16.4;18.1;-10.1;-2.9;-2.9;;-11.5;-8.9;76.5;-30.1;-0.3;;;;85.0;107.7;96.7;112.3;83.7;78.4;77.1;92.6;86.3;86.3;;104.4;91.7;98.1;125.9;88.1;;;
12;2007;3889;309;86;223;3580;1607;1535;72;1678;1678;;296;179;24;93;2837;1053;37;0;4461;280;85;195;4167;2000;1944;75;1892;1892;;276;190;25;71;3143;1399;;;18.3;49.0;0.5;81.6;16.3;31.0;31.1;27.5;5.1;5.1;;15.1;4.6;9.4;45.4;1.2;;;;87.2;110.6;101.8;114.2;85.9;80.3;78.9;96.0;88.7;88.7;;107.3;94.4;98.0;130.1;90.3;;;
13;2008;4200;255;82;173;3945;1770;1697;73;1899;1899;;276;169;29;77;2980;1220;64;0;4695;236;78;159;4460;2163;2110;75;2060;2060;;250;175;28;58;3202;1600;;;5.2;-15.7;-7.5;-18.8;7.1;8.2;8.5;0.2;8.9;8.9;;-9.4;-7.7;14.2;-18.7;1.9;;;;89.5;108.1;104.5;109.2;88.5;81.8;80.4;97.3;92.2;92.2;;110.5;96.6;105.1;133.6;93.1;;;
14;2009;3896;271;76;195;3625;1502;1403;99;1857;1857;;266;156;36;73;3114;783;4;0;4218;251;70;182;3960;1775;1682;102;1933;1933;;242;160;37;56;3257;973;;;-10.1;6.5;-10.6;14.6;-11.2;-18.0;-20.3;35.7;-6.1;-6.1;;-3.0;-8.8;30.4;-3.0;1.7;;;;92.4;107.9;108.9;107.3;91.5;84.6;83.4;97.3;96.1;96.1;;109.6;97.9;98.8;130.0;95.6;;;
15;2010;4169;259;91;168;3911;1660;1463;197;1953;1953;;298;216;22;60;3215;955;15;0;4386;236;82;154;4147;1900;1692;203;1969;1969;;270;218;22;47;3301;1114;;;4.0;-6.0;17.0;-15.0;4.7;7.1;0.6;98.8;1.8;1.8;;11.5;36.2;-39.2;-16.4;1.3;;;;95.1;109.6;111.0;108.8;94.3;87.3;86.4;97.1;99.2;99.2;;110.3;99.2;98.7;127.9;97.4;;;
16;2011;5389;200;71;129;5190;2225;1992;234;2640;2640;;324;212;33;79;3286;2103;-56;0;5662;188;62;126;5489;2542;2301;238;2653;2653;;295;215;32;63;3377;2443;;;29.1;-20.5;-24.2;-18.4;32.4;33.7;36.0;17.2;34.7;34.7;;9.2;-1.1;44.2;33.3;2.3;;;;95.2;106.3;114.2;102.2;94.5;87.6;86.6;98.2;99.5;99.5;;109.8;98.6;101.8;126.3;97.3;;;
17;2012;4987;251;72;179;4736;1912;1701;211;2456;2456;;368;208;29;131;3413;1573;21;0;5222;252;75;178;4974;2088;1870;213;2468;2468;;381;210;27;146;3498;1819;;;-7.8;34.3;21.1;41.6;-9.4;-17.8;-18.7;-10.5;-7.0;-7.0;;29.2;-2.6;-15.3;132.9;3.6;;;;95.5;99.6;95.6;100.5;95.2;91.6;91.0;99.2;99.5;99.5;;96.5;99.1;105.5;89.9;97.6;;;
18;2013;4554;316;78;238;4238;2005;1834;171;1903;1903;;330;213;35;82;3567;987;0;0;4710;333;79;254;4376;2148;1977;171;1877;1877;;343;215;34;91;3614;1123;;;-9.8;31.9;5.6;42.5;-12.0;2.9;5.7;-19.8;-24.0;-24.0;;-9.9;2.6;25.4;-37.4;3.3;;;;96.7;94.9;98.1;93.6;96.8;93.3;92.8;100.2;101.4;101.4;;96.2;99.1;102.5;89.9;98.7;;;
19;2014;4870;333;112;221;4537;2087;1925;162;2077;2077;;372;221;40;111;3661;1209;-27;0;4967;348;113;234;4617;2186;2025;161;2034;2034;;384;223;40;119;3684;1327;;;5.5;4.6;42.3;-7.8;5.5;1.8;2.4;-5.3;8.4;8.4;;11.8;3.6;18.2;30.5;1.9;;;;98.0;95.7;99.0;94.3;98.3;95.5;95.1;100.1;102.1;102.1;;96.9;99.1;100.0;93.3;99.4;;;
20;2015;4458;356;102;254;4102;2153;1993;160;1646;1646;;303;145;39;119;3743;715;-36;0;4458;356;102;254;4102;2153;1993;160;1646;1646;;303;145;39;119;3743;715;;;-10.2;2.3;-9.8;8.5;-11.2;-1.5;-1.6;-0.8;-19.1;-19.1;;-21.1;-34.8;-4.4;0.0;1.6;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;
21;2016;4088;341;121;220;3746;1950;1759;191;1423;1423;;374;146;122;106;3820;267;-50;0;4080;364;121;243;3716;1913;1724;189;1434;1434;;368;146;123;99;3796;284;;;-8.5;2.2;18.6;-4.4;-9.4;-11.1;-13.5;17.7;-12.9;-12.9;;21.6;0.4;220.4;-16.8;1.4;;;;100.2;93.8;100.0;90.7;100.8;101.9;102.0;101.3;99.2;99.2;;101.6;99.8;99.2;107.1;100.6;;;
22;2017;4233;89;100;-11;4144;2370;2164;206;1414;1414;;360;153;101;106;3869;365;-25;0;4244;144;98;41;4083;2308;2105;203;1425;1425;;346;152;99;95;3815;438;;;4.0;-60.4;-19.0;-83.2;9.9;20.6;22.0;7.5;-0.6;-0.6;;-6.0;3.9;-19.7;-3.8;0.5;;;;99.8;62.0;102.0;-26.2;101.5;102.7;102.8;101.4;99.2;99.2;;104.1;101.0;102.2;111.3;101.4;;;
23;2018;4599;49;97;-48;4550;2605;2421;184;1498;1498;;447;178;146;123;3991;608;-60;0;4514;27;96;311;4421;2514;2333;181;1486;1486;;414;169;137;108;3878;685;;;6.4;-81.2;-2.0;660.6;8.3;8.9;10.8;-11.0;4.2;4.2;;19.6;11.7;38.3;13.2;1.7;;;;101.9;180.4;101.0;-15.5;102.9;103.6;103.8;102.0;100.9;100.9;;107.8;105.1;106.3;114.1;102.9;;;
24;2019;4918;141;102;39;4777;2819;2589;230;1548;1548;;409;192;125;92;4209;708;-3;0;4703;95;99;-456;4489;2609;2386;223;1504;1504;;371;178;114;81;3968;797;;;4.2;250.4;3.1;-246.8;1.5;3.8;2.3;23.5;1.2;1.2;;-10.5;4.9;-17.0;-25.2;2.3;;;;104.6;148.9;103.0;-8.6;106.4;108.1;108.5;103.2;103.0;103.0;;110.4;108.1;109.8;114.1;106.1;;;
25;2020;4985;283;103;180;4702;2969;2788;181;1296;1296;;437;217;141;79;4390;595;0;0;4703;192;99;-2147;4353;2733;2559;171;1216;1216;;388;196;127;68;4059;689;;;0.0;102.6;0.0;371.0;-3.0;4.7;7.2;-23.3;-19.2;-19.2;;4.6;10.1;11.5;-16.3;2.3;;;;106.0;147.3;104.0;-8.4;108.0;108.6;109.0;105.9;106.7;106.7;;112.7;110.6;111.4;117.0;108.1;;;
26;2021;4360;230;98;132;4130;2563;2387;176;1120;1120;;448;204;106;138;4587;-227;-18;0;3998;154;91;-1579;3713;2306;2141;164;1017;1017;;373;178;90;106;4122;-254;;;-15.0;-19.6;-7.8;-26.4;-14.7;-15.6;-16.3;-4.4;-16.3;-16.3;;-3.8;-9.3;-29.3;57.0;1.5;;;;109.1;149.2;107.3;-8.4;111.2;111.1;111.5;107.8;110.1;110.1;;120.0;114.8;118.1;130.2;111.3;;;
27;2022;4859;272;105;167;4587;2835;2641;195;1254;1254;;497;218;118;161;4932;-73;-12;0;4152;181;96;-2006;3827;2349;2178;168;1102;1102;;362;183;91;89;4134;-81;;;3.8;17.7;5.1;27.0;3.1;1.8;1.8;2.9;8.3;8.3;;-3.0;3.2;1.9;-15.9;0.3;;;;117.0;150.1;109.4;-8.3;119.8;120.7;121.2;115.7;113.8;113.8;;137.4;119.1;129.1;180.7;119.3;;;
