ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenWAOWIAUitkering_1;PersonenMetEenWajongUitkering_2
37;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;8;2006 september;63110;10500
38;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;8;2007 september;53880;11540
39;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2005 september;356170;83210
40;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2006 september;354500;85230
41;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2007 september;353690;87770
42;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2005 september;64040;10520
43;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2006 september;58900;11020
44;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2007 september;56080;11690
45;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2005 september;2130;370
46;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2006 september;1540;440
47;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2007 september;1530;620
48;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2005 september;1920;370
49;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2006 september;1180;470
50;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2007 september;1960;510
51;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2005 september;4860;630
52;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2006 september;3600;720
53;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2007 september;2320;830
54;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2005 september;4410;560
55;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2006 september;3990;590
56;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2007 september;3190;670
57;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;8;2005 september;9630;900
58;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;8;2006 september;7940;1000
59;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;8;2007 september;6890;1080
60;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2005 september;41090;7700
61;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2006 september;40640;7810
62;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2007 september;40200;7990
63;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2005 september;68200;9820
64;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2006 september;62140;11120
65;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2007 september;62160;12830
66;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2005 september;3080;640
67;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2006 september;2480;850
68;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2007 september;2320;1160
69;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2005 september;2630;610
70;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2006 september;1580;900
71;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2007 september;3900;1030
72;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2005 september;6570;1090
73;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2006 september;5060;1200
74;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2007 september;3510;1580
75;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2005 september;7050;900
76;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2006 september;5120;990
77;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2007 september;4550;1130
78;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;8;2005 september;10920;1380
79;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;8;2006 september;9410;1560
80;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;8;2007 september;8760;1750
81;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2005 september;37950;5210
82;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2006 september;38500;5620
83;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2007 september;39130;6180
84;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2005 september;2290;30660
85;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2006 september;1460;35280
86;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2007 september;1160;40730
87;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2005 september;150;3940
88;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2006 september;300;4790
89;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2007 september;240;5900
90;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2005 september;420;3700
91;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2006 september;130;5170
92;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2007 september;200;5250
93;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2005 september;830;6340
94;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2006 september;320;7170
95;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2007 september;220;8900
96;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2005 september;470;4980
97;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2006 september;380;5540
98;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2007 september;170;6620
99;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;8;2005 september;370;7220
100;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;8;2006 september;280;8010
101;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;8;2007 september;290;9070
102;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2005 september;60;4470
103;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2006 september;50;4590
104;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2007 september;50;4990
105;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2005 september;1770;24730
106;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2006 september;1150;28360
107;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2007 september;940;32520
108;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2005 september;110;3140
109;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2006 september;240;3790
110;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2007 september;180;4580
111;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2005 september;310;2970
112;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2006 september;100;4110
113;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2007 september;160;4090
114;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2005 september;640;5090
115;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2006 september;240;5750
116;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2007 september;180;7090
117;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2005 september;360;3980
118;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2006 september;290;4470
119;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2007 september;130;5330
120;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;8;2005 september;290;5860
121;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;8;2006 september;230;6460
122;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;8;2007 september;240;7330
123;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2005 september;50;3690
124;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2006 september;40;3790
125;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2007 september;40;4100
126;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2005 september;160;2000
127;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2006 september;100;2300
128;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2007 september;70;2630
129;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2005 september;10;260
130;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2006 september;20;320
131;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2007 september;20;400
132;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2005 september;30;250
133;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2006 september;10;330
134;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2007 september;10;350
135;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2005 september;60;400
136;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2006 september;20;480
137;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2007 september;20;580
138;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2005 september;30;340
139;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2006 september;30;340
140;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2007 september;10;430
141;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;8;2005 september;30;470
142;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;8;2006 september;20;530
143;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;8;2007 september;20;570
144;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2005 september;0;280
145;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2006 september;0;290
146;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2007 september;0;300
147;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2005 september;360;3930
148;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2006 september;220;4620
149;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2007 september;160;5580
150;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2005 september;30;540
151;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2006 september;40;690
152;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2007 september;40;920
153;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2005 september;80;490
154;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2006 september;20;720
155;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2007 september;30;810
156;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2005 september;130;850
157;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2006 september;60;940
158;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2007 september;20;1230
159;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2005 september;70;660
160;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2006 september;60;730
161;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2007 september;30;860
162;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;8;2005 september;50;900
163;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;8;2006 september;30;1020
164;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;8;2007 september;30;1170
165;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2005 september;0;500
166;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2006 september;0;510
167;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2007 september;10;590
168;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2005 september;37590;34040
169;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2006 september;27590;35090
170;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2007 september;24550;36800
171;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2005 september;1500;620
172;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2006 september;2240;850
173;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2007 september;2140;1220
174;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2005 september;2930;720
175;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2006 september;1550;920
176;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2007 september;2350;1100
177;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2005 september;6480;1390
178;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2006 september;3160;1440
179;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2007 september;2790;1800
180;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2005 september;5780;1390
181;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2006 september;4090;1490
182;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2007 september;2350;1480
183;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;8;2005 september;9140;3330
184;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;8;2006 september;6820;3280
185;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;8;2007 september;5800;3340
186;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2005 september;11760;26610
187;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2006 september;9730;27120
188;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2007 september;9120;27870
189;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2005 september;27330;28160
190;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2006 september;20010;28760
191;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2007 september;17530;29810
192;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2005 september;1040;490
193;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2006 september;1530;660
194;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2007 september;1410;880
195;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2005 september;2050;540
196;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2006 september;1080;710
197;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2007 september;1540;830
198;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2005 september;4480;1080
199;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2006 september;2160;1100
200;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2007 september;1910;1380
201;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2005 september;3930;1080
202;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2006 september;2830;1160
203;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2007 september;1610;1130
204;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;8;2005 september;6660;2710
205;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;8;2006 september;4890;2600
206;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;8;2007 september;4050;2600
207;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2005 september;9180;22270
208;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2006 september;7520;22540
209;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2007 september;7010;22990
210;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2005 september;2770;2550
211;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2006 september;2060;2610
212;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2007 september;1860;2780
213;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2005 september;110;60
214;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2006 september;190;80
215;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2007 september;190;130
216;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2005 september;250;80
217;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2006 september;120;80
218;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2007 september;200;100
219;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2005 september;570;130
220;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2006 september;260;140
221;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2007 september;230;150
222;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2005 september;450;140
223;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2006 september;360;140
224;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2007 september;190;140
225;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;8;2005 september;700;270
226;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;8;2006 september;540;290
227;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;8;2007 september;480;310
228;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2005 september;690;1870
229;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2006 september;590;1880
230;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2007 september;570;1950
231;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2005 september;7490;3330
232;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2006 september;5520;3720
233;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2007 september;5170;4220
234;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2005 september;350;80
235;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2006 september;520;120
236;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2007 september;550;200
237;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2005 september;630;100
238;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2006 september;350;130
239;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2007 september;610;170
240;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2005 september;1430;180
241;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2006 september;740;190
242;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2007 september;650;270
243;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2005 september;1410;170
244;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2006 september;910;200
245;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2007 september;550;210
246;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;8;2005 september;1780;340
247;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;8;2006 september;1390;390
248;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;8;2007 september;1270;430
249;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5 jaar of langer;2005 september;1890;2470
250;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5 jaar of langer;2006 september;1620;2690
251;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5 jaar of langer;2007 september;1540;2930
252;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;0;2005 september;111390;32360
253;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;0;2006 september;91820;33270
254;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;0;2007 september;84880;34290
255;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;1;2005 september;3510;250
256;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;1;2006 september;4070;330
257;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;1;2007 september;3780;490
258;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2;2005 september;5130;280
259;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2;2006 september;2910;310
260;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2;2007 september;5480;430
261;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;5;2005 september;11910;570
262;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;5;2006 september;6990;550
263;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;5;2007 september;5790;620
264;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;6;2005 september;11550;520
265;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;6;2006 september;8540;570
266;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;6;2007 september;5840;580
267;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;8;2005 september;21930;1060
268;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;8;2006 september;16440;1160
