ID;BedrijfstakkenBranchesSBI2008;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2017_2;Waardemutatie_3;Volumemutatie_4
43;H+J Vervoer, informatie en communicatie;2018;38.0;39.0;-17.5;-15.5
44;H+J Vervoer, informatie en communicatie;2019;38.0;38.0;1.5;-3.0
45;H+J Vervoer, informatie en communicatie;2020;40.0;35.0;5.1;-7.5
46;H+J Vervoer, informatie en communicatie;2021;46.0;37.0;13.7;5.5
47;H+J Vervoer, informatie en communicatie;2022;39.0;34.0;-14.8;-6.5
48;I Horeca;2017;44.0;44.0;;
49;I Horeca;2018;50.0;52.0;13.9;19.3
50;I Horeca;2019;56.0;58.0;12.1;11.2
51;I Horeca;2020;28.0;27.0;-50.2;-53.5
52;I Horeca;2021;50.0;40.0;79.7;47.1
53;I Horeca;2022;74.0;58.0;47.1;45.5
54;K Financiële dienstverlening;2017;24.0;24.0;;
55;K Financiële dienstverlening;2018;27.0;28.0;15.2;18.8
56;K Financiële dienstverlening;2019;28.0;29.0;2.8;2.9
57;K Financiële dienstverlening;2020;28.0;28.0;0.3;-2.1
58;K Financiële dienstverlening;2021;29.0;30.0;4.2;4.8
59;K Financiële dienstverlening;2022;30.0;27.0;1.2;-9.6
60;L Verhuur en handel van onroerend goed;2017;22.0;22.0;;
61;L Verhuur en handel van onroerend goed;2018;25.0;25.0;13.4;9.5
62;L Verhuur en handel van onroerend goed;2019;26.0;25.0;3.3;1.7
63;L Verhuur en handel van onroerend goed;2020;25.0;24.0;-4.7;-2.3
64;L Verhuur en handel van onroerend goed;2021;27.0;25.0;6.8;3.3
65;L Verhuur en handel van onroerend goed;2022;35.0;30.0;30.5;17.5
66;M-N Zakelijke dienstverlening;2017;44.0;44.0;;
67;M-N Zakelijke dienstverlening;2018;52.0;50.0;17.3;12.8
68;M-N Zakelijke dienstverlening;2019;55.0;53.0;5.8;6.5
69;M-N Zakelijke dienstverlening;2020;53.0;53.0;-3.5;0.7
70;M-N Zakelijke dienstverlening;2021;64.0;63.0;21.8;17.7
71;M-N Zakelijke dienstverlening;2022;60.0;64.0;-6.3;2.6
72;O Openbaar bestuur en overheidsdiensten;2017;52.0;52.0;;
73;O Openbaar bestuur en overheidsdiensten;2018;53.0;52.0;1.6;0.3
74;O Openbaar bestuur en overheidsdiensten;2019;57.0;55.0;6.9;5.7
75;O Openbaar bestuur en overheidsdiensten;2020;61.0;57.0;7.6;3.2
76;O Openbaar bestuur en overheidsdiensten;2021;67.0;60.0;9.1;4.1
77;O Openbaar bestuur en overheidsdiensten;2022;72.0;70.0;8.6;17.1
78;P Onderwijs;2017;29.0;29.0;;
79;P Onderwijs;2018;28.0;29.0;-2.6;1.1
80;P Onderwijs;2019;29.0;30.0;4.0;3.2
81;P Onderwijs;2020;32.0;31.0;10.1;4.8
82;P Onderwijs;2021;36.0;32.0;13.8;2.0
83;P Onderwijs;2022;41.0;33.0;12.0;2.2
84;Q Gezondheids- en welzijnszorg;2017;51.0;51.0;;
85;Q Gezondheids- en welzijnszorg;2018;50.0;49.0;-2.2;-4.4
86;Q Gezondheids- en welzijnszorg;2019;54.0;51.0;7.7;3.9
87;Q Gezondheids- en welzijnszorg;2020;56.0;52.0;3.6;2.1
88;Q Gezondheids- en welzijnszorg;2021;62.0;55.0;11.2;5.5
89;Q Gezondheids- en welzijnszorg;2022;67.0;57.0;6.8;3.3
90;R-U Cultuur, recreatie, overige diensten;2017;25.0;25.0;;
91;R-U Cultuur, recreatie, overige diensten;2018;26.0;26.0;3.1;3.6
92;R-U Cultuur, recreatie, overige diensten;2019;28.0;27.0;9.6;4.1
93;R-U Cultuur, recreatie, overige diensten;2020;18.0;15.0;-37.3;-43.1
94;R-U Cultuur, recreatie, overige diensten;2021;21.0;20.0;18.7;28.1
95;R-U Cultuur, recreatie, overige diensten;2022;32.0;29.0;50.1;45.8
