ID;Perioden;TotaalIngeschrevenUWVWerkbedrijf_1;GeregistreerdeWerklozen_2;WerkzameBeroepsbevolking_3;NietBeschikbaarVoorDeArbeidsmarkt_4;TotaalIngeschrevenUWVWerkbedrijf_5;GeregistreerdeWerklozen_6;WerkzameBeroepsbevolking_7;NietBeschikbaarVoorDeArbeidsmarkt_8
57;1999 3e kwartaal;740;212;301;226;100;29;41;31
58;1999 4e kwartaal;724;189;277;258;100;26;38;36
59;1999;772;221;308;243;100;29;40;31
60;2000 1e kwartaal;716;217;261;238;100;30;37;33
61;2000 2e kwartaal;680;173;262;245;100;25;39;36
62;2000 3e kwartaal;654;176;256;222;100;27;39;34
63;2000 4e kwartaal;644;186;228;230;100;29;35;36
64;2000;674;188;252;234;100;28;37;35
65;2001 1e kwartaal;601;175;213;213;100;29;35;35
66;2001 2e kwartaal;544;130;184;230;100;24;34;42
67;2001 3e kwartaal;536;148;164;225;100;28;31;42
68;2001 4e kwartaal;556;148;164;245;100;27;29;44
69;2001;559;150;181;228;100;27;32;41
70;2002 1e kwartaal;582;173;158;250;100;30;27;43
71;2002 2e kwartaal;555;168;148;239;100;30;27;43
72;2002 3e kwartaal;559;181;149;228;100;32;27;41
73;2002 4e kwartaal;594;196;163;235;100;33;27;40
74;2002;573;180;155;238;100;31;27;42
75;2003 1e kwartaal;651;253;159;239;100;39;24;37
76;2003 2e kwartaal;662;258;155;249;100;39;23;38
77;2003 3e kwartaal;689;275;163;251;100;40;24;36
78;2003 4e kwartaal;728;299;168;261;100;41;23;36
79;2003;683;271;161;250;100;40;24;37
80;2004 1e kwartaal;775;345;172;258;100;45;22;33
81;2004 2e kwartaal;761;329;162;270;100;43;21;35
82;2004 3e kwartaal;751;331;169;251;100;44;23;33
83;2004 4e kwartaal;740;326;167;247;100;44;23;33
84;2004;757;333;168;257;100;44;22;34
85;2005 1e kwartaal;755;356;165;234;100;47;22;31
86;2005 2e kwartaal;727;335;164;228;100;46;23;31
87;2005 3e kwartaal;723;322;167;233;100;45;23;32
88;2005 4e kwartaal;703;308;163;232;100;44;23;33
89;2005;727;330;165;232;100;46;23;32
90;2006 1e kwartaal;707;316;164;226;100;45;23;32
91;2006 2e kwartaal;672;289;155;228;100;43;23;34
92;2006 3e kwartaal;636;250;150;236;100;39;24;37
93;2006 4e kwartaal;606;230;143;234;100;38;24;39
94;2006;655;271;153;231;100;41;24;36
95;2007 1e kwartaal;583;229;135;218;100;39;23;37
96;2007 2e kwartaal;536;196;128;213;100;37;24;40
97;2007 3e kwartaal;508;174;124;210;100;34;24;41
98;2007 4e kwartaal;481;165;111;205;100;34;23;43
99;2007;527;191;125;212;100;36;24;40
100;2008 1e kwartaal;478;171;118;190;100;36;25;40
101;2008 2e kwartaal;451;155;110;186;100;34;24;41
102;2008 3e kwartaal;443;141;112;190;100;32;25;43
103;2008 4e kwartaal;433;144;106;183;100;33;24;42
104;2008;451;153;112;187;100;34;25;42
105;2009 1e kwartaal;461;176;106;179;100;38;23;39
106;2009 2e kwartaal;488;197;112;179;100;40;23;37
107;2009 3e kwartaal;507;205;113;188;100;40;22;37
108;2009 4e kwartaal;521;226;112;183;100;43;21;35
109;2009;494;201;111;182;100;40;22;37
110;2010 1e kwartaal;570;259;124;186;100;45;22;33
111;2010 2e kwartaal;550;245;130;175;100;45;24;32
112;2010 3e kwartaal;537;213;148;176;100;40;28;33
113;2010 4e kwartaal;528;205;146;176;100;39;28;33
114;2010;546;231;137;178;100;42;26;33
115;2011 1e kwartaal;536;223;148;165;100;42;28;31
116;2011 2e kwartaal;527;205;154;168;100;39;29;32
117;2011 3e kwartaal;507;202;139;166;100;40;27;33
118;2011 4e kwartaal;515;221;143;151;100;43;28;29
119;2011;521;213;146;163;100;41;28;31
120;2012 1e kwartaal;566;250;161;155;100;44;28;27
121;2012 2e kwartaal;562;247;160;156;100;44;28;28
122;2012 3e kwartaal;552;250;163;139;100;45;30;25
123;2012 4e kwartaal;580;259;169;151;100;45;29;26
124;2012;565;252;163;150;100;45;29;27
125;2013 1e kwartaal;660;315;174;171;100;48;26;26
126;2013 2e kwartaal;689;327;182;180;100;47;26;26
127;2013 3e kwartaal;699;327;192;180;100;47;27;26
128;2013 4e kwartaal;802;369;214;219;100;46;27;27
129;2013;713;335;191;188;100;47;27;26
130;2014 1e kwartaal;824;391;209;224;100;47;25;27
131;2014 2e kwartaal;845;392;215;239;100;46;25;28
132;2014 3e kwartaal;844;372;219;252;100;44;26;30
