ID;Wegvoertuigen;BrandstofsoortVoertuig;Perioden;TotaalVerkochteWegvoertuigen_1;NieuwVerkochteWegvoertuigen_2;TweedehandsVerkochteWegvoertuigen_3
133;Totaal wegvoertuigen;Totaal;2014 december;296131;43161;252970
134;Totaal wegvoertuigen;Totaal;2014 4e kwartaal;922360;130909;791451
135;Totaal wegvoertuigen;Totaal;2014;3791967;524597;3267370
136;Totaal wegvoertuigen;Totaal;2015 januari;347629;59867;287762
137;Totaal wegvoertuigen;Totaal;2015 februari;301256;43362;257894
138;Totaal wegvoertuigen;Totaal;2015 maart;335095;43209;291886
139;Totaal wegvoertuigen;Totaal;2015 1e kwartaal;983980;146438;837542
140;Totaal wegvoertuigen;Totaal;2015 april;324576;40679;283897
141;Totaal wegvoertuigen;Totaal;2015 mei;322419;41469;280950
142;Totaal wegvoertuigen;Totaal;2015 juni;357180;53147;304033
143;Totaal wegvoertuigen;Totaal;2015 2e kwartaal;1004175;135295;868880
144;Totaal wegvoertuigen;Totaal;2015 juli;340317;48875;291442
145;Totaal wegvoertuigen;Totaal;2015 augustus;301188;43256;257932
146;Totaal wegvoertuigen;Totaal;2015 september;325891;47856;278035
147;Totaal wegvoertuigen;Totaal;2015 3e kwartaal;967396;139987;827409
148;Totaal wegvoertuigen;Totaal;2015 oktober;339528;50385;289143
149;Totaal wegvoertuigen;Totaal;2015 november;314583;50086;264497
150;Totaal wegvoertuigen;Totaal;2015 december;351449;76736;274713
151;Totaal wegvoertuigen;Totaal;2015 4e kwartaal;1005560;177207;828353
152;Totaal wegvoertuigen;Totaal;2015;3961111;598927;3362184
153;Totaal wegvoertuigen;Totaal;2016 januari;340537;54089;286448
154;Totaal wegvoertuigen;Totaal;2016 februari;327405;40782;286623
155;Totaal wegvoertuigen;Totaal;2016 maart;356018;46420;309598
156;Totaal wegvoertuigen;Totaal;2016 1e kwartaal;1023960;141291;882669
157;Totaal wegvoertuigen;Totaal;2016 april;347300;42827;304473
158;Totaal wegvoertuigen;Totaal;2016 mei;337328;44101;293227
159;Totaal wegvoertuigen;Totaal;2016 juni;382515;57985;324530
160;Totaal wegvoertuigen;Totaal;2016 2e kwartaal;1067143;144913;922230
161;Totaal wegvoertuigen;Totaal;2016 juli;343761;45703;298058
162;Totaal wegvoertuigen;Totaal;2016 augustus;311453;40104;271349
163;Totaal wegvoertuigen;Totaal;2016 september;337614;48384;289230
164;Totaal wegvoertuigen;Totaal;2016 3e kwartaal;992828;134191;858637
165;Totaal wegvoertuigen;Totaal;2016 oktober;336332;42456;293876
166;Totaal wegvoertuigen;Totaal;2016 november;324840;43768;281072
167;Totaal wegvoertuigen;Totaal;2016 december;319144;43921;275223
168;Totaal wegvoertuigen;Totaal;2016 4e kwartaal;980316;130145;850171
169;Totaal wegvoertuigen;Totaal;2016;4064247;550540;3513707
170;Totaal wegvoertuigen;Totaal;2017 januari;361341;66130;295211
171;Totaal wegvoertuigen;Totaal;2017 februari;322420;43619;278801
172;Totaal wegvoertuigen;Totaal;2017 maart;379025;54891;324134
173;Totaal wegvoertuigen;Totaal;2017 1e kwartaal;1062786;164640;898146
174;Totaal wegvoertuigen;Totaal;2017 april;326133;43452;282681
175;Totaal wegvoertuigen;Totaal;2017 mei;367410;53198;314212
176;Totaal wegvoertuigen;Totaal;2017 juni;382082;60821;321261
177;Totaal wegvoertuigen;Totaal;2017 2e kwartaal;1075625;157471;918154
178;Totaal wegvoertuigen;Totaal;2017 juli;358095;48286;309809
179;Totaal wegvoertuigen;Totaal;2017 augustus;330333;43264;287069
180;Totaal wegvoertuigen;Totaal;2017 september;344323;49876;294447
181;Totaal wegvoertuigen;Totaal;2017 3e kwartaal;1032751;141426;891325
182;Totaal wegvoertuigen;Totaal;2017 oktober;346159;49627;296532
183;Totaal wegvoertuigen;Totaal;2017 november;341263;50793;290470
184;Totaal wegvoertuigen;Totaal;2017 december;303080;39598;263482
185;Totaal wegvoertuigen;Totaal;2017 4e kwartaal;990502;140018;850484
186;Totaal wegvoertuigen;Totaal;2017;4161664;603555;3558109
187;Totaal wegvoertuigen;Totaal;2018 januari;384795;73424;311371
188;Totaal wegvoertuigen;Totaal;2018 februari;329781;46253;283528
189;Totaal wegvoertuigen;Totaal;2018 maart;381033;57020;324013
190;Totaal wegvoertuigen;Totaal;2018 1e kwartaal;1095609;176697;918912
191;Totaal wegvoertuigen;Totaal;2018 april;337997;47715;290282
192;Totaal wegvoertuigen;Totaal;2018 mei;369668;52740;316928
193;Totaal wegvoertuigen;Totaal;2018 juni;398024;65089;332935
194;Totaal wegvoertuigen;Totaal;2018 2e kwartaal;1105689;165544;940145
195;Totaal wegvoertuigen;Totaal;2018 juli;364022;52113;311909
196;Totaal wegvoertuigen;Totaal;2018 augustus;345022;56048;288974
197;Totaal wegvoertuigen;Totaal;2018 september;331371;43270;288101
198;Totaal wegvoertuigen;Totaal;2018 3e kwartaal;1040415;151431;888984
199;Totaal wegvoertuigen;Totaal;2018 oktober;349893;43873;306020
200;Totaal wegvoertuigen;Totaal;2018 november;337032;47658;289374
201;Totaal wegvoertuigen;Totaal;2018 december;285855;27774;258081
202;Totaal wegvoertuigen;Totaal;2018 4e kwartaal;972780;119305;853475
203;Totaal wegvoertuigen;Totaal;2018;4214493;612977;3601516
204;Totaal wegvoertuigen;Totaal;2019 januari;365049;63313;301736
205;Totaal wegvoertuigen;Totaal;2019 februari;331241;42673;288568
206;Totaal wegvoertuigen;Totaal;2019 maart;361816;55361;306455
207;Totaal wegvoertuigen;Totaal;2019 1e kwartaal;1058106;161347;896759
208;Totaal wegvoertuigen;Totaal;2019 april;343442;47858;295584
209;Totaal wegvoertuigen;Totaal;2019 mei;385444;53198;332246
210;Totaal wegvoertuigen;Totaal;2019 juni;355998;58801;297197
211;Totaal wegvoertuigen;Totaal;2019 2e kwartaal;1084884;159857;925027
212;Totaal wegvoertuigen;Totaal;2019 juli;360532;48866;311666
213;Totaal wegvoertuigen;Totaal;2019 augustus;338593;48394;290199
214;Totaal wegvoertuigen;Totaal;2019 september;335313;50484;284829
215;Totaal wegvoertuigen;Totaal;2019 3e kwartaal;1034438;147744;886694
216;Totaal wegvoertuigen;Totaal;2019 oktober;361951;45653;316298
217;Totaal wegvoertuigen;Totaal;2019 november;356091;50876;305215
218;Totaal wegvoertuigen;Totaal;2019 december;325816;50107;275709
219;Totaal wegvoertuigen;Totaal;2019 4e kwartaal;1043858;146636;897222
220;Totaal wegvoertuigen;Totaal;2019;4221286;615584;3605702
221;Totaal wegvoertuigen;Totaal;2020 januari;384738;58660;326078
222;Totaal wegvoertuigen;Totaal;2020 februari;344233;41656;302577
223;Totaal wegvoertuigen;Totaal;2020 maart;329390;43273;286117
224;Totaal wegvoertuigen;Totaal;2020 1e kwartaal;1058361;143589;914772
225;Totaal wegvoertuigen;Totaal;2020 april;290990;27899;263091
226;Totaal wegvoertuigen;Totaal;2020 mei;369875;29342;340533
227;Totaal wegvoertuigen;Totaal;2020 juni;389282;41726;347556
228;Totaal wegvoertuigen;Totaal;2020 2e kwartaal;1050147;98967;951180
229;Totaal wegvoertuigen;Totaal;2020 juli;400677;52810;347867
230;Totaal wegvoertuigen;Totaal;2020 augustus;342296;43069;299227
231;Totaal wegvoertuigen;Totaal;2020 september;360114;45796;314318
232;Totaal wegvoertuigen;Totaal;2020 3e kwartaal;1103087;141675;961412
233;Totaal wegvoertuigen;Totaal;2020 oktober;371464;46297;325167
234;Totaal wegvoertuigen;Totaal;2020 november;335415;46323;289092
235;Totaal wegvoertuigen;Totaal;2020 december;340958;55658;285300
236;Totaal wegvoertuigen;Totaal;2020 4e kwartaal;1047837;148278;899559
237;Totaal wegvoertuigen;Totaal;2020;4259432;532509;3726923
238;Totaal wegvoertuigen;Totaal;2021 januari;339259;48603;290656
239;Totaal wegvoertuigen;Totaal;2021 februari;306948;34075;272873
240;Totaal wegvoertuigen;Totaal;2021 maart;387411;42497;344914
241;Totaal wegvoertuigen;Totaal;2021 1e kwartaal;1033618;125175;908443
242;Totaal wegvoertuigen;Totaal;2021 april;364350;40913;323437
243;Totaal wegvoertuigen;Totaal;2021 mei;373823;42906;330917
244;Totaal wegvoertuigen;Totaal;2021 juni;394428;51651;342777
245;Totaal wegvoertuigen;Totaal;2021 2e kwartaal;1132601;135470;997131
246;Totaal wegvoertuigen;Totaal;2021 juli;374402;42692;331710
247;Totaal wegvoertuigen;Totaal;2021 augustus;318686;34910;283776
248;Totaal wegvoertuigen;Totaal;2021 september;336909;37654;299255
249;Totaal wegvoertuigen;Totaal;2021 3e kwartaal;1029997;115256;914741
250;Totaal wegvoertuigen;Totaal;2021 oktober;334275;36766;297509
251;Totaal wegvoertuigen;Totaal;2021 november;316410;39022;277388
252;Totaal wegvoertuigen;Totaal;2021 december;323005;46396;276609
253;Totaal wegvoertuigen;Totaal;2021 4e kwartaal;973690;122184;851506
254;Totaal wegvoertuigen;Totaal;2021;4169906;498085;3671821
255;Totaal wegvoertuigen;Totaal;2022 januari;348181;43472;304709
256;Totaal wegvoertuigen;Totaal;2022 februari;308915;34150;274765
257;Totaal wegvoertuigen;Totaal;2022 maart;342859;40787;302072
258;Totaal wegvoertuigen;Totaal;2022 1e kwartaal;999955;118409;881546
259;Totaal wegvoertuigen;Totaal;2022 april;317984;36778;281206
260;Totaal wegvoertuigen;Totaal;2022 mei;323033;38380;284653
261;Totaal wegvoertuigen;Totaal;2022 juni;338120;46122;291998
262;Totaal wegvoertuigen;Totaal;2022 2e kwartaal;979137;121280;857857
263;Totaal wegvoertuigen;Totaal;2022 juli;317748;35779;281969
264;Totaal wegvoertuigen;Totaal;2022 augustus;297610;35305;262305
265;Totaal wegvoertuigen;Totaal;2022 september;309911;38106;271805
266;Totaal wegvoertuigen;Totaal;2022 3e kwartaal;925269;109190;816079
267;Totaal wegvoertuigen;Totaal;2022 oktober;309410;39893;269517
268;Totaal wegvoertuigen;Totaal;2022 november;308576;39329;269247
269;Totaal wegvoertuigen;Totaal;2022 december;295142;41012;254130
270;Totaal wegvoertuigen;Totaal;2022 4e kwartaal;913128;120234;792894
271;Totaal wegvoertuigen;Totaal;2022;3817489;469113;3348376
272;Totaal wegvoertuigen;Totaal;2023 januari;333261;44796;288465
273;Totaal wegvoertuigen;Totaal;2023 februari;311475;39589;271886
274;Totaal wegvoertuigen;Totaal;2023 maart;365879;51845;314034
275;Totaal wegvoertuigen;Totaal;2023 1e kwartaal;1010615;136230;874385
276;Totaal wegvoertuigen;Totaal;2023 april;322392;41338;281054
277;Totaal wegvoertuigen;Totaal;2023 mei;346397;45808;300589
278;Totaal wegvoertuigen;Totaal;2023 juni;374572;56435;318137
279;Totaal wegvoertuigen;Totaal;2023 2e kwartaal;1043361;143581;899780
280;Totaal wegvoertuigen;Totaal;2023 juli;350233;41064;309169
281;Totaal wegvoertuigen;Totaal;2023 augustus;319513;39784;279729
282;Totaal wegvoertuigen;Totaal;2023 september;333426;42200;291226
283;Totaal wegvoertuigen;Totaal;2023 3e kwartaal;1003172;123048;880124
284;Totaal wegvoertuigen;Totaal;2023 oktober;336319;39329;296990
285;Totaal wegvoertuigen;Totaal;2023 november;329778;38133;291645
286;Totaal wegvoertuigen;Totaal;2023 december;308564;34474;274090
287;Totaal wegvoertuigen;Totaal;2023 4e kwartaal;974661;111936;862725
288;Totaal wegvoertuigen;Totaal;2023;4031809;514795;3517014
289;Totaal wegvoertuigen;Totaal;2024 januari;358783;45987;312796
290;Totaal wegvoertuigen;Totaal;2024 februari;344862;42376;302486
291;Totaal wegvoertuigen;Totaal;2024 maart;388370;53246;335124
292;Totaal wegvoertuigen;Totaal;2024 1e kwartaal;1092015;141609;950406
293;Totaal wegvoertuigen;Totaal;2024 april;361636;43227;318409
294;Totaal wegvoertuigen;Totaal;2024 mei;370647;43454;327193
295;Totaal wegvoertuigen;Totaal;2024 juni;367023;50976;316047
296;Totaal wegvoertuigen;Totaal;2024 2e kwartaal;1099306;137657;961649
297;Totaal wegvoertuigen;Totaal;2024 juli;362168;40997;321171
298;Totaal wegvoertuigen;Totaal;2024 augustus;334482;40552;293930
299;Totaal wegvoertuigen;Totaal;2024 september;348392;45821;302571
300;Totaal wegvoertuigen;Totaal;2024 3e kwartaal;1045042;127370;917672
301;Totaal wegvoertuigen;Totaal;2024 oktober;382339;49405;332934
302;Totaal wegvoertuigen;Totaal;2024 november;372055;54456;317599
303;Totaal wegvoertuigen;Totaal;2024 december;378791;79552;299239
304;Totaal wegvoertuigen;Totaal;2024 4e kwartaal;1133185;183413;949772
305;Totaal wegvoertuigen;Totaal;2024;4369548;590049;3779499
306;Totaal wegvoertuigen;Totaal;2025 januari;382350;40148;342202
307;Totaal wegvoertuigen;Totaal;2025 februari;348961;33388;315573
308;Totaal wegvoertuigen;Totaal;2025 maart;383077;39396;343681
309;Totaal wegvoertuigen;Totaal;2025 1e kwartaal;1114388;112932;1001456
310;Totaal wegvoertuigen;Benzine;2007 januari;245142;52595;192547
311;Totaal wegvoertuigen;Benzine;2007 februari;212919;32526;180393
312;Totaal wegvoertuigen;Benzine;2007 maart;248652;44584;204068
313;Totaal wegvoertuigen;Benzine;2007 1e kwartaal;706713;129705;577008
314;Totaal wegvoertuigen;Benzine;2007 april;214373;35415;178958
315;Totaal wegvoertuigen;Benzine;2007 mei;230470;38226;192244
316;Totaal wegvoertuigen;Benzine;2007 juni;262114;47793;214321
317;Totaal wegvoertuigen;Benzine;2007 2e kwartaal;706957;121434;585523
318;Totaal wegvoertuigen;Benzine;2007 juli;230406;35202;195204
319;Totaal wegvoertuigen;Benzine;2007 augustus;230185;38430;191755
320;Totaal wegvoertuigen;Benzine;2007 september;213614;36664;176950
321;Totaal wegvoertuigen;Benzine;2007 3e kwartaal;674205;110296;563909
322;Totaal wegvoertuigen;Benzine;2007 oktober;226574;34915;191659
323;Totaal wegvoertuigen;Benzine;2007 november;227596;30872;196724
324;Totaal wegvoertuigen;Benzine;2007 december;174380;11052;163328
325;Totaal wegvoertuigen;Benzine;2007 4e kwartaal;628550;76839;551711
326;Totaal wegvoertuigen;Benzine;2007;2716425;438274;2278151
327;Totaal wegvoertuigen;Benzine;2008 januari;257101;51233;205868
328;Totaal wegvoertuigen;Benzine;2008 februari;246572;42488;204084
329;Totaal wegvoertuigen;Benzine;2008 maart;248103;41850;206253
330;Totaal wegvoertuigen;Benzine;2008 1e kwartaal;751776;135571;616205
331;Totaal wegvoertuigen;Benzine;2008 april;255386;39026;216360
332;Totaal wegvoertuigen;Benzine;2008 mei;259883;45426;214457
333;Totaal wegvoertuigen;Benzine;2008 juni;261168;47569;213599
334;Totaal wegvoertuigen;Benzine;2008 2e kwartaal;776437;132021;644416
335;Totaal wegvoertuigen;Benzine;2008 juli;247227;39969;207258
336;Totaal wegvoertuigen;Benzine;2008 augustus;235852;39900;195952
337;Totaal wegvoertuigen;Benzine;2008 september;243348;39736;203612
338;Totaal wegvoertuigen;Benzine;2008 3e kwartaal;726427;119605;606822
339;Totaal wegvoertuigen;Benzine;2008 oktober;248313;37086;211227
340;Totaal wegvoertuigen;Benzine;2008 november;206319;26952;179367
341;Totaal wegvoertuigen;Benzine;2008 december;177703;10622;167081
342;Totaal wegvoertuigen;Benzine;2008 4e kwartaal;632335;74660;557675
343;Totaal wegvoertuigen;Benzine;2008;2886975;461857;2425118
344;Totaal wegvoertuigen;Benzine;2009 januari;235949;45557;190392
345;Totaal wegvoertuigen;Benzine;2009 februari;208208;30022;178186
346;Totaal wegvoertuigen;Benzine;2009 maart;240374;34266;206108
347;Totaal wegvoertuigen;Benzine;2009 1e kwartaal;684531;109845;574686
348;Totaal wegvoertuigen;Benzine;2009 april;231239;32228;199011
349;Totaal wegvoertuigen;Benzine;2009 mei;239870;32998;206872
350;Totaal wegvoertuigen;Benzine;2009 juni;256464;38401;218063
351;Totaal wegvoertuigen;Benzine;2009 2e kwartaal;727573;103627;623946
352;Totaal wegvoertuigen;Benzine;2009 juli;245504;37155;208349
353;Totaal wegvoertuigen;Benzine;2009 augustus;215978;32168;183810
354;Totaal wegvoertuigen;Benzine;2009 september;231899;36985;194914
355;Totaal wegvoertuigen;Benzine;2009 3e kwartaal;693381;106308;587073
356;Totaal wegvoertuigen;Benzine;2009 oktober;238848;35955;202893
357;Totaal wegvoertuigen;Benzine;2009 november;203843;28372;175471
358;Totaal wegvoertuigen;Benzine;2009 december;174316;11690;162626
359;Totaal wegvoertuigen;Benzine;2009 4e kwartaal;617007;76017;540990
360;Totaal wegvoertuigen;Benzine;2009;2722492;395797;2326695
361;Totaal wegvoertuigen;Benzine;2010 januari;229986;54355;175631
362;Totaal wegvoertuigen;Benzine;2010 februari;214034;35454;178580
363;Totaal wegvoertuigen;Benzine;2010 maart;267743;46682;221061
364;Totaal wegvoertuigen;Benzine;2010 1e kwartaal;711763;136491;575272
365;Totaal wegvoertuigen;Benzine;2010 april;252208;40364;211844
366;Totaal wegvoertuigen;Benzine;2010 mei;237502;39110;198392
367;Totaal wegvoertuigen;Benzine;2010 juni;271734;54365;217369
368;Totaal wegvoertuigen;Benzine;2010 2e kwartaal;761444;133839;627605
369;Totaal wegvoertuigen;Benzine;2010 juli;249166;43961;205205
370;Totaal wegvoertuigen;Benzine;2010 augustus;236194;36339;199855
371;Totaal wegvoertuigen;Benzine;2010 september;251010;40862;210148
372;Totaal wegvoertuigen;Benzine;2010 3e kwartaal;736370;121162;615208
373;Totaal wegvoertuigen;Benzine;2010 oktober;250892;36256;214636
374;Totaal wegvoertuigen;Benzine;2010 november;225491;29018;196473
375;Totaal wegvoertuigen;Benzine;2010 december;183072;10622;172450
376;Totaal wegvoertuigen;Benzine;2010 4e kwartaal;659455;75896;583559
377;Totaal wegvoertuigen;Benzine;2010;2869032;467388;2401644
378;Totaal wegvoertuigen;Benzine;2011 januari;254124;56431;197693
379;Totaal wegvoertuigen;Benzine;2011 februari;242890;39926;202964
380;Totaal wegvoertuigen;Benzine;2011 maart;271887;46744;225143
381;Totaal wegvoertuigen;Benzine;2011 1e kwartaal;768901;143101;625800
