ID;Geslacht;Leeftijd;Onderwijssoort;Migratieachtergrond;RegioS;Perioden;Gediplomeerden_1
17;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2017/'18;183470.0
18;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2018/'19;181049.0
19;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2019/'20;191088.0
20;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2020/'21;177672.0
21;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Nederland;2021/'22;167405.0
22;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2000/'01;
23;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2001/'02;
24;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2002/'03;
25;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2003/'04;15777.0
26;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2004/'05;15718.0
27;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2005/'06;17373.0
28;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2006/'07;17668.0
29;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2007/'08;17958.0
30;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2008/'09;17297.0
31;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2009/'10;17649.0
32;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2010/'11;17430.0
33;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2011/'12;17417.0
34;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2012/'13;17639.0
35;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2013/'14;17981.0
36;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2014/'15;19058.0
37;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2015/'16;19372.0
38;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2016/'17;19169.0
39;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2017/'18;18876.0
40;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2018/'19;18459.0
41;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2019/'20;19196.0
42;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2020/'21;17673.0
43;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Noord-Nederland (LD);2021/'22;16202.0
44;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2000/'01;
45;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2001/'02;
46;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2002/'03;
47;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2003/'04;35650.0
48;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2004/'05;35531.0
49;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2005/'06;38223.0
50;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2006/'07;38930.0
51;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2007/'08;39182.0
52;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2008/'09;38624.0
53;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2009/'10;38453.0
54;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2010/'11;38025.0
55;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2011/'12;37330.0
56;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2012/'13;38863.0
57;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2013/'14;39782.0
58;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2014/'15;40954.0
59;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2015/'16;42039.0
60;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2016/'17;43105.0
61;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2017/'18;42988.0
62;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2018/'19;42529.0
63;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2019/'20;44553.0
64;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2020/'21;41506.0
65;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Oost-Nederland (LD);2021/'22;38619.0
66;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2000/'01;
67;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2001/'02;
68;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2002/'03;
69;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2003/'04;65908.0
70;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2004/'05;65693.0
71;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2005/'06;75042.0
72;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2006/'07;76623.0
73;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2007/'08;77434.0
74;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2008/'09;76910.0
75;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2009/'10;75114.0
76;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2010/'11;74123.0
77;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2011/'12;73960.0
78;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2012/'13;76123.0
79;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2013/'14;77682.0
80;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2014/'15;80404.0
81;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2015/'16;83299.0
82;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2016/'17;83739.0
83;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2017/'18;83805.0
84;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2018/'19;82900.0
85;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2019/'20;88396.0
86;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2020/'21;82507.0
87;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;West-Nederland (LD);2021/'22;78836.0
88;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2000/'01;
89;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2001/'02;
90;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2002/'03;
91;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2003/'04;34296.0
92;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2004/'05;33867.0
93;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2005/'06;37236.0
94;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2006/'07;37726.0
95;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2007/'08;38168.0
96;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2008/'09;37973.0
97;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2009/'10;36637.0
98;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2010/'11;36607.0
99;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2011/'12;36421.0
100;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2012/'13;36350.0
101;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2013/'14;36913.0
102;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2014/'15;38181.0
103;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2015/'16;38593.0
104;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2016/'17;38376.0
105;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2017/'18;37449.0
106;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2018/'19;36816.0
107;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2019/'20;38563.0
108;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2020/'21;35629.0
109;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Zuid-Nederland (LD);2021/'22;33412.0
110;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2000/'01;
111;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2001/'02;
112;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2002/'03;
113;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2003/'04;0.0
114;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2004/'05;4.0
115;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2005/'06;435.0
116;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2006/'07;411.0
117;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2007/'08;408.0
118;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2008/'09;413.0
119;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2009/'10;536.0
120;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2010/'11;397.0
121;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2011/'12;345.0
122;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2012/'13;327.0
123;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2013/'14;350.0
124;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2014/'15;310.0
125;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2015/'16;342.0
126;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2016/'17;355.0
127;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2017/'18;352.0
128;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2018/'19;345.0
129;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2019/'20;380.0
130;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2020/'21;357.0
131;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Niet in te delen (LD);2021/'22;336.0
132;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2000/'01;
133;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2001/'02;
134;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2002/'03;
135;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2003/'04;4684.0
136;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2004/'05;4470.0
137;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2005/'06;5183.0
138;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2006/'07;5162.0
139;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2007/'08;5376.0
140;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2008/'09;5167.0
141;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2009/'10;5280.0
142;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2010/'11;5150.0
143;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2011/'12;5113.0
144;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2012/'13;5140.0
145;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2013/'14;5243.0
146;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2014/'15;5543.0
147;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2015/'16;5661.0
148;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2016/'17;5608.0
149;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2017/'18;5492.0
150;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2018/'19;5469.0
151;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2019/'20;5589.0
152;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2020/'21;5236.0
153;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Groningen (PV);2021/'22;4700.0
154;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2000/'01;
155;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2001/'02;
156;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2002/'03;
157;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2003/'04;6356.0
158;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2004/'05;6674.0
159;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2005/'06;7172.0
160;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2006/'07;7094.0
161;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2007/'08;7247.0
162;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2008/'09;7007.0
163;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2009/'10;7166.0
164;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2010/'11;7113.0
165;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2011/'12;6948.0
166;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2012/'13;7120.0
167;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2013/'14;7134.0
168;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2014/'15;7482.0
169;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2015/'16;7766.0
170;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2016/'17;7548.0
171;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2017/'18;7505.0
172;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2018/'19;7223.0
173;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2019/'20;7715.0
174;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2020/'21;6960.0
175;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Fryslân (PV);2021/'22;6486.0
176;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2000/'01;
177;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2001/'02;
178;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2002/'03;
179;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2003/'04;4737.0
180;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2004/'05;4574.0
181;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2005/'06;5018.0
182;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2006/'07;5412.0
183;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2007/'08;5335.0
184;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2008/'09;5123.0
185;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2009/'10;5203.0
186;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2010/'11;5167.0
187;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2011/'12;5356.0
188;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2012/'13;5379.0
189;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2013/'14;5604.0
190;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2014/'15;6033.0
191;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2015/'16;5945.0
192;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2016/'17;6013.0
193;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2017/'18;5879.0
194;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2018/'19;5767.0
195;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2019/'20;5892.0
196;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2020/'21;5477.0
197;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Drenthe (PV);2021/'22;5016.0
198;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2000/'01;
199;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2001/'02;
200;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2002/'03;
201;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2003/'04;11684.0
202;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2004/'05;11736.0
203;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2005/'06;12341.0
204;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2006/'07;12564.0
205;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2007/'08;12562.0
206;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2008/'09;12429.0
207;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2009/'10;12240.0
208;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2010/'11;11985.0
209;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2011/'12;11836.0
210;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2012/'13;12344.0
211;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2013/'14;12605.0
212;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2014/'15;13228.0
213;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2015/'16;13620.0
214;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2016/'17;14053.0
215;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs (vo);Totaal;Overijssel (PV);2017/'18;13774.0
