ID;Geslacht;Leeftijd;AOWetten;Perioden;TotaalInstroom_1;Werknemers_2;Overheidspersoneel_3;Zelfstandigen_4;Jonggehandicapten_5;OverigeInstromers_6;TotaalUitstroom_7;RedenHerstel_8;Bereiken65JarigeLeeftijd_9;OverigeUitstromers_10
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 maart;4470;2100;10;10;1210;1130;5860;560;3200;2110
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 april;4940;2330;10;0;1330;1270;5790;540;3130;2120
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 mei;5020;2420;20;10;1290;1280;5940;490;3130;2320
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 juni;4200;1930;10;10;1270;990;6310;600;3410;2310
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 juli;5030;2380;10;10;1450;1180;5910;510;2940;2470
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 augustus;4600;2260;10;10;1200;1120;5010;490;2750;1770
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 september;4620;2330;10;20;1150;1120;5040;510;2670;1860
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 oktober;5360;2750;10;20;1280;1300;4880;540;2440;1890
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 november;3830;1930;10;10;920;950;4750;490;2540;1710
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011 december;4930;2560;0;0;1260;1100;5030;520;2790;1720
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2011;57390;27900;150;110;15100;14120;64930;6360;34350;24220
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 januari;5500;2830;10;20;1350;1290;7420;510;5160;1750
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 februari;4720;2420;10;10;1270;1020;5420;480;3810;1130
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 maart;4460;2210;10;10;1280;950;5190;550;3590;1050
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 april;4920;2440;10;10;1430;1020;5770;570;3930;1270
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 mei;4210;2060;0;10;1220;910;5210;670;3580;960
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 juni*;930;450;10;0;250;220;630;60;40;530
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 juli;4190;1950;0;10;1340;890;5790;560;3950;1280
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 augustus;4530;2240;0;10;1350;920;5000;530;3470;990
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 september;4430;2280;0;10;1160;980;4690;440;3320;930
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 oktober;5020;2520;0;10;1360;1130;4840;460;3200;1180
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 november;4720;2400;0;10;1260;1050;4880;550;3170;1160
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012 december;3890;1930;10;10;1040;900;4550;470;3280;800
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2012;51510;25740;60;110;14310;11280;59390;5850;40500;13030
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 januari;5440;2770;0;10;1470;1200;2090;570;20;1490
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 februari;4550;2350;0;10;1250;940;5080;570;3330;1180
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 maart;4660;2310;10;10;1330;1010;5020;540;3280;1210
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 april;4460;2320;0;0;1210;920;5350;610;3580;1160
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 mei;4670;2290;10;10;1420;950;5060;610;3330;1120
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 juni;4480;2000;0;0;1560;910;5140;520;3440;1180
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 juli;4670;2120;0;10;1570;970;4900;470;3170;1270
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 augustus;4460;2260;0;10;1310;880;5160;450;3740;960
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 september;4940;2480;0;10;1380;1070;4600;500;3040;1070
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 oktober;5300;2540;10;0;1640;1110;4790;530;3100;1160
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 november;4620;2300;0;0;1310;1000;4450;500;2920;1030
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013 december;4110;2020;0;0;1140;940;4080;470;2820;800
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2013;56360;27770;40;70;16590;11890;55720;6340;35770;13610
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 januari;5170;2650;0;10;1490;1020;2160;650;10;1500
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 februari;4330;2180;0;0;1200;950;4560;570;2980;1010
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 maart;4780;2350;0;0;1390;1050;4930;520;3330;1080
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 april;4680;2380;10;10;1280;1010;4580;570;2970;1050
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 mei;4390;2110;0;0;1320;950;4820;510;3320;1000
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 juni;4480;2170;0;0;1380;930;4620;470;3120;1040
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 juli;4510;2140;0;0;1420;940;5020;480;3200;1340
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 augustus;4170;2010;0;0;1220;930;4360;430;3070;850
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 september;4930;2480;0;0;1370;1070;5010;460;3470;1080
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 oktober;4850;2400;0;0;1390;1070;4660;440;3100;1120
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 november;4580;2240;0;0;1330;1020;4520;450;3010;1060
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014 december;4520;2040;0;0;1530;940;4120;480;2810;830
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2014;55400;27140;30;40;16310;11870;53360;6010;34390;12960
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 januari;4390;2580;0;10;830;970;1890;510;0;1380
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 februari;3430;2270;0;0;390;770;4430;510;2640;1290
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 maart;3320;2340;0;0;260;720;4690;470;2880;1330
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 april;3110;2220;0;0;160;730;4840;440;3330;1070
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 mei;2910;2040;10;10;190;670;4560;470;3020;1070
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 juni;3260;2300;0;0;190;780;4990;470;3320;1200
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 juli;2950;2100;0;0;210;630;4750;490;3050;1220
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 augustus;3120;2240;0;0;170;700;4850;540;3340;970
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 september;3560;2590;0;0;150;810;4630;500;2970;1160
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 oktober;3610;2580;0;0;170;860;5070;470;3480;1120
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 november;3530;2560;0;0;160;800;4530;520;2920;1100
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015 december;2750;2040;0;0;100;620;4110;550;2870;690
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal AO-wetten;2015;39930;27860;30;30;2960;9050;53340;5930;33810;13590
78;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 januari;590;290;20;0;0;280;3500;160;1970;1370
79;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 februari;440;240;30;0;0;170;3790;270;2080;1440
80;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 maart;410;230;30;0;0;150;3800;260;2180;1360
81;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 april;310;170;30;0;0;120;4640;190;2110;2340
82;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 mei;370;250;10;0;0;110;3270;180;1770;1320
83;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 juni;280;150;20;0;0;110;3430;140;2130;1160
84;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 juli;410;280;20;0;0;110;3290;170;1740;1380
85;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 augustus;300;180;20;0;0;90;2850;130;1650;1060
86;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 september;280;160;20;0;0;100;2610;130;1450;1030
87;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 oktober;370;240;10;0;0;120;2590;130;1470;990
88;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 november;330;180;10;0;0;130;3150;140;1430;1580
89;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010 december;190;130;10;0;0;60;2740;90;1700;960
90;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2010;4280;2520;220;0;0;1550;39660;2000;21670;15980
91;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 januari;430;230;30;0;0;170;3570;220;1920;1440
92;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 februari;300;180;20;0;0;100;3730;130;2380;1220
93;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 maart;270;170;10;0;0;90;4170;140;2590;1440
94;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 april;280;170;10;0;0;100;4080;140;2510;1430
95;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 mei;270;170;20;0;0;80;4180;140;2460;1580
96;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 juni;230;150;10;0;0;70;4500;270;2730;1510
97;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 juli;270;180;10;0;0;80;4150;170;2360;1620
98;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 augustus;270;180;10;0;0;80;3590;190;2160;1240
99;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 september;190;120;10;0;0;60;3530;170;2130;1230
100;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 oktober;270;180;10;0;0;70;3290;160;1950;1180
101;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 november;210;140;10;0;0;70;3250;170;1970;1110
102;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011 december;100;70;0;0;0;20;3410;120;2190;1100
103;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2011;3070;1930;150;0;0;990;45460;2010;27350;16110
104;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 januari;360;260;10;0;0;90;5340;80;4320;940
105;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 februari;230;170;10;0;0;50;3720;80;3130;510
106;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 maart;210;150;10;0;0;50;3540;120;2930;490
107;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 april;230;170;10;0;0;50;3840;110;3180;560
108;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 mei;200;160;0;0;0;40;3450;100;2920;440
109;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 juni*;130;100;10;0;0;20;280;20;30;230
110;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 juli;130;90;0;0;0;30;3910;100;3230;580
111;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 augustus;150;110;0;0;0;40;3360;110;2820;430
112;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 september;120;90;0;0;0;30;3160;80;2680;410
113;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 oktober;150;100;0;0;0;40;3170;80;2570;510
114;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 november;160;110;0;0;0;40;3120;80;2550;490
115;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012 december;90;70;10;0;0;20;3020;70;2630;320
116;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2012;2150;1580;60;0;0;520;39920;1020;32990;5910
117;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 januari;160;110;0;0;0;50;770;70;10;690
118;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 februari;140;100;0;0;0;40;3330;110;2690;530
119;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 maart;140;100;10;0;0;40;3170;90;2590;490
120;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 april;120;90;0;0;0;30;3490;110;2870;520
121;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 mei;130;100;10;0;0;30;3210;110;2630;470
122;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 juni;120;100;0;0;0;20;3230;100;2690;440
123;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 juli;120;90;0;0;0;30;2970;70;2410;490
124;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 augustus;120;90;0;0;0;30;3400;70;2980;350
125;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 september;100;70;0;0;0;20;2840;70;2370;400
126;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 oktober;110;80;10;0;0;20;2860;70;2380;420
127;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 november;120;90;0;0;0;30;2710;60;2290;350
128;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013 december;100;70;0;0;0;30;2550;50;2210;290
129;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2013;1470;1080;40;0;0;350;34530;990;28100;5440
130;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 januari;130;100;0;0;0;20;600;70;0;530
131;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 februari;90;60;0;0;0;30;2740;80;2290;370
132;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 maart;100;80;0;0;0;20;3050;60;2580;410
133;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 april;120;90;10;0;0;20;2670;70;2240;360
134;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 mei;80;70;0;0;0;10;2920;60;2510;350
135;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 juni;80;60;0;0;0;20;2780;50;2360;370
136;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 juli;70;60;0;0;0;10;2930;70;2410;450
137;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 augustus;80;60;0;0;0;20;2650;60;2300;290
138;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 september;70;50;0;0;0;30;3020;50;2630;340
139;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 oktober;80;60;0;0;0;20;2800;50;2340;420
140;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 november;70;50;0;0;0;20;2620;50;2240;330
141;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014 december;60;50;0;0;0;10;2390;40;2110;240
142;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2014;1040;780;30;0;0;230;31170;710;26010;4460
143;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 januari;90;70;0;0;0;20;500;50;0;450
144;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 februari;90;60;0;0;0;20;2460;50;1990;420
145;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 maart;70;60;0;0;0;10;2600;60;2130;410
146;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 april;100;80;0;0;0;20;2740;40;2380;320
147;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 mei;90;60;10;0;0;20;2570;40;2160;370
148;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 juni;100;80;0;0;0;20;2710;40;2330;340
149;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 juli;90;70;0;0;0;20;2560;40;2180;340
150;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 augustus;70;50;0;0;0;20;2700;90;2320;300
151;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 september;60;50;0;0;0;10;2490;90;2070;340
152;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 oktober;70;60;0;0;0;10;2830;70;2440;320
153;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 november;70;60;0;0;0;10;2430;90;1980;360
154;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015 december;50;40;0;0;0;10;2240;80;1960;210
155;Totaal mannen en vrouwen;Totaal leeftijd;WAO;2015;940;720;30;0;0;190;28820;720;23930;4170
156;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 januari;20;0;0;10;0;10;380;10;240;130
157;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 februari;20;0;0;10;0;10;380;10;250;120
158;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 maart;20;0;0;10;0;10;370;0;220;150
159;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 april;10;0;0;10;0;0;400;10;240;150
160;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 mei;20;0;0;10;0;10;390;10;240;150
161;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 juni;20;0;0;10;0;10;330;10;210;110
162;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 juli;20;0;0;10;0;10;360;0;220;140
163;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 augustus;20;0;0;10;0;0;310;10;210;100
164;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 september;20;0;0;10;0;10;270;0;180;80
165;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 oktober;20;0;0;10;0;10;250;0;160;90
166;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 november;10;0;0;10;0;0;260;10;160;100
167;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010 december;10;0;0;10;0;0;280;10;190;80
168;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2010;200;0;0;110;0;90;3970;70;2510;1390
169;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 januari;20;0;0;10;0;10;370;0;230;140
170;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 februari;10;0;0;10;0;10;390;10;250;130
171;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 maart;20;0;0;10;0;10;470;10;290;180
172;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 april;10;0;0;0;0;10;400;0;260;130
173;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 mei;20;0;0;10;0;10;450;0;320;130
174;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 juni;10;0;0;10;0;0;450;0;300;160
175;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 juli;10;0;0;10;0;10;370;0;240;140
176;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 augustus;20;0;0;10;0;10;360;0;250;110
177;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 september;20;0;0;20;0;0;360;10;240;120
178;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 oktober;20;0;0;20;0;0;320;0;190;120
179;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 november;20;0;0;10;0;10;310;10;220;90
180;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011 december;0;0;0;0;0;0;310;10;220;80
181;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2011;180;0;0;110;0;70;4560;50;3000;1510
182;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 januari;30;0;0;20;0;10;550;10;490;50
183;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 februari;10;0;0;10;0;10;340;20;310;20
184;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 maart;10;0;0;10;0;10;340;10;290;40
185;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 april;20;0;0;10;0;10;370;20;320;30
186;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 mei;20;0;0;10;0;0;320;10;290;30
187;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 juni*;10;0;0;0;0;0;20;0;10;10
188;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 juli;10;0;0;10;0;0;330;10;290;40
189;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 augustus;10;0;0;10;0;0;290;10;250;20
190;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 september;10;0;0;10;0;0;300;10;260;30
191;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 oktober;10;0;0;10;0;10;310;10;260;40
192;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 november;10;0;0;10;0;10;280;10;230;40
193;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012 december;20;0;0;10;0;10;260;10;230;20
194;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2012;180;0;0;110;0;70;3690;110;3220;370
195;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 januari;10;0;0;10;0;10;70;20;0;40
196;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 februari;10;0;0;10;0;0;280;10;240;30
197;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 maart;10;0;0;10;0;0;280;20;230;30
198;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 april;10;0;0;0;0;0;300;10;270;30
199;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 mei;20;0;0;10;0;10;280;10;240;40
200;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 juni;10;0;0;0;0;0;270;10;230;30
201;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 juli;10;0;0;10;0;10;310;10;260;40
202;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 augustus;10;0;0;10;0;0;290;10;260;30
203;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 september;10;0;0;10;0;0;250;10;210;30
204;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 oktober;10;0;0;0;0;10;260;10;230;30
205;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 november;10;0;0;0;0;0;250;10;210;30
206;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013 december;0;0;0;0;0;0;210;10;190;10
207;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2013;120;0;0;70;0;50;3060;130;2570;360
208;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 januari;10;0;0;10;0;10;50;10;0;40
209;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 februari;10;0;0;0;0;10;240;10;210;30
210;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 maart;10;0;0;0;0;10;240;10;200;30
211;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 april;20;0;0;10;0;10;230;10;200;20
212;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 mei;10;0;0;0;0;10;230;10;210;20
213;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 juni;10;0;0;0;0;10;240;0;200;40
214;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 juli;10;0;0;0;0;0;230;0;210;20
215;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 augustus;10;0;0;0;0;10;250;10;220;20
216;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 september;10;0;0;0;0;0;220;10;190;30
217;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 oktober;10;0;0;0;0;0;200;0;170;20
218;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 november;10;0;0;0;0;0;220;0;180;30
219;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014 december;10;0;0;0;0;0;170;0;140;20
220;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2014;100;0;0;40;0;60;2520;60;2130;330
221;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2015 januari;20;0;0;10;0;10;30;0;0;30
222;Totaal mannen en vrouwen;Totaal leeftijd;WAZ;2015 februari;10;0;0;0;0;10;160;10;130;30
