ID;WoonlandVanGasten;Sterklassen;Perioden;Gasten_1;Overnachtingen_2
40;18;Totaal Nederlandse hotels;2014 juni;2136;3742
41;18;Totaal Nederlandse hotels;2014 2e kwartaal;6367;11129
42;18;Totaal Nederlandse hotels;2014 juli;2177;3985
43;18;Totaal Nederlandse hotels;2014 augustus;2337;4389
44;18;Totaal Nederlandse hotels;2014 september;2130;3683
45;18;Totaal Nederlandse hotels;2014 3e kwartaal;6644;12057
46;18;Totaal Nederlandse hotels;2014 oktober;2100;3551
47;18;Totaal Nederlandse hotels;2014 november;1784;2910
48;18;Totaal Nederlandse hotels;2014 december;1609;2685
49;18;Totaal Nederlandse hotels;2014 4e kwartaal;5493;9146
50;18;Totaal Nederlandse hotels;2014;23122;39864
51;18;Totaal Nederlandse hotels;2015 januari;1436;2383
52;18;Totaal Nederlandse hotels;2015 februari;1549;2553
53;18;Totaal Nederlandse hotels;2015 maart;1777;2946
54;18;Totaal Nederlandse hotels;2015 1e kwartaal;4763;7882
55;18;Totaal Nederlandse hotels;2015 april;2152;3773
56;18;Totaal Nederlandse hotels;2015 mei;2299;4027
57;18;Totaal Nederlandse hotels;2015 juni;2199;3771
58;18;Totaal Nederlandse hotels;2015 2e kwartaal;6650;11571
59;18;Totaal Nederlandse hotels;2015 juli;2335;4261
60;18;Totaal Nederlandse hotels;2015 augustus;2445;4563
61;18;Totaal Nederlandse hotels;2015 september;2182;3736
62;18;Totaal Nederlandse hotels;2015 3e kwartaal;6961;12560
63;18;Totaal Nederlandse hotels;2015 oktober;2200;3704
64;18;Totaal Nederlandse hotels;2015 november;1884;3035
65;18;Totaal Nederlandse hotels;2015 december;1718;2865
66;18;Totaal Nederlandse hotels;2015 4e kwartaal;5802;9605
67;18;Totaal Nederlandse hotels;2015;24176;41617
68;18;Hotels zonder ster;2012 januari;122;242
69;18;Hotels zonder ster;2012 februari;120;232
70;18;Hotels zonder ster;2012 maart;154;306
71;18;Hotels zonder ster;2012 1e kwartaal;396;779
72;18;Hotels zonder ster;2012 april;202;425
73;18;Hotels zonder ster;2012 mei;207;425
74;18;Hotels zonder ster;2012 juni;213;443
75;18;Hotels zonder ster;2012 2e kwartaal;622;1293
76;18;Hotels zonder ster;2012 juli;211;458
77;18;Hotels zonder ster;2012 augustus;236;504
78;18;Hotels zonder ster;2012 september;208;419
79;18;Hotels zonder ster;2012 3e kwartaal;655;1382
80;18;Hotels zonder ster;2012 oktober;177;356
81;18;Hotels zonder ster;2012 november;144;267
82;18;Hotels zonder ster;2012 december;123;243
83;18;Hotels zonder ster;2012 4e kwartaal;445;866
84;18;Hotels zonder ster;2012;2118;4320
85;18;Hotels zonder ster;2013 januari;118;240
86;18;Hotels zonder ster;2013 februari;121;229
87;18;Hotels zonder ster;2013 maart;161;318
88;18;Hotels zonder ster;2013 1e kwartaal;400;786
89;18;Hotels zonder ster;2013 april;193;396
90;18;Hotels zonder ster;2013 mei;226;451
91;18;Hotels zonder ster;2013 juni;210;432
92;18;Hotels zonder ster;2013 2e kwartaal;629;1279
93;18;Hotels zonder ster;2013 juli;226;490
94;18;Hotels zonder ster;2013 augustus;238;515
95;18;Hotels zonder ster;2013 september;199;409
96;18;Hotels zonder ster;2013 3e kwartaal;664;1414
97;18;Hotels zonder ster;2013 oktober;187;380
98;18;Hotels zonder ster;2013 november;153;289
99;18;Hotels zonder ster;2013 december;127;259
100;18;Hotels zonder ster;2013 4e kwartaal;467;928
101;18;Hotels zonder ster;2013;2160;4407
102;18;Hotels zonder ster;2014 januari;146;270
103;18;Hotels zonder ster;2014 februari;153;298
104;18;Hotels zonder ster;2014 maart;198;386
105;18;Hotels zonder ster;2014 1e kwartaal;497;953
106;18;Hotels zonder ster;2014 april;236;472
107;18;Hotels zonder ster;2014 mei;261;513
108;18;Hotels zonder ster;2014 juni;255;510
109;18;Hotels zonder ster;2014 2e kwartaal;752;1495
110;18;Hotels zonder ster;2014 juli;270;552
111;18;Hotels zonder ster;2014 augustus;289;592
112;18;Hotels zonder ster;2014 september;255;511
113;18;Hotels zonder ster;2014 3e kwartaal;814;1655
114;18;Hotels zonder ster;2014 oktober;247;479
115;18;Hotels zonder ster;2014 november;197;357
116;18;Hotels zonder ster;2014 december;190;354
117;18;Hotels zonder ster;2014 4e kwartaal;635;1190
118;18;Hotels zonder ster;2014;2697;5294
119;18;Hotels zonder ster;2015 januari;188;341
120;18;Hotels zonder ster;2015 februari;192;351
121;18;Hotels zonder ster;2015 maart;222;421
122;18;Hotels zonder ster;2015 1e kwartaal;602;1112
123;18;Hotels zonder ster;2015 april;274;544
124;18;Hotels zonder ster;2015 mei;306;608
125;18;Hotels zonder ster;2015 juni;288;566
126;18;Hotels zonder ster;2015 2e kwartaal;868;1719
127;18;Hotels zonder ster;2015 juli;314;647
128;18;Hotels zonder ster;2015 augustus;319;651
129;18;Hotels zonder ster;2015 september;280;582
130;18;Hotels zonder ster;2015 3e kwartaal;913;1880
131;18;Hotels zonder ster;2015 oktober;282;530
132;18;Hotels zonder ster;2015 november;233;414
133;18;Hotels zonder ster;2015 december;215;396
134;18;Hotels zonder ster;2015 4e kwartaal;730;1340
135;18;Hotels zonder ster;2015;3113;6052
136;18;Hotels met 1 ster;2012 januari;16;34
137;18;Hotels met 1 ster;2012 februari;17;35
138;18;Hotels met 1 ster;2012 maart;25;53
139;18;Hotels met 1 ster;2012 1e kwartaal;58;122
140;18;Hotels met 1 ster;2012 april;34;67
141;18;Hotels met 1 ster;2012 mei;29;61
142;18;Hotels met 1 ster;2012 juni;31;61
143;18;Hotels met 1 ster;2012 2e kwartaal;94;189
144;18;Hotels met 1 ster;2012 juli;30;63
145;18;Hotels met 1 ster;2012 augustus;39;78
146;18;Hotels met 1 ster;2012 september;28;56
147;18;Hotels met 1 ster;2012 3e kwartaal;96;197
148;18;Hotels met 1 ster;2012 oktober;30;54
149;18;Hotels met 1 ster;2012 november;23;42
150;18;Hotels met 1 ster;2012 december;21;38
151;18;Hotels met 1 ster;2012 4e kwartaal;74;134
152;18;Hotels met 1 ster;2012;322;642
153;18;Hotels met 1 ster;2013 januari;15;30
154;18;Hotels met 1 ster;2013 februari;21;42
155;18;Hotels met 1 ster;2013 maart;24;47
156;18;Hotels met 1 ster;2013 1e kwartaal;59;119
157;18;Hotels met 1 ster;2013 april;26;55
158;18;Hotels met 1 ster;2013 mei;31;65
159;18;Hotels met 1 ster;2013 juni;29;62
160;18;Hotels met 1 ster;2013 2e kwartaal;86;182
161;18;Hotels met 1 ster;2013 juli;32;74
162;18;Hotels met 1 ster;2013 augustus;46;83
163;18;Hotels met 1 ster;2013 september;32;65
164;18;Hotels met 1 ster;2013 3e kwartaal;110;222
165;18;Hotels met 1 ster;2013 oktober;26;56
166;18;Hotels met 1 ster;2013 november;24;40
167;18;Hotels met 1 ster;2013 december;19;32
168;18;Hotels met 1 ster;2013 4e kwartaal;70;128
169;18;Hotels met 1 ster;2013;325;650
170;18;Hotels met 1 ster;2014 januari;17;26
171;18;Hotels met 1 ster;2014 februari;18;29
172;18;Hotels met 1 ster;2014 maart;22;40
173;18;Hotels met 1 ster;2014 1e kwartaal;57;96
174;18;Hotels met 1 ster;2014 april;33;60
175;18;Hotels met 1 ster;2014 mei;35;69
176;18;Hotels met 1 ster;2014 juni;34;59
177;18;Hotels met 1 ster;2014 2e kwartaal;102;189
178;18;Hotels met 1 ster;2014 juli;34;62
179;18;Hotels met 1 ster;2014 augustus;36;73
180;18;Hotels met 1 ster;2014 september;33;59
181;18;Hotels met 1 ster;2014 3e kwartaal;103;194
182;18;Hotels met 1 ster;2014 oktober;28;54
183;18;Hotels met 1 ster;2014 november;23;43
184;18;Hotels met 1 ster;2014 december;19;39
185;18;Hotels met 1 ster;2014 4e kwartaal;70;136
186;18;Hotels met 1 ster;2014;332;615
187;18;Hotels met 1 ster;2015 januari;17;38
188;18;Hotels met 1 ster;2015 februari;21;40
189;18;Hotels met 1 ster;2015 maart;20;43
190;18;Hotels met 1 ster;2015 1e kwartaal;59;122
191;18;Hotels met 1 ster;2015 april;30;56
192;18;Hotels met 1 ster;2015 mei;33;64
193;18;Hotels met 1 ster;2015 juni;38;75
194;18;Hotels met 1 ster;2015 2e kwartaal;100;194
195;18;Hotels met 1 ster;2015 juli;34;71
196;18;Hotels met 1 ster;2015 augustus;35;69
197;18;Hotels met 1 ster;2015 september;30;58
198;18;Hotels met 1 ster;2015 3e kwartaal;99;198
199;18;Hotels met 1 ster;2015 oktober;25;52
200;18;Hotels met 1 ster;2015 november;21;45
201;18;Hotels met 1 ster;2015 december;22;47
202;18;Hotels met 1 ster;2015 4e kwartaal;68;144
203;18;Hotels met 1 ster;2015;327;658
204;18;Hotels met 2 sterren;2012 januari;47;91
205;18;Hotels met 2 sterren;2012 februari;54;98
206;18;Hotels met 2 sterren;2012 maart;66;132
207;18;Hotels met 2 sterren;2012 1e kwartaal;168;320
208;18;Hotels met 2 sterren;2012 april;87;168
209;18;Hotels met 2 sterren;2012 mei;87;179
210;18;Hotels met 2 sterren;2012 juni;89;173
211;18;Hotels met 2 sterren;2012 2e kwartaal;263;520
212;18;Hotels met 2 sterren;2012 juli;83;191
213;18;Hotels met 2 sterren;2012 augustus;94;209
214;18;Hotels met 2 sterren;2012 september;85;169
215;18;Hotels met 2 sterren;2012 3e kwartaal;262;569
216;18;Hotels met 2 sterren;2012 oktober;79;156
217;18;Hotels met 2 sterren;2012 november;67;128
218;18;Hotels met 2 sterren;2012 december;55;110
219;18;Hotels met 2 sterren;2012 4e kwartaal;201;394
220;18;Hotels met 2 sterren;2012;894;1803
221;18;Hotels met 2 sterren;2013 januari;40;79
222;18;Hotels met 2 sterren;2013 februari;40;77
223;18;Hotels met 2 sterren;2013 maart;58;129
224;18;Hotels met 2 sterren;2013 1e kwartaal;138;284
225;18;Hotels met 2 sterren;2013 april;69;140
226;18;Hotels met 2 sterren;2013 mei;86;180
227;18;Hotels met 2 sterren;2013 juni;83;160
228;18;Hotels met 2 sterren;2013 2e kwartaal;238;481
229;18;Hotels met 2 sterren;2013 juli;96;206
230;18;Hotels met 2 sterren;2013 augustus;99;224
231;18;Hotels met 2 sterren;2013 september;77;156
232;18;Hotels met 2 sterren;2013 3e kwartaal;273;586
233;18;Hotels met 2 sterren;2013 oktober;77;153
234;18;Hotels met 2 sterren;2013 november;62;120
235;18;Hotels met 2 sterren;2013 december;45;94
236;18;Hotels met 2 sterren;2013 4e kwartaal;184;367
237;18;Hotels met 2 sterren;2013;832;1718
238;18;Hotels met 2 sterren;2014 januari;48;91
239;18;Hotels met 2 sterren;2014 februari;54;97
240;18;Hotels met 2 sterren;2014 maart;71;128
241;18;Hotels met 2 sterren;2014 1e kwartaal;172;316
242;18;Hotels met 2 sterren;2014 april;80;149
243;18;Hotels met 2 sterren;2014 mei;86;163
244;18;Hotels met 2 sterren;2014 juni;82;170
245;18;Hotels met 2 sterren;2014 2e kwartaal;247;482
246;18;Hotels met 2 sterren;2014 juli;89;186
247;18;Hotels met 2 sterren;2014 augustus;94;202
248;18;Hotels met 2 sterren;2014 september;83;165
249;18;Hotels met 2 sterren;2014 3e kwartaal;265;553
250;18;Hotels met 2 sterren;2014 oktober;80;152
251;18;Hotels met 2 sterren;2014 november;65;124
252;18;Hotels met 2 sterren;2014 december;60;116
253;18;Hotels met 2 sterren;2014 4e kwartaal;205;392
254;18;Hotels met 2 sterren;2014;890;1743
255;18;Hotels met 2 sterren;2015 januari;44;91
256;18;Hotels met 2 sterren;2015 februari;54;98
257;18;Hotels met 2 sterren;2015 maart;58;112
258;18;Hotels met 2 sterren;2015 1e kwartaal;156;302
259;18;Hotels met 2 sterren;2015 april;74;145
260;18;Hotels met 2 sterren;2015 mei;77;158
261;18;Hotels met 2 sterren;2015 juni;77;163
262;18;Hotels met 2 sterren;2015 2e kwartaal;229;465
263;18;Hotels met 2 sterren;2015 juli;78;174
264;18;Hotels met 2 sterren;2015 augustus;89;191
265;18;Hotels met 2 sterren;2015 september;80;165
266;18;Hotels met 2 sterren;2015 3e kwartaal;247;530
267;18;Hotels met 2 sterren;2015 oktober;75;148
268;18;Hotels met 2 sterren;2015 november;62;118
269;18;Hotels met 2 sterren;2015 december;58;108
270;18;Hotels met 2 sterren;2015 4e kwartaal;195;374
271;18;Hotels met 2 sterren;2015;826;1672
272;18;Hotels met 3 sterren;2012 januari;318;533
273;18;Hotels met 3 sterren;2012 februari;348;582
274;18;Hotels met 3 sterren;2012 maart;428;728
275;18;Hotels met 3 sterren;2012 1e kwartaal;1094;1842
276;18;Hotels met 3 sterren;2012 april;520;964
277;18;Hotels met 3 sterren;2012 mei;551;997
278;18;Hotels met 3 sterren;2012 juni;525;965
279;18;Hotels met 3 sterren;2012 2e kwartaal;1595;2926
280;18;Hotels met 3 sterren;2012 juli;553;1050
281;18;Hotels met 3 sterren;2012 augustus;590;1158
282;18;Hotels met 3 sterren;2012 september;534;973
283;18;Hotels met 3 sterren;2012 3e kwartaal;1677;3181
284;18;Hotels met 3 sterren;2012 oktober;509;904
285;18;Hotels met 3 sterren;2012 november;415;701
286;18;Hotels met 3 sterren;2012 december;355;616
287;18;Hotels met 3 sterren;2012 4e kwartaal;1279;2221
288;18;Hotels met 3 sterren;2012;5645;10171
289;18;Hotels met 3 sterren;2013 januari;333;573
290;18;Hotels met 3 sterren;2013 februari;359;614
291;18;Hotels met 3 sterren;2013 maart;461;807
292;18;Hotels met 3 sterren;2013 1e kwartaal;1153;1994
293;18;Hotels met 3 sterren;2013 april;520;949
294;18;Hotels met 3 sterren;2013 mei;586;1069
295;18;Hotels met 3 sterren;2013 juni;560;1014
296;18;Hotels met 3 sterren;2013 2e kwartaal;1666;3032
297;18;Hotels met 3 sterren;2013 juli;575;1094
298;18;Hotels met 3 sterren;2013 augustus;618;1205
299;18;Hotels met 3 sterren;2013 september;551;1003
300;18;Hotels met 3 sterren;2013 3e kwartaal;1744;3302
301;18;Hotels met 3 sterren;2013 oktober;529;946
302;18;Hotels met 3 sterren;2013 november;440;747
303;18;Hotels met 3 sterren;2013 december;397;674
304;18;Hotels met 3 sterren;2013 4e kwartaal;1366;2367
305;18;Hotels met 3 sterren;2013;5930;10695
306;18;Hotels met 3 sterren;2014 januari;362;608
307;18;Hotels met 3 sterren;2014 februari;389;642
308;18;Hotels met 3 sterren;2014 maart;499;858
309;18;Hotels met 3 sterren;2014 1e kwartaal;1251;2108
310;18;Hotels met 3 sterren;2014 april;572;1030
311;18;Hotels met 3 sterren;2014 mei;606;1106
312;18;Hotels met 3 sterren;2014 juni;603;1108
313;18;Hotels met 3 sterren;2014 2e kwartaal;1781;3244
314;18;Hotels met 3 sterren;2014 juli;611;1138
315;18;Hotels met 3 sterren;2014 augustus;662;1265
316;18;Hotels met 3 sterren;2014 september;602;1097
317;18;Hotels met 3 sterren;2014 3e kwartaal;1875;3500
318;18;Hotels met 3 sterren;2014 oktober;574;1027
319;18;Hotels met 3 sterren;2014 november;481;824
320;18;Hotels met 3 sterren;2014 december;410;706
321;18;Hotels met 3 sterren;2014 4e kwartaal;1465;2557
322;18;Hotels met 3 sterren;2014;6372;11409
323;18;Hotels met 3 sterren;2015 januari;351;621
324;18;Hotels met 3 sterren;2015 februari;399;703
325;18;Hotels met 3 sterren;2015 maart;459;810
326;18;Hotels met 3 sterren;2015 1e kwartaal;1209;2135
327;18;Hotels met 3 sterren;2015 april;570;1078
328;18;Hotels met 3 sterren;2015 mei;623;1131
329;18;Hotels met 3 sterren;2015 juni;600;1084
330;18;Hotels met 3 sterren;2015 2e kwartaal;1793;3293
331;18;Hotels met 3 sterren;2015 juli;636;1192
332;18;Hotels met 3 sterren;2015 augustus;683;1302
333;18;Hotels met 3 sterren;2015 september;589;1065
334;18;Hotels met 3 sterren;2015 3e kwartaal;1908;3560
335;18;Hotels met 3 sterren;2015 oktober;583;1050
336;18;Hotels met 3 sterren;2015 november;493;844
337;18;Hotels met 3 sterren;2015 december;441;775
338;18;Hotels met 3 sterren;2015 4e kwartaal;1517;2669
339;18;Hotels met 3 sterren;2015;6427;11657
340;18;Hotels met 4 sterren;2012 januari;729;1100
341;18;Hotels met 4 sterren;2012 februari;725;1130
342;18;Hotels met 4 sterren;2012 maart;867;1349
343;18;Hotels met 4 sterren;2012 1e kwartaal;2321;3579
344;18;Hotels met 4 sterren;2012 april;999;1694
345;18;Hotels met 4 sterren;2012 mei;1025;1718
346;18;Hotels met 4 sterren;2012 juni;972;1587
347;18;Hotels met 4 sterren;2012 2e kwartaal;2996;4998
348;18;Hotels met 4 sterren;2012 juli;982;1758
349;18;Hotels met 4 sterren;2012 augustus;1030;1877
350;18;Hotels met 4 sterren;2012 september;999;1611
351;18;Hotels met 4 sterren;2012 3e kwartaal;3012;5246
352;18;Hotels met 4 sterren;2012 oktober;975;1532
353;18;Hotels met 4 sterren;2012 november;862;1316
354;18;Hotels met 4 sterren;2012 december;774;1223
355;18;Hotels met 4 sterren;2012 4e kwartaal;2611;4072
356;18;Hotels met 4 sterren;2012;10940;17895
357;18;Hotels met 4 sterren;2013 januari;700;1064
358;18;Hotels met 4 sterren;2013 februari;703;1085
359;18;Hotels met 4 sterren;2013 maart;875;1375
360;18;Hotels met 4 sterren;2013 1e kwartaal;2278;3524
361;18;Hotels met 4 sterren;2013 april;972;1578
362;18;Hotels met 4 sterren;2013 mei;1055;1750
363;18;Hotels met 4 sterren;2013 juni;1019;1634
364;18;Hotels met 4 sterren;2013 2e kwartaal;3046;4961
365;18;Hotels met 4 sterren;2013 juli;1020;1797
366;18;Hotels met 4 sterren;2013 augustus;1068;1948
367;18;Hotels met 4 sterren;2013 september;1009;1602
368;18;Hotels met 4 sterren;2013 3e kwartaal;3097;5347
369;18;Hotels met 4 sterren;2013 oktober;1018;1622
370;18;Hotels met 4 sterren;2013 november;900;1386
371;18;Hotels met 4 sterren;2013 december;815;1297
372;18;Hotels met 4 sterren;2013 4e kwartaal;2732;4305
373;18;Hotels met 4 sterren;2013;11153;18137
374;18;Hotels met 4 sterren;2014 januari;735;1116
375;18;Hotels met 4 sterren;2014 februari;745;1136
376;18;Hotels met 4 sterren;2014 maart;934;1462
377;18;Hotels met 4 sterren;2014 1e kwartaal;2414;3713
378;18;Hotels met 4 sterren;2014 april;1012;1691
379;18;Hotels met 4 sterren;2014 mei;1110;1820
380;18;Hotels met 4 sterren;2014 juni;1053;1727
381;18;Hotels met 4 sterren;2014 2e kwartaal;3175;5238
382;18;Hotels met 4 sterren;2014 juli;1069;1869
383;18;Hotels met 4 sterren;2014 augustus;1148;2077
384;18;Hotels met 4 sterren;2014 september;1055;1695
385;18;Hotels met 4 sterren;2014 3e kwartaal;3271;5641
386;18;Hotels met 4 sterren;2014 oktober;1070;1680
387;18;Hotels met 4 sterren;2014 november;926;1428
388;18;Hotels met 4 sterren;2014 december;856;1356
389;18;Hotels met 4 sterren;2014 4e kwartaal;2853;4464
390;18;Hotels met 4 sterren;2014;11712;19056
391;18;Hotels met 4 sterren;2015 januari;767;1181
392;18;Hotels met 4 sterren;2015 februari;810;1247
393;18;Hotels met 4 sterren;2015 maart;933;1429
394;18;Hotels met 4 sterren;2015 1e kwartaal;2510;3858
395;18;Hotels met 4 sterren;2015 april;1103;1788
396;18;Hotels met 4 sterren;2015 mei;1162;1908
397;18;Hotels met 4 sterren;2015 juni;1097;1729
398;18;Hotels met 4 sterren;2015 2e kwartaal;3361;5426
399;18;Hotels met 4 sterren;2015 juli;1173;2007
400;18;Hotels met 4 sterren;2015 augustus;1210;2165
401;18;Hotels met 4 sterren;2015 september;1107;1716
402;18;Hotels met 4 sterren;2015 3e kwartaal;3490;5889
403;18;Hotels met 4 sterren;2015 oktober;1136;1767
404;18;Hotels met 4 sterren;2015 november;987;1485
405;18;Hotels met 4 sterren;2015 december;905;1421
406;18;Hotels met 4 sterren;2015 4e kwartaal;3028;4673
407;18;Hotels met 4 sterren;2015;12390;19845
408;18;Hotels met 5 sterren;2012 januari;66;100
409;18;Hotels met 5 sterren;2012 februari;68;98
410;18;Hotels met 5 sterren;2012 maart;84;123
411;18;Hotels met 5 sterren;2012 1e kwartaal;218;322
412;18;Hotels met 5 sterren;2012 april;101;156
413;18;Hotels met 5 sterren;2012 mei;114;175
414;18;Hotels met 5 sterren;2012 juni;104;160
415;18;Hotels met 5 sterren;2012 2e kwartaal;319;492
416;18;Hotels met 5 sterren;2012 juli;99;169
417;18;Hotels met 5 sterren;2012 augustus;101;176
418;18;Hotels met 5 sterren;2012 september;101;151
419;18;Hotels met 5 sterren;2012 3e kwartaal;301;496
420;18;Hotels met 5 sterren;2012 oktober;96;149
421;18;Hotels met 5 sterren;2012 november;92;136
422;18;Hotels met 5 sterren;2012 december;70;111
423;18;Hotels met 5 sterren;2012 4e kwartaal;258;396
424;18;Hotels met 5 sterren;2012;1096;1704
425;18;Hotels met 5 sterren;2013 januari;68;105
426;18;Hotels met 5 sterren;2013 februari;67;105
427;18;Hotels met 5 sterren;2013 maart;88;138
428;18;Hotels met 5 sterren;2013 1e kwartaal;223;349
429;18;Hotels met 5 sterren;2013 april;98;155
430;18;Hotels met 5 sterren;2013 mei;107;171
431;18;Hotels met 5 sterren;2013 juni;109;171
432;18;Hotels met 5 sterren;2013 2e kwartaal;315;496
433;18;Hotels met 5 sterren;2013 juli;105;183
434;18;Hotels met 5 sterren;2013 augustus;110;190
435;18;Hotels met 5 sterren;2013 september;103;153
436;18;Hotels met 5 sterren;2013 3e kwartaal;318;527
437;18;Hotels met 5 sterren;2013 oktober;98;152
438;18;Hotels met 5 sterren;2013 november;93;139
439;18;Hotels met 5 sterren;2013 december;75;121
440;18;Hotels met 5 sterren;2013 4e kwartaal;267;412
441;18;Hotels met 5 sterren;2013;1122;1783
442;18;Hotels met 5 sterren;2014 januari;68;103
443;18;Hotels met 5 sterren;2014 februari;73;110
444;18;Hotels met 5 sterren;2014 maart;85;131
445;18;Hotels met 5 sterren;2014 1e kwartaal;226;345
446;18;Hotels met 5 sterren;2014 april;97;153
447;18;Hotels met 5 sterren;2014 mei;103;161
448;18;Hotels met 5 sterren;2014 juni;110;167
449;18;Hotels met 5 sterren;2014 2e kwartaal;310;481
450;18;Hotels met 5 sterren;2014 juli;104;177
451;18;Hotels met 5 sterren;2014 augustus;109;181
452;18;Hotels met 5 sterren;2014 september;103;155
453;18;Hotels met 5 sterren;2014 3e kwartaal;316;514
454;18;Hotels met 5 sterren;2014 oktober;101;159
455;18;Hotels met 5 sterren;2014 november;92;134
456;18;Hotels met 5 sterren;2014 december;73;114
457;18;Hotels met 5 sterren;2014 4e kwartaal;266;408
458;18;Hotels met 5 sterren;2014;1118;1747
459;18;Hotels met 5 sterren;2015 januari;69;110
460;18;Hotels met 5 sterren;2015 februari;73;113
461;18;Hotels met 5 sterren;2015 maart;85;131
462;18;Hotels met 5 sterren;2015 1e kwartaal;226;353
463;18;Hotels met 5 sterren;2015 april;102;162
464;18;Hotels met 5 sterren;2015 mei;98;158
465;18;Hotels met 5 sterren;2015 juni;99;154
466;18;Hotels met 5 sterren;2015 2e kwartaal;299;474
467;18;Hotels met 5 sterren;2015 juli;100;169
468;18;Hotels met 5 sterren;2015 augustus;108;184
469;18;Hotels met 5 sterren;2015 september;97;149
470;18;Hotels met 5 sterren;2015 3e kwartaal;305;502
471;18;Hotels met 5 sterren;2015 oktober;99;156
472;18;Hotels met 5 sterren;2015 november;89;130
473;18;Hotels met 5 sterren;2015 december;76;119
474;18;Hotels met 5 sterren;2015 4e kwartaal;264;405
475;18;Hotels met 5 sterren;2015;1093;1734
476;18;Totaal Amsterdamse hotels;2012 januari;348;616
477;18;Totaal Amsterdamse hotels;2012 februari;366;642
478;18;Totaal Amsterdamse hotels;2012 maart;450;802
479;18;Totaal Amsterdamse hotels;2012 1e kwartaal;1164;2061
480;18;Totaal Amsterdamse hotels;2012 april;522;997
481;18;Totaal Amsterdamse hotels;2012 mei;536;988
482;18;Totaal Amsterdamse hotels;2012 juni;526;952
483;18;Totaal Amsterdamse hotels;2012 2e kwartaal;1583;2937
484;18;Totaal Amsterdamse hotels;2012 juli;542;1064
485;18;Totaal Amsterdamse hotels;2012 augustus;556;1108
486;18;Totaal Amsterdamse hotels;2012 september;513;929
487;18;Totaal Amsterdamse hotels;2012 3e kwartaal;1610;3100
488;18;Totaal Amsterdamse hotels;2012 oktober;512;928
489;18;Totaal Amsterdamse hotels;2012 november;470;810
490;18;Totaal Amsterdamse hotels;2012 december;399;728
491;18;Totaal Amsterdamse hotels;2012 4e kwartaal;1381;2465
492;18;Totaal Amsterdamse hotels;2012;5738;10563
493;18;Totaal Amsterdamse hotels;2013 januari;389;707
494;18;Totaal Amsterdamse hotels;2013 februari;365;660
495;18;Totaal Amsterdamse hotels;2013 maart;478;885
496;18;Totaal Amsterdamse hotels;2013 1e kwartaal;1232;2252
497;18;Totaal Amsterdamse hotels;2013 april;508;959
498;18;Totaal Amsterdamse hotels;2013 mei;589;1115
499;18;Totaal Amsterdamse hotels;2013 juni;542;993
500;18;Totaal Amsterdamse hotels;2013 2e kwartaal;1640;3067
501;18;Totaal Amsterdamse hotels;2013 juli;576;1121
502;18;Totaal Amsterdamse hotels;2013 augustus;599;1195
