ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonen_2;NettoOmzet_3;BrutoWinst_4;TotaalBedrijfslasten_5;Inkoopwaarde_6;Personeelskosten_7;OverigeBedrijfslasten_8;Bedrijfsresultaat_9;ResultaatVoorBelasting_10
50;5223   Vis;1994;0.8;3.1;0.2;41.7;86.4;58.3;10.8;17.3;14.1;12.4
51;5223   Vis;1995;0.7;3.1;0.2;42.8;85.8;57.2;11.5;17.1;14.8;13.3
52;5223   Vis;1996;0.7;3.1;0.2;43.5;88.3;56.5;13.0;18.8;12.1;10.9
53;5223   Vis;1997;0.7;3.4;0.2;42.5;88.1;57.5;11.9;18.7;12.4;9.8
54;5223   Vis;1998;0.7;3.5;0.2;43.1;86.8;56.9;11.3;18.6;13.4;12.3
55;5223   Vis;1999;0.7;3.6;0.2;42.0;88.1;58.0;11.5;18.6;12.2;11.2
56;5224.2 Chocolade en suikerwerk;1993;;;;;;;;;;
57;5224.2 Chocolade en suikerwerk;1994;0.5;2.5;0.1;40.2;93.7;59.8;14.3;19.6;6.7;6.2
58;5224.2 Chocolade en suikerwerk;1995;0.5;2.4;0.1;42.4;92.5;57.6;14.1;20.8;8.2;7.9
59;5224.2 Chocolade en suikerwerk;1996;0.4;2.2;0.1;41.5;95.0;58.5;14.2;22.3;6.6;6.0
60;5224.2 Chocolade en suikerwerk;1997;0.4;2.2;0.1;40.9;95.3;59.1;14.0;22.2;4.9;4.3
61;5224.2 Chocolade en suikerwerk;1998;0.4;1.9;0.1;41.1;92.8;58.9;13.0;20.9;7.6;6.9
62;5224.2 Chocolade en suikerwerk;1999;0.4;2.0;0.1;43.5;92.8;56.5;14.4;21.9;7.5;7.4
63;5225   Dranken (Slijters);1993;1.2;6.0;1.0;18.1;95.7;81.9;6.8;7.0;4.6;4.1
64;5225   Dranken (Slijters);1994;1.2;5.7;1.0;18.8;96.2;81.2;7.4;7.6;4.4;4.0
65;5225   Dranken (Slijters);1995;1.2;5.8;0.9;19.1;96.3;80.9;7.6;7.8;4.3;3.7
66;5225   Dranken (Slijters);1996;1.2;5.9;1.0;19.2;96.5;80.8;7.6;8.1;4.2;3.7
67;5225   Dranken (Slijters);1997;1.2;6.1;1.0;19.4;97.0;80.6;7.6;8.8;3.4;3.0
68;5225   Dranken (Slijters);1998;1.1;6.0;0.9;20.5;96.8;79.5;7.9;9.4;3.5;3.1
69;5225   Dranken (Slijters);1999;1.0;5.6;0.9;19.7;96.2;80.3;6.8;9.1;4.0;3.7
70;5226   Tabaksproducten;1993;1.9;4.4;0.7;15.4;93.2;84.6;2.8;5.8;7.7;6.9
71;5226   Tabaksproducten;1994;1.9;5.0;0.8;15.8;93.1;84.2;3.0;5.9;7.8;7.5
72;5226   Tabaksproducten;1995;1.9;5.1;0.7;16.1;93.0;83.9;3.1;6.0;7.7;7.1
73;5226   Tabaksproducten;1996;1.8;5.2;0.7;16.3;93.5;83.7;3.6;6.2;7.0;6.6
74;5226   Tabaksproducten;1997;1.8;5.2;0.7;17.1;93.3;82.9;3.8;6.6;7.2;6.6
75;5226   Tabaksproducten;1998;1.7;5.2;0.7;16.9;93.1;83.1;3.4;6.6;7.5;7.3
76;5226   Tabaksproducten;1999;1.6;5.0;0.7;16.9;93.4;83.1;3.4;6.9;7.1;6.8
77;5227.2 Reformartikelen;1993;;;;;;;;;;
78;5227.2 Reformartikelen;1994;;;;;;;;;;
79;5227.2 Reformartikelen;1995;;;;;;;;;;
80;5227.2 Reformartikelen;1996;0.3;1.7;0.1;31.4;94.9;68.6;11.4;14.9;5.4;4.6
81;5227.2 Reformartikelen;1997;0.3;2.0;0.2;29.5;93.0;70.5;9.1;13.4;7.4;6.6
82;5227.2 Reformartikelen;1998;0.3;1.8;0.1;30.8;91.6;69.2;9.6;12.8;8.4;7.8
83;5227.2 Reformartikelen;1999;0.4;1.8;0.2;29.9;92.7;70.1;9.9;12.7;7.3;6.9
84;5227.1 Kaas;1993;;;;;;;;;;
85;5227.1 Kaas;1994;0.6;3.4;0.2;32.7;94.2;67.3;12.6;14.3;6.8;6.5
86;5227.1 Kaas;1995;0.6;3.7;0.2;32.4;94.7;67.6;12.6;14.5;6.6;6.1
87;5227.1 Kaas;1996;0.7;3.9;0.2;33.5;94.5;66.5;12.7;15.3;6.6;6.0
88;5227.1 Kaas;1997;0.7;4.0;0.2;33.4;93.3;66.6;11.8;14.9;7.0;6.6
89;5227.1 Kaas;1998;0.6;3.8;0.2;33.1;94.3;66.9;12.2;15.2;6.1;5.8
90;5227.1 Kaas;1999;0.6;3.4;0.2;34.2;93.2;65.8;12.0;15.4;7.6;8.1
91;"5212;523/525 Non-food in winkel";1993;51.7;335.4;28.5;36.3;93.1;63.7;14.0;15.4;7.4;6.0
92;"5212;523/525 Non-food in winkel";1994;52.2;337.5;29.1;36.7;93.7;63.3;14.4;16.0;6.8;5.6
93;"5212;523/525 Non-food in winkel";1995;51.8;345.7;29.4;36.6;94.0;63.4;14.3;16.3;6.7;5.8
94;"5212;523/525 Non-food in winkel";1996;52.0;356.2;30.8;36.7;93.8;63.3;14.0;16.5;6.8;5.9
95;"5212;523/525 Non-food in winkel";1997;51.2;371.5;32.5;36.6;93.8;63.4;13.8;16.6;6.8;6.1
96;"5212;523/525 Non-food in winkel";1998;50.5;386.4;35.0;36.8;93.6;63.2;13.9;16.5;7.0;6.4
97;"5212;523/525 Non-food in winkel";1999;49.5;398.3;37.0;37.1;93.6;62.9;14.0;16.7;7.1;6.4
98;5241/2 Textielgoederen;1993;10.8;80.2;6.0;40.1;93.5;59.9;15.3;18.3;7.0;5.7
99;5241/2 Textielgoederen;1994;10.9;80.4;6.0;40.4;94.8;59.6;15.8;19.4;5.7;4.7
100;5241/2 Textielgoederen;1995;10.8;80.6;5.9;40.4;95.5;59.6;15.8;20.1;5.2;4.5
101;5241/2 Textielgoederen;1996;10.4;81.0;6.1;40.5;94.9;59.5;15.1;20.3;5.7;4.7
102;5241/2 Textielgoederen;1997;10.4;84.5;6.4;40.5;95.0;59.5;15.1;20.4;5.7;4.8
103;5241/2 Textielgoederen;1998;9.9;86.4;6.7;41.1;94.4;58.9;15.2;20.3;6.3;6.2
104;5241/2 Textielgoederen;1999;9.6;91.0;6.9;41.7;94.5;58.3;15.7;20.5;6.5;6.0
105;5242.1/4 Bovenkleding;1993;7.8;65.1;5.2;40.5;94.0;59.5;15.6;18.9;6.5;5.1
106;5242.1/4 Bovenkleding;1994;7.9;64.9;5.2;40.7;94.5;59.3;15.8;19.4;5.7;4.7
107;5242.1/4 Bovenkleding;1995;7.9;65.5;5.0;40.5;96.2;59.5;16.1;20.6;4.5;3.9
108;5242.1/4 Bovenkleding;1996;7.6;65.6;5.2;40.5;95.5;59.5;15.3;20.7;5.2;4.2
109;5242.1/4 Bovenkleding;1997;7.8;68.7;5.4;40.6;95.4;59.4;15.3;20.7;5.4;4.4
110;5242.1/4 Bovenkleding;1998;7.4;71.0;5.8;41.5;94.6;58.5;15.4;20.7;6.1;6.0
111;5242.1/4 Bovenkleding;1999;7.4;75.5;5.9;42.0;94.9;58.0;16.0;20.9;6.1;5.5
112;5242.1 Herenbovenkleding;1993;1.1;5.9;0.6;42.2;92.0;57.8;15.2;19.0;8.0;6.2
113;5242.1 Herenbovenkleding;1994;1.1;6.2;0.6;42.9;93.5;57.1;15.8;20.6;7.0;5.9
114;5242.1 Herenbovenkleding;1995;1.1;5.7;0.6;41.8;93.4;58.2;15.1;20.1;7.4;6.4
115;5242.1 Herenbovenkleding;1996;1.1;5.9;0.6;43.7;91.4;56.3;13.8;21.3;9.0;7.7
116;5242.1 Herenbovenkleding;1997;1.1;6.6;0.6;44.8;90.0;55.2;13.8;21.0;10.5;9.2
117;5242.1 Herenbovenkleding;1998;1.1;5.7;0.6;42.4;90.5;57.6;13.6;19.3;9.6;8.3
118;5242.1 Herenbovenkleding;1999;1.1;6.1;0.6;41.7;92.1;58.3;13.8;20.0;8.4;7.6
119;5242.2 Damesbovenkleding;1993;3.1;20.7;1.5;39.9;93.2;60.1;14.6;18.5;6.8;6.2
120;5242.2 Damesbovenkleding;1994;3.0;20.5;1.5;40.3;95.1;59.7;15.6;19.8;5.3;4.9
121;5242.2 Damesbovenkleding;1995;3.0;20.7;1.5;40.2;95.5;59.8;15.3;20.4;5.2;4.4
122;5242.2 Damesbovenkleding;1996;2.8;20.3;1.6;39.4;95.2;60.6;14.4;20.2;5.5;3.5
123;5242.2 Damesbovenkleding;1997;2.8;22.1;1.7;40.0;94.2;60.0;14.3;19.9;6.4;4.8
124;5242.2 Damesbovenkleding;1998;2.8;21.9;1.8;41.1;92.9;58.9;14.4;19.6;7.4;6.8
125;5242.2 Damesbovenkleding;1999;2.8;23.0;1.8;42.0;92.7;58.0;15.1;19.6;7.6;7.3
126;5242.3 Baby- en kinderkleding;1993;0.6;2.0;0.1;30.0;95.8;70.0;8.5;17.3;4.9;2.4
127;5242.3 Baby- en kinderkleding;1994;0.7;2.1;0.1;32.8;95.2;67.2;9.1;18.9;5.3;3.1
128;5242.3 Baby- en kinderkleding;1995;0.7;2.0;0.1;33.8;95.3;66.2;10.1;19.0;5.4;3.5
129;5242.3 Baby- en kinderkleding;1996;0.7;2.2;0.1;33.3;95.3;66.7;9.2;19.4;5.1;3.7
130;5242.3 Baby- en kinderkleding;1997;0.8;2.2;0.1;33.3;96.8;66.7;9.8;20.3;3.7;3.5
131;5242.3 Baby- en kinderkleding;1998;0.7;2.1;0.1;33.5;92.3;66.5;8.1;17.7;7.9;5.8
132;5242.3 Baby- en kinderkleding;1999;0.7;2.6;0.2;35.0;92.2;65.0;10.0;17.2;8.2;6.4
133;5242.4 Bovenkleding algemeen assortiment;1993;3.1;36.4;2.9;40.9;94.7;59.1;16.6;19.0;6.0;4.6
134;5242.4 Bovenkleding algemeen assortiment;1994;3.1;36.2;2.9;40.9;95.9;59.1;16.9;19.9;4.7;3.6
135;5242.4 Bovenkleding algemeen assortiment;1995;3.1;37.1;2.8;40.8;97.2;59.2;17.0;21.0;3.6;3.1
136;5242.4 Bovenkleding algemeen assortiment;1996;3.0;37.2;2.9;40.8;96.5;59.2;16.4;20.9;4.3;3.9
137;5242.4 Bovenkleding algemeen assortiment;1997;3.1;37.8;2.9;40.4;97.1;59.6;16.4;21.1;3.8;3.2
138;5242.4 Bovenkleding algemeen assortiment;1998;2.8;41.3;3.3;41.9;96.3;58.1;16.6;21.6;4.7;5.2
139;5242.4 Bovenkleding algemeen assortiment;1999;2.8;43.9;3.4;42.4;96.8;57.6;17.2;22.0;4.8;4.2
140;5242.7 Textielsupermarkten (alg.ass.);1993;0.6;6.8;0.5;35.5;91.5;64.5;13.4;13.6;8.7;8.1
141;5242.7 Textielsupermarkten (alg.ass.);1994;0.6;6.8;0.5;35.3;92.7;64.7;13.4;14.6;7.6;7.4
142;5242.7 Textielsupermarkten (alg.ass.);1995;0.5;7.1;0.5;37.0;93.0;63.0;14.3;15.7;7.5;7.4
143;5242.7 Textielsupermarkten (alg.ass.);1996;0.5;7.3;0.5;37.7;93.6;62.3;14.8;16.5;7.2;6.9
144;5242.7 Textielsupermarkten (alg.ass.);1997;0.4;8.1;0.5;36.3;95.6;63.7;14.9;17.0;4.9;3.7
145;5242.7 Textielsupermarkten (alg.ass.);1998;0.4;8.0;0.5;35.5;95.0;64.5;13.9;16.6;5.6;5.6
146;5242.7 Textielsupermarkten (alg.ass.);1999;0.4;7.8;0.5;37.4;92.8;62.6;14.3;15.9;7.7;8.1
147;5242.5 Onderkleding, foundations, e.d.;1993;;;;;;;;;;
148;5242.5 Onderkleding, foundations, e.d.;1994;0.7;2.9;0.2;41.7;92.1;58.3;15.2;18.6;8.3;6.8
149;5242.5 Onderkleding, foundations, e.d.;1995;0.7;3.0;0.2;42.4;89.8;57.6;14.3;17.9;11.3;9.9
150;5242.5 Onderkleding, foundations, e.d.;1996;0.6;2.9;0.2;43.1;90.0;56.9;14.0;19.1;10.6;10.0
151;5242.5 Onderkleding, foundations, e.d.;1997;0.7;2.9;0.2;42.7;89.6;57.3;13.4;18.9;11.5;11.5
152;5242.5 Onderkleding, foundations, e.d.;1998;0.7;3.1;0.2;41.9;90.8;58.1;14.0;18.7;9.8;8.2
153;5242.5 Onderkleding, foundations, e.d.;1999;0.6;3.5;0.2;42.8;89.7;57.2;14.1;18.4;10.8;9.8
154;5242.6 Mode-artikelen en bijoux;1993;;;;;;;;;;
155;5242.6 Mode-artikelen en bijoux;1994;0.3;0.7;0.0;49.6;86.0;50.4;12.4;23.2;15.3;10.9
156;5242.6 Mode-artikelen en bijoux;1995;0.4;0.9;0.0;49.2;87.0;50.8;14.3;21.9;15.2;11.6
157;5242.6 Mode-artikelen en bijoux;1996;0.3;1.0;0.0;48.6;89.1;51.4;14.7;23.0;12.6;9.7
158;5242.6 Mode-artikelen en bijoux;1997;0.4;1.0;0.0;47.8;89.0;52.2;13.3;23.5;12.9;10.8
159;5242.6 Mode-artikelen en bijoux;1998;0.3;0.9;0.0;46.9;88.6;53.1;10.1;25.4;11.5;10.3
160;5242.6 Mode-artikelen en bijoux;1999;0.4;1.2;0.0;47.9;88.4;52.1;10.1;26.2;11.8;11.1
161;5241.1 Kledingstoffen;1993;;;;;;;;;;
162;5241.1 Kledingstoffen;1994;0.5;1.9;0.1;43.8;94.3;56.2;19.3;18.8;6.4;4.8
163;5241.1 Kledingstoffen;1995;0.5;1.9;0.1;43.6;93.0;56.4;18.5;18.1;8.5;6.7
164;5241.1 Kledingstoffen;1996;0.5;1.8;0.1;43.2;91.9;56.8;16.4;18.7;9.6;8.1
165;5241.1 Kledingstoffen;1997;0.5;1.8;0.1;44.5;90.3;55.5;16.3;18.5;10.7;9.7
166;5241.1 Kledingstoffen;1998;0.4;1.5;0.1;44.9;90.8;55.1;15.9;19.8;10.0;9.5
167;5241.1 Kledingstoffen;1999;0.3;1.5;0.0;43.5;90.0;56.5;14.4;19.1;10.5;10.5
168;5241.2 Huishoudlinnen;1993;;;;;;;;;;
169;5241.2 Huishoudlinnen;1994;;;;;;;;;;
170;5241.2 Huishoudlinnen;1995;;;;;;;;;;
171;5241.2 Huishoudlinnen;1996;0.2;0.5;0.0;39.3;91.4;60.7;11.7;19.0;9.4;6.9
172;5241.2 Huishoudlinnen;1997;0.2;0.5;0.0;40.2;92.2;59.8;11.3;21.1;8.7;6.8
173;5241.2 Huishoudlinnen;1998;0.1;0.5;0.0;38.8;93.2;61.2;12.3;19.7;7.1;6.2
174;5241.2 Huishoudlinnen;1999;;;;;;;;;;
175;5241.3 Breiwol, handwerken, fournituren;1993;;;;;;;;;;
176;5241.3 Breiwol, handwerken, fournituren;1994;0.8;1.9;0.0;38.8;89.1;61.2;8.2;19.7;11.7;10.7
177;5241.3 Breiwol, handwerken, fournituren;1995;0.7;1.5;0.0;40.7;86.6;59.3;8.2;19.1;14.1;12.2
178;5241.3 Breiwol, handwerken, fournituren;1996;0.7;1.6;0.0;44.2;84.0;55.8;8.5;19.7;16.7;14.6
179;5241.3 Breiwol, handwerken, fournituren;1997;0.6;1.4;0.0;44.5;86.1;55.5;8.6;22.0;14.7;12.7
180;5241.3 Breiwol, handwerken, fournituren;1998;0.6;1.3;0.0;43.5;87.4;56.5;8.5;22.4;12.9;11.9
181;5241.3 Breiwol, handwerken, fournituren;1999;;;;;;;;;;
182;5243   Schoeisel, lederwaren, reisart.;1993;1.9;20.9;1.3;40.8;92.0;59.2;14.9;17.9;8.3;6.8
183;5243   Schoeisel, lederwaren, reisart.;1994;2.0;21.4;1.3;40.9;92.8;59.1;14.9;18.8;7.5;6.2
184;5243   Schoeisel, lederwaren, reisart.;1995;2.0;21.6;1.3;40.7;93.9;59.3;15.0;19.6;7.0;5.2
185;5243   Schoeisel, lederwaren, reisart.;1996;2.0;21.7;1.4;41.0;92.9;59.0;14.6;19.3;7.6;5.7
186;5243   Schoeisel, lederwaren, reisart.;1997;2.0;22.4;1.4;41.2;92.5;58.8;14.4;19.3;8.1;7.3
187;5243   Schoeisel, lederwaren, reisart.;1998;1.9;22.1;1.5;41.3;92.0;58.7;14.3;19.0;8.9;8.0
188;5243   Schoeisel, lederwaren, reisart.;1999;1.8;21.9;1.5;41.7;92.4;58.3;14.5;19.6;8.6;7.9
189;5243.1 Schoeisel;1993;1.7;19.4;1.2;40.7;92.1;59.3;15.0;17.8;8.3;6.7
190;5243.1 Schoeisel;1994;1.7;19.9;1.2;40.8;92.9;59.2;15.0;18.7;7.3;6.1
191;5243.1 Schoeisel;1995;1.7;20.2;1.2;40.5;94.1;59.5;15.1;19.5;6.8;5.0
192;5243.1 Schoeisel;1996;1.7;20.4;1.3;40.8;93.0;59.2;14.6;19.2;7.4;5.5
193;5243.1 Schoeisel;1997;1.7;21.1;1.3;41.0;92.5;59.0;14.4;19.1;8.0;7.3
194;5243.1 Schoeisel;1998;1.6;20.7;1.4;41.1;91.9;58.9;14.1;18.9;9.0;8.1
195;5243.1 Schoeisel;1999;1.6;20.4;1.4;41.5;92.5;58.5;14.4;19.6;8.5;7.9
196;5243.2 Lederwaren en reisartikelen;1993;0.3;1.4;0.1;42.0;89.9;58.0;12.0;19.9;10.3;8.0
197;5243.2 Lederwaren en reisartikelen;1994;0.3;1.4;0.1;42.7;90.8;57.3;13.8;19.7;9.4;7.4
198;5243.2 Lederwaren en reisartikelen;1995;0.3;1.4;0.1;43.4;91.1;56.6;13.9;20.6;9.7;7.8
199;5243.2 Lederwaren en reisartikelen;1996;0.3;1.3;0.1;44.2;90.8;55.8;14.4;20.6;9.6;8.2
200;5243.2 Lederwaren en reisartikelen;1997;0.3;1.3;0.1;44.1;92.0;55.9;14.9;21.2;8.7;7.0
201;5243.2 Lederwaren en reisartikelen;1998;0.3;1.4;0.1;44.3;92.2;55.7;15.4;21.1;8.3;6.8
202;5243.2 Lederwaren en reisartikelen;1999;0.3;1.5;0.1;45.2;90.6;54.8;14.9;20.9;9.6;8.4
203;5244.1/4 Meubels,won.text.,verl.,vloerb.;1993;4.8;29.1;3.4;38.1;94.0;61.9;14.6;17.5;6.5;5.3
204;5244.1/4 Meubels,won.text.,verl.,vloerb.;1994;4.8;31.1;3.6;38.5;95.0;61.5;15.2;18.3;5.5;4.1
205;5244.1/4 Meubels,won.text.,verl.,vloerb.;1995;4.8;32.0;3.6;38.5;95.0;61.5;15.3;18.2;5.8;4.7
206;5244.1/4 Meubels,won.text.,verl.,vloerb.;1996;4.8;33.4;3.8;38.7;94.5;61.3;14.9;18.3;6.2;5.1
207;5244.1/4 Meubels,won.text.,verl.,vloerb.;1997;4.9;35.4;4.0;38.5;94.6;61.5;14.9;18.2;6.1;5.6
208;5244.1/4 Meubels,won.text.,verl.,vloerb.;1998;5.0;36.3;4.4;38.6;93.8;61.4;14.7;17.7;6.9;6.3
209;5244.1/4 Meubels,won.text.,verl.,vloerb.;1999;4.9;37.4;4.8;38.6;94.5;61.4;15.2;17.9;6.2;5.5
210;5244.1 Meubels;1993;1.5;12.3;1.7;37.8;94.6;62.2;13.5;18.9;6.0;4.8
211;5244.1 Meubels;1994;1.5;13.2;1.8;37.2;96.1;62.8;13.7;19.6;4.5;2.8
212;5244.1 Meubels;1995;1.5;13.8;1.9;37.1;96.1;62.9;14.0;19.2;4.9;3.5
213;5244.1 Meubels;1996;1.5;14.7;2.0;37.4;95.6;62.6;13.7;19.3;5.2;4.2
214;5244.1 Meubels;1997;1.5;16.0;2.1;37.1;95.5;62.9;13.7;18.9;5.4;4.8
215;5244.1 Meubels;1998;1.7;16.7;2.4;37.2;94.3;62.8;13.6;17.9;6.7;6.0
216;5244.1 Meubels;1999;1.7;17.5;2.6;37.3;94.6;62.7;14.0;17.9;6.5;5.7
217;5244.2 Woningtextiel;1993;1.5;6.5;0.6;40.9;93.4;59.1;16.9;17.4;6.9;6.1
218;5244.2 Woningtextiel;1994;1.7;6.9;0.6;42.3;94.1;57.7;18.4;18.0;6.4;5.4
219;5244.2 Woningtextiel;1995;1.3;5.8;0.5;42.5;93.2;57.5;17.9;17.8;7.5;6.7
220;5244.2 Woningtextiel;1996;1.3;5.9;0.5;42.6;92.6;57.4;17.5;17.7;8.0;6.7
221;5244.2 Woningtextiel;1997;1.3;5.8;0.5;42.6;93.0;57.4;17.5;18.1;7.5;6.7
222;5244.2 Woningtextiel;1998;1.1;5.1;0.5;43.1;91.7;56.9;16.6;18.2;8.7;7.9
223;5244.2 Woningtextiel;1999;1.0;4.9;0.5;43.6;93.2;56.4;17.9;18.9;7.1;5.9
224;5244.3 Verlichtingsartikelen;1993;0.4;1.5;0.1;39.9;91.4;60.1;12.8;18.5;8.9;7.5
225;5244.3 Verlichtingsartikelen;1994;0.4;1.5;0.1;39.2;93.2;60.8;13.4;19.0;7.1;5.9
226;5244.3 Verlichtingsartikelen;1995;0.4;1.5;0.1;40.7;92.5;59.3;13.2;20.0;8.1;6.9
227;5244.3 Verlichtingsartikelen;1996;0.4;1.6;0.1;40.2;92.7;59.8;12.8;20.1;8.0;6.5
228;5244.3 Verlichtingsartikelen;1997;0.4;1.6;0.1;41.1;91.6;58.9;12.4;20.3;8.7;7.5
229;5244.3 Verlichtingsartikelen;1998;0.4;1.6;0.1;40.3;92.7;59.7;12.9;20.1;8.0;6.5
