ID;Periods;VolumeIndex_1;VolumeChanges_2
67;2009 August;57.5;-18.3
68;2009 September;87.5;-14.4
69;2009 October;76.6;-17.1
70;2009 November;75.7;-12.5
71;2009 December;80.1;-11.9
72;2010 January;65.6;-16.5
73;2010 February;71.2;-18.5
74;2010 March;95.6;-11.8
75;2010 April;80.3;-9.4
76;2010 May;75.7;-12.5
77;2010 June;88.8;-3.2
78;2010 July;74.7;-11.1
79;2010 August;54.3;-5.5
80;2010 September;79.1;-9.5
81;2010 October;71.3;-6.9
82;2010 November;73.4;-3.1
83;2010 December;73.2;-8.6
84;2011 January;73.5;11.9
85;2011 February;81.9;14.9
86;2011 March;103.0;7.8
87;2011 April;82.2;2.4
88;2011 May;86.5;14.3
89;2011 June;83.8;-5.7
90;2011 July;75.4;1.0
91;2011 August;58.8;8.3
92;2011 September;83.4;5.4
93;2011 October;73.5;3.1
94;2011 November;77.8;6.1
95;2011 December;82.2;12.2
96;2012 January;69.2;-5.9
97;2012 February;73.9;-9.7
98;2012 March;92.0;-10.7
99;2012 April;73.8;-10.2
100;2012 May;77.1;-10.9
101;2012 June;86.9;3.7
102;2012 July;69.6;-7.6
103;2012 August;55.7;-5.3
104;2012 September;73.7;-11.6
105;2012 October;67.2;-8.6
106;2012 November;70.4;-9.5
107;2012 December;73.1;-11.0
108;2013 January;61.2;-11.5
109;2013 February;63.1;-14.7
110;2013 March;81.4;-11.6
111;2013 April;67.4;-8.7
112;2013 May;69.6;-9.8
113;2013 June;76.1;-12.5
114;2013 July;66.3;-4.8
115;2013 August;52.9;-5.0
116;2013 September;70.8;-4.0
117;2013 October;68.2;1.5
118;2013 November;70.2;-0.2
119;2013 December;83.3;13.9
120;2014 January;62.5;2.1
121;2014 February;68.0;7.8
122;2014 March;80.5;-1.1
123;2014 April;70.7;4.8
124;2014 May;67.1;-3.6
125;2014 June;73.1;-3.9
126;2014 July;68.4;3.2
127;2014 August;49.5;-6.3
128;2014 September;70.7;-0.1
129;2014 October;74.0;8.5
130;2014 November;71.2;1.4
131;2014 December;82.5;-0.9
132;2015 January;67.7;8.3
133;2015 February;72.0;5.9
134;2015 March;93.4;16.0
135;2015 April;76.7;8.4
136;2015 May;73.8;10.1
137;2015 June;89.2;22.0
138;2015 July;75.7;10.6
139;2015 August;56.8;14.7
140;2015 September;79.0;11.7
141;2015 October;76.4;3.2
142;2015 November;80.9;13.5
143;2015 December;98.8;19.8
144;2016 January;71.7;6.0
145;2016 February;86.1;19.6
146;2016 March;95.2;2.0
147;2016 April;85.6;11.6
148;2016 May;79.2;7.3
149;2016 June;99.9;12.0
150;2016 July;81.8;8.2
151;2016 August;62.4;9.9
152;2016 September;86.6;9.7
153;2016 October;78.4;2.7
154;2016 November;82.7;2.3
155;2016 December;93.8;-5.1
156;2017 January;76.4;6.6
157;2017 February;87.8;2.0
158;2017 March;105.3;10.6
159;2017 April;84.4;-1.4
160;2017 May;92.0;16.1
161;2017 June;97.8;-2.1
162;2017 July;89.2;9.0
163;2017 August;66.6;6.6
164;2017 September;97.5;12.6
165;2017 October;85.2;8.7
166;2017 November;90.7;9.7
167;2017 December;100.8;7.4
168;2018 January;86.9;13.7
169;2018 February;89.7;2.1
170;2018 March;111.3;5.7
171;2018 April;93.3;10.6
172;2018 May;94.4;2.6
173;2018 June;104.6;7.0
174;2018 July;93.0;4.2
175;2018 August;70.3;5.6
176;2018 September;90.5;-7.2
177;2018 October;91.2;7.0
178;2018 November;95.2;4.9
179;2018 December;95.5;-5.3
180;2019 January;94.1;8.3
181;2019 February;97.6;8.9
182;2019 March;113.7;2.2
183;2019 April;102.3;9.6
184;2019 May;106.0;12.2
185;2019 June;106.4;1.8
186;2019 July;99.3;6.8
187;2019 August;84.3;20.0
188;2019 September;99.1;9.6
189;2019 October;97.2;6.6
190;2019 November;100.5;5.6
191;2019 December;105.5;10.5
192;2020 January;96.8;2.8
193;2020 February;102.2;4.8
194;2020 March;117.7;3.5
195;2020 April;93.8;-8.3
196;2020 May;88.9;-16.1
197;2020 June;104.4;-1.9
198;2020 July;98.4;-1.0
199;2020 August;69.6;-17.5
200;2020 September;98.1;-1.0
201;2020 October;93.1;-4.2
202;2020 November;98.6;-1.9
203;2020 December;106.9;1.3
204;2021 January;92.2;-4.7
205;2021 February;94.5;-7.5
206;2021 March;128.1;8.8
207;2021 April;103.3;10.1
208;2021 May;98.4;10.7
209;2021 June;113.8;8.9
210;2021 July;101.6;3.2
211;2021 August;68.8;-1.1
212;2021 September;98.1;-0.1
213;2021 October;90.9;-2.4
214;2021 November;100.3;1.7
215;2021 December;110.1;3.1
216;2022 January;87.0;-5.6
217;2022 February;99.9;5.6
218;2022 March;124.3;-2.9
219;2022 April;104.5;1.2
220;2022 May;108.0;9.8
221;2022 June;119.1;4.7
222;2022 July;103.4;1.8
223;2022 August;74.0;7.6
224;2022 September;105.2;7.3
225;2022 October;97.2;6.9
226;2022 November;106.1;5.8
227;2022 December;111.7;1.4
228;2023 January;95.5;9.8
229;2023 February;104.4;4.5
230;2023 March;128.5;3.3
231;2023 April;102.1;-2.3
232;2023 May;115.7;7.1
233;2023 June;124.7;4.6
234;2023 July;102.7;-0.7
235;2023 August;78.4;5.9
236;2023 September;100.1;-4.8
237;2023 October;96.3;-0.9
238;2023 November;100.8;-5.0
239;2023 December;102.9;-7.9
240;2024 January;91.1;-4.5
241;2024 February;102.2;-2.1
242;2024 March;116.7;-9.2
243;2024 April;109.5;7.3
244;2024 May;108.3;-6.4
245;2024 June;111.4;-10.7
246;2024 July;102.7;0.1
247;2024 August;76.2;-2.9
248;2024 September;99.6;-0.5
249;2024 October;102.9;6.9
250;2024 November;103.2;2.4
251;2024 December;114.4;11.2
252;2025 January;91.1;0.0
253;2025 February;98.6;-3.6
