ID;Afzet;Producten;Perioden;Indexcijfers_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3;Indexcijfers_4;MaandOpMaandOntwikkeling_5;JaarOpJaarOntwikkeling_6
115;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 april;102.4;1.0;-13.5;102.4;1.0;-13.5
116;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 mei;101.7;-0.7;-14.7;101.7;-0.7;-14.7
117;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 juni;98.9;-2.7;-18.2;98.9;-2.7;-18.2
118;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 juli;103.9;5.1;-12.0;103.9;5.1;-12.0
119;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 augustus;103.7;-0.3;-8.9;103.7;-0.3;-8.9
120;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 september;103.2;-0.4;-7.2;103.2;-0.4;-7.2
121;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 oktober;108.1;4.7;0.8;108.1;4.7;0.8
122;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 november;108.8;0.7;3.7;108.8;0.7;3.7
123;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002 december;112.5;3.4;8.8;112.5;3.4;8.8
124;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2002;103.9;;-10.0;103.9;;-10.0
125;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 januari;117.1;4.1;16.6;117.1;4.1;16.6
126;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 februari;117.9;0.7;15.5;117.9;0.7;15.5
127;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 maart;116.7;-1.0;15.1;116.7;-1.0;15.1
128;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 april;117.2;0.4;14.4;117.2;0.4;14.4
129;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 mei;118.2;0.9;16.3;118.2;0.9;16.3
130;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 juni;118.9;0.5;20.2;118.9;0.5;20.2
131;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 juli;106.4;-10.5;2.3;106.4;-10.5;2.3
132;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 augustus;105.7;-0.7;1.9;105.7;-0.7;1.9
133;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 september;103.7;-1.8;0.5;103.7;-1.8;0.5
134;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 oktober;104.3;0.5;-3.5;104.3;0.5;-3.5
135;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 november;105.7;1.4;-2.8;105.7;1.4;-2.8
136;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003 december;109.8;3.8;-2.4;109.8;3.8;-2.4
137;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2003;111.8;;7.6;111.8;;7.6
138;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 januari;107.7;-1.9;-8.0;107.7;-1.9;-8.0
139;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 februari;108.3;0.5;-8.2;108.3;0.5;-8.2
140;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 maart;107.8;-0.4;-7.6;107.8;-0.4;-7.6
141;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 april;105.9;-1.7;-9.6;105.9;-1.7;-9.6
142;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 mei;105.2;-0.7;-11.0;105.2;-0.7;-11.0
143;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 juni;105.8;0.6;-11.0;105.8;0.6;-11.0
144;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 juli;107.8;1.9;1.3;107.8;1.9;1.3
145;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 augustus;107.9;0.1;2.1;107.9;0.1;2.1
146;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 september;109.9;1.9;6.0;109.9;1.9;6.0
147;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 oktober;119.0;8.3;14.1;119.0;8.3;14.1
148;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 november;120.5;1.2;13.9;120.5;1.2;13.9
149;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004 december;119.9;-0.4;9.2;119.9;-0.4;9.2
150;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2004;110.5;;-1.2;110.5;;-1.2
151;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 januari;128.9;7.5;19.7;128.9;7.5;19.7
152;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 februari;129.7;0.6;19.8;129.7;0.6;19.8
153;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 maart;131.5;1.4;21.9;131.5;1.4;21.9
154;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 april;137.7;4.7;29.9;137.7;4.7;29.9
155;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 mei;136.5;-0.9;29.7;136.5;-0.9;29.7
156;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 juni;140.6;3.0;32.9;140.6;3.0;32.9
157;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 juli;147.2;4.7;36.6;147.2;4.7;36.6
158;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 augustus;152.1;3.3;40.9;152.1;3.3;40.9
159;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 september;155.7;2.4;41.6;155.7;2.4;41.6
160;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 oktober;167.1;7.3;40.4;167.1;7.3;40.4
161;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 november;167.0;-0.1;38.6;167.0;-0.1;38.6
162;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005 december;176.7;5.8;47.4;176.7;5.8;47.4
163;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2005;147.6;;33.6;147.6;;33.6
164;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 januari;184.4;4.4;43.1;184.4;4.4;43.1
165;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 februari;184.4;0.0;42.2;184.4;0.0;42.2
166;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 maart;186.6;1.2;42.0;186.6;1.2;42.0
167;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 april;192.7;3.3;40.0;192.7;3.3;40.0
168;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 mei;200.2;3.9;46.7;200.2;3.9;46.7
169;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 juni;200.0;-0.1;42.2;200.0;-0.1;42.2
170;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 juli;201.2;0.6;36.7;201.2;0.6;36.7
171;Totale Nederlandse afzet;"CA STEENKOOL EN BRUINKOOL; TURF; RUWE AA";2006 augustus;195.7;-2.8;28.7;195.7;-2.8;28.7
172;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 januari;;;;;;
173;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 februari;;;;;;
174;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 maart;;;;;;
175;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 april;;;;;;
176;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 mei;;;;;;
177;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 juni;;;;;;
178;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 juli;;;;;;
179;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 augustus;;;;;;
180;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 september;;;;;;
181;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 oktober;;;;;;
182;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 november;;;;;;
183;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000 december;;;;;;
184;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2000;;;;;;
185;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 januari;;;;;;
186;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 februari;;;;;;
187;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 maart;;;;;;
188;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 april;;;;;;
189;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 mei;;;;;;
190;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 juni;;;;;;
191;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 juli;;;;;;
192;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 augustus;;;;;;
193;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 september;;;;;;
194;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 oktober;;;;;;
195;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 november;;;;;;
196;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001 december;;;;;;
197;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2001;;;;;;
198;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 januari;;;;;;
199;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 februari;;;;;;
200;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 maart;;;;;;
201;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 april;;;;;;
202;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 mei;;;;;;
203;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 juni;;;;;;
204;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 juli;;;;;;
205;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 augustus;;;;;;
206;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 september;;;;;;
207;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 oktober;;;;;;
208;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 november;;;;;;
209;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002 december;;;;;;
210;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2002;;;;;;
211;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2003 januari;;;;;;
212;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2003 februari;;;;;;
213;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2003 maart;;;;;;
214;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2003 april;;;;;;
215;Totale Nederlandse afzet;"10000000 STEENKOOL EN BRUINKOOL; TURF";2003 mei;;;;;;
