ID;Bedrijfstypen;RegioS;Perioden;TotaalAantalLandbouwbedrijven_1;VerkoopAanHuisTotaal_2;RechtstreekseVerkoopAanDeConsument_3;VerkoopVia1Tussenschakel_4;StallingVanGoederenOfDieren_5;Agrotoerisme_6;VerwerkingLandbouwproducten_7;Zorglandbouw_8;Aquacultuur_9;LoonwerkVoorDerden_10;AgrarischNatuurEnLandschapsbeheer_11;AgrarischeKinderopvang_12;BoerderijEducatie_13;EnergieproductieLeveringAanDerden_14;OpbrengstMinderDan10_15;Opbrengst1050_16;OpbrengstMeerDan50_17
25;Totaal alle bedrijfstypen;Noord-Nederland (LD);2023;9135;1017;731.0;532.0;433.0;297;215;107;2.0;1337.0;2531;26.0;254.0;1135.0;66.0;21.0;13.0
26;Totaal alle bedrijfstypen;Oost-Nederland (LD);1998;33217;924;;;;859;277;129;;;923;;;;;;
27;Totaal alle bedrijfstypen;Oost-Nederland (LD);1999;31831;813;;;543.0;664;308;175;;;1214;;;;;;
28;Totaal alle bedrijfstypen;Oost-Nederland (LD);2003;26931;1286;;;1100.0;745;261;141;36.0;1255.0;7159;;;;;;
29;Totaal alle bedrijfstypen;Oost-Nederland (LD);2005;25988;1173;;;840.0;873;238;187;14.0;930.0;3676;;;;;;
30;Totaal alle bedrijfstypen;Oost-Nederland (LD);2007;24519;754;;;633.0;751;164;186;6.0;563.0;2041;;;;;;
31;Totaal alle bedrijfstypen;Oost-Nederland (LD);2008;23974;568;;;573.0;631;183;202;6.0;502.0;1062;;;;51.0;34.0;15.0
32;Totaal alle bedrijfstypen;Oost-Nederland (LD);2009;23334;580;;;589.0;655;192;223;4.0;523.0;1116;21.0;36.0;;50.0;38.0;12.0
33;Totaal alle bedrijfstypen;Oost-Nederland (LD);2010;23160;789;;;796.0;897;301;269;5.0;1068.0;1809;65.0;197.0;293.0;58.0;29.0;13.0
34;Totaal alle bedrijfstypen;Oost-Nederland (LD);2011;22482;874;;;940.0;921;319;292;5.0;1184.0;1881;77.0;231.0;399.0;57.0;30.0;13.0
35;Totaal alle bedrijfstypen;Oost-Nederland (LD);2013;21605;825;;;763.0;893;286;271;7.0;1155.0;1576;80.0;263.0;421.0;63.0;25.0;12.0
36;Totaal alle bedrijfstypen;Oost-Nederland (LD);2016;18044;711;;;583.0;599;195;186;3.0;1021.0;1147;54.0;231.0;398.0;62.0;29.0;9.0
37;Totaal alle bedrijfstypen;Oost-Nederland (LD);2020;17156;1924;1370.0;1021.0;835.0;622;337;208;6.0;1585.0;2219;66.0;366.0;1166.0;56.0;25.0;19.0
38;Totaal alle bedrijfstypen;Oost-Nederland (LD);2023;16566;2262;1603.0;1168.0;983.0;708;430;190;1.0;1793.0;2642;57.0;436.0;2158.0;57.0;24.0;19.0
39;Totaal alle bedrijfstypen;West-Nederland (LD);1998;28490;1226;;;;1008;581;87;;;1113;;;;;;
40;Totaal alle bedrijfstypen;West-Nederland (LD);1999;27690;948;;;637.0;748;476;138;;;1545;;;;;;
41;Totaal alle bedrijfstypen;West-Nederland (LD);2003;22889;1638;;;1369.0;874;458;100;61.0;1771.0;6226;;;;;;
42;Totaal alle bedrijfstypen;West-Nederland (LD);2005;21535;1328;;;1040.0;935;468;147;12.0;1287.0;4025;;;;;;
43;Totaal alle bedrijfstypen;West-Nederland (LD);2007;19942;874;;;850.0;812;316;180;12.0;760.0;2714;;;;;;
44;Totaal alle bedrijfstypen;West-Nederland (LD);2008;19351;679;;;793.0;747;298;195;5.0;785.0;1867;;;;53.0;34.0;13.0
45;Totaal alle bedrijfstypen;West-Nederland (LD);2009;18700;678;;;844.0;767;318;208;5.0;830.0;2130;20.0;30.0;;51.0;39.0;10.0
46;Totaal alle bedrijfstypen;West-Nederland (LD);2010;18444;895;;;1087.0;920;447;262;9.0;1429.0;2583;46.0;226.0;254.0;54.0;34.0;12.0
47;Totaal alle bedrijfstypen;West-Nederland (LD);2011;17980;979;;;1211.0;925;487;281;15.0;1517.0;2688;46.0;296.0;322.0;54.0;33.0;13.0
48;Totaal alle bedrijfstypen;West-Nederland (LD);2013;17068;947;;;1031.0;913;407;259;9.0;1383.0;2467;44.0;272.0;276.0;55.0;33.0;12.0
49;Totaal alle bedrijfstypen;West-Nederland (LD);2016;13909;792;;;701.0;665;302;204;3.0;1243.0;1698;37.0;217.0;204.0;58.0;34.0;8.0
50;Totaal alle bedrijfstypen;West-Nederland (LD);2020;13023;2287;1526.0;1270.0;1031.0;727;427;246;4.0;1768.0;2431;39.0;281.0;837.0;50.0;29.0;21.0
51;Totaal alle bedrijfstypen;West-Nederland (LD);2023;12563;2395;1606.0;1329.0;1132.0;783;480;243;5.0;1851.0;2707;40.0;372.0;1486.0;51.0;28.0;21.0
52;Totaal alle bedrijfstypen;Zuid-Nederland (LD);1998;26056;1578;;;;623;252;57;;;557;;;;;;
53;Totaal alle bedrijfstypen;Zuid-Nederland (LD);1999;25214;1293;;;450.0;489;238;98;;;763;;;;;;
54;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2003;21027;1926;;;923.0;545;242;78;47.0;954.0;4129;;;;;;
55;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2005;20121;1525;;;680.0;629;218;117;20.0;630.0;1826;;;;;;
56;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2007;18902;876;;;520.0;517;132;133;4.0;357.0;900;;;;;;
57;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2008;18483;663;;;462.0;446;122;140;5.0;324.0;521;;;;47.0;35.0;18.0
58;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2009;17979;704;;;485.0;476;117;151;6.0;328.0;546;9.0;22.0;;47.0;38.0;15.0
59;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2010;17840;972;;;687.0;584;213;195;7.0;667.0;779;30.0;124.0;108.0;52.0;32.0;16.0
60;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2011;17322;1036;;;764.0;597;229;206;6.0;704.0;925;38.0;146.0;141.0;52.0;31.0;17.0
61;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2013;16513;963;;;666.0;572;224;198;5.0;665.0;835;40.0;146.0;159.0;58.0;28.0;14.0
62;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2016;13809;817;;;465.0;341;128;131;2.0;573.0;649;26.0;118.0;103.0;57.0;34.0;9.0
63;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2020;13026;2108;1585.0;1057.0;780.0;380;244;148;1.0;919.0;1218;41.0;177.0;735.0;53.0;25.0;22.0
64;Totaal alle bedrijfstypen;Zuid-Nederland (LD);2023;12370;2183;1652.0;1072.0;862.0;412;320;166;2.0;1144.0;1287;30.0;242.0;1331.0;52.0;27.0;21.0
65;Totaal alle bedrijfstypen;Groningen (PV);1998;4376;128;;;;101;45;13;;;186;;;;;;
66;Totaal alle bedrijfstypen;Groningen (PV);1999;4325;99;;;46.0;66;49;17;;;250;;;;;;
67;Totaal alle bedrijfstypen;Groningen (PV);2003;3752;164;;;80.0;63;33;13;6.0;406.0;1092;;;;;;
68;Totaal alle bedrijfstypen;Groningen (PV);2005;3634;167;;;71.0;79;44;25;0.0;291.0;854;;;;;;
69;Totaal alle bedrijfstypen;Groningen (PV);2007;3457;105;;;68.0;72;20;19;2.0;178.0;577;;;;;;
70;Totaal alle bedrijfstypen;Groningen (PV);2008;3460;85;;;50.0;60;26;23;1.0;167.0;363;;;;65.0;28.0;7.0
71;Totaal alle bedrijfstypen;Groningen (PV);2009;3380;88;;;57.0;53;29;28;1.0;188.0;430;3.0;6.0;;64.0;30.0;6.0
72;Totaal alle bedrijfstypen;Groningen (PV);2010;3355;122;;;78.0;71;52;38;1.0;337.0;700;10.0;36.0;48.0;68.0;26.0;6.0
73;Totaal alle bedrijfstypen;Groningen (PV);2011;3277;129;;;96.0;80;62;36;0.0;356.0;709;11.0;41.0;61.0;67.0;26.0;7.0
74;Totaal alle bedrijfstypen;Groningen (PV);2013;3215;124;;;94.0;76;43;33;1.0;313.0;609;16.0;44.0;82.0;66.0;26.0;8.0
75;Totaal alle bedrijfstypen;Groningen (PV);2016;2630;86;;;54.0;32;37;23;0.0;253.0;374;7.0;30.0;68.0;71.0;24.0;5.0
76;Totaal alle bedrijfstypen;Groningen (PV);2020;2516;244;176.0;123.0;85.0;37;46;24;0.0;413.0;494;11.0;38.0;229.0;67.0;22.0;11.0
77;Totaal alle bedrijfstypen;Groningen (PV);2023;2427;268;196.0;137.0;102.0;49;67;27;1.0;449.0;533;8.0;55.0;345.0;65.0;22.0;13.0
78;Totaal alle bedrijfstypen;Fryslân (PV);1998;7494;131;;;;201;61;16;;;449;;;;;;
79;Totaal alle bedrijfstypen;Fryslân (PV);1999;7364;115;;;92.0;160;60;24;;;632;;;;;;
80;Totaal alle bedrijfstypen;Fryslân (PV);2003;6480;186;;;229.0;168;74;22;3.0;280.0;2828;;;;;;
81;Totaal alle bedrijfstypen;Fryslân (PV);2005;6291;168;;;196.0;214;52;34;3.0;252.0;2177;;;;;;
82;Totaal alle bedrijfstypen;Fryslân (PV);2007;5959;125;;;167.0;186;33;44;2.0;153.0;1535;;;;;;
83;Totaal alle bedrijfstypen;Fryslân (PV);2008;5914;104;;;145.0;159;43;42;0.0;167.0;1253;;;;72.0;23.0;5.0
84;Totaal alle bedrijfstypen;Fryslân (PV);2009;5785;112;;;137.0;180;48;49;1.0;171.0;1363;7.0;6.0;;70.0;25.0;5.0
85;Totaal alle bedrijfstypen;Fryslân (PV);2010;5749;140;;;170.0;211;70;51;0.0;295.0;1798;30.0;36.0;178.0;70.0;23.0;7.0
86;Totaal alle bedrijfstypen;Fryslân (PV);2011;5654;155;;;203.0;211;72;64;0.0;314.0;1838;31.0;50.0;226.0;69.0;24.0;7.0
87;Totaal alle bedrijfstypen;Fryslân (PV);2013;5501;146;;;137.0;191;46;59;2.0;294.0;1705;31.0;46.0;227.0;73.0;21.0;6.0
88;Totaal alle bedrijfstypen;Fryslân (PV);2016;4412;130;;;75.0;128;43;36;0.0;239.0;1259;12.0;50.0;173.0;78.0;19.0;3.0
89;Totaal alle bedrijfstypen;Fryslân (PV);2020;4214;351;228.0;210.0;135.0;135;64;38;0.0;369.0;1517;18.0;80.0;382.0;72.0;18.0;10.0
90;Totaal alle bedrijfstypen;Fryslân (PV);2023;4050;393;259.0;224.0;179.0;150;70;48;1.0;448.0;1611;14.0;114.0;502.0;70.0;20.0;10.0
91;Totaal alle bedrijfstypen;Drenthe (PV);1998;5240;114;;;;163;45;16;;;226;;;;;;
92;Totaal alle bedrijfstypen;Drenthe (PV);1999;5121;101;;;62.0;114;38;22;;;311;;;;;;
93;Totaal alle bedrijfstypen;Drenthe (PV);2003;4329;174;;;128.0;138;36;18;1.0;313.0;1332;;;;;;
94;Totaal alle bedrijfstypen;Drenthe (PV);2005;4181;168;;;102.0;163;37;31;1.0;227.0;652;;;;;;
95;Totaal alle bedrijfstypen;Drenthe (PV);2007;3962;117;;;83.0;117;21;43;1.0;134.0;348;;;;;;
96;Totaal alle bedrijfstypen;Drenthe (PV);2008;3969;89;;;82.0;104;24;36;1.0;130.0;183;;;;55.0;33.0;12.0
97;Totaal alle bedrijfstypen;Drenthe (PV);2009;3830;90;;;81.0;106;27;48;1.0;140.0;188;4.0;8.0;;52.0;35.0;13.0
98;Totaal alle bedrijfstypen;Drenthe (PV);2010;3776;125;;;106.0;149;40;50;2.0;254.0;253;3.0;27.0;16.0;61.0;28.0;11.0
99;Totaal alle bedrijfstypen;Drenthe (PV);2011;3677;127;;;135.0;150;42;52;1.0;282.0;239;6.0;27.0;38.0;57.0;32.0;11.0
100;Totaal alle bedrijfstypen;Drenthe (PV);2013;3579;122;;;118.0;132;35;54;1.0;261.0;212;8.0;27.0;57.0;62.0;27.0;11.0
101;Totaal alle bedrijfstypen;Drenthe (PV);2016;2884;105;;;77.0;71;29;34;1.0;257.0;141;6.0;40.0;48.0;63.0;30.0;7.0
102;Totaal alle bedrijfstypen;Drenthe (PV);2020;2760;320;242.0;152.0;124.0;94;49;37;0.0;383.0;311;4.0;62.0;159.0;59.0;24.0;17.0
103;Totaal alle bedrijfstypen;Drenthe (PV);2023;2658;356;276.0;171.0;152.0;98;78;32;0.0;440.0;387;4.0;85.0;288.0;60.0;24.0;16.0
104;Totaal alle bedrijfstypen;Overijssel (PV);1998;12335;246;;;;320;68;34;;;339;;;;;;
105;Totaal alle bedrijfstypen;Overijssel (PV);1999;11827;235;;;193.0;269;87;57;;;459;;;;;;
106;Totaal alle bedrijfstypen;Overijssel (PV);2003;10223;337;;;397.0;289;82;35;14.0;376.0;2922;;;;;;
107;Totaal alle bedrijfstypen;Overijssel (PV);2005;9859;322;;;281.0;331;63;61;4.0;275.0;1313;;;;;;
108;Totaal alle bedrijfstypen;Overijssel (PV);2007;9305;217;;;230.0;281;54;65;1.0;178.0;788;;;;;;
109;Totaal alle bedrijfstypen;Overijssel (PV);2008;9133;174;;;181.0;241;56;70;1.0;152.0;368;;;;53.0;33.0;14.0
110;Totaal alle bedrijfstypen;Overijssel (PV);2009;8909;177;;;203.0;256;60;73;2.0;158.0;354;6.0;12.0;;50.0;37.0;13.0
111;Totaal alle bedrijfstypen;Overijssel (PV);2010;8911;236;;;275.0;332;91;98;1.0;338.0;605;21.0;58.0;22.0;60.0;28.0;12.0
112;Totaal alle bedrijfstypen;Overijssel (PV);2011;8618;246;;;323.0;348;97;104;1.0;375.0;616;33.0;64.0;58.0;57.0;30.0;13.0
113;Totaal alle bedrijfstypen;Overijssel (PV);2013;8283;230;;;274.0;363;83;112;3.0;337.0;547;32.0;96.0;127.0;66.0;22.0;12.0
114;Totaal alle bedrijfstypen;Overijssel (PV);2016;7016;198;;;212.0;240;58;79;1.0;326.0;473;26.0;71.0;114.0;66.0;26.0;8.0
115;Totaal alle bedrijfstypen;Overijssel (PV);2020;6648;566;397.0;302.0;281.0;253;111;77;3.0;445.0;966;33.0;151.0;428.0;60.0;22.0;18.0
116;Totaal alle bedrijfstypen;Overijssel (PV);2023;6428;691;492.0;348.0;364.0;297;150;72;1.0;516.0;978;26.0;171.0;729.0;59.0;22.0;19.0
117;Totaal alle bedrijfstypen;Flevoland (PV);1998;2358;90;;;;81;102;12;;;49;;;;;;
118;Totaal alle bedrijfstypen;Flevoland (PV);1999;2381;73;;;44.0;55;82;21;;;42;;;;;;
119;Totaal alle bedrijfstypen;Flevoland (PV);2003;2186;129;;;82.0;44;57;9;3.0;303.0;638;;;;;;
120;Totaal alle bedrijfstypen;Flevoland (PV);2005;2122;102;;;85.0;58;51;13;2.0;230.0;279;;;;;;
121;Totaal alle bedrijfstypen;Flevoland (PV);2007;2039;62;;;66.0;53;13;14;0.0;117.0;176;;;;;;
122;Totaal alle bedrijfstypen;Flevoland (PV);2008;1978;45;;;64.0;31;30;12;1.0;101.0;86;;;;48.0;42.0;10.0
123;Totaal alle bedrijfstypen;Flevoland (PV);2009;1923;48;;;54.0;38;32;18;0.0;103.0;84;5.0;3.0;;46.0;46.0;8.0
124;Totaal alle bedrijfstypen;Flevoland (PV);2010;1890;66;;;76.0;44;63;19;1.0;189.0;84;8.0;23.0;207.0;54.0;38.0;8.0
125;Totaal alle bedrijfstypen;Flevoland (PV);2011;1859;71;;;75.0;41;77;20;2.0;211.0;85;4.0;32.0;241.0;56.0;38.0;6.0
126;Totaal alle bedrijfstypen;Flevoland (PV);2013;1806;66;;;58.0;48;60;16;0.0;203.0;60;6.0;20.0;181.0;59.0;36.0;5.0
127;Totaal alle bedrijfstypen;Flevoland (PV);2016;1694;64;;;52.0;20;49;13;1.0;181.0;23;2.0;21.0;188.0;69.0;28.0;3.0
128;Totaal alle bedrijfstypen;Flevoland (PV);2020;1654;219;123.0;149.0;72.0;28;59;10;1.0;385.0;93;6.0;38.0;364.0;63.0;25.0;12.0
129;Totaal alle bedrijfstypen;Flevoland (PV);2023;1611;250;133.0;162.0;78.0;32;60;8;0.0;404.0;130;6.0;55.0;457.0;63.0;25.0;12.0
130;Totaal alle bedrijfstypen;Gelderland (PV);1998;18524;588;;;;458;107;83;;;535;;;;;;
131;Totaal alle bedrijfstypen;Gelderland (PV);1999;17623;505;;;306.0;340;139;97;;;713;;;;;;
132;Totaal alle bedrijfstypen;Gelderland (PV);2003;14522;820;;;621.0;412;122;97;19.0;576.0;3599;;;;;;
133;Totaal alle bedrijfstypen;Gelderland (PV);2005;14007;749;;;474.0;484;124;113;8.0;425.0;2084;;;;;;
134;Totaal alle bedrijfstypen;Gelderland (PV);2007;13175;475;;;337.0;417;97;107;5.0;268.0;1077;;;;;;
135;Totaal alle bedrijfstypen;Gelderland (PV);2008;12863;349;;;328.0;359;97;120;4.0;249.0;608;;;;51.0;33.0;16.0
136;Totaal alle bedrijfstypen;Gelderland (PV);2009;12502;355;;;332.0;361;100;132;2.0;262.0;678;10.0;21.0;;51.0;36.0;13.0
137;Totaal alle bedrijfstypen;Gelderland (PV);2010;12359;487;;;445.0;521;147;152;3.0;541.0;1120;36.0;116.0;64.0;58.0;28.0;14.0
138;Totaal alle bedrijfstypen;Gelderland (PV);2011;12005;557;;;542.0;532;145;168;2.0;598.0;1180;40.0;135.0;100.0;57.0;28.0;15.0
139;Totaal alle bedrijfstypen;Gelderland (PV);2013;11516;529;;;431.0;482;143;143;4.0;615.0;969;42.0;147.0;113.0;60.0;26.0;14.0
140;Totaal alle bedrijfstypen;Gelderland (PV);2016;9334;449;;;319.0;339;88;94;1.0;514.0;651;26.0;139.0;96.0;59.0;31.0;10.0
141;Totaal alle bedrijfstypen;Gelderland (PV);2020;8854;1139;850.0;570.0;482.0;341;167;121;2.0;755.0;1160;27.0;177.0;374.0;52.0;26.0;22.0
142;Totaal alle bedrijfstypen;Gelderland (PV);2023;8527;1321;978.0;658.0;541.0;379;220;110;0.0;873.0;1534;25.0;210.0;972.0;54.0;25.0;21.0
143;Totaal alle bedrijfstypen;Utrecht (PV);1998;4099;171;;;;141;62;19;;;196;;;;;;
144;Totaal alle bedrijfstypen;Utrecht (PV);1999;3957;131;;;135.0;80;49;20;;;285;;;;;;
145;Totaal alle bedrijfstypen;Utrecht (PV);2003;3400;214;;;296.0;95;64;21;5.0;249.0;1187;;;;;;
146;Totaal alle bedrijfstypen;Utrecht (PV);2005;3244;190;;;209.0;127;78;30;2.0;177.0;913;;;;;;
147;Totaal alle bedrijfstypen;Utrecht (PV);2007;3050;122;;;166.0;126;53;30;1.0;123.0;640;;;;;;
148;Totaal alle bedrijfstypen;Utrecht (PV);2008;3000;101;;;169.0;124;50;34;0.0;123.0;432;;;;60.0;29.0;11.0
149;Totaal alle bedrijfstypen;Utrecht (PV);2009;2948;103;;;186.0;120;54;36;1.0;142.0;534;7.0;5.0;;58.0;33.0;9.0
150;Totaal alle bedrijfstypen;Utrecht (PV);2010;2940;135;;;246.0;150;65;45;1.0;243.0;675;15.0;62.0;18.0;58.0;31.0;11.0
151;Totaal alle bedrijfstypen;Utrecht (PV);2011;2857;147;;;287.0;153;62;53;2.0;258.0;698;15.0;66.0;31.0;58.0;29.0;13.0
152;Totaal alle bedrijfstypen;Utrecht (PV);2013;2779;149;;;229.0;148;67;50;4.0;250.0;621;15.0;82.0;43.0;57.0;32.0;11.0
153;Totaal alle bedrijfstypen;Utrecht (PV);2016;2248;133;;;169.0;113;61;43;1.0;244.0;393;10.0;71.0;30.0;58.0;35.0;7.0
154;Totaal alle bedrijfstypen;Utrecht (PV);2020;2338;334;262.0;172.0;274.0;136;82;47;1.0;327.0;737;12.0;93.0;171.0;52.0;30.0;18.0
155;Totaal alle bedrijfstypen;Utrecht (PV);2023;2267;373;288.0;183.0;331.0;137;101;53;0.0;363.0;858;13.0;94.0;331.0;56.0;26.0;18.0
156;Totaal alle bedrijfstypen;Noord-Holland (PV);1998;7535;323;;;;258;199;23;;;372;;;;;;
157;Totaal alle bedrijfstypen;Noord-Holland (PV);1999;7403;254;;;171.0;203;170;41;;;471;;;;;;
158;Totaal alle bedrijfstypen;Noord-Holland (PV);2003;6216;440;;;380.0;247;137;31;28.0;459.0;2063;;;;;;
159;Totaal alle bedrijfstypen;Noord-Holland (PV);2005;5852;341;;;296.0;252;120;45;3.0;350.0;1173;;;;;;
160;Totaal alle bedrijfstypen;Noord-Holland (PV);2007;5409;213;;;258.0;198;61;66;3.0;188.0;753;;;;;;
161;Totaal alle bedrijfstypen;Noord-Holland (PV);2008;5300;166;;;236.0;209;63;77;0.0;208.0;523;;;;49.0;36.0;15.0
162;Totaal alle bedrijfstypen;Noord-Holland (PV);2009;5114;166;;;256.0;214;67;81;0.0;230.0;578;6.0;9.0;;46.0;43.0;11.0
163;Totaal alle bedrijfstypen;Noord-Holland (PV);2010;5017;227;;;309.0;250;134;101;1.0;401.0;717;15.0;63.0;92.0;53.0;34.0;13.0
164;Totaal alle bedrijfstypen;Noord-Holland (PV);2011;4863;266;;;344.0;266;149;106;4.0;424.0;739;13.0;98.0;108.0;52.0;35.0;13.0
165;Totaal alle bedrijfstypen;Noord-Holland (PV);2013;4588;238;;;296.0;264;114;99;1.0;367.0;730;15.0;84.0;108.0;55.0;33.0;12.0
166;Totaal alle bedrijfstypen;Noord-Holland (PV);2016;3698;201;;;181.0;194;77;77;0.0;316.0;472;13.0;60.0;92.0;58.0;34.0;8.0
167;Totaal alle bedrijfstypen;Noord-Holland (PV);2020;3457;654;410.0;374.0;278.0;210;123;97;1.0;506.0;649;14.0;72.0;320.0;48.0;29.0;23.0
168;Totaal alle bedrijfstypen;Noord-Holland (PV);2023;3348;663;438.0;357.0;310.0;231;127;99;0.0;516.0;723;14.0;111.0;501.0;49.0;29.0;22.0
169;Totaal alle bedrijfstypen;Zuid-Holland (PV);1998;12349;415;;;;279;241;33;;;380;;;;;;
170;Totaal alle bedrijfstypen;Zuid-Holland (PV);1999;11960;325;;;200.0;185;187;58;;;519;;;;;;
171;Totaal alle bedrijfstypen;Zuid-Holland (PV);2003;9491;553;;;410.0;200;198;41;25.0;602.0;2171;;;;;;
172;Totaal alle bedrijfstypen;Zuid-Holland (PV);2005;8822;438;;;312.0;233;197;53;5.0;412.0;1481;;;;;;
173;Totaal alle bedrijfstypen;Zuid-Holland (PV);2007;8069;299;;;237.0;209;150;58;2.0;256.0;992;;;;;;
174;Totaal alle bedrijfstypen;Zuid-Holland (PV);2008;7730;235;;;212.0;159;139;62;0.0;276.0;747;;;;57.0;33.0;10.0
175;Totaal alle bedrijfstypen;Zuid-Holland (PV);2009;7412;232;;;227.0;165;147;67;0.0;267.0;849;5.0;12.0;;56.0;35.0;9.0
176;Totaal alle bedrijfstypen;Zuid-Holland (PV);2010;7246;293;;;320.0;222;178;85;1.0;471.0;940;10.0;88.0;128.0;56.0;33.0;11.0
177;Totaal alle bedrijfstypen;Zuid-Holland (PV);2011;7002;317;;;356.0;220;190;85;2.0;496.0;955;13.0;113.0;162.0;56.0;32.0;12.0
178;Totaal alle bedrijfstypen;Zuid-Holland (PV);2013;6499;333;;;305.0;221;160;88;0.0;445.0;871;12.0;87.0;79.0;57.0;32.0;11.0
179;Totaal alle bedrijfstypen;Zuid-Holland (PV);2016;5084;257;;;199.0;130;123;67;0.0;407.0;678;11.0;74.0;46.0;58.0;33.0;9.0
180;Totaal alle bedrijfstypen;Zuid-Holland (PV);2020;4455;848;514.0;514.0;279.0;144;160;86;1.0;501.0;778;7.0;95.0;220.0;50.0;27.0;23.0
