ID;BedrijfstakBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenJaarEerder_4;TotaleOmzet_5;Verkoopprijzen_6;Personeelssterkte_7;OnvoldoendeVraag_8;Financieel_9;NederlandseMarkt_10;BuitenlandseMarktBinnenEU_11;BuitenlandseMarktBuitenEU_12;AantalFaillissementen_13;OntwikkelingTOVEenJaarEerder_14;AantalWerkzamePersonen_15;Totaal_16;NettoOmzet_17;OverigeBedrijfsopbrengsten_18;Totaal_19;InkoopwaardeOmzet_20;PersoneleKosten_21;OverigeBedrijfskosten_22;AfschrijvingenOpVasteActiva_23;Bedrijfsresultaat_24
12;B Delfstoffenwinning;2010 3e kwartaal;63.0;12.8;107.6;11.8;-29.0;31.6;12.2;12.7;4.3;0.0;12.0;7.1;0.0;;;;;;;;;;;
13;B Delfstoffenwinning;2010 4e kwartaal;137.1;24.5;106.0;-1.4;19.8;17.6;-0.1;16.8;7.5;-1.5;-0.4;0.9;0.0;;;;;;;;;;;
14;B Delfstoffenwinning;2010;100.0;3.0;100.1;1.5;;;;;;;;;0.0;;11.7;38625.0;38194.0;431.0;30973.0;20817.0;996.0;7748.0;1411.0;7652.0
15;B Delfstoffenwinning;2011 1e kwartaal;156.7;22.9;111.6;5.3;20.8;24.6;0.4;4.5;0.0;0.0;11.1;10.9;1.0;;;;;;;;;;;
16;B Delfstoffenwinning;2011 2e kwartaal;83.2;14.8;119.2;6.8;3.2;27.1;8.7;6.4;4.9;0.0;13.4;6.4;0.0;;;;;;;;;;;
17;B Delfstoffenwinning;2011 3e kwartaal;78.0;23.7;121.7;2.1;18.1;11.5;47.3;2.4;0.0;27.7;31.5;28.0;0.0;;;;;;;;;;;
18;B Delfstoffenwinning;2011 4e kwartaal;144.1;5.1;133.0;9.3;7.1;8.1;6.9;16.3;1.2;2.2;1.1;1.6;0.0;;;;;;;;;;;
19;B Delfstoffenwinning;2011;115.5;15.5;121.4;21.4;;;;;;;;;1.0;;14.5;43038.0;42274.0;764.0;35355.0;23637.0;1127.0;8980.0;1612.0;7683.0
20;B Delfstoffenwinning;2012 1e kwartaal;178.6;14.0;128.8;-3.2;21.4;19.5;9.2;16.1;5.4;-1.5;3.8;8.0;0.0;-100.0;;;;;;;;;;
21;B Delfstoffenwinning;2012 2e kwartaal;98.9;18.9;133.7;3.8;29.6;9.0;12.2;12.5;7.2;-7.6;12.3;3.6;0.0;;;;;;;;;;;
22;B Delfstoffenwinning;2012 3e kwartaal;84.0;7.7;132.4;-0.9;-35.1;22.3;20.4;15.4;7.3;2.0;-7.0;12.4;1.0;;;;;;;;;;;
23;B Delfstoffenwinning;2012 4e kwartaal;149.7;3.9;138.0;4.2;40.5;-18.9;7.5;17.8;9.2;-2.9;-0.3;6.7;0.0;;;;;;;;;;;
24;B Delfstoffenwinning;2012;127.8;10.7;133.2;9.7;;;;;;;;;1.0;0.0;15.4;49043.0;48173.0;870.0;40470.0;26170.0;1275.0;11133.0;1892.0;8573.0
25;B Delfstoffenwinning;2013 1e kwartaal;185.2;3.7;131.8;-4.5;44.9;-0.5;25.8;19.6;7.1;-0.5;7.2;0.4;1.0;;;;;;;;;;;
26;B Delfstoffenwinning;2013 2e kwartaal;111.7;13.0;129.1;-2.1;26.4;-2.5;34.9;15.7;3.8;-3.3;0.2;1.7;0.0;;;;;;;;;;;
27;B Delfstoffenwinning;2013 3e kwartaal;92.1;9.6;127.3;-1.4;11.5;-5.5;13.0;15.4;4.5;0.6;-2.2;-2.7;0.0;-100.0;;;;;;;;;;
28;B Delfstoffenwinning;2013 4e kwartaal;145.9;-2.5;129.2;1.5;12.4;7.1;14.6;13.4;6.8;-0.6;-1.2;-0.9;0.0;;;;;;;;;;;
29;B Delfstoffenwinning;2013;133.7;4.6;129.4;-2.9;;;;;;;;;1.0;0.0;15.5;51053.0;50244.0;809.0;42697.0;27463.0;1450.0;12116.0;1668.0;8356.0
30;B Delfstoffenwinning;2014 1e kwartaal;141.5;-23.6;125.6;-4.7;24.8;1.6;37.1;11.4;3.3;6.5;-1.8;5.2;1.0;0.0;;;;;;;;;;
31;B Delfstoffenwinning;2014 2e kwartaal;83.9;-24.9;109.1;-15.5;33.5;-4.8;54.7;7.8;9.7;19.5;21.0;18.6;0.0;;;;;;;;;;;
32;B Delfstoffenwinning;2014 3e kwartaal;76.0;-17.5;102.8;-19.3;-4.8;-30.5;30.8;11.5;6.9;9.4;3.9;4.7;1.0;;;;;;;;;;;
33;B Delfstoffenwinning;2014 4e kwartaal;125.1;-14.3;114.3;-11.5;16.3;21.9;14.8;11.1;4.7;14.5;4.6;0.7;0.0;;;;;;;;;;;
34;B Delfstoffenwinning;2014;106.6;-20.3;112.9;-12.7;;;;;;;;;2.0;100.0;16.8;41570.0;41130.0;440.0;35173.0;23181.0;1509.0;8616.0;1867.0;6397.0
35;B Delfstoffenwinning;2015 1e kwartaal;125.2;-11.5;107.1;-14.7;-3.0;7.9;-2.0;9.4;4.6;-1.9;-3.7;-0.3;0.0;-100.0;;;;;;;;;;
36;B Delfstoffenwinning;2015 2e kwartaal;61.8;-26.3;103.6;-5.0;-14.5;-35.3;-36.4;13.7;4.1;3.1;3.5;9.6;1.0;;;;;;;;;;;
37;B Delfstoffenwinning;2015 3e kwartaal;67.5;-11.2;101.1;-1.6;3.8;-7.9;-19.7;17.2;4.6;0.5;-1.9;-10.5;0.0;-100.0;;;;;;;;;;
38;B Delfstoffenwinning;2015 4e kwartaal;81.8;-34.6;91.1;-20.3;27.1;5.9;-16.8;32.3;4.0;-18.4;-9.1;-0.2;1.0;;;;;;;;;;;
39;B Delfstoffenwinning;2015;84.0;-21.2;100.7;-10.8;;;;;;;;;2.0;0.0;16.8;32665.0;32572.0;94.0;27703.0;18480.0;1710.0;5620.0;1893.0;4962.0
40;B Delfstoffenwinning;2016 1e kwartaal;70.2;-43.9;77.8;-27.3;12.7;-9.5;-31.6;26.7;4.6;11.8;11.6;11.3;0.0;;;;;;;;;;;
41;B Delfstoffenwinning;2016 2e kwartaal;44.5;-28.0;69.6;-32.9;-15.4;-14.8;-9.8;37.6;6.1;-1.7;0.0;-1.3;0.0;-100.0;;;;;;;;;;
42;B Delfstoffenwinning;2016 3e kwartaal;41.3;-38.8;75.1;-25.7;-10.4;-10.3;-17.6;41.1;6.7;-7.8;-10.8;-12.3;0.0;;;;;;;;;;;
43;B Delfstoffenwinning;2016 4e kwartaal;66.0;-19.3;77.9;-14.4;-1.7;-23.0;-58.1;37.2;5.7;-10.5;-6.6;-4.7;0.0;-100.0;;;;;;;;;;
44;B Delfstoffenwinning;2016;55.5;-33.9;75.1;-25.4;;;;;;;;;0.0;-100.0;;;;;;;;;;
45;B Delfstoffenwinning;2017 1e kwartaal;75.5;7.5;88.3;13.5;7.7;-8.2;-43.7;32.1;6.3;-0.9;0.9;3.4;0.0;;;;;;;;;;;
46;B Delfstoffenwinning;2017 2e kwartaal;40.7;-8.4;79.7;14.6;-3.2;-19.8;-37.3;30.7;8.1;0.3;-1.4;1.2;0.0;;;;;;;;;;;
47;B Delfstoffenwinning;2017 3e kwartaal;36.5;-11.6;77.3;2.9;10.0;6.7;-16.0;31.4;6.9;2.7;8.6;5.4;1.0;;;;;;;;;;;
48;B Delfstoffenwinning;2017 4e kwartaal;62.6;-5.1;85.8;10.1;-44.3;26.9;-30.1;28.1;8.3;-1.0;1.7;0.3;0.0;;;;;;;;;;;
49;B Delfstoffenwinning;2017;53.8;-3.0;82.8;10.2;;;;;;;;;1.0;;;;;;;;;;;
50;B Delfstoffenwinning;2018 1e kwartaal;;;;;6.8;43.0;-13.6;21.7;5.9;0.9;5.4;4.1;;;;;;;;;;;;
51;C Industrie;2008 1e kwartaal;112.2;11.4;102.0;1.8;;27.5;9.6;;;4.0;2.1;-2.5;72.0;-30.8;;;;;;;;;;
52;C Industrie;2008 2e kwartaal;120.4;12.0;106.9;4.8;;14.5;9.0;;;3.4;-1.0;-2.6;97.0;-4.9;;;;;;;;;;
53;C Industrie;2008 3e kwartaal;117.3;10.3;108.6;1.5;;17.2;1.1;;;3.0;-1.2;-2.2;93.0;1.1;;;;;;;;;;
54;C Industrie;2008 4e kwartaal;103.3;-9.6;97.7;-10.0;;14.5;-5.9;;;0.1;-1.6;0.4;129.0;6.6;;;;;;;;;;
55;C Industrie;2008;113.3;5.7;103.8;7.4;;;;;;;;;391.0;-6.7;;;;;;;;;;
56;C Industrie;2009 1e kwartaal;85.0;-24.3;90.4;-7.5;;-2.3;-23.7;;;-0.7;-4.1;-3.9;241.0;234.7;;;;;;;;;;
57;C Industrie;2009 2e kwartaal;88.7;-26.3;90.9;0.5;;-17.3;-36.0;;;-7.8;-8.1;-8.8;209.0;115.5;;;;;;;;;;
58;C Industrie;2009 3e kwartaal;90.9;-22.5;92.4;1.6;;-12.9;-32.5;;;-4.3;-6.8;-6.1;196.0;110.8;;;;;;;;;;
59;C Industrie;2009 4e kwartaal;96.5;-6.6;93.4;1.1;;-5.8;-25.6;;;-4.3;-6.1;-6.8;190.0;47.3;;;;;;;;;;
60;C Industrie;2009;90.3;-20.3;91.8;-11.6;;;;;;;;;836.0;113.8;916.2;257204.0;250008.0;7197.0;244949.0;157152.0;41695.0;38202.0;7901.0;12255.0
61;C Industrie;2010 1e kwartaal;91.5;7.7;96.2;3.0;;3.6;-20.0;;;-1.0;2.9;2.0;207.0;-14.1;;;;;;;;;;
62;C Industrie;2010 2e kwartaal;101.5;14.4;100.5;4.5;;4.7;-14.0;;;-0.1;0.7;-2.1;211.0;1.0;;;;;;;;;;
63;C Industrie;2010 3e kwartaal;99.6;9.6;100.4;-0.2;;2.9;-6.6;25.3;6.7;1.1;1.5;4.0;163.0;-16.8;;;;;;;;;;
64;C Industrie;2010 4e kwartaal;107.3;11.3;102.9;2.6;;14.7;-2.8;23.4;4.7;0.0;2.1;1.7;235.0;23.7;;;;;;;;;;
65;C Industrie;2010;100.0;10.8;100.0;9.0;;;;;;;;;816.0;-2.4;906.3;280471.0;271274.0;9197.0;263024.0;172572.0;42235.0;40409.0;7809.0;17447.0
66;C Industrie;2011 1e kwartaal;110.9;21.1;109.1;6.0;;26.9;-1.2;19.3;4.8;5.7;4.7;3.2;175.0;-15.5;;;;;;;;;;
67;C Industrie;2011 2e kwartaal;117.5;15.8;111.7;2.4;;16.8;-0.5;17.9;7.5;2.5;2.4;1.3;165.0;-21.8;;;;;;;;;;
68;C Industrie;2011 3e kwartaal;114.2;14.7;111.5;-0.2;;11.6;-4.6;20.0;4.9;2.2;2.1;0.5;181.0;11.0;;;;;;;;;;
69;C Industrie;2011 4e kwartaal;115.1;7.2;111.3;-0.2;8.0;4.9;-8.1;22.0;6.8;4.8;4.4;4.0;205.0;-12.8;;;;;;;;;;
70;C Industrie;2011;114.4;14.4;110.9;10.9;;;;;;;;;726.0;-11.0;905.8;316812.0;307818.0;8997.0;299204.0;204096.0;44457.0;42412.0;8242.0;17607.0
71;C Industrie;2012 1e kwartaal;113.8;2.6;114.7;3.1;-4.5;14.5;-10.9;25.9;9.2;-0.2;-0.2;-0.7;182.0;4.0;;;;;;;;;;
72;C Industrie;2012 2e kwartaal;115.6;-1.6;114.2;-0.4;5.2;5.1;-9.1;26.0;9.7;1.7;1.5;3.1;255.0;54.5;;;;;;;;;;
73;C Industrie;2012 3e kwartaal;112.3;-1.7;115.5;1.1;-10.8;-3.6;-11.5;25.4;10.3;-0.6;2.0;1.7;213.0;17.7;;;;;;;;;;
74;C Industrie;2012 4e kwartaal;114.2;-0.8;115.3;-0.2;1.1;6.0;-11.8;27.1;10.5;0.5;2.0;3.4;209.0;2.0;;;;;;;;;;
75;C Industrie;2012;114.0;-0.4;114.9;3.6;;;;;;;;;859.0;18.3;887.4;325587.0;316566.0;9020.0;308708.0;213576.0;44512.0;42330.0;8290.0;16878.0
76;C Industrie;2013 1e kwartaal;110.2;-3.2;115.2;-0.1;-10.5;8.8;-12.6;29.0;10.6;-0.2;1.2;2.3;259.0;42.3;;;;;;;;;;
77;C Industrie;2013 2e kwartaal;112.8;-2.4;112.8;-2.1;6.1;-3.3;-12.7;30.2;10.6;-1.5;1.4;0.9;244.0;-4.3;;;;;;;;;;
78;C Industrie;2013 3e kwartaal;114.1;1.6;113.3;0.5;-5.8;-1.9;-11.9;26.4;11.4;3.3;3.2;1.5;170.0;-20.2;;;;;;;;;;
79;C Industrie;2013 4e kwartaal;116.4;2.0;112.3;-0.9;16.0;0.2;-8.4;27.4;11.3;0.2;2.0;1.2;166.0;-20.6;;;;;;;;;;
80;C Industrie;2013;113.4;-0.5;113.4;-1.3;;;;;;;;;839.0;-2.3;882.4;314539.0;306453.0;8085.0;299339.0;206383.0;44386.0;40696.0;7873.0;15200.0
81;C Industrie;2014 1e kwartaal;112.6;2.2;112.2;-2.7;-2.2;9.6;-10.2;24.9;10.3;2.6;3.3;4.2;159.0;-38.6;;;;;;;;;;
82;C Industrie;2014 2e kwartaal;115.0;1.9;112.3;-0.4;16.7;0.5;-0.7;23.7;11.2;1.9;2.7;1.7;171.0;-29.9;;;;;;;;;;
83;C Industrie;2014 3e kwartaal;112.4;-1.5;111.9;-1.2;1.9;0.6;-3.3;24.1;11.2;0.8;1.4;2.4;123.0;-27.6;;;;;;;;;;
84;C Industrie;2014 4e kwartaal;111.6;-4.1;107.1;-4.6;17.5;2.2;-5.7;24.8;9.9;2.8;3.0;3.3;112.0;-32.5;;;;;;;;;;
85;C Industrie;2014;112.9;-0.4;110.9;-2.2;;;;;;;;;565.0;-32.7;880.2;335571.0;328367.0;7203.0;320566.0;214951.0;45870.0;51879.0;7866.0;15005.0
86;C Industrie;2015 1e kwartaal;106.1;-5.7;102.3;-8.8;-2.9;6.8;-5.8;23.3;9.3;5.5;2.6;3.9;116.0;-27.0;;;;;;;;;;
87;C Industrie;2015 2e kwartaal;114.2;-0.7;106.4;-5.2;12.3;1.1;-2.6;19.9;8.6;3.2;2.8;4.0;106.0;-38.0;;;;;;;;;;
88;C Industrie;2015 3e kwartaal;110.5;-1.7;103.3;-7.7;4.3;1.5;-1.6;17.6;8.8;1.9;2.0;1.9;83.0;-32.5;;;;;;;;;;
89;C Industrie;2015 4e kwartaal;111.3;-0.3;99.6;-7.0;19.2;3.0;-1.6;20.3;8.5;3.3;3.4;3.3;87.0;-22.3;;;;;;;;;;
90;C Industrie;2015;110.5;-2.1;102.9;-7.2;;;;;;;;;392.0;-30.6;874.7;333595.0;326246.0;7348.0;314532.0;204070.0;46879.0;55889.0;7693.0;19063.0
91;C Industrie;2016 1e kwartaal;102.4;-3.5;96.0;-6.2;0.0;10.5;-0.8;19.6;7.1;4.7;2.8;2.4;93.0;-19.8;;;;;;;;;;
92;C Industrie;2016 2e kwartaal;107.6;-5.8;98.7;-7.3;15.4;0.7;-0.2;19.6;7.5;1.3;1.2;1.2;92.0;-13.2;;;;;;;;;;
93;C Industrie;2016 3e kwartaal;107.0;-3.2;99.7;-3.4;4.4;2.4;-0.4;16.2;7.1;3.6;1.8;1.9;79.0;-4.8;;;;;;;;;;
94;C Industrie;2016 4e kwartaal;112.5;1.1;102.2;2.6;14.9;5.7;-0.2;16.8;8.0;2.0;0.4;0.5;101.0;16.1;;;;;;;;;;
95;C Industrie;2016;107.4;-2.9;99.2;-3.7;;;;;;;;;365.0;-6.9;;;;;;;;;;
96;C Industrie;2017 1e kwartaal;113.4;10.7;105.9;10.3;7.1;17.1;1.7;14.9;7.7;5.9;2.9;3.3;64.0;-31.2;;;;;;;;;;
97;C Industrie;2017 2e kwartaal;115.3;7.2;104.5;5.8;20.5;7.2;10.3;14.2;6.3;5.5;2.3;2.1;87.0;-5.4;;;;;;;;;;
98;C Industrie;2017 3e kwartaal;112.8;5.5;103.7;3.9;4.2;4.6;13.0;12.3;6.1;5.6;3.5;2.7;63.0;-20.3;;;;;;;;;;
99;C Industrie;2017 4e kwartaal;120.1;6.7;106.1;3.8;25.8;11.9;11.1;11.4;6.1;5.0;3.4;2.7;61.0;-39.6;;;;;;;;;;
100;C Industrie;2017;115.4;7.5;105.0;5.9;;;;;;;;;275.0;-24.7;;;;;;;;;;
101;C Industrie;2018 1e kwartaal;;;;;11.9;21.6;12.7;10.0;5.3;6.7;5.6;3.8;;;;;;;;;;;;
102;Vervaardiging van consumentenartikelen;2008 1e kwartaal;;;99.9;1.1;;24.1;1.8;;;5.1;3.0;-2.1;;;;;;;;;;;;
103;Vervaardiging van consumentenartikelen;2008 2e kwartaal;;;100.4;0.6;;8.6;3.1;;;4.6;-0.1;-2.2;;;;;;;;;;;;
104;Vervaardiging van consumentenartikelen;2008 3e kwartaal;;;100.4;-0.1;;12.8;-2.8;;;1.9;0.1;-1.6;;;;;;;;;;;;
105;Vervaardiging van consumentenartikelen;2008 4e kwartaal;;;99.0;-1.4;;12.8;-11.6;;;0.2;-3.5;-0.6;;;;;;;;;;;;
106;Vervaardiging van consumentenartikelen;2008;;;99.9;4.7;;;;;;;;;;;;;;;;;;;;
107;Vervaardiging van consumentenartikelen;2009 1e kwartaal;;;97.5;-1.4;;2.3;-12.5;;;-0.7;-4.5;-6.1;78.0;;;;;;;;;;;
108;Vervaardiging van consumentenartikelen;2009 2e kwartaal;;;96.3;-1.3;;-9.2;-22.8;;;-2.7;-4.1;-6.9;83.0;;;;;;;;;;;
109;Vervaardiging van consumentenartikelen;2009 3e kwartaal;;;96.3;0.1;;-5.5;-24.1;;;0.3;-6.8;-4.3;58.0;;;;;;;;;;;
110;Vervaardiging van consumentenartikelen;2009 4e kwartaal;;;96.9;0.6;;-3.3;-21.6;;;3.3;-3.7;-3.8;63.0;;;;;;;;;;;
111;Vervaardiging van consumentenartikelen;2009;;;96.8;-3.2;;;;;;;;;282.0;;;;;;;;;;;
112;Vervaardiging van consumentenartikelen;2010 1e kwartaal;;;97.9;1.1;;7.1;-17.2;;;2.8;6.6;0.9;97.0;24.4;;;;;;;;;;
113;Vervaardiging van consumentenartikelen;2010 2e kwartaal;;;99.4;1.5;;5.3;-16.6;;;4.6;3.3;-2.7;98.0;18.1;;;;;;;;;;
114;Vervaardiging van consumentenartikelen;2010 3e kwartaal;;;100.5;1.1;;1.1;-12.4;19.1;3.8;6.1;0.9;3.3;66.0;13.8;;;;;;;;;;
115;Vervaardiging van consumentenartikelen;2010 4e kwartaal;;;102.2;1.7;;17.3;-9.0;16.1;3.3;1.6;1.4;0.4;115.0;82.5;;;;;;;;;;
116;Vervaardiging van consumentenartikelen;2010;;;100.0;3.4;;;;;;;;;376.0;33.3;;;;;;;;;;
117;Vervaardiging van consumentenartikelen;2011 1e kwartaal;103.3;;105.5;3.2;;30.8;-11.0;16.2;1.6;7.8;4.4;2.1;73.0;-24.7;;;;;;;;;;
118;Vervaardiging van consumentenartikelen;2011 2e kwartaal;108.2;;106.4;0.9;;20.5;-9.2;17.4;1.8;6.4;3.1;-0.4;70.0;-28.6;;;;;;;;;;
119;Vervaardiging van consumentenartikelen;2011 3e kwartaal;107.4;;106.3;-0.1;;20.2;-12.3;17.9;2.6;3.4;2.5;-0.6;79.0;19.7;;;;;;;;;;
120;Vervaardiging van consumentenartikelen;2011 4e kwartaal;109.9;;107.1;0.8;20.2;15.6;-6.7;19.4;7.2;3.6;2.0;3.6;76.0;-33.9;;;;;;;;;;
121;Vervaardiging van consumentenartikelen;2011;107.2;;106.3;6.3;;;;;;;;;298.0;-20.7;;;;;;;;;;
122;Vervaardiging van consumentenartikelen;2012 1e kwartaal;100.5;-2.7;108.6;1.4;-6.0;17.4;-8.9;22.8;7.3;-3.1;2.4;1.6;65.0;-11.0;;;;;;;;;;
123;Vervaardiging van consumentenartikelen;2012 2e kwartaal;103.8;-4.1;109.1;0.5;5.0;9.4;-6.1;23.7;7.0;1.9;0.3;1.7;78.0;11.4;;;;;;;;;;
124;Vervaardiging van consumentenartikelen;2012 3e kwartaal;102.3;-4.8;111.0;1.7;-7.4;-0.8;-6.8;23.5;7.3;-0.7;4.3;2.4;68.0;-13.9;;;;;;;;;;
125;Vervaardiging van consumentenartikelen;2012 4e kwartaal;106.0;-3.6;112.3;1.2;12.0;18.7;-8.0;24.6;8.7;2.6;0.8;2.0;86.0;13.2;;;;;;;;;;
126;Vervaardiging van consumentenartikelen;2012;103.1;-3.8;110.2;3.7;;;;;;;;;297.0;-0.3;;;;;;;;;;
127;Vervaardiging van consumentenartikelen;2013 1e kwartaal;103.1;2.6;111.5;-0.7;-13.2;14.0;-11.3;23.6;8.3;-1.7;1.4;4.4;108.0;66.2;;;;;;;;;;
128;Vervaardiging van consumentenartikelen;2013 2e kwartaal;108.4;4.4;111.2;-0.4;0.8;1.8;-13.2;23.7;8.5;-2.4;1.1;0.6;84.0;7.7;;;;;;;;;;
129;Vervaardiging van consumentenartikelen;2013 3e kwartaal;109.1;6.6;111.2;0.0;-10.3;6.1;-12.4;22.0;9.8;4.2;2.8;1.9;60.0;-11.8;;;;;;;;;;
130;Vervaardiging van consumentenartikelen;2013 4e kwartaal;114.0;7.6;111.8;0.5;20.0;3.6;-9.8;23.7;10.0;-1.0;0.9;-0.2;52.0;-39.5;;;;;;;;;;
131;Vervaardiging van consumentenartikelen;2013;108.7;5.3;111.4;1.1;;;;;;;;;304.0;2.4;;;;;;;;;;
132;Vervaardiging van consumentenartikelen;2014 1e kwartaal;107.0;3.7;112.1;0.5;-11.0;12.1;-15.0;24.0;9.8;1.0;3.5;4.5;60.0;-44.4;;;;;;;;;;
133;Vervaardiging van consumentenartikelen;2014 2e kwartaal;112.0;3.4;111.8;0.6;13.2;5.3;-6.4;25.3;9.9;5.5;5.5;4.5;69.0;-17.9;;;;;;;;;;
134;Vervaardiging van consumentenartikelen;2014 3e kwartaal;108.4;-0.6;111.1;-0.1;-2.1;4.1;-6.9;21.1;8.5;0.3;0.3;1.1;51.0;-15.0;;;;;;;;;;
135;Vervaardiging van consumentenartikelen;2014 4e kwartaal;113.4;-0.5;109.4;-2.1;15.7;1.1;-4.7;21.0;9.9;-2.6;-1.7;-0.1;44.0;-15.4;;;;;;;;;;
136;Vervaardiging van consumentenartikelen;2014;110.2;1.4;111.1;-0.3;;;;;;;;;224.0;-26.3;;;;;;;;;;
137;Vervaardiging van consumentenartikelen;2015 1e kwartaal;109.5;2.4;108.9;-2.9;-14.6;10.2;-5.4;21.4;9.5;4.4;3.0;1.0;45.0;-25.0;;;;;;;;;;
138;Vervaardiging van consumentenartikelen;2015 2e kwartaal;115.2;2.8;109.0;-2.5;13.6;4.5;0.2;19.0;7.0;2.3;1.8;3.7;48.0;-30.4;;;;;;;;;;
139;Vervaardiging van consumentenartikelen;2015 3e kwartaal;113.7;4.9;107.9;-2.8;-0.7;2.3;-0.3;18.3;6.9;0.4;0.0;1.0;37.0;-27.5;;;;;;;;;;
140;Vervaardiging van consumentenartikelen;2015 4e kwartaal;119.7;5.5;108.1;-1.2;20.0;4.2;-0.7;16.6;7.5;0.0;0.6;3.0;33.0;-25.0;;;;;;;;;;
141;Vervaardiging van consumentenartikelen;2015;114.5;3.9;108.5;-2.4;;;;;;;;;163.0;-27.2;;;;;;;;;;
142;Vervaardiging van consumentenartikelen;2016 1e kwartaal;111.5;1.8;107.4;-1.3;-2.7;11.1;-1.9;17.5;6.2;5.6;4.1;2.4;33.0;-26.7;;;;;;;;;;
143;Vervaardiging van consumentenartikelen;2016 2e kwartaal;117.3;1.8;107.9;-1.0;18.3;-4.0;1.4;18.4;6.7;2.6;2.9;3.6;32.0;-33.3;;;;;;;;;;
144;Vervaardiging van consumentenartikelen;2016 3e kwartaal;113.5;-0.1;109.8;1.8;4.5;-0.1;-1.5;15.5;7.0;1.2;0.3;0.8;30.0;-18.9;;;;;;;;;;
145;Vervaardiging van consumentenartikelen;2016 4e kwartaal;118.4;-1.1;111.7;3.3;19.1;12.1;0.9;14.0;7.8;3.5;2.2;1.0;35.0;6.1;;;;;;;;;;
146;Vervaardiging van consumentenartikelen;2016;115.2;0.6;109.2;0.7;;;;;;;;;130.0;-20.2;;;;;;;;;;
147;Vervaardiging van consumentenartikelen;2017 1e kwartaal;116.2;4.2;113.0;5.2;-6.7;19.0;-3.0;11.4;6.3;6.6;3.4;3.3;24.0;-27.3;;;;;;;;;;
148;Vervaardiging van consumentenartikelen;2017 2e kwartaal;119.1;1.6;113.2;4.9;16.7;5.6;5.3;12.4;5.3;5.7;1.6;3.1;38.0;18.8;;;;;;;;;;
149;Vervaardiging van consumentenartikelen;2017 3e kwartaal;118.2;4.1;112.7;2.6;7.1;4.8;2.1;11.8;4.9;6.0;2.5;3.5;25.0;-16.7;;;;;;;;;;
150;Vervaardiging van consumentenartikelen;2017 4e kwartaal;124.3;5.0;112.6;0.8;24.0;6.4;8.7;9.4;5.4;4.3;1.5;2.5;28.0;-20.0;;;;;;;;;;
151;Vervaardiging van consumentenartikelen;2017;119.4;3.7;112.9;3.4;;;;;;;;;115.0;-11.5;;;;;;;;;;
