ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;Groothandel_3;Detailhandel_4;Handelsbemiddeling_5;ReparatieOnderhoudEnHerstellen_6;VerhuurEnOperationalLease_7;OverigeDienstverlening_8;TotaalNettoOmzetHandel_9;NieuwePersonenautoS_10;NieuweVrachtautoS_11;NieuweAanhangersEnOpleggers_12;AccessoiresEnOnderdelen_13;MotorbrandstoffenEnOlie_14;Banden_15;GebruiktePersonenautoS_16;GebruikteVrachtautoS_17;GebruikteAanhangersEnOpleggers_18;OverigeHandelsgoederen_19;Bedrijven_20;TotaalNettoOmzetUitHoofdactiviteit_21;HandelLeveringEnMontage_22;ReparatieAutoOnderdelen_23;Autowasserij_24;Carrosserieherstel_25;CleanenReinigenOntvetten_26;SlepenEnBergen_27;OverigeDienstverlening_28;TotaalNettoOmzetHandel_29;AccuS_30;Autoruiten_31;BandenInclusiefUitlijnenBalanceren_32;Schokbrekers_33;RadiateursStartmotorenDynamoS_34;Uitlaten_35;OverigeHandelsgoederen_36;TotaalNettoOmzetOverigeActiviteiten_37;UitbesteedWerk_38;Handel_39;OverigeDienstverlening_40;Bedrijven_41;TotaalNettoOmzetUitHoofdactiviteit_42;Groothandel_43;Detailhandel_44;Handelsbemiddeling_45;OverigeDienstverlening_46;TotaalNettoOmzetHandel_47;AccessoiresEnOnderdelen_48;BandenVoorPersonenBedrijfsautoS_49;BandenVoorVliegtuigenLandbouwEn_50;OverigeHandelsgoederen_51;TotaalNettoOmzetOverigeActiviteiten_52;ReparatieOnderhoudEnHerstellen_53;UitbesteedWerk_54;Handel_55;OverigeDienstverlening_56;Bedrijven_57;TotaalNettoOmzetUitHoofdactiviteit_58;Groothandel_59;Detailhandel_60;OverigeDienstverlening_61;Handelsbemiddeling_62;TotaalNettoOmzetHandel_63;NieuweMotorfietsen_64;GebruikteMotorfietsen_65;Bromfietsen_66;MotorkledingEnHelmen_67;AccessoiresEnOnderdelen_68;OverigeHandelsgoederen_69;TotaalNettoOmzetOverigeActiviteiten_70;Verhuur_71;UitbesteedWerk_72;Handel_73;ReparatieOnderhoudEnHerstellen_74;OverigeDienstverlening_75;Bedrijven_76;TotaalNettoOmzetUitHoofdactiviteit_77;HandelMotorbrandstoffenEnDergelijke_78;OverigeDienstverlening_79;TotaalNettoOmzetHandel_80;SuperLoodvrij_81;Superbenzine_82;EuroLoodvrij_83;Mengbenzine_84;Diesel_85;AutogasLpg_86;Motorolie_87;Zoetwaren_88;IJs_89;DrankenWarmEnKoud_90;Snacks_91;TabaksartikelenEnRookgerei_92;OverigeVoedingsEnGenotmiddelen_93;TijdschriftenEnKranten_94;AudiovisueleProducten_95;Bloemen_96;AccessoiresOnderdelenEnBanden_97;OverigeHandelsgoederenNietEerder_98;TotaalNettoOmzetOverigeActiviteiten_99;ReparatieOnderhoudEnHerstellen_100;Verhuur_101;Autowassen_102;Handel_103;OverigeDienstverleningNietEerder_104
12;5030a GH auto-onderdelen, accessoires ..;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1785.0;6071.0;5734.0;270.0;1.0;65.0;6005.0;3616.0;2173.0;64.0;152.0;108.0;36.0;0.0;39.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;5030a GH auto-onderdelen, accessoires ..;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1585.0;5917.0;5601.0;282.0;3.0;32.0;5886.0;3715.0;1940.0;81.0;149.0;135.0;40.0;1.0;18.0;76.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;5030a GH auto-onderdelen, accessoires ..;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1575.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;5030a GH auto-onderdelen, accessoires ..;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1605.0;5957.0;5593.0;301.0;12.0;50.0;5907.0;4266.0;1445.0;89.0;106.0;194.0;19.0;1.0;25.0;150.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;504 Handel en reparatie van motorfietsen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;820.0;1321.0;800.0;471.0;21.0;28.0;1300.0;546.0;166.0;36.0;167.0;281.0;103.0;23.0;3.0;0.0;0.0;19.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;504 Handel en reparatie van motorfietsen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;775.0;1289.0;794.0;491.0;1.0;3.0;1287.0;621.0;162.0;18.0;114.0;285.0;89.0;50.0;2.0;0.0;3.0;43.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;504 Handel en reparatie van motorfietsen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845.0;1290.0;843.0;436.0;8.0;3.0;1281.0;603.0;175.0;24.0;102.0;284.0;94.0;18.0;1.0;0.0;2.0;13.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;504 Handel en reparatie van motorfietsen;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;900.0;1277.0;806.0;463.0;5.0;4.0;1272.0;518.0;199.0;13.0;158.0;279.0;106.0;37.0;2.0;0.0;2.0;32.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;505 Benzineservicestations;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1445.0;7333.0;7314.0;19.0;7314.0;381.0;170.0;3330.0;22.0;1928.0;263.0;28.0;100.0;18.0;97.0;42.0;604.0;70.0;35.0;13.0;16.0;57.0;139.0;149.0;10.0;9.0;55.0;29.0;46.0
21;505 Benzineservicestations;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1290.0;7766.0;7763.0;3.0;7763.0;283.0;78.0;3696.0;90.0;2125.0;193.0;25.0;107.0;21.0;107.0;53.0;648.0;79.0;39.0;30.0;18.0;44.0;128.0;138.0;18.0;6.0;49.0;32.0;33.0
22;505 Benzineservicestations;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1265.0;8032.0;8030.0;3.0;8030.0;316.0;49.0;3546.0;12.0;2493.0;214.0;28.0;119.0;26.0;112.0;56.0;707.0;69.0;37.0;16.0;18.0;41.0;171.0;242.0;;;;;
23;505 Benzineservicestations;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1230.0;8943.0;8942.0;2.0;8942.0;339.0;31.0;3823.0;12.0;2947.0;227.0;29.0;117.0;23.0;116.0;49.0;795.0;79.0;36.0;23.0;19.0;47.0;230.0;122.0;18.0;6.0;47.0;8.0;43.0
