ID;Periods;TotalRegisteredUnemployed_1;k_1625Years_2;k_2535Years_3;k_3565Years_4;Registered1Year_5;Registered1Year_6;UnknownRegistered_7;TotalMen_8;Men1625Years_9;Men2565Years_10;MenRegistered1Year_11;MenRegistered1Year_12;MenDurationUnknown_13;TotalWomen_14;Women1625Years_15;Women2565Years_16;WomenRegistered1Year_17;WomenRegistered1Year_18;WomenDurationUnknown_19;ChangeOnSamePeriodPreviousYear_20;TotalRegisteredUnemployment_21;k_1625Years_22;k_2535Years_23;k_3565Years_24;TotalMen_25;Men1625Years_26;Men2565Years_27;TotalWomen_28;Women1625Years_29;Women25654Years_30
52;2011 3rd quarter;202;10;36;155;132;63;7;118;6;112;77;37;4;84;5;80;55;27;3;-11;2.6;1.1;2.1;3.0;2.7;1.2;2.9;2.4;1.1;2.6
53;2011 4th quarter;221;10;43;167;142;66;13;131;5;126;84;38;9;90;5;85;58;28;4;16;2.8;1.2;2.5;3.2;3.0;1.3;3.2;2.6;1.2;2.7
54;2011;213;10;40;163;137;67;8;125;6;119;80;40;6;88;5;83;57;28;2;-18;2.7;1.2;2.3;3.1;2.9;1.3;3.1;2.5;1.1;2.7
55;2012 1st quarter;250;15;53;181;166;74;11;154;8;146;105;43;6;96;7;89;61;31;4;27;3.2;1.9;3.1;3.4;3.6;1.8;3.7;2.8;1.9;2.9
56;2012 2nd quarter;247;16;47;185;163;73;11;146;9;137;95;45;6;101;7;94;68;29;5;42;3.1;1.8;2.7;3.5;3.4;1.9;3.5;2.9;1.7;3.0
57;2012 3rd quarter;250;12;53;186;173;71;6;147;5;142;103;41;3;103;6;97;70;30;3;48;3.1;1.3;3.0;3.5;3.4;1.1;3.6;2.9;1.4;3.1
58;2012 4th quarter;259;15;54;190;186;71;2;152;7;144;107;43;2;108;7;100;79;28;1;38;3.3;1.7;3.1;3.6;3.5;1.7;3.7;3.0;1.8;3.2
59;2012;252;14;52;185;172;72;7;150;7;142;102;43;4;102;7;95;70;29;3;39;3.2;1.7;3.0;3.5;3.4;1.6;3.7;2.9;1.7;3.0
60;2013 1st quarter;315;20;69;227;232;83;1;194;10;184;143;51;0;121;10;112;89;32;0;65;4.0;2.3;3.9;4.3;4.5;2.4;4.7;3.4;2.3;3.5
61;2013 2nd quarter;327;19;65;244;243;84;0;199;9;189;150;49;0;129;9;120;93;35;0;80;4.1;2.1;3.7;4.6;4.6;2.1;4.8;3.6;2.2;3.8
62;2013 3rd quarter;327;16;64;246;239;88;0;193;8;185;143;50;0;134;9;125;96;38;0;77;4.1;1.8;3.6;4.6;4.4;1.6;4.7;3.7;1.9;4.0
63;2013 4th quarter;369;21;72;277;261;108;0;218;9;210;154;65;0;150;12;139;108;43;0;110;4.7;2.5;4.1;5.2;5.0;2.0;4.8;4.2;2.8;4.4
64;2013;335;19;67;248;244;91;0;201;9;192;147;54;0;134;10;124;97;37;0;83;4.2;2.2;3.8;4.7;4.6;2.0;6.3;3.7;2.3;3.9
65;2014 1st quarter;391;22;71;297;270;121;0;227;8;220;156;71;0;163;15;149;113;50;0;76;5.0;2.8;4.1;5.6;5.3;1.9;5.6;4.6;3.9;4.7
66;2014 2nd quarter;392;19;74;299;258;133;0;225;8;217;147;78;0;167;11;156;111;55;0;65;5.0;2.4;4.2;5.6;5.2;2.0;5.5;4.7;2.7;5.0
67;2014 3rd quarter;372;16;68;288;233;139;0;210;5;205;131;79;0;162;11;151;102;60;0;45;4.7;1.9;3.9;5.5;4.8;1.1;5.3;4.5;2.6;4.8
