ID;Herkomst;Perioden;TotaalGeadopteerdeKinderen_1;GeadopteerdeMeisjes_2;GeadopteerdeJongens_3
93;In Nederland geboren kinderen;1994;61;33;28
94;In Nederland geboren kinderen;1995;60;25;35
95;In Nederland geboren kinderen;1996;66;29;37
96;In Nederland geboren kinderen;1997;48;23;25
97;In Nederland geboren kinderen;1998;50;28;22
98;In Nederland geboren kinderen;1999;35;21;14
99;In Nederland geboren kinderen;2000;42;19;23
100;In Nederland geboren kinderen;2001;27;14;13
101;In Nederland geboren kinderen;2002;35;18;17
102;In Nederland geboren kinderen;2003;43;19;24
103;In Nederland geboren kinderen;2004;49;20;29
104;In Nederland geboren kinderen;2005;38;19;19
105;In Nederland geboren kinderen;2006;29;14;15
106;In Nederland geboren kinderen;2007;21;10;11
107;In Nederland geboren kinderen;2008;28;18;10
108;In Nederland geboren kinderen;2009;40;15;25
109;In Nederland geboren kinderen;2010;36;18;18
110;In Nederland geboren kinderen;2011;28;12;16
111;In Nederland geboren kinderen;2012;34;19;15
112;In het buitenland geboren kinderen;1957;0;0;0
113;In het buitenland geboren kinderen;1958;0;0;0
114;In het buitenland geboren kinderen;1959;0;0;0
115;In het buitenland geboren kinderen;1960;0;0;0
116;In het buitenland geboren kinderen;1961;0;0;0
117;In het buitenland geboren kinderen;1962;0;0;0
118;In het buitenland geboren kinderen;1963;0;0;0
119;In het buitenland geboren kinderen;1964;0;0;0
120;In het buitenland geboren kinderen;1965;45;19;26
121;In het buitenland geboren kinderen;1966;86;35;51
122;In het buitenland geboren kinderen;1967;169;70;99
123;In het buitenland geboren kinderen;1968;161;74;87
124;In het buitenland geboren kinderen;1969;176;66;110
125;In het buitenland geboren kinderen;1970;166;60;106
126;In het buitenland geboren kinderen;1971;166;61;105
127;In het buitenland geboren kinderen;1972;173;76;97
128;In het buitenland geboren kinderen;1973;195;91;104
129;In het buitenland geboren kinderen;1974;567;346;221
130;In het buitenland geboren kinderen;1975;789;481;308
131;In het buitenland geboren kinderen;1976;968;591;378
132;In het buitenland geboren kinderen;1977;1161;708;453
133;In het buitenland geboren kinderen;1978;1163;649;514
134;In het buitenland geboren kinderen;1979;1384;771;613
135;In het buitenland geboren kinderen;1980;1439;755;684
136;In het buitenland geboren kinderen;1981;1682;876;806
137;In het buitenland geboren kinderen;1982;1556;842;714
138;In het buitenland geboren kinderen;1983;1229;739;490
139;In het buitenland geboren kinderen;1984;1211;630;581
140;In het buitenland geboren kinderen;1985;1078;561;517
141;In het buitenland geboren kinderen;1986;1282;718;564
142;In het buitenland geboren kinderen;1987;1476;838;638
143;In het buitenland geboren kinderen;1988;1255;680;575
144;In het buitenland geboren kinderen;1989;907;478;429
145;In het buitenland geboren kinderen;1990;682;337;345
146;In het buitenland geboren kinderen;1991;930;477;453
147;In het buitenland geboren kinderen;1992;1002;526;476
148;In het buitenland geboren kinderen;1993;814;392;422
149;In het buitenland geboren kinderen;1994;691;336;355
150;In het buitenland geboren kinderen;1995;670;364;306
151;In het buitenland geboren kinderen;1996;775;421;354
152;In het buitenland geboren kinderen;1997;692;371;321
153;In het buitenland geboren kinderen;1998;870;492;378
154;In het buitenland geboren kinderen;1999;971;587;384
155;In het buitenland geboren kinderen;2000;1161;754;407
156;In het buitenland geboren kinderen;2001;1086;680;406
157;In het buitenland geboren kinderen;2002;1125;743;382
158;In het buitenland geboren kinderen;2003;1168;757;411
159;In het buitenland geboren kinderen;2004;1329;952;377
160;In het buitenland geboren kinderen;2005;1212;812;400
161;In het buitenland geboren kinderen;2006;842;505;337
162;In het buitenland geboren kinderen;2007;807;459;348
163;In het buitenland geboren kinderen;2008;781;404;377
164;In het buitenland geboren kinderen;2009;680;298;382
165;In het buitenland geboren kinderen;2010;684;251;433
166;In het buitenland geboren kinderen;2011;535;181;354
167;In het buitenland geboren kinderen;2012;498;177;321
