ID;Geslacht;Studierichting;Vooropleiding;Herkomstgroepering;Opleidingsvorm;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na1Jaar_23;Na2Jaar_24;Na3Jaar_25;Na4Jaar_26;Na5Jaar_27;Na6Jaar_28;Na7Jaar_29;Na8Jaar_30;InJaar2_31;InJaar3_32;InJaar4_33;InJaar5_34;InJaar6_35;InJaar7_36;InJaar8_37;InJaar9_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54
30;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2007;82044.0;7.0;35.0;52.0;60.0;;;;6.0;34.0;51.0;57.0;;;;0.0;1.0;2.0;2.0;;;;16.0;19.0;20.0;21.0;23.0;23.0;;;83.0;79.0;73.0;44.0;25.0;17.0;;;81.0;76.0;70.0;41.0;23.0;16.0;;;2.0;3.0;3.0;3.0;2.0;1.0;;
31;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2008;84222.0;6.0;34.0;51.0;;;;;6.0;33.0;49.0;;;;;0.0;1.0;2.0;;;;;14.0;18.0;19.0;20.0;21.0;;;;86.0;81.0;75.0;45.0;28.0;;;;84.0;78.0;71.0;43.0;26.0;;;;2.0;3.0;3.0;3.0;2.0;;;
32;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2009;89166.0;5.0;31.0;;;;;;5.0;30.0;;;;;;0.0;1.0;;;;;;14.0;18.0;20.0;22.0;;;;;86.0;80.0;74.0;48.0;;;;;83.0;77.0;71.0;45.0;;;;;2.0;3.0;3.0;3.0;;;;
33;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2010;89152.0;5.0;;;;;;;5.0;;;;;;;0.0;;;;;;;14.0;19.0;21.0;;;;;;85.0;80.0;75.0;;;;;;83.0;76.0;71.0;;;;;;2.0;3.0;4.0;;;;;
34;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2011;88419.0;;;;;;;;;;;;;;;;;;;;;;15.0;19.0;;;;;;;84.0;79.0;;;;;;;82.0;76.0;;;;;;;2.0;3.0;;;;;;
35;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Voltijd;Startjaar 2012;88135.0;;;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;;85.0;;;;;;;;83.0;;;;;;;;2.0;;;;;;;
36;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 1995;6871.0;21.0;40.0;48.0;52.0;54.0;55.0;56.0;21.0;39.0;48.0;52.0;54.0;55.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;31.0;36.0;38.0;39.0;40.0;40.0;40.0;75.0;58.0;43.0;23.0;12.0;8.0;5.0;4.0;74.0;57.0;42.0;22.0;12.0;7.0;5.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
37;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 1996;7881.0;22.0;40.0;49.0;52.0;54.0;56.0;57.0;22.0;40.0;48.0;52.0;54.0;55.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;32.0;35.0;38.0;39.0;40.0;40.0;40.0;74.0;57.0;42.0;22.0;13.0;8.0;6.0;4.0;73.0;56.0;42.0;22.0;12.0;8.0;6.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
38;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 1997;8242.0;20.0;38.0;47.0;51.0;53.0;54.0;55.0;20.0;38.0;47.0;50.0;52.0;53.0;54.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;24.0;34.0;38.0;40.0;41.0;41.0;42.0;42.0;74.0;57.0;42.0;22.0;12.0;8.0;6.0;4.0;73.0;56.0;42.0;22.0;12.0;8.0;5.0;4.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
39;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 1998;10449.0;22.0;41.0;49.0;52.0;54.0;55.0;56.0;22.0;40.0;48.0;52.0;53.0;54.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;33.0;37.0;39.0;40.0;41.0;41.0;41.0;73.0;57.0;41.0;20.0;11.0;7.0;5.0;4.0;72.0;56.0;40.0;20.0;10.0;7.0;5.0;4.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
40;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 1999;12146.0;22.0;40.0;46.0;50.0;52.0;52.0;53.0;22.0;39.0;46.0;49.0;51.0;52.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;36.0;41.0;42.0;43.0;44.0;44.0;44.0;70.0;55.0;37.0;18.0;10.0;7.0;5.0;4.0;70.0;54.0;36.0;18.0;10.0;6.0;4.0;3.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
41;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2000;12941.0;22.0;40.0;47.0;50.0;51.0;53.0;53.0;22.0;40.0;46.0;50.0;51.0;52.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;38.0;41.0;42.0;43.0;44.0;44.0;44.0;70.0;53.0;37.0;18.0;10.0;6.0;5.0;4.0;70.0;53.0;36.0;17.0;10.0;6.0;5.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
42;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2001;13485.0;21.0;40.0;46.0;49.0;51.0;52.0;52.0;21.0;40.0;46.0;48.0;50.0;51.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;39.0;42.0;43.0;44.0;44.0;45.0;45.0;66.0;53.0;37.0;17.0;10.0;7.0;5.0;4.0;65.0;53.0;37.0;17.0;10.0;6.0;5.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
43;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2002;12143.0;23.0;43.0;50.0;54.0;56.0;57.0;58.0;23.0;43.0;50.0;54.0;56.0;57.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;32.0;35.0;37.0;38.0;39.0;39.0;39.0;74.0;60.0;42.0;20.0;11.0;7.0;5.0;4.0;74.0;60.0;41.0;20.0;11.0;7.0;5.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
44;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2003;11515.0;24.0;43.0;51.0;54.0;56.0;57.0;58.0;23.0;43.0;50.0;54.0;56.0;57.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;32.0;35.0;37.0;38.0;38.0;39.0;39.0;74.0;61.0;41.0;20.0;12.0;7.0;5.0;4.0;74.0;60.0;41.0;20.0;11.0;7.0;5.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
45;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2004;9975.0;22.0;43.0;51.0;54.0;56.0;58.0;58.0;22.0;43.0;51.0;54.0;56.0;57.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;32.0;35.0;36.0;37.0;38.0;39.0;39.0;74.0;61.0;43.0;21.0;12.0;7.0;5.0;3.0;74.0;60.0;42.0;20.0;11.0;7.0;5.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
46;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2005;9894.0;21.0;42.0;50.0;54.0;55.0;56.0;;21.0;42.0;50.0;53.0;55.0;56.0;;0.0;0.0;0.0;0.0;0.0;0.0;;24.0;33.0;36.0;37.0;39.0;39.0;40.0;40.0;75.0;62.0;43.0;21.0;11.0;7.0;4.0;3.0;74.0;62.0;43.0;21.0;11.0;7.0;4.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
47;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2006;9668.0;19.0;40.0;48.0;52.0;53.0;;;19.0;39.0;47.0;51.0;53.0;;;0.0;0.0;0.0;0.0;1.0;;;26.0;34.0;37.0;39.0;40.0;42.0;42.0;;73.0;62.0;44.0;22.0;12.0;6.0;4.0;;73.0;61.0;44.0;21.0;12.0;6.0;4.0;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;
48;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Totaal herkomstgroepering;Deeltijd;Startjaar 2007;9676.0;19.0;40.0;49.0;52.0;;;;19.0;40.0;49.0;52.0;;;;0.0;0.0;0.0;0.0;;;;26.0;33.0;36.0;38.0;40.0;41.0;;;73.0;62.0;45.0;22.0;11.0;7.0;;;72.0;61.0;45.0;21.0;11.0;7.0;;;0.0;1.0;1.0;0.0;0.0;0.0;;
