ID;SectorBranchesSIC2008;Regions;Periods;OutputBasicPrices_1;IntermediateConsumption_2;GrossValueAdded_3;CompensationOfEmployees_4;GrossOperatingSurplus_5;TaxesNotProductRelated_6;SubsidiesNotProductRelated_7;TotalLabourInput_8;LabourInputOfEmployees_9
111;A-U All economic activities;West-Nederland (LD);2022;1058942;587939;471004;244263;228398;7316;8973;4105.8;3401.3
112;A-U All economic activities;Zuid-Nederland (LD);1995;124080;62177;61903;34050;27621;684;452;1280.3;1072.6
113;A-U All economic activities;Zuid-Nederland (LD);1996;133197;68771;64426;35395;28955;704;628;1306.0;1097.1
114;A-U All economic activities;Zuid-Nederland (LD);1997;145005;75770;69235;37343;31945;695;747;1354.0;1136.7
115;A-U All economic activities;Zuid-Nederland (LD);1998;153989;80669;73321;39938;33562;714;893;1395.6;1181.1
116;A-U All economic activities;Zuid-Nederland (LD);1999;165691;87121;78570;43013;35800;809;1053;1429.6;1219.1
117;A-U All economic activities;Zuid-Nederland (LD);2000;182003;97297;84707;46534;38371;869;1067;1452.9;1245.6
118;A-U All economic activities;Zuid-Nederland (LD);2001;192167;102949;89218;48964;40458;967;1172;1469.9;1263.6
119;A-U All economic activities;Zuid-Nederland (LD);2002;195346;103332;92014;51380;40798;1008;1171;1465.9;1261.2
120;A-U All economic activities;Zuid-Nederland (LD);2003;198293;104657;93636;52916;40856;1010;1146;1448.3;1246.6
121;A-U All economic activities;Zuid-Nederland (LD);2004;207009;110077;96932;53786;43370;1056;1281;1442.1;1235.0
122;A-U All economic activities;Zuid-Nederland (LD);2005;215660;115425;100235;54345;45940;1131;1180;1436.6;1227.3
123;A-U All economic activities;Zuid-Nederland (LD);2006;228005;122190;105815;56478;49477;1135;1274;1470.4;1251.6
124;A-U All economic activities;Zuid-Nederland (LD);2007;243130;131075;112056;59554;52817;1163;1478;1513.8;1284.9
125;A-U All economic activities;Zuid-Nederland (LD);2008;253368;137116;116251;63574;53068;1268;1659;1546.1;1313.7
126;A-U All economic activities;Zuid-Nederland (LD);2009;238669;125564;113105;64114;49597;1358;1965;1516.2;1285.5
127;A-U All economic activities;Zuid-Nederland (LD);2010;251876;135544;116332;64264;52651;1416;2000;1516.2;1282.1
128;A-U All economic activities;Zuid-Nederland (LD);2011;269533;149800;119733;66080;54075;1499;1921;1525.5;1286.1
129;A-U All economic activities;Zuid-Nederland (LD);2012;273222;152897;120325;67335;53218;1596;1824;1517.6;1276.4
130;A-U All economic activities;Zuid-Nederland (LD);2013;271739;150787;120951;67518;53480;1720;1767;1498.2;1255.9
131;A-U All economic activities;Zuid-Nederland (LD);2014;275881;152534;123347;68207;54714;2124;1698;1492.4;1248.1
132;A-U All economic activities;Zuid-Nederland (LD);2015;283058;155629;127429;68360;58867;1930;1728;1504.4;1253.3
133;A-U All economic activities;Zuid-Nederland (LD);2016;294560;161693;132866;70981;61629;2055;1800;1537.1;1280.6
134;A-U All economic activities;Zuid-Nederland (LD);2017;312563;173159;139404;73680;65498;2118;1891;1578.8;1317.8
135;A-U All economic activities;Zuid-Nederland (LD);2018;331741;185938;145802;77416;68161;2213;1989;1621.8;1357.5
136;A-U All economic activities;Zuid-Nederland (LD);2019;346638;193841;152796;81363;71312;2239;2118;1656.7;1384.1
137;A-U All economic activities;Zuid-Nederland (LD);2020;337216;185775;151441;83805;71980;2506;6850;1629.3;1373.6
138;A-U All economic activities;Zuid-Nederland (LD);2021;376496;210926;165571;87240;82140;2518;6326;1677.3;1405.0
139;A-U All economic activities;Zuid-Nederland (LD);2022;428567;249559;179008;93233;86817;2428;3471;1733.9;1447.4
140;A-U All economic activities;Extra-Regio (LD);1995;2087;143;1944;143;1796;5;0;3.2;3.2
141;A-U All economic activities;Extra-Regio (LD);1996;2441;148;2293;134;2153;6;0;3.0;3.0
142;A-U All economic activities;Extra-Regio (LD);1997;2611;172;2439;136;2299;5;1;2.9;2.9
143;A-U All economic activities;Extra-Regio (LD);1998;2378;191;2187;141;2042;5;1;2.9;2.9
144;A-U All economic activities;Extra-Regio (LD);1999;2425;234;2191;140;2045;6;1;2.9;2.9
145;A-U All economic activities;Extra-Regio (LD);2000;3397;229;3168;146;3016;7;1;2.8;2.8
146;A-U All economic activities;Extra-Regio (LD);2001;4147;244;3902;151;3745;8;1;2.8;2.8
147;A-U All economic activities;Extra-Regio (LD);2002;3735;261;3474;156;3312;8;1;2.9;2.8
148;A-U All economic activities;Extra-Regio (LD);2003;3554;254;3300;165;3129;7;1;2.8;2.8
149;A-U All economic activities;Extra-Regio (LD);2004;4211;283;3928;172;3750;7;2;2.9;2.9
150;A-U All economic activities;Extra-Regio (LD);2005;4455;331;4123;177;3940;8;1;2.9;2.9
151;A-U All economic activities;Extra-Regio (LD);2006;5576;352;5223;204;5013;8;1;3.0;3.0
152;A-U All economic activities;Extra-Regio (LD);2007;5838;392;5446;217;5223;7;1;3.1;3.1
153;A-U All economic activities;Extra-Regio (LD);2008;6522;367;6154;224;5925;7;1;3.1;3.1
154;A-U All economic activities;Extra-Regio (LD);2009;4930;364;4566;228;4331;7;1;3.1;3.1
155;A-U All economic activities;Extra-Regio (LD);2010;4256;189;4067;235;3827;7;1;3.0;3.0
156;A-U All economic activities;Extra-Regio (LD);2011;4586;261;4325;243;4077;7;1;2.9;2.9
157;A-U All economic activities;Extra-Regio (LD);2012;5080;292;4789;247;4536;6;1;2.9;2.9
158;A-U All economic activities;Extra-Regio (LD);2013;4790;357;4433;280;4145;8;0;3.1;3.1
159;A-U All economic activities;Extra-Regio (LD);2014;4371;669;3703;261;3433;9;0;2.9;2.9
160;A-U All economic activities;Extra-Regio (LD);2015;4137;925;3211;250;2954;8;1;2.9;2.9
161;A-U All economic activities;Extra-Regio (LD);2016;2999;910;2089;256;1824;9;1;2.7;2.7
162;A-U All economic activities;Extra-Regio (LD);2017;3100;884;2216;236;1971;11;2;2.7;2.7
163;A-U All economic activities;Extra-Regio (LD);2018;3167;912;2255;240;2003;13;1;2.5;2.5
164;A-U All economic activities;Extra-Regio (LD);2019;2763;871;1892;221;1653;18;0;2.1;2.1
165;A-U All economic activities;Extra-Regio (LD);2020;2295;1165;1130;188;922;22;2;1.8;1.8
166;A-U All economic activities;Extra-Regio (LD);2021;4429;1504;2925;176;2716;35;2;1.7;1.7
167;A-U All economic activities;Extra-Regio (LD);2022;10995;2422;8574;198;10294;70;1988;1.9;1.9
168;A-U All economic activities;Groningen (PV);1995;20523;8639;11884;5345;6525;102;88;213.1;172.3
169;A-U All economic activities;Groningen (PV);1996;22465;9285;13180;5463;7733;104;120;213.0;173.0
170;A-U All economic activities;Groningen (PV);1997;23861;10238;13624;5735;7922;104;137;218.4;178.8
171;A-U All economic activities;Groningen (PV);1998;24461;10849;13612;6040;7627;106;161;220.4;181.3
172;A-U All economic activities;Groningen (PV);1999;24903;11371;13532;6462;7145;119;195;222.2;184.7
173;A-U All economic activities;Groningen (PV);2000;27734;12703;15031;6939;8155;128;190;223.9;187.7
174;A-U All economic activities;Groningen (PV);2001;29827;13295;16532;7308;9292;142;210;222.3;188.6
175;A-U All economic activities;Groningen (PV);2002;30324;13133;17192;7686;9566;147;206;221.3;188.9
176;A-U All economic activities;Groningen (PV);2003;31159;13179;17980;7986;10059;146;210;222.0;188.4
177;A-U All economic activities;Groningen (PV);2004;31450;13175;18275;8110;10243;149;226;219.6;185.8
178;A-U All economic activities;Groningen (PV);2005;34918;14630;20288;8178;12157;161;209;219.4;184.0
179;A-U All economic activities;Groningen (PV);2006;37368;15098;22271;8343;13990;161;224;220.1;184.2
180;A-U All economic activities;Groningen (PV);2007;38490;16218;22272;8668;13718;163;278;223.4;186.3
181;A-U All economic activities;Groningen (PV);2008;43566;17077;26489;9103;17520;170;305;225.3;187.9
182;A-U All economic activities;Groningen (PV);2009;40369;16331;24037;9335;14864;181;343;223.0;186.0
183;A-U All economic activities;Groningen (PV);2010;41921;16639;25282;9202;16244;184;348;222.2;185.5
184;A-U All economic activities;Groningen (PV);2011;43647;17491;26155;9433;16855;198;331;223.5;185.6
185;A-U All economic activities;Groningen (PV);2012;44960;17398;27562;9527;18143;199;307;218.9;180.8
186;A-U All economic activities;Groningen (PV);2013;46446;17729;28717;9545;19249;225;302;216.8;178.5
187;A-U All economic activities;Groningen (PV);2014;44565;19120;25445;9597;15874;279;305;215.0;177.0
188;A-U All economic activities;Groningen (PV);2015;43181;19941;23240;9775;13501;267;304;218.6;179.8
189;A-U All economic activities;Groningen (PV);2016;42170;20285;21885;10158;11734;295;303;223.3;183.7
190;A-U All economic activities;Groningen (PV);2017;43735;21133;22602;10504;12123;303;328;229.0;189.1
191;A-U All economic activities;Groningen (PV);2018;45536;22578;22958;10884;12085;325;336;231.7;191.3
192;A-U All economic activities;Groningen (PV);2019;46312;23045;23266;11414;11838;366;352;236.7;195.2
193;A-U All economic activities;Groningen (PV);2020;43866;22267;21599;11909;10412;386;1109;235.3;196.1
194;A-U All economic activities;Groningen (PV);2021;50359;26042;24318;12391;12486;409;968;241.5;200.9
195;A-U All economic activities;Groningen (PV);2022;62499;31484;31015;13170;19319;482;1957;249.0;206.4
196;A-U All economic activities;Fryslân (PV);1995;18074;9112;8962;4803;4134;102;77;208.2;159.0
197;A-U All economic activities;Fryslân (PV);1996;19059;9795;9264;4949;4320;103;108;213.3;163.3
198;A-U All economic activities;Fryslân (PV);1997;20360;10593;9767;5163;4630;102;128;216.4;165.6
199;A-U All economic activities;Fryslân (PV);1998;21822;11231;10592;5565;5076;107;156;224.2;172.3
200;A-U All economic activities;Fryslân (PV);1999;22707;11731;10976;5990;5057;118;189;230.8;178.8
201;A-U All economic activities;Fryslân (PV);2000;24772;12828;11943;6451;5556;125;188;232.1;182.3
202;A-U All economic activities;Fryslân (PV);2001;26897;14121;12775;6837;6003;142;207;228.7;183.3
203;A-U All economic activities;Fryslân (PV);2002;27277;14246;13030;7125;5965;147;208;229.6;184.8
204;A-U All economic activities;Fryslân (PV);2003;27470;13949;13521;7393;6188;148;209;230.0;184.8
205;A-U All economic activities;Fryslân (PV);2004;27962;14344;13618;7525;6167;152;225;229.7;183.7
206;A-U All economic activities;Fryslân (PV);2005;29360;15136;14224;7673;6598;164;211;231.9;184.5
207;A-U All economic activities;Fryslân (PV);2006;30443;15528;14915;7853;7126;163;227;233.2;184.8
208;A-U All economic activities;Fryslân (PV);2007;32886;16885;16001;8314;7783;170;265;238.1;189.4
209;A-U All economic activities;Fryslân (PV);2008;34147;17612;16535;8725;7931;181;301;240.3;191.6
210;A-U All economic activities;Fryslân (PV);2009;33346;17147;16199;8841;7508;194;344;235.1;187.2
211;A-U All economic activities;Fryslân (PV);2010;33663;17190;16472;8960;7662;197;346;238.0;189.2
212;A-U All economic activities;Fryslân (PV);2011;35570;18569;17002;9179;7959;208;344;239.8;189.4
213;A-U All economic activities;Fryslân (PV);2012;34711;17865;16846;9134;7774;217;280;235.7;185.0
214;A-U All economic activities;Fryslân (PV);2013;34193;17616;16577;8921;7680;237;261;228.8;177.6
215;A-U All economic activities;Fryslân (PV);2014;35046;18190;16856;9001;7775;305;224;227.2;175.8
216;A-U All economic activities;Fryslân (PV);2015;36640;19551;17088;9020;8027;275;234;228.7;176.4
217;A-U All economic activities;Fryslân (PV);2016;37449;20145;17304;9374;7866;294;231;233.6;180.1
218;A-U All economic activities;Fryslân (PV);2017;39087;21104;17983;9594;8339;303;252;237.2;183.1
219;A-U All economic activities;Fryslân (PV);2018;41252;22512;18740;10100;8587;318;264;244.2;189.2
220;A-U All economic activities;Fryslân (PV);2019;43547;23772;19775;10707;9021;320;273;250.9;194.4
221;A-U All economic activities;Fryslân (PV);2020;44330;24490;19840;11222;9172;371;924;248.2;195.6
222;A-U All economic activities;Fryslân (PV);2021;48648;27052;21596;11622;10498;377;902;255.7;200.6
223;A-U All economic activities;Fryslân (PV);2022;56539;31810;24729;12332;12862;354;819;263.1;205.3
224;A-U All economic activities;Drenthe (PV);1995;13657;6581;7075;3852;3191;80;48;159.7;128.4
225;A-U All economic activities;Drenthe (PV);1996;14491;7190;7301;3992;3297;82;69;163.2;131.6
226;A-U All economic activities;Drenthe (PV);1997;15506;7844;7662;4209;3454;82;82;168.0;135.7
227;A-U All economic activities;Drenthe (PV);1998;15995;8042;7953;4396;3572;85;100;169.0;137.6
228;A-U All economic activities;Drenthe (PV);1999;16499;8301;8198;4658;3565;93;118;171.8;140.5
229;A-U All economic activities;Drenthe (PV);2000;18030;9134;8895;4973;3941;98;117;171.7;141.6
230;A-U All economic activities;Drenthe (PV);2001;19235;9770;9466;5288;4197;109;129;173.9;144.7
231;A-U All economic activities;Drenthe (PV);2002;19801;9904;9897;5708;4203;115;129;178.2;147.4
232;A-U All economic activities;Drenthe (PV);2003;19887;9832;10055;5828;4242;114;129;174.7;144.6
233;A-U All economic activities;Drenthe (PV);2004;20618;10418;10200;5897;4330;118;145;172.6;142.8
234;A-U All economic activities;Drenthe (PV);2005;21434;10888;10546;5938;4613;126;132;173.8;142.7
235;A-U All economic activities;Drenthe (PV);2006;22508;11313;11195;6082;5131;127;145;176.2;143.2
236;A-U All economic activities;Drenthe (PV);2007;24367;12386;11980;6471;5562;133;186;179.8;146.0
237;A-U All economic activities;Drenthe (PV);2008;25334;12800;12534;7002;5596;142;206;184.8;151.0
238;A-U All economic activities;Drenthe (PV);2009;23595;11630;11965;6868;5179;149;231;177.6;144.8
239;A-U All economic activities;Drenthe (PV);2010;24296;12240;12056;6705;5422;150;221;173.7;140.2
240;A-U All economic activities;Drenthe (PV);2011;25698;13291;12407;6885;5578;160;214;174.8;140.6
241;A-U All economic activities;Drenthe (PV);2012;26353;13655;12699;7076;5665;165;208;175.7;141.4
242;A-U All economic activities;Drenthe (PV);2013;26573;13834;12739;7119;5649;178;207;173.2;138.9
243;A-U All economic activities;Drenthe (PV);2014;26682;13844;12838;7223;5598;215;198;173.2;138.8
244;A-U All economic activities;Drenthe (PV);2015;26875;14031;12844;7240;5603;202;201;173.4;138.7
245;A-U All economic activities;Drenthe (PV);2016;26951;14083;12868;7258;5588;208;186;172.0;136.4
246;A-U All economic activities;Drenthe (PV);2017;28243;14875;13369;7387;5955;212;185;175.1;139.0
247;A-U All economic activities;Drenthe (PV);2018;29793;15675;14118;7790;6309;223;204;180.4;143.8
248;A-U All economic activities;Drenthe (PV);2019;31106;16405;14701;8193;6491;222;206;184.8;147.2
249;A-U All economic activities;Drenthe (PV);2020;30895;16402;14493;8522;6430;256;714;182.8;147.9
250;A-U All economic activities;Drenthe (PV);2021;34198;18381;15817;8842;7396;251;672;189.1;152.3
251;A-U All economic activities;Drenthe (PV);2022;38473;20972;17500;9386;8384;233;503;194.8;156.2
252;A-U All economic activities;Overijssel (PV);1995;34334;17514;16820;9918;6818;184;100;404.4;331.1
253;A-U All economic activities;Overijssel (PV);1996;36127;18716;17411;10213;7155;187;144;410.2;336.0
254;A-U All economic activities;Overijssel (PV);1997;38549;20246;18303;10483;7814;182;177;407.1;334.6
255;A-U All economic activities;Overijssel (PV);1998;40953;21389;19564;11308;8283;189;216;421.6;350.2
256;A-U All economic activities;Overijssel (PV);1999;43159;22339;20820;12159;8702;210;251;431.7;360.9
257;A-U All economic activities;Overijssel (PV);2000;47341;24852;22489;13229;9293;226;258;440.2;370.6
258;A-U All economic activities;Overijssel (PV);2001;50319;26462;23856;14007;9886;251;288;438.8;372.7
259;A-U All economic activities;Overijssel (PV);2002;51464;26719;24745;14634;10147;262;299;439.4;374.4
