ID;Energiedragers;BedrijfstakkenBranchesSBI2008;Perioden;TotaalEnergieverbruik_1;FinaalEnergieverbruik_2;NietEnergetischGebruik_3;SaldoInzetProductieEnergie_4;InzetEnergieVoorOmzetting_5;ProductieEnergieUitOmzetting_6;TotaalEnergieverbruik_7;Winning_8;EnergieAanvoer_9;EnergieAflevering_10;Voorraadmutatie_11
21;Totaal energiedragers;02 Bosbouw;2014;;;;;;;;;;;
22;Totaal energiedragers;02 Bosbouw;2015;;;;;;;;;;;
23;Totaal energiedragers;02 Bosbouw;2016;;;;;;;;;;;
24;Totaal energiedragers;03 Visserij;2011;8.5;8.5;;;;;8.5;;8.5;;
25;Totaal energiedragers;03 Visserij;2012;7.5;7.5;;;;;7.5;;7.5;;
26;Totaal energiedragers;03 Visserij;2013;8.3;8.3;;;;;8.3;;8.3;;
27;Totaal energiedragers;03 Visserij;2014;8.3;8.3;;;;;8.3;;8.3;;
28;Totaal energiedragers;03 Visserij;2015;7.8;7.8;;;;;7.8;;7.8;;
29;Totaal energiedragers;03 Visserij;2016;7.6;7.6;;;;;7.6;;7.6;;
30;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2011;1839.8;768.4;562.6;508.8;3780.0;3271.2;1839.8;2658.5;8569.1;9456.1;68.4
31;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2012;1820.3;744.6;581.7;493.9;3712.0;3218.0;1820.3;2645.5;8593.9;9375.2;-43.9
32;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2013;1781.1;735.3;572.0;473.7;3617.3;3143.6;1781.1;2816.6;8357.7;9412.0;18.6
33;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2014;1807.5;716.9;576.0;514.6;3730.1;3215.5;1807.5;2451.1;8477.4;9022.1;-99.2
34;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2015;1814.8;728.1;552.7;534.0;3870.3;3336.3;1814.8;2114.8;10925.1;;
35;Totaal energiedragers;B-E Nijverheid (geen bouw) en energie;2016;1820.8;743.6;557.0;520.2;3908.4;3388.2;1820.8;1979.6;10849.0;;
36;Totaal energiedragers;B Delfstoffenwinning;2011;38.2;37.9;;0.3;2.9;2.6;38.2;2480.4;702.9;3142.8;-2.2
37;Totaal energiedragers;B Delfstoffenwinning;2012;40.6;40.3;;0.3;3.4;3.1;40.6;2467.5;797.1;3219.7;-4.3
38;Totaal energiedragers;B Delfstoffenwinning;2013;46.4;45.9;;0.5;9.6;9.1;46.4;2651.3;827.7;3434.1;1.6
39;Totaal energiedragers;B Delfstoffenwinning;2014;40.2;39.8;;0.4;8.4;8.0;40.2;2263.8;887.0;3027.0;-83.6
40;Totaal energiedragers;B Delfstoffenwinning;2015;39.8;39.5;;0.3;1.8;1.5;39.8;1857.2;17.3;1840.8;6.0
41;Totaal energiedragers;B Delfstoffenwinning;2016;39.1;39.0;;0.1;0.5;0.4;39.1;1725.0;15.1;1699.3;-1.8
42;Totaal energiedragers;06 Winning van aardolie en aardgas;2011;32.1;32.0;;0.1;1.0;0.9;32.1;2480.4;696.6;3142.6;-2.2
43;Totaal energiedragers;06 Winning van aardolie en aardgas;2012;34.1;34.0;;0.1;1.5;1.4;34.1;2467.5;789.5;3218.6;-4.3
44;Totaal energiedragers;06 Winning van aardolie en aardgas;2013;40.2;39.9;;0.3;7.7;7.4;40.2;2651.3;819.9;3432.6;1.6
45;Totaal energiedragers;06 Winning van aardolie en aardgas;2014;36.2;35.9;;0.3;7.4;7.1;36.2;2263.8;882.8;3026.8;-83.6
46;Totaal energiedragers;06 Winning van aardolie en aardgas;2015;34.6;34.3;;;;;34.6;1857.2;12.1;1840.8;6.0
47;Totaal energiedragers;06 Winning van aardolie en aardgas;2016;34.0;33.9;;;;;34.0;1725.0;10.1;1699.3;-1.8
48;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2011;6.0;5.8;;0.2;1.9;1.7;6.0;;6.2;0.2;0.0
49;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2012;6.4;6.2;;0.2;1.9;1.7;6.4;;6.6;0.2;0.0
50;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2013;6.1;5.9;;0.2;1.9;1.7;6.1;;6.3;0.2;0.0
51;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2014;3.9;3.8;;0.1;1.0;0.9;3.9;;4.2;0.2;0.0
52;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2015;5.1;5.1;;;;;5.1;;5.1;;0.0
53;Totaal energiedragers;08 Delfstoffenwinning (geen olie en gas);2016;4.9;4.9;;;;;4.9;;4.9;;0.0
54;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2011;0.0;0.0;;;;;0.0;;0.0;;
55;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2012;0.1;0.1;;;;;0.1;;0.9;0.8;
56;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2013;0.1;0.1;;;;;0.1;;1.4;1.4;
57;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2014;0.1;0.1;;;;;0.1;;0.1;;
58;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2015;0.1;0.1;;;;;0.1;;0.1;;
59;Totaal energiedragers;09 Dienstverlening delfstoffenwinning;2016;0.1;0.1;;;;;0.1;;0.1;;
60;Totaal energiedragers;C Industrie;2011;1394.0;690.5;562.6;140.9;2944.1;2803.2;1394.0;24.2;6073.6;4775.6;71.9
