ID;SBI93;Jaren;Bedrijfsopbrengsten_1;NettoOmzet_2;BedrijfslastenTotaal_3;KostprijsVanDeOmzet_4;Personeelskosten_5;Afschrijvingen_6;OverigeBedrijfslasten_7;Bedrijfsresultaat_8;SaldoFinancieleResultaten_9;ResultaatVoorBelastingen_10;Bedrijven_11;WerkzamePersonen_12;NettoOmzet_13;BedrijfslastenTotaal_14;KostprijsVanDeOmzet_15;Personeelskosten_16;Afschrijvingen_17;OverigeBedrijfslasten_18;Bedrijfsresultaat_19;SaldoFinancieleResultaten_20;ResultaatVoorBelastingen_21
16;50303 Detailhandel in auto-onderdelen;1998;239.0;233.0;223.0;150.0;33.0;7.0;33.0;16.0;-2.0;15.0;4.2;2.3;97.5;93.2;62.6;13.9;2.8;13.9;6.8;-0.8;6.1
17;50303 Detailhandel in auto-onderdelen;1999;244.0;240.0;227.0;151.0;35.0;6.0;34.0;17.0;-2.0;15.0;3.9;2.4;98.1;92.9;61.7;14.3;2.6;14.1;7.1;-0.7;6.3
18;504 Handel in motorfietsen;1997;756.0;755.0;717.0;603.0;51.0;14.0;50.0;39.0;-11.0;28.0;7.5;2.7;99.8;94.8;79.7;6.7;1.8;6.7;5.2;-1.5;3.7
19;504 Handel in motorfietsen;1998;776.0;774.0;741.0;626.0;51.0;14.0;49.0;35.0;-14.0;22.0;7.7;2.8;99.8;95.5;80.7;6.6;1.8;6.3;4.6;-1.8;2.8
20;504 Handel in motorfietsen;1999;864.0;857.0;817.0;694.0;56.0;12.0;54.0;47.0;-10.0;36.0;7.8;2.9;99.3;94.6;80.4;6.5;1.4;6.2;5.4;-1.2;4.2
21;505 Benzineservicestations;1997;5438.0;5427.0;5333.0;4868.0;199.0;30.0;236.0;104.0;-5.0;99.0;16.7;13.8;99.8;98.1;89.5;3.7;0.6;4.3;1.9;-0.1;1.8
22;505 Benzineservicestations;1998;5729.0;5711.0;5617.0;5131.0;209.0;31.0;245.0;112.0;-6.0;106.0;15.6;13.8;99.7;98.0;89.6;3.6;0.5;4.3;2.0;-0.1;1.9
23;505 Benzineservicestations;1999;6295.0;6281.0;6182.0;5635.0;228.0;31.0;288.0;113.0;-7.0;105.0;15.4;14.2;99.8;98.2;89.5;3.6;0.5;4.6;1.8;-0.1;1.7
24;551,553,554 Horeca traditioneel;1997;8989.0;8854.0;7762.0;2665.0;2135.0;614.0;2349.0;1227.0;-168.0;1058.0;364.4;279.7;98.5;86.4;29.6;23.7;6.8;26.1;13.6;-1.9;11.8
25;551,553,554 Horeca traditioneel;1998;9570.0;9427.0;8243.0;2784.0;2308.0;650.0;2500.0;1327.0;-210.0;1117.0;355.7;281.3;98.5;86.1;29.1;24.1;6.8;26.1;13.9;-2.2;11.7
26;551,553,554 Horeca traditioneel;1999;10217.0;10067.0;8797.0;2937.0;2511.0;698.0;2651.0;1420.0;-157.0;1262.0;358.2;303.4;98.5;86.1;28.7;24.6;6.8;26.0;13.9;-1.5;12.4
27;551 Logiesverstrekkers;1997;2076.0;2056.0;1841.0;363.0;681.0;177.0;620.0;235.0;-55.0;180.0;26.3;48.1;99.0;88.7;17.5;32.8;8.5;29.9;11.3;-2.7;8.7
28;551 Logiesverstrekkers;1998;2293.0;2270.0;2003.0;380.0;755.0;177.0;690.0;290.0;-90.0;201.0;25.3;49.6;99.0;87.3;16.6;32.9;7.7;30.1;12.7;-3.9;8.7
29;551 Logiesverstrekkers;1999;2490.0;2466.0;2157.0;403.0;810.0;198.0;746.0;333.0;-49.0;283.0;25.4;50.7;99.0;86.6;16.2;32.5;8.0;30.0;13.4;-2.0;11.4
30;553 Maaltijd- en spijsverstrekkers;1997;4753.0;4666.0;4124.0;1611.0;1047.0;294.0;1172.0;629.0;-75.0;554.0;205.3;154.0;98.2;86.8;33.9;22.0;6.2;24.7;13.2;-1.6;11.6
31;553 Maaltijd- en spijsverstrekkers;1998;5029.0;4935.0;4379.0;1701.0;1135.0;312.0;1231.0;650.0;-81.0;569.0;203.5;156.5;98.1;87.1;33.8;22.6;6.2;24.5;12.9;-1.6;11.3
32;553 Maaltijd- en spijsverstrekkers;1999;5355.0;5259.0;4665.0;1808.0;1243.0;326.0;1289.0;690.0;-78.0;612.0;206.5;169.5;98.2;87.1;33.8;23.2;6.1;24.1;12.9;-1.5;11.4
33;554 Drankverstrekkers;1997;2160.0;2132.0;1797.0;691.0;407.0;142.0;557.0;363.0;-38.0;325.0;132.8;77.6;98.7;83.2;32.0;18.8;6.6;25.8;16.8;-1.7;15.0
34;554 Drankverstrekkers;1998;2248.0;2222.0;1861.0;703.0;418.0;161.0;579.0;387.0;-39.0;348.0;126.9;75.2;98.8;82.8;31.3;18.6;7.1;25.8;17.2;-1.8;15.5
35;554 Drankverstrekkers;1999;2372.0;2341.0;1974.0;727.0;458.0;174.0;616.0;398.0;-30.0;368.0;126.3;83.2;98.7;83.2;30.6;19.3;7.3;26.0;16.8;-1.3;15.5
36;552 Verblijfsrecreatie;1997;899.0;883.0;774.0;137.0;194.0;128.0;316.0;124.0;-50.0;74.0;27.2;19.6;98.2;86.1;15.2;21.6;14.2;35.1;13.8;-5.6;8.2
37;552 Verblijfsrecreatie;1998;920.0;903.0;787.0;146.0;200.0;118.0;323.0;133.0;-48.0;85.0;28.0;19.5;98.1;85.5;15.8;21.8;12.8;35.1;14.5;-5.2;9.2
38;552 Verblijfsrecreatie;1999;949.0;932.0;833.0;154.0;221.0;121.0;337.0;117.0;-51.0;66.0;28.3;20.2;98.1;87.7;16.2;23.2;12.8;35.5;12.3;-5.4;7.0
39;555 Kantines en catering;1997;1238.0;1217.0;1161.0;467.0;517.0;28.0;149.0;77.0;-11.0;66.0;24.1;34.8;98.3;93.8;37.7;41.7;2.3;12.1;6.2;-0.9;5.3
40;555 Kantines en catering;1998;1369.0;1335.0;1269.0;540.0;535.0;29.0;165.0;99.0;-5.0;95.0;23.7;34.6;97.6;92.7;39.5;39.1;2.2;12.0;7.3;-0.3;6.9
41;555 Kantines en catering;1999;1512.0;1487.0;1402.0;609.0;595.0;33.0;164.0;109.0;-5.0;104.0;23.1;39.9;98.3;92.8;40.3;39.4;2.2;10.9;7.2;-0.3;6.9
42;71 Verhuur van roerende goederen;1997;4469.0;4408.0;4019.0;1674.0;472.0;1446.0;427.0;449.0;-84.0;365.0;63.4;25.0;98.6;89.9;37.5;10.6;32.4;9.5;10.1;-1.9;8.2
43;71 Verhuur van roerende goederen;1998;4997.0;4925.0;4511.0;1946.0;517.0;1605.0;443.0;486.0;-78.0;408.0;61.2;26.3;98.6;90.3;38.9;10.3;32.1;8.9;9.7;-1.6;8.2
44;71 Verhuur van roerende goederen;1999;5882.0;5810.0;5322.0;2300.0;599.0;1921.0;502.0;560.0;-85.0;475.0;61.0;27.6;98.8;90.5;39.1;10.2;32.7;8.5;9.5;-1.4;8.1
45;711 Verhuur van personenauto's;1997;2738.0;2722.0;2523.0;1144.0;156.0;1098.0;124.0;214.0;-72.0;142.0;6.6;5.2;99.4;92.2;41.8;5.7;40.1;4.5;7.8;-2.6;5.2
46;711 Verhuur van personenauto's;1998;3106.0;3080.0;2862.0;1325.0;180.0;1215.0;141.0;244.0;-51.0;193.0;5.4;5.7;99.2;92.1;42.7;5.8;39.1;4.5;7.9;-1.6;6.2
47;711 Verhuur van personenauto's;1999;3660.0;3633.0;3385.0;1484.0;215.0;1531.0;155.0;275.0;-61.0;213.0;4.6;6.4;99.3;92.5;40.5;5.9;41.8;4.2;7.5;-1.7;5.8
48;712 Verhuur van transportmiddelen;1997;326.0;304.0;280.0;115.0;36.0;89.0;39.0;46.0;-2.0;44.0;6.9;1.7;93.3;85.8;35.4;11.0;27.3;12.1;14.1;-0.7;13.4
49;712 Verhuur van transportmiddelen;1998;402.0;377.0;365.0;139.0;39.0;149.0;38.0;37.0;-9.0;29.0;6.2;1.5;93.7;90.7;34.5;9.7;37.0;9.4;9.3;-2.1;7.1
50;712 Verhuur van transportmiddelen;1999;473.0;447.0;423.0;218.0;43.0;117.0;45.0;50.0;-6.0;44.0;5.8;1.7;94.4;89.4;46.0;9.1;24.6;9.5;10.6;-1.3;9.4
51;713 Verhuur van machines en werktuigen;1997;553.0;547.0;465.0;183.0;103.0;86.0;93.0;88.0;0.0;88.0;12.9;4.7;98.9;84.1;33.1;18.7;15.5;16.8;15.9;0.1;16.0
52;713 Verhuur van machines en werktuigen;1998;651.0;643.0;551.0;219.0;124.0;104.0;103.0;99.0;2.0;101.0;13.2;5.6;98.7;84.7;33.7;19.1;16.0;15.9;15.3;0.3;15.6
53;713 Verhuur van machines en werktuigen;1999;823.0;818.0;713.0;307.0;154.0;123.0;129.0;110.0;6.0;116.0;14.9;6.4;99.3;86.6;37.3;18.7;14.9;15.7;13.4;0.7;14.1
54;714  Verhuur overige roerende goederen;1997;852.0;835.0;751.0;232.0;177.0;173.0;170.0;101.0;-10.0;91.0;37.0;13.4;98.0;88.1;27.2;20.7;20.3;19.9;11.9;-1.2;10.7
55;714  Verhuur overige roerende goederen;1998;839.0;825.0;733.0;262.0;173.0;137.0;161.0;106.0;-20.0;85.0;36.5;13.4;98.4;87.4;31.2;20.7;16.3;19.2;12.6;-2.4;10.2
56;714  Verhuur overige roerende goederen;1999;926.0;913.0;802.0;291.0;187.0;151.0;173.0;124.0;-23.0;101.0;35.7;13.2;98.5;86.6;31.5;20.1;16.3;18.7;13.4;-2.5;10.9
57;72 Computerbranche;1997;7796.0;7659.0;6956.0;1741.0;3436.0;278.0;1502.0;840.0;-32.0;808.0;118.5;88.6;98.2;89.2;22.3;44.1;3.6;19.3;10.8;-0.4;10.4
58;72 Computerbranche;1998;9645.0;9556.0;8744.0;2178.0;4294.0;336.0;1936.0;901.0;10.0;910.0;122.6;106.0;99.1;90.7;22.6;44.5;3.5;20.1;9.3;0.1;9.4
59;72 Computerbranche;1999;11292.0;11165.0;9981.0;2202.0;5173.0;380.0;2226.0;1311.0;29.0;1340.0;134.1;117.7;98.9;88.4;19.5;45.8;3.4;19.7;11.6;0.3;11.9
60;7412 Accountancy;1997;4200.0;4143.0;3529.0;133.0;2280.0;215.0;901.0;672.0;-20.0;652.0;134.1;76.5;98.6;84.0;3.2;54.3;5.1;21.4;16.0;-0.5;15.5
61;7412 Accountancy;1998;4550.0;4471.0;3829.0;167.0;2445.0;241.0;977.0;720.0;-32.0;687.0;131.9;82.0;98.3;84.2;3.7;53.7;5.3;21.5;15.8;-0.7;15.1
62;7412 Accountancy;1999;5310.0;5237.0;4551.0;288.0;2823.0;269.0;1171.0;760.0;-35.0;725.0;136.8;82.4;98.6;85.7;5.4;53.2;5.1;22.0;14.3;-0.7;13.6
63;7413 Markt- en opinieonderzoekbureaus;1997;619.0;613.0;535.0;137.0;236.0;25.0;139.0;83.0;-3.0;81.0;25.5;11.2;99.1;86.5;22.1;38.1;4.0;22.5;13.5;-0.4;13.1
64;7413 Markt- en opinieonderzoekbureaus;1998;641.0;633.0;561.0;160.0;230.0;25.0;146.0;80.0;-6.0;74.0;24.4;11.5;98.9;87.5;24.9;35.9;4.0;22.7;12.5;-0.9;11.5
65;7413 Markt- en opinieonderzoekbureaus;1999;721.0;717.0;662.0;226.0;259.0;26.0;151.0;59.0;-2.0;57.0;24.9;10.9;99.5;91.9;31.4;35.9;3.7;21.0;8.2;-0.2;7.9
66;7414 Economische adviesbureaus;1997;2683.0;2639.0;2140.0;315.0;1085.0;89.0;652.0;543.0;7.0;550.0;184.3;41.3;98.4;79.8;11.7;40.4;3.3;24.3;20.2;0.3;20.5
67;7414 Economische adviesbureaus;1998;3180.0;3155.0;2508.0;406.0;1255.0;105.0;741.0;672.0;8.0;680.0;199.3;47.7;99.2;78.9;12.8;39.5;3.3;23.3;21.1;0.2;21.4
68;7414 Economische adviesbureaus;1999;3851.0;3824.0;2986.0;499.0;1495.0;121.0;871.0;865.0;14.0;880.0;221.1;53.4;99.3;77.5;12.9;38.8;3.1;22.6;22.5;0.4;22.8
69;742 Ingenieurs en architecten;1997;6326.0;6159.0;5776.0;1772.0;2816.0;183.0;1006.0;550.0;-5.0;545.0;131.6;84.6;97.4;91.3;28.0;44.5;2.9;15.9;8.7;-0.1;8.6
70;742 Ingenieurs en architecten;1998;6843.0;6583.0;6295.0;1864.0;3086.0;205.0;1137.0;549.0;-10.0;538.0;132.1;88.5;96.2;92.0;27.2;45.1;3.0;16.6;8.0;-0.2;7.9
71;742 Ingenieurs en architecten;1999;7452.0;7242.0;6826.0;2132.0;3276.0;234.0;1184.0;626.0;-9.0;618.0;147.8;93.1;97.2;91.6;28.6;44.0;3.1;15.9;8.4;-0.1;8.3
72;743 Keuring en controle;1997;465.0;455.0;433.0;46.0;246.0;24.0;116.0;32.0;-8.0;24.0;4.2;6.7;97.9;93.2;9.9;53.0;5.2;25.0;6.8;-1.7;5.2
73;743 Keuring en controle;1998;505.0;496.0;471.0;52.0;269.0;25.0;125.0;34.0;-6.0;28.0;4.8;7.1;98.3;93.3;10.3;53.2;4.9;24.8;6.7;-1.2;5.5
74;743 Keuring en controle;1999;673.0;661.0;624.0;69.0;360.0;29.0;167.0;48.0;-8.0;40.0;5.2;9.0;98.2;92.8;10.3;53.6;4.3;24.8;7.1;-1.1;6.0
75;744 Reclamebureaus;1997;5223.0;5205.0;4690.0;3355.0;692.0;123.0;520.0;533.0;-22.0;511.0;114.2;40.2;99.7;89.8;64.2;13.3;2.4;9.9;10.2;-0.4;9.8
76;744 Reclamebureaus;1998;5734.0;5712.0;5110.0;3638.0;777.0;132.0;563.0;623.0;-22.0;601.0;122.4;43.0;99.6;89.1;63.4;13.6;2.3;9.8;10.9;-0.4;10.5
77;744 Reclamebureaus;1999;6103.0;6077.0;5419.0;3828.0;855.0;144.0;593.0;684.0;-17.0;667.0;128.7;43.5;99.6;88.8;62.7;14.0;2.4;9.7;11.2;-0.3;10.9
78;74501 Uitzendbureaus;1997;5321.0;5288.0;5023.0;3790.0;836.0;39.0;359.0;298.0;3.0;301.0;7.0;17.8;99.4;94.4;71.2;15.7;0.7;6.8;5.6;0.1;5.7
79;74501 Uitzendbureaus;1998;6353.0;6292.0;6002.0;4304.0;1173.0;52.0;473.0;351.0;-10.0;341.0;9.3;20.5;99.0;94.5;67.7;18.5;0.8;7.4;5.5;-0.2;5.4
80;74501 Uitzendbureaus;1999;6513.0;6466.0;6154.0;3995.0;1576.0;67.0;516.0;360.0;-13.0;347.0;13.2;21.8;99.3;94.5;61.3;24.2;1.0;7.9;5.5;-0.2;5.3
81;74502 Uitleenbedrijven;1997;1015.0;1002.0;924.0;77.0;740.0;7.0;100.0;91.0;-10.0;80.0;4.1;6.1;98.7;91.1;7.6;72.9;0.7;9.8;8.9;-1.0;7.9
82;74502 Uitleenbedrijven;1998;1267.0;1257.0;1162.0;138.0;884.0;8.0;132.0;105.0;0.0;105.0;4.9;7.4;99.2;91.7;10.9;69.8;0.6;10.4;8.3;0.0;8.3
83;74502 Uitleenbedrijven;1999;1647.0;1624.0;1571.0;133.0;1239.0;14.0;185.0;76.0;-6.0;69.0;7.0;11.5;98.6;95.4;8.0;75.3;0.9;11.2;4.6;-0.4;4.2
84;74503 Arbeidsbemiddeling;1997;841.0;839.0;781.0;46.0;426.0;44.0;266.0;59.0;-136.0;-77.0;11.5;12.2;99.7;92.9;5.4;50.6;5.3;31.6;7.1;-16.2;-9.1
85;74503 Arbeidsbemiddeling;1998;1098.0;1029.0;1020.0;68.0;581.0;67.0;304.0;78.0;-1.0;77.0;13.3;15.5;93.8;92.9;6.2;53.0;6.1;27.7;7.1;-0.1;7.0
86;74503 Arbeidsbemiddeling;1999;1262.0;1251.0;1102.0;93.0;626.0;63.0;321.0;160.0;24.0;184.0;16.6;16.6;99.1;87.3;7.4;49.6;5.0;25.4;12.7;1.9;14.6
87;74504 Banenpools;1997;655.0;653.0;651.0;3.0;603.0;2.0;43.0;3.0;0.0;4.0;1.3;1.8;99.8;99.4;0.5;92.1;0.3;6.5;0.5;0.1;0.6
88;74504 Banenpools;1998;554.0;552.0;557.0;3.0;514.0;3.0;37.0;-3.0;0.0;-3.0;1.2;1.8;99.7;100.5;0.6;92.8;0.5;6.7;-0.5;-0.1;-0.6
89;74504 Banenpools;1999;;;;;;;;;;;;;;;;;;;;;
90;74701 Reiniging van gebouwen;1997;1914.0;1910.0;1709.0;224.0;1198.0;48.0;237.0;206.0;-10.0;196.0;57.2;157.3;99.7;89.3;11.7;62.6;2.5;12.4;10.7;-0.5;10.2
91;74701 Reiniging van gebouwen;1998;1976.0;1971.0;1781.0;233.0;1252.0;48.0;248.0;195.0;-10.0;184.0;57.6;158.3;99.8;90.1;11.8;63.4;2.4;12.5;9.9;-0.5;9.3
92;74701 Reiniging van gebouwen;1999;2160.0;2155.0;1942.0;248.0;1384.0;50.0;261.0;217.0;-8.0;209.0;57.5;160.9;99.8;89.9;11.5;64.1;2.3;12.1;10.1;-0.4;9.7
93;7481 Fotografie;1997;535.0;531.0;461.0;221.0;102.0;38.0;100.0;74.0;-3.0;71.0;33.3;8.1;99.4;86.2;41.4;19.0;7.0;18.8;13.8;-0.6;13.2
94;7481 Fotografie;1998;516.0;512.0;447.0;211.0;102.0;38.0;97.0;69.0;-5.0;64.0;36.2;8.5;99.1;86.6;40.8;19.7;7.4;18.8;13.3;-0.9;12.4
95;7481 Fotografie;1999;;;;;;;;;;;;;;;;;;;;;
96;74843 Veilingen van landbouwproducten;1997;520.0;519.0;476.0;4.0;240.0;96.0;136.0;43.0;-34.0;9.0;0.3;7.4;99.8;91.6;0.8;46.2;18.5;26.1;8.3;-6.6;1.7
97;74843 Veilingen van landbouwproducten;1998;526.0;526.0;496.0;3.0;255.0;98.0;139.0;30.0;-27.0;4.0;0.4;7.5;99.9;94.2;0.6;48.4;18.7;26.4;5.8;-5.1;0.7
98;74843 Veilingen van landbouwproducten;1999;560.0;513.0;532.0;2.0;276.0;100.0;153.0;27.0;-26.0;1.0;0.4;8.0;91.7;95.1;0.4;49.4;17.9;27.4;4.9;-4.6;0.2
99;93011 wasserijen en linnenverhuur;1997;478.0;477.0;428.0;79.0;201.0;74.0;74.0;50.0;-7.0;43.0;4.7;11.0;99.7;89.6;16.5;42.0;15.5;15.6;10.4;-1.5;8.9
100;93011 wasserijen en linnenverhuur;1998;520.0;519.0;461.0;88.0;216.0;79.0;79.0;59.0;-2.0;57.0;4.7;11.4;99.8;88.7;16.9;41.4;15.1;15.2;11.4;-0.4;11.0
101;93011 wasserijen en linnenverhuur;1999;574.0;573.0;504.0;104.0;228.0;85.0;87.0;70.0;-7.0;62.0;4.3;11.1;99.8;87.9;18.1;39.7;14.8;15.2;12.1;-1.3;10.9
102;9302 Kappers en schoonheidsverzorging;1997;933.0;921.0;677.0;126.0;300.0;49.0;202.0;255.0;-9.0;246.0;244.9;51.9;98.8;72.7;13.5;32.2;5.3;21.7;27.3;-0.9;26.4
103;9302 Kappers en schoonheidsverzorging;1998;983.0;972.0;712.0;133.0;315.0;49.0;215.0;271.0;-8.0;263.0;249.3;52.5;98.8;72.4;13.5;32.1;4.9;21.9;27.6;-0.8;26.8
104;9302 Kappers en schoonheidsverzorging;1999;1015.0;1004.0;732.0;137.0;322.0;50.0;223.0;282.0;-5.0;278.0;249.8;52.4;99.0;72.2;13.5;31.8;5.0;22.0;27.8;-0.4;27.4
105;93021 Kappers;1997;795.0;785.0;580.0;92.0;290.0;39.0;160.0;214.0;-8.0;206.0;109.5;36.7;98.7;73.0;11.6;36.4;4.9;20.1;27.0;-1.0;25.9
106;93021 Kappers;1998;836.0;826.0;608.0;96.0;302.0;38.0;172.0;228.0;-8.0;221.0;113.2;37.6;98.8;72.7;11.4;36.1;4.6;20.5;27.3;-0.9;26.4
107;93021 Kappers;1999;866.0;857.0;629.0;103.0;311.0;40.0;175.0;237.0;-4.0;233.0;115.1;37.7;99.0;72.6;11.9;36.0;4.6;20.2;27.4;-0.4;26.9
108;9303 Uitvaartverzorging;1997;402.0;400.0;368.0;202.0;82.0;18.0;67.0;33.0;4.0;37.0;5.9;5.2;99.7;91.8;50.3;20.3;4.4;16.7;8.1;0.9;9.2
109;9303 Uitvaartverzorging;1998;454.0;437.0;404.0;219.0;94.0;20.0;70.0;49.0;-9.0;41.0;6.8;6.6;96.1;89.0;48.3;20.8;4.5;15.4;10.9;-2.0;9.0
110;9303 Uitvaartverzorging;1999;;;;;;;;;;;;;;;;;;;;;
111;9304 Fitnesscentra;1997;205.0;204.0;178.0;25.0;49.0;28.0;76.0;28.0;-10.0;18.0;21.5;8.8;99.3;86.7;12.2;24.1;13.5;37.2;13.5;-4.6;8.8
112;9304 Fitnesscentra;1998;209.0;207.0;183.0;25.0;52.0;27.0;79.0;26.0;-8.0;18.0;20.5;9.2;99.3;87.6;12.0;24.8;13.0;37.8;12.4;-3.7;8.7
113;9304 Fitnesscentra;1999;;;;;;;;;;;;;;;;;;;;;
