ID;Sex;Age;MaritalStatus;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
37;Total male and female;Total;Total marital status;St. Eustatius;2020;3139.0
38;Total male and female;Total;Total marital status;St. Eustatius;2021;3142.0
39;Total male and female;Total;Total marital status;St. Eustatius;2022;3242.0
40;Total male and female;Total;Total marital status;St. Eustatius;2023;3293.0
41;Total male and female;Total;Total marital status;St. Eustatius;2024;3204.0
42;Total male and female;Total;Total marital status;Saba;2011;1797.0
43;Total male and female;Total;Total marital status;Saba;2012;1971.0
44;Total male and female;Total;Total marital status;Saba;2013;1991.0
45;Total male and female;Total;Total marital status;Saba;2014;1846.0
46;Total male and female;Total;Total marital status;Saba;2015;1811.0
47;Total male and female;Total;Total marital status;Saba;2016;1947.0
48;Total male and female;Total;Total marital status;Saba;2017;2010.0
49;Total male and female;Total;Total marital status;Saba;2018;2155.0
50;Total male and female;Total;Total marital status;Saba;2019;1915.0
51;Total male and female;Total;Total marital status;Saba;2020;1933.0
52;Total male and female;Total;Total marital status;Saba;2021;1918.0
53;Total male and female;Total;Total marital status;Saba;2022;1911.0
54;Total male and female;Total;Total marital status;Saba;2023;2035.0
55;Total male and female;Total;Total marital status;Saba;2024;2060.0
56;Total male and female;Total;Never married;Caribbean Netherlands;2011;12322.0
57;Total male and female;Total;Never married;Caribbean Netherlands;2012;13061.0
58;Total male and female;Total;Never married;Caribbean Netherlands;2013;13684.0
59;Total male and female;Total;Never married;Caribbean Netherlands;2014;14256.0
60;Total male and female;Total;Never married;Caribbean Netherlands;2015;14431.0
61;Total male and female;Total;Never married;Caribbean Netherlands;2016;14388.0
62;Total male and female;Total;Never married;Caribbean Netherlands;2017;14194.0
63;Total male and female;Total;Never married;Caribbean Netherlands;2018;14578.0
64;Total male and female;Total;Never married;Caribbean Netherlands;2019;14502.0
65;Total male and female;Total;Never married;Caribbean Netherlands;2020;15014.0
66;Total male and female;Total;Never married;Caribbean Netherlands;2021;15632.0
67;Total male and female;Total;Never married;Caribbean Netherlands;2022;16251.0
68;Total male and female;Total;Never married;Caribbean Netherlands;2023;17298.0
69;Total male and female;Total;Never married;Caribbean Netherlands;2024;17978.0
70;Total male and female;Total;Never married;Bonaire;2011;8973.0
71;Total male and female;Total;Never married;Bonaire;2012;9437.0
72;Total male and female;Total;Never married;Bonaire;2013;9924.0
73;Total male and female;Total;Never married;Bonaire;2014;10577.0
74;Total male and female;Total;Never married;Bonaire;2015;10907.0
75;Total male and female;Total;Never married;Bonaire;2016;11240.0
76;Total male and female;Total;Never married;Bonaire;2017;10978.0
77;Total male and female;Total;Never married;Bonaire;2018;11150.0
78;Total male and female;Total;Never married;Bonaire;2019;11432.0
79;Total male and female;Total;Never married;Bonaire;2020;11920.0
80;Total male and female;Total;Never married;Bonaire;2021;12513.0
81;Total male and female;Total;Never married;Bonaire;2022;13053.0
82;Total male and female;Total;Never married;Bonaire;2023;13975.0
83;Total male and female;Total;Never married;Bonaire;2024;14692.0
84;Total male and female;Total;Never married;St. Eustatius;2011;2231.0
85;Total male and female;Total;Never married;St. Eustatius;2012;2339.0
86;Total male and female;Total;Never married;St. Eustatius;2013;2433.0
87;Total male and female;Total;Never married;St. Eustatius;2014;2520.0
88;Total male and female;Total;Never married;St. Eustatius;2015;2412.0
89;Total male and female;Total;Never married;St. Eustatius;2016;1924.0
90;Total male and female;Total;Never married;St. Eustatius;2017;1958.0
91;Total male and female;Total;Never married;St. Eustatius;2018;2025.0
92;Total male and female;Total;Never married;St. Eustatius;2019;1895.0
93;Total male and female;Total;Never married;St. Eustatius;2020;1897.0
94;Total male and female;Total;Never married;St. Eustatius;2021;1917.0
95;Total male and female;Total;Never married;St. Eustatius;2022;2016.0
96;Total male and female;Total;Never married;St. Eustatius;2023;2033.0
97;Total male and female;Total;Never married;St. Eustatius;2024;1977.0
98;Total male and female;Total;Never married;Saba;2011;1118.0
99;Total male and female;Total;Never married;Saba;2012;1285.0
100;Total male and female;Total;Never married;Saba;2013;1327.0
101;Total male and female;Total;Never married;Saba;2014;1159.0
102;Total male and female;Total;Never married;Saba;2015;1112.0
103;Total male and female;Total;Never married;Saba;2016;1224.0
104;Total male and female;Total;Never married;Saba;2017;1258.0
105;Total male and female;Total;Never married;Saba;2018;1403.0
106;Total male and female;Total;Never married;Saba;2019;1175.0
107;Total male and female;Total;Never married;Saba;2020;1197.0
108;Total male and female;Total;Never married;Saba;2021;1202.0
109;Total male and female;Total;Never married;Saba;2022;1182.0
110;Total male and female;Total;Never married;Saba;2023;1290.0
111;Total male and female;Total;Never married;Saba;2024;1309.0
112;Total male and female;Total;Married;Caribbean Netherlands;2011;6596.0
113;Total male and female;Total;Married;Caribbean Netherlands;2012;6914.0
114;Total male and female;Total;Married;Caribbean Netherlands;2013;7193.0
115;Total male and female;Total;Married;Caribbean Netherlands;2014;7480.0
116;Total male and female;Total;Married;Caribbean Netherlands;2015;7556.0
117;Total male and female;Total;Married;Caribbean Netherlands;2016;7448.0
118;Total male and female;Total;Married;Caribbean Netherlands;2017;7432.0
119;Total male and female;Total;Married;Caribbean Netherlands;2018;7572.0
120;Total male and female;Total;Married;Caribbean Netherlands;2019;7654.0
121;Total male and female;Total;Married;Caribbean Netherlands;2020;7835.0
122;Total male and female;Total;Married;Caribbean Netherlands;2021;7890.0
123;Total male and female;Total;Married;Caribbean Netherlands;2022;8050.0
124;Total male and female;Total;Married;Caribbean Netherlands;2023;8532.0
125;Total male and female;Total;Married;Caribbean Netherlands;2024;8767.0
126;Total male and female;Total;Married;Bonaire;2011;5011.0
127;Total male and female;Total;Married;Bonaire;2012;5279.0
128;Total male and female;Total;Married;Bonaire;2013;5569.0
129;Total male and female;Total;Married;Bonaire;2014;5823.0
130;Total male and female;Total;Married;Bonaire;2015;5910.0
131;Total male and female;Total;Married;Bonaire;2016;5978.0
132;Total male and female;Total;Married;Bonaire;2017;5941.0
133;Total male and female;Total;Married;Bonaire;2018;6060.0
134;Total male and female;Total;Married;Bonaire;2019;6235.0
135;Total male and female;Total;Married;Bonaire;2020;6431.0
136;Total male and female;Total;Married;Bonaire;2021;6535.0
137;Total male and female;Total;Married;Bonaire;2022;6720.0
138;Total male and female;Total;Married;Bonaire;2023;7177.0
139;Total male and female;Total;Married;Bonaire;2024;7438.0
140;Total male and female;Total;Married;St. Eustatius;2011;1088.0
141;Total male and female;Total;Married;St. Eustatius;2012;1144.0
142;Total male and female;Total;Married;St. Eustatius;2013;1153.0
143;Total male and female;Total;Married;St. Eustatius;2014;1169.0
144;Total male and female;Total;Married;St. Eustatius;2015;1137.0
145;Total male and female;Total;Married;St. Eustatius;2016;948.0
146;Total male and female;Total;Married;St. Eustatius;2017;957.0
147;Total male and female;Total;Married;St. Eustatius;2018;984.0
148;Total male and female;Total;Married;St. Eustatius;2019;899.0
149;Total male and female;Total;Married;St. Eustatius;2020;889.0
150;Total male and female;Total;Married;St. Eustatius;2021;858.0
151;Total male and female;Total;Married;St. Eustatius;2022;827.0
152;Total male and female;Total;Married;St. Eustatius;2023;839.0
153;Total male and female;Total;Married;St. Eustatius;2024;815.0
154;Total male and female;Total;Married;Saba;2011;497.0
155;Total male and female;Total;Married;Saba;2012;491.0
156;Total male and female;Total;Married;Saba;2013;471.0
157;Total male and female;Total;Married;Saba;2014;488.0
158;Total male and female;Total;Married;Saba;2015;509.0
159;Total male and female;Total;Married;Saba;2016;522.0
160;Total male and female;Total;Married;Saba;2017;534.0
161;Total male and female;Total;Married;Saba;2018;528.0
162;Total male and female;Total;Married;Saba;2019;520.0
163;Total male and female;Total;Married;Saba;2020;515.0
164;Total male and female;Total;Married;Saba;2021;497.0
165;Total male and female;Total;Married;Saba;2022;503.0
166;Total male and female;Total;Married;Saba;2023;516.0
167;Total male and female;Total;Married;Saba;2024;514.0
168;Total male and female;Total;Widowed;Caribbean Netherlands;2011;576.0
169;Total male and female;Total;Widowed;Caribbean Netherlands;2012;633.0
170;Total male and female;Total;Widowed;Caribbean Netherlands;2013;643.0
171;Total male and female;Total;Widowed;Caribbean Netherlands;2014;648.0
172;Total male and female;Total;Widowed;Caribbean Netherlands;2015;659.0
173;Total male and female;Total;Widowed;Caribbean Netherlands;2016;678.0
174;Total male and female;Total;Widowed;Caribbean Netherlands;2017;691.0
175;Total male and female;Total;Widowed;Caribbean Netherlands;2018;718.0
176;Total male and female;Total;Widowed;Caribbean Netherlands;2019;717.0
177;Total male and female;Total;Widowed;Caribbean Netherlands;2020;739.0
178;Total male and female;Total;Widowed;Caribbean Netherlands;2021;761.0
179;Total male and female;Total;Widowed;Caribbean Netherlands;2022;775.0
180;Total male and female;Total;Widowed;Caribbean Netherlands;2023;824.0
181;Total male and female;Total;Widowed;Caribbean Netherlands;2024;842.0
182;Total male and female;Total;Widowed;Bonaire;2011;435.0
183;Total male and female;Total;Widowed;Bonaire;2012;482.0
184;Total male and female;Total;Widowed;Bonaire;2013;489.0
185;Total male and female;Total;Widowed;Bonaire;2014;490.0
186;Total male and female;Total;Widowed;Bonaire;2015;507.0
187;Total male and female;Total;Widowed;Bonaire;2016;527.0
188;Total male and female;Total;Widowed;Bonaire;2017;540.0
189;Total male and female;Total;Widowed;Bonaire;2018;563.0
190;Total male and female;Total;Widowed;Bonaire;2019;564.0
191;Total male and female;Total;Widowed;Bonaire;2020;584.0
192;Total male and female;Total;Widowed;Bonaire;2021;610.0
193;Total male and female;Total;Widowed;Bonaire;2022;622.0
194;Total male and female;Total;Widowed;Bonaire;2023;665.0
195;Total male and female;Total;Widowed;Bonaire;2024;685.0
196;Total male and female;Total;Widowed;St. Eustatius;2011;76.0
197;Total male and female;Total;Widowed;St. Eustatius;2012;80.0
198;Total male and female;Total;Widowed;St. Eustatius;2013;83.0
199;Total male and female;Total;Widowed;St. Eustatius;2014;86.0
200;Total male and female;Total;Widowed;St. Eustatius;2015;84.0
201;Total male and female;Total;Widowed;St. Eustatius;2016;85.0
202;Total male and female;Total;Widowed;St. Eustatius;2017;84.0
203;Total male and female;Total;Widowed;St. Eustatius;2018;86.0
204;Total male and female;Total;Widowed;St. Eustatius;2019;86.0
205;Total male and female;Total;Widowed;St. Eustatius;2020;86.0
206;Total male and female;Total;Widowed;St. Eustatius;2021;82.0
207;Total male and female;Total;Widowed;St. Eustatius;2022;80.0
208;Total male and female;Total;Widowed;St. Eustatius;2023;88.0
209;Total male and female;Total;Widowed;St. Eustatius;2024;84.0
210;Total male and female;Total;Widowed;Saba;2011;65.0
211;Total male and female;Total;Widowed;Saba;2012;71.0
212;Total male and female;Total;Widowed;Saba;2013;71.0
213;Total male and female;Total;Widowed;Saba;2014;72.0
214;Total male and female;Total;Widowed;Saba;2015;68.0
215;Total male and female;Total;Widowed;Saba;2016;66.0
216;Total male and female;Total;Widowed;Saba;2017;67.0
217;Total male and female;Total;Widowed;Saba;2018;69.0
218;Total male and female;Total;Widowed;Saba;2019;67.0
219;Total male and female;Total;Widowed;Saba;2020;69.0
220;Total male and female;Total;Widowed;Saba;2021;69.0
221;Total male and female;Total;Widowed;Saba;2022;73.0
222;Total male and female;Total;Widowed;Saba;2023;71.0
223;Total male and female;Total;Widowed;Saba;2024;73.0
224;Total male and female;Total;Divorced;Caribbean Netherlands;2011;1593.0
225;Total male and female;Total;Divorced;Caribbean Netherlands;2012;1696.0
226;Total male and female;Total;Divorced;Caribbean Netherlands;2013;1776.0
227;Total male and female;Total;Divorced;Caribbean Netherlands;2014;1895.0
228;Total male and female;Total;Divorced;Caribbean Netherlands;2015;1947.0
229;Total male and female;Total;Divorced;Caribbean Netherlands;2016;2034.0
230;Total male and female;Total;Divorced;Caribbean Netherlands;2017;2122.0
231;Total male and female;Total;Divorced;Caribbean Netherlands;2018;2184.0
232;Total male and female;Total;Divorced;Caribbean Netherlands;2019;2284.0
233;Total male and female;Total;Divorced;Caribbean Netherlands;2020;2399.0
234;Total male and female;Total;Divorced;Caribbean Netherlands;2021;2522.0
235;Total male and female;Total;Divorced;Caribbean Netherlands;2022;2650.0
236;Total male and female;Total;Divorced;Caribbean Netherlands;2023;2764.0
237;Total male and female;Total;Divorced;Caribbean Netherlands;2024;2810.0
238;Total male and female;Total;Divorced;Bonaire;2011;1260.0
239;Total male and female;Total;Divorced;Bonaire;2012;1343.0
240;Total male and female;Total;Divorced;Bonaire;2013;1426.0
241;Total male and female;Total;Divorced;Bonaire;2014;1523.0
242;Total male and female;Total;Divorced;Bonaire;2015;1581.0
243;Total male and female;Total;Divorced;Bonaire;2016;1663.0
244;Total male and female;Total;Divorced;Bonaire;2017;1720.0
245;Total male and female;Total;Divorced;Bonaire;2018;1776.0
246;Total male and female;Total;Divorced;Bonaire;2019;1873.0
247;Total male and female;Total;Divorced;Bonaire;2020;1980.0
248;Total male and female;Total;Divorced;Bonaire;2021;2087.0
249;Total male and female;Total;Divorced;Bonaire;2022;2178.0
250;Total male and female;Total;Divorced;Bonaire;2023;2273.0
251;Total male and female;Total;Divorced;Bonaire;2024;2318.0
252;Total male and female;Total;Divorced;St. Eustatius;2011;216.0
253;Total male and female;Total;Divorced;St. Eustatius;2012;229.0
254;Total male and female;Total;Divorced;St. Eustatius;2013;228.0
255;Total male and female;Total;Divorced;St. Eustatius;2014;245.0
256;Total male and female;Total;Divorced;St. Eustatius;2015;244.0
257;Total male and female;Total;Divorced;St. Eustatius;2016;236.0
258;Total male and female;Total;Divorced;St. Eustatius;2017;251.0
259;Total male and female;Total;Divorced;St. Eustatius;2018;253.0
260;Total male and female;Total;Divorced;St. Eustatius;2019;258.0
261;Total male and female;Total;Divorced;St. Eustatius;2020;267.0
262;Total male and female;Total;Divorced;St. Eustatius;2021;285.0
263;Total male and female;Total;Divorced;St. Eustatius;2022;319.0
264;Total male and female;Total;Divorced;St. Eustatius;2023;333.0
265;Total male and female;Total;Divorced;St. Eustatius;2024;328.0
266;Total male and female;Total;Divorced;Saba;2011;117.0
267;Total male and female;Total;Divorced;Saba;2012;124.0
268;Total male and female;Total;Divorced;Saba;2013;122.0
269;Total male and female;Total;Divorced;Saba;2014;127.0
270;Total male and female;Total;Divorced;Saba;2015;122.0
271;Total male and female;Total;Divorced;Saba;2016;135.0
272;Total male and female;Total;Divorced;Saba;2017;151.0
273;Total male and female;Total;Divorced;Saba;2018;155.0
274;Total male and female;Total;Divorced;Saba;2019;153.0
275;Total male and female;Total;Divorced;Saba;2020;152.0
276;Total male and female;Total;Divorced;Saba;2021;150.0
277;Total male and female;Total;Divorced;Saba;2022;153.0
278;Total male and female;Total;Divorced;Saba;2023;158.0
279;Total male and female;Total;Divorced;Saba;2024;164.0
280;Total male and female;0 year;Total marital status;Caribbean Netherlands;2011;238.0
281;Total male and female;0 year;Total marital status;Caribbean Netherlands;2012;218.0
282;Total male and female;0 year;Total marital status;Caribbean Netherlands;2013;234.0
283;Total male and female;0 year;Total marital status;Caribbean Netherlands;2014;249.0
284;Total male and female;0 year;Total marital status;Caribbean Netherlands;2015;247.0
285;Total male and female;0 year;Total marital status;Caribbean Netherlands;2016;216.0
286;Total male and female;0 year;Total marital status;Caribbean Netherlands;2017;242.0
287;Total male and female;0 year;Total marital status;Caribbean Netherlands;2018;252.0
288;Total male and female;0 year;Total marital status;Caribbean Netherlands;2019;255.0
289;Total male and female;0 year;Total marital status;Caribbean Netherlands;2020;239.0
290;Total male and female;0 year;Total marital status;Caribbean Netherlands;2021;304.0
291;Total male and female;0 year;Total marital status;Caribbean Netherlands;2022;265.0
292;Total male and female;0 year;Total marital status;Caribbean Netherlands;2023;261.0
293;Total male and female;0 year;Total marital status;Caribbean Netherlands;2024;281.0
294;Total male and female;0 year;Total marital status;Bonaire;2011;184.0
295;Total male and female;0 year;Total marital status;Bonaire;2012;179.0
296;Total male and female;0 year;Total marital status;Bonaire;2013;193.0
297;Total male and female;0 year;Total marital status;Bonaire;2014;196.0
298;Total male and female;0 year;Total marital status;Bonaire;2015;208.0
299;Total male and female;0 year;Total marital status;Bonaire;2016;160.0
300;Total male and female;0 year;Total marital status;Bonaire;2017;193.0
301;Total male and female;0 year;Total marital status;Bonaire;2018;204.0
302;Total male and female;0 year;Total marital status;Bonaire;2019;207.0
303;Total male and female;0 year;Total marital status;Bonaire;2020;197.0
304;Total male and female;0 year;Total marital status;Bonaire;2021;238.0
305;Total male and female;0 year;Total marital status;Bonaire;2022;219.0
306;Total male and female;0 year;Total marital status;Bonaire;2023;213.0
307;Total male and female;0 year;Total marital status;Bonaire;2024;233.0
308;Total male and female;0 year;Total marital status;St. Eustatius;2011;41.0
309;Total male and female;0 year;Total marital status;St. Eustatius;2012;32.0
310;Total male and female;0 year;Total marital status;St. Eustatius;2013;23.0
311;Total male and female;0 year;Total marital status;St. Eustatius;2014;42.0
312;Total male and female;0 year;Total marital status;St. Eustatius;2015;27.0
313;Total male and female;0 year;Total marital status;St. Eustatius;2016;35.0
314;Total male and female;0 year;Total marital status;St. Eustatius;2017;31.0
315;Total male and female;0 year;Total marital status;St. Eustatius;2018;29.0
316;Total male and female;0 year;Total marital status;St. Eustatius;2019;34.0
317;Total male and female;0 year;Total marital status;St. Eustatius;2020;30.0
318;Total male and female;0 year;Total marital status;St. Eustatius;2021;53.0
319;Total male and female;0 year;Total marital status;St. Eustatius;2022;35.0
320;Total male and female;0 year;Total marital status;St. Eustatius;2023;32.0
321;Total male and female;0 year;Total marital status;St. Eustatius;2024;30.0
322;Total male and female;0 year;Total marital status;Saba;2011;13.0
323;Total male and female;0 year;Total marital status;Saba;2012;7.0
324;Total male and female;0 year;Total marital status;Saba;2013;18.0
325;Total male and female;0 year;Total marital status;Saba;2014;11.0
326;Total male and female;0 year;Total marital status;Saba;2015;12.0
327;Total male and female;0 year;Total marital status;Saba;2016;21.0
328;Total male and female;0 year;Total marital status;Saba;2017;18.0
329;Total male and female;0 year;Total marital status;Saba;2018;19.0
330;Total male and female;0 year;Total marital status;Saba;2019;14.0
331;Total male and female;0 year;Total marital status;Saba;2020;12.0
332;Total male and female;0 year;Total marital status;Saba;2021;13.0
333;Total male and female;0 year;Total marital status;Saba;2022;11.0
334;Total male and female;0 year;Total marital status;Saba;2023;16.0
335;Total male and female;0 year;Total marital status;Saba;2024;18.0
336;Total male and female;0 year;Never married;Caribbean Netherlands;2011;238.0
337;Total male and female;0 year;Never married;Caribbean Netherlands;2012;218.0
338;Total male and female;0 year;Never married;Caribbean Netherlands;2013;234.0
339;Total male and female;0 year;Never married;Caribbean Netherlands;2014;249.0
340;Total male and female;0 year;Never married;Caribbean Netherlands;2015;247.0
341;Total male and female;0 year;Never married;Caribbean Netherlands;2016;216.0
342;Total male and female;0 year;Never married;Caribbean Netherlands;2017;242.0
343;Total male and female;0 year;Never married;Caribbean Netherlands;2018;252.0
344;Total male and female;0 year;Never married;Caribbean Netherlands;2019;255.0
345;Total male and female;0 year;Never married;Caribbean Netherlands;2020;239.0
346;Total male and female;0 year;Never married;Caribbean Netherlands;2021;304.0
347;Total male and female;0 year;Never married;Caribbean Netherlands;2022;265.0
348;Total male and female;0 year;Never married;Caribbean Netherlands;2023;261.0
349;Total male and female;0 year;Never married;Caribbean Netherlands;2024;281.0
350;Total male and female;0 year;Never married;Bonaire;2011;184.0
351;Total male and female;0 year;Never married;Bonaire;2012;179.0
352;Total male and female;0 year;Never married;Bonaire;2013;193.0
353;Total male and female;0 year;Never married;Bonaire;2014;196.0
354;Total male and female;0 year;Never married;Bonaire;2015;208.0
355;Total male and female;0 year;Never married;Bonaire;2016;160.0
356;Total male and female;0 year;Never married;Bonaire;2017;193.0
357;Total male and female;0 year;Never married;Bonaire;2018;204.0
358;Total male and female;0 year;Never married;Bonaire;2019;207.0
359;Total male and female;0 year;Never married;Bonaire;2020;197.0
360;Total male and female;0 year;Never married;Bonaire;2021;238.0
361;Total male and female;0 year;Never married;Bonaire;2022;219.0
362;Total male and female;0 year;Never married;Bonaire;2023;213.0
363;Total male and female;0 year;Never married;Bonaire;2024;233.0
364;Total male and female;0 year;Never married;St. Eustatius;2011;41.0
365;Total male and female;0 year;Never married;St. Eustatius;2012;32.0
366;Total male and female;0 year;Never married;St. Eustatius;2013;23.0
367;Total male and female;0 year;Never married;St. Eustatius;2014;42.0
368;Total male and female;0 year;Never married;St. Eustatius;2015;27.0
369;Total male and female;0 year;Never married;St. Eustatius;2016;35.0
370;Total male and female;0 year;Never married;St. Eustatius;2017;31.0
371;Total male and female;0 year;Never married;St. Eustatius;2018;29.0
372;Total male and female;0 year;Never married;St. Eustatius;2019;34.0
373;Total male and female;0 year;Never married;St. Eustatius;2020;30.0
374;Total male and female;0 year;Never married;St. Eustatius;2021;53.0
375;Total male and female;0 year;Never married;St. Eustatius;2022;35.0
376;Total male and female;0 year;Never married;St. Eustatius;2023;32.0
377;Total male and female;0 year;Never married;St. Eustatius;2024;30.0
378;Total male and female;0 year;Never married;Saba;2011;13.0
379;Total male and female;0 year;Never married;Saba;2012;7.0
380;Total male and female;0 year;Never married;Saba;2013;18.0
381;Total male and female;0 year;Never married;Saba;2014;11.0
382;Total male and female;0 year;Never married;Saba;2015;12.0
383;Total male and female;0 year;Never married;Saba;2016;21.0
384;Total male and female;0 year;Never married;Saba;2017;18.0
385;Total male and female;0 year;Never married;Saba;2018;19.0
386;Total male and female;0 year;Never married;Saba;2019;14.0
387;Total male and female;0 year;Never married;Saba;2020;12.0
388;Total male and female;0 year;Never married;Saba;2021;13.0
389;Total male and female;0 year;Never married;Saba;2022;11.0
390;Total male and female;0 year;Never married;Saba;2023;16.0
391;Total male and female;0 year;Never married;Saba;2024;18.0
392;Total male and female;0 year;Married;Caribbean Netherlands;2011;
393;Total male and female;0 year;Married;Caribbean Netherlands;2012;
394;Total male and female;0 year;Married;Caribbean Netherlands;2013;
395;Total male and female;0 year;Married;Caribbean Netherlands;2014;
396;Total male and female;0 year;Married;Caribbean Netherlands;2015;
397;Total male and female;0 year;Married;Caribbean Netherlands;2016;
398;Total male and female;0 year;Married;Caribbean Netherlands;2017;
399;Total male and female;0 year;Married;Caribbean Netherlands;2018;
400;Total male and female;0 year;Married;Caribbean Netherlands;2019;
401;Total male and female;0 year;Married;Caribbean Netherlands;2020;
402;Total male and female;0 year;Married;Caribbean Netherlands;2021;
403;Total male and female;0 year;Married;Caribbean Netherlands;2022;
404;Total male and female;0 year;Married;Caribbean Netherlands;2023;
405;Total male and female;0 year;Married;Caribbean Netherlands;2024;
406;Total male and female;0 year;Married;Bonaire;2011;
407;Total male and female;0 year;Married;Bonaire;2012;
408;Total male and female;0 year;Married;Bonaire;2013;
409;Total male and female;0 year;Married;Bonaire;2014;
410;Total male and female;0 year;Married;Bonaire;2015;
411;Total male and female;0 year;Married;Bonaire;2016;
412;Total male and female;0 year;Married;Bonaire;2017;
413;Total male and female;0 year;Married;Bonaire;2018;
414;Total male and female;0 year;Married;Bonaire;2019;
415;Total male and female;0 year;Married;Bonaire;2020;
416;Total male and female;0 year;Married;Bonaire;2021;
417;Total male and female;0 year;Married;Bonaire;2022;
418;Total male and female;0 year;Married;Bonaire;2023;
419;Total male and female;0 year;Married;Bonaire;2024;
420;Total male and female;0 year;Married;St. Eustatius;2011;
421;Total male and female;0 year;Married;St. Eustatius;2012;
422;Total male and female;0 year;Married;St. Eustatius;2013;
423;Total male and female;0 year;Married;St. Eustatius;2014;
424;Total male and female;0 year;Married;St. Eustatius;2015;
425;Total male and female;0 year;Married;St. Eustatius;2016;
426;Total male and female;0 year;Married;St. Eustatius;2017;
427;Total male and female;0 year;Married;St. Eustatius;2018;
428;Total male and female;0 year;Married;St. Eustatius;2019;
429;Total male and female;0 year;Married;St. Eustatius;2020;
430;Total male and female;0 year;Married;St. Eustatius;2021;
431;Total male and female;0 year;Married;St. Eustatius;2022;
432;Total male and female;0 year;Married;St. Eustatius;2023;
433;Total male and female;0 year;Married;St. Eustatius;2024;
434;Total male and female;0 year;Married;Saba;2011;
435;Total male and female;0 year;Married;Saba;2012;
436;Total male and female;0 year;Married;Saba;2013;
437;Total male and female;0 year;Married;Saba;2014;
438;Total male and female;0 year;Married;Saba;2015;
439;Total male and female;0 year;Married;Saba;2016;
440;Total male and female;0 year;Married;Saba;2017;
441;Total male and female;0 year;Married;Saba;2018;
442;Total male and female;0 year;Married;Saba;2019;
443;Total male and female;0 year;Married;Saba;2020;
444;Total male and female;0 year;Married;Saba;2021;
445;Total male and female;0 year;Married;Saba;2022;
446;Total male and female;0 year;Married;Saba;2023;
447;Total male and female;0 year;Married;Saba;2024;
448;Total male and female;0 year;Widowed;Caribbean Netherlands;2011;
449;Total male and female;0 year;Widowed;Caribbean Netherlands;2012;
450;Total male and female;0 year;Widowed;Caribbean Netherlands;2013;
451;Total male and female;0 year;Widowed;Caribbean Netherlands;2014;
452;Total male and female;0 year;Widowed;Caribbean Netherlands;2015;
453;Total male and female;0 year;Widowed;Caribbean Netherlands;2016;
454;Total male and female;0 year;Widowed;Caribbean Netherlands;2017;
455;Total male and female;0 year;Widowed;Caribbean Netherlands;2018;
456;Total male and female;0 year;Widowed;Caribbean Netherlands;2019;
457;Total male and female;0 year;Widowed;Caribbean Netherlands;2020;
458;Total male and female;0 year;Widowed;Caribbean Netherlands;2021;
459;Total male and female;0 year;Widowed;Caribbean Netherlands;2022;
